sequence,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFOgBfiB6iBZjB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBSiBZjBUiBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBRdBUiBaoBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeOAJv?hFfiB6iBZjBTfB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFGdBZjBykBUiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Jex6Iv?hFzcBmfBaoB3iB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifBXgBTiB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifB0fBTiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Je06Iv?hFCdBZjB/kBTiBOlBFsB
IJLZOTS,O,X,X,X,O,X,X,O,X
IJLZOST,O,X,O,X,O,X,X,X,X
IJLOTSZ,X,O,X,O,X,X,O,O,X
IJLOTZS,X,X,X,X,O,X,O,O,X
IJLOSTZ,X,O,X,O,X,X,O,X,X
IJLOSZT,X,O,O,O,X,X,X,X,X
IJLOZTS,X,X,X,X,O,X,X,O,X
IJLOZST,X,O,X,X,O,X,X,X,X
IJSTLZO,O,O,O,O,X,X,X,X,X
IJSTLOZ,O,O,O,O,X,X,X,X,X
IJSTZLO,O,O,O,O,X,X,X,X,X
IJSTZOL,O,X,O,O,X,X,X,X,O
IJSTOLZ,O,O,X,O,X,X,X,X,O
IJSTOZL,O,X,X,O,X,X,X,X,O
IJSLTZO,O,O,O,X,X,X,O,O,X
IJSLTOZ,X,O,X,O,X,X,O,O,X
IJSLZTO,O,O,O,X,X,X,O,O,X
IJSLZOT,O,O,O,O,X,X,X,X,X
IJSLOTZ,X,X,X,O,X,X,O,X,X
IJSLOZT,O,O,O,O,X,X,X,X,X
IJSZTLO,O,O,O,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X,X,O
IJSZLTO,O,O,O,X,X,X,X,X,X
IJSZLOT,O,O,O,O,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X,X,X
IJSZOLT,O,X,O,O,X,X,X,X,X
IJSOTLZ,X,O,X,O,X,X,X,X,X
IJSOTZL,X,X,X,O,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,X,X,X,X
IJSOLZT,O,O,X,O,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X,X
IJSOZLT,O,X,X,O,X,X,X,X,X
IJZTLSO,O,O,X,X,X,X,X,X,X
IJZTLOS,O,X,X,X,O,X,X,X,X
IJZTSLO,O,O,O,O,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X
IJZLTSO,O,X,O,X,X,X,O,O,X
IJZLTOS,O,X,X,X,O,X,O,O,X
IJZLSTO,O,O,O,X,X,X,O,O,X
IJZLSOT,O,O,O,X,O,X,X,X,X
IJZLOTS,O,X,X,X,O,X,X,O,X
IJZLOST,O,X,O,X,O,X,X,X,X
IJZSTLO,O,O,O,X,X,X,X,X,X
IJZSTOL,O,X,X,X,X,X,X,X,X
IJZSLTO,O,O,O,X,X,X,X,X,X
IJZSLOT,O,O,O,O,O,X,X,X,X
IJZSOTL,O,X,X,X,X,X,X,X,X
IJZSOLT,O,X,O,O,X,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X,X
IJZOTSL,O,X,X,O,X,X,X,X,X
IJZOLTS,O,X,X,X,O,X,X,X,X
IJZOLST,O,X,X,X,O,X,X,X,X
IJZOSTL,O,X,X,X,X,X,X,X,X
IJZOSLT,O,X,O,O,X,X,X,X,X
IJOTLSZ,X,O,X,O,X,X,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,X,X
IJOTZSL,O,O,X,O,X,X,X,X,X
IJOLTSZ,X,O,X,O,X,X,O,O,X
IJOLTZS,X,O,X,X,X,X,O,O,X
IJOLSTZ,X,O,X,O,X,X,O,X,X
IJOLSZT,X,O,X,O,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X,X,O,X
IJOLZST,X,O,X,X,X,X,X,X,X
IJOSTLZ,X,O,X,O,X,X,X,X,X
IJOSTZL,X,O,X,O,X,X,X,X,X
IJOSLTZ,X,O,X,O,X,X,X,X,X
IJOSLZT,O,O,X,O,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X
IJOSZLT,O,O,X,O,X,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X
IJOZLTS,O,X,X,X,X,X,X,X,X
IJOZLST,O,O,X,X,X,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X
IJOZSLT,O,O,X,O,X,X,X,X,X
ISTLJZO,O,O,O,O,X,X,O,O,X
ISTLJOZ,O,O,O,O,X,X,O,O,X
ISTLZJO,O,O,O,O,O,X,X,X,X
ISTLZOJ,O,X,O,O,O,X,X,X,O
ISTLOJZ,O,O,O,O,X,X,X,X,O
ISTLOZJ,O,O,X,O,O,X,X,X,O
ISTJLZO,O,O,O,O,X,X,O,O,X
ISTJLOZ,O,O,O,O,X,X,O,O,X
ISTJZLO,O,O,O,O,X,X,X,X,X
ISTJZOL,O,X,O,O,X,X,X,X,O
ISTJOLZ,O,O,X,O,X,X,X,X,O
ISTJOZL,O,X,X,O,X,X,X,X,O
ISTZLJO,O,O,O,O,O,X,X,X,X
ISTZLOJ,O,X,O,O,O,X,X,X,O
ISTZJLO,O,O,O,O,O,X,X,X,X
ISTZJOL,O,X,O,O,X,X,X,X,O
ISTZOLJ,O,X,X,O,X,X,X,X,O
ISTZOJL,O,X,O,O,X,X,X,X,O
ISTOLJZ,O,O,X,O,X,X,X,X,O
ISTOLZJ,O,O,X,O,X,X,X,X,O
ISTOJLZ,O,O,X,O,X,X,X,X,O
ISTOJZL,O,O,X,O,X,X,X,X,O
ISTOZLJ,O,O,X,O,X,X,X,X,O
ISTOZJL,O,O,X,O,X,X,X,X,O
ISLTJZO,O,O,O,X,X,X,O,O,X
ISLTJOZ,X,O,X,O,X,X,O,O,X
ISLTZJO,O,O,X,X,O,X,X,X,X
ISLTZOJ,O,X,X,X,O,X,X,X,O
ISLTOJZ,X,O,X,O,X,X,X,X,O
ISLTOZJ,X,X,X,X,O,X,X,X,O
ISLJTZO,O,O,O,X,X,X,O,O,X
ISLJTOZ,X,O,X,O,X,X,O,O,X
ISLJZTO,O,O,O,X,X,X,O,O,X
ISLJZOT,O,O,O,O,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,O,X,X
ISLJOZT,O,O,O,O,X,X,X,X,X
ISLZTJO,O,X,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,X,X,O
ISLZJTO,O,O,O,X,X,X,X,X,X
ISLZJOT,O,O,O,O,O,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X
ISLZOJT,O,X,O,O,O,X,X,X,X
ISLOTJZ,X,O,X,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,X,X,X,X
ISLOJTZ,X,O,X,O,X,X,X,X,X
ISLOJZT,O,O,O,O,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X
ISLOZJT,O,O,X,O,O,X,X,X,X
ISJTLZO,O,O,O,O,X,X,X,X,X
ISJTLOZ,O,O,O,O,X,X,X,X,X
ISJTZLO,O,O,O,O,X,X,X,X,X
ISJTZOL,O,X,O,O,X,X,X,X,O
ISJTOLZ,O,O,X,O,X,X,X,X,O
ISJTOZL,O,X,X,O,X,X,X,X,O
ISJLTZO,O,O,O,X,X,X,O,O,X
ISJLTOZ,X,O,X,O,X,X,O,O,X
ISJLZTO,O,O,O,X,X,X,O,O,X
ISJLZOT,O,O,O,O,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,X,O,X,X
ISJLOZT,O,O,O,O,X,X,X,X,X
ISJZTLO,O,O,O,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,X,X,O
ISJZLTO,O,O,O,X,X,X,X,X,X
ISJZLOT,O,O,O,O,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X,X,X
ISJZOLT,O,X,O,O,X,X,X,X,X
ISJOTLZ,X,O,X,O,X,X,X,X,X
ISJOTZL,X,X,X,O,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,X,X,X,X
ISJOLZT,O,O,X,O,X,X,X,X,X
ISJOZTL,O,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,O,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X,X,X,O
ISZTJLO,O,O,O,X,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X,X,X,O
ISZTOLJ,O,X,X,X,X,X,X,X,O
ISZTOJL,O,X,X,X,X,X,X,X,O
ISZLTJO,O,X,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X,O
ISZLJTO,O,O,O,X,X,X,X,X,X
ISZLJOT,O,O,O,O,O,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,X
ISZLOJT,O,X,O,O,O,X,X,X,X
ISZJTLO,O,O,O,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,X,X,O
ISZJLTO,O,O,O,X,X,X,X,X,X
ISZJLOT,O,O,O,O,O,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,X,X
ISZJOLT,O,X,O,O,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,O
ISZOTJL,O,X,X,X,X,X,X,X,O
ISZOLTJ,O,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,O,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X,X,X
ISZOJLT,O,X,O,O,X,X,X,X,X
ISOTLJZ,X,O,X,O,X,X,X,X,O
ISOTLZJ,X,O,X,O,X,X,X,X,O
ISOTJLZ,X,O,X,O,X,X,X,X,O
ISOTJZL,X,O,X,O,X,X,X,X,O
ISOTZLJ,X,O,X,O,X,X,X,X,O
ISOTZJL,X,O,X,O,X,X,X,X,O
ISOLTJZ,X,O,X,O,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,X
ISOLJTZ,X,O,X,O,X,X,X,X,X
ISOLJZT,O,O,X,O,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,X
ISOLZJT,O,O,X,O,X,X,X,X,X
ISOJTLZ,X,O,X,O,X,X,X,X,X
ISOJTZL,X,O,X,O,X,X,X,X,X
ISOJLTZ,X,O,X,O,X,X,X,X,X
ISOJLZT,O,O,X,O,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,X,X,X
ISOJZLT,O,O,X,O,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,X,O
ISOZTJL,O,O,X,X,X,X,X,X,O
ISOZLTJ,O,X,X,X,X,X,X,X,X
ISOZLJT,O,O,X,O,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X,X
ISOZJLT,O,O,X,O,X,X,X,X,X
IZTLJSO,O,O,X,X,O,O,O,O,X
IZTLJOS,O,X,X,X,O,O,O,O,X
IZTLSJO,O,O,X,X,O,X,X,X,X
IZTLSOJ,O,X,X,X,O,X,X,X,X
IZTLOJS,O,O,X,X,O,O,X,X,X
IZTLOSJ,O,O,X,X,O,X,X,X,X
IZTJLSO,O,O,X,X,O,O,O,O,X
IZTJLOS,O,X,X,X,O,O,O,O,X
IZTJSLO,O,O,O,O,O,O,X,X,X
IZTJSOL,O,X,X,O,X,O,X,X,X
IZTJOLS,O,X,X,X,O,O,X,X,X
IZTJOSL,O,X,X,O,X,O,X,X,X
IZTSLJO,O,O,X,O,O,X,X,X,X
IZTSLOJ,O,X,X,O,O,X,X,X,O
IZTSJLO,O,O,O,O,O,X,X,X,X
IZTSJOL,O,X,X,O,X,X,X,X,O
IZTSOLJ,O,X,X,O,X,X,X,X,O
IZTSOJL,O,X,X,O,X,X,X,X,O
IZTOLJS,O,O,X,X,O,O,X,X,X
IZTOLSJ,O,O,X,X,O,X,X,X,O
IZTOJLS,O,O,X,X,O,O,X,X,X
IZTOJSL,O,O,O,O,X,O,X,X,X
IZTOSLJ,O,O,X,O,X,X,X,X,O
IZTOSJL,O,O,O,O,X,X,X,X,O
IZLTJSO,O,X,O,X,O,X,O,O,X
IZLTJOS,O,X,X,X,O,X,O,O,X
IZLTSJO,O,X,O,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,X,X
IZLTOJS,O,X,O,X,O,X,X,X,X
IZLTOSJ,O,X,O,X,O,X,X,X,X
IZLJTSO,O,X,O,X,X,X,O,O,X
IZLJTOS,O,X,X,X,O,O,O,O,X
IZLJSTO,O,O,O,X,X,X,O,O,X
IZLJSOT,O,O,O,X,O,O,X,X,X
IZLJOTS,O,X,O,X,O,O,X,O,X
IZLJOST,O,X,O,X,O,O,X,X,X
IZLSTJO,O,X,O,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X,X,X
IZLSJOT,O,O,O,X,O,X,X,X,X
IZLSOTJ,O,X,O,X,X,X,X,X,X
IZLSOJT,O,X,O,X,O,X,X,X,X
IZLOTJS,O,X,O,X,O,X,X,X,X
IZLOTSJ,O,X,O,X,O,X,X,X,X
IZLOJTS,O,X,O,X,O,O,X,X,X
IZLOJST,O,O,O,X,O,O,X,X,X
IZLOSTJ,O,X,O,X,X,X,X,X,X
IZLOSJT,O,O,O,X,O,X,X,X,X
IZJTLSO,O,O,X,X,X,O,X,X,X
IZJTLOS,O,X,X,X,O,O,X,X,X
IZJTSLO,O,O,O,O,X,O,X,X,X
IZJTSOL,O,X,X,O,X,O,X,X,X
IZJTOLS,O,X,X,X,X,O,X,X,X
IZJTOSL,O,X,X,O,X,O,X,X,X
IZJLTSO,O,X,O,X,X,O,O,O,X
IZJLTOS,O,X,X,X,O,O,O,O,X
IZJLSTO,O,O,O,X,X,X,O,O,X
IZJLSOT,O,O,O,X,O,O,X,X,X
IZJLOTS,O,X,X,X,O,O,X,O,X
IZJLOST,O,X,O,X,O,O,X,X,X
IZJSTLO,O,O,O,X,X,O,X,X,X
IZJSTOL,O,X,X,X,X,O,X,X,X
IZJSLTO,O,O,O,X,X,X,X,X,X
IZJSLOT,O,O,O,O,O,O,X,X,X
IZJSOTL,O,X,X,X,X,O,X,X,X
IZJSOLT,O,X,O,O,X,O,X,X,X
IZJOTLS,O,X,X,X,X,O,X,X,X
IZJOTSL,O,X,O,O,X,O,X,X,X
IZJOLTS,O,X,X,X,O,O,X,X,X
IZJOLST,O,X,O,X,O,O,X,X,X
IZJOSTL,O,X,O,X,X,O,X,X,X
IZJOSLT,O,X,O,O,X,O,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,O
IZSTJLO,O,O,O,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X,X,X,O
IZSTOLJ,O,X,X,X,X,X,X,X,O
IZSTOJL,O,X,X,X,X,X,X,X,O
IZSLTJO,O,X,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,O
IZSLJTO,O,O,O,X,X,X,X,X,X
IZSLJOT,O,O,O,O,O,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,O,O,X,X,X,X
IZSJTLO,O,O,O,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X,O
IZSJLTO,O,O,O,X,X,X,X,X,X
IZSJLOT,O,O,O,O,O,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,O
IZSOTJL,O,X,O,X,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,X,X,X,X
IZSOLJT,O,X,O,O,X,X,X,X,X
IZSOJTL,O,X,O,X,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,X,X,X
IZOTLJS,O,O,X,X,X,O,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,O,X,X,X
IZOTJSL,O,O,O,O,X,O,X,X,X
IZOTSLJ,O,O,X,O,X,X,X,X,X
IZOTSJL,O,O,O,O,X,X,X,X,X
IZOLTJS,O,X,O,X,O,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X
IZOLJTS,O,X,O,X,O,O,X,X,X
IZOLJST,O,O,O,X,O,O,X,X,X
IZOLSTJ,O,X,O,X,X,X,X,X,X
IZOLSJT,O,O,O,X,O,X,X,X,X
IZOJTLS,O,O,X,X,X,O,X,X,X
IZOJTSL,O,O,O,O,X,O,X,X,X
IZOJLTS,O,X,O,X,O,O,X,X,X
IZOJLST,O,O,O,X,O,O,X,X,X
IZOJSTL,O,O,O,X,X,O,X,X,X
IZOJSLT,O,O,O,O,X,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X,X
IZOSLTJ,O,X,O,X,X,X,X,X,X
IZOSLJT,O,O,O,O,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X,X
IZOSJLT,O,O,O,O,X,X,X,X,X
IOTLJSZ,X,O,O,O,X,X,O,O,O
IOTLJZS,X,O,O,X,O,X,O,O,X
IOTLSJZ,X,O,O,O,X,X,X,X,O
IOTLSZJ,X,O,O,O,O,X,X,X,O
IOTLZJS,X,O,O,X,O,O,X,X,X
IOTLZSJ,X,O,O,X,O,X,X,X,O
IOTJLSZ,X,O,O,O,X,X,O,O,O
IOTJLZS,X,O,O,X,X,X,O,O,X
IOTJSLZ,O,O,O,O,X,X,X,X,O
IOTJSZL,O,O,O,O,X,X,X,X,O
IOTJZLS,O,O,O,X,X,X,X,X,X
IOTJZSL,O,O,O,O,X,X,X,X,X
IOTSLJZ,O,O,O,O,X,X,X,X,O
IOTSLZJ,O,O,O,O,X,X,X,X,O
IOTSJLZ,O,O,O,O,X,X,X,X,O
IOTSJZL,O,O,O,O,X,X,X,X,O
IOTSZLJ,O,O,O,O,X,X,X,X,O
IOTSZJL,O,O,O,O,X,X,X,X,O
IOTZLJS,O,O,O,X,O,O,X,X,X
IOTZLSJ,O,O,O,X,O,X,X,X,O
IOTZJLS,O,O,O,X,O,O,X,X,X
IOTZJSL,O,O,O,O,X,O,X,X,X
IOTZSLJ,O,O,O,O,X,X,X,X,O
IOTZSJL,O,O,O,O,X,X,X,X,O
IOLTJSZ,X,O,O,O,X,X,O,O,X
IOLTJZS,X,O,X,X,O,X,O,O,X
IOLTSJZ,X,O,O,O,X,X,X,X,X
IOLTSZJ,X,O,X,O,O,X,X,X,X
IOLTZJS,X,O,X,X,O,X,X,X,X
IOLTZSJ,X,O,X,X,O,X,X,X,X
IOLJTSZ,X,O,O,O,X,X,O,O,X
IOLJTZS,X,O,X,X,O,X,O,O,X
IOLJSTZ,X,O,O,O,X,X,O,X,X
IOLJSZT,X,O,O,O,X,X,X,X,X
IOLJZTS,X,X,O,X,O,X,X,O,X
IOLJZST,X,O,O,X,O,X,X,X,X
IOLSTJZ,X,O,O,O,X,X,X,X,X
IOLSTZJ,X,O,X,X,O,X,X,X,X
IOLSJTZ,X,O,O,O,X,X,X,X,X
IOLSJZT,X,O,O,O,X,X,X,X,X
IOLSZTJ,X,X,O,X,X,X,X,X,X
IOLSZJT,X,O,O,O,O,X,X,X,X
IOLZTJS,X,X,O,X,O,X,X,X,X
IOLZTSJ,X,X,O,X,O,X,X,X,X
IOLZJTS,X,X,O,X,O,O,X,X,X
IOLZJST,X,O,O,X,O,O,X,X,X
IOLZSTJ,X,X,O,X,X,X,X,X,X
IOLZSJT,X,O,O,X,O,X,X,X,X
IOJTLSZ,X,O,O,O,X,X,X,X,X
IOJTLZS,X,O,O,X,X,X,X,X,X
IOJTSLZ,O,O,O,O,X,X,X,X,X
IOJTSZL,O,O,O,O,X,X,X,X,X
IOJTZLS,O,O,O,X,X,X,X,X,X
IOJTZSL,O,O,O,O,X,X,X,X,X
IOJLTSZ,X,O,O,O,X,X,O,O,X
IOJLTZS,X,O,X,X,X,X,O,O,X
IOJLSTZ,X,O,O,O,X,X,O,X,X
IOJLSZT,X,O,O,O,X,X,X,X,X
IOJLZTS,X,X,O,X,X,X,X,O,X
IOJLZST,X,O,O,X,X,X,X,X,X
IOJSTLZ,X,O,O,O,X,X,X,X,X
IOJSTZL,X,O,O,O,X,X,X,X,X
IOJSLTZ,X,O,O,O,X,X,X,X,X
IOJSLZT,O,O,O,O,X,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X,X,X
IOJSZLT,O,O,O,O,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X
IOJZTSL,O,O,O,O,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X,X
IOJZLST,O,O,O,X,X,X,X,X,X
IOJZSTL,O,O,O,X,X,X,X,X,X
IOJZSLT,O,O,O,O,X,X,X,X,X
IOSTLJZ,X,O,O,O,X,X,X,X,O
IOSTLZJ,X,O,O,O,X,X,X,X,O
IOSTJLZ,X,O,O,O,X,X,X,X,O
IOSTJZL,X,O,O,O,X,X,X,X,O
IOSTZLJ,X,O,O,O,X,X,X,X,O
IOSTZJL,X,O,O,O,X,X,X,X,O
IOSLTJZ,X,O,O,O,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,O,O,O,X,X,X,X,X
IOSLJZT,O,O,O,O,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,X,X,X,X
IOSLZJT,O,O,O,O,X,X,X,X,X
IOSJTLZ,X,O,O,O,X,X,X,X,X
IOSJTZL,X,O,O,O,X,X,X,X,X
IOSJLTZ,X,O,O,O,X,X,X,X,X
IOSJLZT,O,O,O,O,X,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X,X
IOSJZLT,O,O,O,O,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,X,O
IOSZTJL,O,O,O,X,X,X,X,X,O
IOSZLTJ,O,X,O,X,X,X,X,X,X
IOSZLJT,O,O,O,O,X,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X,X
IOSZJLT,O,O,O,O,X,X,X,X,X
IOZTLJS,O,O,X,X,X,O,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,O,X,X,X
IOZTJSL,O,O,O,O,X,O,X,X,X
IOZTSLJ,O,O,X,O,X,X,X,X,X
IOZTSJL,O,O,O,O,X,X,X,X,X
IOZLTJS,O,X,O,X,O,X,X,X,X
IOZLTSJ,O,X,O,X,X,X,X,X,X
IOZLJTS,O,X,O,X,O,O,X,X,X
IOZLJST,O,O,O,X,O,O,X,X,X
IOZLSTJ,O,X,O,X,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,X,X,X
IOZJTLS,O,O,X,X,X,O,X,X,X
IOZJTSL,O,O,O,O,X,O,X,X,X
IOZJLTS,O,X,O,X,O,O,X,X,X
IOZJLST,O,O,O,X,O,O,X,X,X
IOZJSTL,O,O,O,X,X,O,X,X,X
IOZJSLT,O,O,O,O,X,O,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X,X
IOZSTJL,O,O,O,X,X,X,X,X,X
IOZSLTJ,O,X,O,X,X,X,X,X,X
IOZSLJT,O,O,O,O,X,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X,X
IOZSJLT,O,O,O,O,X,X,X,X,X
LTIJSZO,O,O,O,O,X,X,O,O,X
LTIJSOZ,O,O,O,O,X,X,O,O,X
LTIJZSO,O,O,O,X,O,X,O,O,X
LTIJZOS,O,X,O,X,O,X,O,O,X
LTIJOSZ,X,O,O,O,X,X,O,O,X
LTIJOZS,X,O,O,X,O,X,O,O,X
LTISJZO,O,O,O,O,X,X,O,O,X
LTISJOZ,O,O,O,O,X,X,O,O,X
LTISZJO,O,O,O,O,O,X,X,X,X
LTISZOJ,O,X,O,O,O,X,X,X,O
LTISOJZ,O,O,O,O,X,X,X,X,O
LTISOZJ,O,O,O,O,O,X,X,X,O
LTIZJSO,O,O,O,X,O,O,O,O,X
LTIZJOS,O,X,O,X,O,O,O,O,X
LTIZSJO,O,O,O,X,O,X,X,X,X
LTIZSOJ,O,X,O,X,O,X,X,X,X
LTIZOJS,O,O,O,X,O,O,X,X,X
LTIZOSJ,O,O,O,X,O,X,X,X,X
LTIOJSZ,X,O,O,O,X,X,O,O,O
LTIOJZS,X,O,O,X,O,X,O,O,X
LTIOSJZ,X,O,O,O,X,X,X,X,O
LTIOSZJ,X,O,O,O,O,X,X,X,O
LTIOZJS,X,O,O,X,O,O,X,X,X
LTIOZSJ,X,O,O,X,O,X,X,X,O
LTJISZO,O,O,O,O,X,X,O,O,X
LTJISOZ,O,O,O,O,X,X,O,O,X
LTJIZSO,O,O,O,X,O,X,O,O,X
LTJIZOS,O,X,O,X,O,X,O,O,X
LTJIOSZ,X,O,O,O,X,X,O,O,X
LTJIOZS,X,O,O,X,O,X,O,O,X
LTJSIZO,O,O,O,O,X,X,O,O,X
LTJSIOZ,O,O,O,O,X,X,O,O,X
LTJSZIO,O,O,O,O,X,X,X,X,X
LTJSZOI,O,X,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,O,X,X,X,X,X
LTJSOZI,O,X,O,O,X,X,X,X,X
LTJZISO,O,O,O,X,O,O,O,O,X
LTJZIOS,O,X,O,X,O,O,O,O,X
LTJZSIO,O,O,O,X,O,O,X,X,X
LTJZSOI,O,X,O,X,O,O,X,X,X
LTJZOIS,O,X,O,X,O,O,X,X,X
LTJZOSI,O,X,O,X,O,O,X,X,X
LTJOISZ,X,O,O,O,X,X,O,O,X
LTJOIZS,X,O,O,X,O,X,O,O,X
LTJOSIZ,X,O,O,O,X,X,X,X,X
LTJOSZI,X,O,O,O,X,X,X,X,X
LTJOZIS,X,O,O,X,O,O,X,X,X
LTJOZSI,X,O,O,X,O,O,X,X,X
LTSIJZO,O,O,O,O,X,X,O,O,X
LTSIJOZ,O,O,O,O,X,X,O,O,X
LTSIZJO,O,O,O,O,O,X,X,X,X
LTSIZOJ,O,X,O,O,O,X,X,X,O
LTSIOJZ,O,O,O,O,X,X,X,X,O
LTSIOZJ,O,O,O,O,O,X,X,X,O
LTSJIZO,O,O,O,O,X,X,O,O,X
LTSJIOZ,O,O,O,O,X,X,O,O,X
LTSJZIO,O,O,O,O,X,X,X,X,X
LTSJZOI,O,X,O,O,X,X,X,X,X
LTSJOIZ,O,O,O,O,X,X,X,X,X
LTSJOZI,O,X,O,O,X,X,X,X,X
LTSZIJO,O,O,O,O,O,X,X,X,X
LTSZIOJ,O,X,O,O,O,X,X,X,O
LTSZJIO,O,O,O,O,O,O,X,X,X
LTSZJOI,O,X,O,O,O,O,X,X,X
LTSZOIJ,O,X,O,O,O,X,X,X,O
LTSZOJI,O,X,O,O,O,O,X,X,O
LTSOIJZ,O,O,O,O,X,X,X,X,O
LTSOIZJ,O,O,O,O,O,X,X,X,O
LTSOJIZ,O,O,O,O,X,X,X,X,O
