sequence,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBRdBumBz?iBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFTdBejB6lB0?hBNrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBRdBXiB8?nBWrBywB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahB5hBTdBe?jBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBihBW?rBcsB3rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBmhBf?rBSsB0rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhF8hBajBmgB9?nBfrBzrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFXdBdjB6lB2?mBcsBTrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFUdBajBWrBx?mBXsBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFzdBihBRnBG?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBzdBRnBu?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFmdB0iBRmB6?mBdrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFdiBzdB0gBS?rB3nB2wB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFRdB2nBCmB3?nB0rBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBmiB5mBi?iBfrBcsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFXhBRnB8nBe?sBdrBCsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je2AJvhFzdB9mB3nBU?rBZnBCrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFRcBThBynBu?nBdsBUrB
JSLZITO,X,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X
JSLZIOT,X,O,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
JSLZOTI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,O,O
JSLZOIT,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JSLOTIZ,O,O,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
JSLOTZI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X
JSLOITZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLOIZT,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSLOZTI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X
JSLOZIT,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JSZTILO,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X
JSZTIOL,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JSZTLIO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JSZTLOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSZTOIL,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JSZTOLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSZITLO,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X
JSZITOL,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X
JSZILTO,X,X,O,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JSZILOT,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X
JSZIOTL,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JSZIOLT,X,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
JSZLTIO,O,O,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X
JSZLTOI,O,O,O,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X
JSZLITO,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X
JSZLIOT,X,O,O,X,O,X,X,X,O,O,O,O,X,O,X,X,X,X
JSZLOTI,O,O,O,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O
JSZLOIT,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZOTIL,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JSZOTLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSZOITL,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JSZOILT,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSZOLTI,O,O,O,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O
JSZOLIT,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JSOTILZ,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
JSOTIZL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOTLIZ,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
JSOTLZI,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JSOTZIL,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSOTZLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSOITLZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSOITZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOILTZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOIZTL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X
JSOIZLT,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOLTIZ,O,O,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
JSOLTZI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X
JSOLITZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSOLZTI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X
JSOLZIT,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JSOZTIL,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JSOZTLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSOZITL,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JSOZILT,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOZLTI,O,O,O,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X
JSOZLIT,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JZTILSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTILOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZTISOL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZTIOLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLIOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
JZTLSOI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
JZTLOIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTSILO,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
JZTSIOL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZTSLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZTSLOI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
JZTSOIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZTSOLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
JZTOILS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTOSIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZTOSLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
JZITLSO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITLOS,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZITSOL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZITOLS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZILTOS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILSTO,X,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
JZILSOT,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JZILOTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILOST,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JZISTLO,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
JZISTOL,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZISLTO,X,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JZISLOT,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
JZISOTL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X
JZISOLT,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
JZIOTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JZIOSTL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JZIOSLT,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
JZLTISO,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JZLTIOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSIO,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
JZLTSOI,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
JZLTOIS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLITSO,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JZLITOS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLISTO,X,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
JZLISOT,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JZLIOTS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLIOST,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JZLSTIO,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
JZLSTOI,X,O,O,O,O,X,X,O,X,X,X,X,O,O,O,X,O,X
JZLSITO,X,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X
JZLSIOT,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X
JZLSOTI,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,O,O
JZLSOIT,X,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JZLOTIS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLOITS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOIST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JZLOSTI,X,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
JZLOSIT,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JZSTILO,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
JZSTIOL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZSTLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZSTLOI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
JZSTOIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZSTOLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
JZSITLO,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X
JZSITOL,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZSILTO,X,X,O,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JZSILOT,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSIOTL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X
JZSIOLT,X,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSLTIO,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
JZSLTOI,O,O,O,O,O,X,X,O,X,X,X,X,O,O,O,X,O,X
JZSLITO,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,X
JZSLIOT,X,O,O,X,O,X,X,X,O,O,O,O,X,O,X,X,X,X
JZSLOTI,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,O,O
JZSLOIT,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JZSOTIL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X
JZSOTLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZSOITL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X
JZSOILT,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSOLTI,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,O,O
JZSOLIT,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JZOTILS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOTSIL,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZOTSLI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
JZOITLS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOILTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOILST,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JZOISTL,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JZOISLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOLTIS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOLTSI,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOLITS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOLIST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JZOLSTI,X,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
JZOLSIT,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JZOSTIL,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZOSTLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
JZOSITL,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X
JZOSILT,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JZOSLTI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,O,X,O,O
JZOSLIT,O,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JOTILSZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTLSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JOTLZIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLZSI,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JOTSILZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JOTSIZL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTSLIZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JOTSLZI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTSZIL,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTSZLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTZILS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZISL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOTZSIL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JOTZSLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JOITLSZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITLZS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOILZTS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZST,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOISTLZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOISTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISLTZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISLZT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISZLT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOIZSTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOIZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLTIZS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOLTSZI,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLTZIS,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOLTZSI,X,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JOLITSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLITZS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLISZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOLIZTS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLIZST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOLSTIZ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JOLSTZI,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X
JOLSITZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOLSZTI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X
JOLSZIT,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOLZTIS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLZTSI,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOLZITS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLZIST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOLZSTI,X,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
JOLZSIT,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
JOSTILZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JOSTIZL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOSTLIZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JOSTLZI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOSTZIL,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JOSTZLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JOSITLZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOSITZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOSILTZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSILZT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSIZTL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X
JOSIZLT,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JOSLTIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JOSLTZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X
JOSLITZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSLIZT,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOSLZTI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X
JOSLZIT,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JOSZTIL,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JOSZTLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JOSZITL,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X
JOSZILT,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JOSZLTI,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X
JOSZLIT,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JOZTILS,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTISL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZTLIS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTLSI,O,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZTSIL,O,X,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
JOZTSLI,O,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
JOZITLS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZITSL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZILTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZILST,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOZISTL,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JOZISLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZLTIS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZLTSI,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZLITS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZLIST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOZLSTI,X,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
JOZLSIT,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JOZSTIL,O,X,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
JOZSTLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
JOZSITL,X,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X
JOZSILT,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JOZSLTI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X
JOZSLIT,O,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X
