sequence,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFciBFhBfsBimBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFTdBFhBUnBGrByx?BXrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB0nBCrB2x?BTrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiBTmBWwBis?B0sB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFUhBFiBXmBOsBSw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBTdBcmBVsBWw?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFlcBciBamBfsBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFVhBXiB8qB+rBTn?ByxB
ITZOSLJ,X,X,O,X,X,X,X,O,X,X,O,O
ITZOSJL,X,X,O,X,X,X,X,O,X,X,O,O
ITOLJSZ,O,X,X,X,O,X,X,X,O,X,O,X
ITOLJZS,O,X,O,O,X,X,X,O,O,X,X,X
ITOLSJZ,O,X,X,X,O,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,O,O,X,X,O,O,X,O,X
ITOLZJS,X,X,O,O,X,X,X,O,O,X,X,X
ITOLZSJ,O,X,O,O,X,X,X,O,O,X,X,O
ITOJLSZ,O,X,X,X,O,X,X,X,O,X,O,X
ITOJLZS,O,X,O,O,X,X,X,X,O,X,X,X
ITOJSLZ,X,X,O,X,O,O,X,X,X,X,X,X
ITOJSZL,X,X,O,X,O,O,X,X,O,X,O,X
ITOJZLS,X,X,O,X,X,X,X,O,O,X,X,X
ITOJZSL,X,X,O,X,O,X,X,O,O,X,X,X
ITOSLJZ,O,X,X,X,O,O,X,X,X,X,X,X
ITOSLZJ,O,X,O,O,O,X,X,X,X,O,O,X
ITOSJLZ,X,X,X,X,O,O,X,X,X,X,X,X
ITOSJZL,X,X,O,X,O,O,X,X,X,X,X,X
ITOSZLJ,X,X,O,X,O,X,X,O,X,O,O,X
ITOSZJL,X,X,O,X,O,X,X,O,X,O,O,X
ITOZLJS,X,X,O,O,X,X,X,O,X,X,X,X
ITOZLSJ,X,X,O,O,X,X,X,O,X,X,O,X
ITOZJLS,X,X,O,X,X,X,X,O,X,X,X,X
ITOZJSL,X,X,O,X,O,X,X,O,X,X,O,X
ITOZSLJ,X,X,O,X,O,X,X,O,X,X,O,O
ITOZSJL,X,X,O,X,O,X,X,O,X,X,O,O
ILTJSZO,O,X,X,O,O,O,X,X,O,O,O,X
ILTJSOZ,O,X,X,X,O,O,X,X,O,X,X,X
ILTJZSO,O,X,O,O,X,O,X,O,O,X,X,O
ILTJZOS,X,X,X,O,X,X,X,O,O,X,X,X
ILTJOSZ,O,X,X,X,X,O,O,X,O,X,X,X
ILTJOZS,X,X,X,O,X,X,O,X,O,X,X,X
ILTSJZO,O,X,X,X,O,O,X,X,X,O,X,X
ILTSJOZ,O,X,X,X,O,O,X,X,X,O,X,X
ILTSZJO,O,O,X,X,O,O,X,O,O,O,O,O
ILTSZOJ,X,X,X,O,X,X,X,O,O,O,O,O
ILTSOJZ,O,X,X,X,O,O,X,X,X,O,X,X
ILTSOZJ,X,X,X,O,O,X,X,X,O,O,X,X
ILTZJSO,X,O,O,O,X,O,X,O,O,X,X,O
ILTZJOS,X,O,X,O,X,X,X,O,O,X,X,X
ILTZSJO,O,O,O,X,X,O,X,O,O,O,X,O
ILTZSOJ,X,X,O,O,X,X,X,O,O,O,X,O
ILTZOJS,X,X,X,O,X,X,X,O,O,X,X,X
ILTZOSJ,X,X,X,O,X,X,X,O,O,X,X,O
ILTOJSZ,O,X,X,X,X,O,X,X,O,X,O,X
ILTOJZS,X,X,X,O,X,X,X,X,O,X,X,X
ILTOSJZ,O,X,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,X,X,O,X,X,X,X,O,O,O,X
ILTOZJS,X,X,X,O,X,X,X,O,O,X,X,X
ILTOZSJ,O,X,X,O,X,X,X,O,O,X,X,O
ILJTSZO,O,X,X,O,O,O,X,X,O,O,O,X
ILJTSOZ,O,X,X,X,O,O,X,X,O,X,X,X
ILJTZSO,O,O,O,O,X,O,X,O,O,X,X,O
ILJTZOS,X,O,X,O,X,X,X,O,O,X,X,X
ILJTOSZ,O,X,X,X,X,O,O,X,O,X,X,X
ILJTOZS,O,X,X,O,X,X,O,X,O,X,X,X
ILJSTZO,O,X,O,O,O,O,X,X,O,O,O,X
ILJSTOZ,O,X,X,X,O,O,X,X,O,X,X,X
ILJSZTO,O,O,O,O,X,O,X,X,X,X,O,X
ILJSZOT,X,O,X,O,X,X,X,X,X,X,O,X
ILJSOTZ,O,X,X,X,X,O,O,X,O,X,X,X
ILJSOZT,X,X,X,X,X,X,O,X,X,X,O,X
ILJZTSO,O,O,O,O,X,O,X,O,O,X,X,O
ILJZTOS,X,O,X,O,X,X,X,O,O,X,X,X
ILJZSTO,O,O,X,O,X,O,X,X,X,X,O,O
ILJZSOT,X,O,X,O,X,X,X,X,X,X,O,X
ILJZOTS,X,O,X,O,X,X,O,X,O,X,X,X
ILJZOST,X,O,X,O,X,X,O,X,X,X,X,X
ILJOTSZ,O,X,X,X,O,O,O,X,O,X,O,X
ILJOTZS,O,X,X,O,X,X,O,X,O,X,X,X
ILJOSTZ,O,X,X,X,O,O,O,X,O,X,O,X
ILJOSZT,O,X,X,X,X,X,O,X,X,X,O,X
ILJOZTS,O,X,X,O,X,X,O,X,O,X,X,X
ILJOZST,O,X,X,O,X,X,O,X,X,X,O,X
ILSTJZO,O,X,X,X,O,O,X,X,X,O,X,X
ILSTJOZ,O,X,X,X,O,O,X,X,X,O,X,X
ILSTZJO,O,O,O,X,O,O,X,O,O,O,O,O
ILSTZOJ,X,X,O,O,X,X,X,O,O,O,O,O
ILSTOJZ,O,X,X,X,O,O,X,X,X,O,X,X
ILSTOZJ,X,X,X,O,O,X,X,X,O,O,X,X
ILSJTZO,O,X,X,O,O,O,X,X,O,O,O,X
ILSJTOZ,O,X,X,X,O,O,X,X,O,X,X,X
ILSJZTO,O,O,X,O,X,O,X,X,X,X,O,X
ILSJZOT,X,O,X,O,X,X,X,X,X,X,O,X
ILSJOTZ,O,X,X,X,X,O,O,X,O,X,X,X
ILSJOZT,X,X,X,X,X,X,O,X,X,X,O,X
ILSZTJO,O,O,O,X,X,O,X,O,X,O,O,O
ILSZTOJ,X,X,O,O,X,X,X,O,X,O,O,O
ILSZJTO,O,O,X,O,X,X,X,X,X,X,O,O
ILSZJOT,X,O,X,O,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,O,X,X,X,X,X,X,O,O
ILSZOJT,X,O,X,O,X,X,X,X,X,X,X,X
ILSOTJZ,O,X,X,X,X,O,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,X,O,O,O,X
ILSOJTZ,O,X,X,X,X,X,X,X,O,X,O,X
ILSOJZT,X,X,X,X,X,X,X,X,X,X,O,X
ILSOZTJ,X,X,X,O,X,X,X,X,X,X,O,X
ILSOZJT,X,O,X,O,X,X,X,X,X,X,O,X
ILZTJSO,X,O,O,O,X,O,X,O,O,X,X,O
ILZTJOS,X,O,X,O,X,X,X,O,O,X,X,X
ILZTSJO,O,O,O,X,X,O,X,O,O,O,O,O
ILZTSOJ,X,X,O,O,X,X,X,O,O,O,O,O
ILZTOJS,X,X,X,O,X,X,X,O,O,X,X,X
ILZTOSJ,X,X,X,O,X,X,X,O,O,X,X,O
ILZJTSO,O,O,O,O,X,O,X,O,O,X,X,O
ILZJTOS,X,O,X,O,X,X,X,O,O,X,X,X
ILZJSTO,O,O,X,O,X,O,X,X,X,X,O,O
ILZJSOT,X,O,X,O,X,X,X,X,X,X,O,X
ILZJOTS,X,O,X,O,X,X,O,X,O,X,X,X
ILZJOST,X,O,X,O,X,X,O,X,X,X,X,X
ILZSTJO,O,O,O,X,X,O,X,O,X,O,O,O
ILZSTOJ,X,X,O,O,X,X,X,O,X,O,O,O
ILZSJTO,O,O,X,O,X,X,X,X,X,X,O,O
ILZSJOT,X,O,X,O,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,X,O,X,X,X,X,X,X,O,O
ILZSOJT,X,O,X,O,X,X,X,X,X,X,X,X
ILZOTJS,X,X,O,O,X,X,X,O,O,X,X,X
ILZOTSJ,X,X,O,O,X,X,X,O,O,X,O,O
ILZOJTS,X,O,O,O,X,X,X,X,O,X,X,X
ILZOJST,X,O,X,O,X,X,X,X,X,X,O,X
ILZOSTJ,X,X,O,O,X,X,X,X,X,X,O,O
ILZOSJT,X,O,X,O,X,X,X,X,X,X,O,X
ILOTJSZ,O,X,X,X,O,O,X,X,O,X,O,X
ILOTJZS,O,X,O,O,X,X,X,O,O,X,X,X
ILOTSJZ,O,X,X,X,O,O,X,X,X,X,X,X
ILOTSZJ,O,X,X,O,O,X,X,O,O,O,O,X
ILOTZJS,X,X,O,O,X,X,X,O,O,X,X,X
ILOTZSJ,O,X,O,O,X,X,X,O,O,X,X,O
ILOJTSZ,O,X,X,X,O,O,O,X,O,X,O,X
ILOJTZS,O,X,O,O,X,X,O,O,O,X,X,X
ILOJSTZ,O,X,O,X,O,O,O,X,O,X,O,X
ILOJSZT,O,X,O,X,X,X,O,X,X,X,O,X
ILOJZTS,O,X,O,O,X,X,O,O,O,X,X,X
ILOJZST,O,X,X,O,X,X,O,X,X,X,O,X
ILOSTJZ,O,X,X,X,O,O,X,X,X,X,X,X
ILOSTZJ,O,X,O,O,O,X,X,O,O,O,O,X
ILOSJTZ,O,X,X,X,X,X,X,X,O,X,O,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,O,X
ILOSZTJ,O,X,O,O,X,X,X,O,X,X,O,X
ILOSZJT,O,O,X,O,X,X,X,X,X,X,O,X
ILOZTJS,X,X,O,O,X,X,X,O,O,X,X,X
ILOZTSJ,O,X,O,O,X,X,X,O,O,X,O,O
ILOZJTS,O,O,O,O,X,X,X,O,O,X,X,X
ILOZJST,O,O,X,O,X,X,X,X,X,X,O,X
ILOZSTJ,O,X,O,O,X,X,X,O,X,X,O,O
ILOZSJT,O,O,X,O,X,X,X,X,X,X,O,X
IJTLSZO,O,X,X,O,O,O,X,X,O,X,O,X
IJTLSOZ,O,X,X,X,O,O,X,X,O,X,X,X
IJTLZSO,O,X,O,O,X,O,X,X,O,X,X,O
IJTLZOS,X,X,X,O,X,X,X,X,O,X,X,X
IJTLOSZ,O,X,X,X,X,O,O,X,O,X,X,X
IJTLOZS,O,X,X,O,X,X,O,X,O,X,X,X
IJTSLZO,X,X,O,X,O,O,X,X,X,O,X,X
IJTSLOZ,X,X,X,X,O,O,X,X,X,X,X,X
IJTSZLO,X,X,O,X,O,O,X,X,O,O,O,X
IJTSZOL,X,X,O,X,O,O,X,X,O,O,O,X
IJTSOLZ,X,X,X,X,O,O,X,X,X,X,X,X
IJTSOZL,X,X,O,X,O,O,X,X,O,X,X,X
IJTZLSO,X,O,O,X,X,X,X,O,O,X,X,X
IJTZLOS,X,X,X,X,X,X,X,O,O,X,X,X
IJTZSLO,X,O,O,X,O,O,X,O,O,X,X,O
IJTZSOL,X,O,O,X,O,O,X,X,O,X,X,O
IJTZOLS,X,X,X,X,X,X,X,O,O,X,X,X
IJTZOSL,X,O,O,X,X,X,X,O,O,X,X,X
IJTOLSZ,O,X,X,X,O,X,O,X,O,X,X,X
IJTOLZS,O,X,X,O,X,X,O,X,O,X,X,X
IJTOSLZ,X,X,X,X,O,O,O,X,X,X,X,X
IJTOSZL,X,X,X,X,O,O,O,X,O,X,X,X
IJTOZLS,X,X,X,X,X,X,X,X,O,X,X,X
IJTOZSL,X,X,O,X,O,X,O,X,O,X,X,X
IJLTSZO,O,X,X,O,O,O,X,X,O,O,O,X
IJLTSOZ,O,X,X,X,O,O,X,X,O,X,X,X
IJLTZSO,O,O,O,O,X,O,X,O,O,X,X,O
IJLTZOS,X,O,X,O,X,X,X,O,O,X,X,X
IJLTOSZ,O,X,X,X,X,O,O,X,O,X,X,X
IJLTOZS,O,X,X,O,X,X,O,X,O,X,X,X
IJLSTZO,O,X,O,O,O,O,X,X,O,O,O,X
IJLSTOZ,O,X,X,X,O,O,X,X,O,X,X,X
IJLSZTO,O,O,O,O,X,O,X,X,X,X,O,X
IJLSZOT,X,O,X,O,X,X,X,X,X,X,O,X
IJLSOTZ,O,X,X,X,X,O,O,X,O,X,X,X
IJLSOZT,X,X,X,X,X,X,O,X,X,X,O,X
IJLZTSO,O,O,O,O,X,O,X,O,O,X,X,O
IJLZTOS,X,O,X,O,X,X,X,O,O,X,X,X
IJLZSTO,O,O,X,O,X,O,X,X,X,X,O,O
IJLZSOT,X,O,X,O,X,X,X,X,X,X,O,X
IJLZOTS,X,O,X,O,X,X,O,X,O,X,X,X
IJLZOST,X,O,X,O,X,X,O,X,X,X,X,X
IJLOTSZ,O,X,X,X,O,O,O,X,O,X,O,X
IJLOTZS,O,X,X,O,X,X,O,X,O,X,X,X
IJLOSTZ,O,X,X,X,O,O,O,X,O,X,O,X
IJLOSZT,O,X,X,X,X,X,O,X,X,X,O,X
IJLOZTS,O,X,X,O,X,X,O,X,O,X,X,X
IJLOZST,O,X,X,O,X,X,O,X,X,X,O,X
IJSTLZO,X,X,O,X,O,O,X,X,X,O,X,X
IJSTLOZ,X,X,X,X,O,O,X,X,X,X,X,X
IJSTZLO,X,X,O,X,O,O,X,X,O,O,O,X
IJSTZOL,X,X,O,X,O,O,X,X,O,O,O,X
IJSTOLZ,X,X,X,X,O,O,X,X,X,X,X,X
IJSTOZL,X,X,O,X,O,O,X,X,O,X,X,X
IJSLTZO,O,X,O,O,O,O,X,X,O,X,O,X
IJSLTOZ,O,X,X,X,O,O,X,X,O,X,X,X
IJSLZTO,O,O,O,O,X,O,X,X,X,X,O,X
IJSLZOT,X,O,X,O,X,X,X,X,X,X,O,X
IJSLOTZ,O,X,X,X,X,O,O,X,O,X,X,X
IJSLOZT,X,X,X,X,X,X,O,X,X,X,O,X
IJSZTLO,X,O,O,X,O,O,X,X,X,X,O,X
IJSZTOL,X,O,O,X,O,O,X,X,X,X,O,X
IJSZLTO,X,O,O,X,X,X,X,X,X,X,O,X
IJSZLOT,X,O,X,X,X,X,X,X,X,X,O,X
IJSZOTL,X,O,O,X,X,X,X,X,X,X,O,X
IJSZOLT,X,O,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,O,O,X,X,X,X,X
IJSOTZL,X,X,O,X,O,O,O,X,O,X,X,X
IJSOLTZ,O,X,X,X,O,X,O,X,O,X,X,X
IJSOLZT,O,X,X,X,X,X,O,X,X,X,X,X
IJSOZTL,X,X,O,X,O,X,O,X,X,X,O,X
IJSOZLT,X,X,X,X,X,X,O,X,X,X,X,X
IJZTLSO,X,O,O,X,X,X,X,O,O,X,X,X
IJZTLOS,X,O,X,X,X,X,X,O,O,X,X,X
IJZTSLO,X,O,O,X,O,O,X,O,O,X,O,O
IJZTSOL,X,O,O,X,O,O,X,X,O,X,X,O
IJZTOLS,X,X,X,X,X,X,X,O,O,X,X,X
IJZTOSL,X,O,O,X,X,X,X,O,O,X,X,X
IJZLTSO,O,O,O,O,X,O,X,O,O,X,X,O
IJZLTOS,X,O,X,O,X,X,X,O,O,X,X,X
IJZLSTO,O,O,X,O,X,O,X,X,X,X,O,O
IJZLSOT,X,O,X,O,X,X,X,X,X,X,O,X
IJZLOTS,X,O,X,O,X,X,O,X,O,X,X,X
IJZLOST,X,O,X,O,X,X,O,X,X,X,X,X
IJZSTLO,X,O,O,X,O,O,X,X,X,X,O,O
IJZSTOL,X,O,O,X,O,O,X,X,X,X,O,O
IJZSLTO,X,O,O,X,X,X,X,X,X,X,O,O
IJZSLOT,X,O,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,O,O,X,X,X,X,X,X,X,O,X
IJZSOLT,X,O,X,X,X,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,X,X,X,X,O,X,X,X
IJZOTSL,X,O,O,X,O,X,O,X,O,X,O,X
IJZOLTS,O,O,O,X,X,X,O,X,O,X,X,X
IJZOLST,O,O,X,X,X,X,O,X,X,X,X,X
IJZOSTL,X,O,O,X,O,X,O,X,X,X,O,X
IJZOSLT,X,O,X,X,X,X,O,X,X,X,X,X
IJOTLSZ,O,X,X,X,O,X,O,X,O,X,O,X
IJOTLZS,O,X,O,O,X,X,O,X,O,X,X,X
IJOTSLZ,X,X,O,X,O,O,O,X,X,X,X,X
IJOTSZL,X,X,O,X,O,O,O,X,O,X,O,X
IJOTZLS,X,X,O,X,X,X,X,O,O,X,X,X
IJOTZSL,X,X,O,X,O,X,O,O,O,X,X,X
IJOLTSZ,O,X,X,X,O,O,O,X,O,X,O,X
IJOLTZS,O,X,O,O,X,X,O,O,O,X,X,X
IJOLSTZ,O,X,O,X,O,O,O,X,O,X,O,X
IJOLSZT,O,X,O,X,X,X,O,X,X,X,O,X
IJOLZTS,O,X,O,O,X,X,O,O,O,X,X,X
IJOLZST,O,X,X,O,X,X,O,X,X,X,O,X
IJOSTLZ,X,X,O,X,O,O,O,X,X,X,X,X
IJOSTZL,X,X,O,X,O,O,O,X,O,X,O,X
IJOSLTZ,O,X,O,X,O,X,O,X,O,X,O,X
IJOSLZT,O,X,O,X,X,X,O,X,X,X,O,X
IJOSZTL,X,X,O,X,O,X,O,X,X,X,O,X
IJOSZLT,X,X,O,X,X,X,O,X,X,X,O,X
IJOZTLS,X,X,O,X,X,X,X,O,O,X,X,X
IJOZTSL,X,X,O,X,O,X,O,O,O,X,O,X
IJOZLTS,O,X,O,X,X,X,O,O,O,X,X,X
IJOZLST,O,X,X,X,X,X,O,X,X,X,O,X
IJOZSTL,X,X,O,X,O,X,O,X,X,X,O,X
IJOZSLT,X,X,O,X,X,X,O,X,X,X,O,X
ISTLJZO,O,X,X,X,O,O,X,X,X,O,X,X
ISTLJOZ,O,X,X,X,O,O,X,X,X,O,X,X
ISTLZJO,O,O,O,X,O,O,X,X,X,O,O,O
ISTLZOJ,X,X,O,X,X,X,X,X,X,O,O,O
ISTLOJZ,O,X,X,X,O,O,X,X,X,O,X,X
ISTLOZJ,X,X,X,X,O,X,X,X,X,O,X,X
ISTJLZO,X,X,X,X,O,O,X,X,X,O,X,X
ISTJLOZ,X,X,X,X,O,O,X,X,X,O,X,X
ISTJZLO,X,X,O,X,O,O,X,X,X,O,X,X
ISTJZOL,X,X,O,X,O,O,X,X,X,O,X,X
ISTJOLZ,X,X,X,X,O,O,X,X,X,X,X,X
ISTJOZL,X,X,X,X,O,O,X,X,X,X,X,X
ISTZLJO,X,O,O,X,O,O,X,O,X,O,O,O
ISTZLOJ,X,X,O,X,X,X,X,O,X,O,O,O
ISTZJLO,X,O,O,X,O,O,X,O,X,O,O,O
ISTZJOL,X,O,O,X,O,O,X,X,X,O,X,O
ISTZOLJ,X,X,O,X,O,X,X,O,X,O,O,O
ISTZOJL,X,X,X,X,O,X,X,O,X,O,X,O
ISTOLJZ,X,X,X,X,O,O,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,O,X,X,X,X,O,X,X
ISTOJLZ,X,X,X,X,O,O,X,X,X,X,X,X
ISTOJZL,X,X,X,X,O,O,X,X,X,X,X,X
ISTOZLJ,X,X,O,X,O,X,X,X,X,O,X,X
ISTOZJL,X,X,X,X,O,X,X,X,X,O,X,X
ISLTJZO,O,X,X,X,O,O,X,X,X,O,X,X
ISLTJOZ,O,X,X,X,O,O,X,X,X,O,X,X
ISLTZJO,O,O,O,X,O,O,X,O,O,O,O,O
ISLTZOJ,X,X,O,O,X,X,X,O,O,O,O,O
ISLTOJZ,O,X,X,X,O,O,X,X,X,O,X,X
ISLTOZJ,X,X,X,O,O,X,X,X,O,O,X,X
ISLJTZO,O,X,X,O,O,O,X,X,O,O,O,X
ISLJTOZ,O,X,X,X,O,O,X,X,O,X,X,X
ISLJZTO,O,O,X,O,X,O,X,X,X,X,O,X
ISLJZOT,X,O,X,O,X,X,X,X,X,X,O,X
ISLJOTZ,O,X,X,X,X,O,O,X,O,X,X,X
ISLJOZT,X,X,X,X,X,X,O,X,X,X,O,X
ISLZTJO,O,O,O,X,X,O,X,O,X,O,O,O
ISLZTOJ,X,X,O,O,X,X,X,O,X,O,O,O
ISLZJTO,O,O,X,O,X,X,X,X,X,X,O,O
ISLZJOT,X,O,X,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,X,X,X,X,X,X,O,O
ISLZOJT,X,O,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,X,O,O,O,X
ISLOJTZ,O,X,X,X,X,X,X,X,O,X,O,X
ISLOJZT,X,X,X,X,X,X,X,X,X,X,O,X
ISLOZTJ,X,X,X,O,X,X,X,X,X,X,O,X
ISLOZJT,X,O,X,O,X,X,X,X,X,X,O,X
ISJTLZO,X,X,O,X,O,O,X,X,X,O,X,X
ISJTLOZ,X,X,X,X,O,O,X,X,X,X,X,X
ISJTZLO,X,X,O,X,O,O,X,X,O,O,O,X
ISJTZOL,X,X,O,X,O,O,X,X,O,O,O,X
ISJTOLZ,X,X,X,X,O,O,X,X,X,X,X,X
ISJTOZL,X,X,O,X,O,O,X,X,O,X,X,X
ISJLTZO,O,X,O,O,O,O,X,X,O,X,O,X
ISJLTOZ,O,X,X,X,O,O,X,X,O,X,X,X
ISJLZTO,O,O,O,O,X,O,X,X,X,X,O,X
ISJLZOT,X,O,X,O,X,X,X,X,X,X,O,X
ISJLOTZ,O,X,X,X,X,O,O,X,O,X,X,X
ISJLOZT,X,X,X,X,X,X,O,X,X,X,O,X
ISJZTLO,X,O,O,X,O,O,X,X,X,X,O,X
ISJZTOL,X,O,O,X,O,O,X,X,X,X,O,X
ISJZLTO,X,O,O,X,X,X,X,X,X,X,O,X
ISJZLOT,X,O,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,O,X,X,X,X,X,X,X,O,X
ISJZOLT,X,O,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,O,O,O,X,X,X,X,X
ISJOTZL,X,X,O,X,O,O,O,X,O,X,X,X
ISJOLTZ,O,X,X,X,O,X,O,X,O,X,X,X
ISJOLZT,O,X,X,X,X,X,O,X,X,X,X,X
ISJOZTL,X,X,O,X,O,X,O,X,X,X,O,X
ISJOZLT,X,X,X,X,X,X,O,X,X,X,X,X
ISZTLJO,X,O,O,X,O,O,X,O,X,O,O,O
ISZTLOJ,X,X,O,X,X,X,X,O,X,O,O,O
ISZTJLO,X,O,O,X,O,O,X,O,X,O,O,O
ISZTJOL,X,O,O,X,O,O,X,X,X,O,X,O
ISZTOLJ,X,X,O,X,O,X,X,O,X,O,O,O
ISZTOJL,X,X,X,X,O,X,X,O,X,O,X,O
ISZLTJO,O,O,O,X,X,X,X,O,X,X,O,O
ISZLTOJ,X,X,O,X,X,X,X,O,X,X,O,O
ISZLJTO,O,O,X,X,X,X,X,X,X,X,O,O
ISZLJOT,X,O,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,X,X,X,X,X,O,O
ISZLOJT,X,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,X,O,O,X,O,O,X,X,X,X,O,O
ISZJTOL,X,O,O,X,O,O,X,X,X,X,X,O
ISZJLTO,X,O,X,X,X,X,X,X,X,X,X,O
ISZJLOT,X,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,O,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,X,X,X,X,X,O,O
ISZOTJL,X,X,O,X,X,X,X,X,X,X,O,O
ISZOLTJ,X,X,O,X,X,X,X,X,X,X,O,O
ISZOLJT,X,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,O,O,X,X,X,X,X,X,X,O,X
ISZOJLT,X,O,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,O,O,X,X,X,X,X,X
ISOTLZJ,O,X,O,O,O,X,X,X,X,O,O,X
ISOTJLZ,X,X,X,X,O,O,X,X,X,X,X,X
ISOTJZL,X,X,O,X,O,O,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,O,X,X,O,X,O,O,X
ISOTZJL,X,X,O,X,O,X,X,O,X,O,O,X
ISOLTJZ,O,X,X,X,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,O,O,X,X,O,O,X,O,X
ISOLJTZ,O,X,X,X,X,X,X,X,O,X,O,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,O,X
ISOLZTJ,O,X,O,O,X,X,X,O,X,X,O,X
ISOLZJT,O,O,X,O,X,X,X,X,X,X,O,X
ISOJTLZ,X,X,O,X,O,O,X,X,X,X,X,X
ISOJTZL,X,X,O,X,O,O,X,X,O,X,O,X
ISOJLTZ,O,X,O,X,O,X,X,X,O,X,O,X
ISOJLZT,O,X,O,X,X,X,X,X,X,X,O,X
ISOJZTL,X,X,O,X,O,X,X,X,X,X,O,X
ISOJZLT,X,X,O,X,X,X,X,X,X,X,O,X
ISOZTLJ,X,X,O,X,O,X,X,O,X,X,O,X
ISOZTJL,X,X,O,X,O,X,X,O,X,X,O,X
ISOZLTJ,O,X,O,X,X,X,X,O,X,X,O,X
ISOZLJT,O,O,X,X,X,X,X,X,X,X,O,X
ISOZJTL,X,O,O,X,X,X,X,X,X,X,O,X
ISOZJLT,X,O,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,O,O,X,X,X,X,O,X,X,X,O
IZTLJOS,X,O,X,X,X,X,X,O,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X,O,X,X,O,O
IZTLSOJ,X,X,O,X,X,X,X,O,X,X,O,O
IZTLOJS,X,X,X,X,X,X,X,O,X,X,X,X
IZTLOSJ,X,X,X,X,X,X,X,O,X,X,X,O
IZTJLSO,X,O,O,X,X,X,X,O,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,O,X,X,X,X
IZTJSLO,X,O,O,X,O,O,X,O,X,X,O,O
IZTJSOL,X,O,O,X,O,O,X,X,X,X,X,O
IZTJOLS,X,X,X,X,X,X,X,O,X,X,X,X
IZTJOSL,X,O,O,X,X,X,X,O,X,X,X,X
IZTSLJO,X,O,O,X,O,O,X,O,X,O,O,O
IZTSLOJ,X,X,O,X,X,X,X,O,X,O,O,O
IZTSJLO,X,O,O,X,O,O,X,O,X,O,O,O
IZTSJOL,X,O,O,X,O,O,X,X,X,O,X,O
IZTSOLJ,X,X,O,X,O,X,X,O,X,O,O,O
IZTSOJL,X,X,X,X,O,X,X,O,X,O,X,O
IZTOLJS,X,X,O,O,X,X,X,O,X,X,X,X
IZTOLSJ,X,X,O,O,X,X,X,O,X,X,O,X
IZTOJLS,X,X,O,X,X,X,X,O,X,X,X,X
IZTOJSL,X,X,O,X,X,X,X,O,X,X,O,X
IZTOSLJ,X,X,O,X,X,X,X,O,X,X,O,O
IZTOSJL,X,X,O,X,X,X,X,O,X,X,O,O
IZLTJSO,X,O,O,O,X,O,X,O,O,X,X,O
IZLTJOS,X,O,X,O,X,X,X,O,O,X,X,X
IZLTSJO,O,O,O,X,X,O,X,O,O,O,O,O
IZLTSOJ,X,X,O,O,X,X,X,O,O,O,O,O
