sequence,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeX8IvhFxdBcmB6nBT?jBdsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jex8IvhF6jB3hBziBN?sBUmBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFeiBfjB6jBc?sB5mBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Je08IvhFxdBamB9nBT?jBfsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFWiBxdBTjBc?sBCrB3rB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhF5hB0dB6jB2?nBzqBXsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez8IvhFGeBUjBxmBC?rBXsBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFRdB+jB3iBq?rBUnBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Je08IvhFxdB9nBTjBK?rBfsBuqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFXeBSoBUnB5?mBzqBOsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFfiB8iB+jBS?rBTnBRwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFXdBTeBWoBU?nBSrBRwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jex8IvhFXeBUhBSoBN?sBurBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhF6jBXiB8nB5?mBOsBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeX8IvhFTeBcmBxnB6?nBdsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFTeBCiBxnB3?mBcsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFRdB+jBUiBq?rB3nBzqB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez8IvhFGeB8qBqrBx?nB3nBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeC9IvhFTeB8qBWsBx?sBdrBXsB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JeWCJvhFxdBTjB8qBC?nBXsBdrB,v115@zgD8FeC8GeD8FeC8EeE8DeC8JedBJvhFCdBxiBTjB3?mBcsBWwB,v115@zgD8FeC8GeD8FeC8EeE8DeC8Jez9IvhF+jBRhBUiBC?rBXsBNrB
JOTILZS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
JOTISLZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTISZL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JOTIZSL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTLIZS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOTLSIZ,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JOTLSZI,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JOTLZIS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JOTLZSI,O,O,X,O,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
JOTSILZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTSZIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X
JOTZISL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JOTZLSI,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
JOTZSIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOITLSZ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOITLZS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
JOITSLZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSZL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITZLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
JOITZSL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOILTSZ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOILTZS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
JOILSTZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOILSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOILZTS,O,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOILZST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOISTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISTZL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISLTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOISLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOISZTL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOISZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOIZTLS,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
JOIZTSL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOIZLTS,O,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOIZLST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOIZSTL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOIZSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOLTISZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLTIZS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLTSIZ,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JOLTSZI,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JOLTZIS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JOLTZSI,O,O,X,O,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
JOLITSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLITZS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLISTZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLISZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLIZTS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLSTIZ,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JOLSTZI,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JOLSITZ,O,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOLSIZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLSZTI,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLZTIS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLZTSI,O,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JOLZITS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLZSTI,O,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLZSIT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSTILZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSTZIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSILTZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSILZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSIZTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSIZLT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLTIZ,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLTZI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSLITZ,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLIZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLZTI,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZTIL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZILT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSZLTI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSZLIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOZTILS,O,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X
JOZTISL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZTLIS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JOZTLSI,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
JOZTSIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSLI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZITLS,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X
JOZITSL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZILTS,O,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOZILST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOZISTL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JOZISLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOZLTIS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZLTSI,O,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JOZLITS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZLSTI,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOZLSIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZSTIL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOZSTLI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JOZSITL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOZSILT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOZSLTI,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOZSLIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STILJZO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STILJOZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
STILZJO,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STILZOJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STILOJZ,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
STILOZJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIJLZO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STIJLOZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
STIJZLO,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
STIJZOL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIJOLZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIJOZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIZLJO,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIZLOJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZJLO,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIZJOL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIZOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZOJL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOLJZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOLZJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOJLZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOJZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOZLJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJZO,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLIJOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLIZJO,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLIZOJ,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLIOJZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLIOZJ,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
STLJIZO,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLJIOZ,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLJZIO,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
STLJZOI,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
STLJOIZ,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLJOZI,X,X,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
STLZIJO,O,X,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STLZIOJ,O,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STLZJIO,O,X,O,O,O,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
STLZJOI,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
STLZOIJ,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STLZOJI,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STLOIJZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLOIZJ,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
STLOJIZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLOJZI,X,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
STLOZIJ,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STLOZJI,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STJILZO,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STJILOZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
STJIZLO,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
STJIZOL,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STJIOLZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJIOZL,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STJLIZO,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLIOZ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLZIO,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STJLZOI,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STJLOIZ,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLOZI,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZILO,O,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
STJZIOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STJZLIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZLOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZOIL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZOLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOILZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOIZL,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STJOLIZ,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOLZI,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STJOZIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZILJO,O,X,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STZILOJ,O,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
STZIJLO,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZIJOL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZIOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZIOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZLIJO,O,X,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STZLIOJ,O,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STZLJIO,O,X,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STZLJOI,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STZLOIJ,O,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X
STZLOJI,O,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X
STZJILO,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STZJIOL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZJLIO,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STZJLOI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZJOIL,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZJOLI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZOILJ,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STZOIJL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZOLIJ,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STZOLJI,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STZOJIL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZOJLI,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STOILJZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STOILZJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STOIJLZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STOIJZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STOIZLJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
STOIZJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STOLIJZ,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STOLIZJ,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
STOLJIZ,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STOLJZI,X,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
STOLZIJ,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STOLZJI,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X
STOJILZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STOJIZL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STOJLIZ,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STOJLZI,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STOJZIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STOJZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STOZILJ,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X
STOZIJL,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STOZLIJ,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
STOZLJI,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
STOZJIL,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STOZJLI,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SITLJZO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
SITLJOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
SITLZJO,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
SITLZOJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SITLOJZ,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
SITLOZJ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SITJLZO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
SITJLOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
SITJZLO,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
