sequence,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFCe?BUgBFhBXjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFGe?BUgBFhBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFqi?BTeBUgBFhBGrBXrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BqiBTeBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BCeBFgBXjBUmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BWjBFgBXjBCrBUrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BGeB1lBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjB6rBzqB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BuiBcjBFgBqqB/rB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFGe?BylBziB5mBfrBlqB
TLZJOSI,X,O,O,O,X,O,O,O,X,X,X
TLZSIJO,O,X,X,O,X,O,O,O,X,X,X
TLZSIOJ,O,O,O,O,X,O,O,X,X,X,X
TLZSJIO,O,X,X,O,X,O,O,O,X,X,X
TLZSJOI,O,X,X,O,X,O,X,O,X,X,X
TLZSOIJ,O,O,O,O,X,O,O,X,X,X,X
TLZSOJI,O,O,O,O,X,O,O,X,X,X,X
TLZOIJS,X,O,O,O,X,O,O,O,X,X,O
TLZOISJ,X,O,O,O,X,O,O,X,X,X,O
TLZOJIS,X,O,O,O,X,O,O,O,X,X,O
TLZOJSI,X,O,O,O,X,O,O,O,X,X,X
TLZOSIJ,X,O,O,O,X,O,O,X,X,X,X
TLZOSJI,X,O,O,O,X,O,O,X,X,X,X
TLOIJSZ,X,X,X,X,X,O,O,X,X,X,O
TLOIJZS,X,O,O,X,X,O,O,X,X,X,O
TLOISJZ,X,X,X,O,O,O,O,X,X,X,O
TLOISZJ,X,X,X,O,O,X,O,X,X,X,O
TLOIZJS,X,O,O,O,X,O,O,X,X,X,O
TLOIZSJ,X,O,O,O,X,O,O,X,X,X,O
TLOJISZ,X,X,X,X,X,O,O,X,X,X,O
TLOJIZS,X,O,O,X,X,O,O,X,X,X,O
TLOJSIZ,X,X,X,O,X,O,O,X,X,X,X
TLOJSZI,X,O,O,O,X,O,O,X,X,X,X
TLOJZIS,X,O,O,O,X,O,O,O,X,X,O
TLOJZSI,X,O,O,O,X,O,O,O,X,X,X
TLOSIJZ,X,X,X,O,O,O,O,X,X,X,X
TLOSIZJ,X,X,X,O,O,X,O,X,X,X,X
TLOSJIZ,X,X,X,O,O,O,O,X,X,X,X
TLOSJZI,X,O,X,O,X,O,O,X,X,X,X
TLOSZIJ,X,O,O,O,O,X,O,X,X,X,X
TLOSZJI,X,O,O,O,X,X,O,X,X,X,X
TLOZIJS,X,O,O,O,X,O,O,O,X,X,O
TLOZISJ,X,O,O,O,X,O,O,X,X,X,O
TLOZJIS,X,O,O,O,X,O,O,O,X,X,O
TLOZJSI,X,O,O,O,X,O,O,O,X,X,X
TLOZSIJ,X,O,O,O,X,O,O,X,X,X,X
TLOZSJI,X,O,O,O,X,O,O,X,X,X,X
TJILSZO,X,X,X,X,O,O,X,X,X,X,X
TJILSOZ,X,X,X,X,O,O,X,X,X,X,X
TJILZSO,X,X,O,X,O,O,X,O,X,X,X
TJILZOS,X,X,O,X,O,O,O,O,X,X,X
TJILOSZ,X,X,X,X,O,O,X,X,X,X,X
TJILOZS,X,X,O,X,X,O,X,X,X,X,X
TJISLZO,O,X,X,X,O,X,X,X,X,X,X
TJISLOZ,X,X,X,X,O,X,X,X,X,X,X
TJISZLO,O,X,X,X,O,X,X,X,X,X,X
TJISZOL,O,X,X,X,O,X,O,X,X,X,X
TJISOLZ,X,X,X,X,O,O,X,X,X,X,X
TJISOZL,X,X,X,X,O,O,X,X,X,X,X
TJIZLSO,O,X,O,X,O,X,X,O,O,X,X
TJIZLOS,X,X,O,X,O,X,O,O,X,X,X
TJIZSLO,O,X,O,X,O,X,X,O,O,X,X
TJIZSOL,O,X,X,X,O,X,O,O,O,X,X
TJIZOLS,X,X,O,X,O,X,O,X,X,X,X
TJIZOSL,O,X,X,X,O,O,O,O,O,X,X
TJIOLSZ,X,X,X,X,O,O,X,X,X,X,X
TJIOLZS,X,X,X,X,X,O,O,X,X,X,X
