sequence,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhF/mBUiBGjBzkBtq?BywB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFxgBNnBGjBTlBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Je0/IvhFThBGjBRqB3rB6q?BNsB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFTgBNnBGjBxqBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNnBGjBzkBCmBXr?B0rB,v115@HhA8GeA8AeA8FeF8DeC8Jex/IvhFNmBGjBClBXnB0q?BzrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlB0r?BXrB,v115@HhA8GeA8AeA8FeF8DeC8Je6EJvhFNnBGjBxlBTlBXr?B0rB
ILOTZJS,O,O,O,X,O,O,X,X,X,X
ILOTZSJ,O,O,X,X,O,O,X,X,X,X
ILOJTSZ,O,O,O,X,X,O,O,X,X,X
ILOJTZS,O,O,O,X,O,O,X,X,X,X
ILOJSTZ,O,X,O,X,X,O,O,X,X,X
ILOJSZT,O,X,X,X,X,X,X,O,X,X
ILOJZTS,O,O,X,X,O,O,X,O,X,X
ILOJZST,X,X,X,X,X,X,X,O,X,X
ILOSTJZ,O,O,O,X,X,O,O,X,X,X
ILOSTZJ,O,X,O,X,X,O,O,X,X,X
ILOSJTZ,O,X,O,X,X,O,O,X,X,X
ILOSJZT,O,X,X,X,X,X,X,O,X,X
ILOSZTJ,X,O,O,X,X,X,O,O,X,X
ILOSZJT,O,X,X,X,X,X,X,O,X,X
ILOZTJS,O,O,O,X,O,O,X,O,X,X
ILOZTSJ,O,O,X,X,O,O,X,O,X,X
ILOZJTS,O,O,X,X,O,O,X,O,X,X
ILOZJST,X,X,X,X,X,X,X,O,X,X
ILOZSTJ,X,O,O,X,O,X,X,O,X,X
ILOZSJT,X,X,X,X,X,X,X,O,X,X
IJTLSZO,O,X,X,X,X,O,X,O,X,O
IJTLSOZ,O,X,O,X,X,O,X,X,X,O
IJTLZSO,O,X,X,X,X,O,X,O,O,X
IJTLZOS,X,O,X,X,X,O,X,O,O,X
IJTLOSZ,O,O,O,X,X,O,O,X,X,X
IJTLOZS,O,O,O,X,O,O,X,X,X,X
IJTSLZO,O,X,X,O,X,O,X,O,X,O
IJTSLOZ,O,X,O,O,X,O,O,X,X,O
IJTSZLO,O,X,X,O,X,X,X,O,X,O
IJTSZOL,O,X,X,O,X,X,X,X,X,X
IJTSOLZ,O,X,O,O,X,O,O,X,X,O
IJTSOZL,O,X,O,O,O,X,O,X,X,X
IJTZLSO,O,X,X,X,X,O,X,O,O,X
IJTZLOS,X,O,X,X,O,O,X,O,O,X
IJTZSLO,O,X,X,O,X,X,X,O,O,X
IJTZSOL,O,X,X,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,O,O,X,X,O,X
IJTZOSL,X,O,X,X,O,X,O,X,X,X
IJTOLSZ,O,O,O,X,X,O,O,X,X,X
IJTOLZS,O,O,O,X,O,O,X,X,X,X
IJTOSLZ,O,O,O,X,X,O,O,X,X,X
IJTOSZL,O,X,O,X,O,X,O,X,X,X
IJTOZLS,O,O,O,X,O,O,X,X,X,X
IJTOZSL,O,O,X,X,O,X,O,X,X,X
IJLTSZO,O,X,X,X,X,O,X,O,X,O
IJLTSOZ,O,X,O,X,X,O,X,X,X,O
IJLTZSO,O,X,X,X,X,O,X,O,O,X
IJLTZOS,X,O,X,X,X,O,X,O,O,X
IJLTOSZ,O,O,O,X,X,O,O,X,X,X
IJLTOZS,O,O,O,X,O,O,X,X,X,X
IJLSTZO,O,X,X,O,X,O,X,O,X,O
IJLSTOZ,O,X,O,O,X,O,X,X,X,O
IJLSZTO,O,X,X,O,X,X,X,O,X,X
IJLSZOT,O,X,X,O,X,X,X,O,X,X
IJLSOTZ,O,X,O,O,X,O,X,X,X,X
IJLSOZT,O,X,X,O,X,X,X,O,X,X
IJLZTSO,O,X,X,X,X,O,X,O,O,X
IJLZTOS,X,O,X,X,X,O,X,O,O,X
IJLZSTO,O,X,X,O,X,X,X,O,X,X
IJLZSOT,O,X,X,O,X,X,X,O,X,X
IJLZOTS,O,O,X,X,X,O,X,O,X,X
IJLZOST,X,X,X,X,X,X,X,O,X,X
IJLOTSZ,O,O,O,X,X,O,O,X,X,X
IJLOTZS,O,O,O,X,O,O,X,X,X,X
IJLOSTZ,O,X,O,X,X,O,O,X,X,X
IJLOSZT,O,X,X,X,X,X,X,O,X,X
IJLOZTS,O,O,X,X,O,O,X,O,X,X
IJLOZST,X,X,X,X,X,X,X,O,X,X
IJSTLZO,O,X,X,O,X,O,X,O,X,O
IJSTLOZ,O,X,O,O,X,O,O,X,X,O
IJSTZLO,O,X,X,O,X,X,X,O,X,O
IJSTZOL,O,X,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,O,O,X,O,O,X,X,O
IJSTOZL,O,X,O,O,O,X,O,X,X,X
IJSLTZO,O,X,X,O,X,O,X,O,X,O
IJSLTOZ,O,X,O,O,X,O,X,X,X,O
IJSLZTO,O,X,X,O,X,X,X,O,X,X
IJSLZOT,O,X,X,O,X,X,X,O,X,X
IJSLOTZ,O,X,O,O,X,O,X,X,X,X
IJSLOZT,O,X,X,O,X,X,X,O,X,X
IJSZTLO,X,X,X,O,X,X,X,O,X,X
IJSZTOL,X,X,X,O,X,X,X,X,X,X
IJSZLTO,X,X,X,O,X,X,X,O,X,X
IJSZLOT,X,X,X,O,X,X,X,O,X,X
IJSZOTL,X,X,X,O,X,X,X,X,X,X
IJSZOLT,X,X,X,O,X,X,X,O,X,X
IJSOTLZ,O,X,O,O,X,O,O,X,X,X
IJSOTZL,O,X,O,O,O,X,O,X,X,X
IJSOLTZ,O,X,O,O,X,O,O,X,X,X
IJSOLZT,X,X,X,O,X,X,X,O,X,X
IJSOZTL,X,X,X,O,O,X,O,X,X,X
IJSOZLT,X,X,X,O,X,X,X,O,X,X
IJZTLSO,O,X,X,X,X,O,X,O,O,X
IJZTLOS,X,O,X,X,O,O,X,O,O,X
IJZTSLO,O,X,X,O,X,X,X,O,O,X
IJZTSOL,O,X,X,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,O,O,X,X,O,X
IJZTOSL,X,O,X,X,O,X,O,X,X,X
IJZLTSO,O,X,X,X,X,O,X,O,O,X
IJZLTOS,X,O,X,X,X,O,X,O,O,X
IJZLSTO,O,X,X,O,X,X,X,O,X,X
IJZLSOT,O,X,X,O,X,X,X,O,X,X
IJZLOTS,O,O,X,X,X,O,X,O,X,X
IJZLOST,X,X,X,X,X,X,X,O,X,X
IJZSTLO,X,X,X,O,X,X,X,O,X,X
IJZSTOL,X,X,X,O,X,X,X,X,X,X
IJZSLTO,X,X,X,O,X,X,X,O,X,X
IJZSLOT,X,X,X,O,X,X,X,O,X,X
IJZSOTL,X,X,X,O,X,X,X,X,X,X
IJZSOLT,X,X,X,O,X,X,X,O,X,X
IJZOTLS,O,O,X,X,O,O,X,X,X,X
IJZOTSL,O,O,X,X,O,X,O,X,X,X
IJZOLTS,O,O,X,X,O,O,X,O,X,X
IJZOLST,X,X,X,X,X,X,X,O,X,X
IJZOSTL,X,X,X,O,O,X,O,X,X,X
IJZOSLT,X,X,X,O,X,X,X,O,X,X
IJOTLSZ,O,O,O,X,X,O,O,X,X,X
IJOTLZS,O,O,O,X,O,O,X,X,X,X
IJOTSLZ,O,O,O,X,X,O,O,X,X,X
IJOTSZL,O,X,O,X,O,X,O,X,X,X
IJOTZLS,O,O,O,X,O,O,X,X,X,X
IJOTZSL,O,O,X,X,O,X,O,X,X,X
IJOLTSZ,O,O,O,X,X,O,O,X,X,X
IJOLTZS,O,O,O,X,O,O,X,X,X,X
IJOLSTZ,O,X,O,X,X,O,O,X,X,X
IJOLSZT,O,X,X,X,X,X,X,O,X,X
IJOLZTS,O,O,X,X,O,O,X,O,X,X
IJOLZST,X,X,X,X,X,X,X,O,X,X
IJOSTLZ,O,X,O,O,X,O,O,X,X,X
IJOSTZL,O,X,O,O,O,X,O,X,X,X
IJOSLTZ,O,X,O,O,X,O,O,X,X,X
IJOSLZT,X,X,X,O,X,X,X,O,X,X
IJOSZTL,X,X,X,O,O,X,O,X,X,X
IJOSZLT,X,X,X,O,X,X,X,O,X,X
IJOZTLS,O,O,X,X,O,O,X,X,X,X
IJOZTSL,O,O,X,X,O,X,O,X,X,X
IJOZLTS,O,O,X,X,O,O,X,O,X,X
IJOZLST,X,X,X,X,X,X,X,O,X,X
IJOZSTL,X,X,X,O,O,X,O,X,X,X
IJOZSLT,X,X,X,O,X,X,X,O,X,X
ISTLJZO,O,X,X,O,X,O,X,O,X,O
ISTLJOZ,O,X,O,O,X,O,O,X,X,O
ISTLZJO,O,X,X,O,X,O,X,O,X,O
ISTLZOJ,O,X,X,O,X,O,X,O,X,X
ISTLOJZ,O,X,O,O,X,O,O,X,X,O
ISTLOZJ,O,X,O,O,X,O,O,X,X,X
ISTJLZO,O,X,X,O,X,O,X,O,X,O
ISTJLOZ,O,X,O,O,X,O,O,X,X,O
ISTJZLO,O,X,X,O,X,X,X,O,X,O
ISTJZOL,O,X,X,O,X,X,X,X,X,X
ISTJOLZ,X,X,O,O,X,O,O,X,X,O
ISTJOZL,O,X,O,O,O,X,O,X,X,X
ISTZLJO,O,X,X,O,X,X,X,O,X,O
ISTZLOJ,X,X,X,O,X,X,X,O,X,X
ISTZJLO,O,X,X,O,X,X,X,O,X,O
ISTZJOL,O,X,X,O,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,X,X,X,X,X,X
ISTZOJL,O,X,X,O,X,X,X,X,X,X
ISTOLJZ,X,X,O,O,X,O,O,X,X,O
ISTOLZJ,X,X,O,O,X,O,O,X,X,X
ISTOJLZ,X,X,O,O,X,O,O,X,X,O
ISTOJZL,O,X,O,O,O,X,O,X,X,X
ISTOZLJ,X,X,O,O,O,X,O,X,X,X
ISTOZJL,O,X,O,O,O,X,O,X,X,X
ISLTJZO,O,X,X,O,X,O,X,O,X,O
ISLTJOZ,O,X,O,O,X,O,O,X,X,O
ISLTZJO,O,X,X,O,X,O,X,O,X,O
ISLTZOJ,O,X,X,O,X,O,X,O,X,X
ISLTOJZ,O,X,O,O,X,O,O,X,X,O
ISLTOZJ,O,X,O,O,X,O,O,X,X,X
ISLJTZO,O,X,X,O,X,O,X,O,X,O
ISLJTOZ,O,X,O,O,X,O,X,X,X,O
ISLJZTO,O,X,X,O,X,X,X,O,X,X
ISLJZOT,O,X,X,O,X,X,X,O,X,X
ISLJOTZ,O,X,O,O,X,O,X,X,X,X
ISLJOZT,O,X,X,O,X,X,X,O,X,X
ISLZTJO,O,X,X,O,X,X,X,O,X,O
ISLZTOJ,X,X,X,O,X,X,X,O,X,X
ISLZJTO,O,X,X,O,X,X,X,O,X,X
ISLZJOT,O,X,X,O,X,X,X,O,X,X
ISLZOTJ,X,X,X,O,X,X,X,O,X,X
ISLZOJT,O,X,X,O,X,X,X,O,X,X
ISLOTJZ,O,X,O,O,X,O,O,X,X,O
ISLOTZJ,O,X,O,O,X,O,O,X,X,X
ISLOJTZ,O,X,O,O,X,O,O,X,X,X
ISLOJZT,O,X,X,O,X,X,X,O,X,X
ISLOZTJ,X,X,O,O,X,X,O,O,X,X
ISLOZJT,O,X,X,O,X,X,X,O,X,X
ISJTLZO,O,X,X,O,X,O,X,O,X,O
ISJTLOZ,O,X,O,O,X,O,O,X,X,O
ISJTZLO,O,X,X,O,X,X,X,O,X,O
ISJTZOL,O,X,X,O,X,X,X,X,X,X
ISJTOLZ,X,X,O,O,X,O,O,X,X,O
ISJTOZL,O,X,O,O,O,X,O,X,X,X
ISJLTZO,O,X,X,O,X,O,X,O,X,O
ISJLTOZ,O,X,O,O,X,O,X,X,X,O
ISJLZTO,O,X,X,O,X,X,X,O,X,X
ISJLZOT,O,X,X,O,X,X,X,O,X,X
ISJLOTZ,O,X,O,O,X,O,X,X,X,X
ISJLOZT,O,X,X,O,X,X,X,O,X,X
ISJZTLO,X,X,X,O,X,X,X,O,X,X
ISJZTOL,X,X,X,O,X,X,X,X,X,X
ISJZLTO,X,X,X,O,X,X,X,O,X,X
ISJZLOT,X,X,X,O,X,X,X,O,X,X
ISJZOTL,X,X,X,O,X,X,X,X,X,X
ISJZOLT,X,X,X,O,X,X,X,O,X,X
ISJOTLZ,O,X,O,O,X,O,O,X,X,X
ISJOTZL,O,X,O,O,O,X,O,X,X,X
ISJOLTZ,O,X,O,O,X,O,O,X,X,X
ISJOLZT,X,X,X,O,X,X,X,O,X,X
ISJOZTL,X,X,X,O,O,X,O,X,X,X
ISJOZLT,X,X,X,O,X,X,X,O,X,X
ISZTLJO,X,X,X,O,X,X,X,O,X,O
ISZTLOJ,X,X,X,O,X,X,X,O,X,X
ISZTJLO,X,X,X,O,X,X,X,O,X,O
ISZTJOL,X,X,X,O,X,X,X,X,X,X
ISZTOLJ,X,X,X,O,X,X,X,X,X,X
ISZTOJL,X,X,X,O,X,X,X,X,X,X
ISZLTJO,X,X,X,O,X,X,X,O,X,O
ISZLTOJ,X,X,X,O,X,X,X,O,X,X
ISZLJTO,X,X,X,O,X,X,X,O,X,X
ISZLJOT,X,X,X,O,X,X,X,O,X,X
ISZLOTJ,X,X,X,O,X,X,X,O,X,X
ISZLOJT,X,X,X,O,X,X,X,O,X,X
ISZJTLO,X,X,X,O,X,X,X,O,X,X
ISZJTOL,X,X,X,O,X,X,X,X,X,X
ISZJLTO,X,X,X,O,X,X,X,O,X,X
ISZJLOT,X,X,X,O,X,X,X,O,X,X
ISZJOTL,X,X,X,O,X,X,X,X,X,X
ISZJOLT,X,X,X,O,X,X,X,O,X,X
ISZOTLJ,X,X,X,O,X,X,X,X,X,X
ISZOTJL,X,X,X,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,X,X,O,X,X
ISZOLJT,X,X,X,O,X,X,X,O,X,X
ISZOJTL,X,X,X,O,X,X,X,X,X,X
ISZOJLT,X,X,X,O,X,X,X,O,X,X
ISOTLJZ,O,X,O,O,X,O,O,X,X,O
ISOTLZJ,O,X,O,O,X,O,O,X,X,X
ISOTJLZ,O,X,O,O,X,O,O,X,X,O
ISOTJZL,O,X,O,O,O,X,O,X,X,X
ISOTZLJ,O,X,O,O,O,X,O,X,X,X
ISOTZJL,O,X,O,O,O,X,O,X,X,X
ISOLTJZ,O,X,O,O,X,O,O,X,X,O
ISOLTZJ,O,X,O,O,X,O,O,X,X,X
ISOLJTZ,O,X,O,O,X,O,O,X,X,X
ISOLJZT,X,X,X,O,X,X,X,O,X,X
ISOLZTJ,X,X,O,O,X,X,O,O,X,X
ISOLZJT,X,X,X,O,X,X,X,O,X,X
ISOJTLZ,O,X,O,O,X,O,O,X,X,X
ISOJTZL,O,X,O,O,O,X,O,X,X,X
ISOJLTZ,O,X,O,O,X,O,O,X,X,X
ISOJLZT,X,X,X,O,X,X,X,O,X,X
ISOJZTL,X,X,X,O,O,X,O,X,X,X
ISOJZLT,X,X,X,O,X,X,X,O,X,X
ISOZTLJ,X,X,O,O,O,X,O,X,X,X
ISOZTJL,X,X,O,O,O,X,O,X,X,X
ISOZLTJ,X,X,O,O,O,X,O,O,X,X
ISOZLJT,X,X,X,O,X,X,X,O,X,X
ISOZJTL,X,X,X,O,O,X,O,X,X,X
ISOZJLT,X,X,X,O,X,X,X,O,X,X
IZTLJSO,O,X,X,X,X,O,X,O,O,X
IZTLJOS,X,O,X,X,O,O,X,O,O,X
IZTLSJO,O,X,X,X,X,O,X,O,O,X
IZTLSOJ,O,X,X,X,X,O,X,O,X,X
IZTLOJS,X,O,X,X,O,O,X,O,O,X
IZTLOSJ,X,O,X,X,O,O,X,O,X,X
IZTJLSO,O,X,X,X,X,O,X,O,O,X
IZTJLOS,X,O,X,X,O,O,X,O,O,X
IZTJSLO,O,X,X,O,X,X,X,O,O,X
IZTJSOL,O,X,X,O,X,X,X,X,X,X
IZTJOLS,X,O,X,X,O,O,X,X,O,X
IZTJOSL,X,O,X,X,O,X,O,X,X,X
IZTSLJO,O,X,X,O,X,X,X,O,O,X
IZTSLOJ,X,X,X,O,X,X,X,O,X,X
IZTSJLO,O,X,X,O,X,X,X,O,O,X
IZTSJOL,O,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,X,O,X,X,X,X,X,X
IZTSOJL,O,X,X,O,X,X,X,X,X,X
IZTOLJS,X,O,X,X,O,O,X,X,O,X
IZTOLSJ,X,O,X,X,O,O,X,X,X,X
IZTOJLS,X,O,X,X,O,O,X,X,O,X
IZTOJSL,X,O,X,X,O,X,O,X,X,X
IZTOSLJ,X,O,X,X,O,X,O,X,X,X
IZTOSJL,X,O,X,X,O,X,O,X,X,X
IZLTJSO,O,X,X,X,X,O,X,O,O,X
IZLTJOS,X,O,X,X,O,O,X,O,O,X
IZLTSJO,O,X,X,X,X,O,X,O,O,X
IZLTSOJ,O,X,X,X,X,O,X,O,X,X
IZLTOJS,X,O,X,X,O,O,X,O,O,X
IZLTOSJ,X,O,X,X,O,O,X,O,X,X
IZLJTSO,O,X,X,X,X,O,X,O,O,X
IZLJTOS,X,O,X,X,X,O,X,O,O,X
IZLJSTO,O,X,X,O,X,X,X,O,X,X
IZLJSOT,O,X,X,O,X,X,X,O,X,X
IZLJOTS,O,O,X,X,X,O,X,O,X,X
IZLJOST,X,X,X,X,X,X,X,O,X,X
IZLSTJO,O,X,X,O,X,X,X,O,O,X
IZLSTOJ,O,X,X,O,X,X,X,O,X,X
IZLSJTO,O,X,X,O,X,X,X,O,X,X
IZLSJOT,O,X,X,O,X,X,X,O,X,X
IZLSOTJ,X,X,X,O,X,X,X,O,X,X
IZLSOJT,O,X,X,O,X,X,X,O,X,X
IZLOTJS,O,O,X,X,O,O,X,O,O,X
IZLOTSJ,O,O,X,X,O,O,X,O,X,X
IZLOJTS,O,O,X,X,O,O,X,O,X,X
IZLOJST,X,X,X,X,X,X,X,O,X,X
IZLOSTJ,X,O,X,X,O,X,X,O,X,X
IZLOSJT,X,X,X,X,X,X,X,O,X,X
IZJTLSO,O,X,X,X,X,O,X,O,O,X
IZJTLOS,X,O,X,X,O,O,X,O,O,X
IZJTSLO,O,X,X,O,X,X,X,O,O,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X
IZJTOLS,X,O,X,X,O,O,X,X,O,X
IZJTOSL,X,O,X,X,O,X,O,X,X,X
IZJLTSO,O,X,X,X,X,O,X,O,O,X
IZJLTOS,X,O,X,X,X,O,X,O,O,X
IZJLSTO,O,X,X,O,X,X,X,O,X,X
IZJLSOT,O,X,X,O,X,X,X,O,X,X
IZJLOTS,O,O,X,X,X,O,X,O,X,X
IZJLOST,X,X,X,X,X,X,X,O,X,X
IZJSTLO,X,X,X,O,X,X,X,O,X,X
IZJSTOL,X,X,X,O,X,X,X,X,X,X
IZJSLTO,X,X,X,O,X,X,X,O,X,X
IZJSLOT,X,X,X,O,X,X,X,O,X,X
IZJSOTL,X,X,X,O,X,X,X,X,X,X
IZJSOLT,X,X,X,O,X,X,X,O,X,X
IZJOTLS,O,O,X,X,O,O,X,X,X,X
IZJOTSL,O,O,X,X,O,X,O,X,X,X
IZJOLTS,O,O,X,X,O,O,X,O,X,X
IZJOLST,X,X,X,X,X,X,X,O,X,X
IZJOSTL,X,X,X,O,O,X,O,X,X,X
IZJOSLT,X,X,X,O,X,X,X,O,X,X
IZSTLJO,X,X,X,O,X,X,X,O,O,X
IZSTLOJ,X,X,X,O,X,X,X,O,X,X
IZSTJLO,X,X,X,O,X,X,X,O,O,X
IZSTJOL,X,X,X,O,X,X,X,X,X,X
IZSTOLJ,X,X,X,O,X,X,X,X,X,X
IZSTOJL,X,X,X,O,X,X,X,X,X,X
IZSLTJO,X,X,X,O,X,X,X,O,O,X
IZSLTOJ,X,X,X,O,X,X,X,O,X,X
IZSLJTO,X,X,X,O,X,X,X,O,X,X
IZSLJOT,X,X,X,O,X,X,X,O,X,X
IZSLOTJ,X,X,X,O,X,X,X,O,X,X
IZSLOJT,X,X,X,O,X,X,X,O,X,X
IZSJTLO,X,X,X,O,X,X,X,O,X,X
IZSJTOL,X,X,X,O,X,X,X,X,X,X
IZSJLTO,X,X,X,O,X,X,X,O,X,X
IZSJLOT,X,X,X,O,X,X,X,O,X,X
IZSJOTL,X,X,X,O,X,X,X,X,X,X
IZSJOLT,X,X,X,O,X,X,X,O,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,X,X,X,X,X
IZSOLTJ,X,X,X,O,X,X,X,O,X,X
IZSOLJT,X,X,X,O,X,X,X,O,X,X
IZSOJTL,X,X,X,O,X,X,X,X,X,X
IZSOJLT,X,X,X,O,X,X,X,O,X,X
IZOTLJS,O,O,X,X,O,O,X,X,O,X
IZOTLSJ,O,O,X,X,O,O,X,X,X,X
IZOTJLS,O,O,X,X,O,O,X,X,O,X
IZOTJSL,O,O,X,X,O,X,O,X,X,X
IZOTSLJ,O,O,X,X,O,X,O,X,X,X
IZOTSJL,O,O,X,X,O,X,O,X,X,X
IZOLTJS,O,O,X,X,O,O,X,O,O,X
IZOLTSJ,O,O,X,X,O,O,X,O,X,X
IZOLJTS,O,O,X,X,O,O,X,O,X,X
IZOLJST,X,X,X,X,X,X,X,O,X,X
IZOLSTJ,X,O,X,X,O,X,X,O,X,X
IZOLSJT,X,X,X,X,X,X,X,O,X,X
IZOJTLS,O,O,X,X,O,O,X,X,X,X
IZOJTSL,O,O,X,X,O,X,O,X,X,X
IZOJLTS,O,O,X,X,O,O,X,O,X,X
IZOJLST,X,X,X,X,X,X,X,O,X,X
IZOJSTL,X,X,X,O,O,X,O,X,X,X
IZOJSLT,X,X,X,O,X,X,X,O,X,X
IZOSTLJ,X,O,X,O,O,X,O,X,X,X
IZOSTJL,X,O,X,O,O,X,O,X,X,X
IZOSLTJ,X,O,X,O,O,X,O,O,X,X
IZOSLJT,X,X,X,O,X,X,X,O,X,X
IZOSJTL,X,X,X,O,O,X,O,X,X,X
IZOSJLT,X,X,X,O,X,X,X,O,X,X
IOTLJSZ,O,O,O,X,X,O,O,X,X,X
IOTLJZS,O,O,O,X,O,O,X,X,X,X
IOTLSJZ,O,O,O,X,X,O,O,X,X,X
IOTLSZJ,O,X,O,X,X,O,O,X,X,X
IOTLZJS,O,O,O,X,O,O,X,X,X,X
IOTLZSJ,O,O,X,X,O,O,X,X,X,X
IOTJLSZ,O,O,O,X,X,O,O,X,X,X
IOTJLZS,O,O,O,X,O,O,X,X,X,X
IOTJSLZ,O,O,O,X,X,O,O,X,X,X
IOTJSZL,O,X,O,X,O,X,O,X,X,X
IOTJZLS,O,O,O,X,O,O,X,X,X,X
IOTJZSL,O,O,X,X,O,X,O,X,X,X
IOTSLJZ,O,O,O,X,X,O,O,X,X,X
IOTSLZJ,O,X,O,X,X,O,O,X,X,X
IOTSJLZ,O,O,O,X,X,O,O,X,X,X
IOTSJZL,O,X,O,X,O,X,O,X,X,X
IOTSZLJ,O,X,O,X,O,X,O,X,X,X
IOTSZJL,O,X,O,X,O,X,O,X,X,X
IOTZLJS,O,O,O,X,O,O,X,X,X,X
IOTZLSJ,O,O,X,X,O,O,X,X,X,X
IOTZJLS,O,O,O,X,O,O,X,X,X,X
IOTZJSL,O,O,X,X,O,X,O,X,X,X
IOTZSLJ,O,O,X,X,O,X,O,X,X,X
IOTZSJL,O,O,X,X,O,X,O,X,X,X
IOLTJSZ,O,O,O,X,X,O,O,X,X,X
IOLTJZS,O,O,O,X,O,O,X,X,X,X
IOLTSJZ,O,O,O,X,X,O,O,X,X,X
IOLTSZJ,O,X,O,X,X,O,O,X,X,X
IOLTZJS,O,O,O,X,O,O,X,X,X,X
IOLTZSJ,O,O,X,X,O,O,X,X,X,X
IOLJTSZ,O,O,O,X,X,O,O,X,X,X
IOLJTZS,O,O,O,X,O,O,X,X,X,X
IOLJSTZ,O,X,O,X,X,O,O,X,X,X
IOLJSZT,O,X,X,X,X,X,X,O,X,X
IOLJZTS,O,O,X,X,O,O,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,O,X,X
IOLSTJZ,O,O,O,X,X,O,O,X,X,X
IOLSTZJ,O,X,O,X,X,O,O,X,X,X
IOLSJTZ,O,X,O,X,X,O,O,X,X,X
IOLSJZT,O,X,X,X,X,X,X,O,X,X
IOLSZTJ,X,O,O,X,X,X,O,O,X,X
IOLSZJT,O,X,X,X,X,X,X,O,X,X
IOLZTJS,O,O,O,X,O,O,X,O,X,X
IOLZTSJ,O,O,X,X,O,O,X,O,X,X
IOLZJTS,O,O,X,X,O,O,X,O,X,X
IOLZJST,X,X,X,X,X,X,X,O,X,X
IOLZSTJ,X,O,O,X,O,X,X,O,X,X
IOLZSJT,X,X,X,X,X,X,X,O,X,X
IOJTLSZ,O,O,O,X,X,O,O,X,X,X
IOJTLZS,O,O,O,X,O,O,X,X,X,X
IOJTSLZ,O,O,O,X,X,O,O,X,X,X
IOJTSZL,O,X,O,X,O,X,O,X,X,X
IOJTZLS,O,O,O,X,O,O,X,X,X,X
IOJTZSL,O,O,X,X,O,X,O,X,X,X
IOJLTSZ,O,O,O,X,X,O,O,X,X,X
IOJLTZS,O,O,O,X,O,O,X,X,X,X
IOJLSTZ,O,X,O,X,X,O,O,X,X,X
IOJLSZT,O,X,X,X,X,X,X,O,X,X
IOJLZTS,O,O,X,X,O,O,X,O,X,X
IOJLZST,X,X,X,X,X,X,X,O,X,X
IOJSTLZ,O,X,O,O,X,O,O,X,X,X
IOJSTZL,O,X,O,O,O,X,O,X,X,X
IOJSLTZ,O,X,O,O,X,O,O,X,X,X
IOJSLZT,X,X,X,O,X,X,X,O,X,X
IOJSZTL,X,X,X,O,O,X,O,X,X,X
IOJSZLT,X,X,X,O,X,X,X,O,X,X
IOJZTLS,O,O,X,X,O,O,X,X,X,X
IOJZTSL,O,O,X,X,O,X,O,X,X,X
IOJZLTS,O,O,X,X,O,O,X,O,X,X
IOJZLST,X,X,X,X,X,X,X,O,X,X
IOJZSTL,X,X,X,O,O,X,O,X,X,X
IOJZSLT,X,X,X,O,X,X,X,O,X,X
IOSTLJZ,O,O,O,O,X,O,O,X,X,X
IOSTLZJ,O,X,O,O,X,O,O,X,X,X
IOSTJLZ,O,O,O,O,X,O,O,X,X,X
IOSTJZL,O,X,O,O,O,X,O,X,X,X
IOSTZLJ,O,X,O,O,O,X,O,X,X,X
IOSTZJL,O,X,O,O,O,X,O,X,X,X
IOSLTJZ,O,O,O,O,X,O,O,X,X,X
IOSLTZJ,O,X,O,O,X,O,O,X,X,X
IOSLJTZ,O,X,O,O,X,O,O,X,X,X
IOSLJZT,X,X,X,O,X,X,X,O,X,X
IOSLZTJ,X,O,O,O,X,X,O,O,X,X
IOSLZJT,X,X,X,O,X,X,X,O,X,X
IOSJTLZ,O,X,O,O,X,O,O,X,X,X
IOSJTZL,O,X,O,O,O,X,O,X,X,X
IOSJLTZ,O,X,O,O,X,O,O,X,X,X
IOSJLZT,X,X,X,O,X,X,X,O,X,X
IOSJZTL,X,X,X,O,O,X,O,X,X,X
IOSJZLT,X,X,X,O,X,X,X,O,X,X
IOSZTLJ,X,O,O,O,O,X,O,X,X,X
IOSZTJL,X,O,O,O,O,X,O,X,X,X
IOSZLTJ,X,O,O,O,O,X,O,O,X,X
IOSZLJT,X,X,X,O,X,X,X,O,X,X
IOSZJTL,X,X,X,O,O,X,O,X,X,X
IOSZJLT,X,X,X,O,X,X,X,O,X,X
IOZTLJS,O,O,O,X,O,O,X,X,X,X
