sequence,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFxcByiB?WnBllBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhF6hBZiB?zdBllB+sBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?1mB6nBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFRiB3iB?6qBOrBlmBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?0mB6sBzqBFsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdB+mB?llB6sBZnBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdBWnB?llBxrBKsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhF3cBiiB?unBxlBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je2BJvhFRdB3iB?llBcrBTsB6qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFyiBWnB?llBxrBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFyiBWnB?llBxrB0qBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFmdBCiB?llBxrBTsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhF8hBunB?llByrBzqB3sB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhFylBRiB?UiBfsBusBzqB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFmdBCiB?llBxrBTsB0qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFzhBllB?xrBusB0qBisB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeT8IvhF1lB3iB?SrBZnBusB0qB
JSTLZOI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTLOIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSTLOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOLZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSILTOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSIOLZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLTIOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLTOIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSLITOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLOIZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSOILZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X
JZTILOS,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZTISLO,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JZTISOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
JZTIOSL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZTLISO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTLSIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLSOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JZTLOIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTLOSI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTSILO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZTOLIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOSIL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTOSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITLSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITLOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITSOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILTOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILSTO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILOST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISLOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLTSIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTSOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JZLTOIS,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLTOSI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLITSO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLITOS,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISTO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSTOI,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLSITO,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSIOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLOTSI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JZLOITS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOSIT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZOTISL,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZOTLIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZOTSIL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOTSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOITLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOITSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOILTS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOILST,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOISTL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOISLT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOSTLI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOSITL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOSILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTISZL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTIZLS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTIZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTLISZ,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JOTLIZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JOTLSZI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTLZIS,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTLZSI,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTSILZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTZISL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTZLIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTZSIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOITLZS,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOITSZL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOITZLS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOILTSZ,O,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOILTZS,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOILSTZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOILSZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOISTZL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOISLTZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOISLZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOISZLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOIZTSL,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOIZLTS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZLST,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZSTL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZSLT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLTISZ,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JOLTIZS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JOLTSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOLTZIS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLTZSI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLITSZ,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JOLITZS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLISZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JOLSTZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOLSITZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOLSIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLZTSI,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLZITS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOSILTZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
