sequence,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhF8kBzgBCiB5oBXn?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFzgBumBcnB5oB3k?BlqB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhF3gBGiB5oB1pB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Kel/IvhF3gBqmBTiB5oB2p?B8qB,v115@FhA8IeA8HeB8AeC8AeE8KeOEJvhFlgB3hBcnB5oBzk?BCrB,v115@FhA8IeA8HeB8AeC8AeE8Kei/IvhFWmBTiB5oB3kB0m?BlqB,v115@FhA8IeA8HeB8AeC8AeE8KeKEJvhFflBlgBGiB5oB8q?BzrB,v115@FhA8IeA8HeB8AeC8AeE8Ke2EJvhFChBTiB5oB0mB3k?BlqB
ISLTZOJ,O,O,X,X,O,O,O,X
ISLTOJZ,O,O,X,X,O,O,O,X
ISLTOZJ,O,O,X,X,O,O,O,X
ISLJTZO,O,O,X,O,O,O,O,X
ISLJTOZ,O,O,X,O,X,O,O,X
ISLJZTO,O,O,X,O,O,X,O,X
ISLJZOT,O,O,X,O,O,X,O,X
ISLJOTZ,X,X,X,O,X,O,O,X
ISLJOZT,O,X,X,O,X,X,O,X
ISLZTJO,O,O,X,O,O,O,O,X
ISLZTOJ,O,O,X,O,O,O,O,X
ISLZJTO,O,O,X,O,O,X,O,X
ISLZJOT,O,O,X,O,O,X,O,X
ISLZOTJ,O,O,X,O,O,O,O,X
ISLZOJT,O,O,X,O,O,X,O,X
ISLOTJZ,O,O,X,X,O,O,O,X
ISLOTZJ,O,O,X,X,O,O,O,X
ISLOJTZ,X,X,X,O,O,O,O,X
ISLOJZT,O,X,X,O,O,X,O,X
ISLOZTJ,O,O,X,O,O,O,O,X
ISLOZJT,O,O,X,O,O,X,O,X
ISJTLZO,O,O,O,O,X,O,X,X
ISJTLOZ,O,O,O,O,X,O,X,X
ISJTZLO,O,O,O,O,X,O,X,X
ISJTZOL,O,O,O,O,X,O,X,X
ISJTOLZ,O,O,O,O,X,O,X,X
ISJTOZL,O,O,O,O,X,O,X,X
ISJLTZO,O,O,X,O,O,O,O,X
ISJLTOZ,O,O,X,O,X,O,O,X
ISJLZTO,O,O,X,O,O,X,O,X
ISJLZOT,O,O,X,O,O,X,O,X
ISJLOTZ,X,X,X,O,X,O,O,X
ISJLOZT,O,X,X,O,X,X,O,X
ISJZTLO,O,O,O,O,O,X,X,X
ISJZTOL,O,O,O,O,O,X,X,X
ISJZLTO,O,O,O,O,O,X,O,X
ISJZLOT,O,O,X,O,O,X,O,X
ISJZOTL,O,O,O,O,O,X,X,X
ISJZOLT,O,O,X,O,O,X,X,X
ISJOTLZ,X,X,O,O,O,O,X,X
ISJOTZL,X,X,O,O,O,O,X,X
ISJOLTZ,X,X,X,O,O,O,O,X
ISJOLZT,O,X,X,O,O,X,O,X
ISJOZTL,O,X,O,O,O,X,X,X
ISJOZLT,O,X,O,O,O,X,O,X
ISZTLJO,O,O,O,O,O,O,X,O
ISZTLOJ,O,O,O,O,O,O,X,O
ISZTJLO,O,O,O,O,O,O,X,O
ISZTJOL,O,O,O,O,O,O,X,O
ISZTOLJ,O,O,O,O,O,O,X,O
ISZTOJL,O,O,O,X,O,O,X,O
ISZLTJO,O,O,O,O,O,O,O,X
ISZLTOJ,O,O,O,O,O,O,O,X
ISZLJTO,O,O,O,O,O,X,O,X
ISZLJOT,O,O,X,O,O,X,O,X
ISZLOTJ,O,O,O,O,O,O,O,X
ISZLOJT,O,O,O,O,O,X,O,X
ISZJTLO,O,O,O,O,O,X,X,X
ISZJTOL,O,O,O,O,O,X,X,X
ISZJLTO,O,O,O,O,O,X,O,X
ISZJLOT,O,O,X,O,O,X,O,X
ISZJOTL,O,O,O,O,O,X,X,X
ISZJOLT,O,O,O,O,O,X,X,X
ISZOTLJ,O,O,O,O,O,O,X,O
ISZOTJL,O,O,O,X,O,O,X,O
ISZOLTJ,O,O,O,O,O,O,O,X
ISZOLJT,O,O,O,O,O,X,O,X
ISZOJTL,O,O,O,O,O,X,X,X
ISZOJLT,O,O,O,O,O,X,O,X
ISOTLJZ,O,O,O,X,O,O,X,X
ISOTLZJ,O,O,O,X,O,O,X,X
ISOTJLZ,O,O,O,X,O,O,X,X
ISOTJZL,O,O,O,X,O,O,X,X
ISOTZLJ,O,O,O,X,O,O,X,X
ISOTZJL,O,O,O,X,O,O,X,X
ISOLTJZ,O,O,X,X,O,O,O,X
ISOLTZJ,O,O,X,X,O,O,O,X
ISOLJTZ,X,X,X,O,O,O,O,X
ISOLJZT,O,X,X,O,O,X,O,X
ISOLZTJ,O,O,X,O,O,O,O,X
ISOLZJT,O,O,X,O,O,X,O,X
ISOJTLZ,X,X,O,O,O,O,X,X
ISOJTZL,X,X,O,O,O,O,X,X
ISOJLTZ,X,X,X,O,O,O,O,X
ISOJLZT,O,X,X,O,O,X,O,X
ISOJZTL,O,X,O,O,O,X,X,X
ISOJZLT,O,X,O,O,O,X,O,X
ISOZTLJ,O,O,O,X,O,O,X,O
ISOZTJL,O,O,O,X,O,O,X,O
ISOZLTJ,O,O,O,O,O,O,O,X
ISOZLJT,O,O,O,O,O,X,O,X
ISOZJTL,O,O,O,O,O,X,X,X
ISOZJLT,O,O,O,O,O,X,O,X
IZTLJSO,O,O,O,O,O,X,O,O
IZTLJOS,O,O,O,O,O,X,X,O
IZTLSJO,O,O,O,O,O,X,O,O
IZTLSOJ,O,O,O,O,O,X,O,O
IZTLOJS,O,O,O,O,O,X,O,O
IZTLOSJ,O,O,O,O,O,X,O,O
IZTJLSO,O,O,O,O,O,X,O,O
IZTJLOS,O,O,O,O,O,X,X,O
IZTJSLO,O,O,O,O,O,O,X,O
IZTJSOL,O,O,O,O,O,O,X,O
IZTJOLS,O,O,O,O,O,X,X,O
IZTJOSL,O,O,O,O,O,O,X,O
IZTSLJO,O,O,O,O,O,O,X,O
IZTSLOJ,O,O,O,O,O,O,X,O
IZTSJLO,O,O,O,O,O,O,X,O
IZTSJOL,O,O,O,O,O,O,X,O
IZTSOLJ,O,O,O,O,O,O,X,O
IZTSOJL,O,O,O,X,O,O,X,O
IZTOLJS,O,O,O,O,O,X,O,O
IZTOLSJ,O,O,O,O,O,X,O,O
IZTOJLS,O,O,O,O,O,X,O,O
IZTOJSL,O,O,O,O,O,O,X,O
IZTOSLJ,O,O,O,X,O,O,X,O
IZTOSJL,O,O,O,X,O,O,X,O
IZLTJSO,O,O,O,O,O,X,O,O
IZLTJOS,O,O,O,O,O,X,X,O
IZLTSJO,O,O,O,O,O,X,O,O
IZLTSOJ,O,O,O,O,O,X,O,O
IZLTOJS,O,O,O,O,O,X,O,O
IZLTOSJ,O,O,O,O,O,X,O,O
IZLJTSO,O,O,O,O,O,X,O,X
IZLJTOS,O,O,O,O,O,X,X,X
IZLJSTO,O,O,O,O,O,X,O,X
IZLJSOT,O,O,X,O,O,X,O,X
IZLJOTS,X,X,X,O,O,X,O,X
IZLJOST,X,X,X,O,O,X,O,X
IZLSTJO,O,O,O,O,O,X,O,X
IZLSTOJ,O,O,O,O,O,X,O,X
IZLSJTO,O,O,O,O,O,X,O,X
IZLSJOT,O,O,X,O,O,X,O,X
IZLSOTJ,O,O,O,O,O,X,O,X
IZLSOJT,O,O,O,O,O,X,O,X
IZLOTJS,X,X,O,O,O,X,O,O
IZLOTSJ,X,X,O,O,O,X,O,O
IZLOJTS,X,X,O,O,O,X,O,X
IZLOJST,X,X,O,O,O,X,O,X
IZLOSTJ,X,X,O,O,O,X,O,X
IZLOSJT,X,X,O,O,O,X,O,X
IZJTLSO,O,O,O,O,O,X,O,O
IZJTLOS,O,O,O,O,O,X,X,O
IZJTSLO,O,O,O,O,O,X,X,O
IZJTSOL,O,O,O,O,O,X,X,O
IZJTOLS,O,O,O,O,O,X,X,O
IZJTOSL,O,O,O,O,O,X,X,O
IZJLTSO,O,O,O,O,O,X,O,X
IZJLTOS,O,O,O,O,O,X,X,X
IZJLSTO,O,O,O,O,O,X,O,X
IZJLSOT,O,O,X,O,O,X,O,X
IZJLOTS,X,X,X,O,O,X,O,X
IZJLOST,X,X,X,O,O,X,O,X
IZJSTLO,O,O,O,O,O,X,X,X
IZJSTOL,O,O,O,O,O,X,X,X
IZJSLTO,O,O,O,O,O,X,O,X
IZJSLOT,O,O,X,O,O,X,O,X
IZJSOTL,O,O,O,O,O,X,X,X
IZJSOLT,O,O,O,O,O,X,X,X
IZJOTLS,O,O,O,O,O,X,O,O
IZJOTSL,O,O,O,O,O,X,X,O
IZJOLTS,X,X,O,O,O,X,O,X
IZJOLST,X,X,O,O,O,X,O,X
IZJOSTL,O,O,O,O,O,X,X,X
IZJOSLT,O,O,O,O,O,X,O,X
IZSTLJO,O,O,O,O,O,O,X,O
IZSTLOJ,O,O,O,O,O,O,X,O
IZSTJLO,O,O,O,O,O,O,X,O
IZSTJOL,O,O,O,O,O,O,X,O
IZSTOLJ,O,O,O,O,O,O,X,O
IZSTOJL,O,O,O,X,O,O,X,O
IZSLTJO,O,O,O,O,O,O,O,X
IZSLTOJ,O,O,O,O,O,O,O,X
IZSLJTO,O,O,O,O,O,X,O,X
IZSLJOT,O,O,X,O,O,X,O,X
IZSLOTJ,O,O,O,O,O,O,O,X
IZSLOJT,O,O,O,O,O,X,O,X
IZSJTLO,O,O,O,O,O,X,X,X
IZSJTOL,O,O,O,O,O,X,X,X
IZSJLTO,O,O,O,O,O,X,O,X
IZSJLOT,O,O,X,O,O,X,O,X
IZSJOTL,O,O,O,O,O,X,X,X
IZSJOLT,O,O,O,O,O,X,X,X
IZSOTLJ,O,O,O,O,O,O,X,O
IZSOTJL,O,O,O,X,O,O,X,O
IZSOLTJ,O,O,O,O,O,O,O,X
IZSOLJT,O,O,O,O,O,X,O,X
IZSOJTL,O,O,O,O,O,X,X,X
IZSOJLT,O,O,O,O,O,X,O,X
IZOTLJS,O,O,O,O,O,X,O,O
IZOTLSJ,O,O,O,O,O,X,O,O
IZOTJLS,O,O,O,O,O,X,O,O
IZOTJSL,O,O,O,O,O,O,X,O
IZOTSLJ,O,O,O,X,O,O,X,O
IZOTSJL,O,O,O,X,O,O,X,O
IZOLTJS,X,X,O,O,O,X,O,O
IZOLTSJ,X,X,O,O,O,X,O,O
IZOLJTS,X,X,O,O,O,X,O,X
IZOLJST,X,X,O,O,O,X,O,X
IZOLSTJ,X,X,O,O,O,X,O,X
IZOLSJT,X,X,O,O,O,X,O,X
IZOJTLS,O,O,O,O,O,X,O,O
IZOJTSL,O,O,O,O,O,X,X,O
IZOJLTS,X,X,O,O,O,X,O,X
IZOJLST,X,X,O,O,O,X,O,X
IZOJSTL,O,O,O,O,O,X,X,X
IZOJSLT,O,O,O,O,O,X,O,X
IZOSTLJ,O,O,O,O,O,O,X,O
IZOSTJL,O,O,O,X,O,O,X,O
IZOSLTJ,O,O,O,O,O,O,O,X
IZOSLJT,O,O,O,O,O,X,O,X
IZOSJTL,O,O,O,O,O,X,X,X
IZOSJLT,O,O,O,O,O,X,O,X
IOTLJSZ,X,X,O,O,O,O,O,X
IOTLJZS,X,X,O,O,O,X,O,O
IOTLSJZ,O,O,O,X,O,O,O,X
IOTLSZJ,O,O,O,X,O,O,O,X
IOTLZJS,O,O,O,O,O,X,O,O
IOTLZSJ,O,O,O,O,O,X,O,O
IOTJLSZ,X,X,O,O,O,O,O,X
IOTJLZS,X,X,O,O,O,X,O,O
IOTJSLZ,O,O,O,O,O,O,X,X
IOTJSZL,O,O,O,O,O,O,X,X
IOTJZLS,O,O,O,O,O,X,O,O
IOTJZSL,O,O,O,O,O,O,X,O
IOTSLJZ,O,O,O,X,O,O,X,X
IOTSLZJ,O,O,O,X,O,O,X,X
IOTSJLZ,O,O,O,X,O,O,X,X
IOTSJZL,O,O,O,X,O,O,X,X
IOTSZLJ,O,O,O,X,O,O,X,X
IOTSZJL,O,O,O,X,O,O,X,X
IOTZLJS,O,O,O,O,O,X,O,O
IOTZLSJ,O,O,O,O,O,X,O,O
IOTZJLS,O,O,O,O,O,X,O,O
IOTZJSL,O,O,O,O,O,O,X,O
IOTZSLJ,O,O,O,X,O,O,X,O
IOTZSJL,O,O,O,X,O,O,X,O
IOLTJSZ,X,X,O,O,O,O,O,X
IOLTJZS,X,X,O,O,O,X,O,X
IOLTSJZ,X,X,O,X,O,O,O,X
IOLTSZJ,X,X,O,X,O,O,O,X
IOLTZJS,X,X,O,O,O,X,O,X
IOLTZSJ,X,X,O,O,O,X,O,X
IOLJTSZ,X,X,O,O,O,X,O,X
IOLJTZS,X,X,O,O,O,X,O,X
IOLJSTZ,X,X,X,O,O,X,O,X
IOLJSZT,X,X,X,O,O,X,O,X
IOLJZTS,X,X,O,O,O,X,O,X
IOLJZST,X,X,O,O,O,X,O,X
IOLSTJZ,X,X,X,X,O,O,O,X
IOLSTZJ,X,X,X,X,O,O,O,X
IOLSJTZ,X,X,X,O,O,O,O,X
IOLSJZT,X,X,X,O,O,X,O,X
IOLSZTJ,X,X,X,O,O,O,O,X
IOLSZJT,X,X,X,O,O,X,O,X
IOLZTJS,X,X,O,O,O,X,O,O
IOLZTSJ,X,X,O,O,O,X,O,O
IOLZJTS,X,X,O,O,O,X,O,X
IOLZJST,X,X,O,O,O,X,O,X
IOLZSTJ,X,X,O,O,O,X,O,X
IOLZSJT,X,X,O,O,O,X,O,X
IOJTLSZ,X,X,O,O,O,O,O,X
IOJTLZS,X,X,O,O,O,X,O,X
IOJTSLZ,X,X,O,O,O,O,X,X
IOJTSZL,X,X,O,O,O,O,X,X
IOJTZLS,X,X,O,O,O,X,O,X
IOJTZSL,X,X,O,O,O,O,X,X
IOJLTSZ,X,X,O,O,O,X,O,X
IOJLTZS,X,X,O,O,O,X,O,X
IOJLSTZ,X,X,X,O,O,X,O,X
IOJLSZT,X,X,X,O,O,X,O,X
IOJLZTS,X,X,O,O,O,X,O,X
IOJLZST,X,X,O,O,O,X,O,X
IOJSTLZ,X,X,O,O,O,O,X,X
IOJSTZL,X,X,O,O,O,O,X,X
IOJSLTZ,X,X,X,O,O,O,O,X
IOJSLZT,O,X,X,O,O,X,O,X
IOJSZTL,O,X,O,O,O,X,X,X
IOJSZLT,O,X,O,O,O,X,O,X
IOJZTLS,O,X,O,O,O,X,O,O
IOJZTSL,O,X,O,O,O,X,X,O
IOJZLTS,X,X,O,O,O,X,O,X
IOJZLST,X,X,O,O,O,X,O,X
IOJZSTL,O,X,O,O,O,X,X,X
IOJZSLT,O,X,O,O,O,X,O,X
IOSTLJZ,O,O,O,X,O,O,X,X
IOSTLZJ,O,O,O,X,O,O,X,X
IOSTJLZ,O,O,O,X,O,O,X,X
IOSTJZL,O,O,O,X,O,O,X,X
IOSTZLJ,O,O,O,X,O,O,X,X
IOSTZJL,O,O,O,X,O,O,X,X
IOSLTJZ,O,O,X,X,O,O,O,X
IOSLTZJ,O,O,X,X,O,O,O,X
IOSLJTZ,X,X,X,O,O,O,O,X
IOSLJZT,O,X,X,O,O,X,O,X
IOSLZTJ,O,O,X,O,O,O,O,X
IOSLZJT,O,O,X,O,O,X,O,X
IOSJTLZ,X,X,O,O,O,O,X,X
IOSJTZL,X,X,O,O,O,O,X,X
IOSJLTZ,X,X,X,O,O,O,O,X
IOSJLZT,O,X,X,O,O,X,O,X
IOSJZTL,O,X,O,O,O,X,X,X
IOSJZLT,O,X,O,O,O,X,O,X
IOSZTLJ,O,O,O,X,O,O,X,O
IOSZTJL,O,O,O,X,O,O,X,O
IOSZLTJ,O,O,O,O,O,O,O,X
IOSZLJT,O,O,O,O,O,X,O,X
IOSZJTL,O,O,O,O,O,X,X,X
IOSZJLT,O,O,O,O,O,X,O,X
IOZTLJS,O,O,O,O,O,X,O,O
IOZTLSJ,O,O,O,O,O,X,O,O
IOZTJLS,O,O,O,O,O,X,O,O
IOZTJSL,O,O,O,O,O,O,X,O
IOZTSLJ,O,O,O,X,O,O,X,O
IOZTSJL,O,O,O,X,O,O,X,O
IOZLTJS,X,X,O,O,O,X,O,O
IOZLTSJ,X,X,O,O,O,X,O,O
IOZLJTS,X,X,O,O,O,X,O,X
IOZLJST,X,X,O,O,O,X,O,X
IOZLSTJ,X,X,O,O,O,X,O,X
IOZLSJT,X,X,O,O,O,X,O,X
IOZJTLS,O,O,O,O,O,X,O,O
IOZJTSL,O,O,O,O,O,X,X,O
IOZJLTS,X,X,O,O,O,X,O,X
IOZJLST,X,X,O,O,O,X,O,X
IOZJSTL,O,O,O,O,O,X,X,X
IOZJSLT,O,O,O,O,O,X,O,X
IOZSTLJ,O,O,O,O,O,O,X,O
IOZSTJL,O,O,O,X,O,O,X,O
IOZSLTJ,O,O,O,O,O,O,O,X
IOZSLJT,O,O,O,O,O,X,O,X
IOZSJTL,O,O,O,O,O,X,X,X
IOZSJLT,O,O,O,O,O,X,O,X
LTIJSZO,X,X,O,O,O,O,O,O
LTIJSOZ,X,X,O,O,X,O,O,X
LTIJZSO,X,X,O,O,O,X,O,O
LTIJZOS,X,X,O,O,O,X,X,O
LTIJOSZ,X,X,O,O,O,O,O,X
LTIJOZS,X,X,O,O,O,X,O,O
LTISJZO,O,O,O,X,O,O,O,O
LTISJOZ,O,O,O,X,X,O,O,X
LTISZJO,O,O,O,X,O,O,O,O
LTISZOJ,O,O,O,X,O,O,O,O
LTISOJZ,O,O,O,X,O,O,O,X
LTISOZJ,O,O,O,X,O,O,O,X
LTIZJSO,O,O,O,O,O,X,O,O
LTIZJOS,O,O,O,O,O,X,X,O
LTIZSJO,O,O,O,O,O,X,O,O
LTIZSOJ,O,O,O,O,O,X,O,O
LTIZOJS,O,O,O,O,O,X,O,O
LTIZOSJ,O,O,O,O,O,X,O,O
LTIOJSZ,X,X,O,O,O,O,O,X
LTIOJZS,X,X,O,O,O,X,O,O
LTIOSJZ,O,O,O,X,O,O,O,X
LTIOSZJ,O,O,O,X,O,O,O,X
LTIOZJS,O,O,O,O,O,X,O,O
LTIOZSJ,O,O,O,O,O,X,O,O
LTJISZO,X,X,O,O,O,O,O,O
LTJISOZ,X,X,O,O,X,O,O,X
LTJIZSO,X,X,O,O,O,X,O,O
LTJIZOS,X,X,O,O,O,X,X,O
LTJIOSZ,X,X,O,O,O,O,O,X
LTJIOZS,X,X,O,O,O,X,O,O
LTJSIZO,X,X,O,O,O,O,O,O
LTJSIOZ,X,X,O,O,X,O,O,X
LTJSZIO,X,X,O,O,O,O,O,O
LTJSZOI,X,X,O,O,O,O,O,O
LTJSOIZ,X,X,O,O,X,O,O,X
LTJSOZI,X,X,O,O,X,O,O,X
LTJZISO,X,X,O,O,O,X,O,O
LTJZIOS,X,X,O,O,O,X,X,O
LTJZSIO,X,X,O,O,O,X,O,O
LTJZSOI,X,X,O,O,O,X,O,O
LTJZOIS,X,X,O,O,O,X,X,O
LTJZOSI,X,X,O,O,O,X,X,O
LTJOISZ,X,X,O,O,O,O,O,X
LTJOIZS,X,X,O,O,O,X,O,O
LTJOSIZ,X,X,O,O,O,O,O,X
LTJOSZI,X,X,O,O,O,O,O,X
LTJOZIS,X,X,O,O,O,X,O,O
LTJOZSI,X,X,O,O,O,X,O,O
LTSIJZO,O,O,O,X,O,O,O,O
LTSIJOZ,O,O,O,X,X,O,O,X
LTSIZJO,O,O,O,X,O,O,O,O
LTSIZOJ,O,O,O,X,O,O,O,O
LTSIOJZ,O,O,O,X,O,O,O,X
LTSIOZJ,O,O,O,X,O,O,O,X
LTSJIZO,O,O,O,X,O,O,O,O
LTSJIOZ,O,O,O,X,X,O,O,X
LTSJZIO,O,O,O,X,O,O,O,O
LTSJZOI,O,O,O,X,O,O,O,O
LTSJOIZ,O,O,O,X,X,O,O,X
LTSJOZI,O,O,O,X,X,O,O,X
LTSZIJO,O,O,O,X,O,O,O,O
LTSZIOJ,O,O,O,X,O,O,O,O
LTSZJIO,O,O,O,X,O,O,O,O
LTSZJOI,O,O,O,X,O,O,O,O
LTSZOIJ,O,O,O,X,O,O,O,O
LTSZOJI,O,O,O,X,O,O,O,O
LTSOIJZ,O,O,O,X,O,O,O,X
LTSOIZJ,O,O,O,X,O,O,O,X
LTSOJIZ,O,O,O,X,O,O,O,X
LTSOJZI,O,O,O,X,O,O,O,X
LTSOZIJ,O,O,O,X,O,O,O,X
LTSOZJI,O,O,O,X,O,O,O,X
LTZIJSO,O,O,O,O,O,X,O,O
LTZIJOS,O,O,O,O,O,X,X,O
LTZISJO,O,O,O,O,O,X,O,O
LTZISOJ,O,O,O,O,O,X,O,O
LTZIOJS,O,O,O,O,O,X,O,O
LTZIOSJ,O,O,O,O,O,X,O,O
LTZJISO,O,O,O,O,O,X,O,O
LTZJIOS,O,O,O,O,O,X,X,O
LTZJSIO,O,O,O,O,O,X,O,O
LTZJSOI,O,O,O,O,O,X,O,O
LTZJOIS,O,O,O,O,O,X,X,O
LTZJOSI,O,O,O,O,O,X,X,O
LTZSIJO,O,O,O,O,O,X,O,O
LTZSIOJ,O,O,O,O,O,X,O,O
LTZSJIO,O,O,O,O,O,X,O,O
LTZSJOI,O,O,O,O,O,X,O,O
LTZSOIJ,O,O,O,O,O,X,O,O
LTZSOJI,O,O,O,O,O,X,O,O
LTZOIJS,O,O,O,O,O,X,O,O
LTZOISJ,O,O,O,O,O,X,O,O
LTZOJIS,O,O,O,O,O,X,O,O
LTZOJSI,O,O,O,O,O,X,O,O
LTZOSIJ,O,O,O,O,O,X,O,O
LTZOSJI,O,O,O,O,O,X,O,O
LTOIJSZ,X,X,O,O,O,O,O,X
LTOIJZS,X,X,O,O,O,X,O,O
LTOISJZ,O,O,O,X,O,O,O,X
LTOISZJ,O,O,O,X,O,O,O,X
LTOIZJS,O,O,O,O,O,X,O,O
LTOIZSJ,O,O,O,O,O,X,O,O
LTOJISZ,X,X,O,O,O,O,O,X
LTOJIZS,X,X,O,O,O,X,O,O
LTOJSIZ,X,X,O,O,O,O,O,X
LTOJSZI,X,X,O,O,O,O,O,X
LTOJZIS,X,X,O,O,O,X,O,O
LTOJZSI,X,X,O,O,O,X,O,O
LTOSIJZ,O,O,O,X,O,O,O,X
LTOSIZJ,O,O,O,X,O,O,O,X
LTOSJIZ,O,O,O,X,O,O,O,X
LTOSJZI,O,O,O,X,O,O,O,X
LTOSZIJ,O,O,O,X,O,O,O,X
LTOSZJI,O,O,O,X,O,O,O,X
LTOZIJS,O,O,O,O,O,X,O,O
LTOZISJ,O,O,O,O,O,X,O,O
LTOZJIS,O,O,O,O,O,X,O,O
LTOZJSI,O,O,O,O,O,X,O,O
LTOZSIJ,O,O,O,O,O,X,O,O
LTOZSJI,O,O,O,O,O,X,O,O
LITJSZO,X,X,O,O,O,O,O,O
LITJSOZ,X,X,O,O,X,O,O,X
LITJZSO,X,X,O,O,O,X,O,O
LITJZOS,X,X,O,O,O,X,X,O
LITJOSZ,X,X,O,O,O,O,O,X
LITJOZS,X,X,O,O,O,X,O,O
LITSJZO,O,O,O,X,O,O,O,O
LITSJOZ,O,O,O,X,X,O,O,X
LITSZJO,O,O,O,X,O,O,O,O
LITSZOJ,O,O,O,X,O,O,O,O
LITSOJZ,O,O,O,X,O,O,O,X
LITSOZJ,O,O,O,X,O,O,O,X
LITZJSO,O,O,O,O,O,X,O,O
LITZJOS,O,O,O,O,O,X,X,O
LITZSJO,O,O,O,O,O,X,O,O
LITZSOJ,O,O,O,O,O,X,O,O
LITZOJS,O,O,O,O,O,X,O,O
LITZOSJ,O,O,O,O,O,X,O,O
LITOJSZ,X,X,O,O,O,O,O,X
LITOJZS,X,X,O,O,O,X,O,O
LITOSJZ,O,O,O,X,O,O,O,X
LITOSZJ,O,O,O,X,O,O,O,X
LITOZJS,O,O,O,O,O,X,O,O
LITOZSJ,O,O,O,O,O,X,O,O
LIJTSZO,X,X,O,O,O,X,O,X
LIJTSOZ,X,X,O,O,X,X,O,X
LIJTZSO,X,X,O,O,O,X,O,X
LIJTZOS,X,X,O,O,O,X,X,X
LIJTOSZ,X,X,O,O,O,X,O,X
LIJTOZS,X,X,O,O,O,X,O,X
LIJSTZO,O,X,X,O,O,X,O,X
LIJSTOZ,X,X,X,O,X,X,O,X
LIJSZTO,O,X,X,O,O,X,O,X
LIJSZOT,O,X,X,O,O,X,O,X
LIJSOTZ,X,X,X,O,X,X,O,X
LIJSOZT,O,X,X,O,X,X,O,X
LIJZTSO,O,X,O,O,O,X,O,X
LIJZTOS,O,X,O,O,O,X,X,X
LIJZSTO,O,X,O,O,O,X,O,X
LIJZSOT,O,X,X,O,O,X,O,X
LIJZOTS,X,X,X,O,O,X,O,X
LIJZOST,X,X,X,O,O,X,O,X
LIJOTSZ,X,X,O,O,O,X,O,X
LIJOTZS,X,X,O,O,O,X,O,X
LIJOSTZ,X,X,X,O,O,X,O,X
LIJOSZT,X,X,X,O,O,X,O,X
LIJOZTS,X,X,O,O,O,X,O,X
LIJOZST,X,X,O,O,O,X,O,X
LISTJZO,O,O,X,X,O,O,O,X
LISTJOZ,O,O,X,X,X,O,O,X
LISTZJO,O,O,X,X,O,O,O,X
LISTZOJ,O,O,X,X,O,O,O,X
LISTOJZ,O,O,X,X,O,O,O,X
LISTOZJ,O,O,X,X,O,O,O,X
LISJTZO,O,O,X,O,O,O,O,X
LISJTOZ,O,O,X,O,X,O,O,X
LISJZTO,O,O,X,O,O,X,O,X
LISJZOT,O,O,X,O,O,X,O,X
LISJOTZ,X,X,X,O,X,O,O,X
LISJOZT,O,X,X,O,X,X,O,X
LISZTJO,O,O,X,O,O,O,O,X
LISZTOJ,O,O,X,O,O,O,O,X
LISZJTO,O,O,X,O,O,X,O,X
LISZJOT,O,O,X,O,O,X,O,X
LISZOTJ,O,O,X,O,O,O,O,X
LISZOJT,O,O,X,O,O,X,O,X
LISOTJZ,O,O,X,X,O,O,O,X
LISOTZJ,O,O,X,X,O,O,O,X
LISOJTZ,X,X,X,O,O,O,O,X
LISOJZT,O,X,X,O,O,X,O,X
LISOZTJ,O,O,X,O,O,O,O,X
LISOZJT,O,O,X,O,O,X,O,X
LIZTJSO,O,O,O,O,O,X,O,O
LIZTJOS,O,O,O,O,O,X,X,O
LIZTSJO,O,O,O,O,O,X,O,O
LIZTSOJ,O,O,O,O,O,X,O,O
LIZTOJS,O,O,O,O,O,X,O,O
LIZTOSJ,O,O,O,O,O,X,O,O
LIZJTSO,O,O,O,O,O,X,O,X
LIZJTOS,O,O,O,O,O,X,X,X
LIZJSTO,O,O,O,O,O,X,O,X
LIZJSOT,O,O,X,O,O,X,O,X
LIZJOTS,X,X,X,O,O,X,O,X
LIZJOST,X,X,X,O,O,X,O,X
LIZSTJO,O,O,O,O,O,X,O,X
LIZSTOJ,O,O,O,O,O,X,O,X
LIZSJTO,O,O,O,O,O,X,O,X
LIZSJOT,O,O,X,O,O,X,O,X
LIZSOTJ,O,O,O,O,O,X,O,X
LIZSOJT,O,O,O,O,O,X,O,X
LIZOTJS,X,X,O,O,O,X,O,O
LIZOTSJ,X,X,O,O,O,X,O,O
LIZOJTS,X,X,O,O,O,X,O,X
LIZOJST,X,X,O,O,O,X,O,X
LIZOSTJ,X,X,O,O,O,X,O,X
LIZOSJT,X,X,O,O,O,X,O,X
LIOTJSZ,X,X,O,O,O,O,O,X
LIOTJZS,X,X,O,O,O,X,O,X
LIOTSJZ,X,X,O,X,O,O,O,X
LIOTSZJ,X,X,O,X,O,O,O,X
LIOTZJS,X,X,O,O,O,X,O,X
LIOTZSJ,X,X,O,O,O,X,O,X
LIOJTSZ,X,X,O,O,O,X,O,X
LIOJTZS,X,X,O,O,O,X,O,X
LIOJSTZ,X,X,X,O,O,X,O,X
LIOJSZT,X,X,X,O,O,X,O,X
LIOJZTS,X,X,O,O,O,X,O,X
LIOJZST,X,X,O,O,O,X,O,X
