sequence,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhF6hBZiBGeBz?iBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBqiBTeB+?mBllB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFZiBqiBTeB+?mBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFSiBTeBllBR?nBmmBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jem7IvhFRdBcjB1lBC?iBXnBzqB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeT8IvhFxdBOnBXjBl?lBcrB6qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jel7IvhFqiBTeBmhB3?hBRrB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeqCJvhFTeBRhBllB3?mBmmB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBSjB+mBz?iBllB0qB
IJSLTZO,O,O,O,O,X,X,X,X,O
IJSLTOZ,O,O,O,O,X,X,O,X,O
IJSLZTO,O,X,X,X,X,O,X,X,O
IJSLZOT,O,O,X,X,X,X,X,X,O
IJSLOTZ,O,O,O,O,X,X,O,X,O
IJSLOZT,O,O,X,X,X,X,X,X,O
IJSZTLO,O,X,X,X,X,O,X,X,X
IJSZTOL,O,X,X,X,X,O,X,X,X
IJSZLTO,O,X,X,X,X,O,X,X,O
IJSZLOT,O,O,X,X,X,X,X,X,O
IJSZOTL,O,X,X,X,X,O,X,X,X
IJSZOLT,O,X,X,X,X,X,X,X,X
IJSOTLZ,O,X,X,O,X,X,O,X,X
IJSOTZL,O,X,X,O,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,O,X,O
IJSOLZT,O,O,X,X,X,X,X,X,O
IJSOZTL,O,X,X,X,X,O,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X,X
IJZTLSO,O,O,O,X,O,X,O,X,O
IJZTLOS,O,O,O,X,X,X,O,X,X
IJZTSLO,O,O,O,X,O,O,O,X,O
IJZTSOL,X,X,X,X,O,O,O,X,X
IJZTOLS,O,X,O,X,X,X,O,X,X
IJZTOSL,O,X,X,X,O,O,O,X,X
IJZLTSO,X,O,O,X,O,X,O,X,O
IJZLTOS,O,O,O,X,X,X,O,X,X
IJZLSTO,X,X,X,X,X,X,O,X,O
IJZLSOT,O,O,X,X,X,X,O,X,O
IJZLOTS,O,O,O,X,X,X,O,X,X
IJZLOST,O,O,X,X,X,X,O,X,X
IJZSTLO,O,X,X,X,O,O,O,X,X
IJZSTOL,O,X,X,X,O,O,O,X,X
IJZSLTO,O,X,X,X,X,O,O,X,O
IJZSLOT,O,O,X,X,X,X,O,X,O
IJZSOTL,O,X,X,X,X,O,O,X,X
IJZSOLT,O,X,X,X,X,X,O,X,X
IJZOTLS,O,X,X,X,X,X,O,X,X
IJZOTSL,O,X,X,X,O,X,O,X,X
IJZOLTS,O,X,X,X,X,X,O,X,X
IJZOLST,O,X,X,X,X,X,O,X,X
IJZOSTL,O,X,X,X,X,X,O,X,X
IJZOSLT,O,X,X,X,X,X,O,X,X
IJOTLSZ,X,O,O,O,X,X,O,X,O
IJOTLZS,O,O,O,O,X,X,O,X,X
IJOTSLZ,O,O,X,O,X,X,O,X,O
IJOTSZL,O,X,X,O,X,X,X,X,X
IJOTZLS,O,X,O,O,X,X,O,X,X
IJOTZSL,O,X,X,X,X,X,O,X,X
IJOLTSZ,X,O,O,O,X,X,O,X,O
IJOLTZS,O,O,O,O,X,X,O,X,X
IJOLSTZ,O,O,O,O,X,X,O,X,O
IJOLSZT,O,O,X,X,X,X,X,X,O
IJOLZTS,O,O,O,X,X,X,O,X,X
IJOLZST,O,O,X,X,X,X,O,X,X
IJOSTLZ,O,X,X,O,X,X,O,X,X
IJOSTZL,O,X,X,O,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,O,X,O
IJOSLZT,O,O,X,X,X,X,X,X,O
IJOSZTL,O,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,X,O,X,X
IJOZTSL,O,X,X,X,X,X,O,X,X
IJOZLTS,O,X,X,X,X,X,O,X,X
IJOZLST,O,X,X,X,X,X,O,X,X
IJOZSTL,O,X,X,X,X,X,O,X,X
IJOZSLT,O,X,X,X,X,X,O,X,X
ISTLJZO,O,X,X,O,O,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,O,O,X
ISTLZJO,O,X,X,O,O,X,O,X,X
ISTLZOJ,O,X,X,O,O,X,O,O,X
ISTLOJZ,O,X,X,O,X,X,O,O,X
ISTLOZJ,O,X,X,O,X,X,O,O,X
ISTJLZO,O,X,X,O,O,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,O,O,X
ISTJZLO,O,X,X,O,O,O,X,X,X
ISTJZOL,O,X,X,O,O,O,X,X,X
ISTJOLZ,O,X,X,O,X,X,O,O,X
ISTJOZL,O,X,X,O,X,X,X,X,X
ISTZLJO,O,X,X,O,O,X,O,X,X
ISTZLOJ,O,X,X,O,O,X,O,O,X
ISTZJLO,O,X,X,O,O,X,O,X,X
ISTZJOL,O,X,X,O,O,X,O,X,X
ISTZOLJ,O,X,X,O,X,X,O,O,X
ISTZOJL,O,X,X,O,O,X,O,X,X
ISTOLJZ,O,X,X,O,X,X,O,O,X
ISTOLZJ,O,X,X,O,X,X,O,O,X
ISTOJLZ,O,X,X,O,X,X,O,O,X
ISTOJZL,O,X,X,O,X,X,X,X,X
ISTOZLJ,O,X,X,O,X,X,O,O,X
ISTOZJL,O,X,X,O,X,X,O,X,X
ISLTJZO,O,X,X,O,O,X,X,X,X
ISLTJOZ,O,X,X,O,X,X,O,O,X
ISLTZJO,O,X,X,O,O,X,O,X,X
ISLTZOJ,O,X,X,O,O,X,O,O,X
ISLTOJZ,O,X,X,O,X,X,O,O,X
ISLTOZJ,O,X,X,O,X,X,O,O,X
ISLJTZO,O,O,O,O,X,X,X,X,O
ISLJTOZ,O,O,O,O,X,X,O,X,O
ISLJZTO,O,X,X,X,X,O,X,X,O
ISLJZOT,O,O,X,X,X,X,X,X,O
ISLJOTZ,O,O,O,O,X,X,O,O,O
ISLJOZT,O,O,X,X,X,X,X,X,O
ISLZTJO,O,X,X,O,O,X,O,X,X
ISLZTOJ,O,X,X,O,O,X,O,X,X
ISLZJTO,O,X,X,X,O,X,O,X,X
ISLZJOT,O,X,X,X,O,X,O,X,X
ISLZOTJ,O,X,X,O,O,X,O,O,X
ISLZOJT,O,X,X,X,O,X,O,X,X
ISLOTJZ,O,X,X,O,O,X,O,O,X
ISLOTZJ,O,X,X,O,O,X,O,O,X
ISLOJTZ,O,O,O,O,X,X,O,O,X
ISLOJZT,O,O,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,O,O,X,O,O,X
ISLOZJT,O,X,X,X,O,X,O,X,X
ISJTLZO,O,O,O,O,X,X,X,X,O
ISJTLOZ,O,O,O,O,X,X,O,X,O
ISJTZLO,O,O,O,O,X,O,X,X,O
ISJTZOL,O,X,X,O,X,O,X,X,X
ISJTOLZ,O,O,X,O,X,X,O,X,O
ISJTOZL,O,X,X,O,X,X,X,X,X
ISJLTZO,O,O,O,O,X,X,X,X,O
ISJLTOZ,O,O,O,O,X,X,O,X,O
ISJLZTO,O,X,X,X,X,O,X,X,O
ISJLZOT,O,O,X,X,X,X,X,X,O
ISJLOTZ,O,O,O,O,X,X,O,O,O
ISJLOZT,O,O,X,X,X,X,X,X,O
ISJZTLO,O,X,X,X,X,O,X,X,X
ISJZTOL,O,X,X,X,X,O,X,X,X
ISJZLTO,O,X,X,X,X,O,X,X,O
ISJZLOT,O,O,X,X,X,X,X,X,O
ISJZOTL,O,X,X,X,X,O,X,X,X
ISJZOLT,O,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,O,X,X,O,X,X
ISJOTZL,O,X,X,O,X,X,X,X,X
ISJOLTZ,O,O,X,O,X,X,O,O,O
ISJOLZT,O,O,X,X,X,X,X,X,O
ISJOZTL,O,X,X,X,X,O,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X
ISZTLJO,O,X,X,O,O,X,O,X,X
ISZTLOJ,O,X,X,O,O,X,O,X,X
ISZTJLO,O,X,X,O,O,O,O,X,X
ISZTJOL,O,X,X,O,O,O,O,X,X
ISZTOLJ,O,X,X,O,O,X,O,X,X
ISZTOJL,O,X,X,O,O,O,O,X,X
ISZLTJO,O,X,X,O,O,X,O,X,X
ISZLTOJ,O,X,X,O,O,X,O,X,X
ISZLJTO,O,X,X,X,O,X,O,X,X
ISZLJOT,O,X,X,X,O,X,O,X,X
ISZLOTJ,O,X,X,O,O,X,O,O,X
ISZLOJT,O,X,X,X,O,X,O,X,X
ISZJTLO,O,X,X,X,O,O,O,X,X
ISZJTOL,O,X,X,X,O,O,O,X,X
ISZJLTO,O,X,X,X,O,O,O,X,X
ISZJLOT,O,X,X,X,O,X,O,X,X
ISZJOTL,O,X,X,X,O,O,O,X,X
ISZJOLT,O,X,X,X,O,X,O,X,X
ISZOTLJ,O,X,X,O,O,X,O,X,X
ISZOTJL,O,X,X,O,O,X,O,X,X
ISZOLTJ,O,X,X,O,O,X,O,O,X
ISZOLJT,O,X,X,X,O,X,O,X,X
ISZOJTL,O,X,X,X,O,X,O,X,X
ISZOJLT,O,X,X,X,O,X,O,X,X
ISOTLJZ,O,X,X,O,O,X,O,O,X
ISOTLZJ,O,X,X,O,O,X,O,O,X
ISOTJLZ,O,X,X,O,O,X,O,O,X
ISOTJZL,O,X,X,O,O,X,X,X,X
ISOTZLJ,O,X,X,O,O,X,O,O,X
ISOTZJL,O,X,X,O,O,X,O,X,X
ISOLTJZ,O,X,X,O,O,X,O,O,X
ISOLTZJ,O,X,X,O,O,X,O,O,X
ISOLJTZ,O,X,X,O,X,X,O,O,X
ISOLJZT,O,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,O,O,X,O,O,X
ISOLZJT,O,X,X,X,O,X,O,X,X
ISOJTLZ,O,X,X,O,X,X,O,X,X
ISOJTZL,O,X,X,O,X,X,X,X,X
ISOJLTZ,O,X,X,O,X,X,O,O,X
ISOJLZT,O,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,O,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,O,O,X,O,X,X
ISOZTJL,O,X,X,O,O,X,O,X,X
ISOZLTJ,O,X,X,O,O,X,O,O,X
ISOZLJT,O,X,X,X,O,X,O,X,X
ISOZJTL,O,X,X,X,O,X,O,X,X
ISOZJLT,O,X,X,X,O,X,O,X,X
IZTLJSO,O,X,O,X,O,X,O,X,X
IZTLJOS,O,X,O,O,X,X,O,X,X
IZTLSJO,O,X,X,O,X,X,O,X,X
IZTLSOJ,O,X,X,O,X,X,O,X,X
IZTLOJS,O,X,O,O,X,X,O,X,X
IZTLOSJ,O,X,X,O,X,X,O,X,X
IZTJLSO,O,X,O,X,O,X,O,X,X
IZTJLOS,O,X,O,O,X,X,O,X,X
IZTJSLO,O,X,O,X,O,O,O,X,X
IZTJSOL,X,X,X,X,O,O,O,X,X
IZTJOLS,O,X,O,O,X,X,O,X,X
IZTJOSL,O,X,X,X,O,O,O,X,X
IZTSLJO,O,X,X,O,O,X,O,X,X
IZTSLOJ,O,X,X,O,O,X,O,X,X
IZTSJLO,O,X,X,O,O,O,O,X,X
IZTSJOL,X,X,X,O,O,O,O,X,X
IZTSOLJ,O,X,X,O,O,X,O,X,X
IZTSOJL,O,X,X,O,O,O,O,X,X
IZTOLJS,O,X,O,O,O,X,O,X,X
IZTOLSJ,O,X,X,O,X,X,O,X,X
IZTOJLS,O,X,O,O,O,X,O,X,X
IZTOJSL,O,X,X,X,O,O,O,X,X
IZTOSLJ,O,X,X,O,O,X,O,X,X
IZTOSJL,O,X,X,O,O,O,O,X,X
IZLTJSO,X,X,O,X,O,X,O,X,X
IZLTJOS,O,X,O,O,X,X,O,X,X
IZLTSJO,X,X,X,O,X,X,O,X,X
IZLTSOJ,X,X,X,O,X,X,O,X,X
IZLTOJS,O,X,O,O,X,X,O,X,X
IZLTOSJ,X,X,X,O,X,X,O,X,X
IZLJTSO,X,O,O,X,O,X,O,X,O
IZLJTOS,O,O,O,X,X,X,O,X,X
IZLJSTO,X,X,X,X,X,X,O,X,O
IZLJSOT,O,O,X,X,X,X,O,X,O
IZLJOTS,O,O,O,X,X,X,O,X,X
IZLJOST,O,O,X,X,X,X,O,X,X
IZLSTJO,X,X,X,O,O,X,O,X,X
IZLSTOJ,X,X,X,O,O,X,O,X,X
IZLSJTO,X,X,X,X,O,X,O,X,X
IZLSJOT,O,X,X,X,O,X,O,X,X
IZLSOTJ,X,X,X,O,O,X,O,X,X
IZLSOJT,O,X,X,X,O,X,O,X,X
IZLOTJS,O,X,O,O,O,X,O,X,X
IZLOTSJ,X,X,X,O,X,X,O,X,X
IZLOJTS,O,O,O,X,X,X,O,X,X
IZLOJST,O,O,X,X,X,X,O,X,X
IZLOSTJ,X,X,X,O,O,X,O,X,X
IZLOSJT,O,X,X,X,O,X,O,X,X
IZJTLSO,O,O,O,X,O,X,O,X,O
IZJTLOS,O,O,O,X,X,X,O,X,X
IZJTSLO,O,O,O,X,O,O,O,X,O
IZJTSOL,X,X,X,X,O,O,O,X,X
IZJTOLS,O,X,O,X,X,X,O,X,X
IZJTOSL,O,X,X,X,O,O,O,X,X
IZJLTSO,X,O,O,X,O,X,O,X,O
IZJLTOS,O,O,O,X,X,X,O,X,X
IZJLSTO,X,X,X,X,X,X,O,X,O
IZJLSOT,O,O,X,X,X,X,O,X,O
IZJLOTS,O,O,O,X,X,X,O,X,X
IZJLOST,O,O,X,X,X,X,O,X,X
IZJSTLO,O,X,X,X,O,O,O,X,X
IZJSTOL,O,X,X,X,O,O,O,X,X
IZJSLTO,O,X,X,X,O,O,O,X,O
IZJSLOT,O,O,X,X,O,X,O,X,O
IZJSOTL,O,X,X,X,O,O,O,X,X
IZJSOLT,O,X,X,X,O,X,O,X,X
IZJOTLS,O,X,X,X,O,X,O,X,X
IZJOTSL,O,X,X,X,O,X,O,X,X
IZJOLTS,O,X,X,X,X,X,O,X,X
IZJOLST,O,X,X,X,X,X,O,X,X
IZJOSTL,O,X,X,X,O,X,O,X,X
IZJOSLT,O,X,X,X,O,X,O,X,X
IZSTLJO,O,X,X,O,O,X,O,X,X
IZSTLOJ,O,X,X,O,O,X,O,X,X
IZSTJLO,O,X,X,O,O,O,O,X,X
IZSTJOL,O,X,X,O,O,O,O,X,X
IZSTOLJ,O,X,X,O,O,X,O,X,X
IZSTOJL,O,X,X,O,O,O,O,X,X
IZSLTJO,O,X,X,O,O,X,O,X,X
IZSLTOJ,O,X,X,O,O,X,O,X,X
IZSLJTO,O,X,X,X,O,X,O,X,X
IZSLJOT,O,X,X,X,O,X,O,X,X
IZSLOTJ,O,X,X,O,O,X,O,X,X
IZSLOJT,O,X,X,X,O,X,O,X,X
IZSJTLO,O,X,X,X,O,O,O,X,X
IZSJTOL,O,X,X,X,O,O,O,X,X
IZSJLTO,O,X,X,X,O,O,O,X,X
IZSJLOT,O,X,X,X,O,X,O,X,X
IZSJOTL,O,X,X,X,O,O,O,X,X
IZSJOLT,O,X,X,X,O,X,O,X,X
IZSOTLJ,O,X,X,O,O,X,O,X,X
IZSOTJL,O,X,X,O,O,X,O,X,X
IZSOLTJ,O,X,X,O,O,X,O,X,X
IZSOLJT,O,X,X,X,O,X,O,X,X
IZSOJTL,O,X,X,X,O,X,O,X,X
IZSOJLT,O,X,X,X,O,X,O,X,X
IZOTLJS,O,X,O,O,O,X,O,X,X
IZOTLSJ,O,X,X,O,X,X,O,X,X
IZOTJLS,O,X,O,O,O,X,O,X,X
IZOTJSL,O,X,X,X,O,X,O,X,X
IZOTSLJ,O,X,X,O,O,X,O,X,X
IZOTSJL,O,X,X,O,O,X,O,X,X
IZOLTJS,O,X,O,O,O,X,O,X,X
IZOLTSJ,X,X,X,O,X,X,O,X,X
IZOLJTS,O,X,X,X,X,X,O,X,X
IZOLJST,O,X,X,X,X,X,O,X,X
IZOLSTJ,X,X,X,O,O,X,O,X,X
IZOLSJT,O,X,X,X,O,X,O,X,X
IZOJTLS,O,X,X,X,O,X,O,X,X
IZOJTSL,O,X,X,X,O,X,O,X,X
IZOJLTS,O,X,X,X,X,X,O,X,X
IZOJLST,O,X,X,X,X,X,O,X,X
IZOJSTL,O,X,X,X,O,X,O,X,X
IZOJSLT,O,X,X,X,O,X,O,X,X
IZOSTLJ,O,X,X,O,O,X,O,X,X
IZOSTJL,O,X,X,O,O,X,O,X,X
IZOSLTJ,O,X,X,O,O,X,O,X,X
IZOSLJT,O,X,X,X,O,X,O,X,X
IZOSJTL,O,X,X,X,O,X,O,X,X
IZOSJLT,O,X,X,X,O,X,O,X,X
IOTLJSZ,X,O,O,O,X,X,O,O,X
IOTLJZS,O,O,O,O,X,X,O,X,X
IOTLSJZ,X,O,X,O,X,X,O,O,X
IOTLSZJ,X,X,X,O,X,X,O,O,X
IOTLZJS,O,X,O,O,X,X,O,X,X
IOTLZSJ,O,X,X,O,X,X,O,O,X
IOTJLSZ,X,O,O,O,X,X,O,O,X
IOTJLZS,O,O,O,O,X,X,O,X,X
IOTJSLZ,O,O,X,O,O,X,O,X,X
IOTJSZL,O,X,X,O,O,X,X,X,X
IOTJZLS,O,X,O,O,O,X,O,X,X
IOTJZSL,O,X,X,X,O,X,O,X,X
IOTSLJZ,O,O,X,O,O,X,O,O,X
IOTSLZJ,O,X,X,O,O,X,O,O,X
IOTSJLZ,O,O,X,O,O,X,O,O,X
IOTSJZL,O,X,X,O,O,X,X,X,X
IOTSZLJ,O,X,X,O,O,X,O,O,X
IOTSZJL,O,X,X,O,O,X,O,X,X
IOTZLJS,O,X,O,O,O,X,O,X,X
IOTZLSJ,O,X,X,O,X,X,O,O,X
IOTZJLS,O,X,O,O,O,X,O,X,X
IOTZJSL,O,X,X,X,O,X,O,X,X
IOTZSLJ,O,X,X,O,O,X,O,X,X
IOTZSJL,O,X,X,O,O,X,O,X,X
IOLTJSZ,X,O,O,O,X,X,O,O,X
IOLTJZS,O,O,O,O,X,X,O,X,X
IOLTSJZ,X,O,X,O,X,X,O,O,X
IOLTSZJ,X,X,X,O,X,X,O,O,X
IOLTZJS,O,X,O,O,X,X,O,X,X
IOLTZSJ,O,X,X,O,X,X,O,O,X
IOLJTSZ,X,O,O,O,X,X,O,X,O
IOLJTZS,O,O,O,O,X,X,O,X,X
IOLJSTZ,O,O,O,O,X,X,O,X,O
IOLJSZT,O,O,X,X,X,X,X,X,O
IOLJZTS,O,O,O,X,X,X,O,X,X
IOLJZST,O,O,X,X,X,X,O,X,X
IOLSTJZ,O,X,X,O,X,X,O,O,X
IOLSTZJ,O,X,X,O,X,X,O,O,X
IOLSJTZ,O,O,O,O,X,X,O,O,X
IOLSJZT,O,O,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,O,O,X
IOLSZJT,O,X,X,X,X,X,O,X,X
IOLZTJS,O,X,O,O,X,X,O,X,X
IOLZTSJ,X,X,X,O,X,X,O,X,X
IOLZJTS,O,O,O,X,X,X,O,X,X
IOLZJST,O,O,X,X,X,X,O,X,X
IOLZSTJ,X,X,X,O,X,X,O,X,X
IOLZSJT,O,X,X,X,X,X,O,X,X
IOJTLSZ,X,O,O,O,X,X,O,X,O
IOJTLZS,O,O,O,O,X,X,O,X,X
IOJTSLZ,O,O,X,O,X,X,O,X,O
IOJTSZL,O,X,X,O,X,X,X,X,X
IOJTZLS,O,X,O,O,X,X,O,X,X
IOJTZSL,O,X,X,X,X,X,O,X,X
IOJLTSZ,X,O,O,O,X,X,O,X,O
IOJLTZS,O,O,O,O,X,X,O,X,X
IOJLSTZ,O,O,O,O,X,X,O,X,O
IOJLSZT,O,O,X,X,X,X,X,X,O
IOJLZTS,O,O,O,X,X,X,O,X,X
IOJLZST,O,O,X,X,X,X,O,X,X
IOJSTLZ,O,X,X,O,X,X,O,X,X
IOJSTZL,O,X,X,O,X,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,O,X,O
IOJSLZT,O,O,X,X,X,X,X,X,O
IOJSZTL,O,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X,X
IOJZTLS,O,X,X,X,X,X,O,X,X
IOJZTSL,O,X,X,X,X,X,O,X,X
IOJZLTS,O,X,X,X,X,X,O,X,X
IOJZLST,O,X,X,X,X,X,O,X,X
IOJZSTL,O,X,X,X,X,X,O,X,X
IOJZSLT,O,X,X,X,X,X,O,X,X
IOSTLJZ,O,X,X,O,O,X,O,O,X
IOSTLZJ,O,X,X,O,O,X,O,O,X
IOSTJLZ,O,X,X,O,O,X,O,O,X
IOSTJZL,O,X,X,O,O,X,X,X,X
IOSTZLJ,O,X,X,O,O,X,O,O,X
IOSTZJL,O,X,X,O,O,X,O,X,X
IOSLTJZ,O,X,X,O,O,X,O,O,X
IOSLTZJ,O,X,X,O,O,X,O,O,X
IOSLJTZ,O,X,X,O,X,X,O,O,X
IOSLJZT,O,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,O,X,O,O,X
IOSLZJT,O,X,X,X,O,X,O,X,X
IOSJTLZ,O,X,X,O,X,X,O,X,X
IOSJTZL,O,X,X,O,X,X,X,X,X
IOSJLTZ,O,X,X,O,X,X,O,O,X
IOSJLZT,O,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,O,O,X,O,X,X
IOSZTJL,O,X,X,O,O,X,O,X,X
IOSZLTJ,O,X,X,O,O,X,O,O,X
IOSZLJT,O,X,X,X,O,X,O,X,X
IOSZJTL,O,X,X,X,O,X,O,X,X
IOSZJLT,O,X,X,X,O,X,O,X,X
IOZTLJS,O,X,O,O,O,X,O,X,X
IOZTLSJ,O,X,X,O,X,X,O,X,X
IOZTJLS,O,X,O,O,O,X,O,X,X
IOZTJSL,O,X,X,X,O,X,O,X,X
IOZTSLJ,O,X,X,O,O,X,O,X,X
IOZTSJL,O,X,X,O,O,X,O,X,X
IOZLTJS,O,X,O,O,O,X,O,X,X
IOZLTSJ,X,X,X,O,X,X,O,X,X
IOZLJTS,O,X,X,X,X,X,O,X,X
IOZLJST,O,X,X,X,X,X,O,X,X
IOZLSTJ,X,X,X,O,O,X,O,X,X
IOZLSJT,O,X,X,X,O,X,O,X,X
IOZJTLS,O,X,X,X,O,X,O,X,X
IOZJTSL,O,X,X,X,O,X,O,X,X
IOZJLTS,O,X,X,X,X,X,O,X,X
IOZJLST,O,X,X,X,X,X,O,X,X
IOZJSTL,O,X,X,X,O,X,O,X,X
IOZJSLT,O,X,X,X,O,X,O,X,X
IOZSTLJ,O,X,X,O,O,X,O,X,X
IOZSTJL,O,X,X,O,O,X,O,X,X
IOZSLTJ,O,X,X,O,O,X,O,X,X
IOZSLJT,O,X,X,X,O,X,O,X,X
IOZSJTL,O,X,X,X,O,X,O,X,X
IOZSJLT,O,X,X,X,O,X,O,X,X
LTIJSZO,X,O,O,O,X,X,X,X,O
LTIJSOZ,X,O,O,O,X,X,O,X,O
LTIJZSO,O,O,O,X,X,X,O,X,O
LTIJZOS,O,O,O,O,X,X,O,X,X
LTIJOSZ,X,O,O,O,X,X,O,O,O
LTIJOZS,X,O,O,O,X,X,O,X,X
LTISJZO,X,O,X,O,X,X,X,X,O
LTISJOZ,X,O,X,O,X,X,O,O,O
LTISZJO,X,X,X,O,X,X,O,X,X
LTISZOJ,X,X,X,O,X,X,O,O,X
LTISOJZ,X,O,X,O,X,X,O,O,X
LTISOZJ,X,X,X,O,X,X,O,O,X
LTIZJSO,O,X,O,X,X,X,O,X,X
LTIZJOS,O,X,O,O,X,X,O,X,X
LTIZSJO,O,X,X,O,X,X,O,X,X
LTIZSOJ,O,X,X,O,X,X,O,X,X
LTIZOJS,O,X,O,O,X,X,O,X,X
LTIZOSJ,O,X,X,O,X,X,O,O,X
LTIOJSZ,X,O,O,O,X,X,O,O,X
LTIOJZS,O,O,O,O,X,X,O,X,X
LTIOSJZ,X,O,X,O,X,X,O,O,X
LTIOSZJ,X,X,X,O,X,X,O,O,X
LTIOZJS,O,X,O,O,X,X,O,X,X
LTIOZSJ,O,X,X,O,X,X,O,O,X
LTJISZO,X,O,O,X,X,X,X,X,O
LTJISOZ,X,O,O,X,X,X,O,X,O
LTJIZSO,O,O,O,X,X,X,O,X,O
LTJIZOS,O,O,O,X,X,X,O,X,X
LTJIOSZ,X,O,O,X,X,X,O,O,O
LTJIOZS,X,O,O,X,X,X,O,X,X
LTJSIZO,X,O,O,X,O,X,X,X,O
LTJSIOZ,X,O,O,X,X,X,X,O,O
LTJSZIO,X,O,O,X,O,X,X,X,O
LTJSZOI,X,O,O,X,O,X,X,X,X
LTJSOIZ,X,O,O,X,X,X,X,O,O
LTJSOZI,X,O,O,X,O,X,X,X,X
LTJZISO,O,O,O,X,O,X,X,X,O
LTJZIOS,O,O,O,X,X,X,X,X,X
LTJZSIO,O,O,O,X,O,X,X,X,O
LTJZSOI,X,O,O,X,O,X,X,X,X
LTJZOIS,O,O,O,X,X,X,X,X,X
LTJZOSI,O,O,O,X,X,X,X,X,X
LTJOISZ,X,O,O,X,X,X,O,O,O
LTJOIZS,O,O,O,X,X,X,O,X,X
LTJOSIZ,X,O,O,X,X,X,X,O,O
LTJOSZI,X,O,O,X,X,X,X,X,X
LTJOZIS,O,O,O,X,X,X,X,X,X
LTJOZSI,O,O,O,X,X,X,X,X,X
LTSIJZO,X,O,X,X,O,X,X,X,O
LTSIJOZ,X,O,X,X,X,X,O,O,O
LTSIZJO,X,X,X,X,O,X,O,X,X
LTSIZOJ,X,X,X,X,O,X,O,O,X
LTSIOJZ,X,O,X,X,X,X,O,O,X
LTSIOZJ,X,X,X,X,X,X,O,O,X
LTSJIZO,X,O,O,X,O,X,X,X,O
LTSJIOZ,X,O,O,X,X,X,X,O,O
LTSJZIO,X,O,O,X,O,X,X,X,O
LTSJZOI,X,O,O,X,O,X,X,X,X
LTSJOIZ,X,O,O,X,X,X,X,O,O
LTSJOZI,X,O,O,X,O,X,X,X,X
LTSZIJO,X,X,X,X,O,X,X,X,X
LTSZIOJ,X,X,X,X,O,X,X,O,X
LTSZJIO,X,O,O,X,O,X,X,X,O
LTSZJOI,X,O,O,X,O,X,X,X,X
LTSZOIJ,X,X,X,X,O,X,X,O,X
LTSZOJI,X,O,O,X,O,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,O,O,X
LTSOIZJ,X,X,X,X,X,X,O,O,X
LTSOJIZ,X,O,O,X,X,X,X,O,O
LTSOJZI,X,O,O,X,O,X,X,X,X
LTSOZIJ,X,X,X,X,O,X,X,O,X
LTSOZJI,X,O,O,X,O,X,X,X,X
LTZIJSO,O,X,O,X,O,X,O,X,X
LTZIJOS,O,X,O,O,X,X,O,X,X
LTZISJO,O,X,X,X,X,X,O,X,X
LTZISOJ,O,X,X,O,X,X,O,X,X
LTZIOJS,O,X,O,O,X,X,O,X,X
LTZIOSJ,O,X,X,O,X,X,O,O,X
LTZJISO,O,O,O,X,O,X,X,X,O
LTZJIOS,O,O,O,X,X,X,X,X,X
LTZJSIO,O,O,O,X,O,X,X,X,O
LTZJSOI,X,O,O,X,O,X,X,X,X
LTZJOIS,O,O,O,X,X,X,X,X,X
LTZJOSI,O,O,O,X,X,X,X,X,X
LTZSIJO,O,X,X,X,O,X,X,X,X
LTZSIOJ,O,X,X,X,O,X,X,O,X
LTZSJIO,O,O,O,X,O,X,X,X,O
LTZSJOI,X,O,O,X,O,X,X,X,X
