sequence,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFfhBxcBTfBC?iBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBxcBq?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhF0cBTfBmgBf?sBlnB6sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?iBlmBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFCcBxhB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFRcBSiBTfBU?hBVsB3sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBRcBciBF?hBfsBusB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFqiBRhB3fBF?hB8mBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFRhB1nB3fBU?hBCnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBfhBViBR?nB0mB+sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBSiBR?nBlmBTsB
JLOZTIS,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JLOZTSI,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOZITS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
JLOZIST,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
JLOZSTI,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLOZSIT,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSTILZO,O,O,O,X,X,X,O,X,O,O,O,X,X,O,X,X
JSTILOZ,O,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JSTIZLO,X,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X
JSTIZOL,X,X,O,X,X,O,O,X,O,X,O,X,X,O,X,X
JSTIOLZ,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSTIOZL,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JSTLIZO,O,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JSTLIOZ,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
JSTLZIO,O,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JSTLZOI,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTLOIZ,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X
JSTLOZI,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTZILO,X,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X
JSTZIOL,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTZLIO,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X
JSTZLOI,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTZOIL,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTZOLI,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTOILZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JSTOIZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X
JSTOLZI,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTOZIL,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTOZLI,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSITLZO,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSITLOZ,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
JSITZLO,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSITZOL,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JSITOLZ,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSITOZL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X
JSILTOZ,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSILZTO,O,O,O,X,X,X,O,X,X,O,O,X,O,X,X,O
JSILZOT,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,O
JSILOTZ,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSILOZT,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X
JSIZTLO,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X
JSIZTOL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JSIZLTO,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O
JSIZLOT,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O
JSIZOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSIZOLT,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O
JSIOTLZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JSIOTZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JSIOLZT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSIOZTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSIOZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSLTIOZ,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JSLTZIO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSLTZOI,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JSLTOIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JSLTOZI,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JSLITZO,O,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X
JSLITOZ,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSLIZTO,O,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X
JSLIZOT,O,O,O,O,O,X,O,X,X,O,O,X,O,X,X,X
JSLIOTZ,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSLIOZT,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X
JSLZTIO,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSLZTOI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSLZITO,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSLZIOT,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JSLZOTI,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JSLZOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSLOTIZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSLOTZI,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JSLOITZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSLOIZT,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSLOZTI,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSLOZIT,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSZTILO,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X
JSZTIOL,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O
JSZTLIO,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X
JSZTLOI,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X
JSZTOIL,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O
JSZTOLI,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JSZITLO,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSZITOL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JSZILTO,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,O
JSZILOT,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O
JSZIOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZIOLT,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O
JSZLTIO,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSZLTOI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSZLITO,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSZLIOT,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
JSZLOTI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSZLOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JSZOTIL,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O
JSZOTLI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JSZOITL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSZOILT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JSZOLTI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSZOLIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JSOTILZ,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JSOTIZL,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X
JSOTLIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JSOTLZI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JSOTZIL,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JSOTZLI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JSOITLZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOITZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOILTZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X
JSOILZT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O
JSOIZTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSOIZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
JSOLTIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JSOLTZI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JSOLITZ,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
JSOLIZT,O,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JSOLZTI,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOLZIT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JSOZTIL,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O
JSOZTLI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JSOZITL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSOZILT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O
JSOZLTI,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOZLIT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O
JZTILSO,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,O
JZTILOS,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X
JZTISLO,X,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X
JZTISOL,X,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O
JZTIOLS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JZTIOSL,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X
JZTLISO,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X
JZTLIOS,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X
JZTLSIO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
JZTLSOI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
JZTLOIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JZTLOSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTSILO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
JZTSIOL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZTSLIO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
JZTSLOI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
JZTSOIL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZTSOLI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JZTOILS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZTOISL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZTOLIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JZTOLSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTOSIL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZTOSLI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JZITLSO,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O
JZITLOS,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
JZITSLO,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X
JZITSOL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JZITOLS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JZITOSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O
JZILTOS,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X
JZILSTO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,O
JZILSOT,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,O
JZILOTS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JZILOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
JZISTLO,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZISTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZISLTO,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O
JZISLOT,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O
JZISOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZISOLT,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
JZIOTLS,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
JZIOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
JZIOLST,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
JZIOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOSLT,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
JZLTISO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
JZLTIOS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JZLTSIO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
JZLTSOI,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZLTOIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JZLTOSI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZLITSO,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O
JZLITOS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
JZLISTO,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X,O
JZLISOT,X,O,O,O,O,X,O,O,O,X,X,X,O,X,X,O
JZLIOTS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JZLIOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
JZLSTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZLSTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZLSITO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZLSIOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
JZLSOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZLSOIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZLOTIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JZLOTSI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZLOITS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JZLOIST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZLOSTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZLOSIT,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
JZSTILO,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X
JZSTIOL,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O
JZSTLIO,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X
JZSTLOI,X,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X
JZSTOIL,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,O
JZSTOLI,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
JZSITLO,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZSITOL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSILTO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O
JZSILOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
JZSIOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZSIOLT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZSLTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZSLTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSLITO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZSLIOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
JZSLOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSLOIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZSOTIL,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O
JZSOTLI,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JZSOITL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
JZSOILT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZSOLTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSOLIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZOTILS,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,O
JZOTISL,X,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O
JZOTLIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JZOTLSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZOTSIL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZOTSLI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JZOITLS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JZOITSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZOILTS,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
JZOILST,X,X,O,X,O,X,O,O,O,X,X,X,O,X,X,O
JZOISTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
JZOISLT,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZOLTIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JZOLTSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZOLITS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,O
JZOLIST,X,X,O,X,O,X,O,O,O,X,X,X,O,X,X,O
JZOLSTI,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZOLSIT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
JZOSTIL,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
JZOSTLI,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JZOSITL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
JZOSILT,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O
JZOSLTI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZOSLIT,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O
JOTILSZ,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X
JOTILZS,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X
JOTISLZ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
JOTISZL,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
JOTIZLS,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JOTIZSL,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
JOTLISZ,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X
JOTLIZS,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X
JOTLSIZ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JOTLSZI,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
JOTLZIS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JOTLZSI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JOTSILZ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
JOTSIZL,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
JOTSLIZ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JOTSLZI,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JOTSZIL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JOTSZLI,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JOTZILS,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X
JOTZISL,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOTZLIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JOTZLSI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JOTZSIL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JOTZSLI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JOITLSZ,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X
JOITLZS,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X
JOITSLZ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
JOITSZL,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
JOITZLS,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JOITZSL,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
JOILTSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOILTZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOILSTZ,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X
JOILSZT,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
JOILZTS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JOILZST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JOISTLZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOISTZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOISLTZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X
JOISLZT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O
JOISZTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JOISZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
JOIZTLS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JOIZTSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JOIZLTS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
JOIZLST,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
JOIZSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
JOIZSLT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JOLTISZ,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X
JOLTIZS,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X
JOLTSIZ,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
JOLTSZI,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
JOLTZIS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JOLTZSI,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JOLITSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLITZS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JOLISTZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JOLISZT,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOLIZTS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JOLIZST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLSTIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOLSTZI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JOLSITZ,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
JOLSIZT,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOLSZTI,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JOLSZIT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JOLZTIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JOLZTSI,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JOLZITS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
JOLZIST,X,X,O,X,O,X,O,O,O,X,X,X,O,X,X,X
JOLZSTI,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JOLZSIT,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X
JOSTILZ,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X
JOSTIZL,O,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JOSTLIZ,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
JOSTLZI,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JOSTZIL,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JOSTZLI,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JOSITLZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOSITZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSILTZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X
JOSILZT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O
JOSIZTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JOSIZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
