sequence,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRcB3fBGhBTiBll?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcB/kBUgBFhBSn?BTqB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFXbBVhBUdBClBxm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jel6IvhFcgBicB/kBGiBRm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcBTfB/lBFhBSn?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Je2/IvhFRbBzcBSnB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFuhBRgBTiB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFxbB/iBqkB0hBll?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFuhBifBTiBfqBll?B8qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRgBGiBzhB0kBll?B3qB
ILOTZJS,X,O,O,X,O,O,X,X,X,X
ILOTZSJ,X,X,O,X,O,O,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,X,X,X,X
ILOJTZS,X,O,O,X,O,X,X,X,X,X
ILOJSTZ,X,O,O,X,X,X,X,X,O,X
ILOJSZT,X,O,O,X,O,X,X,X,X,X
ILOJZTS,X,X,O,X,O,X,X,X,X,X
ILOJZST,X,X,O,X,O,X,X,X,X,X
ILOSTJZ,X,O,O,X,X,X,X,X,O,X
ILOSTZJ,X,O,O,X,X,X,X,X,X,X
ILOSJTZ,X,O,O,X,X,X,X,X,O,X
ILOSJZT,X,O,O,X,O,X,X,X,X,X
ILOSZTJ,X,O,O,O,O,X,X,X,X,X
ILOSZJT,X,O,O,X,O,X,X,X,X,X
ILOZTJS,X,X,O,X,O,O,X,X,X,X
ILOZTSJ,X,X,O,X,O,O,X,X,X,X
ILOZJTS,X,X,O,X,O,O,X,X,X,X
ILOZJST,X,X,O,X,O,O,X,X,X,X
ILOZSTJ,X,X,O,O,O,X,X,X,X,X
ILOZSJT,X,X,O,X,O,X,X,X,X,X
IJTLSZO,O,X,O,O,X,X,X,X,X,X
IJTLSOZ,O,X,O,X,X,X,X,X,X,X
IJTLZSO,X,X,O,O,X,X,X,X,X,X
IJTLZOS,X,X,O,X,X,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,X,X,X,X,X
IJTLOZS,X,X,O,X,X,X,X,X,X,X
IJTSLZO,O,X,O,O,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X,X
IJTSZLO,O,X,O,O,X,X,X,X,X,X
IJTSZOL,X,X,O,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,X,X
IJTSOZL,X,X,O,X,X,X,X,X,X,X
IJTZLSO,X,X,O,O,X,X,X,X,X,O
IJTZLOS,X,X,O,X,X,X,X,X,X,O
IJTZSLO,O,X,O,O,X,X,X,X,X,O
IJTZSOL,X,X,O,O,X,X,X,X,X,X
IJTZOLS,X,X,O,X,X,X,X,X,X,O
IJTZOSL,X,X,O,X,X,X,X,X,X,X
IJTOLSZ,X,X,O,X,X,X,X,X,X,X
IJTOLZS,X,X,O,X,X,X,X,X,X,X
IJTOSLZ,O,X,O,X,X,X,X,X,X,X
IJTOSZL,X,X,O,X,X,X,X,X,X,X
IJTOZLS,X,X,O,X,X,X,X,X,X,X
IJTOZSL,X,X,O,X,X,X,X,X,X,X
IJLTSZO,O,X,O,O,X,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,X,X,X,X
IJLTZSO,X,X,O,O,X,X,X,X,X,X
IJLTZOS,X,X,O,X,X,X,X,X,X,X
IJLTOSZ,X,X,O,X,X,X,X,X,X,X
IJLTOZS,X,X,O,X,X,X,X,X,X,X
IJLSTZO,X,X,O,O,X,X,X,X,X,X
IJLSTOZ,O,X,O,X,X,X,X,X,X,X
IJLSZTO,X,X,O,O,X,X,X,O,X,X
IJLSZOT,O,X,O,O,X,X,X,O,X,X
IJLSOTZ,O,X,O,O,X,X,X,X,X,X
IJLSOZT,O,X,O,O,X,X,X,X,X,X
IJLZTSO,X,X,O,O,X,X,X,X,X,X
IJLZTOS,X,X,O,X,X,X,X,X,X,X
IJLZSTO,O,X,O,O,X,X,X,X,X,X
IJLZSOT,O,X,O,O,X,X,X,X,X,X
IJLZOTS,X,X,O,X,X,X,X,X,X,X
IJLZOST,X,X,O,O,X,X,X,X,X,X
IJLOTSZ,X,X,O,O,X,X,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,X,X,X
IJLOZTS,X,X,O,O,X,X,X,X,X,X
IJLOZST,X,X,O,O,X,X,X,X,X,X
IJSTLZO,O,X,O,O,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X,X
IJSTZLO,O,X,O,O,X,X,X,X,X,X
IJSTZOL,X,X,O,O,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,X,X
IJSTOZL,X,X,O,O,X,X,X,X,X,X
IJSLTZO,X,X,O,O,X,X,X,X,X,X
IJSLTOZ,O,X,O,X,X,X,X,X,X,X
IJSLZTO,X,X,O,O,X,X,X,O,X,X
IJSLZOT,O,X,O,O,X,X,X,O,X,X
IJSLOTZ,O,X,O,O,X,X,X,X,X,X
IJSLOZT,O,X,O,O,X,X,X,X,X,X
IJSZTLO,O,X,O,O,X,X,X,O,X,X
IJSZTOL,X,X,O,O,X,X,X,X,X,X
IJSZLTO,O,X,O,O,X,X,X,O,X,X
IJSZLOT,O,X,O,O,X,X,X,O,X,X
IJSZOTL,X,X,O,O,X,X,X,X,X,X
IJSZOLT,O,X,O,O,X,X,X,O,X,X
IJSOTLZ,X,X,O,O,X,X,X,X,X,X
IJSOTZL,X,X,O,O,X,X,X,X,X,X
IJSOLTZ,O,X,O,O,X,X,X,X,X,X
IJSOLZT,O,X,O,O,X,X,X,X,X,X
IJSOZTL,X,X,O,O,X,X,X,X,X,X
IJSOZLT,X,X,O,O,X,X,X,X,X,X
IJZTLSO,X,X,O,O,X,X,X,X,X,O
IJZTLOS,X,X,O,X,X,X,X,X,X,O
IJZTSLO,O,X,O,O,X,X,X,X,X,O
IJZTSOL,X,X,O,O,X,X,X,X,X,X
IJZTOLS,X,X,O,X,X,X,X,X,X,O
IJZTOSL,X,X,O,X,X,X,X,X,X,X
IJZLTSO,X,X,O,O,X,X,X,X,X,O
IJZLTOS,X,X,O,X,X,X,X,X,X,O
IJZLSTO,O,X,O,O,X,X,X,X,X,O
IJZLSOT,O,X,O,O,X,X,X,X,X,O
IJZLOTS,X,X,O,X,X,X,X,X,X,O
IJZLOST,X,X,O,O,X,X,X,X,X,O
IJZSTLO,O,X,O,O,X,X,X,X,X,X
IJZSTOL,X,X,O,O,X,X,X,X,X,X
IJZSLTO,O,X,O,O,X,X,X,X,X,O
IJZSLOT,O,X,O,O,X,X,X,X,X,O
IJZSOTL,X,X,O,O,X,X,X,X,X,X
IJZSOLT,O,X,O,O,X,X,X,X,X,X
IJZOTLS,X,X,O,X,X,X,X,X,X,X
IJZOTSL,X,X,O,X,X,X,X,X,X,X
IJZOLTS,X,X,O,X,X,X,X,X,X,O
IJZOLST,X,X,O,O,X,X,X,X,X,O
IJZOSTL,X,X,O,O,X,X,X,X,X,X
IJZOSLT,O,X,O,O,X,X,X,X,X,X
IJOTLSZ,X,X,O,O,X,X,X,X,X,X
IJOTLZS,X,X,O,O,X,X,X,X,X,X
IJOTSLZ,O,X,O,O,X,X,X,X,X,X
IJOTSZL,X,X,O,O,X,X,X,X,X,X
IJOTZLS,X,X,O,O,X,X,X,X,X,X
IJOTZSL,X,X,O,O,X,X,X,X,X,X
IJOLTSZ,X,X,O,O,X,X,X,X,X,X
IJOLTZS,X,X,O,O,X,X,X,X,X,X
IJOLSTZ,X,X,O,O,X,X,X,X,X,X
IJOLSZT,X,X,O,O,X,X,X,X,X,X
IJOLZTS,X,X,O,O,X,X,X,X,X,X
IJOLZST,X,X,O,O,X,X,X,X,X,X
IJOSTLZ,X,X,O,O,X,X,X,X,X,X
IJOSTZL,X,X,O,O,X,X,X,X,X,X
IJOSLTZ,O,X,O,O,X,X,X,X,X,X
IJOSLZT,O,X,O,O,X,X,X,X,X,X
IJOSZTL,X,X,O,O,X,X,X,X,X,X
IJOSZLT,X,X,O,O,X,X,X,X,X,X
IJOZTLS,X,X,O,O,X,X,X,X,X,X
IJOZTSL,X,X,O,O,X,X,X,X,X,X
IJOZLTS,X,X,O,O,X,X,X,X,X,X
IJOZLST,X,X,O,O,X,X,X,X,X,X
IJOZSTL,X,X,O,O,X,X,X,X,X,X
IJOZSLT,O,X,O,O,X,X,X,X,X,X
ISTLJZO,O,O,O,X,X,X,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,X,X,X,X
ISTLZJO,X,O,O,O,X,X,X,X,X,X
ISTLZOJ,X,O,O,O,X,X,X,X,X,X
ISTLOJZ,O,O,O,X,X,X,X,X,O,X
ISTLOZJ,O,X,O,X,X,X,X,X,X,X
ISTJLZO,O,O,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,X,X,X
ISTJZLO,O,O,O,O,X,X,X,X,X,X
ISTJZOL,X,O,O,O,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,X
ISTJOZL,X,O,O,O,X,X,X,X,X,X
ISTZLJO,X,O,O,O,X,X,X,X,X,X
ISTZLOJ,X,O,O,O,X,X,X,X,X,X
ISTZJLO,X,O,O,O,X,X,X,X,X,X
ISTZJOL,X,O,O,O,X,X,X,X,X,X
ISTZOLJ,X,X,O,O,X,X,X,X,X,X
ISTZOJL,X,O,O,O,X,X,X,X,X,X
ISTOLJZ,O,O,O,X,X,X,X,X,O,X
ISTOLZJ,O,O,O,X,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X,O,X
ISTOJZL,O,O,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,O,O,X,X,X,X,X,X
ISTOZJL,X,O,O,O,X,X,X,X,X,X
ISLTJZO,O,O,O,X,X,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,X,X,X,X
ISLTZJO,X,O,O,O,X,X,X,X,X,X
ISLTZOJ,X,O,O,O,X,X,X,X,X,X
ISLTOJZ,O,O,O,X,X,X,X,X,O,X
ISLTOZJ,O,X,O,X,X,X,X,X,X,X
ISLJTZO,X,O,O,O,X,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,X,X,X,X
ISLJZTO,X,O,O,O,X,X,X,O,X,X
ISLJZOT,O,O,O,O,X,X,X,O,X,X
ISLJOTZ,O,O,O,X,X,X,X,X,X,X
ISLJOZT,O,O,O,O,X,X,X,X,X,X
ISLZTJO,O,O,O,O,X,X,X,O,X,X
ISLZTOJ,O,O,O,O,X,X,X,O,X,X
ISLZJTO,O,O,O,O,X,X,X,O,X,X
ISLZJOT,O,O,O,O,X,X,X,O,X,X
ISLZOTJ,O,O,X,O,X,X,X,X,X,X
ISLZOJT,O,O,X,X,X,X,X,O,X,X
ISLOTJZ,O,O,O,X,X,X,X,X,O,X
ISLOTZJ,O,O,O,X,X,X,X,X,X,X
ISLOJTZ,O,O,O,X,X,X,X,X,O,X
ISLOJZT,O,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,O,X,O,X,X,X,X,X,X
ISLOZJT,O,O,X,X,X,X,X,X,X,X
ISJTLZO,X,O,O,O,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,X,X,X
ISJTZLO,X,O,O,O,X,X,X,X,X,X
ISJTZOL,X,O,O,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X,X
ISJTOZL,X,O,O,O,X,X,X,X,X,X
ISJLTZO,X,O,O,O,X,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,X,X,X,X
ISJLZTO,X,O,O,O,X,X,X,O,X,X
ISJLZOT,O,O,O,O,X,X,X,O,X,X
ISJLOTZ,O,O,O,O,X,X,X,X,X,X
ISJLOZT,O,O,O,O,X,X,X,X,X,X
ISJZTLO,X,O,O,O,X,X,X,O,X,X
ISJZTOL,X,O,O,O,X,X,X,X,X,X
ISJZLTO,X,O,O,O,X,X,X,O,X,X
ISJZLOT,O,O,O,O,X,X,X,O,X,X
ISJZOTL,X,X,O,O,X,X,X,X,X,X
ISJZOLT,X,X,O,O,X,X,X,O,X,X
ISJOTLZ,X,O,O,O,X,X,X,X,X,X
ISJOTZL,X,O,O,O,X,X,X,X,X,X
ISJOLTZ,O,O,O,O,X,X,X,X,X,X
ISJOLZT,O,O,O,O,X,X,X,X,X,X
ISJOZTL,X,O,O,O,X,X,X,X,X,X
ISJOZLT,X,O,O,O,X,X,X,X,X,X
ISZTLJO,O,O,O,O,X,X,X,O,X,X
ISZTLOJ,O,O,O,O,X,X,X,O,X,X
ISZTJLO,O,O,O,O,X,X,X,O,X,X
ISZTJOL,O,O,O,O,X,X,X,X,X,X
ISZTOLJ,O,X,O,O,X,X,X,O,X,X
ISZTOJL,O,O,O,O,X,X,X,X,X,X
ISZLTJO,O,O,O,O,X,X,X,O,X,X
ISZLTOJ,O,O,O,O,X,X,X,O,X,X
ISZLJTO,O,O,O,O,X,X,X,O,X,X
ISZLJOT,O,O,O,O,X,X,X,O,X,X
ISZLOTJ,O,O,X,O,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,O,X,X
ISZJTLO,O,O,O,O,X,X,X,O,X,X
ISZJTOL,X,O,O,O,X,X,X,X,X,X
ISZJLTO,O,O,O,O,X,X,X,O,X,X
ISZJLOT,O,O,O,O,X,X,X,O,X,X
ISZJOTL,X,X,O,O,X,X,X,X,X,X
ISZJOLT,O,X,O,O,X,X,X,O,X,X
ISZOTLJ,O,O,O,O,X,X,X,O,X,X
ISZOTJL,O,O,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,O,O,X,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,O,X,X
ISZOJTL,O,O,O,O,X,X,X,X,X,X
ISZOJLT,O,O,O,O,X,X,X,O,X,X
ISOTLJZ,O,O,O,X,X,X,X,X,O,X
ISOTLZJ,O,O,O,O,X,X,X,X,X,X
ISOTJLZ,O,O,O,O,X,X,X,X,O,X
ISOTJZL,O,O,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,O,O,X,X,X,X,X,X
ISOTZJL,X,O,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,X,X,X,X,O,X
ISOLTZJ,O,O,O,O,X,X,X,X,X,X
ISOLJTZ,O,O,O,O,X,X,X,X,O,X
ISOLJZT,O,O,O,O,X,X,X,X,X,X
ISOLZTJ,O,O,O,O,X,X,X,X,X,X
ISOLZJT,O,O,O,O,X,X,X,X,X,X
ISOJTLZ,O,O,O,O,X,X,X,X,O,X
ISOJTZL,X,O,O,O,X,X,X,X,X,X
ISOJLTZ,O,O,O,O,X,X,X,X,O,X
ISOJLZT,O,O,O,O,X,X,X,X,X,X
ISOJZTL,X,O,O,O,X,X,X,X,X,X
ISOJZLT,O,O,O,O,X,X,X,X,X,X
ISOZTLJ,O,O,O,O,X,X,X,X,X,X
ISOZTJL,O,O,O,O,X,X,X,X,X,X
ISOZLTJ,O,O,O,O,X,X,X,X,X,X
ISOZLJT,O,O,O,O,X,X,X,X,X,X
ISOZJTL,O,O,O,O,X,X,X,X,X,X
ISOZJLT,O,O,O,O,X,X,X,X,X,X
IZTLJSO,X,X,O,X,X,O,X,X,X,O
IZTLJOS,X,X,O,X,X,O,O,X,X,O
IZTLSJO,X,X,O,O,X,O,X,X,X,O
IZTLSOJ,X,X,O,O,X,O,O,X,X,X
IZTLOJS,X,X,O,X,X,O,O,X,X,O
IZTLOSJ,X,X,O,X,X,O,O,X,X,X
IZTJLSO,O,X,O,O,X,O,X,X,X,O
IZTJLOS,X,X,O,X,X,O,O,X,X,O
IZTJSLO,O,X,O,O,O,O,X,X,X,O
IZTJSOL,O,X,O,O,O,X,X,X,X,X
IZTJOLS,X,X,O,X,X,O,O,X,X,O
IZTJOSL,O,X,O,X,O,X,O,X,X,X
IZTSLJO,O,X,O,O,X,X,X,X,X,O
IZTSLOJ,O,X,O,O,X,X,O,X,X,X
IZTSJLO,O,X,O,O,X,X,X,X,X,O
IZTSJOL,O,X,O,O,X,X,X,X,X,X
IZTSOLJ,O,X,O,O,X,X,O,X,X,X
IZTSOJL,O,X,O,O,X,X,O,X,X,X
IZTOLJS,O,X,O,X,X,X,O,X,X,O
IZTOLSJ,O,X,O,X,X,X,O,X,X,X
IZTOJLS,O,X,O,X,X,X,O,X,X,O
IZTOJSL,O,X,O,X,O,X,O,X,X,X
IZTOSLJ,O,X,O,X,X,X,O,X,X,X
IZTOSJL,O,X,O,X,X,X,O,X,X,X
IZLTJSO,X,X,O,X,O,O,X,X,X,O
IZLTJOS,X,X,O,X,O,O,O,X,X,O
IZLTSJO,X,X,O,O,X,O,X,X,X,O
IZLTSOJ,X,X,O,O,X,O,O,X,X,X
IZLTOJS,X,X,O,X,O,O,O,X,X,O
IZLTOSJ,X,X,O,X,X,O,O,X,X,X
IZLJTSO,X,X,O,O,O,O,X,X,X,O
IZLJTOS,X,X,O,X,O,O,X,X,X,O
IZLJSTO,X,X,O,O,O,O,X,X,X,O
IZLJSOT,X,X,O,O,O,O,X,X,X,O
IZLJOTS,X,X,O,X,O,O,O,X,X,O
IZLJOST,X,X,O,O,O,O,O,X,X,O
IZLSTJO,X,X,O,O,O,X,X,X,X,X
IZLSTOJ,X,X,O,O,O,X,X,X,X,X
IZLSJTO,X,X,O,O,O,X,X,X,X,O
IZLSJOT,X,X,O,O,O,X,X,X,X,O
IZLSOTJ,X,X,X,O,O,X,X,X,X,X
IZLSOJT,X,X,X,X,O,X,O,X,X,X
IZLOTJS,X,X,O,X,O,O,O,X,X,X
IZLOTSJ,X,X,O,X,O,O,O,X,X,X
IZLOJTS,X,X,O,X,O,O,O,X,X,O
IZLOJST,X,X,O,X,O,O,O,X,X,O
IZLOSTJ,X,X,O,O,O,X,X,X,X,X
IZLOSJT,X,X,O,X,O,X,O,X,X,X
IZJTLSO,X,X,O,O,X,O,X,X,X,O
IZJTLOS,X,X,O,X,X,O,X,X,X,O
IZJTSLO,O,X,O,O,X,O,X,X,X,O
IZJTSOL,X,X,O,O,X,X,X,X,X,X
IZJTOLS,X,X,O,X,X,O,X,X,X,O
IZJTOSL,X,X,O,X,X,X,X,X,X,X
IZJLTSO,X,X,O,O,X,O,X,X,X,O
IZJLTOS,X,X,O,X,X,O,X,X,X,O
IZJLSTO,O,X,O,O,X,O,X,X,X,O
IZJLSOT,O,X,O,O,X,O,X,X,X,O
IZJLOTS,X,X,O,X,X,O,O,X,X,O
IZJLOST,X,X,O,O,X,O,O,X,X,O
IZJSTLO,O,X,O,O,X,O,X,X,X,X
IZJSTOL,X,X,O,O,X,X,X,X,X,X
IZJSLTO,O,X,O,O,X,O,X,X,X,O
IZJSLOT,O,X,O,O,X,O,X,X,X,O
IZJSOTL,X,X,O,O,X,X,X,X,X,X
IZJSOLT,O,X,O,O,X,X,X,X,X,X
IZJOTLS,X,X,O,X,X,O,O,X,X,X
IZJOTSL,X,X,O,X,X,X,X,X,X,X
IZJOLTS,X,X,O,X,X,O,O,X,X,O
IZJOLST,X,X,O,O,X,O,O,X,X,O
IZJOSTL,X,X,O,O,X,X,X,X,X,X
IZJOSLT,O,X,O,O,X,X,O,X,X,X
IZSTLJO,O,X,O,O,O,X,X,X,X,X
IZSTLOJ,O,X,O,O,O,X,X,X,X,X
IZSTJLO,O,X,O,O,O,X,X,X,X,X
IZSTJOL,O,X,O,O,O,X,X,X,X,X
IZSTOLJ,O,X,O,O,O,X,X,X,X,X
IZSTOJL,O,X,O,O,O,X,X,X,X,X
IZSLTJO,O,X,O,O,O,X,X,X,X,X
IZSLTOJ,O,X,O,O,O,X,X,X,X,X
IZSLJTO,O,X,O,O,O,X,X,X,X,O
IZSLJOT,O,X,O,O,O,X,X,X,X,O
IZSLOTJ,O,X,X,O,O,X,X,X,X,X
IZSLOJT,O,X,X,X,O,X,O,X,X,X
IZSJTLO,O,X,O,O,O,X,X,X,X,X
IZSJTOL,X,X,O,O,O,X,X,X,X,X
IZSJLTO,O,X,O,O,O,X,X,X,X,O
IZSJLOT,O,X,O,O,O,X,X,X,X,O
IZSJOTL,X,X,O,O,X,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X,X,X,X,X
IZSOTLJ,O,X,O,O,O,X,X,X,X,X
IZSOTJL,O,X,O,O,O,X,X,X,X,X
IZSOLTJ,O,X,O,O,O,X,X,X,X,X
IZSOLJT,O,X,O,X,O,X,O,X,X,X
IZSOJTL,O,X,O,O,O,X,X,X,X,X
IZSOJLT,O,X,O,O,O,X,O,X,X,X
IZOTLJS,O,X,O,X,O,X,O,X,X,X
IZOTLSJ,O,X,O,X,O,X,O,X,X,X
IZOTJLS,O,X,O,X,X,X,O,X,X,X
IZOTJSL,O,X,O,X,O,X,O,X,X,X
IZOTSLJ,O,X,O,X,O,X,O,X,X,X
IZOTSJL,O,X,O,X,O,X,O,X,X,X
IZOLTJS,O,X,O,X,O,X,O,X,X,X
IZOLTSJ,O,X,O,X,O,X,O,X,X,X
IZOLJTS,X,X,O,X,O,X,O,X,X,O
IZOLJST,O,X,O,X,O,X,O,X,X,O
IZOLSTJ,O,X,O,O,O,X,X,X,X,X
IZOLSJT,O,X,O,X,O,X,O,X,X,X
IZOJTLS,O,X,O,X,X,X,O,X,X,X
IZOJTSL,O,X,O,X,X,X,O,X,X,X
IZOJLTS,X,X,O,X,O,X,O,X,X,O
IZOJLST,O,X,O,O,O,X,O,X,X,O
IZOJSTL,O,X,O,O,O,X,X,X,X,X
IZOJSLT,O,X,O,O,O,X,O,X,X,X
IZOSTLJ,O,X,O,O,O,X,X,X,X,X
IZOSTJL,O,X,O,O,O,X,X,X,X,X
IZOSLTJ,O,X,O,O,O,X,X,X,X,X
IZOSLJT,O,X,O,X,O,X,O,X,X,X
IZOSJTL,O,X,O,O,O,X,X,X,X,X
IZOSJLT,O,X,O,O,O,X,O,X,X,X
IOTLJSZ,O,O,O,X,X,X,X,X,X,X
IOTLJZS,X,O,O,X,O,X,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,X,X,X
IOTLSZJ,O,X,O,O,X,X,X,X,X,X
IOTLZJS,X,X,O,X,O,X,X,X,X,X
IOTLZSJ,X,X,O,O,O,X,X,X,X,X
IOTJLSZ,O,O,O,O,X,X,X,X,X,X
IOTJLZS,X,O,O,O,X,X,X,X,X,X
IOTJSLZ,O,O,O,O,X,X,X,X,X,X
IOTJSZL,O,O,O,O,X,X,X,X,X,X
IOTJZLS,X,O,O,O,X,X,O,X,X,X
IOTJZSL,O,O,O,O,X,X,O,X,X,X
IOTSLJZ,O,O,O,X,X,X,X,X,X,X
IOTSLZJ,O,X,O,O,X,X,X,X,X,X
IOTSJLZ,O,O,O,O,X,X,X,X,X,X
IOTSJZL,O,O,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,O,O,X,X,X,X,X,X
IOTSZJL,X,O,O,O,X,X,X,X,X,X
IOTZLJS,O,X,O,X,O,X,O,X,X,X
IOTZLSJ,O,X,O,O,O,X,O,X,X,X
IOTZJLS,O,O,O,O,X,X,O,X,X,X
IOTZJSL,O,O,O,O,X,X,O,X,X,X
IOTZSLJ,O,X,O,O,O,X,O,X,X,X
IOTZSJL,O,X,O,O,O,X,O,X,X,X
IOLTJSZ,O,O,O,X,X,X,X,X,X,X
IOLTJZS,X,O,O,X,O,X,X,X,X,X
IOLTSJZ,O,O,O,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,O,X,X,X,X,X,X
IOLTZJS,X,O,O,X,O,X,X,X,X,X
IOLTZSJ,X,X,O,O,O,X,X,X,X,X
IOLJTSZ,O,O,O,O,X,X,X,X,X,X
IOLJTZS,X,O,O,O,O,X,X,X,X,X
IOLJSTZ,O,O,O,O,X,X,X,X,O,X
IOLJSZT,O,O,O,O,O,X,X,X,X,X
IOLJZTS,X,X,O,O,O,X,X,X,X,X
IOLJZST,O,X,O,O,O,X,X,X,X,X
IOLSTJZ,O,O,O,X,X,X,X,X,O,X
IOLSTZJ,O,O,O,O,X,X,X,X,X,X
IOLSJTZ,O,O,O,O,X,X,X,X,O,X
IOLSJZT,O,O,O,O,O,X,X,X,X,X
IOLSZTJ,O,O,O,O,O,X,X,X,X,X
IOLSZJT,O,O,O,O,O,X,X,X,X,X
IOLZTJS,O,X,O,X,O,X,X,X,X,X
IOLZTSJ,O,X,O,O,O,X,X,X,X,X
IOLZJTS,X,X,O,O,O,X,X,X,X,X
IOLZJST,O,X,O,O,O,X,X,X,X,X
IOLZSTJ,O,X,O,O,O,X,X,X,X,X
IOLZSJT,O,X,O,O,O,X,X,X,X,X
IOJTLSZ,O,X,O,O,X,X,X,X,X,X
IOJTLZS,X,X,O,O,X,X,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,X,X,X,X
IOJTSZL,O,X,O,O,X,X,X,X,X,X
IOJTZLS,X,X,O,O,X,X,O,X,X,X
IOJTZSL,O,X,O,O,X,X,O,X,X,X
IOJLTSZ,O,X,O,O,X,X,X,X,X,X
IOJLTZS,X,X,O,O,O,X,X,X,X,X
IOJLSTZ,O,X,O,O,X,X,X,X,O,X
IOJLSZT,O,X,O,O,O,X,X,X,X,X
IOJLZTS,X,X,O,O,O,X,X,X,X,X
IOJLZST,O,X,O,O,O,X,X,X,X,X
IOJSTLZ,O,X,O,O,X,X,X,X,O,X
IOJSTZL,O,X,O,O,X,X,X,X,X,X
IOJSLTZ,O,X,O,O,X,X,X,X,O,X
IOJSLZT,O,X,O,O,X,X,X,X,X,X
IOJSZTL,O,X,O,O,X,X,X,X,X,X
IOJSZLT,O,X,O,O,X,X,X,X,X,X
IOJZTLS,O,X,O,O,X,X,O,X,X,X
IOJZTSL,O,X,O,O,X,X,O,X,X,X
IOJZLTS,X,X,O,O,O,X,O,X,X,X
IOJZLST,O,X,O,O,O,X,O,X,X,X
IOJZSTL,O,X,O,O,O,X,X,X,X,X
IOJZSLT,O,X,O,O,O,X,O,X,X,X
IOSTLJZ,O,O,O,X,X,X,X,X,O,X
IOSTLZJ,O,O,O,O,X,X,X,X,X,X
IOSTJLZ,O,O,O,O,X,X,X,X,O,X
IOSTJZL,O,O,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,O,O,X,X,X,X,X,X
IOSTZJL,X,O,O,O,X,X,X,X,X,X
IOSLTJZ,O,O,O,X,X,X,X,X,O,X
IOSLTZJ,O,O,O,O,X,X,X,X,X,X
IOSLJTZ,O,O,O,O,X,X,X,X,O,X
IOSLJZT,O,O,O,O,O,X,X,X,X,X
IOSLZTJ,O,O,O,O,O,X,X,X,X,X
IOSLZJT,O,O,O,O,O,X,X,X,X,X
IOSJTLZ,O,O,O,O,X,X,X,X,O,X
IOSJTZL,O,O,O,O,X,X,X,X,X,X
IOSJLTZ,O,O,O,O,X,X,X,X,O,X
IOSJLZT,O,O,O,O,X,X,X,X,X,X
IOSJZTL,O,O,O,O,X,X,X,X,X,X
IOSJZLT,O,O,O,O,X,X,X,X,X,X
IOSZTLJ,O,O,O,O,O,X,X,X,X,X
IOSZTJL,O,O,O,O,O,X,X,X,X,X
IOSZLTJ,O,O,O,O,O,X,X,X,X,X
IOSZLJT,O,O,O,O,O,X,X,X,X,X
IOSZJTL,O,O,O,O,O,X,X,X,X,X
IOSZJLT,O,O,O,O,O,X,X,X,X,X
IOZTLJS,O,X,O,X,O,X,O,X,X,X
