sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB
TJZLSOI,O,O,O,O,X,O,X
TJZLOIS,O,O,O,O,X,X,O
TJZLOSI,O,O,O,O,X,O,X
TJZSILO,O,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,O,X
TJZSLIO,O,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,O,X
TJZSOLI,O,O,O,O,O,O,X
TJZOILS,O,O,O,O,X,X,O
TJZOISL,O,O,O,O,O,O,X
TJZOLIS,O,O,O,O,X,X,O
TJZOLSI,O,O,O,O,X,O,X
TJZOSIL,O,O,O,O,O,O,X
TJZOSLI,O,O,O,O,O,O,X
TJOILSZ,X,X,X,O,O,X,X
TJOILZS,X,X,O,O,X,X,O
TJOISLZ,O,O,X,O,O,O,X
TJOISZL,O,O,X,O,O,O,X
TJOIZLS,O,O,O,O,X,X,O
TJOIZSL,O,O,O,O,O,O,X
TJOLISZ,X,X,X,O,O,X,X
TJOLIZS,X,X,O,O,X,X,O
TJOLSIZ,X,X,X,O,O,O,X
TJOLSZI,X,X,X,O,O,O,X
TJOLZIS,X,X,O,O,X,X,O
TJOLZSI,X,X,O,O,X,O,X
TJOSILZ,O,O,X,O,O,O,X
TJOSIZL,O,O,X,O,O,O,X
TJOSLIZ,O,O,X,O,O,O,X
TJOSLZI,O,O,X,O,O,O,X
TJOSZIL,O,O,X,O,O,O,X
TJOSZLI,O,O,X,O,O,O,X
TJOZILS,O,O,O,O,X,X,O
TJOZISL,O,O,O,O,O,O,X
TJOZLIS,O,O,O,O,X,X,O
TJOZLSI,O,O,O,O,X,O,X
TJOZSIL,O,O,O,O,O,O,X
TJOZSLI,O,O,O,O,O,O,X
TSILJZO,O,O,O,O,O,O,X
TSILJOZ,O,O,X,O,O,O,X
TSILZJO,O,O,O,O,O,O,X
TSILZOJ,O,O,O,O,O,O,O
TSILOJZ,O,O,X,O,O,O,X
TSILOZJ,O,O,X,O,O,O,O
TSIJLZO,O,O,O,O,O,O,X
TSIJLOZ,O,O,X,O,O,O,X
TSIJZLO,O,O,O,O,O,O,X
TSIJZOL,O,O,O,O,O,O,X
TSIJOLZ,O,O,X,O,O,O,X
TSIJOZL,O,O,X,O,O,O,X
TSIZLJO,O,O,O,O,O,O,X
TSIZLOJ,O,O,O,O,O,O,O
TSIZJLO,O,O,O,O,O,O,X
TSIZJOL,O,O,O,O,O,O,X
TSIZOLJ,O,O,O,O,O,O,O
TSIZOJL,O,O,O,O,O,O,X
TSIOLJZ,O,O,X,O,O,O,X
TSIOLZJ,O,O,X,O,O,O,O
TSIOJLZ,O,O,X,O,O,O,X
TSIOJZL,O,O,X,O,O,O,X
TSIOZLJ,O,O,X,O,O,O,O
TSIOZJL,O,O,X,O,O,O,X
TSLIJZO,O,O,O,O,O,O,X
TSLIJOZ,O,O,X,O,O,O,X
TSLIZJO,O,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,O,O
TSLIOJZ,O,O,X,O,O,O,X
TSLIOZJ,O,O,X,O,O,O,O
TSLJIZO,O,O,O,O,O,O,X
TSLJIOZ,O,O,X,O,O,O,X
TSLJZIO,O,O,O,O,O,O,X
TSLJZOI,O,O,O,O,O,O,X
TSLJOIZ,O,O,X,O,O,O,X
TSLJOZI,O,O,X,O,O,O,X
TSLZIJO,O,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,O,O
TSLZJIO,O,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,O,O
TSLZOJI,O,O,O,O,O,O,X
TSLOIJZ,O,O,X,O,O,O,X
TSLOIZJ,O,O,X,O,O,O,O
TSLOJIZ,O,O,X,O,O,O,X
TSLOJZI,O,O,X,O,O,O,X
TSLOZIJ,O,O,X,O,O,O,O
TSLOZJI,O,O,X,O,O,O,X
TSJILZO,O,O,O,O,O,O,X
TSJILOZ,O,O,X,O,O,O,X
TSJIZLO,O,O,O,O,O,O,X
TSJIZOL,O,O,O,O,O,O,X
TSJIOLZ,O,O,X,O,O,O,X
TSJIOZL,O,O,X,O,O,O,X
TSJLIZO,O,O,O,O,O,O,X
TSJLIOZ,O,O,X,O,O,O,X
TSJLZIO,O,O,O,O,O,O,X
TSJLZOI,O,O,O,O,O,O,X
TSJLOIZ,O,O,X,O,O,O,X
TSJLOZI,O,O,X,O,O,O,X
TSJZILO,O,O,O,O,O,O,X
TSJZIOL,O,O,O,O,O,O,X
TSJZLIO,O,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,O,X
TSJZOIL,O,O,O,O,O,O,X
TSJZOLI,O,O,O,O,O,O,X
TSJOILZ,O,O,X,O,O,O,X
TSJOIZL,O,O,X,O,O,O,X
TSJOLIZ,O,O,X,O,O,O,X
TSJOLZI,O,O,X,O,O,O,X
TSJOZIL,O,O,X,O,O,O,X
TSJOZLI,O,O,X,O,O,O,X
TSZILJO,O,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,O,O
TSZIJLO,O,O,O,O,O,O,X
TSZIJOL,O,O,O,O,O,O,X
TSZIOLJ,O,O,O,O,O,O,O
TSZIOJL,O,O,O,O,O,O,X
TSZLIJO,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,O,O
TSZLJIO,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,O,O
TSZLOJI,O,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,O,X
TSZJIOL,O,O,O,O,O,O,X
TSZJLIO,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,X
TSZJOIL,O,O,O,O,O,O,X
TSZJOLI,O,O,O,O,O,O,X
TSZOILJ,O,O,O,O,O,O,O
TSZOIJL,O,O,O,O,O,O,X
TSZOLIJ,O,O,O,O,O,O,O
TSZOLJI,O,O,O,O,O,O,X
TSZOJIL,O,O,O,O,O,O,X
TSZOJLI,O,O,O,O,O,O,X
TSOILJZ,O,O,X,O,O,O,X
TSOILZJ,O,O,X,O,O,O,O
TSOIJLZ,O,O,X,O,O,O,X
TSOIJZL,O,O,X,O,O,O,X
TSOIZLJ,O,O,X,O,O,O,O
TSOIZJL,O,O,X,O,O,O,X
TSOLIJZ,O,O,X,O,O,O,X
TSOLIZJ,O,O,X,O,O,O,O
TSOLJIZ,O,O,X,O,O,O,X
TSOLJZI,O,O,X,O,O,O,X
TSOLZIJ,O,O,X,O,O,O,O
TSOLZJI,O,O,X,O,O,O,X
TSOJILZ,O,O,X,O,O,O,X
TSOJIZL,O,O,X,O,O,O,X
TSOJLIZ,O,O,X,O,O,O,X
TSOJLZI,O,O,X,O,O,O,X
TSOJZIL,O,O,X,O,O,O,X
TSOJZLI,O,O,X,O,O,O,X
TSOZILJ,O,O,X,O,O,O,O
TSOZIJL,O,O,X,O,O,O,X
TSOZLIJ,O,O,X,O,O,O,O
TSOZLJI,O,O,X,O,O,O,X
TSOZJIL,O,O,X,O,O,O,X
TSOZJLI,O,O,X,O,O,O,X
TZILJSO,O,O,O,O,X,X,X
TZILJOS,O,O,O,O,X,X,O
TZILSJO,O,O,O,O,X,X,X
TZILSOJ,O,O,O,O,X,X,O
TZILOJS,O,O,O,O,X,X,O
TZILOSJ,O,O,O,O,X,X,O
TZIJLSO,O,O,O,O,X,X,X
TZIJLOS,O,O,O,O,X,X,O
TZIJSLO,O,O,O,O,O,O,X
TZIJSOL,O,O,O,O,O,O,X
TZIJOLS,O,O,O,O,X,X,O
TZIJOSL,O,O,O,O,O,O,X
TZISLJO,O,O,O,O,O,O,X
TZISLOJ,O,O,O,O,O,O,O
TZISJLO,O,O,O,O,O,O,X
TZISJOL,O,O,O,O,O,O,X
TZISOLJ,O,O,O,O,O,O,O
TZISOJL,O,O,O,O,O,O,X
TZIOLJS,O,O,O,O,X,X,O
TZIOLSJ,O,O,O,O,X,X,O
TZIOJLS,O,O,O,O,X,X,O
TZIOJSL,O,O,O,O,O,O,X
TZIOSLJ,O,O,O,O,O,O,O
TZIOSJL,O,O,O,O,O,O,X
TZLIJSO,O,O,O,O,X,X,X
TZLIJOS,O,O,O,O,X,X,O
TZLISJO,O,O,O,O,X,X,X
TZLISOJ,O,O,O,O,X,X,O
TZLIOJS,O,O,O,O,X,X,O
TZLIOSJ,O,O,O,O,X,X,O
TZLJISO,O,O,O,O,X,X,X
TZLJIOS,O,O,O,O,X,X,O
TZLJSIO,O,O,O,O,X,O,X
TZLJSOI,O,O,O,O,X,O,X
TZLJOIS,O,O,O,O,X,X,O
TZLJOSI,O,O,O,O,X,O,X
TZLSIJO,O,O,O,O,X,O,X
TZLSIOJ,O,O,O,O,X,O,O
TZLSJIO,O,O,O,O,X,O,X
TZLSJOI,O,O,O,O,X,O,X
TZLSOIJ,O,O,O,O,X,O,O
TZLSOJI,O,O,O,O,X,O,X
TZLOIJS,O,O,O,O,X,X,O
TZLOISJ,O,O,O,O,X,X,O
TZLOJIS,O,O,O,O,X,X,O
TZLOJSI,O,O,O,O,X,O,X
TZLOSIJ,O,O,O,O,X,O,O
TZLOSJI,O,O,O,O,X,O,X
TZJILSO,O,O,O,O,X,X,X
TZJILOS,O,O,O,O,X,X,O
TZJISLO,O,O,O,O,O,O,X
TZJISOL,O,O,O,O,O,O,X
TZJIOLS,O,O,O,O,X,X,O
TZJIOSL,O,O,O,O,O,O,X
TZJLISO,O,O,O,O,X,X,X
TZJLIOS,O,O,O,O,X,X,O
TZJLSIO,O,O,O,O,X,O,X
TZJLSOI,O,O,O,O,X,O,X
TZJLOIS,O,O,O,O,X,X,O
TZJLOSI,O,O,O,O,X,O,X
TZJSILO,O,O,O,O,O,O,X
TZJSIOL,O,O,O,O,O,O,X
TZJSLIO,O,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,O,X
