sequence,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcBuiBTfBigB8m?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRcB3dBFhBCn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8Je06IvhFlbBRdB2kB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhFxbBldBCgB/mBUn?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFRbBzcBuiB3gBlm?BUqB,v115@8gA8HeB8HeG8AeF8BeF8JeT6IvhFxbBldBykBUiBGm?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhF0cBldBTfB2lBCn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8Jex6IvhFlcB3dB2kBzgBCn?BUqB,v115@8gA8HeB8HeG8AeF8BeF8Jel6IvhFRdB2kB0gB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFfgB8gBRdBGiBlm?BTqB,v115@8gA8HeB8HeG8AeF8BeF8JeO/IvhF8fBRdB1lB6mBTn?B3qB,v115@8gA8HeB8HeG8AeF8BeF8JeK/IvhFzcBuiBRgB3gBlm?BUqB
ITZOSLJ,X,X,X,X,X,X,X,X,X,X,X,X
ITZOSJL,X,O,X,X,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,O,X,O,X,O,O,X,O
ITOLJZS,X,X,O,X,X,X,O,X,O,O,O,O
ITOLSJZ,X,X,O,X,O,X,X,X,X,O,X,O
ITOLSZJ,X,X,O,X,O,X,X,X,X,X,O,X
ITOLZJS,X,X,O,X,X,X,X,X,O,X,O,O
ITOLZSJ,X,X,O,X,X,X,X,X,X,X,O,X
ITOJLSZ,X,X,O,X,O,X,O,X,O,O,X,O
ITOJLZS,X,X,O,X,X,X,O,X,O,O,X,O
ITOJSLZ,X,X,X,X,O,X,O,X,O,X,X,X
ITOJSZL,X,X,X,X,X,X,X,X,X,X,X,X
ITOJZLS,X,X,O,X,X,X,O,X,O,O,X,X
ITOJZSL,X,X,O,X,X,X,X,X,X,X,X,X
ITOSLJZ,X,X,X,X,O,X,X,X,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,O,X,O,X,X,X,X,X
ITOSJZL,X,X,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,X,X,X,X,X,X,X,X
ITOSZJL,X,O,X,X,X,X,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X,X,X,X,X,O,X
ITOZLSJ,X,X,X,X,X,X,X,X,X,X,O,X
ITOZJLS,X,X,X,X,X,X,O,X,X,X,O,X
ITOZJSL,X,O,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,X,X,X,X,X,X,X
ITOZSJL,X,O,X,X,X,X,X,X,X,X,X,X
ILTJSZO,X,O,O,O,O,X,O,O,X,O,X,X
ILTJSOZ,X,X,O,O,O,O,X,O,X,O,X,O
ILTJZSO,O,O,O,O,X,O,O,O,X,O,X,X
ILTJZOS,O,O,O,X,X,O,O,X,X,O,X,O
ILTJOSZ,X,X,O,O,O,O,O,O,X,O,X,O
ILTJOZS,X,X,O,X,X,O,O,X,X,O,X,O
ILTSJZO,X,O,O,O,O,X,X,O,X,O,X,X
ILTSJOZ,X,X,O,O,O,X,X,O,X,O,X,O
ILTSZJO,X,O,O,O,O,X,X,X,X,O,X,X
ILTSZOJ,X,O,X,O,O,X,X,X,X,X,X,X
ILTSOJZ,X,X,O,O,O,O,X,O,X,O,X,O
ILTSOZJ,X,O,O,X,O,O,X,O,X,X,X,X
ILTZJSO,O,O,O,O,X,O,O,X,X,O,X,X
ILTZJOS,O,O,O,X,X,O,O,X,X,O,O,O
ILTZSJO,O,O,O,O,X,X,X,X,X,O,X,X
ILTZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILTZOJS,O,O,X,X,X,O,O,X,X,X,O,O
ILTZOSJ,X,O,X,X,X,O,O,X,X,X,O,X
ILTOJSZ,X,X,O,O,O,O,O,O,X,O,X,O
ILTOJZS,X,X,O,X,X,O,O,O,X,O,O,O
ILTOSJZ,X,X,O,X,O,O,O,O,X,O,X,O
ILTOSZJ,X,O,O,X,O,O,O,O,X,X,O,X
ILTOZJS,X,O,O,X,X,O,O,X,X,X,O,O
ILTOZSJ,X,O,O,X,X,O,O,O,X,X,O,X
ILJTSZO,X,O,O,O,O,X,O,O,X,O,X,X
ILJTSOZ,X,X,O,O,O,O,X,O,X,O,X,O
ILJTZSO,O,O,O,O,X,O,O,O,X,O,X,X
ILJTZOS,O,O,O,X,X,O,O,X,O,O,X,O
ILJTOSZ,X,X,O,O,O,O,O,O,O,O,X,O
ILJTOZS,X,X,O,X,X,O,O,X,O,O,X,O
ILJSTZO,X,O,O,O,O,X,O,O,X,O,X,X
ILJSTOZ,X,X,O,O,O,O,X,O,X,O,X,O
ILJSZTO,O,O,O,O,O,O,O,O,X,O,X,X
ILJSZOT,X,O,O,O,X,O,X,X,X,X,X,X
ILJSOTZ,X,X,O,O,O,O,X,O,X,O,X,X
ILJSOZT,X,X,O,O,X,O,X,O,X,X,X,X
ILJZTSO,O,O,O,O,X,O,O,O,X,X,X,X
ILJZTOS,O,O,O,X,X,O,O,X,O,X,X,O
ILJZSTO,O,O,O,O,X,O,O,O,X,O,X,X
ILJZSOT,X,O,O,O,X,O,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,O,O,X,O,X,X,X
ILJZOST,O,X,O,X,X,O,O,X,O,X,X,X
ILJOTSZ,X,X,O,O,X,O,O,O,O,X,X,O
ILJOTZS,O,X,O,X,X,O,O,O,O,X,X,O
ILJOSTZ,X,X,O,O,X,O,O,O,O,O,X,X
ILJOSZT,O,X,O,O,X,O,O,O,O,X,X,X
ILJOZTS,O,X,O,X,X,O,O,O,O,X,X,X
ILJOZST,O,X,O,X,X,O,O,O,O,X,X,X
ILSTJZO,X,O,O,O,O,X,X,O,X,O,X,X
ILSTJOZ,X,X,O,O,O,X,X,O,X,O,X,O
ILSTZJO,X,O,O,O,O,X,X,X,X,O,X,X
ILSTZOJ,X,O,X,O,O,X,X,X,X,X,X,X
ILSTOJZ,X,X,O,O,O,O,X,O,X,O,X,O
ILSTOZJ,X,O,O,X,O,O,X,O,X,X,X,X
ILSJTZO,X,O,O,O,O,X,X,O,X,O,X,X
ILSJTOZ,X,X,O,O,O,O,X,O,X,O,X,O
ILSJZTO,O,O,O,O,O,O,X,O,X,O,X,X
ILSJZOT,X,O,O,O,X,O,X,X,X,X,X,X
ILSJOTZ,X,X,O,O,O,O,X,O,X,O,X,X
ILSJOZT,X,O,O,O,X,O,X,O,X,X,X,X
ILSZTJO,O,O,O,O,O,X,X,X,X,O,X,X
ILSZTOJ,X,O,X,O,O,O,X,X,X,X,X,X
ILSZJTO,O,O,O,O,O,X,X,X,X,O,X,X
ILSZJOT,X,O,O,O,X,X,X,X,X,X,X,X
ILSZOTJ,X,O,X,O,X,O,X,X,X,X,X,X
ILSZOJT,X,O,X,O,X,X,X,X,X,X,X,X
ILSOTJZ,X,O,O,O,O,O,X,O,X,O,X,X
ILSOTZJ,X,O,O,X,O,O,X,O,X,X,X,X
ILSOJTZ,X,X,O,O,O,O,X,O,X,O,X,X
ILSOJZT,X,O,O,O,X,O,X,O,X,X,X,X
ILSOZTJ,X,O,O,O,X,O,X,O,X,X,X,X
ILSOZJT,X,O,O,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,O,O,X,O,O,X,X,O,X,X
ILZTJOS,O,O,O,X,X,O,O,X,X,O,X,O
ILZTSJO,O,O,O,O,X,X,X,X,X,O,X,X
ILZTSOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILZTOJS,O,O,X,X,X,O,O,X,X,X,X,O
ILZTOSJ,O,O,X,X,X,O,O,X,X,X,X,X
ILZJTSO,O,O,O,O,X,O,O,X,X,X,X,X
ILZJTOS,O,O,O,X,X,O,O,X,O,X,X,O
ILZJSTO,O,O,O,O,X,O,O,X,X,O,X,X
ILZJSOT,X,O,O,O,X,O,X,X,X,X,X,X
ILZJOTS,O,X,O,X,X,O,O,X,O,X,X,X
ILZJOST,O,X,X,X,X,O,O,X,O,X,X,X
ILZSTJO,O,O,O,O,X,X,X,X,X,O,X,X
ILZSTOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILZSJTO,O,O,O,O,X,X,X,X,X,O,X,X
ILZSJOT,X,O,O,O,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,X,O,X,O,X,X,X,X,X,X
ILZSOJT,X,O,X,O,X,X,X,X,X,X,X,X
ILZOTJS,O,X,X,X,X,O,O,X,O,X,X,X
ILZOTSJ,O,X,X,X,X,O,O,X,X,X,X,X
ILZOJTS,O,X,X,X,X,O,O,X,O,X,X,X
ILZOJST,O,X,X,X,X,O,O,X,O,X,X,X
ILZOSTJ,O,X,X,X,X,O,O,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,O,X,X,X
ILOTJSZ,X,O,O,O,X,O,O,O,O,O,X,O
ILOTJZS,O,O,O,X,X,O,O,O,O,O,O,O
ILOTSJZ,X,O,O,X,X,O,O,O,X,O,X,O
ILOTSZJ,X,O,O,X,X,O,O,O,X,X,O,X
ILOTZJS,O,O,O,X,X,O,O,X,O,X,O,O
ILOTZSJ,O,O,O,X,X,O,O,O,X,X,O,X
ILOJTSZ,X,X,O,O,X,O,O,O,O,X,X,O
ILOJTZS,O,X,O,X,X,O,O,O,O,X,O,O
ILOJSTZ,X,X,O,O,X,O,O,O,O,O,X,X
ILOJSZT,O,X,O,O,X,O,O,O,O,X,X,X
ILOJZTS,O,X,O,X,X,O,O,O,O,X,X,X
ILOJZST,O,X,O,X,X,O,O,O,O,X,X,X
ILOSTJZ,X,O,O,O,X,O,O,O,X,O,X,X
ILOSTZJ,X,O,O,X,X,O,O,O,X,X,O,X
ILOSJTZ,X,X,O,O,X,O,O,O,O,O,X,X
ILOSJZT,O,O,O,O,X,O,O,O,O,X,X,X
ILOSZTJ,O,O,O,O,X,O,O,O,X,X,X,X
ILOSZJT,O,O,O,O,X,X,X,X,O,X,X,X
ILOZTJS,O,O,O,X,X,O,O,X,O,X,O,X
ILOZTSJ,O,O,O,X,X,O,O,O,X,X,O,X
ILOZJTS,O,O,O,X,X,O,O,X,O,X,X,X
ILOZJST,O,O,O,X,X,O,O,X,O,X,X,X
ILOZSTJ,O,O,O,X,X,O,O,O,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X,X,O,X,X,X
IJTLSZO,X,O,O,O,O,X,O,O,X,O,X,X
IJTLSOZ,X,X,O,O,O,O,X,O,X,O,X,O
IJTLZSO,X,O,O,O,X,X,O,O,X,O,X,X
IJTLZOS,X,O,O,X,X,O,O,X,O,O,X,O
IJTLOSZ,X,X,X,O,O,O,O,O,O,O,X,O
IJTLOZS,X,X,O,X,X,O,O,X,O,O,X,O
IJTSLZO,X,X,X,O,O,X,O,O,X,O,X,X
IJTSLOZ,X,X,X,O,O,X,X,O,X,O,X,X
IJTSZLO,X,O,X,O,X,X,X,X,X,O,X,X
IJTSZOL,X,O,X,O,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,O,O,X,X,O,O,X,X,X
IJTSOZL,X,X,X,O,X,X,X,X,X,X,X,X
IJTZLSO,X,O,O,O,X,X,O,X,X,O,X,X
IJTZLOS,X,O,O,X,X,X,O,X,O,O,X,X
IJTZSLO,X,O,O,O,X,X,X,X,X,O,X,X
IJTZSOL,X,O,O,O,X,X,X,X,X,X,X,X
IJTZOLS,X,X,O,X,X,X,X,X,O,O,X,X
IJTZOSL,X,O,O,X,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,O,X,O,X,O,O,O,O,X,O
IJTOLZS,X,X,O,X,X,X,O,O,O,O,X,O
IJTOSLZ,X,X,X,X,O,X,O,O,O,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,X,O,X,X,X,O,X,O,O,X,X
IJTOZSL,X,X,O,X,X,X,X,X,X,X,X,X
IJLTSZO,X,O,O,O,O,X,O,O,X,O,X,X
IJLTSOZ,X,X,O,O,O,O,X,O,X,O,X,O
IJLTZSO,O,O,O,O,X,O,O,O,X,O,X,X
IJLTZOS,O,O,O,X,X,O,O,X,O,O,X,O
IJLTOSZ,X,X,O,O,O,O,O,O,O,O,X,O
IJLTOZS,X,X,O,X,X,O,O,X,O,O,X,O
IJLSTZO,X,O,O,O,O,X,O,O,X,O,X,X
IJLSTOZ,X,X,O,O,O,O,X,O,X,O,X,O
IJLSZTO,O,O,O,O,O,O,O,O,X,O,X,X
IJLSZOT,X,O,O,O,X,O,X,X,X,X,X,X
IJLSOTZ,X,X,O,O,O,O,X,O,X,O,X,X
IJLSOZT,X,X,O,O,X,O,X,O,X,X,X,X
IJLZTSO,O,O,O,O,X,O,O,O,X,X,X,X
IJLZTOS,O,O,O,X,X,O,O,X,O,X,X,O
IJLZSTO,O,O,O,O,X,O,O,O,X,O,X,X
IJLZSOT,X,O,O,O,X,O,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,O,O,X,O,X,X,X
IJLZOST,O,X,O,X,X,O,O,X,O,X,X,X
IJLOTSZ,X,X,O,O,X,O,O,O,O,X,X,O
IJLOTZS,O,X,O,X,X,O,O,O,O,X,X,O
IJLOSTZ,X,X,O,O,X,O,O,O,O,O,X,X
IJLOSZT,O,X,O,O,X,O,O,O,O,X,X,X
IJLOZTS,O,X,O,X,X,O,O,O,O,X,X,X
IJLOZST,O,X,O,X,X,O,O,O,O,X,X,X
IJSTLZO,X,X,X,O,O,X,O,O,X,X,X,X
IJSTLOZ,X,X,X,O,O,X,X,O,X,X,X,X
IJSTZLO,X,O,X,O,X,X,X,X,X,X,X,X
IJSTZOL,X,O,X,O,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,O,O,X,X,O,O,X,X,X
IJSTOZL,X,X,X,O,X,X,X,X,X,X,X,X
IJSLTZO,X,O,O,O,O,X,O,O,X,O,X,X
IJSLTOZ,X,X,O,O,O,X,X,O,X,O,X,X
IJSLZTO,X,O,O,O,O,X,O,O,X,O,X,X
IJSLZOT,X,O,O,O,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,O,O,X,X,O,X,O,X,X
IJSLOZT,X,X,O,O,X,X,X,O,X,X,X,X
IJSZTLO,X,O,O,O,X,X,X,X,X,X,X,X
IJSZTOL,X,O,O,O,X,X,X,X,X,X,X,X
IJSZLTO,X,O,O,O,X,X,X,O,X,X,X,X
IJSZLOT,X,O,X,O,X,X,X,X,X,X,X,X
IJSZOTL,X,O,O,O,X,X,X,X,X,X,X,X
IJSZOLT,X,O,O,O,X,X,X,O,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,X,O,O,X,X,X
IJSOTZL,X,X,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,O,O,X,X,X,O,O,X,X,X
IJSOLZT,X,X,O,O,X,X,X,O,O,X,X,X
IJSOZTL,X,X,O,O,X,X,X,X,X,X,X,X
IJSOZLT,X,X,O,O,X,X,X,O,X,X,X,X
IJZTLSO,X,O,O,O,X,O,O,X,X,X,X,X
IJZTLOS,X,O,O,X,X,O,O,X,O,X,O,X
IJZTSLO,O,O,O,O,X,O,X,X,X,X,X,X
IJZTSOL,O,O,O,O,X,X,X,X,X,X,X,X
IJZTOLS,O,X,O,X,X,O,X,X,O,X,O,X
IJZTOSL,O,O,O,X,X,X,X,X,X,X,X,X
IJZLTSO,X,O,O,O,X,O,O,O,X,X,X,X
IJZLTOS,X,O,O,X,X,O,O,X,O,X,X,X
IJZLSTO,X,O,O,X,X,O,O,O,X,O,X,X
IJZLSOT,X,O,O,X,X,O,X,X,X,X,X,X
IJZLOTS,X,X,O,X,X,O,O,X,O,X,X,X
IJZLOST,X,X,O,X,X,O,X,X,O,X,X,X
IJZSTLO,O,O,O,X,X,O,X,X,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X,X,X,X,X,X
IJZSLTO,O,O,O,X,X,O,X,O,X,X,X,X
IJZSLOT,O,O,X,X,X,O,X,X,X,X,X,X
IJZSOTL,O,O,O,X,X,X,X,X,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X,O,X,X,X,X
IJZOTLS,O,X,O,X,X,O,X,X,O,X,O,X
IJZOTSL,O,X,O,X,X,X,X,X,X,X,X,X
IJZOLTS,O,X,O,X,X,O,X,O,O,X,X,X
IJZOLST,O,X,O,X,X,O,X,O,O,X,X,X
IJZOSTL,O,X,O,X,X,X,X,X,X,X,X,X
IJZOSLT,O,X,O,X,X,X,X,O,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,O,O,O,X,X,X
IJOTLZS,O,X,O,X,X,X,O,O,O,X,X,X
IJOTSLZ,X,X,X,X,X,X,O,O,O,X,X,X
IJOTSZL,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,X,O,X,X,X,O,X,O,X,X,X
IJOTZSL,O,X,O,X,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,O,X,X,X,O,O,O,X,X,X
IJOLTZS,O,X,O,X,X,X,O,O,O,X,O,X
IJOLSTZ,X,X,O,X,X,X,O,O,O,O,X,X
IJOLSZT,O,X,O,X,X,X,O,O,O,X,X,X
IJOLZTS,O,X,O,X,X,X,O,O,O,X,X,X
IJOLZST,O,X,O,X,X,X,O,O,O,X,X,X
IJOSTLZ,X,X,X,X,X,X,O,O,O,X,X,X
IJOSTZL,X,X,X,X,X,X,X,X,X,X,X,X
IJOSLTZ,X,X,O,X,X,X,O,O,O,X,X,X
IJOSLZT,O,X,O,X,X,X,O,O,O,X,X,X
IJOSZTL,O,X,O,X,X,X,X,X,X,X,X,X
IJOSZLT,O,X,O,X,X,X,X,O,X,X,X,X
IJOZTLS,O,X,O,X,X,X,O,X,O,X,O,X
IJOZTSL,O,X,O,X,X,X,X,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,O,O,O,X,X,X
IJOZLST,O,X,O,X,X,X,O,O,O,X,X,X
IJOZSTL,O,X,O,X,X,X,X,X,X,X,X,X
IJOZSLT,O,X,O,X,X,X,X,O,X,X,X,X
ISTLJZO,X,X,X,O,O,X,X,X,X,O,X,X
ISTLJOZ,X,X,X,O,O,X,X,X,X,O,X,X
ISTLZJO,X,O,X,O,O,X,X,X,X,O,X,X
ISTLZOJ,X,X,X,O,O,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,O,X,X,X,X,O,X,X
ISTLOZJ,X,X,X,O,O,X,X,X,X,X,X,X
ISTJLZO,X,X,X,O,O,X,X,X,X,O,X,X
ISTJLOZ,X,X,X,O,O,X,X,X,X,O,X,X
ISTJZLO,X,O,X,O,X,X,X,X,X,O,X,X
ISTJZOL,X,O,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,O,O,X,X,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,X,X,X,X,X,X
ISTZLJO,X,O,X,O,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,X,O,X,X,X,X,X,X,X,X
ISTZJLO,X,O,X,O,X,X,X,X,X,X,X,X
ISTZJOL,X,O,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,X,X,X,X,X,X,X,X
ISTZOJL,X,O,X,O,X,X,X,X,X,X,X,X
ISTOLJZ,X,X,X,O,O,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,O,X,X,X,X,X,X,X
ISTOJLZ,X,X,X,O,O,X,X,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,O,X,X,X,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,X,X,X,X
ISLTJZO,X,O,O,O,O,X,X,O,X,O,X,X
ISLTJOZ,X,X,O,O,O,X,X,O,X,O,X,X
ISLTZJO,X,O,O,O,O,X,X,X,X,O,X,X
ISLTZOJ,X,O,X,O,O,X,X,X,X,X,X,X
ISLTOJZ,X,X,O,O,O,X,X,O,X,O,X,X
ISLTOZJ,X,O,X,O,O,X,X,O,X,X,X,X
ISLJTZO,X,O,O,O,O,X,X,O,X,O,X,X
ISLJTOZ,X,X,O,O,O,X,X,O,X,O,X,X
ISLJZTO,X,O,O,O,O,X,X,O,X,O,X,X
ISLJZOT,X,O,O,O,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,O,O,O,X,X,O,X,O,X,X
ISLJOZT,X,O,O,O,X,X,X,O,X,X,X,X
ISLZTJO,X,O,O,O,O,X,X,X,X,O,X,X
ISLZTOJ,X,O,X,O,O,X,X,X,X,X,X,X
ISLZJTO,X,O,O,O,O,X,X,X,X,O,X,X
ISLZJOT,X,O,O,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,O,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,O,O,O,X,X,O,X,O,X,X
ISLOTZJ,X,O,X,O,O,X,X,O,X,X,X,X
ISLOJTZ,X,X,O,O,O,X,X,O,X,O,X,X
ISLOJZT,X,O,O,O,X,X,X,O,X,X,X,X
ISLOZTJ,X,O,X,O,X,X,X,O,X,X,X,X
ISLOZJT,X,O,X,O,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,O,O,X,X,O,X,X,X,X
ISJTLOZ,X,X,X,O,O,X,X,O,X,X,X,X
ISJTZLO,X,O,X,O,X,X,X,X,X,X,X,X
ISJTZOL,X,O,X,O,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,O,X,X,O,O,X,X,X
ISJTOZL,X,X,X,O,X,X,X,X,X,X,X,X
ISJLTZO,X,O,O,O,O,X,X,O,X,O,X,X
ISJLTOZ,X,X,O,O,O,X,X,O,X,O,X,X
ISJLZTO,X,O,O,O,O,X,X,O,X,O,X,X
ISJLZOT,X,O,O,O,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,O,O,O,X,X,O,X,O,X,X
ISJLOZT,X,X,O,O,X,X,X,O,X,X,X,X
ISJZTLO,X,O,O,O,X,X,X,X,X,X,X,X
ISJZTOL,X,O,O,O,X,X,X,X,X,X,X,X
ISJZLTO,X,O,O,O,X,X,X,O,X,X,X,X
ISJZLOT,X,O,X,O,X,X,X,X,X,X,X,X
ISJZOTL,X,O,O,O,X,X,X,X,X,X,X,X
ISJZOLT,X,O,O,O,X,X,X,O,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,O,O,X,X,X
ISJOTZL,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,O,O,X,X,X,O,O,X,X,X
ISJOLZT,X,X,O,O,X,X,X,O,O,X,X,X
ISJOZTL,X,X,O,O,X,X,X,X,X,X,X,X
ISJOZLT,X,X,O,O,X,X,X,O,X,X,X,X
ISZTLJO,X,O,X,O,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,O,X,X,X,X,X,X,X,X
ISZTJLO,X,O,X,O,X,X,X,X,X,X,X,X
ISZTJOL,X,O,X,O,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,O,X,X,X,X,X,X,X,X
ISZTOJL,X,O,X,O,X,X,X,X,X,X,X,X
ISZLTJO,X,O,X,O,X,X,X,X,X,X,X,X
ISZLTOJ,X,O,X,O,X,X,X,X,X,X,X,X
ISZLJTO,X,O,X,O,X,X,X,X,X,X,X,X
ISZLJOT,X,O,X,O,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,X,X,X,X,X,X,X,X
ISZLOJT,X,O,X,O,X,X,X,X,X,X,X,X
ISZJTLO,X,O,X,O,X,X,X,X,X,X,X,X
ISZJTOL,X,O,X,O,X,X,X,X,X,X,X,X
ISZJLTO,X,O,X,O,X,X,X,X,X,X,X,X
ISZJLOT,X,O,X,O,X,X,X,X,X,X,X,X
ISZJOTL,X,O,X,O,X,X,X,X,X,X,X,X
ISZJOLT,X,O,X,O,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,X,X,X,X,X,X,X,X
ISZOTJL,X,X,X,O,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,X,X,X,X,X,X,X
ISZOLJT,X,X,X,O,X,X,X,X,X,X,X,X
ISZOJTL,X,O,X,O,X,X,X,X,X,X,X,X
ISZOJLT,X,O,X,O,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,O,X,X,X,O,X,X,X,X
ISOTLZJ,X,X,X,O,X,X,X,O,X,X,X,X
ISOTJLZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,O,X,X,X,X,X,X,X,X
ISOTZJL,X,O,X,O,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,O,O,X,X,X,O,X,X,X,X
ISOLTZJ,X,X,O,O,X,X,X,O,X,X,O,X
ISOLJTZ,X,X,O,O,X,X,X,O,O,X,X,X
ISOLJZT,X,X,O,O,X,X,X,O,O,X,X,X
ISOLZTJ,X,X,O,O,X,X,X,O,X,X,X,X
ISOLZJT,X,X,O,O,X,X,X,X,O,X,X,X
ISOJTLZ,X,X,X,O,X,X,X,O,O,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,O,O,X,X,X,O,O,X,X,X
ISOJLZT,X,X,O,O,X,X,X,O,O,X,X,X
ISOJZTL,X,X,O,O,X,X,X,X,X,X,X,X
ISOJZLT,X,X,O,O,X,X,X,O,X,X,X,X
ISOZTLJ,X,X,X,O,X,X,X,X,X,X,X,X
ISOZTJL,X,X,X,O,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,O,X,X,X,O,X,X,X,X
ISOZLJT,X,X,X,O,X,X,X,X,X,X,X,X
ISOZJTL,X,O,X,O,X,X,X,X,X,X,X,X
ISOZJLT,X,O,X,O,X,X,X,X,X,X,X,X
IZTLJSO,X,O,X,O,X,O,X,X,X,O,X,X
IZTLJOS,X,O,X,X,X,O,X,X,X,O,O,X
IZTLSJO,X,O,X,O,X,X,X,X,X,O,X,X
IZTLSOJ,X,O,X,O,X,O,X,X,X,X,X,X
IZTLOJS,X,O,X,X,X,O,X,X,X,X,O,X
IZTLOSJ,X,O,X,X,X,O,X,X,X,X,O,X
IZTJLSO,X,O,X,O,X,O,X,X,X,O,X,X
IZTJLOS,X,O,X,X,X,O,X,X,X,O,O,X
IZTJSLO,O,O,X,O,X,O,X,X,X,O,X,X
IZTJSOL,O,O,X,O,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,O,X,X,X,O,O,X
IZTJOSL,O,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,O,X,O,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,X,O,X,O,X,X,X,X,X,X
IZTSJLO,O,O,X,O,X,O,X,X,X,X,X,X
IZTSJOL,O,O,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,X,O,X,X,X,X,X,X,X,X
IZTSOJL,O,O,X,O,X,X,X,X,X,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X,X,X,O,X
IZTOLSJ,X,X,X,X,X,O,X,X,X,X,O,X
IZTOJLS,O,X,X,X,X,O,X,X,X,X,O,X
IZTOJSL,O,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,O,O,O,X,O,X,X,X,O,X,X
IZLTJOS,X,O,O,X,X,O,X,X,X,O,X,X
IZLTSJO,X,O,O,O,X,X,X,X,X,O,X,X
IZLTSOJ,X,O,X,O,X,O,X,X,X,X,X,X
