sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
TJLSZIO,X,O,X,O,O,X,O,X,X,X
TJLSZOI,X,O,X,O,O,X,O,X,X,X
TJLSOIZ,X,O,X,O,O,X,O,O,X,X
TJLSOZI,X,O,X,O,O,X,O,X,X,X
TJLZISO,X,O,X,O,O,X,O,X,O,X
TJLZIOS,X,O,X,O,O,X,O,X,X,X
TJLZSIO,X,O,X,O,O,X,O,X,O,X
TJLZSOI,X,O,X,O,O,X,O,X,X,X
TJLZOIS,X,O,X,O,O,X,O,X,X,X
TJLZOSI,X,O,X,O,O,X,O,X,X,X
TJLOISZ,X,O,X,O,O,X,O,O,X,X
TJLOIZS,X,O,X,O,O,X,O,O,X,X
TJLOSIZ,X,O,X,O,O,X,O,O,X,X
TJLOSZI,X,O,X,O,O,X,O,X,X,X
TJLOZIS,X,O,X,O,O,X,O,X,X,X
TJLOZSI,X,O,X,O,O,X,O,X,X,X
TJSILZO,X,O,X,X,X,X,O,O,X,X
TJSILOZ,X,O,X,X,X,X,O,O,X,X
TJSIZLO,X,X,O,X,X,O,O,X,X,X
TJSIZOL,X,X,O,X,X,O,X,X,X,X
TJSIOLZ,X,O,X,X,O,X,O,O,X,X
TJSIOZL,O,X,X,X,X,O,X,X,X,X
TJSLIZO,X,O,X,O,O,X,O,O,X,X
TJSLIOZ,X,O,X,O,O,X,O,O,X,X
TJSLZIO,X,O,X,O,O,X,O,X,X,X
TJSLZOI,X,O,X,O,O,X,O,X,X,X
TJSLOIZ,X,O,X,O,O,X,O,O,X,X
TJSLOZI,X,O,X,O,O,X,O,X,X,X
TJSZILO,O,X,O,X,X,O,O,X,X,X
TJSZIOL,O,X,O,X,X,O,X,X,X,X
TJSZLIO,O,O,O,O,X,X,O,X,X,X
TJSZLOI,O,O,O,O,X,X,O,X,X,X
TJSZOIL,O,X,O,X,X,O,X,X,X,X
TJSZOLI,O,O,O,O,X,X,X,X,X,X
