sequence,v115@EhD8EeF8DeE8BeG8JeT6IvhF0cBxdBmgBFlBSrBXqB,v115@EhD8EeF8DeE8BeG8JeT6IvhFegBCcBxdBlhBUmBXqB,v115@EhD8EeF8DeE8BeG8Je2/IvhFfhB0cBxiBFlBSrBzpB,v115@EhD8EeF8DeE8BeG8Je//IvhF0cBxdBOqBTmBllBCqB,v115@EhD8EeF8DeE8BeG8JeT6IvhFxdBXgBlhBUmBeqBCrB,v115@EhD8EeF8DeE8BeG8Jem6IvhFqgBxdB0fBlhBTmBXqB,v115@EhD8EeF8DeE8BeG8Je//IvhFxdBOlBlhBUmBCmBzpB
IZTOLJS,O,O,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X
IZTOJSL,X,O,X,O,X,X,O
IZTOSLJ,X,O,X,X,O,X,X
IZTOSJL,X,O,X,O,O,X,O
IZLTJSO,O,O,O,X,X,X,O
IZLTJOS,O,O,X,X,X,X,X
IZLTSJO,O,O,O,X,X,X,O
IZLTSOJ,O,O,O,X,O,X,X
IZLTOJS,O,O,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,O
IZLJTOS,O,O,X,X,X,X,X
IZLJSTO,X,O,O,X,X,X,O
IZLJSOT,O,O,O,X,X,X,X
IZLJOTS,O,O,X,X,X,X,X
IZLJOST,O,O,O,X,X,X,X
IZLSTJO,O,O,O,X,X,X,O
IZLSTOJ,O,O,O,X,O,X,X
IZLSJTO,X,O,O,X,X,X,O
IZLSJOT,O,O,O,X,X,X,X
IZLSOTJ,O,O,O,X,O,X,X
IZLSOJT,O,O,O,O,X,X,X
IZLOTJS,O,O,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X
IZLOJST,O,O,O,O,X,X,X
IZLOSTJ,O,X,O,X,X,X,X
IZLOSJT,O,O,O,O,X,X,X
IZJTLSO,X,O,O,X,X,X,O
IZJTLOS,X,O,X,X,X,X,X
IZJTSLO,X,O,X,X,X,X,O
IZJTSOL,X,O,X,X,O,X,O
IZJTOLS,X,O,X,X,X,X,X
IZJTOSL,X,O,X,X,X,X,O
IZJLTSO,O,O,O,X,X,X,O
IZJLTOS,O,O,X,X,X,X,X
IZJLSTO,X,O,O,X,X,X,O
IZJLSOT,O,O,O,X,X,X,X
IZJLOTS,O,O,X,X,X,X,X
IZJLOST,O,O,O,X,X,X,X
IZJSTLO,X,O,X,X,X,X,O
IZJSTOL,X,O,X,X,O,X,O
IZJSLTO,X,O,O,X,X,X,O
IZJSLOT,X,O,O,X,X,X,X
IZJSOTL,X,O,X,O,O,X,O
IZJSOLT,X,O,X,O,X,X,X
IZJOTLS,X,O,X,X,X,X,X
IZJOTSL,X,O,X,O,X,X,O
IZJOLTS,O,O,X,X,X,X,X
IZJOLST,O,O,O,O,X,X,X
IZJOSTL,X,O,X,O,X,X,O
IZJOSLT,X,O,X,O,X,X,X
IZSTLJO,X,O,X,X,X,O,O
IZSTLOJ,X,O,X,X,O,O,X
IZSTJLO,X,O,X,X,X,O,O
IZSTJOL,X,O,X,X,O,X,O
IZSTOLJ,X,O,X,X,O,O,X
IZSTOJL,X,O,X,O,O,X,O
IZSLTJO,O,O,O,X,X,O,O
IZSLTOJ,O,O,O,X,O,O,X
IZSLJTO,X,O,O,X,X,O,O
IZSLJOT,O,O,O,X,X,O,X
IZSLOTJ,O,O,O,X,O,O,X
IZSLOJT,O,O,O,O,X,O,X
IZSJTLO,X,O,X,X,X,O,O
IZSJTOL,X,O,X,X,O,X,O
IZSJLTO,X,O,O,X,X,O,O
IZSJLOT,X,O,O,X,X,O,X
IZSJOTL,X,O,X,O,O,X,O
IZSJOLT,X,O,X,O,X,O,X
IZSOTLJ,X,O,X,X,O,O,X
IZSOTJL,X,O,X,O,O,X,O
IZSOLTJ,O,O,X,X,O,O,X
IZSOLJT,O,O,X,O,X,O,X
IZSOJTL,X,O,X,O,O,X,O
IZSOJLT,X,O,X,O,X,O,X
IZOTLJS,O,O,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X
IZOTJSL,X,O,X,O,X,X,O
IZOTSLJ,X,O,X,X,O,X,X
IZOTSJL,X,O,X,O,O,X,O
IZOLTJS,O,O,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X
IZOLJTS,O,O,X,X,X,X,X
IZOLJST,O,O,O,O,X,X,X
IZOLSTJ,O,X,O,X,X,X,X
IZOLSJT,O,O,O,O,X,X,X
IZOJTLS,X,O,X,X,X,X,X
IZOJTSL,X,O,X,O,X,X,O
IZOJLTS,O,O,X,X,X,X,X
IZOJLST,O,O,O,O,X,X,X
IZOJSTL,X,O,X,O,X,X,O
IZOJSLT,X,O,X,O,X,X,X
IZOSTLJ,X,O,X,X,O,X,X
IZOSTJL,X,O,X,O,O,X,O
IZOSLTJ,O,O,X,X,O,X,X
IZOSLJT,O,O,X,O,X,X,X
IZOSJTL,X,O,X,O,O,X,O
IZOSJLT,X,O,X,O,X,X,X
IOTLJSZ,O,O,O,X,X,X,X
IOTLJZS,O,O,X,X,X,X,X
IOTLSJZ,O,O,O,X,X,X,X
IOTLSZJ,O,X,O,X,O,X,X
IOTLZJS,O,O,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X
IOTJLSZ,O,O,O,X,X,X,X
IOTJLZS,O,O,X,X,X,X,X
IOTJSLZ,X,O,X,O,X,X,X
IOTJSZL,X,X,X,O,O,X,X
IOTJZLS,X,O,X,X,X,X,X
IOTJZSL,X,O,X,O,X,X,X
IOTSLJZ,O,O,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,O,X
IOTSJLZ,X,O,X,O,X,X,X
IOTSJZL,X,O,X,O,O,X,X
IOTSZLJ,X,X,X,X,O,O,X
IOTSZJL,X,O,X,O,O,X,O
IOTZLJS,O,O,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X
IOTZJSL,X,O,X,O,X,X,O
IOTZSLJ,X,O,X,X,O,X,X
IOTZSJL,X,O,X,O,O,X,O
IOLTJSZ,O,O,O,X,X,X,X
IOLTJZS,O,O,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,X,X
IOLTSZJ,O,X,O,X,O,X,X
IOLTZJS,O,O,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X
IOLJSZT,O,X,O,O,X,X,X
IOLJZTS,O,O,X,X,X,X,X
IOLJZST,O,O,O,O,X,X,X
IOLSTJZ,O,X,O,X,X,X,X
IOLSTZJ,O,X,O,X,O,X,X
IOLSJTZ,X,X,X,O,X,X,X
IOLSJZT,O,X,O,O,X,X,X
IOLSZTJ,O,X,O,X,O,X,X
IOLSZJT,O,X,O,O,X,X,X
IOLZTJS,O,O,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X
IOLZJST,O,O,O,O,X,X,X
IOLZSTJ,O,X,O,X,X,X,X
IOLZSJT,O,X,O,O,X,X,X
IOJTLSZ,O,O,O,X,X,X,X
IOJTLZS,O,O,X,X,X,X,X
IOJTSLZ,X,O,X,O,X,X,X
IOJTSZL,X,X,X,O,O,X,X
IOJTZLS,X,O,X,X,X,X,X
IOJTZSL,X,O,X,O,X,X,X
IOJLTSZ,O,O,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X
IOJLSZT,O,X,O,O,X,X,X
IOJLZTS,O,O,X,X,X,X,X
IOJLZST,O,O,O,O,X,X,X
IOJSTLZ,X,O,X,O,X,X,X
IOJSTZL,X,X,X,O,O,X,X
IOJSLTZ,X,X,X,O,X,X,X
IOJSLZT,X,X,X,O,X,X,X
IOJSZTL,X,O,X,O,O,X,X
IOJSZLT,X,O,X,O,X,X,X
IOJZTLS,X,O,X,X,X,X,X
IOJZTSL,X,O,X,O,X,X,X
IOJZLTS,O,O,X,X,X,X,X
IOJZLST,O,O,O,O,X,X,X
IOJZSTL,X,O,X,O,X,X,X
IOJZSLT,X,O,X,O,X,X,X
IOSTLJZ,O,O,X,X,X,X,X
IOSTLZJ,O,X,X,X,O,O,X
IOSTJLZ,X,O,X,O,X,X,X
IOSTJZL,X,O,X,O,O,X,X
IOSTZLJ,X,O,X,X,O,O,X
IOSTZJL,X,O,X,O,O,X,O
IOSLTJZ,O,O,X,X,X,X,X
IOSLTZJ,O,X,X,X,O,O,X
IOSLJTZ,X,O,X,O,X,X,X
IOSLJZT,O,O,X,O,X,X,X
IOSLZTJ,O,O,X,X,O,O,X
IOSLZJT,O,O,X,O,X,O,X
IOSJTLZ,X,O,X,O,X,X,X
IOSJTZL,X,O,X,O,O,X,X
IOSJLTZ,X,O,X,O,X,X,X
IOSJLZT,X,O,X,O,X,X,X
IOSJZTL,X,O,X,O,O,X,X
IOSJZLT,X,O,X,O,X,X,X
IOSZTLJ,X,O,X,X,O,O,X
IOSZTJL,X,O,X,O,O,X,O
IOSZLTJ,O,O,X,X,O,O,X
IOSZLJT,O,O,X,O,X,O,X
IOSZJTL,X,O,X,O,O,X,O
IOSZJLT,X,O,X,O,X,O,X
IOZTLJS,O,O,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X
IOZTJSL,X,O,X,O,X,X,O
IOZTSLJ,X,O,X,X,O,X,X
IOZTSJL,X,O,X,O,O,X,O
IOZLTJS,O,O,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,X
IOZLJTS,O,O,X,X,X,X,X
IOZLJST,O,O,O,O,X,X,X
IOZLSTJ,O,X,O,X,X,X,X
IOZLSJT,O,O,O,O,X,X,X
IOZJTLS,X,O,X,X,X,X,X
IOZJTSL,X,O,X,O,X,X,O
IOZJLTS,O,O,X,X,X,X,X
IOZJLST,O,O,O,O,X,X,X
IOZJSTL,X,O,X,O,X,X,O
IOZJSLT,X,O,X,O,X,X,X
IOZSTLJ,X,O,X,X,O,X,X
IOZSTJL,X,O,X,O,O,X,O
IOZSLTJ,O,O,X,X,O,X,X
IOZSLJT,O,O,X,O,X,X,X
IOZSJTL,X,O,X,O,O,X,O
IOZSJLT,X,O,X,O,X,X,X
LTIJSZO,O,O,O,X,X,X,X
LTIJSOZ,O,O,O,X,X,X,X
LTIJZSO,O,O,O,X,X,X,X
LTIJZOS,O,O,X,X,X,X,X
LTIJOSZ,O,O,O,X,X,X,X
LTIJOZS,O,O,X,X,X,X,X
LTISJZO,O,O,O,X,X,O,X
LTISJOZ,O,O,O,X,X,X,X
LTISZJO,O,O,O,X,X,O,O
LTISZOJ,O,O,O,X,X,O,X
LTISOJZ,O,O,O,X,X,X,X
LTISOZJ,O,X,O,X,O,O,X
LTIZJSO,O,O,O,X,X,X,O
LTIZJOS,O,O,X,X,X,X,X
LTIZSJO,O,O,O,X,X,X,O
LTIZSOJ,O,O,O,X,O,X,X
LTIZOJS,O,O,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X
LTIOJSZ,O,O,O,X,X,X,X
LTIOJZS,O,O,X,X,X,X,X
LTIOSJZ,O,O,O,X,X,X,X
LTIOSZJ,O,X,O,X,O,X,X
LTIOZJS,O,O,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X
LTJISZO,O,O,O,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X
LTJIZSO,O,O,O,X,X,X,X
LTJIZOS,O,O,X,X,X,X,X
LTJIOSZ,O,O,O,X,X,X,X
LTJIOZS,O,O,X,X,X,X,X
LTJSIZO,O,O,O,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X
LTJSOZI,O,O,O,X,X,X,X
LTJZISO,O,O,O,X,X,X,X
LTJZIOS,O,O,X,X,X,X,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,O,O,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X
LTJOISZ,O,O,O,X,X,X,X
LTJOIZS,O,O,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X
LTJOSZI,O,X,O,X,X,X,X
LTJOZIS,O,O,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X,X
LTSIJZO,O,O,O,X,X,O,X
LTSIJOZ,O,O,O,X,X,X,X
LTSIZJO,O,O,O,X,X,O,O
LTSIZOJ,O,O,O,X,X,O,X
LTSIOJZ,O,O,O,X,X,X,X
LTSIOZJ,O,X,O,X,O,O,X
LTSJIZO,O,O,O,X,X,O,X
LTSJIOZ,O,O,O,X,X,X,X
LTSJZIO,O,O,O,X,X,O,X
LTSJZOI,O,O,O,X,X,O,X
LTSJOIZ,O,O,O,X,X,X,X
LTSJOZI,O,O,O,X,X,X,X
LTSZIJO,O,O,O,X,X,O,O
LTSZIOJ,O,O,O,X,X,O,X
LTSZJIO,O,O,O,X,X,O,O
LTSZJOI,O,O,O,X,X,O,O
LTSZOIJ,O,O,O,X,X,O,X
LTSZOJI,O,O,O,X,X,O,X
LTSOIJZ,O,O,O,X,X,X,X
LTSOIZJ,O,X,O,X,O,O,X
LTSOJIZ,O,O,O,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X
LTSOZIJ,O,X,O,X,O,O,X
LTSOZJI,O,X,O,X,O,O,X
LTZIJSO,O,O,O,X,X,X,O
LTZIJOS,O,O,X,X,X,X,X
LTZISJO,O,O,O,X,X,X,O
LTZISOJ,O,O,O,X,O,X,X
LTZIOJS,O,O,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X
LTZJISO,O,O,O,X,X,X,O
LTZJIOS,O,O,X,X,X,X,X
LTZJSIO,O,O,O,X,X,X,O
LTZJSOI,O,O,O,X,X,X,O
LTZJOIS,O,O,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,O
LTZSIOJ,O,O,O,X,O,X,X
LTZSJIO,O,O,O,X,X,X,O
LTZSJOI,O,O,O,X,X,X,O
LTZSOIJ,O,O,O,X,O,X,X
LTZSOJI,O,O,O,X,O,X,X
LTZOIJS,O,O,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X
LTZOJIS,O,O,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X
LTOIJSZ,O,O,O,X,X,X,X
LTOIJZS,O,O,X,X,X,X,X
LTOISJZ,O,O,O,X,X,X,X
LTOISZJ,O,X,O,X,O,X,X
LTOIZJS,O,O,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X
LTOJISZ,O,O,O,X,X,X,X
LTOJIZS,O,O,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,X,X
LTOJSZI,O,X,O,X,X,X,X
LTOJZIS,O,O,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X,X
LTOSIJZ,O,O,O,X,X,X,X
LTOSIZJ,O,X,O,X,O,X,X
LTOSJIZ,O,O,O,X,X,X,X
LTOSJZI,O,O,O,X,X,X,X
LTOSZIJ,O,X,O,X,O,X,X
LTOSZJI,O,X,O,X,O,X,X
LTOZIJS,O,O,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X
LTOZJIS,O,O,X,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X
LITJSZO,O,O,O,X,X,X,X
LITJSOZ,O,O,O,X,X,X,X
LITJZSO,O,O,O,X,X,X,X
LITJZOS,O,O,X,X,X,X,X
LITJOSZ,O,O,O,X,X,X,X
LITJOZS,O,O,X,X,X,X,X
LITSJZO,O,O,O,X,X,O,X
LITSJOZ,O,O,O,X,X,X,X
LITSZJO,O,O,O,X,X,O,O
LITSZOJ,O,O,O,X,X,O,X
LITSOJZ,O,O,O,X,X,X,X
LITSOZJ,O,X,O,X,O,O,X
LITZJSO,O,O,O,X,X,X,O
LITZJOS,O,O,X,X,X,X,X
LITZSJO,O,O,O,X,X,X,O
LITZSOJ,O,O,O,X,O,X,X
LITZOJS,O,O,X,X,X,X,X
LITZOSJ,O,O,X,X,X,X,X
LITOJSZ,O,O,O,X,X,X,X
LITOJZS,O,O,X,X,X,X,X
LITOSJZ,O,O,O,X,X,X,X
LITOSZJ,O,X,O,X,O,X,X
LITOZJS,O,O,X,X,X,X,X
LITOZSJ,O,O,X,X,X,X,X
LIJTSZO,O,X,O,X,X,X,X
LIJTSOZ,O,O,O,X,X,X,X
LIJTZSO,O,X,O,X,X,X,X
LIJTZOS,O,O,X,X,X,X,X
LIJTOSZ,O,O,O,X,X,X,X
LIJTOZS,O,O,X,X,X,X,X
LIJSTZO,X,X,O,X,X,X,X
LIJSTOZ,X,X,O,X,X,X,X
LIJSZTO,X,X,O,X,X,X,X
LIJSZOT,O,X,O,X,X,X,X
LIJSOTZ,X,X,X,O,X,X,X
LIJSOZT,O,X,O,O,X,X,X
LIJZTSO,O,O,O,X,X,X,X
LIJZTOS,O,O,X,X,X,X,X
LIJZSTO,X,X,O,X,X,X,X
LIJZSOT,O,O,O,X,X,X,X
LIJZOTS,O,O,X,X,X,X,X
LIJZOST,O,O,O,X,X,X,X
LIJOTSZ,O,O,X,X,X,X,X
LIJOTZS,O,O,X,X,X,X,X
LIJOSTZ,X,X,X,O,X,X,X
LIJOSZT,O,X,O,O,X,X,X
LIJOZTS,O,O,X,X,X,X,X
LIJOZST,O,O,O,O,X,X,X
LISTJZO,O,O,O,X,X,O,X
LISTJOZ,O,O,O,X,X,X,X
LISTZJO,O,O,O,X,X,O,O
LISTZOJ,O,X,O,X,X,O,X
LISTOJZ,O,O,O,X,X,X,X
LISTOZJ,O,X,O,X,O,O,X
LISJTZO,X,O,O,X,X,O,X
LISJTOZ,X,O,O,X,X,X,X
LISJZTO,X,O,O,X,X,O,X
LISJZOT,O,O,O,X,X,O,X
LISJOTZ,X,O,X,O,X,X,X
LISJOZT,O,O,O,O,X,X,X
LISZTJO,O,O,O,X,X,O,O
LISZTOJ,O,O,O,X,O,O,X
LISZJTO,X,O,O,X,X,O,O
LISZJOT,O,O,O,X,X,O,X
LISZOTJ,O,O,O,X,O,O,X
LISZOJT,O,O,O,O,X,O,X
LISOTJZ,O,O,O,X,X,X,X
LISOTZJ,O,X,O,X,O,O,X
LISOJTZ,X,O,X,O,X,X,X
LISOJZT,O,O,O,O,X,X,X
LISOZTJ,O,O,O,X,O,O,X
LISOZJT,O,O,O,O,X,O,X
LIZTJSO,O,O,O,X,X,X,O
LIZTJOS,O,O,X,X,X,X,X
LIZTSJO,O,O,O,X,X,X,O
LIZTSOJ,O,O,O,X,O,X,X
LIZTOJS,O,O,X,X,X,X,X
LIZTOSJ,O,O,X,X,X,X,X
LIZJTSO,O,O,O,X,X,X,O
LIZJTOS,O,O,X,X,X,X,X
LIZJSTO,X,O,O,X,X,X,O
LIZJSOT,O,O,O,X,X,X,X
LIZJOTS,O,O,X,X,X,X,X
LIZJOST,O,O,O,X,X,X,X
LIZSTJO,O,O,O,X,X,X,O
LIZSTOJ,O,O,O,X,O,X,X
LIZSJTO,X,O,O,X,X,X,O
LIZSJOT,O,O,O,X,X,X,X
LIZSOTJ,O,O,O,X,O,X,X
LIZSOJT,O,O,O,O,X,X,X
LIZOTJS,O,O,X,X,X,X,X
LIZOTSJ,O,X,X,X,X,X,X
LIZOJTS,O,O,X,X,X,X,X
LIZOJST,O,O,O,O,X,X,X
LIZOSTJ,O,X,O,X,X,X,X
LIZOSJT,O,O,O,O,X,X,X
LIOTJSZ,O,O,O,X,X,X,X
LIOTJZS,O,O,X,X,X,X,X
LIOTSJZ,O,X,O,X,X,X,X
LIOTSZJ,O,X,O,X,O,X,X
LIOTZJS,O,O,X,X,X,X,X
LIOTZSJ,O,X,X,X,X,X,X
LIOJTSZ,O,O,X,X,X,X,X
LIOJTZS,O,O,X,X,X,X,X
LIOJSTZ,X,X,X,O,X,X,X
LIOJSZT,O,X,O,O,X,X,X
LIOJZTS,O,O,X,X,X,X,X
LIOJZST,O,O,O,O,X,X,X
LIOSTJZ,O,X,O,X,X,X,X
LIOSTZJ,O,X,O,X,O,X,X
LIOSJTZ,X,X,X,O,X,X,X
LIOSJZT,O,X,O,O,X,X,X
LIOSZTJ,O,X,O,X,O,X,X
LIOSZJT,O,X,O,O,X,X,X
LIOZTJS,O,O,X,X,X,X,X
LIOZTSJ,O,X,X,X,X,X,X
LIOZJTS,O,O,X,X,X,X,X
LIOZJST,O,O,O,O,X,X,X
LIOZSTJ,O,X,O,X,X,X,X
LIOZSJT,O,X,O,O,X,X,X
LJTISZO,O,X,O,X,X,X,X
LJTISOZ,O,O,O,X,X,X,X
LJTIZSO,O,X,O,X,X,X,X
LJTIZOS,O,O,X,X,X,X,X
LJTIOSZ,O,O,O,X,X,X,X
LJTIOZS,O,O,X,X,X,X,X
LJTSIZO,O,X,O,X,X,X,X
LJTSIOZ,O,O,O,X,X,X,X
LJTSZIO,O,X,O,X,X,X,X
LJTSZOI,O,X,O,X,X,X,X
LJTSOIZ,O,O,O,X,X,X,X
LJTSOZI,O,X,O,X,X,X,X
LJTZISO,O,X,O,X,X,X,X
LJTZIOS,O,O,X,X,X,X,X
LJTZSIO,O,X,O,X,X,X,X
LJTZSOI,O,X,O,X,X,X,X
LJTZOIS,O,O,X,X,X,X,X
LJTZOSI,O,X,X,X,X,X,X
LJTOISZ,O,O,O,X,X,X,X
LJTOIZS,O,O,X,X,X,X,X
LJTOSIZ,O,O,O,X,X,X,X
LJTOSZI,O,X,O,X,X,X,X
LJTOZIS,O,O,X,X,X,X,X
LJTOZSI,O,X,X,X,X,X,X
LJITSZO,O,X,O,X,X,X,X
LJITSOZ,O,O,O,X,X,X,X
LJITZSO,O,X,O,X,X,X,X
LJITZOS,O,O,X,X,X,X,X
LJITOSZ,O,O,O,X,X,X,X
LJITOZS,O,O,X,X,X,X,X
LJISTZO,X,X,O,X,X,X,X
LJISTOZ,X,X,O,X,X,X,X
LJISZTO,X,X,O,X,X,X,X
LJISZOT,O,X,O,X,X,X,X
LJISOTZ,X,X,X,O,X,X,X
LJISOZT,O,X,O,O,X,X,X
LJIZTSO,O,O,O,X,X,X,X
LJIZTOS,O,O,X,X,X,X,X
LJIZSTO,X,X,O,X,X,X,X
LJIZSOT,O,O,O,X,X,X,X
LJIZOTS,O,O,X,X,X,X,X
LJIZOST,O,O,O,X,X,X,X
LJIOTSZ,O,O,X,X,X,X,X
LJIOTZS,O,O,X,X,X,X,X
LJIOSTZ,X,X,X,O,X,X,X
LJIOSZT,O,X,O,O,X,X,X
LJIOZTS,O,O,X,X,X,X,X
LJIOZST,O,O,O,O,X,X,X
LJSTIZO,X,X,O,X,X,X,X
LJSTIOZ,X,X,O,X,X,X,X
LJSTZIO,X,X,O,X,X,X,X
LJSTZOI,X,X,O,X,X,X,X
LJSTOIZ,X,X,O,X,X,X,X
LJSTOZI,X,X,O,X,X,X,X
LJSITZO,X,X,O,X,X,X,X
LJSITOZ,X,X,O,X,X,X,X
LJSIZTO,X,X,O,X,X,X,X
LJSIZOT,O,X,O,X,X,X,X
LJSIOTZ,X,X,X,O,X,X,X
LJSIOZT,O,X,O,O,X,X,X
LJSZTIO,X,X,O,X,X,X,X
LJSZTOI,X,X,O,X,X,X,X
LJSZITO,X,X,O,X,X,X,X
LJSZIOT,O,X,O,X,X,X,X
LJSZOTI,O,X,O,X,X,X,X
LJSZOIT,O,X,O,X,X,X,X
LJSOTIZ,X,X,X,O,X,X,X
LJSOTZI,X,X,X,O,X,X,X
LJSOITZ,X,X,X,O,X,X,X
LJSOIZT,O,X,O,O,X,X,X
LJSOZTI,O,X,O,O,X,X,X
LJSOZIT,O,X,O,O,X,X,X
LJZTISO,O,O,O,X,X,X,X
LJZTIOS,O,O,X,X,X,X,X
LJZTSIO,O,O,O,X,X,X,X
LJZTSOI,O,O,O,X,X,X,X
LJZTOIS,O,O,X,X,X,X,X
LJZTOSI,O,O,X,X,X,X,X
LJZITSO,O,O,O,X,X,X,X
LJZITOS,O,O,X,X,X,X,X
LJZISTO,X,X,O,X,X,X,X
LJZISOT,O,O,O,X,X,X,X
LJZIOTS,O,O,X,X,X,X,X
LJZIOST,O,O,O,X,X,X,X
LJZSTIO,X,X,O,X,X,X,X
LJZSTOI,X,X,O,X,X,X,X
LJZSITO,X,X,O,X,X,X,X
LJZSIOT,O,O,O,X,X,X,X
LJZSOTI,O,X,O,X,X,X,X
LJZSOIT,O,O,O,X,X,X,X
LJZOTIS,O,O,X,X,X,X,X
LJZOTSI,O,O,X,X,X,X,X
LJZOITS,O,O,X,X,X,X,X
LJZOIST,O,O,O,X,X,X,X
LJZOSTI,O,X,O,X,X,X,X
LJZOSIT,O,O,O,X,X,X,X
LJOTISZ,O,O,X,X,X,X,X
LJOTIZS,O,O,X,X,X,X,X
LJOTSIZ,O,O,X,X,X,X,X
LJOTSZI,O,X,X,X,X,X,X
LJOTZIS,O,O,X,X,X,X,X
LJOTZSI,O,X,X,X,X,X,X
LJOITSZ,O,O,X,X,X,X,X
LJOITZS,O,O,X,X,X,X,X
LJOISTZ,X,X,X,O,X,X,X
LJOISZT,O,X,O,O,X,X,X
LJOIZTS,O,O,X,X,X,X,X
LJOIZST,O,O,O,O,X,X,X
LJOSTIZ,X,X,X,O,X,X,X
LJOSTZI,X,X,X,O,X,X,X
LJOSITZ,X,X,X,O,X,X,X
LJOSIZT,O,X,O,O,X,X,X
LJOSZTI,O,X,O,O,X,X,X
LJOSZIT,O,X,O,O,X,X,X
LJOZTIS,O,O,X,X,X,X,X
LJOZTSI,O,O,X,X,X,X,X
LJOZITS,O,O,X,X,X,X,X
LJOZIST,O,O,O,O,X,X,X
LJOZSTI,O,X,O,O,X,X,X
LJOZSIT,O,O,O,O,X,X,X
LSTIJZO,O,O,O,X,X,O,X
LSTIJOZ,O,O,O,X,X,X,X
LSTIZJO,O,O,O,X,X,O,O
LSTIZOJ,O,X,O,X,X,O,X
LSTIOJZ,O,O,O,X,X,X,X
LSTIOZJ,O,X,O,X,O,O,X
LSTJIZO,O,O,O,X,X,O,X
LSTJIOZ,O,O,O,X,X,X,X
LSTJZIO,O,O,O,X,X,O,X
LSTJZOI,O,O,O,X,X,O,X
LSTJOIZ,O,O,O,X,X,X,X
LSTJOZI,O,O,O,X,X,X,X
LSTZIJO,O,O,O,X,X,O,O
LSTZIOJ,O,X,O,X,X,O,X
LSTZJIO,O,O,O,X,X,O,O
LSTZJOI,O,O,O,X,X,O,O
LSTZOIJ,O,X,O,X,X,O,X
LSTZOJI,O,X,O,X,X,O,X
LSTOIJZ,O,O,O,X,X,X,X
LSTOIZJ,O,X,O,X,O,O,X
LSTOJIZ,O,O,O,X,X,X,X
LSTOJZI,O,O,O,X,X,X,X
LSTOZIJ,O,X,O,X,O,O,X
LSTOZJI,O,X,O,X,O,O,X
LSITJZO,O,O,O,X,X,O,X
LSITJOZ,O,O,O,X,X,X,X
LSITZJO,O,O,O,X,X,O,O
LSITZOJ,O,X,O,X,X,O,X
LSITOJZ,O,O,O,X,X,X,X
LSITOZJ,O,X,O,X,O,O,X
LSIJTZO,X,O,O,X,X,O,X
LSIJTOZ,X,O,O,X,X,X,X
LSIJZTO,X,O,O,X,X,O,X
LSIJZOT,O,O,O,X,X,O,X
LSIJOTZ,X,O,X,O,X,X,X
LSIJOZT,O,O,O,O,X,X,X
