sequence,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhFTeB/mBFiBG?oBisB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhF0dB6jBThB2?nBFsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBfjB6jBx?mBUsBFtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBlmBc?sBToBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBTjBl?mBcsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzdB5jB3hBV?sBatBUsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBXjBl?mBctBTsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFxdBCjBlmBT?oB0sBfsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFfiB5jBziB0?mBlnByxB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcB5jB1nB0?mB3sBatB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhF6jBziBlmBx?sBfsB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBCjBlmBx?sBctB3sB
ITZOLJS,X,X,O,O,O,X,O,O,X,X,X,X
ITZOLSJ,X,X,O,O,X,X,X,O,X,X,X,X
ITZOJLS,X,O,O,O,O,X,O,O,X,X,X,X
ITZOJSL,X,O,O,O,X,X,X,X,X,O,X,X
ITZOSLJ,X,O,O,O,X,X,X,X,X,O,X,X
ITZOSJL,X,O,O,O,X,X,X,X,X,O,X,X
ITOLJSZ,X,X,O,X,X,O,O,X,X,X,O,X
ITOLJZS,X,O,X,O,O,O,O,X,X,X,O,X
ITOLSJZ,X,O,O,X,X,O,O,X,X,X,O,X
ITOLSZJ,X,O,O,X,X,O,X,X,X,X,O,X
ITOLZJS,X,X,X,X,X,O,O,X,X,X,O,X
ITOLZSJ,X,X,X,X,X,O,O,X,X,X,O,X
ITOJLSZ,X,X,O,X,X,O,O,X,X,X,O,X
ITOJLZS,X,O,X,O,O,O,O,X,X,X,O,X
ITOJSLZ,X,O,O,X,X,X,O,X,X,X,O,X
ITOJSZL,X,O,O,X,X,X,X,X,X,X,X,X
ITOJZLS,X,O,O,X,X,X,O,X,X,X,O,X
ITOJZSL,X,O,O,X,X,X,O,X,X,X,X,X
ITOSLJZ,X,O,O,X,X,O,O,X,X,X,O,X
ITOSLZJ,X,O,O,X,X,O,X,X,X,X,O,X
ITOSJLZ,X,O,O,X,X,O,O,X,X,X,O,X
ITOSJZL,X,O,O,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOSZJL,X,O,O,X,X,X,X,X,X,X,X,X
ITOZLJS,X,X,O,X,X,X,O,X,X,X,O,X
ITOZLSJ,X,X,O,X,X,X,O,X,X,X,O,X
ITOZJLS,X,O,O,X,X,X,O,X,X,X,O,X
ITOZJSL,X,O,O,X,X,X,O,X,X,X,X,X
ITOZSLJ,X,O,O,X,X,X,O,X,X,X,X,X
ITOZSJL,X,O,O,X,X,X,O,X,X,X,X,X
ILTJSZO,O,X,O,X,X,O,X,X,X,X,X,X
ILTJSOZ,O,X,O,X,X,O,X,X,X,X,X,O
ILTJZSO,X,O,X,X,X,X,X,X,O,X,X,X
ILTJZOS,X,O,X,X,X,O,X,X,O,X,X,O
ILTJOSZ,O,X,O,X,X,O,X,X,X,X,O,O
ILTJOZS,X,X,X,X,X,O,X,X,O,X,O,O
ILTSJZO,O,O,O,X,X,O,X,X,X,X,X,X
ILTSJOZ,O,O,O,X,X,O,X,X,X,X,X,O
ILTSZJO,O,O,O,X,X,O,X,X,X,X,X,X
ILTSZOJ,X,O,X,X,X,O,X,X,X,X,X,X
ILTSOJZ,O,O,O,X,X,O,X,X,X,X,X,O
ILTSOZJ,X,O,O,X,X,O,X,X,X,X,X,X
ILTZJSO,X,X,X,X,X,X,X,X,O,X,X,X
ILTZJOS,X,X,X,X,X,O,X,X,O,X,X,O
ILTZSJO,X,X,X,X,X,O,X,X,O,X,X,X
ILTZSOJ,X,X,X,X,X,O,X,X,O,X,X,X
ILTZOJS,X,X,X,X,X,O,X,X,O,X,X,O
ILTZOSJ,X,X,X,X,X,O,X,X,O,X,X,X
ILTOJSZ,X,X,O,X,X,O,X,X,X,X,O,O
ILTOJZS,X,O,X,X,X,O,X,X,O,X,O,O
ILTOSJZ,X,O,O,X,X,O,X,X,X,X,O,O
ILTOSZJ,X,O,O,X,X,O,X,X,X,X,O,X
ILTOZJS,X,X,X,X,X,O,X,X,O,X,O,O
ILTOZSJ,X,X,X,X,X,O,X,X,O,X,O,X
ILJTSZO,O,X,O,X,X,O,X,X,X,X,X,X
ILJTSOZ,O,X,O,X,X,O,X,X,X,X,X,O
ILJTZSO,X,X,X,X,X,X,X,X,O,X,X,X
ILJTZOS,X,X,X,X,X,O,X,X,O,X,X,O
ILJTOSZ,O,X,O,X,X,O,X,X,X,X,O,O
ILJTOZS,X,X,X,X,X,O,X,X,O,X,O,O
ILJSTZO,O,X,O,X,X,O,X,X,X,O,X,X
ILJSTOZ,O,X,O,X,X,O,X,X,X,X,X,O
ILJSZTO,O,X,O,X,X,X,X,X,O,O,X,X
ILJSZOT,O,X,O,X,X,X,X,X,O,O,X,X
ILJSOTZ,O,X,O,X,X,O,X,X,X,X,O,X
ILJSOZT,O,X,O,X,X,X,X,X,O,X,X,X
ILJZTSO,X,X,O,X,X,X,X,X,O,X,X,X
ILJZTOS,X,X,O,X,X,O,X,X,O,X,X,O
ILJZSTO,O,X,O,X,X,X,X,X,O,O,X,X
ILJZSOT,O,X,O,X,X,X,X,X,O,O,X,X
ILJZOTS,X,X,O,X,X,O,X,X,O,X,O,X
ILJZOST,O,X,O,X,X,X,X,X,O,O,X,X
ILJOTSZ,O,X,O,X,X,O,X,X,X,X,O,O
ILJOTZS,X,X,X,X,X,O,X,X,O,X,O,O
ILJOSTZ,O,X,O,X,X,O,X,X,X,X,O,X
ILJOSZT,O,X,O,X,X,X,X,X,O,X,X,X
ILJOZTS,X,X,O,X,X,O,X,X,O,X,O,X
ILJOZST,O,X,O,X,X,X,X,X,O,X,X,X
ILSTJZO,O,O,O,X,X,O,X,X,X,O,X,X
ILSTJOZ,O,O,O,X,X,O,X,X,X,X,X,O
ILSTZJO,O,O,O,X,X,O,X,X,X,O,X,X
ILSTZOJ,X,O,O,X,X,O,X,X,X,O,X,X
ILSTOJZ,O,O,O,X,X,O,X,X,X,X,X,O
ILSTOZJ,X,O,X,X,X,O,X,X,X,X,X,X
ILSJTZO,O,O,O,X,X,O,X,X,X,O,X,X
ILSJTOZ,O,O,O,X,X,O,X,X,X,X,X,O
ILSJZTO,O,O,O,X,X,X,X,X,O,O,X,X
ILSJZOT,O,O,O,X,X,X,X,X,O,O,X,X
ILSJOTZ,O,O,O,X,X,O,X,X,X,X,O,X
ILSJOZT,O,O,O,X,X,X,X,X,O,X,X,X
ILSZTJO,O,O,O,X,X,X,X,X,O,O,X,X
ILSZTOJ,X,O,O,X,X,X,X,X,O,O,X,X
ILSZJTO,O,O,O,X,X,X,X,X,O,O,X,X
ILSZJOT,O,O,O,X,X,X,X,X,O,O,X,X
ILSZOTJ,X,O,O,X,X,X,X,X,O,O,X,X
ILSZOJT,X,O,O,X,X,X,X,X,O,O,X,X
ILSOTJZ,O,O,O,X,X,O,X,X,X,X,O,X
ILSOTZJ,X,O,X,X,X,O,X,X,X,X,O,X
ILSOJTZ,O,O,O,X,X,O,X,X,X,X,O,X
ILSOJZT,O,O,O,X,X,X,X,X,O,X,X,X
ILSOZTJ,X,O,O,X,X,X,X,X,O,X,X,X
ILSOZJT,X,O,O,X,X,X,X,X,O,X,X,X
ILZTJSO,X,X,O,X,X,X,X,X,O,X,X,X
ILZTJOS,X,X,O,X,X,O,X,X,O,X,X,O
ILZTSJO,X,X,O,X,X,O,X,X,O,X,X,X
ILZTSOJ,X,X,O,X,X,O,X,X,O,X,X,X
ILZTOJS,X,X,O,X,X,O,X,X,O,X,X,O
ILZTOSJ,X,X,O,X,X,O,X,X,O,X,X,X
ILZJTSO,X,X,O,X,X,X,X,X,O,X,X,X
ILZJTOS,X,X,O,X,X,O,X,X,O,X,X,O
ILZJSTO,O,X,O,X,X,X,X,X,O,O,X,X
ILZJSOT,O,X,O,X,X,X,X,X,O,O,X,X
ILZJOTS,X,X,O,X,X,O,X,X,O,X,O,X
ILZJOST,O,X,O,X,X,X,X,X,O,O,X,X
ILZSTJO,O,X,O,X,X,X,X,X,O,O,X,X
ILZSTOJ,X,X,O,X,X,X,X,X,O,O,X,X
ILZSJTO,O,X,O,X,X,X,X,X,O,O,X,X
ILZSJOT,O,X,O,X,X,X,X,X,O,O,X,X
ILZSOTJ,X,X,O,X,X,X,X,X,O,O,X,X
ILZSOJT,X,X,O,X,X,X,X,X,O,O,X,X
ILZOTJS,X,X,O,X,X,O,X,X,O,X,O,X
ILZOTSJ,X,X,O,X,X,O,X,X,O,X,O,X
ILZOJTS,X,X,O,X,X,O,X,X,O,X,O,X
ILZOJST,X,X,O,X,X,X,X,X,O,O,X,X
ILZOSTJ,X,X,O,X,X,X,X,X,O,O,X,X
ILZOSJT,X,X,O,X,X,X,X,X,O,O,X,X
ILOTJSZ,X,X,O,X,X,O,X,X,X,X,O,O
ILOTJZS,X,O,X,X,X,O,X,X,O,X,O,O
ILOTSJZ,X,O,O,X,X,O,X,X,X,X,O,O
ILOTSZJ,X,O,O,X,X,O,X,X,X,X,O,X
ILOTZJS,X,X,X,X,X,O,X,X,O,X,O,O
ILOTZSJ,X,X,X,X,X,O,X,X,O,X,O,X
ILOJTSZ,O,X,O,X,X,O,X,X,X,X,O,O
ILOJTZS,X,X,X,X,X,O,X,X,O,X,O,O
ILOJSTZ,O,X,O,X,X,O,X,X,X,X,O,X
ILOJSZT,O,X,O,X,X,X,X,X,O,X,X,X
ILOJZTS,X,X,O,X,X,O,X,X,O,X,O,X
ILOJZST,O,X,O,X,X,X,X,X,O,X,X,X
ILOSTJZ,O,O,O,X,X,O,X,X,X,X,O,X
ILOSTZJ,X,O,X,X,X,O,X,X,X,X,O,X
ILOSJTZ,O,O,O,X,X,O,X,X,X,X,O,X
ILOSJZT,O,O,O,X,X,X,X,X,O,X,X,X
ILOSZTJ,X,O,X,X,X,X,X,X,O,X,X,X
ILOSZJT,X,O,O,X,X,X,X,X,O,X,X,X
ILOZTJS,X,X,O,X,X,O,X,X,O,X,O,X
ILOZTSJ,X,X,O,X,X,O,X,X,O,X,O,X
ILOZJTS,X,X,O,X,X,O,X,X,O,X,O,X
ILOZJST,X,X,O,X,X,X,X,X,O,X,X,X
ILOZSTJ,X,X,O,X,X,X,X,X,O,X,X,X
ILOZSJT,X,X,O,X,X,X,X,X,O,X,X,X
IJTLSZO,O,X,O,O,O,O,O,X,X,X,X,X
IJTLSOZ,O,X,O,X,X,O,O,X,X,X,X,O
IJTLZSO,X,O,X,O,O,X,O,X,O,X,X,X
IJTLZOS,X,O,X,O,O,O,O,X,O,X,X,O
IJTLOSZ,O,X,O,X,X,O,O,X,X,X,O,O
IJTLOZS,X,X,X,O,O,O,O,X,O,X,O,O
IJTSLZO,O,O,O,O,O,O,O,X,X,O,X,X
IJTSLOZ,O,O,O,X,X,O,O,X,X,X,X,X
IJTSZLO,O,O,O,X,X,O,X,X,X,O,X,X
IJTSZOL,O,O,O,X,X,X,X,X,X,O,X,X
IJTSOLZ,O,O,O,X,X,O,X,X,X,X,X,X
IJTSOZL,O,O,O,X,X,X,X,X,X,O,X,X
IJTZLSO,X,O,O,O,O,X,O,X,O,X,X,X
IJTZLOS,X,O,O,O,O,O,O,X,O,X,X,X
IJTZSLO,X,O,O,O,O,X,O,X,O,O,X,X
IJTZSOL,X,X,O,X,O,X,X,X,X,O,X,X
IJTZOLS,X,O,O,O,O,X,O,O,X,X,X,X
IJTZOSL,X,X,O,O,X,X,X,X,X,O,X,X
IJTOLSZ,O,X,O,X,X,O,O,X,X,X,O,X
IJTOLZS,X,O,X,O,O,O,O,X,X,X,O,X
IJTOSLZ,O,O,O,X,X,X,O,X,X,X,O,X
IJTOSZL,O,O,O,X,X,X,X,X,X,X,X,X
IJTOZLS,X,O,O,X,X,X,O,X,X,X,O,X
IJTOZSL,X,O,O,X,X,X,O,X,X,X,X,X
IJLTSZO,O,X,O,X,X,O,X,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,O,X,X,X,X,X,O
IJLTZSO,X,X,X,X,X,X,X,X,O,X,X,X
IJLTZOS,X,X,X,X,X,O,X,X,O,X,X,O
IJLTOSZ,O,X,O,X,X,O,X,X,X,X,O,O
IJLTOZS,X,X,X,X,X,O,X,X,O,X,O,O
IJLSTZO,O,X,O,X,X,O,X,X,X,O,X,X
IJLSTOZ,O,X,O,X,X,O,X,X,X,X,X,O
IJLSZTO,O,X,O,X,X,X,X,X,O,O,X,X
IJLSZOT,O,X,O,X,X,X,X,X,O,O,X,X
IJLSOTZ,O,X,O,X,X,O,X,X,X,X,O,X
IJLSOZT,O,X,O,X,X,X,X,X,O,X,X,X
IJLZTSO,X,X,O,X,X,X,X,X,O,X,X,X
IJLZTOS,X,X,O,X,X,O,X,X,O,X,X,O
IJLZSTO,O,X,O,X,X,X,X,X,O,O,X,X
IJLZSOT,O,X,O,X,X,X,X,X,O,O,X,X
IJLZOTS,X,X,O,X,X,O,X,X,O,X,O,X
IJLZOST,O,X,O,X,X,X,X,X,O,O,X,X
IJLOTSZ,O,X,O,X,X,O,X,X,X,X,O,O
IJLOTZS,X,X,X,X,X,O,X,X,O,X,O,O
IJLOSTZ,O,X,O,X,X,O,X,X,X,X,O,X
IJLOSZT,O,X,O,X,X,X,X,X,O,X,X,X
IJLOZTS,X,X,O,X,X,O,X,X,O,X,O,X
IJLOZST,O,X,O,X,X,X,X,X,O,X,X,X
IJSTLZO,O,O,O,X,X,O,X,X,X,O,X,X
IJSTLOZ,O,O,O,X,X,O,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,O,X,X,X,O,X,X
IJSTZOL,O,O,O,X,X,X,X,X,X,O,X,X
IJSTOLZ,O,O,O,X,X,O,X,X,X,X,X,X
IJSTOZL,O,O,O,X,X,X,X,X,X,O,X,X
IJSLTZO,O,O,O,X,X,O,X,X,X,O,X,X
IJSLTOZ,O,O,O,X,X,O,X,X,X,X,X,O
IJSLZTO,O,O,O,X,X,X,X,X,O,O,X,X
IJSLZOT,O,O,O,X,X,X,X,X,O,O,X,X
IJSLOTZ,O,O,O,X,X,O,X,X,X,X,O,X
IJSLOZT,O,O,O,X,X,X,X,X,O,X,X,X
IJSZTLO,O,O,O,X,O,O,X,X,O,O,X,X
IJSZTOL,O,X,O,X,O,X,X,X,X,O,X,X
IJSZLTO,O,O,O,X,O,X,X,X,O,O,X,X
IJSZLOT,O,O,O,X,O,X,X,X,O,O,X,X
IJSZOTL,O,X,O,X,X,X,X,X,X,O,X,X
IJSZOLT,O,O,O,X,O,X,X,X,O,O,X,X
IJSOTLZ,O,O,O,X,X,O,X,X,X,X,O,X
IJSOTZL,O,O,O,X,X,X,X,X,X,O,X,X
IJSOLTZ,O,O,O,X,X,X,X,X,X,X,O,X
IJSOLZT,O,O,O,X,X,X,X,X,X,X,X,X
IJSOZTL,O,O,O,X,X,X,X,X,X,O,X,X
IJSOZLT,O,O,O,X,X,X,X,X,X,O,X,X
IJZTLSO,X,X,O,O,O,X,O,X,O,X,X,X
IJZTLOS,X,X,O,O,O,O,O,X,O,X,X,X
IJZTSLO,X,X,O,O,O,X,O,X,O,O,X,X
IJZTSOL,X,X,O,X,O,X,X,X,X,O,X,X
IJZTOLS,X,X,O,O,O,X,O,O,X,X,X,X
IJZTOSL,X,X,O,O,X,X,X,X,X,O,X,X
IJZLTSO,X,X,O,X,O,X,O,X,O,X,X,X
IJZLTOS,X,X,O,X,X,O,X,X,O,X,X,O
IJZLSTO,O,X,O,X,O,X,O,X,O,O,X,X
IJZLSOT,O,X,O,X,O,X,O,X,O,O,X,X
IJZLOTS,X,X,O,X,X,O,X,X,O,X,O,X
IJZLOST,O,X,O,X,O,X,O,X,O,O,X,X
IJZSTLO,O,X,O,X,O,O,X,X,O,O,X,X
IJZSTOL,O,X,O,X,O,X,X,X,X,O,X,X
IJZSLTO,O,X,O,X,O,X,O,X,O,O,X,X
IJZSLOT,O,X,O,X,O,X,O,X,O,O,X,X
IJZSOTL,O,X,O,X,X,X,X,X,X,O,X,X
IJZSOLT,O,X,O,X,O,X,X,X,O,O,X,X
IJZOTLS,X,X,O,O,X,X,O,O,X,X,O,X
IJZOTSL,X,X,O,O,X,X,O,X,X,O,X,X
IJZOLTS,X,X,O,X,X,X,O,O,O,X,O,X
IJZOLST,O,X,O,X,O,X,O,X,O,O,X,X
IJZOSTL,O,X,O,X,X,X,X,X,X,O,X,X
IJZOSLT,O,X,O,X,X,X,O,X,O,O,X,X
IJOTLSZ,O,X,O,X,X,O,O,X,X,X,O,X
IJOTLZS,X,O,X,X,X,O,O,X,X,X,O,X
IJOTSLZ,O,O,O,X,X,X,O,X,X,X,O,X
IJOTSZL,O,O,O,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,O,X,X,X,O,X,X,X,O,X
IJOTZSL,X,O,O,X,X,X,O,X,X,X,X,X
IJOLTSZ,O,X,O,X,X,O,X,X,X,X,O,O
IJOLTZS,X,X,X,X,X,O,X,X,O,X,O,O
IJOLSTZ,O,X,O,X,X,O,X,X,X,X,O,X
IJOLSZT,O,X,O,X,X,X,X,X,O,X,X,X
IJOLZTS,X,X,O,X,X,O,X,O,O,X,O,X
IJOLZST,O,X,O,X,X,X,X,X,O,X,X,X
IJOSTLZ,O,O,O,X,X,O,X,X,X,X,O,X
IJOSTZL,O,O,O,X,X,X,X,X,X,O,X,X
IJOSLTZ,O,O,O,X,X,X,X,X,X,X,O,X
IJOSLZT,O,O,O,X,X,X,X,X,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X,X,X,O,X,X
IJOSZLT,O,O,O,X,X,X,X,X,X,O,X,X
IJOZTLS,X,X,O,O,X,X,O,O,X,X,O,X
IJOZTSL,X,X,O,O,X,X,O,X,X,O,X,X
IJOZLTS,X,X,O,X,X,X,O,O,O,X,O,X
IJOZLST,O,X,O,X,X,X,O,X,O,O,X,X
IJOZSTL,O,X,O,X,X,X,X,X,X,O,X,X
IJOZSLT,O,X,O,X,X,X,O,X,O,O,X,X
ISTLJZO,O,O,O,X,X,O,X,X,X,O,X,X
ISTLJOZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTLZJO,O,O,O,X,X,O,X,X,X,O,X,X
ISTLZOJ,X,O,O,X,X,O,X,X,X,O,X,X
ISTLOJZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTLOZJ,X,O,O,X,X,O,X,X,X,X,X,X
ISTJLZO,O,O,O,X,X,O,X,X,X,O,X,X
ISTJLOZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTJZLO,O,O,O,X,X,O,X,X,X,O,X,X
ISTJZOL,O,O,O,X,X,X,X,X,X,O,X,X
ISTJOLZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTJOZL,O,O,O,X,X,X,X,X,X,O,X,X
ISTZLJO,O,O,O,X,X,O,X,X,X,O,X,X
ISTZLOJ,X,O,X,X,X,O,X,X,X,O,X,X
ISTZJLO,O,O,O,X,X,O,X,X,X,O,X,X
ISTZJOL,O,O,O,X,X,X,X,X,X,O,X,X
ISTZOLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISTZOJL,X,O,O,X,X,X,X,X,X,O,X,X
ISTOLJZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTOLZJ,X,O,O,X,X,O,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X,X,O,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X,O,X,X
ISLTJZO,O,O,O,X,X,O,X,X,X,O,X,X
ISLTJOZ,O,O,O,X,X,O,X,X,X,X,X,O
ISLTZJO,O,O,O,X,X,O,X,X,X,O,X,X
ISLTZOJ,X,O,O,X,X,O,X,X,X,O,X,X
ISLTOJZ,O,O,O,X,X,O,X,X,X,X,X,O
ISLTOZJ,X,O,X,X,X,O,X,X,X,X,X,X
ISLJTZO,O,O,O,X,X,O,X,X,X,O,X,X
ISLJTOZ,O,O,O,X,X,O,X,X,X,X,X,O
ISLJZTO,O,O,O,X,X,X,X,X,O,O,X,X
ISLJZOT,O,O,O,X,X,X,X,X,O,O,X,X
ISLJOTZ,O,O,O,X,X,O,X,X,X,X,O,X
ISLJOZT,O,O,O,X,X,X,X,X,O,X,X,X
ISLZTJO,O,O,O,X,X,X,X,X,O,O,X,X
ISLZTOJ,X,O,O,X,X,X,X,X,O,O,X,X
ISLZJTO,O,O,O,X,X,X,X,X,O,O,X,X
ISLZJOT,O,O,O,X,X,X,X,X,O,O,X,X
ISLZOTJ,X,O,O,X,X,X,X,X,O,O,X,X
ISLZOJT,X,O,O,X,X,X,X,X,O,O,X,X
ISLOTJZ,O,O,O,X,X,O,X,X,X,X,O,X
ISLOTZJ,X,O,X,X,X,O,X,X,X,X,O,X
ISLOJTZ,O,O,O,X,X,O,X,X,X,X,O,X
ISLOJZT,O,O,O,X,X,X,X,X,O,X,X,X
ISLOZTJ,X,O,O,X,X,X,X,X,O,X,X,X
ISLOZJT,X,O,O,X,X,X,X,X,O,X,X,X
ISJTLZO,O,O,O,X,X,O,X,X,X,O,X,X
ISJTLOZ,O,O,O,X,X,O,X,X,X,X,X,X
ISJTZLO,O,O,O,X,X,O,X,X,X,O,X,X
ISJTZOL,O,O,O,X,X,X,X,X,X,O,X,X
ISJTOLZ,O,O,O,X,X,O,X,X,X,X,X,X
ISJTOZL,O,O,O,X,X,X,X,X,X,O,X,X
ISJLTZO,O,O,O,X,X,O,X,X,X,O,X,X
ISJLTOZ,O,O,O,X,X,O,X,X,X,X,X,O
ISJLZTO,O,O,O,X,X,X,X,X,O,O,X,X
ISJLZOT,O,O,O,X,X,X,X,X,O,O,X,X
ISJLOTZ,O,O,O,X,X,O,X,X,X,X,O,X
ISJLOZT,O,O,O,X,X,X,X,X,O,X,X,X
ISJZTLO,O,O,O,X,O,O,X,X,O,O,X,X
ISJZTOL,O,X,O,X,O,X,X,X,X,O,X,X
ISJZLTO,O,O,O,X,O,X,X,X,O,O,X,X
ISJZLOT,O,O,O,X,O,X,X,X,O,O,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X,O,X,X
ISJZOLT,O,O,O,X,O,X,X,X,O,O,X,X
ISJOTLZ,O,O,O,X,X,O,X,X,X,X,O,X
ISJOTZL,O,O,O,X,X,X,X,X,X,O,X,X
ISJOLTZ,O,O,O,X,X,X,X,X,X,X,O,X
ISJOLZT,O,O,O,X,X,X,X,X,X,X,X,X
ISJOZTL,O,O,O,X,X,X,X,X,X,O,X,X
ISJOZLT,O,O,O,X,X,X,X,X,X,O,X,X
ISZTLJO,O,O,O,X,O,O,X,X,O,O,X,X
ISZTLOJ,X,O,O,X,O,O,X,X,O,O,X,X
ISZTJLO,O,O,O,X,O,O,X,X,O,O,X,X
ISZTJOL,O,O,O,X,O,X,X,X,X,O,X,X
ISZTOLJ,X,O,O,X,O,X,X,X,X,O,X,X
ISZTOJL,X,O,O,X,O,X,X,X,X,O,X,X
ISZLTJO,O,O,O,X,O,X,X,X,O,O,X,X
ISZLTOJ,X,O,O,X,O,X,X,X,O,O,X,X
ISZLJTO,O,O,O,X,O,X,X,X,O,O,X,X
ISZLJOT,O,O,O,X,O,X,X,X,O,O,X,X
ISZLOTJ,X,O,O,X,X,X,X,X,O,O,X,X
ISZLOJT,X,O,O,X,O,X,X,X,O,O,X,X
ISZJTLO,O,O,O,X,O,O,X,X,O,O,X,X
ISZJTOL,O,X,O,X,O,X,X,X,X,O,X,X
ISZJLTO,O,O,O,X,O,X,X,X,O,O,X,X
ISZJLOT,O,O,O,X,O,X,X,X,O,O,X,X
ISZJOTL,O,X,O,X,X,X,X,X,X,O,X,X
ISZJOLT,O,O,O,X,O,X,X,X,O,O,X,X
ISZOTLJ,X,O,O,X,O,X,X,X,X,O,X,X
ISZOTJL,X,O,O,X,O,X,X,X,X,O,X,X
ISZOLTJ,X,O,O,X,X,X,X,X,O,O,X,X
ISZOLJT,X,O,O,X,O,X,X,X,O,O,X,X
ISZOJTL,X,O,O,X,X,X,X,X,X,O,X,X
ISZOJLT,X,O,O,X,O,X,X,X,O,O,X,X
ISOTLJZ,O,O,O,X,X,O,X,X,X,X,O,X
ISOTLZJ,X,O,O,X,X,O,X,X,X,X,O,X
ISOTJLZ,O,O,O,X,X,O,X,X,X,X,O,X
ISOTJZL,O,O,O,X,X,X,X,X,X,O,X,X
ISOTZLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOTZJL,X,O,O,X,X,X,X,X,X,O,X,X
ISOLTJZ,O,O,O,X,X,X,X,X,X,X,O,X
ISOLTZJ,X,O,X,X,X,X,X,X,X,X,O,X
ISOLJTZ,O,O,O,X,X,X,X,X,X,X,O,X
ISOLJZT,O,O,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,O,X,X,X,X,X,X,X,X,X
ISOLZJT,X,O,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,O,X,X,O,X,X,X,X,O,X
ISOJTZL,O,O,O,X,X,X,X,X,X,O,X,X
ISOJLTZ,O,O,O,X,X,X,X,X,X,X,O,X
ISOJLZT,O,O,O,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,X,X,O,X,X
ISOJZLT,O,O,O,X,X,X,X,X,X,O,X,X
ISOZTLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOZTJL,X,O,O,X,X,X,X,X,X,O,X,X
ISOZLTJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOZLJT,X,O,O,X,X,X,X,X,X,O,X,X
ISOZJTL,X,O,O,X,X,X,X,X,X,O,X,X
ISOZJLT,X,O,O,X,X,X,X,X,X,O,X,X
IZTLJSO,X,X,O,O,O,X,O,X,O,X,X,X
IZTLJOS,X,X,O,O,O,O,O,X,O,X,X,X
IZTLSJO,X,X,O,O,O,O,O,X,O,X,X,X
IZTLSOJ,X,X,O,X,O,O,X,X,O,X,X,X
IZTLOJS,X,X,O,O,O,O,O,X,O,X,X,X
IZTLOSJ,X,X,O,O,X,O,X,X,O,X,X,X
IZTJLSO,X,O,O,O,O,X,O,X,O,X,X,X
IZTJLOS,X,O,O,O,O,O,O,X,O,X,X,X
IZTJSLO,X,O,O,O,O,X,O,X,O,O,X,X
IZTJSOL,X,X,O,X,O,X,X,X,X,O,X,X
IZTJOLS,X,O,O,O,O,X,O,O,X,X,X,X
IZTJOSL,X,X,O,O,X,X,X,X,X,O,X,X
IZTSLJO,X,O,O,O,O,O,O,X,O,O,X,X
IZTSLOJ,X,O,O,X,O,O,X,X,O,O,X,X
IZTSJLO,X,O,O,O,O,O,O,X,O,O,X,X
IZTSJOL,X,O,O,X,O,X,X,X,X,O,X,X
IZTSOLJ,X,O,O,X,O,X,X,X,X,O,X,X
IZTSOJL,X,O,O,X,O,X,X,X,X,O,X,X
IZTOLJS,X,X,O,O,O,X,O,O,X,X,X,X
IZTOLSJ,X,X,O,O,X,X,X,O,X,X,X,X
IZTOJLS,X,O,O,O,O,X,O,O,X,X,X,X
IZTOJSL,X,O,O,O,X,X,X,X,X,O,X,X
IZTOSLJ,X,O,O,O,X,X,X,X,X,O,X,X
