sequence,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWBJvhFxcBTeBUgBy?mBfoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFRdBSjBUgB3?hBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBxdBUgBT?iBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBC?iBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFWiBxdBUgBX?jBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeC8IvhFxdBUgB/mBO?oBTnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeSAJvhFFdBTeBxlBm?nB/mBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWCJvhFTeBRgB3gB0?iBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFuiBcjBRgB3?gBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFCeBRgBOoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFGeBRgBaoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBUgBzhBC?jBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBu?mB1nBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBUgBxiBT?iBOoBFsB
TLOIJZS,X,O,X,X,O,X,O,O,O,X,X,X,O,X
TLOISJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLOISZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TLOIZJS,X,O,X,X,X,X,X,O,O,X,X,X,O,X
TLOIZSJ,X,O,O,O,X,X,X,X,O,X,X,O,O,X
TLOJISZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X
TLOJIZS,X,O,O,O,O,X,O,O,O,X,X,X,O,X
TLOJSIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLOJSZI,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TLOJZIS,X,O,O,O,O,X,X,O,O,X,X,X,O,X
TLOJZSI,X,O,O,O,O,X,X,X,O,X,X,O,O,X
TLOSIJZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLOSIZJ,O,O,O,O,O,X,X,X,O,X,X,X,O,X
TLOSJIZ,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TLOSJZI,O,X,O,O,O,X,X,X,X,X,X,X,O,X
TLOSZIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLOSZJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLOZIJS,O,O,X,X,O,X,X,O,O,X,X,X,O,X
TLOZISJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLOZJIS,O,O,O,O,O,X,X,O,O,X,X,X,O,X
TLOZJSI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLOZSIJ,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TLOZSJI,O,O,O,O,O,X,X,X,O,X,X,O,O,X
TJILSZO,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TJILZSO,X,O,O,O,X,X,O,X,O,O,O,X,X,X
TJILZOS,X,O,O,O,O,X,O,O,O,O,O,X,X,X
TJILOSZ,X,O,O,O,O,X,O,O,X,X,X,X,X,X
