sequence,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BOiB8iB5jBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhFlc?BzdB5jB/nBCmBmrB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhF6h?B2iB5jB3iBzlBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BmdB5jBXiBVrBcsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFOi?B8iB5jBThBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8JeX8IvhFmd?B5jBcmBTiB6lBFsB
IOTJZLS,X,X,O,O,O,O
IOTJZSL,X,X,O,O,O,O
IOTSLJZ,O,O,O,O,X,X
IOTSLZJ,O,O,O,O,O,X
IOTSJLZ,O,O,O,O,X,X
IOTSJZL,O,O,O,X,X,O
IOTSZLJ,O,O,O,O,O,O
IOTSZJL,O,O,O,O,O,O
IOTZLJS,O,X,O,O,O,O
IOTZLSJ,X,O,O,O,O,O
IOTZJLS,O,X,O,O,O,O
IOTZJSL,O,X,O,O,O,O
IOTZSLJ,O,O,O,O,O,O
IOTZSJL,O,O,O,O,O,O
IOLTJSZ,X,O,O,O,X,X
IOLTJZS,X,O,O,O,O,X
IOLTSJZ,X,O,O,O,X,X
IOLTSZJ,X,O,O,O,O,X
IOLTZJS,O,O,O,O,O,X
IOLTZSJ,X,O,O,O,O,X
IOLJTSZ,X,O,X,O,X,X
IOLJTZS,X,O,X,O,X,X
IOLJSTZ,X,O,X,X,X,X
IOLJSZT,X,O,X,X,X,X
IOLJZTS,X,O,O,X,X,X
IOLJZST,X,O,O,X,X,X
IOLSTJZ,O,O,X,X,X,X
IOLSTZJ,O,O,X,X,X,X
IOLSJTZ,O,O,X,X,X,X
IOLSJZT,O,O,X,X,X,X
IOLSZTJ,O,O,X,X,X,X
IOLSZJT,O,O,X,X,X,X
IOLZTJS,O,O,O,X,O,X
IOLZTSJ,X,O,O,X,O,X
IOLZJTS,O,O,O,X,O,X
IOLZJST,O,O,O,X,X,X
IOLZSTJ,O,O,O,X,X,X
IOLZSJT,O,O,O,X,X,X
IOJTLSZ,X,X,O,O,X,X
IOJTLZS,X,X,O,O,X,O
IOJTSLZ,X,X,O,O,X,X
IOJTSZL,X,X,O,X,X,O
IOJTZLS,X,X,O,O,X,O
IOJTZSL,X,X,O,O,X,O
IOJLTSZ,X,O,X,O,X,X
IOJLTZS,X,O,X,O,X,X
IOJLSTZ,X,O,X,X,X,X
IOJLSZT,X,O,X,X,X,X
IOJLZTS,X,O,O,X,X,X
IOJLZST,X,O,O,X,X,X
IOJSTLZ,X,O,X,X,X,X
IOJSTZL,X,O,X,X,X,X
IOJSLTZ,X,O,X,X,X,X
IOJSLZT,X,O,X,X,X,X
IOJSZTL,X,O,X,X,X,X
IOJSZLT,X,O,O,X,X,X
IOJZTLS,X,X,O,O,X,X
IOJZTSL,X,O,O,O,X,X
IOJZLTS,X,O,O,X,X,X
IOJZLST,X,O,O,X,X,X
IOJZSTL,X,O,X,O,X,X
IOJZSLT,X,O,O,X,X,X
IOSTLJZ,O,O,O,X,X,X
IOSTLZJ,O,O,O,X,X,X
IOSTJLZ,O,O,O,X,X,X
IOSTJZL,O,O,O,X,X,X
IOSTZLJ,O,O,O,X,X,X
IOSTZJL,O,O,O,X,X,X
IOSLTJZ,O,O,X,X,X,X
IOSLTZJ,O,O,X,X,X,X
IOSLJTZ,O,O,X,X,X,X
IOSLJZT,O,O,X,X,X,X
IOSLZTJ,O,O,X,X,X,X
IOSLZJT,O,O,X,X,X,X
IOSJTLZ,O,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X
IOSJLTZ,O,O,X,X,X,X
IOSJLZT,O,O,X,X,X,X
IOSJZTL,O,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X
IOSZTLJ,O,O,O,X,X,X
IOSZTJL,O,O,O,X,X,X
IOSZLTJ,O,O,O,X,X,X
IOSZLJT,O,O,O,X,X,X
IOSZJTL,O,O,X,X,X,X
IOSZJLT,O,O,O,X,X,X
IOZTLJS,O,X,O,O,O,O
IOZTLSJ,X,O,O,O,O,O
IOZTJLS,O,X,O,O,O,O
IOZTJSL,O,O,O,O,O,O
IOZTSLJ,O,O,O,O,O,O
IOZTSJL,O,O,O,O,O,O
IOZLTJS,O,O,O,X,O,X
IOZLTSJ,X,O,O,X,O,X
IOZLJTS,O,O,O,X,O,X
IOZLJST,O,O,O,X,X,X
IOZLSTJ,O,O,O,X,X,X
IOZLSJT,O,O,O,X,X,X
IOZJTLS,X,X,O,O,X,X
IOZJTSL,X,O,O,O,X,X
IOZJLTS,O,O,O,X,O,X
IOZJLST,O,O,O,X,X,X
IOZJSTL,O,O,X,O,X,X
IOZJSLT,O,O,O,X,X,X
IOZSTLJ,O,O,O,O,X,O
IOZSTJL,O,O,O,O,X,O
IOZSLTJ,O,O,O,X,X,X
IOZSLJT,O,O,O,X,X,X
IOZSJTL,O,O,X,O,X,X
IOZSJLT,O,O,O,X,X,X
LTIJSZO,X,O,O,O,X,X
LTIJSOZ,X,O,X,O,X,X
LTIJZSO,O,O,O,O,O,X
LTIJZOS,O,O,O,O,O,X
LTIJOSZ,X,O,O,O,X,X
LTIJOZS,X,O,O,O,O,O
LTISJZO,O,O,O,O,X,X
LTISJOZ,O,O,X,O,X,X
LTISZJO,O,O,O,O,O,X
LTISZOJ,O,O,X,O,O,X
LTISOJZ,O,O,X,O,X,X
LTISOZJ,O,O,X,O,O,X
LTIZJSO,O,O,O,O,O,X
LTIZJOS,O,O,O,O,O,X
LTIZSJO,O,O,O,O,O,X
LTIZSOJ,O,O,X,O,O,O
LTIZOJS,O,O,O,O,O,O
LTIZOSJ,X,O,X,O,O,O
LTIOJSZ,X,O,O,O,X,X
LTIOJZS,X,O,O,O,O,O
LTIOSJZ,X,O,O,O,X,X
LTIOSZJ,X,O,O,O,O,X
LTIOZJS,O,O,O,O,O,O
LTIOZSJ,X,O,O,O,O,O
LTJISZO,X,O,O,O,X,X
LTJISOZ,X,O,X,O,X,X
LTJIZSO,O,O,O,O,O,X
LTJIZOS,O,O,O,O,O,X
LTJIOSZ,X,O,O,O,X,X
LTJIOZS,X,O,O,O,O,O
LTJSIZO,X,O,O,O,X,X
LTJSIOZ,X,O,X,O,X,X
LTJSZIO,X,O,O,O,X,X
LTJSZOI,X,O,X,O,X,X
LTJSOIZ,X,O,X,O,X,X
LTJSOZI,X,O,X,X,X,X
LTJZISO,O,O,O,O,O,X
LTJZIOS,O,O,O,O,O,X
LTJZSIO,O,O,O,O,O,X
LTJZSOI,O,O,X,O,O,X
LTJZOIS,O,O,O,O,O,X
LTJZOSI,O,O,X,O,O,X
LTJOISZ,X,O,O,O,X,X
LTJOIZS,X,O,O,O,O,O
LTJOSIZ,X,O,O,O,X,X
LTJOSZI,X,O,O,X,X,X
LTJOZIS,X,O,O,O,O,O
LTJOZSI,X,O,O,O,O,O
LTSIJZO,O,O,O,O,X,X
LTSIJOZ,O,O,X,O,X,X
LTSIZJO,O,O,O,O,O,X
LTSIZOJ,O,O,X,O,O,X
LTSIOJZ,O,O,X,O,X,X
LTSIOZJ,O,O,X,O,O,X
LTSJIZO,O,O,O,O,X,X
LTSJIOZ,O,O,X,O,X,X
LTSJZIO,O,O,O,O,X,X
LTSJZOI,O,O,X,O,X,X
LTSJOIZ,O,O,X,O,X,X
LTSJOZI,O,O,X,X,X,X
LTSZIJO,O,O,O,O,O,X
LTSZIOJ,O,O,X,O,O,X
LTSZJIO,O,O,O,O,O,X
LTSZJOI,O,O,X,O,O,X
LTSZOIJ,O,O,X,O,O,X
LTSZOJI,O,O,X,O,O,X
LTSOIJZ,O,O,X,O,X,X
LTSOIZJ,O,O,X,O,O,X
LTSOJIZ,O,O,X,O,X,X
LTSOJZI,O,O,X,X,X,X
LTSOZIJ,O,O,X,O,O,X
LTSOZJI,O,O,X,O,O,X
LTZIJSO,O,O,O,O,O,X
LTZIJOS,O,O,O,O,O,X
LTZISJO,O,O,O,O,O,X
LTZISOJ,O,O,X,O,O,O
LTZIOJS,O,O,O,O,O,O
LTZIOSJ,X,O,X,O,O,O
LTZJISO,O,O,O,O,O,X
LTZJIOS,O,O,O,O,O,X
LTZJSIO,O,O,O,O,O,X
LTZJSOI,O,O,X,O,O,X
LTZJOIS,O,O,O,O,O,X
LTZJOSI,O,O,X,O,O,X
LTZSIJO,O,O,O,O,O,X
LTZSIOJ,O,O,X,O,O,O
LTZSJIO,O,O,O,O,O,X
LTZSJOI,O,O,X,O,O,X
LTZSOIJ,O,O,X,O,O,O
LTZSOJI,O,O,X,O,O,O
LTZOIJS,O,O,O,O,O,O
LTZOISJ,X,O,X,O,O,O
LTZOJIS,O,O,O,O,O,O
LTZOJSI,O,O,X,O,O,O
LTZOSIJ,X,O,X,O,O,O
LTZOSJI,X,O,X,O,O,O
LTOIJSZ,X,O,O,O,X,X
LTOIJZS,X,O,O,O,O,O
LTOISJZ,X,O,O,O,X,X
LTOISZJ,X,O,O,O,O,X
LTOIZJS,O,O,O,O,O,O
LTOIZSJ,X,O,O,O,O,O
LTOJISZ,X,O,O,O,X,X
LTOJIZS,X,O,O,O,O,O
LTOJSIZ,X,O,O,O,X,X
LTOJSZI,X,O,O,X,X,X
LTOJZIS,X,O,O,O,O,O
LTOJZSI,X,O,O,O,O,O
LTOSIJZ,X,O,O,O,X,X
LTOSIZJ,X,O,O,O,O,X
LTOSJIZ,X,O,O,O,X,X
LTOSJZI,X,O,O,X,X,X
LTOSZIJ,X,O,O,O,O,X
LTOSZJI,X,O,O,O,O,X
LTOZIJS,O,O,O,O,O,O
LTOZISJ,X,O,O,O,O,O
LTOZJIS,O,O,O,O,O,O
LTOZJSI,O,O,O,O,O,O
LTOZSIJ,X,O,O,O,O,O
LTOZSJI,X,O,O,O,O,O
LITJSZO,X,O,O,O,X,X
LITJSOZ,X,O,X,O,X,X
LITJZSO,O,O,O,O,O,X
LITJZOS,O,O,O,O,O,X
LITJOSZ,X,O,O,O,X,X
LITJOZS,X,O,O,O,O,O
LITSJZO,O,O,O,O,X,X
LITSJOZ,O,O,X,O,X,X
LITSZJO,O,O,O,O,O,X
LITSZOJ,O,O,X,O,O,X
LITSOJZ,O,O,X,O,X,X
LITSOZJ,O,O,X,O,O,X
LITZJSO,O,O,O,O,O,X
LITZJOS,O,O,O,O,O,X
LITZSJO,O,O,O,O,O,X
LITZSOJ,O,O,X,O,O,O
LITZOJS,O,O,O,O,O,O
LITZOSJ,X,O,X,O,O,O
LITOJSZ,X,O,O,O,X,X
LITOJZS,X,O,O,O,O,O
LITOSJZ,X,O,O,O,X,X
LITOSZJ,X,O,O,O,O,X
LITOZJS,O,O,O,O,O,O
LITOZSJ,X,O,O,O,O,O
LIJTSZO,X,O,O,O,X,X
LIJTSOZ,X,O,X,O,X,X
LIJTZSO,O,O,O,O,O,X
LIJTZOS,O,O,O,O,O,X
LIJTOSZ,X,O,O,O,X,X
LIJTOZS,X,O,O,O,O,O
LIJSTZO,O,O,X,O,X,X
LIJSTOZ,O,O,X,O,X,X
LIJSZTO,O,O,X,X,X,X
LIJSZOT,O,O,X,X,X,X
LIJSOTZ,O,O,X,X,X,X
LIJSOZT,O,O,X,X,X,X
LIJZTSO,O,O,O,O,O,X
LIJZTOS,O,O,X,O,O,X
LIJZSTO,O,O,O,O,O,X
LIJZSOT,O,O,O,X,X,X
LIJZOTS,O,O,X,X,O,X
LIJZOST,O,O,O,X,X,X
LIJOTSZ,X,O,X,O,X,X
LIJOTZS,X,O,X,O,X,X
LIJOSTZ,X,O,X,X,X,X
LIJOSZT,X,O,X,X,X,X
LIJOZTS,X,O,O,X,X,X
LIJOZST,X,O,O,X,X,X
LISTJZO,O,O,X,O,X,X
LISTJOZ,O,O,X,O,X,X
LISTZJO,O,O,X,O,O,X
LISTZOJ,O,O,X,O,O,X
LISTOJZ,O,O,X,O,X,X
LISTOZJ,O,O,X,O,O,X
LISJTZO,O,O,X,O,X,X
LISJTOZ,O,O,X,O,X,X
LISJZTO,O,O,X,X,X,X
LISJZOT,O,O,X,X,X,X
LISJOTZ,O,O,X,X,X,X
LISJOZT,O,O,X,X,X,X
LISZTJO,O,O,X,X,O,X
LISZTOJ,O,O,X,X,O,X
LISZJTO,O,O,X,X,O,X
LISZJOT,O,O,X,X,X,X
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,O,X,X,X,X
LISOTJZ,O,O,X,X,X,X
LISOTZJ,O,O,X,X,X,X
LISOJTZ,O,O,X,X,X,X
LISOJZT,O,O,X,X,X,X
LISOZTJ,O,O,X,X,X,X
LISOZJT,O,O,X,X,X,X
LIZTJSO,O,O,O,O,O,X
LIZTJOS,O,O,O,O,O,X
LIZTSJO,O,O,O,O,O,X
LIZTSOJ,O,O,X,O,O,O
LIZTOJS,O,O,O,O,O,O
LIZTOSJ,X,O,X,O,O,O
LIZJTSO,O,O,O,O,O,X
LIZJTOS,O,O,O,O,O,X
LIZJSTO,O,O,O,O,O,X
LIZJSOT,O,O,O,X,X,X
LIZJOTS,O,O,X,X,O,X
LIZJOST,O,O,O,X,X,X
LIZSTJO,O,O,O,O,O,X
LIZSTOJ,O,O,X,O,O,O
LIZSJTO,O,O,O,O,O,X
LIZSJOT,O,O,O,X,X,X
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,O,O,X,X,X,X
LIZOTJS,O,O,O,X,O,X
LIZOTSJ,X,O,O,X,O,X
LIZOJTS,O,O,O,X,O,X
LIZOJST,O,O,O,X,X,X
LIZOSTJ,O,O,O,X,X,X
LIZOSJT,O,O,O,X,X,X
LIOTJSZ,X,O,O,O,X,X
LIOTJZS,X,O,O,O,O,X
LIOTSJZ,X,O,O,O,X,X
LIOTSZJ,X,O,O,O,O,X
LIOTZJS,O,O,O,O,O,X
LIOTZSJ,X,O,O,O,O,X
LIOJTSZ,X,O,X,O,X,X
LIOJTZS,X,O,X,O,X,X
LIOJSTZ,X,O,X,X,X,X
LIOJSZT,X,O,X,X,X,X
LIOJZTS,X,O,O,X,X,X
LIOJZST,X,O,O,X,X,X
LIOSTJZ,O,O,X,X,X,X
LIOSTZJ,O,O,X,X,X,X
LIOSJTZ,O,O,X,X,X,X
LIOSJZT,O,O,X,X,X,X
LIOSZTJ,O,O,X,X,X,X
LIOSZJT,O,O,X,X,X,X
LIOZTJS,O,O,O,X,O,X
LIOZTSJ,X,O,O,X,O,X
LIOZJTS,O,O,O,X,O,X
LIOZJST,O,O,O,X,X,X
LIOZSTJ,O,O,O,X,X,X
LIOZSJT,O,O,O,X,X,X
LJTISZO,X,O,O,O,X,X
LJTISOZ,X,O,X,O,X,X
LJTIZSO,O,O,O,O,O,X
LJTIZOS,O,O,O,O,O,X
LJTIOSZ,X,O,O,O,X,X
LJTIOZS,X,O,O,O,O,O
LJTSIZO,X,O,O,O,X,X
LJTSIOZ,X,O,X,O,X,X
LJTSZIO,X,O,O,O,X,X
LJTSZOI,X,O,X,O,X,X
LJTSOIZ,X,O,X,O,X,X
LJTSOZI,X,O,X,X,X,X
LJTZISO,O,O,O,O,O,X
LJTZIOS,O,O,O,O,O,X
LJTZSIO,O,O,O,O,O,X
LJTZSOI,O,O,X,O,O,X
LJTZOIS,O,O,O,O,O,X
LJTZOSI,O,O,X,O,O,X
LJTOISZ,X,O,O,O,X,X
LJTOIZS,X,O,O,O,O,O
LJTOSIZ,X,O,O,O,X,X
LJTOSZI,X,O,O,X,X,X
LJTOZIS,X,O,O,O,O,O
LJTOZSI,X,O,O,O,O,O
LJITSZO,X,O,O,O,X,X
LJITSOZ,X,O,X,O,X,X
LJITZSO,O,O,O,O,O,X
LJITZOS,O,O,O,O,O,X
LJITOSZ,X,O,O,O,X,X
LJITOZS,X,O,O,O,O,O
LJISTZO,O,O,X,O,X,X
LJISTOZ,O,O,X,O,X,X
LJISZTO,O,O,X,X,X,X
LJISZOT,O,O,X,X,X,X
LJISOTZ,O,O,X,X,X,X
LJISOZT,O,O,X,X,X,X
LJIZTSO,O,O,O,O,O,X
LJIZTOS,O,O,X,O,O,X
LJIZSTO,O,O,O,O,O,X
LJIZSOT,O,O,O,X,X,X
LJIZOTS,O,O,X,X,O,X
LJIZOST,O,O,O,X,X,X
LJIOTSZ,X,O,X,O,X,X
LJIOTZS,X,O,X,O,X,X
LJIOSTZ,X,O,X,X,X,X
LJIOSZT,X,O,X,X,X,X
LJIOZTS,X,O,O,X,X,X
LJIOZST,X,O,O,X,X,X
LJSTIZO,O,O,X,O,X,X
LJSTIOZ,O,O,X,O,X,X
LJSTZIO,O,O,X,O,X,X
LJSTZOI,O,O,X,O,X,X
LJSTOIZ,O,O,X,O,X,X
LJSTOZI,O,O,X,X,X,X
LJSITZO,O,O,X,O,X,X
LJSITOZ,O,O,X,O,X,X
LJSIZTO,O,O,X,X,X,X
LJSIZOT,O,O,X,X,X,X
LJSIOTZ,O,O,X,X,X,X
LJSIOZT,O,O,X,X,X,X
LJSZTIO,O,O,X,X,X,X
LJSZTOI,O,O,X,X,X,X
LJSZITO,O,O,X,X,X,X
LJSZIOT,O,O,X,X,X,X
LJSZOTI,O,O,X,X,X,X
LJSZOIT,O,O,X,X,X,X
LJSOTIZ,O,O,X,X,X,X
LJSOTZI,O,O,X,X,X,X
LJSOITZ,O,O,X,X,X,X
LJSOIZT,O,O,X,X,X,X
LJSOZTI,O,O,X,X,X,X
LJSOZIT,O,O,X,X,X,X
LJZTISO,O,O,O,O,O,X
LJZTIOS,O,O,X,O,O,X
LJZTSIO,O,O,X,O,O,X
LJZTSOI,O,O,X,O,O,X
LJZTOIS,O,O,X,O,O,X
LJZTOSI,O,O,X,O,O,X
LJZITSO,O,O,O,O,O,X
LJZITOS,O,O,X,O,O,X
LJZISTO,O,O,O,O,O,X
LJZISOT,O,O,O,X,X,X
LJZIOTS,O,O,X,X,O,X
LJZIOST,O,O,O,X,X,X
LJZSTIO,O,O,X,O,O,X
LJZSTOI,O,O,X,O,O,X
LJZSITO,O,O,O,O,O,X
LJZSIOT,O,O,O,X,X,X
LJZSOTI,O,O,X,X,X,X
LJZSOIT,O,O,X,X,X,X
LJZOTIS,O,O,X,X,O,X
LJZOTSI,O,O,X,X,O,X
LJZOITS,O,O,X,X,O,X
LJZOIST,O,O,O,X,X,X
LJZOSTI,O,O,X,X,X,X
LJZOSIT,O,O,X,X,X,X
LJOTISZ,X,O,X,O,X,X
LJOTIZS,X,O,X,O,X,X
LJOTSIZ,X,O,X,O,X,X
LJOTSZI,X,O,X,X,X,X
LJOTZIS,X,O,X,O,X,X
LJOTZSI,X,O,X,O,X,X
LJOITSZ,X,O,X,O,X,X
LJOITZS,X,O,X,O,X,X
LJOISTZ,X,O,X,X,X,X
LJOISZT,X,O,X,X,X,X
LJOIZTS,X,O,O,X,X,X
LJOIZST,X,O,O,X,X,X
LJOSTIZ,X,O,X,X,X,X
LJOSTZI,X,O,X,X,X,X
LJOSITZ,X,O,X,X,X,X
LJOSIZT,X,O,X,X,X,X
LJOSZTI,X,O,X,X,X,X
LJOSZIT,X,O,X,X,X,X
LJOZTIS,X,O,O,X,X,X
LJOZTSI,X,O,X,X,X,X
LJOZITS,X,O,O,X,X,X
LJOZIST,X,O,O,X,X,X
LJOZSTI,X,O,X,X,X,X
LJOZSIT,X,O,O,X,X,X
LSTIJZO,O,O,X,O,X,X
LSTIJOZ,O,O,X,O,X,X
LSTIZJO,O,O,X,O,O,X
LSTIZOJ,O,O,X,O,O,X
LSTIOJZ,O,O,X,O,X,X
LSTIOZJ,O,O,X,O,O,X
LSTJIZO,O,O,X,O,X,X
LSTJIOZ,O,O,X,O,X,X
LSTJZIO,O,O,X,O,X,X
LSTJZOI,O,O,X,O,X,X
LSTJOIZ,O,O,X,O,X,X
LSTJOZI,O,O,X,X,X,X
LSTZIJO,O,O,X,O,O,X
LSTZIOJ,O,O,X,O,O,X
LSTZJIO,O,O,X,O,O,X
LSTZJOI,O,O,X,O,O,X
LSTZOIJ,O,O,X,O,O,X
LSTZOJI,O,O,X,O,O,X
LSTOIJZ,O,O,X,O,X,X
LSTOIZJ,O,O,X,O,O,X
LSTOJIZ,O,O,X,O,X,X
LSTOJZI,O,O,X,X,X,X
LSTOZIJ,O,O,X,O,O,X
LSTOZJI,O,O,X,O,O,X
LSITJZO,O,O,X,O,X,X
LSITJOZ,O,O,X,O,X,X
LSITZJO,O,O,X,O,O,X
LSITZOJ,O,O,X,O,O,X
LSITOJZ,O,O,X,O,X,X
LSITOZJ,O,O,X,O,O,X
LSIJTZO,O,O,X,O,X,X
LSIJTOZ,O,O,X,O,X,X
LSIJZTO,O,O,X,X,X,X
LSIJZOT,O,O,X,X,X,X
LSIJOTZ,O,O,X,X,X,X
LSIJOZT,O,O,X,X,X,X
LSIZTJO,O,O,X,X,O,X
LSIZTOJ,O,O,X,X,O,X
LSIZJTO,O,O,X,X,O,X
LSIZJOT,O,O,X,X,X,X
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,O,X,X,X,X
LSIOTJZ,O,O,X,X,X,X
LSIOTZJ,O,O,X,X,X,X
LSIOJTZ,O,O,X,X,X,X
LSIOJZT,O,O,X,X,X,X
LSIOZTJ,O,O,X,X,X,X
LSIOZJT,O,O,X,X,X,X
LSJTIZO,O,O,X,O,X,X
LSJTIOZ,O,O,X,O,X,X
LSJTZIO,O,O,X,O,X,X
LSJTZOI,O,O,X,O,X,X
LSJTOIZ,O,O,X,O,X,X
LSJTOZI,O,O,X,X,X,X
LSJITZO,O,O,X,O,X,X
LSJITOZ,O,O,X,O,X,X
LSJIZTO,O,O,X,X,X,X
LSJIZOT,O,O,X,X,X,X
LSJIOTZ,O,O,X,X,X,X
LSJIOZT,O,O,X,X,X,X
LSJZTIO,O,O,X,X,X,X
LSJZTOI,O,O,X,X,X,X
LSJZITO,O,O,X,X,X,X
LSJZIOT,O,O,X,X,X,X
LSJZOTI,O,O,X,X,X,X
LSJZOIT,O,O,X,X,X,X
LSJOTIZ,O,O,X,X,X,X
LSJOTZI,O,O,X,X,X,X
LSJOITZ,O,O,X,X,X,X
LSJOIZT,O,O,X,X,X,X
LSJOZTI,O,O,X,X,X,X
LSJOZIT,O,O,X,X,X,X
LSZTIJO,O,O,X,X,O,X
LSZTIOJ,O,O,X,X,O,X
LSZTJIO,O,O,X,X,O,X
LSZTJOI,O,O,X,X,O,X
LSZTOIJ,O,O,X,X,O,X
LSZTOJI,O,O,X,X,O,X
LSZITJO,O,O,X,X,O,X
LSZITOJ,O,O,X,X,O,X
LSZIJTO,O,O,X,X,O,X
LSZIJOT,O,O,X,X,X,X
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,O,O,X,X,X,X
LSZJTIO,O,O,X,X,O,X
LSZJTOI,O,O,X,X,O,X
LSZJITO,O,O,X,X,O,X
LSZJIOT,O,O,X,X,X,X
LSZJOTI,O,O,X,X,X,X
LSZJOIT,O,O,X,X,X,X
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,X,X,X,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,O,X,X,X,X
LSZOJTI,O,O,X,X,X,X
LSZOJIT,O,O,X,X,X,X
LSOTIJZ,O,O,X,X,X,X
LSOTIZJ,O,O,X,X,X,X
LSOTJIZ,O,O,X,X,X,X
LSOTJZI,O,O,X,X,X,X
LSOTZIJ,O,O,X,X,X,X
LSOTZJI,O,O,X,X,X,X
LSOITJZ,O,O,X,X,X,X
LSOITZJ,O,O,X,X,X,X
LSOIJTZ,O,O,X,X,X,X
LSOIJZT,O,O,X,X,X,X
LSOIZTJ,O,O,X,X,X,X
LSOIZJT,O,O,X,X,X,X
LSOJTIZ,O,O,X,X,X,X
LSOJTZI,O,O,X,X,X,X
LSOJITZ,O,O,X,X,X,X
LSOJIZT,O,O,X,X,X,X
LSOJZTI,O,O,X,X,X,X
LSOJZIT,O,O,X,X,X,X
LSOZTIJ,O,O,X,X,X,X
LSOZTJI,O,O,X,X,X,X
LSOZITJ,O,O,X,X,X,X
LSOZIJT,O,O,X,X,X,X
LSOZJTI,O,O,X,X,X,X
LSOZJIT,O,O,X,X,X,X
LZTIJSO,O,O,O,O,O,X
LZTIJOS,O,O,O,O,O,X
LZTISJO,O,O,O,O,O,X
LZTISOJ,O,O,X,O,O,O
LZTIOJS,O,O,O,O,O,O
LZTIOSJ,X,O,X,O,O,O
LZTJISO,O,O,O,O,O,X
LZTJIOS,O,O,O,O,O,X
LZTJSIO,O,O,O,O,O,X
LZTJSOI,O,O,X,O,O,X
LZTJOIS,O,O,O,O,O,X
LZTJOSI,O,O,X,O,O,X
LZTSIJO,O,O,O,O,O,X
LZTSIOJ,O,O,X,O,O,O
LZTSJIO,O,O,O,O,O,X
LZTSJOI,O,O,X,O,O,X
LZTSOIJ,O,O,X,O,O,O
LZTSOJI,O,O,X,O,O,O
LZTOIJS,O,O,O,O,O,O
LZTOISJ,X,O,X,O,O,O
LZTOJIS,O,O,O,O,O,O
LZTOJSI,O,O,X,O,O,O
LZTOSIJ,X,O,X,O,O,O
LZTOSJI,X,O,X,O,O,O
LZITJSO,O,O,O,O,O,X
LZITJOS,O,O,O,O,O,X
LZITSJO,O,O,O,O,O,X
LZITSOJ,O,O,X,O,O,O
LZITOJS,O,O,O,O,O,O
LZITOSJ,X,O,X,O,O,O
LZIJTSO,O,O,O,O,O,X
LZIJTOS,O,O,O,O,O,X
LZIJSTO,O,O,O,O,O,X
LZIJSOT,O,O,O,X,X,X
LZIJOTS,O,O,X,X,O,X
LZIJOST,O,O,O,X,X,X
LZISTJO,O,O,O,O,O,X
LZISTOJ,O,O,X,O,O,O
LZISJTO,O,O,O,O,O,X
LZISJOT,O,O,O,X,X,X
LZISOTJ,O,O,X,X,X,X
LZISOJT,O,O,X,X,X,X
LZIOTJS,O,O,O,X,O,X
LZIOTSJ,X,O,O,X,O,X
LZIOJTS,O,O,O,X,O,X
LZIOJST,O,O,O,X,X,X
LZIOSTJ,O,O,O,X,X,X
LZIOSJT,O,O,O,X,X,X
LZJTISO,O,O,O,O,O,X
LZJTIOS,O,O,O,O,O,X
LZJTSIO,O,O,O,O,O,X
LZJTSOI,O,O,X,O,O,X
LZJTOIS,O,O,O,O,O,X
LZJTOSI,O,O,X,O,O,X
LZJITSO,O,O,O,O,O,X
LZJITOS,O,O,O,O,O,X
LZJISTO,O,O,O,O,O,X
LZJISOT,O,O,O,X,X,X
LZJIOTS,O,O,X,X,O,X
LZJIOST,O,O,O,X,X,X
LZJSTIO,O,O,X,O,O,X
LZJSTOI,O,O,X,O,O,X
LZJSITO,O,O,O,O,O,X
LZJSIOT,O,O,O,X,X,X
LZJSOTI,O,O,X,X,X,X
LZJSOIT,O,O,X,X,X,X
LZJOTIS,O,O,X,X,O,X
LZJOTSI,O,O,X,X,O,X
LZJOITS,O,O,X,X,O,X
LZJOIST,O,O,O,X,X,X
LZJOSTI,O,O,X,X,X,X
LZJOSIT,O,O,X,X,X,X
LZSTIJO,O,O,O,O,O,X
LZSTIOJ,O,O,X,O,O,O
LZSTJIO,O,O,O,O,O,X
LZSTJOI,O,O,X,O,O,X
LZSTOIJ,O,O,X,O,O,O
LZSTOJI,O,O,X,O,O,O
LZSITJO,O,O,O,O,O,X
LZSITOJ,O,O,X,O,O,O
LZSIJTO,O,O,O,O,O,X
LZSIJOT,O,O,O,X,X,X
LZSIOTJ,O,O,X,X,X,X
LZSIOJT,O,O,X,X,X,X
LZSJTIO,O,O,X,O,O,X
LZSJTOI,O,O,X,O,O,X
LZSJITO,O,O,O,O,O,X
LZSJIOT,O,O,O,X,X,X
