sequence,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Je07IvhFmc?BzdB5jBfnBilBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jem7IvhFzd?B5jBclBanB3hBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jel7IvhFch?BmdB5jBXiBTlBirB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8JeX8IvhFxd?BFiB6oBTgB0mBmqB
TZOSJLI,O,O,X,X
TOILJSZ,O,X,O,X
TOILJZS,O,O,O,X
TOILSJZ,O,X,O,X
TOILSZJ,O,O,O,X
TOILZJS,O,O,O,X
TOILZSJ,O,O,O,X
TOIJLSZ,O,X,O,X
TOIJLZS,O,O,O,X
TOIJSLZ,O,X,O,X
TOIJSZL,O,X,O,X
TOIJZLS,O,O,X,X
TOIJZSL,O,O,X,X
TOISLJZ,O,X,O,X
TOISLZJ,O,O,O,X
TOISJLZ,O,X,O,X
TOISJZL,O,X,O,X
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,O,X
TOIZLSJ,O,O,O,X
TOIZJLS,O,O,X,X
TOIZJSL,O,O,X,X
TOIZSLJ,O,O,X,X
TOIZSJL,O,O,X,X
TOLIJSZ,O,X,O,O
TOLIJZS,O,O,O,X
TOLISJZ,O,X,O,O
TOLISZJ,O,O,O,O
TOLIZJS,O,O,O,X
TOLIZSJ,O,O,O,O
TOLJISZ,O,X,O,O
TOLJIZS,O,O,O,X
TOLJSIZ,O,X,O,O
TOLJSZI,O,X,O,O
TOLJZIS,O,O,O,X
TOLJZSI,O,O,O,X
TOLSIJZ,O,X,O,O
TOLSIZJ,O,O,O,O
TOLSJIZ,O,X,O,O
TOLSJZI,O,X,O,O
TOLSZIJ,O,O,O,O
TOLSZJI,O,O,O,O
TOLZIJS,O,O,O,X
TOLZISJ,O,O,O,O
TOLZJIS,O,O,O,X
TOLZJSI,O,O,O,X
TOLZSIJ,O,O,O,O
TOLZSJI,O,O,O,O
TOJILSZ,O,X,O,X
TOJILZS,O,O,O,X
TOJISLZ,O,X,O,X
TOJISZL,O,X,O,X
TOJIZLS,O,O,X,X
TOJIZSL,O,O,X,X
TOJLISZ,O,X,O,O
TOJLIZS,O,O,O,X
TOJLSIZ,O,X,O,O
TOJLSZI,O,X,O,O
TOJLZIS,O,O,O,X
TOJLZSI,O,O,O,X
TOJSILZ,O,X,O,X
TOJSIZL,O,X,O,X
TOJSLIZ,O,X,O,O
TOJSLZI,O,X,O,O
TOJSZIL,O,X,O,X
TOJSZLI,O,X,O,X
TOJZILS,O,O,X,X
TOJZISL,O,O,X,X
TOJZLIS,O,O,X,X
TOJZLSI,O,O,X,X
TOJZSIL,O,O,X,X
TOJZSLI,O,O,X,X
TOSILJZ,O,X,O,X
TOSILZJ,O,O,O,X
TOSIJLZ,O,X,O,X
TOSIJZL,O,X,O,X
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,X,O,O
TOSLIZJ,O,O,O,O
TOSLJIZ,O,X,O,O
TOSLJZI,O,X,O,O
TOSLZIJ,O,O,O,O
TOSLZJI,O,O,O,O
TOSJILZ,O,X,O,X
TOSJIZL,O,X,O,X
TOSJLIZ,O,X,O,X
TOSJLZI,O,X,O,X
TOSJZIL,O,X,O,X
TOSJZLI,O,X,O,X
TOSZILJ,O,O,O,X
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,O,X
TOSZLJI,O,O,O,X
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,X
TOZILJS,O,O,O,X
TOZILSJ,O,O,O,X
TOZIJLS,O,O,X,X
TOZIJSL,O,O,X,X
TOZISLJ,O,O,X,X
TOZISJL,O,O,X,X
TOZLIJS,O,O,O,X
TOZLISJ,O,O,O,O
TOZLJIS,O,O,O,X
TOZLJSI,O,O,O,X
TOZLSIJ,O,O,O,O
TOZLSJI,O,O,O,O
TOZJILS,O,O,X,X
TOZJISL,O,O,X,X
TOZJLIS,O,O,X,X
TOZJLSI,O,O,X,X
TOZJSIL,O,O,X,X
TOZJSLI,O,O,X,X
TOZSILJ,O,O,X,X
TOZSIJL,O,O,X,X
TOZSLIJ,O,O,X,O
TOZSLJI,O,O,X,O
TOZSJIL,O,O,X,X
TOZSJLI,O,O,X,X
ITLJSZO,O,X,O,O
ITLJSOZ,O,X,X,O
ITLJZSO,O,O,O,O
ITLJZOS,O,O,O,X
ITLJOSZ,O,X,X,O
ITLJOZS,O,O,X,X
ITLSJZO,O,X,O,O
ITLSJOZ,O,X,X,O
ITLSZJO,O,O,O,O
ITLSZOJ,O,O,O,O
ITLSOJZ,O,X,X,O
ITLSOZJ,O,O,X,O
ITLZJSO,O,O,O,O
ITLZJOS,O,O,O,X
