sequence,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBuhB1iB6?jB8rB3sB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBV?nBUsBurB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jex7IvhFXdB6jBmgBz?iBlrBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jei7IvhFzdB+jBRhB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBu?mBUiBVxB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Je2AJvhFRcBCeBTjB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFxdBihBGjB0?hBlrB3sB
IZTJOLS,O,X,X,X,O,X,X
IZTJOSL,O,O,X,X,O,X,X
IZTSLJO,O,O,X,X,O,X,X
IZTSLOJ,O,O,X,X,O,X,X
IZTSJLO,O,O,X,X,O,X,X
IZTSJOL,O,O,X,X,O,X,X
IZTSOLJ,O,O,X,X,O,X,X
IZTSOJL,O,O,X,X,O,X,X
IZTOLJS,O,X,X,X,O,X,X
IZTOLSJ,O,O,X,X,O,X,X
IZTOJLS,O,X,X,X,O,X,X
IZTOJSL,O,O,X,X,O,X,X
IZTOSLJ,O,O,X,X,O,X,X
IZTOSJL,O,O,X,X,O,X,X
IZLTJSO,O,X,X,X,O,X,X
IZLTJOS,O,X,X,X,O,X,X
IZLTSJO,O,O,X,X,O,X,X
IZLTSOJ,O,O,X,X,O,X,X
IZLTOJS,O,X,X,X,O,X,X
IZLTOSJ,O,O,X,X,O,X,X
IZLJTSO,O,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X
IZLJOST,O,O,X,O,X,X,X
IZLSTJO,O,O,X,X,O,X,X
IZLSTOJ,O,O,X,X,O,X,X
IZLSJTO,O,O,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,X
IZLSOJT,O,O,X,X,X,X,X
IZLOTJS,O,X,X,X,O,X,X
IZLOTSJ,O,O,X,X,O,X,X
IZLOJTS,O,X,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X
IZLOSTJ,O,O,X,X,O,X,X
IZLOSJT,O,O,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X
IZJLTSO,O,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X
IZJLOST,O,O,X,O,X,X,X
IZJSTLO,O,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X
IZJSOTL,O,O,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X
IZJOLST,O,O,X,O,X,X,X
IZJOSTL,O,O,X,X,X,X,X
IZJOSLT,O,O,X,X,X,X,X
IZSTLJO,O,O,X,X,O,X,X
IZSTLOJ,O,O,X,X,O,X,X
IZSTJLO,O,O,X,X,O,X,X
IZSTJOL,O,O,X,X,O,X,X
IZSTOLJ,O,O,X,X,O,X,X
IZSTOJL,O,O,X,X,O,X,X
IZSLTJO,O,O,X,X,O,X,X
IZSLTOJ,O,O,X,X,O,X,X
IZSLJTO,O,O,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X
IZSLOTJ,O,O,X,X,O,X,X
IZSLOJT,O,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X
IZSOTLJ,O,O,X,X,O,X,X
IZSOTJL,O,O,X,X,O,X,X
IZSOLTJ,O,O,X,X,O,X,X
IZSOLJT,O,O,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X
IZOTLJS,O,X,X,X,O,X,X
IZOTLSJ,O,O,X,X,O,X,X
IZOTJLS,O,X,X,X,O,X,X
IZOTJSL,O,O,X,X,O,X,X
IZOTSLJ,O,O,X,X,O,X,X
IZOTSJL,O,O,X,X,O,X,X
IZOLTJS,O,X,X,X,O,X,X
IZOLTSJ,O,O,X,X,O,X,X
IZOLJTS,O,X,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,X
IZOLSTJ,O,O,X,X,O,X,X
IZOLSJT,O,O,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X
IZOJSLT,O,O,X,X,X,X,X
IZOSTLJ,O,O,X,X,O,X,X
IZOSTJL,O,O,X,X,O,X,X
IZOSLTJ,O,O,X,X,O,X,X
IZOSLJT,O,O,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X
IOTLJSZ,X,X,O,X,O,X,O
IOTLJZS,X,X,O,X,O,X,O
IOTLSJZ,X,X,O,X,O,X,O
IOTLSZJ,X,O,O,X,O,X,X
IOTLZJS,O,X,X,X,O,X,X
IOTLZSJ,O,O,X,X,O,X,X
IOTJLSZ,X,X,O,X,O,X,O
IOTJLZS,X,X,O,X,O,X,O
IOTJSLZ,X,X,O,X,O,X,O
IOTJSZL,X,X,O,X,O,X,O
IOTJZLS,X,X,O,X,O,X,O
IOTJZSL,X,X,O,X,O,X,O
IOTSLJZ,X,X,O,X,O,X,O
IOTSLZJ,X,O,O,X,O,X,X
IOTSJLZ,X,X,O,X,O,X,O
IOTSJZL,X,X,O,X,O,X,O
IOTSZLJ,X,O,O,X,O,X,X
IOTSZJL,X,O,X,X,O,X,X
IOTZLJS,O,X,X,X,O,X,X
IOTZLSJ,O,O,X,X,O,X,X
IOTZJLS,O,X,X,X,O,X,X
IOTZJSL,O,O,X,X,O,X,X
IOTZSLJ,O,O,X,X,O,X,X
IOTZSJL,O,O,X,X,O,X,X
IOLTJSZ,X,X,O,X,O,X,X
IOLTJZS,X,X,O,X,O,X,X
IOLTSJZ,X,X,O,X,O,X,X
IOLTSZJ,X,O,O,X,O,X,X
IOLTZJS,O,X,X,X,O,X,X
IOLTZSJ,O,O,X,X,O,X,X
IOLJTSZ,X,X,O,O,O,O,X
IOLJTZS,X,X,O,X,O,X,X
IOLJSTZ,X,X,O,O,O,O,X
IOLJSZT,X,O,O,O,X,O,X
IOLJZTS,O,X,X,X,X,X,X
IOLJZST,O,O,O,O,X,O,X
IOLSTJZ,X,X,O,X,O,O,X
IOLSTZJ,X,O,X,X,O,X,X
IOLSJTZ,X,X,O,X,O,O,X
IOLSJZT,X,O,O,X,X,O,X
IOLSZTJ,O,O,X,X,O,X,X
IOLSZJT,O,O,O,X,X,X,X
IOLZTJS,O,X,X,X,O,X,X
IOLZTSJ,O,O,X,X,O,X,X
IOLZJTS,O,X,X,X,X,X,X
IOLZJST,O,O,X,X,X,X,X
IOLZSTJ,O,O,X,X,O,X,X
IOLZSJT,O,O,X,X,X,X,X
IOJTLSZ,X,X,O,O,O,O,O
IOJTLZS,X,X,O,X,O,X,O
IOJTSLZ,X,X,O,X,O,X,O
IOJTSZL,X,X,O,X,O,X,O
IOJTZLS,X,X,O,X,O,X,O
IOJTZSL,X,X,O,X,O,X,O
IOJLTSZ,X,X,O,O,O,O,O
IOJLTZS,X,X,O,X,O,X,O
IOJLSTZ,X,X,O,O,O,O,X
IOJLSZT,X,O,O,O,X,O,X
IOJLZTS,O,X,X,X,X,X,X
IOJLZST,O,O,O,O,X,O,X
IOJSTLZ,X,X,O,X,O,O,O
IOJSTZL,X,X,X,X,O,O,O
IOJSLTZ,X,X,O,O,O,O,X
IOJSLZT,X,O,O,O,X,O,X
IOJSZTL,X,O,X,X,X,X,X
IOJSZLT,X,O,O,X,X,O,X
IOJZTLS,O,X,X,X,X,X,O
IOJZTSL,O,O,X,X,X,X,O
IOJZLTS,O,X,X,X,X,X,X
IOJZLST,O,O,O,O,X,O,X
IOJZSTL,O,O,X,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X
IOSTLJZ,X,X,O,X,O,O,X
IOSTLZJ,X,O,X,X,O,X,X
IOSTJLZ,X,X,X,X,O,O,X
IOSTJZL,X,X,X,X,O,O,X
IOSTZLJ,X,O,X,X,O,O,X
IOSTZJL,X,O,X,X,O,O,X
IOSLTJZ,X,X,O,X,O,O,X
IOSLTZJ,X,O,X,X,O,X,X
IOSLJTZ,X,X,O,X,O,O,X
IOSLJZT,X,O,O,X,X,O,X
IOSLZTJ,O,O,X,X,O,X,X
IOSLZJT,O,O,O,X,X,X,X
IOSJTLZ,X,X,O,X,O,O,X
IOSJTZL,X,X,X,X,O,O,X
IOSJLTZ,X,X,O,X,O,O,X
IOSJLZT,X,O,O,X,X,O,X
IOSJZTL,X,O,X,X,X,X,X
IOSJZLT,X,O,O,X,X,O,X
IOSZTLJ,O,O,X,X,O,X,X
IOSZTJL,O,O,X,X,O,X,X
IOSZLTJ,O,O,X,X,O,X,X
IOSZLJT,O,O,O,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X
IOZTLJS,O,X,X,X,O,X,X
IOZTLSJ,O,O,X,X,O,X,X
IOZTJLS,O,X,X,X,O,X,X
IOZTJSL,O,O,X,X,O,X,X
IOZTSLJ,O,O,X,X,O,X,X
IOZTSJL,O,O,X,X,O,X,X
IOZLTJS,O,X,X,X,O,X,X
IOZLTSJ,O,O,X,X,O,X,X
IOZLJTS,O,X,X,X,X,X,X
IOZLJST,O,O,X,X,X,X,X
IOZLSTJ,O,O,X,X,O,X,X
IOZLSJT,O,O,X,X,X,X,X
IOZJTLS,O,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X
IOZJLTS,O,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,X,X
IOZJSTL,O,O,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X
IOZSTLJ,O,O,X,X,O,X,X
IOZSTJL,O,O,X,X,O,X,X
IOZSLTJ,O,O,X,X,O,X,X
IOZSLJT,O,O,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X
LTIJSZO,X,X,O,O,O,X,X
LTIJSOZ,X,X,O,O,O,X,O
LTIJZSO,X,X,O,X,O,X,X
LTIJZOS,X,X,O,X,O,X,O
LTIJOSZ,X,X,O,O,O,X,O
LTIJOZS,X,X,O,X,O,X,O
LTISJZO,X,X,X,O,O,X,O
LTISJOZ,X,X,X,O,O,X,O
LTISZJO,X,O,X,O,O,X,X
LTISZOJ,X,O,X,X,O,X,X
LTISOJZ,X,X,X,O,O,X,O
LTISOZJ,X,O,X,X,O,X,X
LTIZJSO,O,X,O,X,O,X,X
LTIZJOS,O,X,O,X,O,X,X
LTIZSJO,O,O,O,X,O,X,X
LTIZSOJ,O,O,O,X,O,X,X
LTIZOJS,O,X,X,X,O,X,X
LTIZOSJ,O,O,X,X,O,X,X
LTIOJSZ,X,X,O,X,O,X,O
LTIOJZS,X,X,O,X,O,X,O
LTIOSJZ,X,X,O,X,O,X,O
LTIOSZJ,X,O,O,X,O,X,X
LTIOZJS,O,X,X,X,O,X,X
LTIOZSJ,O,O,X,X,O,X,X
LTJISZO,X,X,O,O,X,X,O
LTJISOZ,X,X,O,O,X,X,O
LTJIZSO,X,X,O,X,X,X,X
LTJIZOS,X,X,O,X,X,X,O
LTJIOSZ,X,X,O,O,X,X,O
LTJIOZS,X,X,O,X,X,X,O
LTJSIZO,X,X,O,O,X,X,O
LTJSIOZ,X,X,O,O,X,X,O
LTJSZIO,X,X,O,O,X,X,O
LTJSZOI,X,X,O,O,X,X,O
LTJSOIZ,X,X,O,O,X,X,O
LTJSOZI,X,X,O,O,X,X,O
LTJZISO,X,X,O,X,X,X,X
LTJZIOS,X,X,O,X,X,X,O
LTJZSIO,X,X,O,O,X,X,X
LTJZSOI,X,X,O,O,X,X,X
LTJZOIS,X,X,O,X,X,X,O
LTJZOSI,X,X,O,O,X,X,O
LTJOISZ,X,X,O,O,X,X,O
LTJOIZS,X,X,O,X,X,X,O
LTJOSIZ,X,X,O,O,X,X,O
LTJOSZI,X,X,O,O,X,X,O
LTJOZIS,X,X,O,X,X,X,O
LTJOZSI,X,X,O,O,X,X,O
LTSIJZO,X,X,X,O,O,X,O
LTSIJOZ,X,X,X,O,O,X,O
LTSIZJO,X,O,X,O,O,X,X
LTSIZOJ,X,O,X,X,O,X,X
LTSIOJZ,X,X,X,O,O,X,O
LTSIOZJ,X,O,X,X,O,X,X
LTSJIZO,X,X,O,O,X,X,O
LTSJIOZ,X,X,O,O,X,X,O
LTSJZIO,X,X,O,O,X,X,O
LTSJZOI,X,X,O,O,X,X,O
LTSJOIZ,X,X,O,O,X,X,O
LTSJOZI,X,X,O,O,X,X,O
LTSZIJO,X,O,O,O,X,X,X
LTSZIOJ,X,O,O,X,X,X,X
LTSZJIO,X,O,O,O,X,X,O
LTSZJOI,X,O,O,O,X,X,O
LTSZOIJ,X,O,O,X,X,X,X
LTSZOJI,X,O,O,X,X,X,O
LTSOIJZ,X,X,O,O,O,X,O
LTSOIZJ,X,O,O,X,O,X,X
LTSOJIZ,X,X,O,O,X,X,O
LTSOJZI,X,X,O,O,X,X,O
LTSOZIJ,X,O,O,X,X,X,X
LTSOZJI,X,O,O,X,X,X,O
LTZIJSO,O,X,O,X,X,X,X
LTZIJOS,O,X,O,X,X,X,X
LTZISJO,O,O,O,X,X,X,X
LTZISOJ,O,O,O,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X
LTZJISO,O,X,O,X,X,X,X
LTZJIOS,O,X,O,X,X,X,O
LTZJSIO,O,X,O,O,X,X,X
LTZJSOI,O,X,O,O,X,X,X
LTZJOIS,O,X,O,X,X,X,O
LTZJOSI,O,X,O,O,X,X,O
LTZSIJO,O,O,O,O,X,X,X
LTZSIOJ,O,O,O,X,X,X,X
LTZSJIO,O,O,O,O,X,X,O
LTZSJOI,O,O,O,O,X,X,O
LTZSOIJ,O,O,O,X,X,X,X
LTZSOJI,O,O,O,X,X,X,O
LTZOIJS,O,X,O,X,X,X,X
LTZOISJ,O,O,O,X,X,X,X
LTZOJIS,O,X,O,X,X,X,O
LTZOJSI,O,X,O,X,X,X,O
LTZOSIJ,O,O,O,X,X,X,X
LTZOSJI,O,O,O,X,X,X,O
LTOIJSZ,X,X,O,X,O,X,O
LTOIJZS,X,X,O,X,O,X,O
LTOISJZ,X,X,O,X,O,X,O
LTOISZJ,X,O,O,X,O,X,X
LTOIZJS,O,X,X,X,O,X,X
LTOIZSJ,O,O,X,X,O,X,X
LTOJISZ,X,X,O,O,X,X,O
LTOJIZS,X,X,O,X,X,X,O
LTOJSIZ,X,X,O,O,X,X,O
LTOJSZI,X,X,O,O,X,X,O
LTOJZIS,X,X,O,X,X,X,O
LTOJZSI,X,X,O,O,X,X,O
LTOSIJZ,X,X,O,O,O,X,O
LTOSIZJ,X,O,O,X,O,X,X
LTOSJIZ,X,X,O,O,X,X,O
LTOSJZI,X,X,O,O,X,X,O
LTOSZIJ,X,O,O,X,X,X,X
LTOSZJI,X,O,O,X,X,X,O
LTOZIJS,O,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X
LTOZJIS,O,X,O,X,X,X,O
LTOZJSI,O,X,O,X,X,X,O
LTOZSIJ,O,O,O,X,X,X,X
LTOZSJI,O,O,O,X,X,X,O
LITJSZO,X,X,O,O,O,X,X
LITJSOZ,X,X,O,O,O,X,X
LITJZSO,X,X,O,X,O,X,X
LITJZOS,X,X,O,X,O,X,X
LITJOSZ,X,X,O,O,O,X,X
LITJOZS,X,X,O,X,O,X,X
LITSJZO,X,X,X,O,O,X,X
LITSJOZ,X,X,X,O,O,X,X
LITSZJO,X,O,X,O,O,X,X
LITSZOJ,X,O,X,X,O,X,X
LITSOJZ,X,X,X,O,O,X,X
LITSOZJ,X,O,X,X,O,X,X
LITZJSO,O,X,O,X,O,X,X
LITZJOS,O,X,O,X,O,X,X
LITZSJO,O,O,O,X,O,X,X
LITZSOJ,O,O,O,X,O,X,X
LITZOJS,O,X,X,X,O,X,X
LITZOSJ,O,O,X,X,O,X,X
LITOJSZ,X,X,O,X,O,X,X
LITOJZS,X,X,O,X,O,X,X
LITOSJZ,X,X,O,X,O,X,X
LITOSZJ,X,O,O,X,O,X,X
LITOZJS,O,X,X,X,O,X,X
LITOZSJ,O,O,X,X,O,X,X
LIJTSZO,X,X,O,O,O,X,X
LIJTSOZ,X,X,O,O,O,X,X
LIJTZSO,X,X,O,X,O,X,X
LIJTZOS,X,X,O,X,O,X,X
LIJTOSZ,X,X,O,O,O,X,X
LIJTOZS,X,X,O,X,O,X,X
LIJSTZO,X,X,O,O,O,X,X
LIJSTOZ,X,X,O,O,O,X,X
LIJSZTO,X,O,X,X,X,X,X
LIJSZOT,X,O,X,O,X,X,X
LIJSOTZ,X,X,O,O,O,X,X
LIJSOZT,X,O,O,O,X,X,X
LIJZTSO,O,X,O,X,X,X,X
LIJZTOS,O,X,O,X,X,X,X
LIJZSTO,O,O,X,X,X,X,X
LIJZSOT,O,O,X,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X
LIJZOST,O,O,O,O,X,X,X
LIJOTSZ,X,X,O,O,O,X,X
LIJOTZS,X,X,O,X,O,X,X
LIJOSTZ,X,X,O,O,O,X,X
LIJOSZT,X,O,O,O,X,X,X
LIJOZTS,O,X,X,X,X,X,X
LIJOZST,O,O,O,O,X,X,X
LISTJZO,X,X,X,O,O,X,X
LISTJOZ,X,X,X,O,O,X,X
LISTZJO,X,O,X,O,O,X,X
LISTZOJ,X,O,X,X,O,X,X
LISTOJZ,X,X,X,O,O,X,X
LISTOZJ,X,O,X,X,O,X,X
LISJTZO,X,X,X,O,O,X,X
LISJTOZ,X,X,X,O,O,X,X
LISJZTO,X,O,X,X,X,X,X
LISJZOT,X,O,X,O,X,X,X
LISJOTZ,X,X,X,O,O,X,X
LISJOZT,X,O,X,O,X,X,X
LISZTJO,O,O,X,X,O,X,X
LISZTOJ,O,O,X,X,O,X,X
LISZJTO,O,O,X,X,X,X,X
LISZJOT,O,O,X,O,X,X,X
LISZOTJ,O,O,X,X,O,X,X
LISZOJT,O,O,X,X,X,X,X
LISOTJZ,X,X,X,X,O,X,X
LISOTZJ,X,O,X,X,O,X,X
LISOJTZ,X,X,X,O,O,X,X
LISOJZT,X,O,X,O,X,X,X
LISOZTJ,O,O,X,X,O,X,X
LISOZJT,O,O,X,X,X,X,X
LIZTJSO,O,X,X,X,O,X,X
LIZTJOS,O,X,X,X,O,X,X
LIZTSJO,O,O,X,X,O,X,X
LIZTSOJ,O,O,X,X,O,X,X
LIZTOJS,O,X,X,X,O,X,X
LIZTOSJ,O,O,X,X,O,X,X
LIZJTSO,O,X,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X,X
LIZJSTO,O,O,X,X,X,X,X
LIZJSOT,O,O,X,X,X,X,X
LIZJOTS,O,X,X,X,X,X,X
LIZJOST,O,O,X,O,X,X,X
LIZSTJO,O,O,X,X,O,X,X
LIZSTOJ,O,O,X,X,O,X,X
LIZSJTO,O,O,X,X,X,X,X
LIZSJOT,O,O,X,X,X,X,X
LIZSOTJ,O,O,X,X,O,X,X
LIZSOJT,O,O,X,X,X,X,X
LIZOTJS,O,X,X,X,O,X,X
LIZOTSJ,O,O,X,X,O,X,X
LIZOJTS,O,X,X,X,X,X,X
LIZOJST,O,O,X,X,X,X,X
LIZOSTJ,O,O,X,X,O,X,X
LIZOSJT,O,O,X,X,X,X,X
LIOTJSZ,X,X,O,X,O,X,X
LIOTJZS,X,X,O,X,O,X,X
LIOTSJZ,X,X,O,X,O,X,X
LIOTSZJ,X,O,O,X,O,X,X
LIOTZJS,O,X,X,X,O,X,X
LIOTZSJ,O,O,X,X,O,X,X
LIOJTSZ,X,X,O,O,O,X,X
LIOJTZS,X,X,O,X,O,X,X
LIOJSTZ,X,X,O,O,O,X,X
LIOJSZT,X,O,O,O,X,X,X
LIOJZTS,O,X,X,X,X,X,X
LIOJZST,O,O,O,O,X,X,X
LIOSTJZ,X,X,O,X,O,X,X
LIOSTZJ,X,O,X,X,O,X,X
LIOSJTZ,X,X,O,X,O,X,X
LIOSJZT,X,O,O,X,X,X,X
LIOSZTJ,O,O,X,X,O,X,X
LIOSZJT,O,O,O,X,X,X,X
LIOZTJS,O,X,X,X,O,X,X
LIOZTSJ,O,O,X,X,O,X,X
LIOZJTS,O,X,X,X,X,X,X
LIOZJST,O,O,X,X,X,X,X
LIOZSTJ,O,O,X,X,O,X,X
LIOZSJT,O,O,X,X,X,X,X
LJTISZO,X,X,O,O,X,X,O
LJTISOZ,X,X,O,O,X,X,O
LJTIZSO,X,X,O,X,X,X,X
LJTIZOS,X,X,O,X,X,X,O
LJTIOSZ,X,X,O,O,X,X,O
LJTIOZS,X,X,O,X,X,X,O
LJTSIZO,X,X,O,O,X,X,O
LJTSIOZ,X,X,O,O,X,X,O
LJTSZIO,X,X,O,O,X,X,O
LJTSZOI,X,X,O,O,X,X,O
LJTSOIZ,X,X,O,O,X,X,O
LJTSOZI,X,X,O,O,X,X,O
LJTZISO,X,X,O,X,X,X,X
LJTZIOS,X,X,O,X,X,X,O
LJTZSIO,X,X,O,O,X,X,X
LJTZSOI,X,X,O,O,X,X,X
LJTZOIS,X,X,O,X,X,X,O
LJTZOSI,X,X,O,O,X,X,O
LJTOISZ,X,X,O,O,X,X,O
LJTOIZS,X,X,O,X,X,X,O
LJTOSIZ,X,X,O,O,X,X,O
LJTOSZI,X,X,O,O,X,X,O
LJTOZIS,X,X,O,X,X,X,O
LJTOZSI,X,X,O,O,X,X,O
LJITSZO,X,X,O,O,O,X,O
LJITSOZ,X,X,O,O,O,X,O
LJITZSO,X,X,O,X,O,X,X
LJITZOS,X,X,O,X,O,X,O
LJITOSZ,X,X,O,O,O,X,O
LJITOZS,X,X,O,X,O,X,O
LJISTZO,X,X,O,O,O,O,X
LJISTOZ,X,X,O,O,O,O,X
LJISZTO,X,O,X,X,X,X,X
LJISZOT,X,O,X,O,X,X,X
LJISOTZ,X,X,O,O,O,O,X
LJISOZT,X,O,O,O,X,O,X
LJIZTSO,O,X,O,X,X,X,X
LJIZTOS,O,X,O,X,X,X,X
LJIZSTO,O,O,X,X,X,X,X
LJIZSOT,O,O,X,X,X,X,X
LJIZOTS,O,X,X,X,X,X,X
LJIZOST,O,O,O,O,X,X,X
LJIOTSZ,X,X,O,O,O,O,O
LJIOTZS,X,X,O,X,O,X,O
LJIOSTZ,X,X,O,O,O,O,X
LJIOSZT,X,O,O,O,X,O,X
LJIOZTS,O,X,X,X,X,X,X
LJIOZST,O,O,O,O,X,O,X
LJSTIZO,X,X,O,O,X,O,X
LJSTIOZ,X,X,O,O,X,O,X
LJSTZIO,X,X,O,O,X,O,X
LJSTZOI,X,X,O,O,X,X,X
LJSTOIZ,X,X,O,O,X,O,X
LJSTOZI,X,X,O,O,X,O,X
LJSITZO,X,X,O,O,O,O,X
LJSITOZ,X,X,O,O,O,O,X
LJSIZTO,X,O,X,X,X,X,X
LJSIZOT,X,O,X,O,X,X,X
LJSIOTZ,X,X,O,O,O,O,X
LJSIOZT,X,O,O,O,X,O,X
LJSZTIO,X,O,X,O,X,X,X
LJSZTOI,X,O,X,O,X,X,X
LJSZITO,X,O,X,X,X,X,X
LJSZIOT,X,O,X,O,X,X,X
LJSZOTI,X,O,X,O,X,X,X
LJSZOIT,X,O,X,O,X,X,X
LJSOTIZ,X,X,O,O,X,O,X
LJSOTZI,X,X,O,O,X,O,X
LJSOITZ,X,X,O,O,O,O,X
LJSOIZT,X,O,O,O,X,O,X
LJSOZTI,X,O,X,O,X,O,X
LJSOZIT,X,O,O,O,X,O,X
LJZTISO,O,X,O,X,X,X,X
LJZTIOS,O,X,O,X,X,X,X
LJZTSIO,O,X,O,O,X,X,X
LJZTSOI,O,X,O,O,X,X,X
LJZTOIS,O,X,O,X,X,X,X
LJZTOSI,O,X,O,O,X,X,X
LJZITSO,O,X,O,X,X,X,X
LJZITOS,O,X,O,X,X,X,X
LJZISTO,O,O,X,X,X,X,X
LJZISOT,O,O,X,X,X,X,X
LJZIOTS,O,X,X,X,X,X,X
LJZIOST,O,O,O,O,X,X,X
LJZSTIO,X,O,X,O,X,X,X
LJZSTOI,X,O,X,O,X,X,X
LJZSITO,X,O,X,X,X,X,X
LJZSIOT,X,O,X,O,X,X,X
LJZSOTI,X,O,X,O,X,X,X
LJZSOIT,X,O,X,O,X,X,X
LJZOTIS,O,X,O,X,X,X,X
LJZOTSI,O,X,O,O,X,X,X
LJZOITS,O,X,X,X,X,X,X
LJZOIST,O,O,O,O,X,X,X
LJZOSTI,X,O,X,O,X,X,X
LJZOSIT,X,O,O,O,X,X,X
LJOTISZ,X,X,O,O,X,O,O
LJOTIZS,X,X,O,X,X,X,O
LJOTSIZ,X,X,O,O,X,O,O
LJOTSZI,X,X,O,O,X,O,O
LJOTZIS,X,X,O,X,X,X,O
LJOTZSI,X,X,O,O,X,X,O
LJOITSZ,X,X,O,O,O,O,O
LJOITZS,X,X,O,X,O,X,O
LJOISTZ,X,X,O,O,O,O,X
LJOISZT,X,O,O,O,X,O,X
LJOIZTS,O,X,X,X,X,X,X
LJOIZST,O,O,O,O,X,O,X
LJOSTIZ,X,X,O,O,X,O,X
LJOSTZI,X,X,O,O,X,O,X
LJOSITZ,X,X,O,O,O,O,X
LJOSIZT,X,O,O,O,X,O,X
LJOSZTI,X,O,X,O,X,O,X
LJOSZIT,X,O,O,O,X,O,X
LJOZTIS,O,X,O,X,X,X,X
LJOZTSI,O,X,O,O,X,X,X
LJOZITS,O,X,X,X,X,X,X
LJOZIST,O,O,O,O,X,O,X
LJOZSTI,X,O,X,O,X,O,X
LJOZSIT,X,O,O,O,X,O,X
LSTIJZO,X,X,X,O,O,O,X
LSTIJOZ,X,X,X,O,O,O,X
LSTIZJO,X,O,X,O,O,X,X
LSTIZOJ,X,O,X,X,O,X,X
LSTIOJZ,X,X,X,O,O,X,X
LSTIOZJ,X,O,X,X,O,X,X
LSTJIZO,X,X,O,O,X,O,X
LSTJIOZ,X,X,O,O,X,O,X
LSTJZIO,X,X,O,O,X,O,X
LSTJZOI,X,X,O,O,X,X,X
LSTJOIZ,X,X,O,O,X,O,X
LSTJOZI,X,X,O,O,X,O,X
LSTZIJO,X,O,O,O,X,X,X
LSTZIOJ,X,O,O,X,X,X,X
LSTZJIO,X,O,O,O,X,O,X
LSTZJOI,X,O,O,O,X,X,X
LSTZOIJ,X,O,O,X,X,X,X
LSTZOJI,X,O,O,X,X,X,X
LSTOIJZ,X,X,O,O,O,O,X
LSTOIZJ,X,O,O,X,O,X,X
LSTOJIZ,X,X,O,O,X,O,X
LSTOJZI,X,X,O,O,X,O,X
LSTOZIJ,X,O,O,X,X,O,X
LSTOZJI,X,O,O,X,X,O,X
LSITJZO,X,X,X,O,O,X,X
