sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
TZJILOS,O,O,O,X,O
TZJISLO,X,X,O,O,O
TZJISOL,X,X,X,O,O
TZJIOLS,O,O,O,X,O
TZJIOSL,X,O,X,X,O
TZJLISO,X,X,O,O,O
TZJLIOS,O,O,O,X,O
TZJLSIO,O,X,O,O,O
TZJLSOI,O,X,O,O,O
TZJLOIS,O,O,O,X,O
TZJLOSI,O,O,O,X,O
TZJSILO,O,X,O,O,O
TZJSIOL,O,X,X,O,O
TZJSLIO,O,X,O,O,O
TZJSLOI,O,X,O,O,O
TZJSOIL,O,X,X,O,O
TZJSOLI,O,X,X,O,O
TZJOILS,O,O,O,X,O
TZJOISL,X,O,X,X,O
TZJOLIS,O,O,O,X,O
TZJOLSI,O,O,O,X,O
TZJOSIL,O,O,X,X,O
TZJOSLI,O,O,X,X,O
TZSILJO,O,X,O,O,O
TZSILOJ,O,X,O,O,O
TZSIJLO,O,X,O,O,O
TZSIJOL,O,X,X,O,O
TZSIOLJ,O,X,X,O,O
TZSIOJL,O,X,X,O,O
TZSLIJO,O,X,O,O,O
TZSLIOJ,O,X,O,O,O
TZSLJIO,O,X,O,O,O
TZSLJOI,O,X,O,O,O
TZSLOIJ,O,X,O,O,O
TZSLOJI,O,X,O,O,O
TZSJILO,O,X,O,O,O
TZSJIOL,O,X,X,O,O
TZSJLIO,O,X,O,O,O
TZSJLOI,O,X,O,O,O
TZSJOIL,O,X,X,O,O
TZSJOLI,O,X,X,O,O
TZSOILJ,O,X,X,O,O
TZSOIJL,O,X,X,O,O
TZSOLIJ,O,X,X,O,O
TZSOLJI,O,X,X,O,O
TZSOJIL,O,X,X,O,O
TZSOJLI,O,X,X,O,O
TZOILJS,O,O,O,X,O
TZOILSJ,X,O,O,X,O
TZOIJLS,O,O,O,X,O
TZOIJSL,X,O,X,X,O
TZOISLJ,X,O,X,X,O
TZOISJL,X,O,X,X,O
TZOLIJS,O,O,O,X,O
TZOLISJ,X,O,O,X,O
TZOLJIS,O,O,O,X,O
TZOLJSI,O,O,O,X,O
TZOLSIJ,O,O,O,X,O
TZOLSJI,O,O,O,X,O
TZOJILS,O,O,O,X,O
TZOJISL,X,O,X,X,O
TZOJLIS,O,O,O,X,O
TZOJLSI,O,O,O,X,O
TZOJSIL,O,O,X,X,O
TZOJSLI,O,O,X,X,O
TZOSILJ,O,O,X,X,O
TZOSIJL,O,O,X,X,O
TZOSLIJ,O,O,X,X,O
TZOSLJI,O,O,X,X,O
TZOSJIL,O,O,X,X,O
TZOSJLI,O,O,X,X,O
TOILJSZ,O,O,O,X,O
TOILJZS,O,O,O,X,O
TOILSJZ,O,O,O,X,O
TOILSZJ,O,O,O,X,O
TOILZJS,O,O,O,X,O
TOILZSJ,X,O,O,X,O
TOIJLSZ,O,O,O,X,O
TOIJLZS,O,O,O,X,O
TOIJSLZ,X,O,X,X,O
TOIJSZL,X,O,X,X,O
TOIJZLS,X,O,O,X,O
TOIJZSL,X,O,X,X,O
TOISLJZ,O,O,X,X,O
TOISLZJ,O,O,X,X,O
TOISJLZ,O,O,X,X,O
TOISJZL,O,O,X,X,O
TOISZLJ,O,O,X,X,O
TOISZJL,O,O,X,X,O
TOIZLJS,O,O,O,X,O
TOIZLSJ,X,O,O,X,O
TOIZJLS,O,O,O,X,O
TOIZJSL,X,O,X,X,O
TOIZSLJ,X,O,X,X,O
TOIZSJL,X,O,X,X,O
TOLIJSZ,O,O,O,X,O
TOLIJZS,O,O,O,X,O
TOLISJZ,O,O,O,X,O
TOLISZJ,O,O,O,X,O
TOLIZJS,O,O,O,X,O
TOLIZSJ,X,O,O,X,O
TOLJISZ,O,O,O,X,O
TOLJIZS,O,O,O,X,O
TOLJSIZ,O,O,O,X,O
TOLJSZI,O,O,O,X,O
TOLJZIS,O,O,O,X,O
TOLJZSI,O,O,O,X,O
TOLSIJZ,O,O,O,X,O
TOLSIZJ,O,O,O,X,O
TOLSJIZ,O,O,O,X,O
TOLSJZI,O,O,O,X,O
TOLSZIJ,O,O,O,X,O
TOLSZJI,O,O,O,X,O
TOLZIJS,O,O,O,X,O
TOLZISJ,X,O,O,X,O
TOLZJIS,O,O,O,X,O
TOLZJSI,O,O,O,X,O
