sequence,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFahBUdBFeB5?mBTnBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFxdB0hBliBX?hBmqBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBFeBThB6?nB8rBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jei7IvhFFdBXeBGhBT?nBxqBUrB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex9IvhF0gBlhB3iBT?lBOrBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgBunBi?mBTlB3rB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBThBliB8?rBCoBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFuhBliB3lB8?rBZmBCtB
ITZOLJS,X,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,X,X,X,X,X
ITZOJSL,O,X,X,X,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,O,X,X,X,X,X,X,X,O,X
ITZOSJL,X,X,O,X,X,X,X,X,X,X,O,O
ITOLJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLJZS,O,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOJLSZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOJLZS,O,O,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOJSZL,O,X,X,O,X,X,X,X,X,X,X,X
ITOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOJZSL,O,X,X,O,X,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZJL,O,X,X,O,X,X,X,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,X,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOZSJL,O,X,X,O,X,X,X,X,X,X,X,O
ILTJSZO,O,O,O,O,X,O,X,X,X,O,X,X
ILTJSOZ,O,O,O,O,X,O,X,X,X,X,X,X
ILTJZSO,O,O,O,O,X,O,X,X,X,O,X,X
ILTJZOS,X,O,O,X,X,X,X,X,X,O,X,X
ILTJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ILTJOZS,X,O,X,O,X,X,X,X,X,X,X,X
ILTSJZO,O,O,O,O,O,O,O,X,X,O,X,X
ILTSJOZ,X,O,O,O,O,O,X,X,X,X,X,X
ILTSZJO,O,X,O,O,X,X,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ILTSOJZ,X,O,O,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,O,X,X,X,O,X,X,X,X,X
ILTZJSO,O,O,O,X,X,O,X,X,X,X,X,X
ILTZJOS,X,O,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,O,X,X,X,O,O,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,O,X,X,X,X,X
ILTZOJS,X,O,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
ILTOJZS,X,O,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,X,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,X,O,X,O,X,X,X,X,X,X,X,X
ILTOZJS,X,O,X,O,X,X,X,X,X,X,X,X
ILTOZSJ,X,O,X,O,X,X,X,X,X,X,X,X
ILJTSZO,O,O,O,O,O,O,X,O,X,O,X,X
ILJTSOZ,O,O,O,O,O,O,X,X,X,X,X,X
ILJTZSO,O,O,O,O,O,O,X,O,X,O,X,X
ILJTZOS,X,O,O,X,X,X,X,O,X,O,X,X
ILJTOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ILJTOZS,X,O,X,O,X,X,X,X,X,X,X,X
ILJSTZO,O,O,O,O,O,O,O,O,O,O,X,X
ILJSTOZ,O,O,O,O,O,O,X,X,O,X,X,X
ILJSZTO,O,X,O,O,O,O,O,O,O,O,X,X
ILJSZOT,O,X,O,X,O,O,X,O,O,O,X,X
ILJSOTZ,O,O,O,O,O,O,X,X,O,X,X,X
ILJSOZT,O,X,X,O,O,O,X,X,O,X,X,X
ILJZTSO,O,O,O,O,O,O,X,O,X,O,X,X
ILJZTOS,X,O,O,X,X,X,X,O,X,O,X,X
ILJZSTO,O,X,O,O,O,O,O,O,X,O,X,X
ILJZSOT,O,X,O,X,O,O,X,O,X,O,X,X
ILJZOTS,X,O,O,O,X,X,X,O,X,O,X,X
ILJZOST,X,X,O,O,X,X,X,O,X,O,X,X
ILJOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJOTZS,O,O,X,O,X,X,X,X,X,X,X,X
ILJOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,O,O,X,O,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,O,O,O,O,O,O,O,X,X,O,X,X
ILSTJOZ,X,O,O,O,O,O,X,X,X,X,X,X
ILSTZJO,O,X,O,O,X,X,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ILSTOJZ,O,O,O,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,O,O,X,X,O,X,X,X,X,X
ILSJTZO,O,O,O,O,O,O,O,O,X,O,X,X
ILSJTOZ,X,O,O,O,O,O,X,X,X,X,X,X
ILSJZTO,O,X,O,O,O,O,O,O,X,O,X,X
ILSJZOT,X,X,O,X,O,O,X,O,X,O,X,X
ILSJOTZ,O,O,O,O,O,O,X,X,X,X,X,X
ILSJOZT,O,X,X,O,O,O,X,X,X,X,X,X
ILSZTJO,O,X,O,O,X,X,O,O,X,X,X,X
ILSZTOJ,O,X,O,X,X,X,O,X,X,X,X,X
ILSZJTO,O,X,O,O,O,X,O,X,X,X,X,X
ILSZJOT,X,X,O,X,O,X,X,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,X,O,X,X,X,X,X
ILSZOJT,O,X,O,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,O,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,O,O,X,X,O,X,X,X,X,X
ILSOJTZ,O,O,X,O,O,X,X,X,X,X,X,X
ILSOJZT,O,X,X,O,O,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X,O,X,X,X,X,X
ILSOZJT,O,X,X,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X,X,X,X,X,X
ILZTJOS,X,O,O,X,X,X,X,X,X,X,X,X
ILZTSJO,O,X,O,X,X,X,O,O,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,O,X,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILZJTSO,O,O,O,O,X,X,X,X,X,X,X,X
ILZJTOS,X,O,O,X,X,X,X,X,X,X,X,X
ILZJSTO,O,X,O,O,X,X,O,X,X,X,X,X
ILZJSOT,O,X,O,X,X,X,X,X,X,X,X,X
ILZJOTS,X,O,O,O,X,X,X,X,X,X,X,X
ILZJOST,X,X,O,O,X,X,X,X,X,X,X,X
ILZSTJO,O,X,O,O,X,X,O,O,X,X,X,X
ILZSTOJ,O,X,O,X,X,X,O,X,X,X,X,X
ILZSJTO,O,X,O,O,O,X,O,X,X,X,X,X
ILZSJOT,X,X,O,X,O,X,X,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,O,X,X,X,X,X
ILZSOJT,X,X,O,X,X,X,X,X,X,X,X,X
ILZOTJS,X,O,X,O,X,X,X,X,X,X,X,X
ILZOTSJ,X,O,O,O,X,X,X,X,X,X,X,X
ILZOJTS,X,O,X,O,X,X,X,X,X,X,X,X
ILZOJST,X,X,X,O,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,O,O,X,X,O,X,X,X,X,X
ILZOSJT,X,X,O,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTJZS,O,O,X,X,X,X,X,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJTSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJTZS,O,O,X,O,X,X,X,X,X,X,X,X
ILOJSTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,O,X,X,X,X,X
ILOSJTZ,O,O,X,O,O,X,X,X,X,X,X,X
ILOSJZT,O,X,X,O,O,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,O,X,X,O,X,X,X,X,X
ILOSZJT,O,X,X,O,X,X,X,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,O,X,X,X,X,X,X,X,X
ILOZJTS,O,O,X,O,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,O,X,X,O,X,X,X,X,X
ILOZSJT,O,X,X,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,O,O,O,X,X,O,X,X,X,X
IJTLSOZ,O,O,O,O,O,X,X,X,X,X,X,X
IJTLZSO,O,O,O,O,O,X,X,O,X,X,X,X
IJTLZOS,X,O,O,X,X,X,X,O,X,X,X,X
IJTLOSZ,X,O,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,O,X,O,X,X,X,X,X,X,X,X
IJTSLZO,O,O,O,O,O,X,X,X,O,X,X,X
IJTSLOZ,O,O,O,O,O,X,X,X,O,X,X,X
IJTSZLO,O,X,O,O,O,X,X,O,O,X,X,X
IJTSZOL,O,X,O,X,O,X,X,O,X,X,O,X
IJTSOLZ,O,O,O,O,O,X,X,X,X,X,X,X
IJTSOZL,O,X,O,X,O,X,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,X,O,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X,O,X,X,X,X
IJTZSLO,O,X,O,O,O,X,X,O,X,X,X,X
IJTZSOL,O,X,O,X,O,X,X,O,X,X,O,X
IJTZOLS,X,O,X,X,X,X,X,X,X,X,X,X
IJTZOSL,O,X,O,X,X,X,X,O,X,X,O,X
IJTOLSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTOLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJTOSZL,O,X,O,O,X,X,X,X,X,X,X,X
IJTOZLS,O,O,X,O,X,X,X,X,X,X,X,X
IJTOZSL,O,X,O,O,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,O,O,O,X,O,X,O,X,X
IJLTSOZ,O,O,O,O,O,O,X,X,X,X,X,X
IJLTZSO,O,O,O,O,O,O,X,O,X,O,X,X
IJLTZOS,X,O,O,X,X,X,X,O,X,O,X,X
IJLTOSZ,X,O,X,O,X,X,X,X,X,X,X,X
IJLTOZS,X,O,X,O,X,X,X,X,X,X,X,X
IJLSTZO,O,O,O,O,O,O,O,O,O,O,X,X
IJLSTOZ,O,O,O,O,O,O,X,X,O,X,X,X
IJLSZTO,O,X,O,O,O,O,O,O,O,O,X,X
IJLSZOT,O,X,O,X,O,O,X,O,O,O,X,X
IJLSOTZ,O,O,O,O,O,O,X,X,O,X,X,X
IJLSOZT,O,X,X,O,O,O,X,X,O,X,X,X
IJLZTSO,O,O,O,O,O,O,X,O,X,O,X,X
IJLZTOS,X,O,O,X,X,X,X,O,X,O,X,X
IJLZSTO,O,X,O,O,O,O,O,O,X,O,X,X
IJLZSOT,O,X,O,X,O,O,X,O,X,O,X,X
IJLZOTS,X,O,O,O,X,X,X,O,X,O,X,X
IJLZOST,X,X,O,O,X,X,X,O,X,O,X,X
IJLOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLOTZS,O,O,X,O,X,X,X,X,X,X,X,X
IJLOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,O,O,X,O,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,O,O,O,O,X,X,O,X,X,X
IJSTLOZ,O,O,O,O,O,O,X,X,O,X,X,X
IJSTZLO,O,X,O,O,O,O,O,O,O,X,X,X
IJSTZOL,O,X,O,X,O,X,O,O,X,X,O,X
IJSTOLZ,O,O,O,O,O,X,X,X,X,X,X,X
IJSTOZL,O,X,O,X,O,X,X,X,X,X,X,X
IJSLTZO,O,O,O,O,O,O,O,X,O,O,X,X
IJSLTOZ,O,O,O,O,O,O,X,X,O,X,X,X
IJSLZTO,O,X,O,O,O,O,O,X,O,O,X,X
IJSLZOT,O,X,O,X,O,O,X,X,O,O,X,X
IJSLOTZ,O,O,O,O,O,O,X,X,O,X,X,X
IJSLOZT,O,X,X,O,O,O,X,X,O,X,X,X
IJSZTLO,O,X,O,O,O,O,O,O,X,O,X,X
IJSZTOL,O,X,O,X,O,X,O,O,X,X,O,X
IJSZLTO,O,X,O,O,O,O,O,O,O,O,X,X
IJSZLOT,O,X,O,X,X,O,X,X,O,O,X,X
IJSZOTL,O,X,O,X,O,X,X,O,X,X,O,X
IJSZOLT,O,X,O,X,X,O,X,X,X,O,O,X
IJSOTLZ,O,O,O,O,O,X,X,X,X,X,X,X
IJSOTZL,O,X,O,O,O,X,X,X,X,X,X,X
IJSOLTZ,O,O,O,O,X,O,X,X,O,X,X,X
IJSOLZT,O,X,X,O,X,O,X,X,O,X,X,X
IJSOZTL,O,X,O,O,O,X,X,X,X,X,X,X
IJSOZLT,O,X,X,O,X,O,X,X,X,X,X,X
IJZTLSO,O,O,X,O,X,X,X,O,X,O,X,X
IJZTLOS,X,O,X,X,X,X,X,O,X,O,X,X
IJZTSLO,O,X,O,O,O,X,X,O,X,O,X,X
IJZTSOL,O,X,O,X,O,X,X,O,X,X,O,X
IJZTOLS,X,O,X,X,X,X,X,X,X,X,X,X
IJZTOSL,O,X,O,X,X,X,X,O,X,X,O,X
IJZLTSO,O,O,O,O,X,O,X,O,X,O,X,X
IJZLTOS,X,O,O,X,X,X,X,X,X,O,X,X
IJZLSTO,O,X,O,O,X,O,O,O,X,O,X,X
IJZLSOT,O,X,O,X,X,O,X,X,X,O,X,X
IJZLOTS,X,O,O,O,X,X,X,X,X,O,X,X
IJZLOST,X,X,O,O,X,X,X,X,X,O,X,X
IJZSTLO,O,X,O,O,O,O,O,O,X,O,X,X
IJZSTOL,O,X,O,X,O,X,O,O,X,X,O,X
IJZSLTO,O,X,O,O,O,O,O,O,O,O,X,X
IJZSLOT,O,X,O,X,X,O,X,X,O,O,X,X
IJZSOTL,O,X,O,X,O,X,X,O,X,X,O,X
IJZSOLT,O,X,O,X,X,O,X,X,X,O,O,X
IJZOTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJZOTSL,O,X,O,O,X,X,X,O,X,X,O,X
IJZOLTS,O,O,O,O,X,X,X,X,X,O,X,X
IJZOLST,O,X,O,O,X,X,X,X,X,O,X,X
IJZOSTL,O,X,O,O,X,X,X,O,X,X,O,X
IJZOSLT,O,X,O,O,X,X,X,X,X,O,O,X
IJOTLSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOTLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSZL,O,X,O,O,X,X,X,X,X,X,X,X
IJOTZLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTZSL,O,X,O,O,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOLTZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOLSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,O,X,O,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOSTZL,O,X,O,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X,O,X,X,X
IJOSLZT,O,X,X,O,X,X,X,X,O,X,X,X
IJOSZTL,O,X,X,O,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,O,X,X,X,X,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOZTSL,O,X,X,O,X,X,X,X,X,X,X,X
IJOZLTS,O,O,X,O,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,O,X,X,X,X,X,X,X,X
IJOZSTL,O,X,X,O,X,X,X,X,X,X,X,X
IJOZSLT,O,X,X,O,X,X,X,X,X,X,X,X
ISTLJZO,O,O,O,O,O,X,O,X,O,O,X,X
ISTLJOZ,O,O,O,O,O,X,X,X,O,X,X,X
ISTLZJO,O,X,O,O,X,X,O,O,O,X,X,X
ISTLZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ISTLOJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISTLOZJ,O,O,O,O,X,X,O,X,X,X,X,X
ISTJLZO,O,O,O,O,O,O,X,X,O,X,X,X
ISTJLOZ,O,O,O,O,O,O,X,X,O,X,X,X
ISTJZLO,O,X,O,O,O,O,O,O,O,X,X,X
ISTJZOL,O,X,O,X,O,X,O,O,X,X,O,X
ISTJOLZ,O,O,O,O,O,X,X,X,X,X,X,X
ISTJOZL,O,X,O,X,O,X,X,X,X,X,X,X
ISTZLJO,O,X,O,O,X,X,O,X,O,X,X,X
ISTZLOJ,O,X,O,X,X,X,O,X,X,X,X,X
ISTZJLO,O,X,O,O,X,X,O,X,O,X,X,X
ISTZJOL,O,X,O,X,X,X,O,X,X,X,O,X
ISTZOLJ,O,X,O,X,X,X,O,X,X,X,O,X
ISTZOJL,X,X,O,X,X,X,O,X,X,X,O,X
ISTOLJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,O,O,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,O,O,X,X,X,X,X,X,X,X
ISTOJZL,O,X,O,O,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,O,O,X,X,O,X,X,X,X,X
ISTOZJL,O,X,O,O,X,X,O,X,X,X,X,X
ISLTJZO,O,O,O,O,O,O,O,X,O,O,X,X
ISLTJOZ,O,O,O,O,O,O,X,X,O,X,X,X
ISLTZJO,O,X,O,O,X,X,O,O,O,X,X,X
ISLTZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ISLTOJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,O,O,X,X,O,X,X,X,X,X
ISLJTZO,O,O,O,O,O,O,O,O,O,O,X,X
ISLJTOZ,O,O,O,O,O,O,X,X,O,X,X,X
ISLJZTO,O,X,O,O,O,O,O,O,O,O,X,X
ISLJZOT,O,X,O,X,O,O,X,O,O,O,X,X
ISLJOTZ,O,O,O,O,O,O,X,X,O,X,X,X
ISLJOZT,O,X,X,O,O,O,X,X,O,X,X,X
ISLZTJO,O,X,O,O,X,X,O,O,O,X,X,X
ISLZTOJ,O,X,O,X,X,X,O,X,X,X,X,X
ISLZJTO,O,X,O,O,O,X,O,X,O,X,X,X
ISLZJOT,X,X,O,X,O,X,X,X,O,X,X,X
ISLZOTJ,O,X,O,X,X,X,O,X,X,X,X,X
ISLZOJT,O,X,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,O,O,X,X,O,X,X,X,X,X
ISLOJTZ,O,O,X,O,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,O,O,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,O,X,X,O,X,X,X,X,X
ISLOZJT,O,X,X,O,X,X,X,X,X,X,X,X
ISJTLZO,O,O,O,O,O,O,X,X,O,X,X,X
ISJTLOZ,O,O,O,O,O,O,X,X,O,X,X,X
ISJTZLO,O,X,O,O,O,O,O,O,O,X,X,X
ISJTZOL,O,X,O,X,O,X,O,O,X,X,O,X
ISJTOLZ,O,O,O,O,O,X,X,X,X,X,X,X
ISJTOZL,O,X,O,X,O,X,X,X,X,X,X,X
ISJLTZO,O,O,O,O,O,O,O,X,O,O,X,X
ISJLTOZ,O,O,O,O,O,O,X,X,O,X,X,X
ISJLZTO,O,X,O,O,O,O,O,X,O,O,X,X
ISJLZOT,O,X,O,X,O,O,X,X,O,O,X,X
ISJLOTZ,O,O,O,O,O,O,X,X,O,X,X,X
ISJLOZT,O,X,X,O,O,O,X,X,O,X,X,X
ISJZTLO,O,X,O,O,O,O,O,O,X,O,X,X
ISJZTOL,O,X,O,X,O,X,O,O,X,X,O,X
ISJZLTO,O,X,O,O,O,O,O,O,O,O,X,X
ISJZLOT,O,X,O,X,X,O,X,X,O,O,X,X
ISJZOTL,O,X,O,X,O,X,X,O,X,X,O,X
ISJZOLT,O,X,O,X,X,O,X,X,X,O,O,X
ISJOTLZ,O,O,O,O,O,X,X,X,X,X,X,X
ISJOTZL,O,X,O,O,O,X,X,X,X,X,X,X
ISJOLTZ,O,O,O,O,X,O,X,X,O,X,X,X
ISJOLZT,O,X,X,O,X,O,X,X,O,X,X,X
ISJOZTL,O,X,O,O,O,X,X,X,X,X,X,X
ISJOZLT,O,X,X,O,X,O,X,X,X,X,X,X
ISZTLJO,O,X,O,O,X,X,O,X,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,O,X,X,X,X,X
ISZTJLO,O,X,O,O,X,X,O,X,X,X,X,O
ISZTJOL,O,X,O,X,X,X,O,X,X,X,O,O
ISZTOLJ,O,X,O,X,X,X,O,X,X,X,O,X
ISZTOJL,X,X,O,X,X,X,O,X,X,X,O,O
ISZLTJO,O,X,O,O,X,X,O,X,X,X,X,X
ISZLTOJ,O,X,O,X,X,X,O,X,X,X,X,X
ISZLJTO,O,X,O,O,O,X,O,X,X,X,X,X
ISZLJOT,X,X,O,X,O,X,X,X,X,X,X,X
ISZLOTJ,O,X,O,X,X,X,O,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,O,O,O,O,O,X,X,X,X,O
ISZJTOL,O,X,O,X,O,X,O,X,X,X,O,O
ISZJLTO,O,X,O,O,O,O,O,X,X,X,X,X
ISZJLOT,O,X,O,X,X,O,X,X,X,X,X,X
ISZJOTL,O,X,O,X,O,X,X,X,X,X,O,O
ISZJOLT,O,X,O,X,X,O,X,X,X,X,O,X
ISZOTLJ,O,X,O,X,X,X,O,X,X,X,O,X
ISZOTJL,O,X,O,X,X,X,O,X,X,X,O,O
ISZOLTJ,O,X,O,X,X,X,O,X,X,X,O,X
ISZOLJT,O,X,O,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,O,X,X,X,X,X,X,X,O,O
ISZOJLT,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,O,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,O,O,X,X,X,X,X,X,X,X
ISOTJZL,O,X,O,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,O,X,X,O,X,X,X,X,X
ISOTZJL,O,X,O,O,X,X,O,X,X,X,X,X
ISOLTJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,O,O,X,X,O,X,X,X,X,X
ISOLJTZ,O,O,X,O,O,X,X,X,X,X,X,X
ISOLJZT,O,X,X,O,O,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,O,X,X,O,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,O,O,O,X,X,X,X,X,X,X
ISOJTZL,O,X,O,O,O,X,X,X,X,X,X,X
ISOJLTZ,O,O,O,O,X,O,X,X,X,X,X,X
ISOJLZT,O,X,X,O,X,O,X,X,X,X,X,X
ISOJZTL,O,X,O,O,O,X,X,X,X,X,X,X
ISOJZLT,O,X,X,O,X,O,X,X,X,X,X,X
ISOZTLJ,O,X,O,O,X,X,O,X,X,X,X,X
ISOZTJL,O,X,O,O,X,X,O,X,X,X,X,O
ISOZLTJ,O,X,X,O,X,X,O,X,X,X,X,X
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,O,X,X,X,X,X,X,X,O
ISOZJLT,O,X,X,O,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,X,X,X,X,X,X
IZTLJOS,X,O,X,X,X,X,X,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X,O,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,O,X,X,X,X,X
IZTLOJS,X,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,O,X,X,X,X,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSLO,O,X,O,X,X,X,X,X,X,X,X,O
IZTJSOL,O,X,O,X,X,X,X,X,X,X,O,O
IZTJOLS,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOSL,O,X,O,X,X,X,X,X,X,X,O,X
IZTSLJO,O,X,O,X,X,X,O,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,O,X,X,X,X,X
IZTSJLO,O,X,O,X,X,X,O,X,X,X,X,O
IZTSJOL,O,X,O,X,X,X,O,X,X,X,O,O
IZTSOLJ,O,X,O,X,X,X,O,X,X,X,O,X
IZTSOJL,X,X,O,X,X,X,O,X,X,X,O,O
IZTOLJS,X,O,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,O,X,X,X,X,X,X,X,O,X
