sequence,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBGeBqnB/?oBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBGjBlmBU?oBXsBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhF+hB0dB6jBV?tBzrB/sB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBCeB+oBl?mBXsB8sB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFUdB1mBXjBG?jBzrBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhF8iB+jB3hBF?iBzrBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBfjB6jBW?tBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBWjBXjBS?tBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBXeB+oB0?mBlnBSxB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcB3iB+oBF?jB0mBSxB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFTeBFiB0mBG?oB3sBCsB
ILJTZOS,X,X,X,X,X,O,X,O,X,O,X
ILJTOSZ,X,X,X,X,X,O,X,X,X,X,X
ILJTOZS,X,X,X,X,X,O,X,X,X,X,O
ILJSTZO,O,X,X,O,O,O,O,X,X,O,X
ILJSTOZ,X,X,X,O,X,X,X,X,X,O,O
ILJSZTO,O,X,X,X,X,O,O,O,X,O,O
ILJSZOT,O,X,X,X,X,O,O,X,X,O,O
ILJSOTZ,X,X,X,X,X,O,X,X,X,O,O
ILJSOZT,O,X,X,X,X,O,O,X,X,O,O
ILJZTSO,X,X,X,X,X,O,O,O,X,O,X
ILJZTOS,X,X,X,X,X,O,O,O,X,O,O
ILJZSTO,O,X,X,X,X,O,O,O,X,O,X
ILJZSOT,O,X,X,X,X,O,O,X,X,O,X
ILJZOTS,X,X,X,X,X,O,X,O,O,O,O
ILJZOST,X,X,X,X,X,O,X,X,X,O,X
ILJOTSZ,X,X,O,X,O,O,X,X,X,X,X
ILJOTZS,X,X,O,X,O,O,X,X,X,X,O
ILJOSTZ,X,X,X,X,X,O,X,X,X,O,O
ILJOSZT,X,X,X,X,X,O,X,X,X,O,O
ILJOZTS,X,X,X,X,X,O,X,O,X,O,O
ILJOZST,X,X,X,X,X,O,X,X,X,O,X
ILSTJZO,O,X,X,O,O,O,X,X,X,X,X
ILSTJOZ,X,X,X,O,X,X,X,X,X,X,X
ILSTZJO,O,O,X,X,O,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,O,X,X,X,X,X,X
ILSTOJZ,X,X,X,O,X,X,X,X,X,X,X
ILSTOZJ,X,O,X,X,O,X,X,X,X,X,X
ILSJTZO,O,X,X,O,O,O,X,X,X,O,X
ILSJTOZ,X,X,X,O,X,X,X,X,X,O,O
ILSJZTO,O,X,X,X,X,O,X,O,X,O,O
ILSJZOT,O,X,X,X,X,O,X,X,X,O,O
ILSJOTZ,X,X,X,X,X,O,X,X,X,O,O
ILSJOZT,O,X,X,X,X,O,X,X,X,O,O
ILSZTJO,O,O,X,X,O,X,X,O,X,X,O
ILSZTOJ,O,O,X,X,O,X,X,O,X,X,X
ILSZJTO,O,O,X,X,X,O,X,O,X,O,O
ILSZJOT,O,X,X,X,X,O,X,X,X,O,O
ILSZOTJ,O,X,X,X,X,X,X,X,X,X,X
ILSZOJT,O,X,X,X,X,X,X,X,X,O,X
ILSOTJZ,X,X,X,X,O,O,X,X,X,X,X
ILSOTZJ,X,X,X,X,O,X,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,O,X,X,X,X,X
ILSOJZT,O,X,X,X,X,O,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,X,X,X
ILSOZJT,O,X,X,X,X,O,X,X,X,X,X
ILZTJSO,X,O,X,X,O,X,X,O,X,O,X
ILZTJOS,X,X,X,X,X,X,X,O,X,O,O
ILZTSJO,O,X,X,X,O,X,X,O,X,X,X
ILZTSOJ,O,X,X,X,O,X,X,O,X,X,X
ILZTOJS,X,X,X,X,X,X,X,O,X,O,X
ILZTOSJ,X,X,X,X,O,X,X,O,X,X,X
ILZJTSO,X,O,X,X,X,O,O,O,X,O,X
ILZJTOS,X,X,X,X,X,O,O,O,X,O,O
ILZJSTO,O,O,X,X,X,O,O,O,X,O,X
ILZJSOT,O,X,X,X,X,O,O,X,X,O,X
ILZJOTS,X,X,X,X,X,O,X,O,O,O,O
ILZJOST,X,X,X,X,X,O,X,X,X,O,X
ILZSTJO,O,O,X,X,O,X,X,O,X,X,O
ILZSTOJ,O,O,X,X,O,X,X,O,X,X,X
ILZSJTO,O,O,X,X,X,O,X,O,X,O,O
ILZSJOT,O,X,X,X,X,O,X,X,X,O,O
ILZSOTJ,O,X,X,X,X,X,X,X,X,X,X
ILZSOJT,O,X,X,X,X,X,X,X,X,O,X
ILZOTJS,X,X,X,X,O,X,X,O,X,O,X
ILZOTSJ,X,X,X,X,O,X,X,O,X,X,X
ILZOJTS,X,X,X,X,X,O,X,O,O,O,X
ILZOJST,X,X,X,X,X,O,X,X,X,O,X
ILZOSTJ,O,X,X,X,X,X,X,X,X,X,X
ILZOSJT,O,X,X,X,X,O,X,X,X,O,X
ILOTJSZ,X,X,O,X,O,O,X,X,X,X,X
ILOTJZS,X,X,O,X,O,O,X,X,X,X,X
ILOTSJZ,X,X,O,X,O,O,X,X,X,X,X
ILOTSZJ,X,X,O,X,O,X,X,X,X,X,X
ILOTZJS,X,X,O,X,O,X,X,X,X,X,X
ILOTZSJ,X,X,O,X,O,X,X,X,X,X,X
ILOJTSZ,X,X,O,X,O,O,X,X,X,X,X
ILOJTZS,X,X,O,X,O,O,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,O,X,X,X,O,X
ILOJSZT,X,X,X,X,X,O,X,X,X,O,X
ILOJZTS,X,X,X,X,X,O,X,O,X,O,X
ILOJZST,X,X,X,X,X,O,X,X,X,O,X
ILOSTJZ,X,X,X,X,O,O,X,X,X,X,X
ILOSTZJ,X,X,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,O,X,X,X,X,X
ILOSJZT,O,X,X,X,X,O,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,X,X,O,X,X,X,X,X
ILOZTJS,X,X,X,X,O,X,X,O,X,O,X
ILOZTSJ,X,X,X,X,O,X,X,O,X,X,X
ILOZJTS,X,X,X,X,X,O,X,O,X,O,X
ILOZJST,X,X,X,X,X,O,X,X,X,O,X
ILOZSTJ,O,X,X,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,O,X,X,X,O,X
IJTLSZO,X,X,X,X,O,X,X,X,X,O,X
IJTLSOZ,X,X,X,X,X,X,X,X,X,O,X
IJTLZSO,X,X,X,X,O,X,X,X,X,O,X
IJTLZOS,X,X,X,X,X,X,X,X,X,O,X
IJTLOSZ,X,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,X,O,X,X,X,X,X,X,X,O
IJTSLZO,X,X,X,O,X,X,O,X,X,X,X
IJTSLOZ,X,X,X,O,X,X,X,X,X,X,O
IJTSZLO,X,O,X,O,X,X,O,X,X,X,O
IJTSZOL,X,O,X,O,X,X,O,X,X,X,O
IJTSOLZ,X,X,X,O,X,X,X,X,X,X,O
IJTSOZL,X,O,X,O,X,X,X,X,X,X,O
IJTZLSO,X,O,X,X,O,X,O,X,X,O,X
IJTZLOS,X,X,X,X,X,X,O,X,X,O,O
IJTZSLO,X,O,X,X,X,X,O,X,X,X,X
IJTZSOL,X,O,X,X,X,X,O,X,X,O,O
IJTZOLS,X,X,X,X,X,X,O,X,O,X,O
IJTZOSL,X,O,X,X,X,X,O,X,O,O,O
IJTOLSZ,X,X,O,X,X,X,X,X,X,X,X
IJTOLZS,X,X,O,X,X,X,X,X,X,X,O
IJTOSLZ,X,X,O,O,X,X,X,X,X,X,O
IJTOSZL,X,O,O,O,X,X,X,X,X,X,O
IJTOZLS,X,X,O,X,X,X,X,X,X,X,O
IJTOZSL,X,X,O,X,X,X,X,X,X,X,O
IJLTSZO,X,X,X,X,O,O,X,X,X,O,X
IJLTSOZ,X,X,X,X,X,X,X,X,X,O,X
IJLTZSO,X,X,X,X,O,O,X,O,X,O,X
IJLTZOS,X,X,X,X,X,O,X,O,X,O,X
IJLTOSZ,X,X,X,X,X,O,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O,X,X,X,X,O
IJLSTZO,O,X,X,O,O,O,O,X,X,O,X
IJLSTOZ,X,X,X,O,X,X,X,X,X,O,O
IJLSZTO,O,X,X,X,X,O,O,O,X,O,O
IJLSZOT,O,X,X,X,X,O,O,X,X,O,O
IJLSOTZ,X,X,X,X,X,O,X,X,X,O,O
IJLSOZT,O,X,X,X,X,O,O,X,X,O,O
IJLZTSO,X,X,X,X,X,O,O,O,X,O,X
IJLZTOS,X,X,X,X,X,O,O,O,X,O,O
IJLZSTO,O,X,X,X,X,O,O,O,X,O,X
IJLZSOT,O,X,X,X,X,O,O,X,X,O,X
IJLZOTS,X,X,X,X,X,O,X,O,O,O,O
IJLZOST,X,X,X,X,X,O,X,X,X,O,X
IJLOTSZ,X,X,O,X,O,O,X,X,X,X,X
IJLOTZS,X,X,O,X,O,O,X,X,X,X,O
IJLOSTZ,X,X,X,X,X,O,X,X,X,O,O
IJLOSZT,X,X,X,X,X,O,X,X,X,O,O
IJLOZTS,X,X,X,X,X,O,X,O,X,O,O
IJLOZST,X,X,X,X,X,O,X,X,X,O,X
IJSTLZO,O,X,X,O,X,X,O,X,X,X,X
IJSTLOZ,X,X,X,O,X,X,X,X,X,X,O
IJSTZLO,O,O,X,O,X,X,O,X,X,X,O
IJSTZOL,X,O,X,O,X,X,O,X,X,X,O
IJSTOLZ,X,X,X,O,X,X,X,X,X,X,O
IJSTOZL,X,O,X,O,X,X,X,X,X,X,O
IJSLTZO,O,X,X,O,X,O,O,X,X,O,X
IJSLTOZ,X,X,X,O,X,X,X,X,X,O,O
IJSLZTO,O,X,X,X,X,O,O,X,X,O,O
IJSLZOT,O,X,X,X,X,O,O,X,X,O,O
IJSLOTZ,X,X,X,X,X,X,X,X,X,O,O
IJSLOZT,O,X,X,X,X,O,O,X,X,O,O
IJSZTLO,O,O,X,O,X,X,O,X,X,X,O
IJSZTOL,X,O,X,O,X,X,O,X,X,O,O
IJSZLTO,O,O,X,X,X,X,O,X,X,O,O
IJSZLOT,O,X,X,X,X,X,O,X,X,O,O
IJSZOTL,X,O,X,X,X,X,O,X,O,O,O
IJSZOLT,O,X,X,X,X,X,O,X,X,O,O
IJSOTLZ,X,X,O,O,X,X,X,X,X,X,O
IJSOTZL,X,X,O,O,X,X,X,X,X,X,O
IJSOLTZ,X,X,X,X,X,O,X,X,X,X,O
IJSOLZT,O,X,X,X,X,O,O,X,X,X,O
IJSOZTL,X,X,X,X,X,X,O,X,X,X,O
IJSOZLT,O,X,X,X,X,X,O,X,X,X,O
IJZTLSO,X,O,X,X,X,X,O,X,X,O,X
IJZTLOS,X,X,X,X,X,X,O,X,X,O,O
IJZTSLO,X,O,X,X,X,X,O,X,X,X,X
IJZTSOL,X,O,X,X,X,X,O,X,X,O,O
IJZTOLS,X,X,X,X,X,X,O,X,O,X,O
IJZTOSL,X,O,X,X,X,X,O,X,O,O,O
IJZLTSO,X,O,X,X,X,X,O,O,X,O,X
IJZLTOS,X,X,X,X,X,X,O,O,X,O,O
IJZLSTO,O,O,X,X,X,X,O,O,X,O,X
IJZLSOT,O,X,X,X,X,X,O,X,X,O,X
IJZLOTS,X,X,X,X,X,X,X,O,O,O,O
IJZLOST,X,X,X,X,X,X,X,X,X,O,X
IJZSTLO,O,O,X,O,X,X,O,X,X,X,O
IJZSTOL,X,O,X,O,X,X,O,X,X,O,O
IJZSLTO,O,O,X,X,X,X,O,X,X,O,O
IJZSLOT,O,X,X,X,X,X,O,X,X,O,O
IJZSOTL,X,O,X,X,X,X,O,X,O,O,O
IJZSOLT,O,X,X,X,X,X,O,X,X,O,O
IJZOTLS,X,X,O,X,X,X,O,X,O,X,O
IJZOTSL,X,O,O,X,X,X,O,X,O,O,O
IJZOLTS,X,X,X,X,X,X,X,X,O,O,O
IJZOLST,X,X,X,X,X,X,X,X,X,O,X
IJZOSTL,X,O,X,X,X,X,O,X,O,O,O
IJZOSLT,X,X,X,X,X,X,O,X,X,O,O
IJOTLSZ,X,X,O,X,O,X,X,X,X,X,X
IJOTLZS,X,X,O,X,O,X,X,X,X,X,O
IJOTSLZ,X,X,O,X,X,X,X,X,X,X,O
IJOTSZL,X,X,O,X,X,X,X,X,X,X,O
IJOTZLS,X,X,O,X,O,X,X,X,X,X,O
IJOTZSL,X,X,O,X,X,X,X,X,X,X,O
IJOLTSZ,X,X,O,X,O,O,X,X,X,X,X
IJOLTZS,X,X,O,X,O,O,X,X,X,X,O
IJOLSTZ,X,X,X,X,X,O,X,X,X,O,O
IJOLSZT,X,X,X,X,X,O,X,X,X,O,O
IJOLZTS,X,X,X,X,X,O,X,X,X,O,O
IJOLZST,X,X,X,X,X,O,X,X,X,O,X
IJOSTLZ,X,X,O,O,X,X,X,X,X,X,O
IJOSTZL,X,X,O,O,X,X,X,X,X,X,O
IJOSLTZ,X,X,X,X,X,O,X,X,X,X,O
IJOSLZT,X,X,X,X,X,O,O,X,X,X,O
IJOSZTL,X,X,X,X,X,X,O,X,X,X,O
IJOSZLT,X,X,X,X,X,X,O,X,X,X,O
IJOZTLS,X,X,O,X,X,X,O,X,O,X,O
IJOZTSL,X,X,O,X,X,X,O,X,O,O,O
IJOZLTS,X,X,X,X,X,X,X,X,O,O,O
IJOZLST,X,X,X,X,X,X,X,X,X,O,X
IJOZSTL,X,X,X,X,X,X,O,X,O,O,O
IJOZSLT,X,X,X,X,X,X,O,X,X,O,O
ISTLJZO,O,X,X,O,O,O,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X,X,X,X
ISTLZJO,O,O,X,X,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,O,X,X,X,X,X,X
ISTLOJZ,X,X,O,O,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,X,O,X,X,X,X,X,X
ISTJLZO,O,X,X,O,X,X,X,X,X,X,X
ISTJLOZ,X,X,X,O,X,X,X,X,X,X,O
ISTJZLO,O,O,X,O,X,X,X,X,X,X,O
ISTJZOL,X,O,X,O,X,X,X,X,X,X,O
ISTJOLZ,X,X,X,O,X,X,X,X,X,X,O
ISTJOZL,X,O,X,O,X,X,X,X,X,X,O
ISTZLJO,O,O,X,X,O,X,X,X,X,X,O
ISTZLOJ,O,O,X,X,O,X,X,X,X,X,X
ISTZJLO,O,O,X,O,X,X,X,X,X,X,O
ISTZJOL,X,O,X,O,X,X,X,X,X,X,O
ISTZOLJ,X,O,X,X,X,X,X,X,X,X,X
ISTZOJL,X,O,X,O,X,X,X,X,X,X,O
ISTOLJZ,X,X,O,O,X,O,X,X,X,X,X
ISTOLZJ,X,O,O,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,O,O,X,X,X,X,X,X,X
ISTOJZL,X,O,O,O,X,X,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X,X,X
ISTOZJL,X,O,O,O,X,X,X,X,X,X,X
ISLTJZO,O,X,X,O,O,O,X,X,X,X,X
ISLTJOZ,X,X,X,O,X,X,X,X,X,X,X
ISLTZJO,O,O,X,X,O,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,O,X,X,X,X,X,X
ISLTOJZ,X,X,X,O,X,X,X,X,X,X,X
ISLTOZJ,X,O,X,X,O,X,X,X,X,X,X
ISLJTZO,O,X,X,O,O,O,X,X,X,O,X
ISLJTOZ,X,X,X,O,X,X,X,X,X,O,O
ISLJZTO,O,X,X,X,X,O,X,O,X,O,O
ISLJZOT,O,X,X,X,X,O,X,X,X,O,O
ISLJOTZ,X,X,X,X,X,O,X,X,X,O,O
ISLJOZT,O,X,X,X,X,O,X,X,X,O,O
ISLZTJO,O,O,X,X,O,X,X,O,X,X,O
ISLZTOJ,O,O,X,X,O,X,X,O,X,X,X
ISLZJTO,O,O,X,X,X,O,X,O,X,O,O
ISLZJOT,O,X,X,X,X,O,X,X,X,O,O
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X,X,X,O,X
ISLOTJZ,X,X,X,X,O,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,O,X,X,X,X,X
ISLOJZT,O,X,X,X,X,O,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,O,X,X,X,X,X
ISJTLZO,O,X,X,O,X,X,O,X,X,X,X
ISJTLOZ,X,X,X,O,X,X,X,X,X,X,O
ISJTZLO,O,O,X,O,X,X,O,X,X,X,O
ISJTZOL,X,O,X,O,X,X,O,X,X,X,O
ISJTOLZ,X,X,X,O,X,X,X,X,X,X,O
ISJTOZL,X,O,X,O,X,X,X,X,X,X,O
ISJLTZO,O,X,X,O,X,O,O,X,X,O,X
ISJLTOZ,X,X,X,O,X,X,X,X,X,O,O
ISJLZTO,O,X,X,X,X,O,O,X,X,O,O
ISJLZOT,O,X,X,X,X,O,O,X,X,O,O
ISJLOTZ,X,X,X,X,X,X,X,X,X,O,O
ISJLOZT,O,X,X,X,X,O,O,X,X,O,O
ISJZTLO,O,O,X,O,X,X,O,X,X,X,O
ISJZTOL,X,O,X,O,X,X,O,X,X,O,O
ISJZLTO,O,O,X,X,X,X,O,X,X,O,O
ISJZLOT,O,X,X,X,X,X,O,X,X,O,O
ISJZOTL,X,O,X,X,X,X,O,X,O,O,O
ISJZOLT,O,X,X,X,X,X,O,X,X,O,O
ISJOTLZ,X,X,O,O,X,X,X,X,X,X,O
ISJOTZL,X,X,O,O,X,X,X,X,X,X,O
ISJOLTZ,X,X,X,X,X,O,X,X,X,X,O
ISJOLZT,O,X,X,X,X,O,O,X,X,X,O
ISJOZTL,X,X,X,X,X,X,O,X,X,X,O
ISJOZLT,O,X,X,X,X,X,O,X,X,X,O
ISZTLJO,O,O,X,X,X,X,X,X,X,X,O
ISZTLOJ,O,O,X,X,X,X,X,X,X,X,X
ISZTJLO,O,O,X,O,X,X,X,X,X,X,O
ISZTJOL,X,O,X,O,X,X,X,X,X,X,O
ISZTOLJ,X,O,X,X,X,X,X,X,X,X,X
ISZTOJL,X,O,X,O,X,X,X,X,X,X,O
ISZLTJO,O,O,X,X,X,X,X,O,X,X,O
ISZLTOJ,O,O,X,X,X,X,X,O,X,X,X
ISZLJTO,O,O,X,X,X,O,X,O,X,O,O
ISZLJOT,O,X,X,X,X,O,X,X,X,O,O
ISZLOTJ,O,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,X,X,X,X,X,X,X,O,X
ISZJTLO,O,O,X,O,X,X,O,X,X,X,O
ISZJTOL,X,O,X,O,X,X,O,X,X,O,O
ISZJLTO,O,O,X,X,X,X,O,X,X,O,O
ISZJLOT,O,X,X,X,X,X,O,X,X,O,O
ISZJOTL,X,O,X,X,X,X,O,X,O,O,O
ISZJOLT,O,X,X,X,X,X,O,X,X,O,O
ISZOTLJ,X,O,X,X,X,X,X,X,X,X,X
ISZOTJL,X,O,X,X,X,X,X,X,X,X,O
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,O,X,X,X,X,X
ISZOJTL,X,O,X,X,X,X,X,X,O,O,O
ISZOJLT,O,X,X,X,X,X,X,X,X,O,O
ISOTLJZ,X,X,O,O,O,O,X,X,X,X,X
ISOTLZJ,X,O,O,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,O,O,X,X,X,X,X,X,X
ISOTJZL,X,O,O,O,X,X,X,X,X,X,X
ISOTZLJ,X,O,O,X,O,X,X,X,X,X,X
ISOTZJL,X,O,O,O,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,O,O,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,O,X,X,X,X,X
ISOLJZT,O,X,X,X,X,O,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,O,X,X,X,X,X
ISOJTLZ,X,X,O,O,X,X,X,X,X,X,O
ISOJTZL,X,X,O,O,X,X,X,X,X,X,O
ISOJLTZ,X,X,X,X,X,O,X,X,X,X,O
ISOJLZT,O,X,X,X,X,O,X,X,X,X,O
ISOJZTL,X,X,X,X,X,X,X,X,X,X,O
ISOJZLT,O,X,X,X,X,X,X,X,X,X,O
ISOZTLJ,X,O,X,X,X,X,X,X,X,X,X
ISOZTJL,X,O,X,X,X,X,X,X,X,X,O
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,O,X,X,X,X,X
ISOZJTL,X,O,X,X,X,X,X,X,X,X,O
ISOZJLT,O,X,X,X,X,X,X,X,X,X,O
IZTLJSO,X,O,X,X,O,X,X,O,X,O,X
IZTLJOS,X,X,X,X,X,X,X,O,X,O,O
IZTLSJO,O,X,X,X,O,X,X,O,X,X,X
IZTLSOJ,O,X,X,X,O,X,X,O,X,X,X
IZTLOJS,X,X,O,X,X,X,X,O,X,O,X
IZTLOSJ,X,X,O,X,O,X,X,O,X,X,X
IZTJLSO,X,O,X,X,O,X,O,X,X,O,X
IZTJLOS,X,X,X,X,X,X,O,X,X,O,O
IZTJSLO,X,O,X,X,X,X,O,X,X,X,X
IZTJSOL,X,O,X,X,X,X,O,X,X,O,O
IZTJOLS,X,X,X,X,X,X,O,X,O,X,O
IZTJOSL,X,O,X,X,X,X,O,X,O,O,O
IZTSLJO,O,O,X,X,O,X,X,X,X,X,O
IZTSLOJ,O,O,X,X,O,X,X,X,X,X,X
IZTSJLO,O,O,X,O,X,X,X,X,X,X,O
IZTSJOL,X,O,X,O,X,X,X,X,X,X,O
IZTSOLJ,X,O,X,X,X,X,X,X,X,X,X
IZTSOJL,X,O,X,O,X,X,X,X,X,X,O
IZTOLJS,X,X,O,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,O,X,O,X,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,X,O,X,O
IZTOJSL,X,O,O,X,X,X,X,X,O,O,O
IZTOSLJ,X,O,O,X,X,X,X,X,X,X,X
IZTOSJL,X,O,O,O,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,O,X,X,O,X,O,X
IZLTJOS,X,X,X,X,X,X,X,O,X,O,O
IZLTSJO,O,X,X,X,O,X,X,O,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,O,X,X,X
IZLTOJS,X,X,X,X,X,X,X,O,X,O,X
IZLTOSJ,X,X,X,X,O,X,X,O,X,X,X
IZLJTSO,X,O,X,X,X,O,O,O,X,O,X
IZLJTOS,X,X,X,X,X,O,O,O,X,O,O
IZLJSTO,O,O,X,X,X,O,O,O,X,O,X
IZLJSOT,O,X,X,X,X,O,O,X,X,O,X
IZLJOTS,X,X,X,X,X,O,X,O,O,O,O
IZLJOST,X,X,X,X,X,O,X,X,X,O,X
IZLSTJO,O,O,X,X,O,X,X,O,X,X,O
IZLSTOJ,O,O,X,X,O,X,X,O,X,X,X
IZLSJTO,O,O,X,X,X,O,X,O,X,O,O
IZLSJOT,O,X,X,X,X,O,X,X,X,O,O
IZLSOTJ,O,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,X,X,X,X,X,X,O,X
IZLOTJS,X,X,X,X,O,X,X,O,X,O,X
IZLOTSJ,X,X,X,X,O,X,X,O,X,X,X
IZLOJTS,X,X,X,X,X,O,X,O,O,O,X
IZLOJST,X,X,X,X,X,O,X,X,X,O,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,O,X,X,X,O,X
IZJTLSO,X,O,X,X,X,X,O,X,X,O,X
IZJTLOS,X,X,X,X,X,X,O,X,X,O,O
IZJTSLO,X,O,X,X,X,X,O,X,X,X,X
IZJTSOL,X,O,X,X,X,X,O,X,X,O,O
IZJTOLS,X,X,X,X,X,X,O,X,O,X,O
IZJTOSL,X,O,X,X,X,X,O,X,O,O,O
IZJLTSO,X,O,X,X,X,X,O,O,X,O,X
IZJLTOS,X,X,X,X,X,X,O,O,X,O,O
IZJLSTO,O,O,X,X,X,X,O,O,X,O,X
IZJLSOT,O,X,X,X,X,X,O,X,X,O,X
IZJLOTS,X,X,X,X,X,X,X,O,O,O,O
IZJLOST,X,X,X,X,X,X,X,X,X,O,X
IZJSTLO,O,O,X,O,X,X,O,X,X,X,O
IZJSTOL,X,O,X,O,X,X,O,X,X,O,O
IZJSLTO,O,O,X,X,X,X,O,X,X,O,O
IZJSLOT,O,X,X,X,X,X,O,X,X,O,O
IZJSOTL,X,O,X,X,X,X,O,X,O,O,O
IZJSOLT,O,X,X,X,X,X,O,X,X,O,O
IZJOTLS,X,X,O,X,X,X,O,X,O,X,O
IZJOTSL,X,O,O,X,X,X,O,X,O,O,O
IZJOLTS,X,X,X,X,X,X,X,X,O,O,O
IZJOLST,X,X,X,X,X,X,X,X,X,O,X
IZJOSTL,X,O,X,X,X,X,O,X,O,O,O
IZJOSLT,X,X,X,X,X,X,O,X,X,O,O
IZSTLJO,O,O,X,X,X,X,X,X,X,X,O
IZSTLOJ,O,O,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,O,X,X,X,X,X,X,O
IZSTJOL,X,O,X,O,X,X,X,X,X,X,O
IZSTOLJ,X,O,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,X,O,X,X,X,X,X,X,O
IZSLTJO,O,O,X,X,X,X,X,O,X,X,O
IZSLTOJ,O,O,X,X,X,X,X,O,X,X,X
IZSLJTO,O,O,X,X,X,O,X,O,X,O,O
IZSLJOT,O,X,X,X,X,O,X,X,X,O,O
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X,X,X,O,X
IZSJTLO,O,O,X,O,X,X,O,X,X,X,O
IZSJTOL,X,O,X,O,X,X,O,X,X,O,O
IZSJLTO,O,O,X,X,X,X,O,X,X,O,O
IZSJLOT,O,X,X,X,X,X,O,X,X,O,O
IZSJOTL,X,O,X,X,X,X,O,X,O,O,O
IZSJOLT,O,X,X,X,X,X,O,X,X,O,O
IZSOTLJ,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,X,O,X,X,X,X,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,O,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X,X,O,O,O
IZSOJLT,O,X,X,X,X,X,X,X,X,O,O
IZOTLJS,X,X,O,X,O,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,O,X,X,X,X,X,X
IZOTJLS,X,X,O,X,O,X,X,X,O,X,O
IZOTJSL,X,O,O,X,X,X,X,X,O,O,O
IZOTSLJ,X,X,O,X,O,X,X,X,X,X,X
IZOTSJL,X,X,O,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,X,O,X,X,O,X,O,X
IZOLTSJ,X,X,X,X,O,X,X,O,X,X,X
IZOLJTS,X,X,X,X,X,O,X,O,O,O,X
IZOLJST,X,X,X,X,X,O,X,X,X,O,X
IZOLSTJ,O,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,O,X,X,X,O,X
IZOJTLS,X,X,O,X,X,X,O,X,O,X,O
