sequence,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?igB0kBFmB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?OpB8pBFmBiqB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBckB?igBFmBzpBOpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBTfB?igBFmB0kB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFZkBUgB?amBlfBGhBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je+/IvhFKgBXeB?UhBZkBFmBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBamB?FlB0pBZkBGrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2AJvhFXeBTfB?xlBFmBipB0pB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFTfBxlB?OmBipBcqBlpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jem6IvhFXeBUhB?xkBTkBFmByuB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeO/IvhFXeBRgB?lgBcmBaqBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBUhB?6pBOqBZkBFrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBFmBipBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBaqBFmBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jei6IvhFXeBUhB?xkBzkBFmB2uB
JLOZITS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOZIST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOZSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOZSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSTILZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTIZLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSTIOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTIOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSTLZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSTLOIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTZILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSTZLIO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSTZLOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSTZOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTOIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTOLZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSITZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
JSITZOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
JSITOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSILZTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
JSILZOT,O,O,X,X,O,X,X,O,X,X,X,O,O,O,O
JSILOTZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSILOZT,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
JSIZTLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
JSIZTOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
JSIZLTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
JSIZLOT,O,O,X,X,O,X,X,O,X,O,X,O,O,O,O
JSIZOTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
JSIZOLT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
JSIOTLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOLZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSIOZTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
JSIOZLT,O,O,X,X,O,X,X,X,X,X,X,X,O,O,O
JSLTIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLTZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLTOIZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLITZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
JSLITOZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLIZTO,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X
JSLIZOT,O,O,X,X,O,X,X,O,X,O,O,O,O,X,O
JSLIOTZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSLIOZT,X,X,X,X,O,X,X,O,O,X,O,O,O,X,X
JSLZTIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLZTOI,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLZITO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JSLZIOT,O,X,X,X,O,X,X,X,X,O,X,O,O,X,O
JSLZOTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLZOIT,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOTIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSLOITZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSLOIZT,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JSLOZTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOZIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSZTILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZTLIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JSZTLOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JSZTOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZITLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZILTO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JSZILOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JSZIOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZLTIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSZLTOI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSZLITO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JSZLIOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JSZLOTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZLOIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZOTIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZOLTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZOLIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSOTILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOTLZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JSOTZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOILTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOILZT,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSOIZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSOIZLT,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
JSOLTIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLTZI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSOLITZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JSOLZTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSOLZIT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JSOZTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JSOZILT,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
JSOZLTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSOZLIT,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JZTILSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTIOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTIOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTLISO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTLIOS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTLSIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTLSOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTLOIS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTLOSI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTSILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTSLIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTSLOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZTSOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOLSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZITOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZITOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZILTSO,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZILTOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZILSTO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZILSOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JZILOTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JZILOST,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZISTLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZISLTO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZISLOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JZISOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZISOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZIOTLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZIOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZIOSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZIOSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZLTISO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLTIOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLTSIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLTSOI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLTOIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLTOSI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLITSO,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JZLITOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLISTO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZLISOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JZLIOTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JZLIOST,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZLSTIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLSTOI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLSITO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZLSIOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JZLSOTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLSOIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOTIS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOTSI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOITS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOIST,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOSTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOSIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZSTILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSTLIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZSTLOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZSTOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZSITLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSILTO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZSILOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JZSIOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZSIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZSLTIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZSLTOI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZSLITO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZSLIOT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O
JZSLOTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZSLOIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZSOTIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZSOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZSOLTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZSOLIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOTILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOITSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZOILTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOILST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZOISTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZOISLT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZOLTIS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLTSI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLITS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLIST,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLSTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLSIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOSTIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZOSILT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZOSLTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOSLIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOTILSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOTLIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOTLSZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTLZSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTSILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOTSLZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTSZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZISL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOITZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOILTSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILSZT,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOILZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZST,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOISTLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOISLTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOISLZT,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOISZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JOISZLT,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
JOIZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOIZTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JOIZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOIZLST,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
JOIZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JOIZSLT,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
JOLTISZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLTIZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLTSZI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOLTZIS,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOLTZSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOLITSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLITZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLISZT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOLIZTS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLIZST,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOLSTIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLSTZI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOLSITZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSIZT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOLSZTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLSZIT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOLZTIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLZTSI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLZITS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLZIST,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOLZSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLZSIT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOSTILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOSTLZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSTZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOSILTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSILZT,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOSIZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JOSIZLT,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
JOSLTIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOSLTZI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOSLITZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLIZT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOSLZTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSLZIT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOSZTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JOSZILT,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
JOSZLTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSZLIT,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOZTILS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTISL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZTLSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZITLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
