sequence,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFxbB/iBGeBq?lBlmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFlbBGeBxhBz?lBCnB3rB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhF3bBGeBxhBU?iBCmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFShB/iBGeBR?mBllBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFXcBViBGeB6?lBxmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeBxgBTiBC?mB3mBUrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeB0gBxhBC?nBzlB3rB
IZTJOSL,X,O,X,X,O,X,X
IZTSLJO,X,X,X,X,O,X,X
IZTSLOJ,X,X,X,X,X,X,X
IZTSJLO,O,X,X,X,O,X,O
IZTSJOL,X,X,X,O,O,X,X
IZTSOLJ,X,X,X,O,X,X,X
IZTSOJL,X,X,X,O,O,X,X
IZTOLJS,X,O,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X
IZTOJLS,X,O,X,X,X,O,O
IZTOJSL,X,O,X,X,O,X,X
IZTOSLJ,X,X,X,X,X,X,X
IZTOSJL,X,O,X,X,O,X,X
IZLTJSO,O,X,X,X,O,X,O
IZLTJOS,X,X,X,X,X,X,O
IZLTSJO,O,X,X,O,O,X,O
IZLTSOJ,O,X,X,X,X,X,X
IZLTOJS,X,X,X,X,X,O,O
IZLTOSJ,O,X,X,X,X,X,X
IZLJTSO,O,X,X,X,O,X,O
IZLJTOS,X,X,X,X,X,X,O
IZLJSTO,O,X,X,O,X,X,O
IZLJSOT,O,X,X,O,X,X,X
IZLJOTS,X,O,X,X,X,X,O
IZLJOST,X,O,X,X,X,X,X
IZLSTJO,O,X,X,O,X,X,O
IZLSTOJ,O,X,X,X,X,X,X
IZLSJTO,O,X,X,O,X,X,O
IZLSJOT,O,X,X,O,X,X,X
IZLSOTJ,X,X,X,O,X,X,X
IZLSOJT,O,X,X,O,X,X,X
IZLOTJS,X,O,X,X,X,O,O
IZLOTSJ,O,O,X,X,X,X,X
IZLOJTS,X,O,X,X,X,O,O
IZLOJST,X,O,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X
IZLOSJT,O,O,X,O,X,X,X
IZJTLSO,X,X,X,X,O,X,O
IZJTLOS,X,X,X,X,X,X,O
IZJTSLO,X,X,X,X,O,X,O
IZJTSOL,X,X,X,X,O,X,X
IZJTOLS,X,O,X,X,X,X,O
IZJTOSL,X,O,X,X,O,X,X
IZJLTSO,O,X,X,X,O,X,O
IZJLTOS,X,X,X,X,X,X,O
IZJLSTO,O,X,X,O,X,X,O
IZJLSOT,O,X,X,O,X,X,X
IZJLOTS,X,O,X,X,X,X,O
IZJLOST,X,O,X,X,X,X,X
IZJSTLO,O,X,X,X,O,X,O
IZJSTOL,X,X,X,O,O,X,X
IZJSLTO,O,X,X,X,X,X,X
IZJSLOT,O,X,X,O,X,X,X
IZJSOTL,X,X,X,O,X,X,X
IZJSOLT,O,X,X,O,X,X,X
IZJOTLS,X,O,X,X,O,X,O
IZJOTSL,X,O,X,X,O,X,X
IZJOLTS,X,O,X,X,O,X,X
IZJOLST,X,O,X,X,X,X,X
IZJOSTL,X,O,X,O,O,X,X
IZJOSLT,X,X,X,O,X,X,X
IZSTLJO,X,X,X,X,O,X,X
IZSTLOJ,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,O,X,O
IZSTJOL,X,X,X,O,O,X,X
IZSTOLJ,X,X,X,O,X,X,X
IZSTOJL,X,X,X,O,O,X,X
IZSLTJO,O,X,X,O,X,X,X
IZSLTOJ,O,X,X,X,X,X,X
IZSLJTO,O,X,X,O,X,X,X
IZSLJOT,O,X,X,O,X,X,X
IZSLOTJ,X,X,X,O,X,X,X
IZSLOJT,O,X,X,O,X,X,X
IZSJTLO,O,X,X,X,O,X,O
IZSJTOL,X,X,X,O,O,X,X
IZSJLTO,O,X,X,X,X,X,X
IZSJLOT,O,X,X,O,X,X,X
IZSJOTL,X,X,X,O,X,X,X
IZSJOLT,O,X,X,O,X,X,X
IZSOTLJ,X,X,X,O,X,X,X
IZSOTJL,X,X,X,O,X,X,X
IZSOLTJ,X,X,X,O,X,X,X
IZSOLJT,X,X,X,O,X,X,X
IZSOJTL,X,X,X,O,X,X,X
IZSOJLT,O,X,X,O,X,X,X
IZOTLJS,X,O,X,X,O,X,X
IZOTLSJ,X,O,X,O,O,X,X
IZOTJLS,X,O,X,X,O,O,O
IZOTJSL,X,O,X,X,O,X,X
IZOTSLJ,X,X,X,O,O,X,X
IZOTSJL,X,O,X,O,O,X,X
IZOLTJS,X,O,X,X,O,X,X
IZOLTSJ,O,O,X,O,O,X,X
IZOLJTS,X,O,X,X,O,X,X
IZOLJST,X,O,X,O,X,X,X
IZOLSTJ,X,O,X,O,X,X,X
IZOLSJT,O,O,X,O,X,X,X
IZOJTLS,X,O,X,X,O,O,O
IZOJTSL,X,O,X,X,O,X,X
IZOJLTS,X,O,X,X,O,X,X
IZOJLST,X,O,X,O,X,X,X
IZOJSTL,X,O,X,O,O,X,X
IZOJSLT,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,O,O,X,X
IZOSTJL,X,O,X,O,O,X,X
IZOSLTJ,X,X,X,O,X,X,X
IZOSLJT,X,X,X,O,X,X,X
IZOSJTL,X,O,X,O,O,X,X
IZOSJLT,O,X,X,O,X,X,X
IOTLJSZ,X,O,O,X,O,O,X
IOTLJZS,X,O,O,X,O,O,X
IOTLSJZ,X,O,O,O,O,O,X
IOTLSZJ,X,O,O,O,O,X,X
IOTLZJS,X,O,O,X,O,O,X
IOTLZSJ,X,O,O,O,O,X,X
IOTJLSZ,X,O,O,X,O,O,X
IOTJLZS,X,O,O,X,O,O,X
IOTJSLZ,X,X,O,X,O,O,X
IOTJSZL,X,O,X,X,O,X,X
IOTJZLS,X,O,X,X,O,O,X
IOTJZSL,X,O,X,X,O,X,X
IOTSLJZ,X,X,O,O,O,X,X
IOTSLZJ,X,X,O,O,O,X,X
IOTSJLZ,X,X,O,O,O,O,X
IOTSJZL,X,O,X,O,O,X,X
IOTSZLJ,X,X,X,O,O,X,X
IOTSZJL,X,O,X,O,O,X,X
IOTZLJS,X,O,X,X,O,X,X
IOTZLSJ,X,O,X,O,O,X,X
IOTZJLS,X,O,X,X,O,O,X
IOTZJSL,X,O,X,X,O,X,X
IOTZSLJ,X,X,X,O,O,X,X
IOTZSJL,X,O,X,O,O,X,X
IOLTJSZ,X,O,O,X,O,O,X
IOLTJZS,X,O,O,X,O,O,X
IOLTSJZ,X,O,O,O,O,O,X
IOLTSZJ,X,O,O,O,O,X,X
IOLTZJS,X,O,O,X,O,O,X
IOLTZSJ,X,O,O,O,O,X,X
IOLJTSZ,X,O,O,X,O,O,X
IOLJTZS,X,O,O,X,O,O,X
IOLJSTZ,X,O,O,O,X,O,X
IOLJSZT,X,O,O,O,X,X,X
IOLJZTS,X,O,O,X,O,O,X
IOLJZST,X,O,O,O,X,X,X
IOLSTJZ,X,O,O,O,X,O,X
IOLSTZJ,X,O,O,O,X,X,X
IOLSJTZ,X,O,O,O,X,O,X
IOLSJZT,X,O,O,O,X,X,X
IOLSZTJ,X,O,O,O,X,X,X
IOLSZJT,X,O,O,O,X,X,X
IOLZTJS,X,O,O,X,O,O,X
IOLZTSJ,X,O,O,O,O,X,X
IOLZJTS,X,O,O,X,O,O,X
IOLZJST,X,O,O,O,X,X,X
IOLZSTJ,X,O,O,O,X,X,X
IOLZSJT,X,O,O,O,X,X,X
IOJTLSZ,X,O,O,X,O,O,X
IOJTLZS,X,O,O,X,O,O,X
IOJTSLZ,X,X,O,X,O,O,X
IOJTSZL,X,O,X,X,O,X,X
IOJTZLS,X,O,X,X,O,O,X
IOJTZSL,X,O,X,X,O,X,X
IOJLTSZ,X,O,O,X,O,O,X
IOJLTZS,X,O,O,X,O,O,X
IOJLSTZ,X,O,O,O,X,O,X
IOJLSZT,X,O,O,O,X,X,X
IOJLZTS,X,O,O,X,O,O,X
IOJLZST,X,O,O,O,X,X,X
IOJSTLZ,X,X,O,O,O,O,X
IOJSTZL,X,O,X,O,O,X,X
IOJSLTZ,X,X,O,O,X,X,X
IOJSLZT,X,X,O,O,X,X,X
IOJSZTL,X,O,X,O,O,X,X
IOJSZLT,X,X,X,O,X,X,X
IOJZTLS,X,O,X,X,O,O,X
IOJZTSL,X,O,X,X,O,X,X
IOJZLTS,X,O,X,X,O,X,X
IOJZLST,X,O,X,O,X,X,X
IOJZSTL,X,O,X,O,O,X,X
IOJZSLT,X,X,X,O,X,X,X
IOSTLJZ,X,X,O,O,O,X,X
IOSTLZJ,X,X,O,O,O,X,X
IOSTJLZ,X,X,O,O,O,O,X
IOSTJZL,X,O,X,O,O,X,X
IOSTZLJ,X,X,X,O,O,X,X
IOSTZJL,X,O,X,O,O,X,X
IOSLTJZ,X,X,O,O,X,X,X
IOSLTZJ,X,X,O,O,X,X,X
IOSLJTZ,X,X,O,O,X,X,X
IOSLJZT,X,X,O,O,X,X,X
IOSLZTJ,X,X,O,O,X,X,X
IOSLZJT,X,X,O,O,X,X,X
IOSJTLZ,X,X,O,O,O,O,X
IOSJTZL,X,O,X,O,O,X,X
IOSJLTZ,X,X,O,O,X,X,X
IOSJLZT,X,X,O,O,X,X,X
IOSJZTL,X,O,X,O,O,X,X
IOSJZLT,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,O,O,X,X
IOSZTJL,X,O,X,O,O,X,X
IOSZLTJ,X,X,X,O,X,X,X
IOSZLJT,X,X,X,O,X,X,X
IOSZJTL,X,O,X,O,O,X,X
IOSZJLT,X,X,X,O,X,X,X
IOZTLJS,X,O,X,X,O,X,X
IOZTLSJ,X,O,X,O,O,X,X
IOZTJLS,X,O,X,X,O,O,X
IOZTJSL,X,O,X,X,O,X,X
IOZTSLJ,X,X,X,O,O,X,X
IOZTSJL,X,O,X,O,O,X,X
IOZLTJS,X,O,X,X,O,X,X
IOZLTSJ,X,O,X,O,O,X,X
IOZLJTS,X,O,X,X,O,X,X
IOZLJST,X,O,X,O,X,X,X
IOZLSTJ,X,O,X,O,X,X,X
IOZLSJT,X,O,X,O,X,X,X
IOZJTLS,X,O,X,X,O,O,X
IOZJTSL,X,O,X,X,O,X,X
IOZJLTS,X,O,X,X,O,X,X
IOZJLST,X,O,X,O,X,X,X
IOZJSTL,X,O,X,O,O,X,X
IOZJSLT,X,X,X,O,X,X,X
IOZSTLJ,X,X,X,O,O,X,X
IOZSTJL,X,O,X,O,O,X,X
IOZSLTJ,X,X,X,O,X,X,X
IOZSLJT,X,X,X,O,X,X,X
IOZSJTL,X,O,X,O,O,X,X
IOZSJLT,X,X,X,O,X,X,X
LTIJSZO,O,X,O,X,X,X,O
LTIJSOZ,O,X,O,X,X,X,X
LTIJZSO,O,X,O,X,X,X,O
LTIJZOS,X,X,X,X,X,X,O
LTIJOSZ,X,X,O,X,X,O,X
LTIJOZS,X,X,X,X,X,O,O
LTISJZO,O,X,O,X,X,X,O
LTISJOZ,O,X,O,X,X,X,X
LTISZJO,O,X,O,X,X,X,O
LTISZOJ,O,X,X,X,X,X,X
LTISOJZ,O,X,O,X,X,O,X
LTISOZJ,O,X,X,X,X,X,X
LTIZJSO,O,X,O,X,X,X,O
LTIZJOS,X,X,X,X,X,X,O
LTIZSJO,O,X,O,X,X,X,O
LTIZSOJ,O,X,X,X,X,X,X
LTIZOJS,X,X,X,X,X,O,O
LTIZOSJ,O,X,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,O,X
LTIOJZS,X,X,X,X,X,O,O
LTIOSJZ,O,X,O,X,X,O,X
LTIOSZJ,O,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,O,O
LTIOZSJ,O,X,X,X,X,X,X
LTJISZO,O,X,O,X,X,X,O
LTJISOZ,O,X,O,X,X,X,X
LTJIZSO,O,X,O,X,X,X,O
LTJIZOS,X,X,X,X,X,X,O
LTJIOSZ,X,X,O,X,X,O,X
LTJIOZS,X,X,X,X,X,O,O
LTJSIZO,O,X,O,X,X,X,O
LTJSIOZ,O,X,O,X,X,X,X
LTJSZIO,O,X,O,X,X,X,O
LTJSZOI,O,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,X
LTJSOZI,O,X,O,X,X,X,X
LTJZISO,O,X,O,X,X,X,O
LTJZIOS,X,X,X,X,X,X,O
LTJZSIO,O,X,O,X,X,X,O
LTJZSOI,O,X,X,X,X,X,X
LTJZOIS,X,O,X,X,X,X,O
LTJZOSI,X,O,X,X,X,X,X
LTJOISZ,X,O,O,X,X,O,X
LTJOIZS,X,O,O,X,X,O,O
LTJOSIZ,X,O,O,X,X,O,X
LTJOSZI,X,O,O,X,X,X,X
LTJOZIS,X,O,O,X,X,O,O
LTJOZSI,X,O,O,X,X,X,X
LTSIJZO,O,X,O,X,X,X,O
LTSIJOZ,O,X,O,X,X,X,X
LTSIZJO,O,X,O,X,X,X,O
LTSIZOJ,O,X,X,X,X,X,X
LTSIOJZ,O,X,O,X,X,O,X
LTSIOZJ,O,X,X,X,X,X,X
LTSJIZO,O,X,O,X,X,X,O
LTSJIOZ,O,X,O,X,X,X,X
LTSJZIO,O,X,O,X,X,X,O
LTSJZOI,O,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X
LTSJOZI,O,X,O,X,X,X,X
LTSZIJO,O,X,O,X,X,X,O
LTSZIOJ,O,X,X,X,X,X,X
LTSZJIO,O,X,O,X,X,X,O
LTSZJOI,O,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,X,X
LTSZOJI,O,X,X,X,X,X,X
LTSOIJZ,O,X,O,X,X,O,X
LTSOIZJ,O,X,O,X,X,X,X
LTSOJIZ,O,X,O,X,X,O,X
LTSOJZI,O,X,O,X,X,X,X
LTSOZIJ,O,X,O,X,X,X,X
LTSOZJI,O,X,O,X,X,X,X
LTZIJSO,O,X,O,X,X,X,O
LTZIJOS,X,X,X,X,X,X,O
LTZISJO,O,X,O,X,X,X,O
LTZISOJ,O,X,X,X,X,X,X
LTZIOJS,X,X,X,X,X,O,O
LTZIOSJ,O,X,X,X,X,X,X
LTZJISO,O,X,O,X,X,X,O
LTZJIOS,X,X,X,X,X,X,O
LTZJSIO,O,X,O,X,X,X,O
LTZJSOI,O,X,X,X,X,X,X
LTZJOIS,X,O,X,X,X,X,O
LTZJOSI,X,O,X,X,X,X,X
LTZSIJO,O,X,O,X,X,X,O
LTZSIOJ,O,X,X,X,X,X,X
LTZSJIO,O,X,O,X,X,X,O
LTZSJOI,O,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X,X
LTZOIJS,X,O,X,X,X,O,O
LTZOISJ,O,O,X,X,X,X,X
LTZOJIS,X,O,X,X,X,O,O
LTZOJSI,X,O,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X
LTOIJSZ,X,O,O,X,X,O,X
LTOIJZS,X,O,O,X,X,O,O
LTOISJZ,O,O,O,X,X,O,X
LTOISZJ,O,O,O,X,X,X,X
LTOIZJS,X,O,O,X,X,O,O
LTOIZSJ,O,O,O,X,X,X,X
LTOJISZ,X,O,O,X,X,O,X
LTOJIZS,X,O,O,X,X,O,O
LTOJSIZ,X,O,O,X,X,O,X
LTOJSZI,X,O,O,X,X,X,X
LTOJZIS,X,O,O,X,X,O,O
LTOJZSI,X,O,O,X,X,X,X
LTOSIJZ,O,O,O,X,X,O,X
LTOSIZJ,O,O,O,X,X,X,X
LTOSJIZ,O,O,O,X,X,O,X
LTOSJZI,O,O,O,X,X,X,X
LTOSZIJ,O,O,O,X,X,X,X
LTOSZJI,O,O,O,X,X,X,X
LTOZIJS,X,O,O,X,X,O,O
LTOZISJ,O,O,O,X,X,X,X
LTOZJIS,X,O,O,X,X,O,O
LTOZJSI,X,O,O,X,X,X,X
LTOZSIJ,O,O,O,X,X,X,X
LTOZSJI,O,O,O,X,X,X,X
LITJSZO,O,X,O,X,O,X,O
LITJSOZ,O,X,O,X,X,X,X
LITJZSO,O,X,O,X,O,X,O
LITJZOS,X,X,X,X,X,X,O
LITJOSZ,X,X,O,X,X,O,X
LITJOZS,X,X,X,X,X,O,O
LITSJZO,O,X,O,O,O,X,O
LITSJOZ,O,X,O,X,X,X,X
LITSZJO,O,X,O,O,O,X,O
LITSZOJ,O,X,X,X,X,X,X
LITSOJZ,O,X,O,X,X,O,X
LITSOZJ,O,X,X,X,X,X,X
LITZJSO,O,X,O,X,O,X,O
LITZJOS,X,X,X,X,X,X,O
LITZSJO,O,X,O,O,O,X,O
LITZSOJ,O,X,X,X,X,X,X
LITZOJS,X,X,X,X,X,O,O
LITZOSJ,O,X,X,X,X,X,X
LITOJSZ,X,X,O,X,X,O,X
LITOJZS,X,X,X,X,X,O,O
LITOSJZ,O,X,O,X,X,O,X
LITOSZJ,O,X,X,X,X,X,X
LITOZJS,X,X,X,X,X,O,O
LITOZSJ,O,X,X,X,X,X,X
LIJTSZO,O,X,O,X,O,X,O
LIJTSOZ,O,X,O,X,X,X,X
LIJTZSO,O,X,O,X,O,X,O
LIJTZOS,X,X,X,X,X,X,O
LIJTOSZ,X,X,O,X,X,O,X
LIJTOZS,X,X,X,X,X,O,O
LIJSTZO,O,X,O,O,X,X,O
LIJSTOZ,O,X,O,X,X,X,X
LIJSZTO,O,X,O,O,X,X,O
LIJSZOT,O,X,X,O,X,X,X
LIJSOTZ,X,X,O,X,X,X,X
LIJSOZT,O,X,X,O,X,X,X
LIJZTSO,O,X,O,X,O,X,O
LIJZTOS,X,X,X,X,X,X,O
LIJZSTO,O,X,O,O,X,X,O
LIJZSOT,O,X,X,O,X,X,X
LIJZOTS,X,O,X,X,X,X,O
LIJZOST,X,O,X,X,X,X,X
LIJOTSZ,X,O,O,X,X,O,X
LIJOTZS,X,O,X,X,X,O,O
LIJOSTZ,X,O,O,X,X,O,X
LIJOSZT,X,O,X,X,X,X,X
LIJOZTS,X,O,X,X,X,O,O
LIJOZST,X,O,X,X,X,X,X
LISTJZO,O,X,O,O,X,X,O
LISTJOZ,O,X,O,X,X,X,X
LISTZJO,O,X,O,O,X,X,O
LISTZOJ,O,X,X,X,X,X,X
LISTOJZ,O,X,O,X,X,O,X
LISTOZJ,O,X,X,X,X,X,X
LISJTZO,O,X,O,O,X,X,O
LISJTOZ,O,X,O,X,X,X,X
LISJZTO,O,X,O,O,X,X,O
LISJZOT,O,X,X,O,X,X,X
LISJOTZ,X,X,O,O,X,X,X
LISJOZT,O,X,X,O,X,X,X
LISZTJO,O,X,O,O,X,X,O
LISZTOJ,O,X,X,X,X,X,X
LISZJTO,O,X,O,O,X,X,O
LISZJOT,O,X,X,O,X,X,X
LISZOTJ,X,X,X,O,X,X,X
LISZOJT,O,X,X,O,X,X,X
LISOTJZ,X,X,O,O,X,O,X
LISOTZJ,X,X,X,O,X,X,X
LISOJTZ,X,X,O,O,X,O,X
LISOJZT,O,X,X,O,X,X,X
LISOZTJ,X,X,X,O,X,X,X
LISOZJT,O,X,X,O,X,X,X
LIZTJSO,O,X,O,X,O,X,O
LIZTJOS,X,X,X,X,X,X,O
LIZTSJO,O,X,O,O,O,X,O
LIZTSOJ,O,X,X,X,X,X,X
LIZTOJS,X,X,X,X,X,O,O
LIZTOSJ,O,X,X,X,X,X,X
LIZJTSO,O,X,O,X,O,X,O
LIZJTOS,X,X,X,X,X,X,O
LIZJSTO,O,X,O,O,X,X,O
LIZJSOT,O,X,X,O,X,X,X
LIZJOTS,X,O,X,X,X,X,O
LIZJOST,X,O,X,X,X,X,X
LIZSTJO,O,X,O,O,X,X,O
LIZSTOJ,O,X,X,X,X,X,X
LIZSJTO,O,X,O,O,X,X,O
LIZSJOT,O,X,X,O,X,X,X
LIZSOTJ,X,X,X,O,X,X,X
LIZSOJT,O,X,X,O,X,X,X
LIZOTJS,X,O,X,X,X,O,O
LIZOTSJ,O,O,X,X,X,X,X
LIZOJTS,X,O,X,X,X,O,O
LIZOJST,X,O,X,X,X,X,X
LIZOSTJ,X,O,X,X,X,X,X
LIZOSJT,O,O,X,O,X,X,X
LIOTJSZ,X,O,O,X,X,O,X
LIOTJZS,X,O,X,X,X,O,O
LIOTSJZ,O,O,O,X,X,O,X
LIOTSZJ,O,O,X,X,X,X,X
LIOTZJS,X,O,X,X,X,O,O
LIOTZSJ,O,O,X,X,X,X,X
LIOJTSZ,X,O,O,X,X,O,X
LIOJTZS,X,O,X,X,X,O,O
LIOJSTZ,X,O,O,X,X,O,X
LIOJSZT,X,O,X,X,X,X,X
LIOJZTS,X,O,X,X,X,O,O
LIOJZST,X,O,X,X,X,X,X
LIOSTJZ,X,O,O,X,X,O,X
LIOSTZJ,X,O,X,X,X,X,X
LIOSJTZ,X,O,O,X,X,O,X
LIOSJZT,O,O,X,O,X,X,X
LIOSZTJ,X,O,X,X,X,X,X
LIOSZJT,O,O,X,O,X,X,X
LIOZTJS,X,O,X,X,X,O,O
LIOZTSJ,O,O,X,X,X,X,X
LIOZJTS,X,O,X,X,X,O,O
LIOZJST,X,O,X,X,X,X,X
LIOZSTJ,X,O,X,X,X,X,X
LIOZSJT,O,O,X,O,X,X,X
LJTISZO,O,X,O,X,X,X,O
LJTISOZ,O,X,O,X,X,X,X
LJTIZSO,O,X,O,X,X,X,O
LJTIZOS,X,X,X,X,X,X,O
LJTIOSZ,X,X,O,X,X,O,X
LJTIOZS,X,X,X,X,X,O,O
LJTSIZO,O,X,O,X,X,X,O
LJTSIOZ,O,X,O,X,X,X,X
LJTSZIO,O,X,O,X,X,X,O
LJTSZOI,O,X,X,X,X,X,X
LJTSOIZ,O,X,O,X,X,X,X
LJTSOZI,O,X,O,X,X,X,X
LJTZISO,O,X,O,X,X,X,O
LJTZIOS,X,X,X,X,X,X,O
LJTZSIO,O,X,O,X,X,X,O
LJTZSOI,O,X,X,X,X,X,X
LJTZOIS,X,O,X,X,X,X,O
LJTZOSI,X,O,X,X,X,X,X
LJTOISZ,X,O,O,X,X,O,X
LJTOIZS,X,O,O,X,X,O,O
LJTOSIZ,X,O,O,X,X,O,X
LJTOSZI,X,O,O,X,X,X,X
LJTOZIS,X,O,O,X,X,O,O
LJTOZSI,X,O,O,X,X,X,X
LJITSZO,O,X,O,X,O,X,O
LJITSOZ,O,X,O,X,X,X,X
LJITZSO,O,X,O,X,O,X,O
LJITZOS,X,X,X,X,X,X,O
LJITOSZ,X,X,O,X,X,O,X
LJITOZS,X,X,X,X,X,O,O
LJISTZO,O,X,O,X,X,X,O
LJISTOZ,O,X,O,X,X,X,X
LJISZTO,O,X,O,X,X,X,O
LJISZOT,O,X,X,X,X,X,X
LJISOTZ,X,X,O,X,X,X,X
LJISOZT,O,X,X,X,X,X,X
LJIZTSO,O,X,O,X,O,X,O
LJIZTOS,X,X,X,X,X,X,O
LJIZSTO,O,X,O,X,X,X,O
LJIZSOT,O,X,X,X,X,X,X
LJIZOTS,X,O,X,X,X,X,O
LJIZOST,X,O,X,X,X,X,X
LJIOTSZ,X,O,O,X,X,O,X
LJIOTZS,X,O,X,X,X,O,O
LJIOSTZ,X,O,O,X,X,O,X
LJIOSZT,X,O,X,X,X,X,X
LJIOZTS,X,O,X,X,X,O,O
LJIOZST,X,O,X,X,X,X,X
LJSTIZO,O,X,O,X,X,X,O
LJSTIOZ,O,X,O,X,X,X,X
LJSTZIO,O,X,O,X,X,X,O
LJSTZOI,O,X,X,X,X,X,X
LJSTOIZ,O,X,O,X,X,X,X
LJSTOZI,O,X,O,X,X,X,X
LJSITZO,O,X,O,X,X,X,O
LJSITOZ,O,X,O,X,X,X,X
LJSIZTO,O,X,O,X,X,X,O
LJSIZOT,O,X,X,O,X,X,X
LJSIOTZ,X,X,O,O,X,X,X
LJSIOZT,O,X,X,O,X,X,X
LJSZTIO,O,X,O,X,X,X,O
LJSZTOI,O,X,X,X,X,X,X
LJSZITO,O,X,O,X,X,X,O
LJSZIOT,O,X,X,O,X,X,X
LJSZOTI,O,O,X,X,X,X,X
LJSZOIT,O,O,X,O,X,X,X
LJSOTIZ,O,O,O,X,X,X,X
LJSOTZI,O,O,O,X,X,X,X
LJSOITZ,X,O,O,O,X,X,X
LJSOIZT,O,O,O,O,X,X,X
LJSOZTI,O,O,O,X,X,X,X
LJSOZIT,O,O,O,O,X,X,X
LJZTISO,O,X,O,X,X,X,O
LJZTIOS,X,X,X,X,X,X,O
LJZTSIO,O,X,O,X,X,X,O
LJZTSOI,O,X,X,X,X,X,X
LJZTOIS,X,O,X,X,X,X,O
LJZTOSI,X,O,X,X,X,X,X
LJZITSO,O,X,O,X,O,X,O
LJZITOS,X,X,X,X,X,X,O
LJZISTO,O,X,O,X,X,X,O
LJZISOT,O,X,X,X,X,X,X
LJZIOTS,X,O,X,X,X,X,O
LJZIOST,X,O,X,X,X,X,X
LJZSTIO,O,X,O,X,X,X,O
LJZSTOI,O,X,X,X,X,X,X
LJZSITO,O,X,O,X,X,X,O
LJZSIOT,O,X,X,O,X,X,X
LJZSOTI,O,O,X,X,X,X,X
LJZSOIT,O,O,X,O,X,X,X
LJZOTIS,X,O,X,X,X,X,O
LJZOTSI,X,O,X,X,X,X,X
LJZOITS,X,O,X,X,O,X,O
LJZOIST,X,O,X,X,X,X,X
LJZOSTI,O,O,X,X,X,X,X
LJZOSIT,O,O,X,O,X,X,X
LJOTISZ,X,O,O,X,X,O,X
LJOTIZS,X,O,O,X,X,O,O
LJOTSIZ,X,O,O,X,X,O,X
LJOTSZI,X,O,O,X,X,X,X
LJOTZIS,X,O,O,X,X,O,O
LJOTZSI,X,O,O,X,X,X,X
LJOITSZ,X,O,O,X,O,O,X
LJOITZS,X,O,O,X,O,O,O
LJOISTZ,X,O,O,X,X,O,X
LJOISZT,X,O,O,X,X,X,X
LJOIZTS,X,O,O,X,O,O,O
LJOIZST,X,O,O,X,X,X,X
LJOSTIZ,O,O,O,X,X,O,X
LJOSTZI,O,O,O,X,X,X,X
LJOSITZ,X,O,O,O,X,O,X
LJOSIZT,O,O,O,O,X,X,X
LJOSZTI,O,O,O,X,X,X,X
LJOSZIT,O,O,O,O,X,X,X
LJOZTIS,X,O,O,X,X,O,O
LJOZTSI,X,O,O,X,X,X,X
LJOZITS,X,O,O,X,O,O,O
LJOZIST,X,O,O,X,X,X,X
LJOZSTI,O,O,O,X,X,X,X
LJOZSIT,O,O,O,O,X,X,X
LSTIJZO,O,X,O,X,X,X,O
LSTIJOZ,O,X,O,X,X,X,X
LSTIZJO,O,X,O,X,X,X,O
LSTIZOJ,O,X,X,X,X,X,X
LSTIOJZ,O,X,O,X,X,O,X
LSTIOZJ,O,X,X,X,X,X,X
LSTJIZO,O,X,O,X,X,X,O
LSTJIOZ,O,X,O,X,X,X,X
LSTJZIO,O,X,O,X,X,X,O
LSTJZOI,O,X,X,X,X,X,X
LSTJOIZ,O,X,O,X,X,X,X
LSTJOZI,O,X,O,X,X,X,X
LSTZIJO,O,X,O,X,X,X,O
LSTZIOJ,O,X,X,X,X,X,X
LSTZJIO,O,X,O,X,X,X,O
LSTZJOI,O,X,X,X,X,X,X
LSTZOIJ,O,X,X,X,X,X,X
LSTZOJI,O,X,X,X,X,X,X
LSTOIJZ,O,X,O,X,X,O,X
LSTOIZJ,O,X,O,X,X,X,X
LSTOJIZ,O,X,O,X,X,O,X
LSTOJZI,O,X,O,X,X,X,X
LSTOZIJ,O,X,O,X,X,X,X
LSTOZJI,O,X,O,X,X,X,X
LSITJZO,O,X,O,X,X,X,O
LSITJOZ,O,X,O,X,X,X,X
