sequence,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmB0sBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeR8IvhFGeBUhB?FiB/oBqsBzrB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmBXsB0sB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFfiBldB?5jB8nB6rB2xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JefBJvhF0cB5jB?ziBurBinB1xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFUdB5jB?lmB3nBatBWxB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeC8IvhF5jB/mB?FiB8nBesBzsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeG9IvhFRhB6oB?UhBlnBzrBXtB
ISTOJLZ,O,X,O,X,O,O,X,X
ISTOJZL,O,X,O,X,O,O,X,X
ISTOZLJ,O,X,X,X,X,O,X,X
ISTOZJL,O,X,X,X,O,O,X,X
ISLTJZO,X,O,X,X,O,O,X,X
ISLTJOZ,X,O,X,X,O,O,X,X
ISLTZJO,X,O,X,O,X,O,O,X
ISLTZOJ,X,O,X,O,X,O,O,X
ISLTOJZ,X,O,X,X,O,O,X,X
ISLTOZJ,X,X,X,O,X,O,X,X
ISLJTZO,X,O,O,O,X,X,X,X
ISLJTOZ,X,O,O,O,X,X,X,X
ISLJZTO,X,O,X,O,X,X,O,X
ISLJZOT,X,O,X,O,O,X,X,X
ISLJOTZ,X,O,O,O,X,X,X,X
ISLJOZT,X,O,X,O,O,X,X,X
ISLZTJO,X,O,X,O,X,X,O,X
ISLZTOJ,X,O,X,O,X,X,O,X
ISLZJTO,X,O,X,O,X,X,O,X
ISLZJOT,X,O,X,O,O,X,X,X
ISLZOTJ,X,X,X,O,X,X,O,X
ISLZOJT,X,O,X,O,O,X,X,X
ISLOTJZ,X,O,X,X,O,O,X,X
ISLOTZJ,X,O,X,O,X,O,X,X
ISLOJTZ,X,O,O,O,X,X,X,X
ISLOJZT,X,O,X,O,O,X,X,X
ISLOZTJ,X,O,X,O,X,X,O,X
ISLOZJT,X,O,X,O,O,X,X,X
ISJTLZO,X,X,O,X,O,O,X,X
ISJTLOZ,O,X,O,X,O,O,X,X
ISJTZLO,O,X,O,O,O,O,X,X
ISJTZOL,O,X,O,O,O,O,X,X
ISJTOLZ,O,X,O,X,O,O,X,X
ISJTOZL,O,X,O,O,O,O,X,X
ISJLTZO,X,O,O,O,X,X,X,X
ISJLTOZ,X,O,O,O,X,X,X,X
ISJLZTO,X,O,X,O,X,X,O,X
ISJLZOT,X,O,X,O,O,X,X,X
ISJLOTZ,X,O,O,O,X,X,X,X
ISJLOZT,X,O,X,O,O,X,X,X
ISJZTLO,O,O,O,O,X,X,O,X
ISJZTOL,O,O,O,O,O,X,X,X
ISJZLTO,X,O,X,O,X,X,O,X
ISJZLOT,X,O,X,O,O,X,X,X
ISJZOTL,O,O,O,O,O,X,X,X
ISJZOLT,X,O,X,O,O,X,X,X
ISJOTLZ,O,X,O,X,O,O,X,X
ISJOTZL,O,X,O,O,O,O,X,X
ISJOLTZ,X,O,O,X,X,X,X,X
ISJOLZT,X,O,X,O,O,X,X,X
ISJOZTL,O,O,O,O,O,X,X,X
ISJOZLT,X,O,X,O,O,X,X,X
ISZTLJO,O,O,X,X,X,O,O,X
ISZTLOJ,O,X,X,X,X,O,O,X
ISZTJLO,O,O,X,O,O,O,O,X
ISZTJOL,O,O,X,O,O,O,X,X
ISZTOLJ,O,X,X,X,X,O,O,X
ISZTOJL,O,X,X,X,O,O,X,X
ISZLTJO,X,O,X,O,X,X,O,X
ISZLTOJ,X,O,X,O,X,X,O,X
ISZLJTO,X,O,X,O,X,X,O,X
ISZLJOT,X,O,X,O,O,X,X,X
ISZLOTJ,X,X,X,O,X,X,O,X
ISZLOJT,X,O,X,O,O,X,X,X
ISZJTLO,O,O,O,O,X,X,O,X
ISZJTOL,O,O,O,O,O,X,X,X
ISZJLTO,X,O,X,O,X,X,O,X
ISZJLOT,X,O,X,O,O,X,X,X
ISZJOTL,O,O,O,O,O,X,X,X
ISZJOLT,X,O,X,O,O,X,X,X
ISZOTLJ,O,X,X,X,X,O,O,X
ISZOTJL,O,O,X,X,O,O,X,X
ISZOLTJ,X,O,X,O,X,X,O,X
ISZOLJT,X,O,X,O,O,X,X,X
ISZOJTL,O,O,O,O,O,X,X,X
ISZOJLT,X,O,X,O,O,X,X,X
ISOTLJZ,O,X,O,X,O,O,X,X
ISOTLZJ,X,X,X,X,X,O,X,X
ISOTJLZ,O,X,O,X,O,O,X,X
ISOTJZL,O,X,O,X,O,O,X,X
ISOTZLJ,O,X,X,X,X,O,X,X
ISOTZJL,O,X,X,X,O,O,X,X
ISOLTJZ,X,O,X,X,O,O,X,X
ISOLTZJ,X,O,X,O,X,O,X,X
ISOLJTZ,X,O,O,O,X,X,X,X
ISOLJZT,X,O,X,O,O,X,X,X
ISOLZTJ,X,O,X,O,X,X,O,X
ISOLZJT,X,O,X,O,O,X,X,X
ISOJTLZ,O,X,O,X,O,O,X,X
ISOJTZL,O,X,O,O,O,O,X,X
ISOJLTZ,X,O,O,X,X,X,X,X
ISOJLZT,X,O,X,O,O,X,X,X
ISOJZTL,O,O,O,O,O,X,X,X
ISOJZLT,X,O,X,O,O,X,X,X
ISOZTLJ,O,X,X,X,X,O,O,X
ISOZTJL,O,O,X,X,O,O,X,X
ISOZLTJ,X,O,X,O,X,X,O,X
ISOZLJT,X,O,X,O,O,X,X,X
ISOZJTL,O,O,O,O,O,X,X,X
ISOZJLT,X,O,X,O,O,X,X,X
IZTLJSO,O,X,X,O,X,X,X,X
IZTLJOS,O,X,O,X,X,X,X,X
IZTLSJO,O,O,X,O,X,X,O,X
IZTLSOJ,O,X,X,O,X,X,O,X
IZTLOJS,O,X,O,X,X,X,X,X
IZTLOSJ,O,X,X,O,X,X,X,X
IZTJLSO,O,X,X,O,X,X,X,X
IZTJLOS,O,X,O,O,X,X,X,X
IZTJSLO,O,X,O,O,O,X,X,X
IZTJSOL,O,X,O,O,O,X,X,X
IZTJOLS,O,X,O,X,X,X,X,X
IZTJOSL,O,X,O,O,O,X,X,X
IZTSLJO,O,O,X,X,X,O,O,X
IZTSLOJ,O,X,X,X,X,O,O,X
IZTSJLO,O,O,X,O,O,O,O,X
IZTSJOL,O,O,X,O,O,O,X,X
IZTSOLJ,O,X,X,X,X,O,O,X
IZTSOJL,O,X,X,X,O,O,X,X
IZTOLJS,O,X,O,X,X,X,X,X
IZTOLSJ,O,O,X,O,X,X,X,X
IZTOJLS,O,X,O,X,X,X,X,X
IZTOJSL,O,X,O,O,O,X,X,X
IZTOSLJ,O,X,X,X,X,O,X,X
IZTOSJL,O,O,X,X,O,O,X,X
IZLTJSO,O,O,X,O,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X
IZLTSJO,O,O,X,O,X,X,O,X
IZLTSOJ,O,O,X,O,X,X,O,X
IZLTOJS,O,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,O,X,X,X,X
IZLJTSO,O,X,X,O,X,X,X,X
IZLJTOS,O,X,X,O,X,X,X,X
IZLJSTO,X,O,X,O,X,X,O,X
IZLJSOT,X,O,X,O,X,X,X,X
IZLJOTS,O,X,X,O,X,X,X,X
IZLJOST,X,X,X,O,X,X,X,X
IZLSTJO,X,O,X,O,X,X,O,X
IZLSTOJ,X,O,X,O,X,X,O,X
IZLSJTO,X,O,X,O,X,X,O,X
IZLSJOT,X,O,X,O,X,X,X,X
IZLSOTJ,X,X,X,O,X,X,O,X
IZLSOJT,X,O,X,O,X,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,O,X,X,X,X
IZLOJTS,O,X,X,O,X,X,X,X
IZLOJST,X,O,X,O,X,X,X,X
IZLOSTJ,X,O,X,O,X,X,O,X
IZLOSJT,X,O,X,O,X,X,X,X
IZJTLSO,O,X,X,O,X,X,X,X
IZJTLOS,O,X,O,O,X,X,X,X
IZJTSLO,O,X,O,O,X,X,X,X
IZJTSOL,O,X,O,O,X,X,X,X
IZJTOLS,O,X,O,X,X,X,X,X
IZJTOSL,O,X,O,O,X,X,X,X
IZJLTSO,O,X,X,O,X,X,X,X
IZJLTOS,O,X,X,O,X,X,X,X
IZJLSTO,X,O,X,O,X,X,O,X
IZJLSOT,X,O,X,O,X,X,X,X
IZJLOTS,O,X,X,O,X,X,X,X
IZJLOST,X,X,X,O,X,X,X,X
IZJSTLO,O,O,O,O,X,X,O,X
IZJSTOL,O,O,O,O,O,X,X,X
IZJSLTO,X,O,X,O,X,X,O,X
IZJSLOT,X,O,X,O,O,X,X,X
IZJSOTL,O,O,O,O,O,X,X,X
IZJSOLT,X,O,X,O,O,X,X,X
IZJOTLS,O,X,O,X,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,X
IZJOLTS,O,X,X,O,X,X,X,X
IZJOLST,X,O,X,O,X,X,X,X
IZJOSTL,O,O,O,O,O,X,X,X
IZJOSLT,X,O,X,O,O,X,X,X
IZSTLJO,O,O,X,X,X,O,O,X
IZSTLOJ,O,X,X,X,X,O,O,X
IZSTJLO,O,O,X,O,O,O,O,X
IZSTJOL,O,O,X,O,O,O,X,X
IZSTOLJ,O,X,X,X,X,O,O,X
IZSTOJL,O,X,X,X,O,O,X,X
IZSLTJO,X,O,X,O,X,X,O,X
IZSLTOJ,X,O,X,O,X,X,O,X
IZSLJTO,X,O,X,O,X,X,O,X
IZSLJOT,X,O,X,O,O,X,X,X
IZSLOTJ,X,X,X,O,X,X,O,X
IZSLOJT,X,O,X,O,O,X,X,X
IZSJTLO,O,O,O,O,X,X,O,X
IZSJTOL,O,O,O,O,O,X,X,X
IZSJLTO,X,O,X,O,X,X,O,X
IZSJLOT,X,O,X,O,O,X,X,X
IZSJOTL,O,O,O,O,O,X,X,X
IZSJOLT,X,O,X,O,O,X,X,X
IZSOTLJ,O,X,X,X,X,O,O,X
IZSOTJL,O,O,X,X,O,O,X,X
IZSOLTJ,X,O,X,O,X,X,O,X
IZSOLJT,X,O,X,O,O,X,X,X
IZSOJTL,O,O,O,O,O,X,X,X
IZSOJLT,X,O,X,O,O,X,X,X
IZOTLJS,O,X,O,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,X,X
IZOTJLS,O,X,O,X,X,X,X,X
IZOTJSL,O,X,O,O,O,X,X,X
IZOTSLJ,O,X,X,X,X,O,X,X
IZOTSJL,O,O,X,X,O,O,X,X
IZOLTJS,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,X,O,X,X,X,X
IZOLJTS,O,X,X,O,X,X,X,X
IZOLJST,X,O,X,O,X,X,X,X
IZOLSTJ,X,O,X,O,X,X,O,X
IZOLSJT,X,O,X,O,X,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X
IZOJTSL,O,X,O,O,X,X,X,X
IZOJLTS,O,X,X,O,X,X,X,X
IZOJLST,X,O,X,O,X,X,X,X
IZOJSTL,O,O,O,O,O,X,X,X
IZOJSLT,X,O,X,O,O,X,X,X
IZOSTLJ,O,X,X,X,X,O,O,X
IZOSTJL,O,O,X,X,O,O,X,X
IZOSLTJ,X,O,X,O,X,X,O,X
IZOSLJT,X,O,X,O,O,X,X,X
IZOSJTL,O,O,O,O,O,X,X,X
IZOSJLT,X,O,X,O,O,X,X,X
IOTLJSZ,O,X,O,O,O,X,X,O
IOTLJZS,O,X,O,O,X,X,X,O
IOTLSJZ,O,X,O,X,O,O,X,O
IOTLSZJ,X,X,X,O,X,O,X,X
IOTLZJS,O,X,O,X,X,X,X,O
IOTLZSJ,O,X,X,O,X,X,X,X
IOTJLSZ,O,X,O,X,O,X,X,O
IOTJLZS,O,X,O,X,X,X,X,O
IOTJSLZ,O,X,O,X,O,O,X,O
IOTJSZL,O,X,O,O,O,O,X,X
IOTJZLS,O,X,O,X,X,X,X,O
IOTJZSL,O,X,O,O,O,X,X,X
IOTSLJZ,O,X,O,X,O,O,X,O
IOTSLZJ,X,X,X,X,X,O,X,X
IOTSJLZ,O,X,O,X,O,O,X,O
IOTSJZL,O,X,O,X,O,O,X,X
IOTSZLJ,O,X,X,X,X,O,X,X
IOTSZJL,O,X,X,X,O,O,X,X
IOTZLJS,O,X,O,X,X,X,X,O
IOTZLSJ,O,X,X,O,X,X,X,X
IOTZJLS,O,X,O,X,X,X,X,O
IOTZJSL,O,X,O,O,O,X,X,X
IOTZSLJ,O,X,X,X,X,O,X,X
IOTZSJL,O,X,X,X,O,O,X,X
IOLTJSZ,O,O,O,O,O,X,X,O
IOLTJZS,O,X,O,O,X,X,X,O
IOLTSJZ,O,O,O,X,O,O,X,O
IOLTSZJ,X,O,X,O,X,O,X,X
IOLTZJS,O,O,O,X,X,X,X,O
IOLTZSJ,O,O,X,O,X,X,X,X
IOLJTSZ,O,X,O,O,X,X,X,O
IOLJTZS,O,X,O,O,X,X,X,O
IOLJSTZ,X,X,O,O,X,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X
IOLJZTS,O,X,X,O,X,X,X,X
IOLJZST,X,X,X,O,X,X,X,X
IOLSTJZ,X,O,X,X,O,O,X,X
IOLSTZJ,X,O,X,O,X,O,X,X
IOLSJTZ,X,O,O,O,X,X,X,X
IOLSJZT,X,O,X,O,O,X,X,X
IOLSZTJ,X,O,X,O,X,X,O,X
IOLSZJT,X,O,X,O,O,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,X,O,X,X,X,X
IOLZJTS,O,X,X,O,X,X,X,X
IOLZJST,X,O,X,O,X,X,X,X
IOLZSTJ,X,O,X,O,X,X,O,X
IOLZSJT,X,O,X,O,X,X,X,X
IOJTLSZ,O,X,O,X,O,X,X,O
IOJTLZS,O,X,O,X,X,X,X,O
IOJTSLZ,O,X,O,X,O,O,X,O
IOJTSZL,O,X,O,O,O,O,X,X
IOJTZLS,O,X,O,X,X,X,X,O
IOJTZSL,O,X,O,O,O,X,X,X
IOJLTSZ,O,X,O,O,X,X,X,O
IOJLTZS,O,X,O,O,X,X,X,O
IOJLSTZ,X,X,O,O,X,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X
IOJLZTS,O,X,X,O,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X
IOJSTLZ,O,X,O,X,O,O,X,O
IOJSTZL,O,X,O,O,O,O,X,X
IOJSLTZ,X,X,O,X,X,X,X,X
IOJSLZT,X,X,X,O,O,X,X,X
IOJSZTL,O,X,O,O,O,X,X,X
IOJSZLT,X,X,X,O,O,X,X,X
IOJZTLS,O,X,O,X,X,X,X,O
IOJZTSL,O,X,O,O,X,X,X,X
IOJZLTS,O,X,X,O,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X
IOJZSTL,O,X,O,O,O,X,X,X
IOJZSLT,X,X,X,O,O,X,X,X
IOSTLJZ,O,X,O,X,O,O,X,O
IOSTLZJ,X,X,X,X,X,O,X,X
IOSTJLZ,O,X,O,X,O,O,X,O
IOSTJZL,O,X,O,X,O,O,X,X
IOSTZLJ,O,X,X,X,X,O,X,X
IOSTZJL,O,X,X,X,O,O,X,X
IOSLTJZ,X,O,X,X,O,O,X,X
IOSLTZJ,X,O,X,O,X,O,X,X
IOSLJTZ,X,O,O,O,X,X,X,X
IOSLJZT,X,O,X,O,O,X,X,X
IOSLZTJ,X,O,X,O,X,X,O,X
IOSLZJT,X,O,X,O,O,X,X,X
IOSJTLZ,O,X,O,X,O,O,X,O
IOSJTZL,O,X,O,O,O,O,X,X
IOSJLTZ,X,O,O,X,X,X,X,X
IOSJLZT,X,O,X,O,O,X,X,X
IOSJZTL,O,O,O,O,O,X,X,X
IOSJZLT,X,O,X,O,O,X,X,X
IOSZTLJ,O,X,X,X,X,O,O,X
IOSZTJL,O,O,X,X,O,O,X,X
IOSZLTJ,X,O,X,O,X,X,O,X
IOSZLJT,X,O,X,O,O,X,X,X
IOSZJTL,O,O,O,O,O,X,X,X
IOSZJLT,X,O,X,O,O,X,X,X
IOZTLJS,O,X,O,X,X,X,X,O
IOZTLSJ,O,O,X,O,X,X,X,X
IOZTJLS,O,X,O,X,X,X,X,O
IOZTJSL,O,X,O,O,O,X,X,X
IOZTSLJ,O,X,X,X,X,O,X,X
IOZTSJL,O,O,X,X,O,O,X,X
IOZLTJS,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,X,X,X,X
IOZLJTS,O,X,X,O,X,X,X,X
IOZLJST,X,O,X,O,X,X,X,X
IOZLSTJ,X,O,X,O,X,X,O,X
IOZLSJT,X,O,X,O,X,X,X,X
IOZJTLS,O,X,O,X,X,X,X,O
IOZJTSL,O,X,O,O,X,X,X,X
IOZJLTS,O,X,X,O,X,X,X,X
IOZJLST,X,O,X,O,X,X,X,X
IOZJSTL,O,O,O,O,O,X,X,X
IOZJSLT,X,O,X,O,O,X,X,X
IOZSTLJ,O,X,X,X,X,O,O,X
IOZSTJL,O,O,X,X,O,O,X,X
IOZSLTJ,X,O,X,O,X,X,O,X
IOZSLJT,X,O,X,O,O,X,X,X
IOZSJTL,O,O,O,O,O,X,X,X
IOZSJLT,X,O,X,O,O,X,X,X
LTIJSZO,X,O,O,O,O,X,X,X
LTIJSOZ,O,O,O,O,O,X,X,X
LTIJZSO,O,X,X,O,X,X,X,X
LTIJZOS,O,X,O,O,X,X,X,X
LTIJOSZ,O,X,O,O,O,X,X,X
LTIJOZS,O,X,O,O,X,X,X,X
LTISJZO,X,O,X,X,O,O,X,X
LTISJOZ,O,O,O,X,O,O,X,X
LTISZJO,X,O,X,O,X,O,O,X
LTISZOJ,X,O,X,O,X,O,O,X
LTISOJZ,O,O,O,X,O,O,X,X
LTISOZJ,X,X,X,O,X,O,X,X
LTIZJSO,O,O,X,X,X,X,X,X
LTIZJOS,O,X,O,X,X,X,X,X
LTIZSJO,O,O,X,O,X,X,O,X
LTIZSOJ,O,O,X,O,X,X,O,X
LTIZOJS,O,X,O,X,X,X,X,X
LTIZOSJ,O,O,X,O,X,X,X,X
LTIOJSZ,O,X,O,O,O,X,X,X
LTIOJZS,O,X,O,O,X,X,X,X
LTIOSJZ,O,O,O,X,O,O,X,X
LTIOSZJ,X,X,X,O,X,O,X,X
LTIOZJS,O,X,O,X,X,X,X,X
LTIOZSJ,O,X,X,O,X,X,X,X
LTJISZO,X,O,O,O,O,X,X,X
LTJISOZ,O,O,O,O,O,X,X,X
LTJIZSO,O,X,X,O,X,X,X,X
LTJIZOS,O,X,O,O,X,X,X,X
LTJIOSZ,O,X,O,O,O,X,X,X
LTJIOZS,O,X,O,O,X,X,X,X
LTJSIZO,X,O,X,O,O,X,X,X
LTJSIOZ,O,O,O,O,O,X,X,X
LTJSZIO,X,O,X,O,O,X,X,X
LTJSZOI,X,O,X,O,O,X,X,X
LTJSOIZ,O,O,O,O,O,X,X,X
LTJSOZI,X,O,X,O,O,X,X,X
LTJZISO,O,O,X,O,X,X,X,X
LTJZIOS,O,X,O,O,X,X,X,X
LTJZSIO,O,O,X,O,X,X,X,X
LTJZSOI,O,O,X,O,X,X,X,X
LTJZOIS,O,X,O,O,X,X,X,X
LTJZOSI,O,X,X,O,X,X,X,X
LTJOISZ,O,X,O,O,O,X,X,X
LTJOIZS,O,X,O,O,X,X,X,X
LTJOSIZ,O,X,O,O,O,X,X,X
LTJOSZI,X,X,X,O,O,X,X,X
LTJOZIS,O,X,O,O,X,X,X,X
LTJOZSI,O,X,X,O,X,X,X,X
LTSIJZO,X,O,X,X,O,O,X,X
LTSIJOZ,O,O,O,X,O,O,X,X
LTSIZJO,X,O,X,O,X,O,O,X
LTSIZOJ,X,O,X,O,X,O,O,X
LTSIOJZ,O,O,O,X,O,O,X,X
LTSIOZJ,X,X,X,O,X,O,X,X
LTSJIZO,X,O,X,X,O,X,X,X
LTSJIOZ,O,O,O,X,O,X,X,X
LTSJZIO,X,O,X,X,O,X,X,X
LTSJZOI,X,O,X,X,O,X,X,X
LTSJOIZ,O,O,O,X,O,X,X,X
LTSJOZI,X,O,X,X,O,X,X,X
LTSZIJO,O,O,X,O,X,O,O,X
LTSZIOJ,O,O,X,O,X,O,O,X
LTSZJIO,O,O,X,O,X,X,O,X
LTSZJOI,O,O,X,O,X,X,X,X
LTSZOIJ,O,O,X,O,X,O,O,X
LTSZOJI,O,O,X,O,X,X,X,X
LTSOIJZ,O,O,O,X,O,O,X,X
LTSOIZJ,X,O,X,O,X,O,X,X
LTSOJIZ,O,O,O,X,O,X,X,X
LTSOJZI,X,O,X,X,O,X,X,X
LTSOZIJ,O,O,X,O,X,O,X,X
LTSOZJI,O,O,X,O,X,X,X,X
LTZIJSO,O,O,X,X,X,X,X,X
LTZIJOS,O,X,O,X,X,X,X,X
LTZISJO,O,O,X,O,X,X,O,X
LTZISOJ,O,O,X,O,X,X,O,X
LTZIOJS,O,X,O,X,X,X,X,X
LTZIOSJ,O,O,X,O,X,X,X,X
LTZJISO,O,O,X,X,X,X,X,X
LTZJIOS,O,X,O,X,X,X,X,X
LTZJSIO,O,O,X,X,X,X,X,X
LTZJSOI,O,O,X,X,X,X,X,X
LTZJOIS,O,X,O,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X,X,X
LTZSIJO,O,O,X,O,X,X,O,X
LTZSIOJ,O,O,X,O,X,X,O,X
LTZSJIO,O,O,X,O,X,X,O,X
LTZSJOI,O,O,X,O,X,X,X,X
LTZSOIJ,O,O,X,O,X,X,O,X
LTZSOJI,O,O,X,O,X,X,X,X
LTZOIJS,O,X,O,X,X,X,X,X
LTZOISJ,O,O,X,O,X,X,X,X
LTZOJIS,O,X,O,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X
LTZOSIJ,O,O,X,O,X,X,X,X
LTZOSJI,O,O,X,O,X,X,X,X
LTOIJSZ,O,O,O,O,O,X,X,O
LTOIJZS,O,X,O,O,X,X,X,O
LTOISJZ,O,O,O,X,O,O,X,O
LTOISZJ,X,O,X,O,X,O,X,X
LTOIZJS,O,O,O,X,X,X,X,O
LTOIZSJ,O,O,X,O,X,X,X,X
LTOJISZ,O,O,O,O,O,X,X,O
LTOJIZS,O,X,O,O,X,X,X,O
LTOJSIZ,O,O,O,O,O,X,X,O
LTOJSZI,X,O,X,O,O,X,X,X
LTOJZIS,O,O,O,O,X,X,X,O
LTOJZSI,O,O,X,O,X,X,X,X
LTOSIJZ,O,O,O,X,O,O,X,O
LTOSIZJ,X,O,X,O,X,O,X,X
LTOSJIZ,O,O,O,X,O,X,X,O
LTOSJZI,X,O,X,X,O,X,X,X
LTOSZIJ,O,O,X,O,X,O,X,X
LTOSZJI,O,O,X,O,X,X,X,X
LTOZIJS,O,O,O,X,X,X,X,O
LTOZISJ,O,O,X,O,X,X,X,X
LTOZJIS,O,O,O,X,X,X,X,O
LTOZJSI,O,O,X,X,X,X,X,X
LTOZSIJ,O,O,X,O,X,X,X,X
LTOZSJI,O,O,X,O,X,X,X,X
LITJSZO,X,O,O,O,O,X,X,X
LITJSOZ,O,O,O,O,O,X,X,X
LITJZSO,O,X,X,O,X,X,X,X
LITJZOS,O,X,O,O,X,X,X,X
LITJOSZ,O,X,O,O,O,X,X,X
LITJOZS,O,X,O,O,X,X,X,X
LITSJZO,X,O,X,X,O,O,X,X
LITSJOZ,O,O,O,X,O,O,X,X
LITSZJO,X,O,X,O,X,O,O,X
LITSZOJ,X,O,X,O,X,O,O,X
LITSOJZ,O,O,O,X,O,O,X,X
LITSOZJ,X,X,X,O,X,O,X,X
LITZJSO,O,O,X,X,X,X,X,X
LITZJOS,O,X,O,X,X,X,X,X
LITZSJO,O,O,X,O,X,X,O,X
LITZSOJ,O,O,X,O,X,X,O,X
LITZOJS,O,X,O,X,X,X,X,X
LITZOSJ,O,O,X,O,X,X,X,X
LITOJSZ,O,X,O,O,O,X,X,X
LITOJZS,O,X,O,O,X,X,X,X
LITOSJZ,O,O,O,X,O,O,X,X
LITOSZJ,X,X,X,O,X,O,X,X
LITOZJS,O,X,O,X,X,X,X,X
LITOZSJ,O,X,X,O,X,X,X,X
LIJTSZO,X,X,O,O,X,X,X,X
LIJTSOZ,O,X,O,O,X,X,X,X
LIJTZSO,O,X,X,O,X,X,X,X
LIJTZOS,O,X,O,O,X,X,X,X
LIJTOSZ,O,X,O,O,X,X,X,X
LIJTOZS,O,X,O,O,X,X,X,X
LIJSTZO,X,X,O,O,X,X,X,X
LIJSTOZ,X,X,O,O,X,X,X,X
LIJSZTO,X,X,X,O,X,X,O,X
LIJSZOT,X,X,X,O,O,X,X,X
LIJSOTZ,X,X,O,O,X,X,X,X
LIJSOZT,X,X,X,O,O,X,X,X
LIJZTSO,O,X,X,O,X,X,X,X
LIJZTOS,O,X,X,O,X,X,X,X
LIJZSTO,X,X,X,O,X,X,O,X
LIJZSOT,X,X,X,O,X,X,X,X
LIJZOTS,O,X,X,O,X,X,X,X
LIJZOST,X,X,X,O,X,X,X,X
LIJOTSZ,O,X,O,O,X,X,X,X
LIJOTZS,O,X,O,O,X,X,X,X
LIJOSTZ,X,X,O,O,X,X,X,X
LIJOSZT,X,X,X,O,O,X,X,X
LIJOZTS,O,X,X,O,X,X,X,X
LIJOZST,X,X,X,O,X,X,X,X
LISTJZO,X,O,X,X,O,O,X,X
LISTJOZ,X,O,X,X,O,O,X,X
LISTZJO,X,O,X,O,X,O,O,X
LISTZOJ,X,O,X,O,X,O,O,X
LISTOJZ,X,O,X,X,O,O,X,X
LISTOZJ,X,X,X,O,X,O,X,X
LISJTZO,X,O,O,O,X,X,X,X
LISJTOZ,X,O,O,O,X,X,X,X
LISJZTO,X,O,X,O,X,X,O,X
LISJZOT,X,O,X,O,O,X,X,X
LISJOTZ,X,O,O,O,X,X,X,X
LISJOZT,X,O,X,O,O,X,X,X
LISZTJO,X,O,X,O,X,X,O,X
LISZTOJ,X,O,X,O,X,X,O,X
LISZJTO,X,O,X,O,X,X,O,X
LISZJOT,X,O,X,O,O,X,X,X
LISZOTJ,X,X,X,O,X,X,O,X
LISZOJT,X,O,X,O,O,X,X,X
LISOTJZ,X,O,X,X,O,O,X,X
LISOTZJ,X,O,X,O,X,O,X,X
LISOJTZ,X,O,O,O,X,X,X,X
LISOJZT,X,O,X,O,O,X,X,X
LISOZTJ,X,O,X,O,X,X,O,X
LISOZJT,X,O,X,O,O,X,X,X
LIZTJSO,O,O,X,O,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X,X
LIZTSJO,O,O,X,O,X,X,O,X
LIZTSOJ,O,O,X,O,X,X,O,X
LIZTOJS,O,X,X,X,X,X,X,X
LIZTOSJ,O,O,X,O,X,X,X,X
LIZJTSO,O,X,X,O,X,X,X,X
LIZJTOS,O,X,X,O,X,X,X,X
LIZJSTO,X,O,X,O,X,X,O,X
LIZJSOT,X,O,X,O,X,X,X,X
LIZJOTS,O,X,X,O,X,X,X,X
LIZJOST,X,X,X,O,X,X,X,X
LIZSTJO,X,O,X,O,X,X,O,X
LIZSTOJ,X,O,X,O,X,X,O,X
LIZSJTO,X,O,X,O,X,X,O,X
LIZSJOT,X,O,X,O,X,X,X,X
LIZSOTJ,X,X,X,O,X,X,O,X
LIZSOJT,X,O,X,O,X,X,X,X
LIZOTJS,O,X,X,X,X,X,X,X
LIZOTSJ,O,X,X,O,X,X,X,X
LIZOJTS,O,X,X,O,X,X,X,X
LIZOJST,X,X,X,O,X,X,X,X
LIZOSTJ,X,X,X,O,X,X,O,X
LIZOSJT,X,O,X,O,X,X,X,X
LIOTJSZ,O,O,O,O,O,X,X,O
LIOTJZS,O,X,O,O,X,X,X,O
LIOTSJZ,O,O,O,X,O,O,X,O
