sequence,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFRhBFlB8qBGnBTp?B3rB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFGhB/nBRlBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFThB/nBOpB8pBqq?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFRgBSmB/nBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jel/IvhFRhBKpBXlB8qB+r?BTsB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhF8lBumBikBTnB3p?BVwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFzfBWmB/nB0mBCq?BVwB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBKpBWqB/rBTn?B0qB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBikBUmBTnB3p?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFSlBThB/nBupB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFUiBFmBxpBCsB3p?BzqB,v115@EhC8HeB8HeB8BeA8CeD8JeRBJvhF/pBFlB8qB+rBTn?BipB,v115@EhC8HeB8HeB8BeA8CeD8JeOEJvhFzhBRlBSsB3pBUr?BlqB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFXhBVnBUlBTpBxr?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeXAJvhF8lBVnB2pBxrBTp?BSwB
JLZOTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOITS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZOIST,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JLZOSTI,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X
JLZOSIT,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
JLOTISZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOTIZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOTSIZ,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JLOTSZI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JLOTZIS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOTZSI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOITSZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOITZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOISTZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOISZT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOIZTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOIZST,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOSTIZ,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JLOSTZI,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JLOSITZ,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JLOSIZT,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JLOSZTI,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JLOSZIT,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JLOZTIS,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JLOZTSI,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JLOZITS,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JLOZIST,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOZSTI,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JLOZSIT,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JSTILZO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTILOZ,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSTIZLO,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X
JSTIZOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSTIOLZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTIOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIZO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
JSTLIOZ,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTLZIO,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X
JSTLZOI,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X
JSTLOIZ,X,O,O,O,X,O,O,O,O,X,X,X,O,X,X
JSTLOZI,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X
JSTZILO,O,O,X,O,X,O,O,X,O,O,X,X,O,X,X
JSTZIOL,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSTZLIO,O,O,X,O,X,O,O,X,O,O,X,X,O,X,X
JSTZLOI,O,O,X,O,X,O,O,X,O,O,X,X,O,X,X
JSTZOIL,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSTZOLI,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSTOILZ,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JSTOIZL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
JSTOLZI,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
JSTOZIL,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSTOZLI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSITLZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSITLOZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSITZLO,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O
JSITZOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JSITOLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSITOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSILTOZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JSILZTO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JSILZOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JSILOTZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSILOZT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSIZTLO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O
JSIZTOL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O
JSIZLTO,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O
JSIZLOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JSIZOTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSIZOLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOTLZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIOTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSIOLZT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSIOZTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIOZLT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSLTIZO,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
JSLTIOZ,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JSLTZIO,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X
JSLTZOI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
JSLTOIZ,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X
JSLTOZI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
JSLITZO,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JSLITOZ,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JSLIZTO,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JSLIZOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JSLIOTZ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JSLIOZT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSLZTIO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JSLZTOI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JSLZITO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JSLZIOT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JSLZOTI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JSLZOIT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JSLOTIZ,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X
JSLOTZI,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X
JSLOITZ,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X
JSLOIZT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSLOZTI,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X
JSLOZIT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSZTILO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JSZTIOL,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JSZTLIO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JSZTLOI,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JSZTOIL,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JSZTOLI,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JSZITLO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JSZITOL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
JSZILTO,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JSZILOT,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
JSZIOTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZIOLT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JSZLTIO,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JSZLTOI,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JSZLITO,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JSZLIOT,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JSZLOTI,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JSZLOIT,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JSZOTIL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOTLI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOITL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOILT,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JSZOLTI,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JSZOLIT,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JSOTILZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOTIZL,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JSOTLIZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOTLZI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOTZIL,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
JSOTZLI,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
JSOITLZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOITZL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSOILTZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
JSOILZT,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JSOIZTL,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JSOIZLT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JSOLTIZ,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
JSOLTZI,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
JSOLITZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
JSOLIZT,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JSOLZTI,O,O,X,O,X,O,X,X,O,X,X,O,O,X,X
JSOLZIT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JSOZTIL,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
JSOZTLI,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
JSOZITL,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X
JSOZILT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JSOZLTI,O,O,X,O,X,O,X,X,O,X,X,O,O,X,X
JSOZLIT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JZTILSO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTILOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTISLO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTISOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTIOLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTIOSL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTLISO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLIOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTLSIO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLSOI,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLOIS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTSIOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTSLIO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTSLOI,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTSOIL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTSOLI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTOILS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTOISL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTOLIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTOSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITLSO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JZITLOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZITSLO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
JZITSOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZITOLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITOSL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZILTSO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JZILTOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZILSTO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O
JZILSOT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O
JZISTOL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O
JZISLTO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O
JZISLOT,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZISOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZIOTSL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZIOLTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOSLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLTIOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLTSIO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLTSOI,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLTOIS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLITOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLISTO,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZLISOT,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZLSTOI,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZLSITO,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZLSIOT,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZLSOTI,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JZLSOIT,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZLOTIS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZLOSIT,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZSTILO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JZSTIOL,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JZSTLIO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JZSTLOI,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JZSTOIL,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JZSTOLI,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JZSITLO,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JZSITOL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
JZSILTO,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JZSILOT,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSIOTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSIOLT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSLTIO,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZSLTOI,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZSLITO,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZSLIOT,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSLOTI,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSLOIT,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSOTIL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOTLI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOITL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JZSOLTI,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JZSOLIT,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JZOTILS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTISL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOTLIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTLSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTSIL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOTSLI,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOITLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOITSL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOILTS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOILST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOISLT,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOLTIS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOLTSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOLITS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOLIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZOLSTI,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOLSIT,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOSTIL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSTLI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSITL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSILT,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOSLTI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOSLIT,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JOTILSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOTISZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOTIZLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTIZSL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOTLISZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTLIZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
JOTLSZI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
JOTLZIS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JOTLZSI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTSILZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JOTSIZL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOTSLIZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JOTSLZI,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JOTSZIL,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X
JOTSZLI,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X
JOTZILS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JOTZISL,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X
JOTZLIS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JOTZLSI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JOTZSIL,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X
JOTZSLI,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X
JOITLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JOITSLZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSZL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JOITZLS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JOITZSL,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
JOILTSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILTZS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JOILSTZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILSZT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOILZTS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JOILZST,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JOISTLZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JOISTZL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOISLTZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JOISLZT,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JOISZTL,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JOISZLT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
JOIZTLS,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
JOIZTSL,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O
JOIZLTS,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
JOIZLST,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JOIZSTL,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O
JOIZSLT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
JOLTISZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLTIZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLTSIZ,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JOLTSZI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JOLTZIS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLTZSI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLITSZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLITZS,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JOLISTZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLISZT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JOLIZTS,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JOLIZST,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X
JOLSTIZ,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X
JOLSTZI,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X
JOLSITZ,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOLSIZT,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X
JOLSZTI,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X
JOLSZIT,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X
JOLZTIS,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JOLZTSI,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOLZITS,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X
JOLZIST,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X
JOLZSTI,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X
JOLZSIT,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X
JOSTILZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JOSTIZL,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JOSTLIZ,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JOSTLZI,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JOSTZIL,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
JOSTZLI,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
JOSITLZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JOSITZL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOSILTZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
