sequence,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFlcB3dB5jBy?nBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdBTeBUhBW?oByrBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxcBFiB6oBX?jBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jel7IvhFUdBajB5jBO?mBzmBftB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFajB5jBFiBT?mBftBmrB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdB6jBziBm?mBUmBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBzdB+jBa?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBWjBamBT?jBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxdBCiBTjBO?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFUhBFiBTjBf?tBywBGtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeC9IvhFUhBxiBTjBX?nBmlBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeaDJvhF5jBUhBFiBf?tBmqBzrB
ITZOLJS,O,X,X,X,X,O,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,O,X,X,O,X,X,X
ITZOJLS,O,O,X,X,X,O,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,O,X,X,O,X,X,X
ITZOSLJ,X,X,X,O,O,O,X,X,O,O,X,X
ITZOSJL,O,O,X,O,O,X,X,X,O,O,X,X
ITOLJSZ,O,O,X,X,X,O,X,X,X,X,X,X
ITOLJZS,O,O,X,X,X,O,X,X,X,X,X,X
ITOLSJZ,X,O,X,O,X,O,X,X,O,X,X,X
ITOLSZJ,X,X,X,O,X,O,X,X,O,X,X,X
ITOLZJS,O,X,X,X,X,O,X,X,X,X,X,X
ITOLZSJ,X,X,X,X,X,O,X,X,O,X,X,X
ITOJLSZ,O,O,X,O,X,O,X,X,X,X,X,X
ITOJLZS,O,O,X,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,O,X,O,X,O,X,X,O,X,X,X
ITOJSZL,O,O,X,O,X,O,X,X,O,X,X,X
ITOJZLS,O,O,X,X,X,O,X,X,X,X,X,X
ITOJZSL,O,O,X,O,X,O,X,X,O,X,X,X
ITOSLJZ,X,X,X,O,O,O,X,X,O,X,X,X
ITOSLZJ,X,X,X,O,O,O,X,X,O,X,X,X
ITOSJLZ,O,X,X,O,O,O,X,X,O,X,X,X
ITOSJZL,O,X,X,O,O,O,X,X,O,X,X,X
ITOSZLJ,X,X,X,O,O,O,X,X,O,X,X,X
ITOSZJL,O,X,X,O,O,X,X,X,O,X,X,X
ITOZLJS,O,X,X,X,X,O,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,O,X,X,O,X,X,X
ITOZJLS,O,O,X,X,X,O,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,O,X,X,O,X,X,X
ITOZSLJ,X,X,X,O,O,O,X,X,O,X,X,X
ITOZSJL,O,O,X,O,O,X,X,X,O,X,X,X
ILTJSZO,X,O,X,O,X,O,O,X,X,X,X,X
ILTJSOZ,X,O,X,O,X,O,O,X,X,X,X,X
ILTJZSO,X,O,X,X,X,O,X,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X,X,X,X,X
ILTJOSZ,X,O,X,O,X,O,O,X,X,X,X,X
ILTJOZS,X,O,X,X,X,O,X,X,X,X,X,X
ILTSJZO,X,O,X,O,X,O,O,O,X,X,X,X
ILTSJOZ,X,O,X,O,X,O,O,X,X,X,X,X
ILTSZJO,X,O,X,O,X,X,O,O,X,X,X,X
ILTSZOJ,X,O,X,O,X,X,O,O,X,X,X,X
ILTSOJZ,X,O,X,O,X,O,X,X,X,X,X,X
ILTSOZJ,X,X,X,O,X,O,X,X,X,X,X,X
ILTZJSO,X,O,X,X,X,O,X,X,X,X,X,X
ILTZJOS,X,O,X,X,X,X,X,X,X,X,X,X
ILTZSJO,X,O,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILTZOJS,X,O,X,X,X,O,X,X,X,X,X,X
ILTZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,O,X,X,X,X,X,X
ILTOJZS,X,O,X,X,X,O,X,X,X,X,X,X
ILTOSJZ,X,O,X,O,X,O,X,X,X,X,X,X
ILTOSZJ,X,X,X,O,X,O,X,X,X,X,X,X
ILTOZJS,X,X,X,X,X,O,X,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,O,X,X,X,X,X,X
ILJTSZO,O,O,O,O,X,O,X,X,X,X,X,X
ILJTSOZ,O,O,X,O,X,O,X,X,X,X,X,X
ILJTZSO,O,O,O,X,X,O,X,X,X,X,X,X
ILJTZOS,O,O,O,X,X,X,X,X,X,X,X,X
ILJTOSZ,O,O,X,O,X,O,X,X,X,X,X,X
ILJTOZS,O,O,O,X,X,O,X,X,X,X,X,X
ILJSTZO,O,O,X,O,X,O,X,X,X,X,X,X
ILJSTOZ,O,O,X,O,X,O,X,X,X,X,X,X
ILJSZTO,O,X,X,O,X,X,X,X,X,X,X,X
ILJSZOT,O,X,X,O,X,X,X,X,X,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,X,X,X,X,X
ILJSOZT,O,X,X,O,X,X,X,X,X,X,X,X
ILJZTSO,O,X,O,X,X,X,X,X,X,X,X,X
ILJZTOS,O,X,O,X,X,X,X,X,X,X,X,X
ILJZSTO,O,X,X,X,X,X,X,X,X,X,X,X
ILJZSOT,O,X,X,X,X,X,X,X,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,X,X,X,X,X,X,X,X
ILJOTSZ,O,X,O,O,X,X,X,X,X,X,X,X
ILJOTZS,O,X,O,X,X,X,X,X,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,O,X,O,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X,X,X,X,X,X
ILSTJZO,X,O,X,O,O,X,O,O,X,X,X,O
ILSTJOZ,X,O,X,O,X,X,O,X,X,X,X,X
ILSTZJO,X,O,X,O,O,X,O,O,X,X,X,O
ILSTZOJ,X,O,X,O,O,X,O,O,X,X,X,O
ILSTOJZ,X,O,X,O,O,X,X,X,X,X,X,X
ILSTOZJ,X,X,X,O,O,X,X,X,X,X,X,O
ILSJTZO,X,O,X,O,O,X,X,X,X,X,X,O
ILSJTOZ,X,O,X,O,X,X,X,X,X,X,X,X
ILSJZTO,X,X,X,O,O,X,X,O,X,X,X,O
ILSJZOT,X,X,X,O,O,X,X,O,X,X,X,X
ILSJOTZ,X,X,X,O,O,X,X,X,X,X,X,X
ILSJOZT,X,X,X,O,O,X,X,X,X,X,X,X
ILSZTJO,X,O,X,O,O,X,O,O,X,X,X,O
ILSZTOJ,X,O,X,O,O,X,O,O,X,O,X,O
ILSZJTO,X,O,X,O,O,X,O,O,X,X,X,O
ILSZJOT,X,X,X,O,O,X,X,O,X,X,X,X
ILSZOTJ,X,O,X,O,O,X,O,O,X,O,X,O
ILSZOJT,X,X,X,O,O,X,X,O,X,X,X,X
ILSOTJZ,X,O,X,O,O,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,O,X,X,X,X,X,X,O
ILSOJTZ,X,X,X,O,O,X,X,X,X,X,X,X
ILSOJZT,X,X,X,O,O,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,O,O,X,X,X,X,O,X,O
ILSOZJT,X,X,X,O,O,X,X,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,X,X,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X,X,X,X,X,X
ILZTSJO,X,O,X,X,X,X,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X,X,X,X,O,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,X,X,X,X,X
ILZJTSO,O,O,O,X,X,X,X,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X,X,X,X,X
ILZJSOT,O,X,X,X,X,X,X,X,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,X,X,X,X,X,X
ILZSTJO,X,O,X,X,O,X,X,X,X,X,X,O
ILZSTOJ,X,O,X,X,O,X,X,X,X,O,X,O
ILZSJTO,X,O,X,X,O,X,X,X,X,X,X,O
ILZSJOT,X,X,X,X,O,X,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,O,X,X,X,X,O,X,O
ILZSOJT,X,X,X,X,O,X,X,X,X,X,X,X
ILZOTJS,O,O,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILZOJTS,O,X,O,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,X,O,X,X,O,X,X,X,X,X,X,X
ILZOSJT,X,X,X,X,O,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,X,X,X,X,X,X,X,X,X
ILOTJZS,O,O,O,X,X,X,X,X,X,X,X,X
ILOTSJZ,X,O,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,O,O,X,X,X,X,X,X,X,X
ILOTZJS,O,X,O,X,X,X,X,X,X,X,X,X
ILOTZSJ,X,X,O,X,X,X,X,X,X,X,X,X
ILOJTSZ,O,X,O,O,X,X,X,X,X,X,X,X
ILOJTZS,O,X,O,X,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,X,O,X,O,O,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,O,O,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,O,O,X,X,X,X,X,X,X
ILOSJZT,X,X,X,O,O,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,O,O,X,X,X,X,X,X,X
ILOSZJT,X,X,X,O,O,X,X,X,X,X,X,X
ILOZTJS,O,X,O,X,X,X,X,X,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,X,X,X,X,X,X
ILOZJTS,O,X,O,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,X,O,X,X,X,X,X,X,X
ILOZSJT,X,X,X,X,O,X,X,X,X,X,X,X
IJTLSZO,O,O,O,O,X,O,X,X,X,X,X,X
IJTLSOZ,O,O,X,O,X,O,X,X,X,X,X,X
IJTLZSO,O,O,O,X,X,O,X,X,X,X,X,X
IJTLZOS,O,O,O,X,X,X,X,X,X,X,X,X
IJTLOSZ,O,O,X,O,X,O,X,X,X,X,X,X
IJTLOZS,O,O,O,X,X,O,X,X,X,X,X,X
IJTSLZO,X,O,O,O,X,O,X,X,X,X,X,X
IJTSLOZ,X,O,X,O,X,O,X,X,X,X,X,X
IJTSZLO,X,X,O,O,X,O,X,X,X,X,X,X
IJTSZOL,X,O,X,O,X,O,X,X,X,X,X,X
IJTSOLZ,X,O,X,O,X,O,X,X,X,X,X,X
IJTSOZL,X,O,X,O,X,O,X,X,X,X,X,X
IJTZLSO,O,O,O,X,X,O,X,X,X,X,X,X
IJTZLOS,O,O,O,X,X,X,X,X,X,X,X,X
IJTZSLO,O,O,O,O,X,O,X,X,X,X,X,X
IJTZSOL,X,O,X,O,X,O,X,X,X,X,X,X
IJTZOLS,O,O,O,X,X,O,X,X,X,X,X,X
IJTZOSL,X,O,X,O,X,O,X,X,X,X,X,X
IJTOLSZ,O,O,X,O,X,O,X,X,X,X,X,X
IJTOLZS,O,O,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,O,O,X,O,X,O,X,X,X,X,X,X
IJTOSZL,O,O,X,O,X,O,X,X,X,X,X,X
IJTOZLS,O,O,O,X,X,O,X,X,X,X,X,X
IJTOZSL,O,O,X,O,X,O,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,O,X,X,X,X,X,X
IJLTSOZ,O,O,X,O,X,O,X,X,X,X,X,X
IJLTZSO,O,O,O,X,X,O,X,X,X,X,X,X
IJLTZOS,O,O,O,X,X,X,X,X,X,X,X,X
IJLTOSZ,O,O,X,O,X,O,X,X,X,X,X,X
IJLTOZS,O,O,O,X,X,O,X,X,X,X,X,X
IJLSTZO,O,O,X,O,X,O,X,X,X,X,X,X
IJLSTOZ,O,O,X,O,X,O,X,X,X,X,X,X
IJLSZTO,O,X,X,O,X,X,X,X,X,X,X,X
IJLSZOT,O,X,X,O,X,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X,X,X,X,X
IJLSOZT,O,X,X,O,X,X,X,X,X,X,X,X
IJLZTSO,O,X,O,X,X,X,X,X,X,X,X,X
IJLZTOS,O,X,O,X,X,X,X,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X,X,X,X,X,X,X
IJLZSOT,O,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,O,X,O,O,X,X,X,X,X,X,X,X
IJLOTZS,O,X,O,X,X,X,X,X,X,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,O,X,O,X,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,O,O,O,X,X,X,X,X,O
IJSTLOZ,X,X,X,O,X,O,X,X,X,X,X,X
IJSTZLO,X,X,X,O,O,O,X,X,X,X,X,O
IJSTZOL,X,X,X,O,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,O,X,X,X,X,X,X
IJSTOZL,X,X,X,O,X,O,X,X,X,X,X,X
IJSLTZO,O,X,X,O,O,O,X,X,X,X,X,O
IJSLTOZ,O,X,X,O,X,O,X,X,X,X,X,X
IJSLZTO,O,X,X,O,O,X,X,X,X,X,X,O
IJSLZOT,O,X,X,O,O,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,O,O,X,X,X,X,X,X,X
IJSLOZT,O,X,X,O,O,X,X,X,X,X,X,X
IJSZTLO,O,X,X,O,O,O,X,X,X,X,X,O
IJSZTOL,X,X,X,O,X,O,X,X,X,O,X,X
IJSZLTO,O,X,X,O,O,X,X,X,X,X,X,O
IJSZLOT,O,X,X,O,O,X,X,X,X,X,X,X
IJSZOTL,X,X,X,O,O,X,X,X,X,O,X,X
IJSZOLT,X,X,X,O,O,X,X,X,X,X,X,X
IJSOTLZ,O,X,X,O,O,O,X,X,X,X,X,X
IJSOTZL,O,X,X,O,O,O,X,X,X,X,X,X
IJSOLTZ,O,X,X,O,O,X,X,X,X,X,X,X
IJSOLZT,O,X,X,O,O,X,X,X,X,X,X,X
IJSOZTL,O,X,X,O,O,X,X,X,X,O,X,X
IJSOZLT,O,X,X,O,O,X,X,X,X,X,X,X
IJZTLSO,O,O,O,X,X,O,X,X,X,X,X,X
IJZTLOS,O,O,O,X,X,X,X,X,X,X,X,X
IJZTSLO,O,O,O,O,X,O,X,X,X,X,X,X
IJZTSOL,X,O,X,O,X,O,X,X,X,O,X,X
IJZTOLS,O,O,O,X,X,O,X,X,X,X,X,X
IJZTOSL,O,O,X,O,X,O,X,X,X,X,X,X
IJZLTSO,O,O,O,X,X,X,X,X,X,X,X,X
IJZLTOS,O,O,O,X,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,O,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,O,O,O,O,X,X,X,X,X,O
IJZSTOL,X,O,X,O,X,O,X,X,X,O,X,X
IJZSLTO,O,O,X,O,O,X,X,X,X,X,X,O
IJZSLOT,O,X,X,O,O,X,X,X,X,X,X,X
IJZSOTL,X,X,X,O,O,X,X,X,X,O,X,X
IJZSOLT,X,X,X,O,O,X,X,X,X,X,X,X
IJZOTLS,O,X,O,X,X,X,X,X,X,X,X,X
IJZOTSL,O,X,X,O,X,X,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,O,X,X,X,X,X,X,X
IJZOSLT,O,X,X,O,O,X,X,X,X,X,X,X
IJOTLSZ,O,X,O,O,X,O,X,X,X,X,X,X
IJOTLZS,O,X,O,X,X,O,X,X,X,X,X,X
IJOTSLZ,O,X,O,O,X,O,X,X,X,X,X,X
IJOTSZL,O,X,O,O,X,O,X,X,X,X,X,X
IJOTZLS,O,X,O,X,X,O,X,X,X,X,X,X
IJOTZSL,O,X,O,O,X,O,X,X,X,X,X,X
IJOLTSZ,O,X,O,O,X,X,X,X,X,X,X,X
IJOLTZS,O,X,O,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,O,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,X,O,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,O,O,O,X,X,X,X,X,X
IJOSTZL,O,X,X,O,O,O,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,O,X,X,X,X,X,X,X
IJOSLZT,O,X,X,O,O,X,X,X,X,X,X,X
IJOSZTL,O,X,X,O,O,X,X,X,X,X,X,X
IJOSZLT,O,X,X,O,O,X,X,X,X,X,X,X
IJOZTLS,O,X,O,X,X,X,X,X,X,X,X,X
IJOZTSL,O,X,O,O,X,X,X,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,X,O,O,O,X,X,X,X,X,X,X
IJOZSLT,O,X,X,O,O,X,X,X,X,X,X,X
ISTLJZO,X,O,X,O,O,O,O,O,X,X,X,O
ISTLJOZ,X,O,X,O,X,O,O,X,X,X,X,X
ISTLZJO,X,O,X,O,O,X,O,O,X,X,O,O
ISTLZOJ,X,X,X,O,O,X,O,O,O,X,O,O
ISTLOJZ,X,O,X,O,O,O,X,X,O,X,X,X
ISTLOZJ,X,X,X,O,O,O,X,X,O,X,X,O
ISTJLZO,X,O,X,O,O,O,O,O,X,X,X,O
ISTJLOZ,X,O,X,O,X,O,O,X,X,X,X,X
ISTJZLO,X,X,X,O,O,O,O,O,X,X,O,O
ISTJZOL,X,O,X,O,X,O,O,X,X,X,X,X
ISTJOLZ,X,O,X,O,X,O,O,X,X,X,X,X
ISTJOZL,X,O,X,O,X,O,O,X,X,X,X,X
ISTZLJO,X,O,X,O,O,X,O,O,X,X,O,O
ISTZLOJ,X,X,X,O,O,X,O,O,O,O,O,O
ISTZJLO,X,O,X,O,O,X,O,O,X,X,O,O
ISTZJOL,X,O,X,O,X,X,O,X,X,O,X,X
ISTZOLJ,X,X,X,O,O,X,X,X,O,O,O,O
ISTZOJL,X,O,X,O,O,X,O,X,O,O,X,X
ISTOLJZ,X,X,X,O,O,O,X,X,O,X,X,X
ISTOLZJ,X,X,X,O,O,O,X,X,O,X,X,O
ISTOJLZ,X,X,X,O,O,O,X,X,O,X,X,X
ISTOJZL,X,X,X,O,O,O,X,X,O,X,X,X
ISTOZLJ,X,X,X,O,O,O,X,X,O,O,O,O
ISTOZJL,X,X,X,O,O,X,X,X,O,O,X,X
ISLTJZO,X,O,X,O,O,X,O,O,X,X,X,O
ISLTJOZ,X,O,X,O,X,X,O,X,X,X,X,X
ISLTZJO,X,O,X,O,O,X,O,O,X,X,X,O
ISLTZOJ,X,X,X,O,O,X,O,O,O,X,X,O
ISLTOJZ,X,O,X,O,O,X,X,X,O,X,X,X
ISLTOZJ,X,X,X,O,O,X,X,X,O,X,X,O
ISLJTZO,X,O,X,O,O,X,X,X,X,X,X,O
ISLJTOZ,X,O,X,O,X,X,X,X,X,X,X,X
ISLJZTO,X,X,X,O,O,X,X,O,X,X,X,O
ISLJZOT,X,X,X,O,O,X,X,O,X,X,X,X
ISLJOTZ,X,X,X,O,O,X,X,X,X,X,X,X
ISLJOZT,X,X,X,O,O,X,X,X,X,X,X,X
ISLZTJO,X,O,X,O,O,X,O,O,X,X,O,O
ISLZTOJ,X,X,X,O,O,X,O,O,O,O,O,O
ISLZJTO,X,X,X,O,O,X,O,O,X,X,O,O
ISLZJOT,X,X,X,O,O,X,X,O,X,X,X,X
ISLZOTJ,X,X,X,O,O,X,O,O,X,O,O,O
ISLZOJT,X,X,X,O,O,X,X,O,X,X,X,X
ISLOTJZ,X,O,X,O,O,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,O,O,X,X,X,X,X,X,O
ISLOJTZ,X,X,X,O,O,X,X,X,X,X,X,X
ISLOJZT,X,X,X,O,O,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,O,O,X,X,X,X,O,X,O
ISLOZJT,X,X,X,O,O,X,X,X,X,X,X,X
ISJTLZO,X,X,X,O,O,O,X,X,X,X,X,O
ISJTLOZ,X,X,X,O,X,O,X,X,X,X,X,X
ISJTZLO,X,X,X,O,O,O,X,X,X,X,X,O
ISJTZOL,X,X,X,O,X,O,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,O,X,X,X,X,X,X
ISJTOZL,X,X,X,O,X,O,X,X,X,X,X,X
ISJLTZO,O,X,X,O,O,O,X,X,X,X,X,O
ISJLTOZ,O,X,X,O,X,O,X,X,X,X,X,X
ISJLZTO,O,X,X,O,O,X,X,O,X,X,X,O
ISJLZOT,O,X,X,O,O,X,X,O,X,X,X,X
ISJLOTZ,O,X,X,O,O,X,X,X,X,X,X,X
ISJLOZT,O,X,X,O,O,X,X,X,X,X,X,X
ISJZTLO,O,X,X,O,O,O,X,X,X,X,X,O
ISJZTOL,X,X,X,O,X,O,X,X,X,O,X,X
ISJZLTO,O,X,X,O,O,X,X,O,X,X,O,O
ISJZLOT,O,X,X,O,O,X,X,O,X,X,X,X
ISJZOTL,X,X,X,O,O,X,X,X,X,O,X,X
ISJZOLT,X,X,X,O,O,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,O,O,O,X,X,X,X,X,X
ISJOTZL,O,X,X,O,O,O,X,X,X,X,X,X
ISJOLTZ,O,X,X,O,O,X,X,X,X,X,X,X
ISJOLZT,O,X,X,O,O,X,X,X,X,X,X,X
ISJOZTL,O,X,X,O,O,X,X,X,X,O,X,X
ISJOZLT,O,X,X,O,O,X,X,X,X,X,X,X
ISZTLJO,X,O,X,O,O,X,O,O,X,X,O,O
ISZTLOJ,X,O,X,O,O,X,O,O,O,O,O,O
ISZTJLO,O,O,X,O,O,X,O,O,X,X,O,O
ISZTJOL,X,O,X,O,X,X,O,X,X,O,X,X
ISZTOLJ,X,X,X,O,O,X,X,X,O,O,O,O
ISZTOJL,O,O,X,O,O,X,O,X,O,O,X,X
ISZLTJO,X,O,X,O,O,X,O,O,X,X,O,O
ISZLTOJ,X,O,X,O,O,X,O,O,O,O,O,O
ISZLJTO,X,O,X,O,O,X,O,O,X,X,O,O
ISZLJOT,X,X,X,O,O,X,X,O,X,X,X,X
ISZLOTJ,X,O,X,O,O,X,O,O,X,O,O,O
ISZLOJT,X,X,X,O,O,X,X,O,X,X,X,X
ISZJTLO,O,O,X,O,O,X,O,X,X,X,X,O
ISZJTOL,X,O,X,O,X,X,O,X,X,O,X,X
ISZJLTO,O,O,X,O,O,X,X,O,X,X,O,O
ISZJLOT,O,X,X,O,O,X,X,O,X,X,X,X
ISZJOTL,X,X,X,O,O,X,X,X,X,O,X,X
ISZJOLT,X,X,X,O,O,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,O,X,X,X,X,O,X,O
ISZOTJL,O,O,X,O,O,X,O,X,X,O,X,X
ISZOLTJ,X,O,X,O,O,X,X,X,X,O,O,O
ISZOLJT,X,X,X,O,O,X,X,X,X,X,X,X
ISZOJTL,O,X,X,O,O,X,X,X,X,O,X,X
ISZOJLT,O,X,X,O,O,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,O,O,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,O,O,X,X,X,X,X,X,O
ISOTJLZ,O,X,X,O,O,X,X,X,X,X,X,X
ISOTJZL,O,X,X,O,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,O,O,X,X,X,X,O,X,O
ISOTZJL,O,X,X,O,O,X,X,X,X,O,X,X
ISOLTJZ,X,X,X,O,O,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,O,O,X,X,X,X,X,X,O
ISOLJTZ,X,X,X,O,O,X,X,X,X,X,X,X
ISOLJZT,X,X,X,O,O,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,O,O,X,X,X,X,O,X,O
ISOLZJT,X,X,X,O,O,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,O,O,X,X,X,X,X,X,X
ISOJTZL,O,X,X,O,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,O,O,X,X,X,X,X,X,X
ISOJLZT,O,X,X,O,O,X,X,X,X,X,X,X
ISOJZTL,O,X,X,O,O,X,X,X,X,O,X,X
ISOJZLT,O,X,X,O,O,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,O,O,X,X,X,X,O,X,O
ISOZTJL,O,X,X,O,O,X,X,X,X,O,X,X
ISOZLTJ,X,X,X,O,O,X,X,X,X,O,O,O
ISOZLJT,X,X,X,O,O,X,X,X,X,X,X,X
ISOZJTL,O,X,X,O,O,X,X,X,X,O,X,X
ISOZJLT,O,X,X,O,O,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,X,X,O,X,X
IZTLOJS,O,O,X,X,X,O,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,O,X,X,X,X,X,X
IZTJLSO,O,O,O,X,X,O,X,X,X,X,X,X
IZTJLOS,O,O,O,X,X,X,X,X,X,X,X,X
IZTJSLO,O,O,O,O,X,O,X,X,X,X,X,X
IZTJSOL,X,O,X,O,X,O,X,X,X,O,X,X
IZTJOLS,O,O,O,X,X,O,X,X,X,X,X,X
IZTJOSL,O,O,X,O,X,O,X,X,X,X,X,X
IZTSLJO,X,O,X,O,O,X,X,X,X,X,O,O
IZTSLOJ,X,O,X,O,O,X,X,X,O,O,O,O
IZTSJLO,O,O,X,O,O,X,X,X,X,X,O,O
IZTSJOL,X,O,X,O,X,X,X,X,X,O,X,X
IZTSOLJ,X,X,X,O,O,X,X,X,O,O,O,O
IZTSOJL,O,O,X,O,O,X,X,X,O,O,X,X
IZTOLJS,O,X,O,X,X,O,X,X,X,X,X,X
IZTOLSJ,X,X,O,X,X,O,X,X,O,X,X,X
IZTOJLS,O,O,O,X,X,O,X,X,X,X,X,X
IZTOJSL,O,O,O,X,X,O,X,X,O,X,X,X
IZTOSLJ,X,X,O,O,O,O,X,X,O,O,X,X
