sequence,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBu?qBirB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBuqBF?nB0rBirB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex8IvhFXeBlgBUiBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFxdBlgB3iBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhF3cBFeB5lBT?iB0mB2wB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBFnBC?rBUrBmrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex7IvhFXeB0gBFnBC?rBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBq?qB2rB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBmrBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBOrBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhFchBXeB5lBF?nBTrBOsB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFXeBlgBxmB6?qBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je/AJvhFchBxdBFnBG?rBisBzqB
ITJZSLO,X,O,O,O,O,X,X,X,O,X,X,O,O
ITJZSOL,X,O,O,O,O,X,X,X,O,X,X,O,X
ITJZOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
ITJZOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ITJOLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJOSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
ITJOSZL,O,O,X,X,O,X,X,X,X,X,X,O,X
ITJOZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
ITJOZSL,X,O,X,X,O,X,X,X,X,X,X,O,X
ITSLJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ITSLJOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ITSLZJO,X,X,X,X,X,O,O,X,O,O,X,O,X
ITSLZOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ITSLOJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ITSLOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ITSJLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
ITSJLOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ITSJZLO,X,O,O,O,O,X,X,X,O,O,X,O,O
ITSJZOL,O,O,O,O,O,X,X,X,O,O,X,O,X
ITSJOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITSJOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
ITSZLJO,X,X,X,X,X,X,O,X,O,O,X,O,X
ITSZLOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ITSZJLO,X,O,O,O,X,X,X,X,O,O,X,O,X
ITSZJOL,X,O,O,O,X,X,X,X,O,O,X,O,X
ITSZOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
ITSZOJL,O,O,O,X,X,X,X,X,O,O,X,O,X
ITSOLJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ITSOLZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
ITSOJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITSOJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
ITSOZLJ,X,X,X,X,O,X,X,X,O,O,O,O,X
ITSOZJL,O,O,O,O,X,X,X,X,O,O,O,O,X
ITZLJSO,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZLJOS,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZLSJO,X,X,X,X,X,X,O,X,X,X,X,O,X
ITZLSOJ,X,X,X,X,X,X,O,X,X,X,X,O,X
ITZLOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZLOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZJLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
ITZJLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
ITZJSLO,X,O,X,X,O,X,X,X,O,X,X,O,X
ITZJSOL,X,O,X,X,O,X,X,X,O,X,X,O,X
ITZJOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
ITZJOSL,X,O,X,X,O,X,X,X,X,X,X,X,X
ITZSLJO,X,X,X,X,X,X,O,X,O,O,X,O,X
ITZSLOJ,X,X,X,X,X,X,O,X,O,O,X,O,X
ITZSJLO,X,O,O,X,X,X,X,X,O,O,X,O,X
ITZSJOL,X,O,O,X,X,X,X,X,O,O,X,O,X
ITZSOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
ITZSOJL,X,X,O,X,X,X,X,X,O,O,X,O,X
ITZOLJS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,O,X,X,X,X,X,X,O,X
ITZOJLS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITZOJSL,X,X,X,X,O,X,X,X,X,X,X,O,X
ITZOSLJ,X,X,X,X,O,X,X,X,X,X,X,O,X
ITZOSJL,X,X,X,X,X,X,X,X,X,X,X,O,X
ITOLJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
ITOLJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOLSJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
ITOLSZJ,X,X,X,X,O,X,X,O,X,X,O,O,X
ITOLZJS,X,X,X,X,O,X,X,X,X,X,O,X,X
ITOLZSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
ITOJLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ITOJLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,X,O,X,X,X,X,X,O,O,X
ITOJZLS,X,O,X,X,O,X,X,X,X,X,O,X,X
ITOJZSL,X,O,X,X,O,X,X,X,X,X,O,O,X
ITOSLJZ,O,O,X,X,O,X,X,O,X,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,O,X,O,O,O,X
ITOSJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITOSJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
ITOSZLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
ITOSZJL,O,O,O,O,X,X,X,X,X,O,O,O,X
ITOZLJS,X,X,X,X,O,X,X,X,X,X,O,X,X
ITOZLSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
ITOZJLS,X,X,X,X,O,X,X,X,X,X,O,X,X
ITOZJSL,X,X,X,X,O,X,X,X,X,X,O,O,X
ITOZSLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
ITOZSJL,X,X,O,X,X,X,X,X,X,O,O,O,X
ILTJSZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ILTJSOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILTJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTJOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILTJOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTSJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ILTSJOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILTSZJO,X,X,X,X,X,O,O,X,X,X,X,O,X
ILTSZOJ,X,X,X,X,X,O,O,O,X,X,X,O,X
ILTSOJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
ILTSOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ILTZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X
ILTZJOS,X,X,X,X,O,O,O,X,X,X,X,X,X
ILTZSJO,X,X,X,X,X,O,O,X,X,X,X,O,X
ILTZSOJ,X,X,X,X,X,O,O,X,X,X,X,O,X
ILTZOJS,X,X,X,X,O,O,O,X,X,X,X,X,X
ILTZOSJ,X,X,X,X,O,O,O,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
ILTOJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
ILTOSZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ILTOZJS,X,X,X,X,O,O,X,X,X,X,O,X,X
ILTOZSJ,X,X,X,X,O,O,X,X,X,X,O,O,X
ILJTSZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJTSOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJTOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJSTZO,O,X,X,X,O,X,X,O,O,X,X,X,X
ILJSTOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJSZTO,O,X,X,X,O,X,X,O,O,X,X,X,X
ILJSZOT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJSOTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJSOZT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJZTOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJZSTO,O,X,X,X,O,X,X,O,O,X,X,X,X
ILJZSOT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJZOTS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJOTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJOTZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJOSTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJOSZT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X,X,O,X,X
ILJOZST,O,X,X,X,O,X,X,O,X,X,X,X,X
ILSTJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ILSTJOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILSTZJO,X,X,X,X,X,O,O,X,O,O,X,O,X
ILSTZOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ILSTOJZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILSTOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ILSJTZO,O,X,X,O,O,X,X,O,O,X,X,X,X
ILSJTOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILSJZTO,O,X,X,O,O,X,X,O,O,X,X,X,X
ILSJZOT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILSJOTZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILSJOZT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILSZTJO,X,X,X,X,X,X,O,X,O,O,X,O,X
ILSZTOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ILSZJTO,O,X,X,O,X,X,X,O,X,X,X,X,X
ILSZJOT,O,X,X,X,X,X,X,O,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,O,X,O,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,O,X,X,X,X,X
ILSOTJZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILSOTZJ,X,X,X,X,O,O,X,O,X,O,O,X,X
ILSOJTZ,O,X,X,O,O,O,X,O,X,X,X,X,X
ILSOJZT,O,X,X,O,O,X,X,O,X,X,X,X,X
ILSOZTJ,X,X,X,X,O,O,X,O,X,O,O,X,X
ILSOZJT,X,X,X,O,X,X,X,O,X,X,X,X,X
ILZTJSO,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZTJOS,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZTSJO,X,X,X,X,X,X,O,X,X,X,X,O,X
ILZTSOJ,X,X,X,X,X,X,O,X,X,X,X,O,X
ILZTOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZTOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZJTSO,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZJTOS,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZJSTO,O,X,X,X,O,X,X,O,O,X,X,X,X
ILZJSOT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILZJOTS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZJOST,O,X,X,X,O,X,X,O,X,X,X,X,X
ILZSTJO,X,X,X,X,X,X,O,X,O,O,X,O,X
ILZSTOJ,X,X,X,X,X,X,O,O,O,O,X,O,X
ILZSJTO,O,X,X,X,X,X,X,O,X,X,X,X,X
ILZSJOT,O,X,X,X,X,X,X,O,X,X,X,X,X
ILZSOTJ,X,X,X,X,X,X,X,O,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X,O,X,X,X,X,X
ILZOTJS,X,X,X,X,O,X,O,X,X,X,O,X,X
ILZOTSJ,X,X,X,X,O,X,O,X,X,X,O,X,X
ILZOJTS,X,X,X,X,O,X,X,X,X,X,O,X,X
ILZOJST,X,X,X,X,O,X,X,O,X,X,X,X,X
ILZOSTJ,X,X,X,X,O,X,X,O,X,X,O,X,X
ILZOSJT,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOTJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
ILOTJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
ILOTSZJ,X,X,X,X,O,O,X,O,X,X,O,X,X
ILOTZJS,X,X,X,X,O,O,X,X,X,X,O,X,X
ILOTZSJ,X,X,X,X,O,O,X,X,X,X,O,X,X
ILOJTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILOJTZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILOJSZT,O,X,X,X,O,X,X,O,X,X,X,X,X
ILOJZTS,X,X,X,X,O,X,X,X,X,X,O,X,X
ILOJZST,O,X,X,X,O,X,X,O,X,X,X,X,X
ILOSTJZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILOSTZJ,X,X,X,X,O,O,X,O,X,O,O,X,X
ILOSJTZ,O,X,X,O,O,O,X,O,X,X,X,X,X
ILOSJZT,O,X,X,O,O,X,X,O,X,X,X,X,X
ILOSZTJ,X,X,X,X,O,O,X,O,X,O,O,X,X
ILOSZJT,X,X,X,O,X,X,X,O,X,X,X,X,X
ILOZTJS,X,X,X,X,O,X,X,X,X,X,O,X,X
ILOZTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
ILOZJTS,X,X,X,X,O,X,X,X,X,X,O,X,X
ILOZJST,X,X,X,X,O,X,X,O,X,X,X,X,X
ILOZSTJ,X,X,X,X,O,X,X,O,X,O,O,X,X
ILOZSJT,X,X,X,X,X,X,X,O,X,X,X,X,X
IJTLSZO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTLSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTLOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTSLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
IJTSLOZ,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTSZLO,X,O,O,O,O,X,X,X,O,X,X,O,O
IJTSZOL,O,O,O,O,O,X,X,X,O,X,X,O,X
IJTSOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
IJTSOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
IJTZLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
IJTZLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTZSLO,X,O,O,O,O,X,X,X,O,X,X,O,O
IJTZSOL,X,O,O,O,O,X,X,X,O,X,X,O,X
IJTZOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTZOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTOLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTOSZL,O,O,X,X,O,X,X,X,X,X,X,O,X
IJTOZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTOZSL,X,O,X,X,O,X,X,X,X,X,X,O,X
IJLTSZO,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLTSOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLTOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLSTZO,O,X,X,X,O,X,X,O,O,X,X,X,X
IJLSTOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLSZTO,O,X,X,X,O,X,X,O,O,X,X,X,X
IJLSZOT,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLSOTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLSOZT,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLZTOS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLZSTO,O,X,X,X,O,X,X,O,O,X,X,X,X
IJLZSOT,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLZOTS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLZOST,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLOTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLOTZS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLOSTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLOSZT,O,X,X,X,O,X,X,O,X,X,X,X,X
IJLOZTS,X,X,X,X,O,X,X,X,X,X,O,X,X
IJLOZST,O,X,X,X,O,X,X,O,X,X,X,X,X
IJSTLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
IJSTLOZ,O,O,X,X,O,X,X,O,X,X,X,X,X
IJSTZLO,X,O,O,O,O,X,X,X,O,O,X,O,O
IJSTZOL,O,O,O,O,O,X,X,X,O,O,X,O,X
IJSTOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
IJSTOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
IJSLTZO,O,X,X,O,O,X,X,O,O,X,X,X,X
IJSLTOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJSLZTO,O,X,X,O,O,X,X,O,O,X,X,X,X
IJSLZOT,O,X,X,X,O,X,X,O,X,X,X,X,X
IJSLOTZ,O,O,X,X,O,X,X,O,X,X,X,X,X
IJSLOZT,O,O,X,X,O,X,X,O,X,X,X,X,X
IJSZTLO,X,O,O,O,O,X,X,X,O,O,X,O,O
IJSZTOL,O,O,O,O,O,X,X,X,O,O,X,O,X
IJSZLTO,O,X,O,O,O,X,X,X,O,X,X,X,X
IJSZLOT,O,O,X,X,O,X,X,X,X,X,X,X,X
IJSZOTL,O,O,O,O,O,X,X,X,O,X,X,X,X
IJSZOLT,O,O,X,X,O,X,X,X,X,X,X,X,X
IJSOTLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
IJSOTZL,O,O,X,O,O,X,X,X,O,O,O,X,X
IJSOLTZ,O,O,X,O,O,X,X,O,X,X,X,X,X
IJSOLZT,O,O,X,O,O,X,X,O,X,X,X,X,X
IJSOZTL,O,O,X,O,O,X,X,X,O,O,X,X,X
IJSOZLT,O,O,X,O,O,X,X,X,X,X,X,X,X
IJZTLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZTLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZTSLO,X,O,O,O,O,X,X,X,O,X,X,O,O
IJZTSOL,X,O,O,O,O,X,X,X,O,X,X,O,X
IJZTOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZTOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZLTSO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZLTOS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLSTO,O,X,O,X,O,X,X,X,O,X,X,X,X
IJZLSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZSTLO,X,O,O,O,O,X,X,X,O,O,X,O,O
IJZSTOL,O,O,O,O,O,X,X,X,O,O,X,O,X
IJZSLTO,O,X,O,O,O,X,X,X,O,X,X,X,X
IJZSLOT,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZSOTL,O,O,O,O,O,X,X,X,O,X,X,X,X
IJZSOLT,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZOTLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZOSTL,O,O,O,X,O,X,X,X,O,X,X,X,X
IJZOSLT,O,O,X,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
IJOTSZL,O,O,X,X,O,X,X,X,X,X,O,X,X
IJOTZLS,X,O,X,X,O,X,X,X,X,X,O,X,X
IJOTZSL,X,O,X,X,O,X,X,X,X,X,O,X,X
IJOLTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJOLTZS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
IJOLSZT,O,X,X,X,O,X,X,O,X,X,X,X,X
IJOLZTS,X,X,X,X,O,X,X,X,X,X,O,X,X
IJOLZST,O,X,X,X,O,X,X,O,X,X,X,X,X
IJOSTLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
IJOSTZL,O,O,X,O,O,X,X,X,O,O,O,X,X
IJOSLTZ,O,O,X,O,O,X,X,O,X,X,X,X,X
IJOSLZT,O,O,X,O,O,X,X,O,X,X,X,X,X
IJOSZTL,O,O,X,O,O,X,X,X,O,O,X,X,X
IJOSZLT,O,O,X,O,O,X,X,X,X,X,X,X,X
IJOZTLS,X,O,X,X,O,X,X,X,X,X,O,X,X
IJOZTSL,X,O,X,X,O,X,X,X,X,X,O,X,X
IJOZLTS,X,X,X,X,O,X,X,X,X,X,O,X,X
IJOZLST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,X,O,X,X,X,O,O,X,X,X
IJOZSLT,O,O,X,X,O,X,X,X,X,X,X,X,X
ISTLJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ISTLJOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISTLZJO,X,X,X,X,X,O,O,X,O,O,X,O,X
ISTLZOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ISTLOJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISTLOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ISTJLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
ISTJLOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISTJZLO,X,O,O,O,O,X,X,X,O,O,X,O,O
ISTJZOL,O,O,O,O,O,X,X,X,O,O,X,O,X
ISTJOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
ISTJOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
ISTZLJO,X,X,X,X,X,X,O,X,O,O,X,O,X
ISTZLOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ISTZJLO,X,O,O,O,X,X,X,X,O,O,X,O,X
ISTZJOL,X,O,O,O,X,X,X,X,O,O,X,O,X
ISTZOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
ISTZOJL,O,O,O,X,X,X,X,X,O,O,X,O,X
ISTOLJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISTOLZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
ISTOJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
ISTOJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
ISTOZLJ,X,X,X,X,O,X,X,X,O,O,O,O,X
ISTOZJL,O,O,O,O,X,X,X,X,O,O,O,O,X
ISLTJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ISLTJOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISLTZJO,X,X,X,X,X,O,O,X,O,O,X,O,X
ISLTZOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ISLTOJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISLTOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ISLJTZO,O,X,X,O,O,X,X,O,O,X,X,X,X
ISLJTOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ISLJZTO,O,X,X,O,O,X,X,O,O,X,X,X,X
ISLJZOT,O,X,X,X,O,X,X,O,X,X,X,X,X
ISLJOTZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISLJOZT,O,O,X,X,O,X,X,O,X,X,X,X,X
ISLZTJO,X,X,X,X,X,X,O,X,O,O,X,O,X
ISLZTOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
ISLZJTO,O,X,O,O,X,X,X,O,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X,O,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,O,X,O,X,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLOTJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,O,X,O,X,O,O,X,X
ISLOJTZ,O,O,X,O,O,O,X,O,X,X,X,X,X
ISLOJZT,O,O,X,O,O,X,X,O,X,X,X,X,X
ISLOZTJ,X,X,X,X,O,O,X,O,X,O,O,X,X
ISLOZJT,X,X,X,O,X,X,X,O,X,X,X,X,X
ISJTLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
ISJTLOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISJTZLO,X,O,O,O,O,X,X,X,O,O,X,O,O
ISJTZOL,O,O,O,O,O,X,X,X,O,O,X,O,X
ISJTOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
ISJTOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
ISJLTZO,O,X,X,O,O,X,X,O,O,X,X,X,X
ISJLTOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ISJLZTO,O,X,X,O,O,X,X,O,O,X,X,X,X
ISJLZOT,O,X,X,X,O,X,X,O,X,X,X,X,X
ISJLOTZ,O,O,X,X,O,O,X,O,X,X,X,X,X
ISJLOZT,O,O,X,X,O,X,X,O,X,X,X,X,X
ISJZTLO,X,O,O,O,O,X,X,X,O,O,X,O,O
ISJZTOL,O,O,O,O,O,X,X,X,O,O,X,O,X
ISJZLTO,O,X,O,O,O,X,X,X,O,X,X,X,X
ISJZLOT,O,O,X,X,O,X,X,X,X,X,X,X,X
ISJZOTL,O,O,O,O,O,X,X,X,O,X,X,X,X
