sequence,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhFyh?BGeBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je2AJvhFRc?BCeB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BfjB6jBTgBemBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeOAJvhF8g?BCdBxiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFWj?BRhB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BWjB/lBamBTjBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFzd?B+jBRhB3hB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFyh?BGeBUjBxlBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem7IvhFzc?BfjB6jBxlB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeX8IvhFxd?B2lBCiBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je07IvhFxd?B2lBCiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem8IvhFSj?BxgBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jez8IvhFGe?BUjBxlB/lBamBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeyAJvhFzc?BxlBXoBGoB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFmc?BUjBxlBXmBStBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeC9IvhF/l?BUhBxiBTjBmlBFtB
JSLZOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLOTZI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLOITZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOIZT,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JSLOZTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZTILO,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JSZTIOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JSZTLOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
JSZTOIL,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JSZTOLI,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X
JSZITLO,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JSZITOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JSZILTO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,O,O
JSZILOT,O,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X
JSZIOTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSZIOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JSZLTIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JSZLTOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
JSZLITO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O
JSZLIOT,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JSZLOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTIZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JSOTLZI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JSOITZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JSOILZT,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
JSOIZTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JSOLTIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLTZI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLITZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JSOLZTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTILSO,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JZTILOS,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JZTISLO,X,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X
JZTISOL,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X
JZTIOLS,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JZTIOSL,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
JZTLISO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLIOS,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JZTLSIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZTLSOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JZTLOIS,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JZTLOSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZTSILO,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZTSIOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZTSLOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JZTSOIL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZTSOLI,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JZTOILS,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JZTOISL,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
JZTOLIS,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JZTOLSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZTOSIL,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZTOSLI,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JZITLSO,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JZITLOS,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JZITSLO,X,O,O,X,O,X,O,X,X,X,X,X,O,X,O,X
JZITSOL,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X
JZITOLS,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JZITOSL,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
JZILTSO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JZILTOS,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JZILSTO,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JZILSOT,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
JZILOTS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILOST,O,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
JZISTLO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZISTOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZISLTO,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
JZISLOT,O,O,O,X,O,O,X,O,X,X,X,X,O,X,O,X
JZISOTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZISOLT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JZIOTLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOTSL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOLTS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOLST,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
JZIOSTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZIOSLT,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JZLTISO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTIOS,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JZLTSIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZLTOIS,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JZLTOSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZLITSO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JZLITOS,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JZLISTO,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JZLISOT,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
JZLIOTS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
JZLSTIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JZLSITO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JZLSIOT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JZLSOTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOTSI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOITS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLOIST,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZLOSTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZSTIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZSTLOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JZSTOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSTOLI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSITLO,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O,X
JZSITOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZSILTO,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X
JZSILOT,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,X
JZSIOTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZSIOLT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JZSLTIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JZSLITO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JZSLIOT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JZSLOTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSOILT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSOLTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTISL,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JZOTLIS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTLSI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTSIL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTSLI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOITLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOITSL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOILTS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOILST,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
JZOISTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JZOISLT,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JZOLTIS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLTSI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLITS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOLIST,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JZOLSTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOSILT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOSLTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JOTILZS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTISLZ,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOTISZL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JOTIZLS,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JOTIZSL,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X
JOTLISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLIZS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLSIZ,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X
JOTLSZI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLZIS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLZSI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTSILZ,X,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X
JOTSIZL,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JOTSLIZ,X,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X
JOTSLZI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTSZIL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTSZLI,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZILS,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JOTZISL,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOTZLIS,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JOTZLSI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTZSIL,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOTZSLI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOITLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITSZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITZLS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOITZSL,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JOILTSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOILTZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JOILSZT,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOILZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOISTZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISLTZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOISLZT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JOISZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JOIZTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JOIZLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOIZSTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOIZSLT,O,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X
JOLTISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTIZS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTSIZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTSZI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTZIS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTZSI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLITSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSTZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSIZT,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSZTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLZTSI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLZITS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSTIZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSTLZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSTZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JOSITZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JOSILZT,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
JOSIZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSLTIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSLTZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSLITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLIZT,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JOSLZTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSLZIT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSZTIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSZLIT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZTILS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTISL,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOZTLIS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTLSI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTSIL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTSLI,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZITLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZITSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZILTS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZILST,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JOZISTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOZISLT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOZLTIS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZLTSI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZLITS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOZLSTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSTIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSITL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZSILT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZSLTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZSLIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILJZO,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
STILJOZ,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X
STILZJO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
STILZOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
STILOJZ,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
STILOZJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
STIJLZO,X,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
STIJLOZ,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X
STIJZLO,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
STIJZOL,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
STIJOLZ,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
STIJOZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
STIZLJO,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O
STIZLOJ,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,O
STIZJLO,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O
STIZJOL,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X
STIZOLJ,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O
STIZOJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
STIOLJZ,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
STIOLZJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
STIOJLZ,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
STIOJZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
STIOZLJ,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,O
STIOZJL,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
STLIJZO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
STLIJOZ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
STLIZJO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
STLIZOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
STLIOJZ,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
STLIOZJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
STLJIZO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
