sequence,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFOiB6jB3gBc?mBziBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFKiBzdB+jB3?gBcmBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBXeBzhBS?oBmlBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBcmBm?iBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFyiB+jB3gBc?mBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBFiB8?nBTmBOsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFlcBCeB/nBT?jBxlBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jel7IvhF3cBciBTeBx?lBCoBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBTeBFiBm?lBfsBCtB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je09IvhF6jBRhBTgBO?mBfsBlsB
ILOTJSZ,O,X,X,X,X,X,X,O,X,X
ILOTJZS,O,X,X,X,X,X,X,O,X,X
ILOTSJZ,O,X,X,X,X,X,O,O,X,X
ILOTSZJ,X,X,X,X,X,X,O,O,X,X
ILOTZJS,O,X,X,X,X,X,X,O,X,X
ILOTZSJ,O,X,X,X,X,X,O,O,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,X,X
ILOJTZS,O,X,X,X,X,X,X,O,X,X
ILOJSTZ,X,X,X,X,X,X,O,O,O,X
ILOJSZT,O,X,X,X,X,X,O,O,O,X
ILOJZTS,O,X,X,X,X,X,X,O,O,X
ILOJZST,O,X,X,X,X,X,O,O,O,X
ILOSTJZ,X,X,X,X,X,X,O,O,O,X
ILOSTZJ,X,X,X,X,X,O,O,O,O,X
ILOSJTZ,X,X,X,X,X,X,O,O,O,X
ILOSJZT,O,X,X,X,X,O,O,O,O,X
ILOSZTJ,O,X,X,O,X,O,O,O,O,X
ILOSZJT,O,X,X,O,X,O,O,O,O,X
ILOZTJS,O,X,X,X,X,X,X,O,O,X
ILOZTSJ,O,X,X,X,X,O,O,O,O,X
ILOZJTS,O,X,X,X,X,X,X,O,O,X
ILOZJST,O,X,X,X,X,X,O,O,O,X
ILOZSTJ,O,X,X,X,X,O,O,O,O,X
ILOZSJT,O,X,X,X,X,O,O,O,O,X
IJTLSZO,O,X,O,X,X,X,O,O,X,X
IJTLSOZ,O,O,O,X,X,X,O,O,X,X
IJTLZSO,O,O,O,O,O,X,O,O,X,X
IJTLZOS,O,O,O,X,X,X,X,O,X,X
IJTLOSZ,O,O,O,X,X,X,X,O,X,X
IJTLOZS,O,O,O,X,X,X,X,O,X,X
IJTSLZO,O,X,X,X,X,X,O,O,X,X
IJTSLOZ,O,O,X,X,X,X,O,O,X,X
IJTSZLO,X,O,X,X,O,X,O,O,X,X
IJTSZOL,X,O,X,X,O,X,O,O,X,X
IJTSOLZ,O,X,X,X,X,X,O,X,X,X
IJTSOZL,X,X,X,X,X,X,O,O,X,X
IJTZLSO,O,O,O,O,O,X,O,O,X,X
IJTZLOS,O,O,O,X,X,X,X,O,X,X
IJTZSLO,O,O,O,O,O,X,O,O,X,X
IJTZSOL,O,O,O,O,O,X,O,O,X,X
IJTZOLS,O,O,O,X,X,X,X,O,X,X
IJTZOSL,O,O,O,X,X,X,O,O,X,X
IJTOLSZ,O,O,O,X,X,X,X,O,X,X
IJTOLZS,O,O,O,X,X,X,X,O,X,X
IJTOSLZ,O,X,O,X,X,X,O,X,X,X
IJTOSZL,X,X,O,X,X,X,O,O,X,X
IJTOZLS,O,O,O,X,X,X,X,O,X,X
IJTOZSL,X,O,O,X,X,X,O,O,X,X
IJLTSZO,O,X,O,X,X,X,O,O,X,X
IJLTSOZ,O,O,O,X,X,X,O,O,X,X
IJLTZSO,O,O,O,O,O,X,O,O,X,X
IJLTZOS,O,O,O,X,X,X,X,O,X,X
IJLTOSZ,O,O,O,X,X,X,X,O,X,X
IJLTOZS,O,O,O,X,X,X,X,O,X,X
IJLSTZO,X,X,O,X,X,X,O,O,O,X
IJLSTOZ,X,X,O,X,X,X,O,O,O,X
IJLSZTO,O,O,O,O,O,X,O,O,O,X
IJLSZOT,O,X,O,O,O,X,O,O,O,X
IJLSOTZ,X,X,X,X,X,X,O,O,O,X
IJLSOZT,X,X,O,X,X,O,O,O,O,X
IJLZTSO,O,O,O,X,X,X,O,O,X,X
IJLZTOS,O,O,O,X,X,X,X,O,O,X
IJLZSTO,X,X,O,O,O,X,O,O,O,X
IJLZSOT,X,X,O,O,O,X,O,O,O,X
IJLZOTS,O,X,X,X,X,X,X,O,O,X
IJLZOST,O,X,O,X,X,X,O,O,O,X
IJLOTSZ,X,X,X,X,X,X,X,O,X,X
IJLOTZS,O,X,X,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,X,X,X,O,O,O,X
IJLOSZT,O,X,X,X,X,X,O,O,O,X
IJLOZTS,O,X,X,X,X,X,X,O,O,X
IJLOZST,O,X,X,X,X,X,O,O,O,X
IJSTLZO,X,X,X,X,X,X,O,O,O,X
IJSTLOZ,X,O,X,X,X,X,O,O,O,X
IJSTZLO,X,O,X,X,O,X,O,O,O,X
IJSTZOL,X,O,X,X,O,X,O,O,O,X
IJSTOLZ,X,X,X,X,X,X,O,X,O,X
IJSTOZL,X,X,X,X,X,X,O,O,O,X
IJSLTZO,X,X,X,X,X,X,O,O,O,X
IJSLTOZ,X,X,X,X,X,X,O,O,O,X
IJSLZTO,O,O,X,O,O,X,O,O,O,X
IJSLZOT,O,X,X,O,O,X,O,O,O,X
IJSLOTZ,X,X,X,X,X,X,O,O,O,X
IJSLOZT,X,X,X,X,X,O,O,O,O,X
IJSZTLO,O,O,X,O,O,X,O,O,O,X
IJSZTOL,O,O,X,O,O,X,O,O,O,X
IJSZLTO,O,O,X,O,O,X,O,O,O,X
IJSZLOT,O,X,X,O,O,X,O,O,O,X
IJSZOTL,O,O,X,X,O,X,O,O,O,X
IJSZOLT,O,X,X,O,O,X,O,O,O,X
IJSOTLZ,X,X,X,X,X,X,O,X,X,X
IJSOTZL,X,X,X,X,X,X,O,O,X,X
IJSOLTZ,X,X,X,X,X,X,O,X,X,X
IJSOLZT,X,X,X,X,X,O,O,X,X,X
IJSOZTL,X,O,X,X,O,O,O,O,X,X
IJSOZLT,X,X,X,X,O,O,O,O,X,X
IJZTLSO,O,O,O,X,O,X,O,O,X,X
IJZTLOS,O,O,O,X,X,X,X,O,O,X
IJZTSLO,O,O,O,X,O,X,O,O,O,X
IJZTSOL,O,O,O,X,O,X,O,O,O,X
IJZTOLS,O,O,O,X,X,X,X,O,X,X
IJZTOSL,O,O,O,X,X,X,O,O,X,X
IJZLTSO,O,O,O,X,X,X,O,O,X,X
IJZLTOS,O,O,O,X,X,X,X,O,O,X
IJZLSTO,X,X,O,O,O,X,O,O,O,X
IJZLSOT,X,X,O,O,O,X,O,O,O,X
IJZLOTS,O,X,X,X,X,X,X,O,O,X
IJZLOST,O,X,O,X,X,X,O,O,O,X
IJZSTLO,X,O,O,O,O,X,O,O,O,X
IJZSTOL,X,O,O,X,O,X,O,O,O,X
IJZSLTO,X,O,O,O,O,X,O,O,O,X
IJZSLOT,X,X,O,O,O,X,O,O,O,X
IJZSOTL,X,O,X,X,O,X,O,O,O,X
IJZSOLT,X,X,X,O,O,X,O,O,O,X
IJZOTLS,O,O,O,X,X,X,X,O,X,X
IJZOTSL,X,X,O,X,X,X,O,O,X,X
IJZOLTS,O,X,X,X,X,X,X,O,O,X
IJZOLST,O,X,O,X,X,X,O,O,O,X
IJZOSTL,X,X,X,X,X,X,O,O,O,X
IJZOSLT,O,X,X,X,X,X,O,O,O,X
IJOTLSZ,X,O,X,X,X,X,X,O,X,X
IJOTLZS,O,O,X,X,X,X,X,O,X,X
IJOTSLZ,X,X,X,X,X,X,O,X,X,X
IJOTSZL,X,X,X,X,X,X,O,O,X,X
IJOTZLS,X,O,X,X,X,X,X,O,X,X
IJOTZSL,X,O,X,X,X,X,O,O,X,X
IJOLTSZ,X,X,X,X,X,X,X,O,X,X
IJOLTZS,O,X,X,X,X,X,X,O,X,X
IJOLSTZ,X,X,X,X,X,X,O,O,X,X
IJOLSZT,O,X,X,X,X,X,O,O,X,X
IJOLZTS,O,X,X,X,X,X,X,O,X,X
IJOLZST,O,X,X,X,X,X,O,O,X,X
IJOSTLZ,X,X,X,X,X,X,O,X,X,X
IJOSTZL,X,X,X,X,X,X,O,O,X,X
IJOSLTZ,X,X,X,X,X,X,O,X,X,X
IJOSLZT,O,X,X,X,X,X,O,X,X,X
IJOSZTL,X,O,X,X,O,X,O,O,X,X
IJOSZLT,X,X,X,X,O,X,O,O,X,X
IJOZTLS,X,O,X,X,X,X,X,O,X,X
IJOZTSL,X,X,X,X,X,X,O,O,X,X
IJOZLTS,O,X,X,X,X,X,X,O,X,X
IJOZLST,O,X,X,X,X,X,O,O,X,X
IJOZSTL,X,X,X,X,X,X,O,O,X,X
IJOZSLT,X,X,X,X,X,X,O,O,X,X
ISTLJZO,O,X,X,X,X,X,O,O,O,O
ISTLJOZ,O,O,X,X,X,X,X,O,O,X
ISTLZJO,O,X,X,O,X,X,O,O,O,O
ISTLZOJ,O,X,X,O,X,X,O,O,O,O
ISTLOJZ,O,X,X,X,X,X,O,O,O,X
ISTLOZJ,X,X,X,X,X,O,O,O,O,O
ISTJLZO,O,X,X,X,X,X,O,O,O,O
ISTJLOZ,O,O,X,X,X,X,O,O,O,X
ISTJZLO,X,O,X,X,O,X,O,O,O,O
ISTJZOL,X,O,X,X,O,X,O,O,O,X
ISTJOLZ,O,X,X,X,X,X,O,X,O,X
ISTJOZL,X,X,X,X,X,X,O,O,O,X
ISTZLJO,O,O,X,O,O,X,O,X,O,O
ISTZLOJ,O,O,X,O,X,X,O,X,O,O
ISTZJLO,O,O,X,O,O,X,O,O,O,O
ISTZJOL,O,O,X,O,O,X,O,O,X,X
ISTZOLJ,O,O,X,O,X,X,O,X,O,O
ISTZOJL,O,O,X,O,O,X,O,X,X,X
ISTOLJZ,O,X,X,X,X,X,O,X,O,X
ISTOLZJ,X,X,X,X,X,O,O,X,O,O
ISTOJLZ,O,X,X,X,X,X,O,X,X,X
ISTOJZL,X,X,X,X,X,X,O,O,X,X
ISTOZLJ,X,X,X,X,X,O,O,X,O,O
ISTOZJL,X,X,X,X,X,O,O,X,X,X
ISLTJZO,O,X,X,X,X,X,O,O,O,O
ISLTJOZ,O,X,X,X,X,X,X,O,O,X
ISLTZJO,O,X,X,O,X,X,O,O,O,O
ISLTZOJ,O,X,X,O,X,X,O,O,O,O
ISLTOJZ,O,X,X,X,X,X,O,O,O,X
ISLTOZJ,X,X,X,X,X,O,O,O,O,O
ISLJTZO,X,X,X,X,X,X,O,O,O,X
ISLJTOZ,X,X,X,X,X,X,X,O,O,X
ISLJZTO,O,O,X,O,O,X,O,O,O,O
ISLJZOT,O,X,X,O,O,X,X,O,O,O
ISLJOTZ,X,X,X,X,X,X,X,O,O,X
ISLJOZT,X,X,X,X,X,O,X,O,O,X
ISLZTJO,O,O,X,O,O,X,O,O,O,O
ISLZTOJ,O,O,X,O,X,O,O,O,O,O
ISLZJTO,O,O,X,O,O,X,O,O,X,O
ISLZJOT,O,X,X,O,O,X,O,O,O,O
ISLZOTJ,O,X,X,O,X,O,O,O,O,O
ISLZOJT,O,X,X,O,X,O,O,O,O,O
ISLOTJZ,X,X,X,X,X,X,O,O,O,X
ISLOTZJ,X,X,X,X,X,O,O,O,O,X
ISLOJTZ,X,X,X,X,X,X,O,O,O,X
ISLOJZT,O,X,X,X,X,O,O,O,O,X
ISLOZTJ,O,X,X,O,X,O,O,O,O,O
ISLOZJT,O,X,X,O,X,O,O,O,O,O
ISJTLZO,X,X,X,X,X,X,O,O,O,O
ISJTLOZ,X,O,X,X,X,X,O,O,O,X
ISJTZLO,X,O,X,X,O,X,O,O,O,O
ISJTZOL,X,O,X,X,O,X,O,O,O,X
ISJTOLZ,X,X,X,X,X,X,O,X,O,X
ISJTOZL,X,X,X,X,X,X,O,O,O,X
ISJLTZO,X,X,X,X,X,X,O,O,O,X
ISJLTOZ,X,X,X,X,X,X,O,O,O,X
ISJLZTO,O,O,X,O,O,X,O,O,O,O
ISJLZOT,O,X,X,O,O,X,O,O,O,O
ISJLOTZ,X,X,X,X,X,X,O,O,O,X
ISJLOZT,X,X,X,X,X,O,O,O,O,X
ISJZTLO,O,O,X,O,O,X,O,O,O,X
ISJZTOL,O,O,X,O,O,X,O,O,O,X
ISJZLTO,O,O,X,O,O,X,O,O,O,O
ISJZLOT,O,X,X,O,O,X,O,O,O,O
ISJZOTL,O,O,X,X,O,X,O,O,O,X
ISJZOLT,O,X,X,O,O,X,O,O,O,X
ISJOTLZ,X,X,X,X,X,X,O,X,X,X
ISJOTZL,X,X,X,X,X,X,O,O,X,X
ISJOLTZ,X,X,X,X,X,X,O,X,X,X
ISJOLZT,X,X,X,X,X,O,O,X,X,X
ISJOZTL,X,O,X,X,O,O,O,O,X,X
ISJOZLT,X,X,X,X,O,O,O,O,X,X
ISZTLJO,O,O,X,O,O,X,O,X,O,O
ISZTLOJ,O,O,X,O,X,O,O,X,O,O
ISZTJLO,O,O,X,O,O,X,O,O,O,O
ISZTJOL,O,O,X,O,O,X,O,O,X,X
ISZTOLJ,O,O,X,O,X,X,O,X,O,O
ISZTOJL,O,O,X,O,O,X,O,X,X,X
ISZLTJO,O,O,X,O,O,X,O,X,O,O
ISZLTOJ,O,O,X,O,X,O,O,X,O,O
ISZLJTO,O,O,X,O,O,X,O,X,X,O
ISZLJOT,O,X,X,O,O,X,O,X,O,O
ISZLOTJ,O,X,X,O,X,O,O,X,O,O
ISZLOJT,O,X,X,O,X,O,O,X,O,O
ISZJTLO,O,O,X,O,O,X,O,O,O,X
ISZJTOL,O,O,X,O,O,X,O,O,X,X
ISZJLTO,O,O,X,O,O,X,O,O,X,O
ISZJLOT,O,X,X,O,O,X,O,O,O,O
ISZJOTL,O,O,X,X,O,X,O,O,X,X
ISZJOLT,O,X,X,O,O,X,O,O,X,X
ISZOTLJ,O,O,X,O,X,O,O,X,O,X
ISZOTJL,O,O,X,O,O,O,O,X,X,X
ISZOLTJ,O,X,X,O,X,O,O,X,O,O
ISZOLJT,O,X,X,O,X,O,O,X,O,O
ISZOJTL,O,O,X,X,O,O,O,X,X,X
ISZOJLT,O,X,X,O,O,O,O,X,X,X
ISOTLJZ,X,X,X,X,X,X,O,X,X,X
ISOTLZJ,X,X,X,X,X,O,O,X,X,O
ISOTJLZ,X,X,X,X,X,X,O,X,X,X
ISOTJZL,X,X,X,X,X,X,O,O,X,X
ISOTZLJ,X,X,X,X,X,O,O,X,X,O
ISOTZJL,X,X,X,X,X,O,O,X,X,X
ISOLTJZ,X,X,X,X,X,X,O,X,X,X
ISOLTZJ,X,X,X,X,X,O,O,X,X,X
ISOLJTZ,X,X,X,X,X,X,O,X,X,X
ISOLJZT,O,X,X,X,X,O,O,X,X,X
ISOLZTJ,O,X,X,O,X,O,O,X,X,O
ISOLZJT,O,X,X,O,X,O,O,X,X,O
ISOJTLZ,X,X,X,X,X,X,O,X,X,X
ISOJTZL,X,X,X,X,X,X,O,O,X,X
ISOJLTZ,X,X,X,X,X,X,O,X,X,X
ISOJLZT,O,X,X,X,X,O,O,X,X,X
ISOJZTL,X,O,X,X,O,O,O,O,X,X
ISOJZLT,X,X,X,X,O,O,O,O,X,X
ISOZTLJ,O,O,X,O,X,O,O,X,X,X
ISOZTJL,O,O,X,O,O,O,O,X,X,X
ISOZLTJ,O,X,X,O,X,O,O,X,X,O
ISOZLJT,O,X,X,O,X,O,O,X,X,O
ISOZJTL,O,O,X,X,O,O,O,X,X,X
ISOZJLT,O,X,X,O,O,O,O,X,X,X
IZTLJSO,O,O,O,O,X,X,O,O,X,X
IZTLJOS,O,O,X,X,X,X,X,O,X,X
IZTLSJO,O,O,O,O,X,X,O,O,X,X
IZTLSOJ,O,O,O,O,X,O,O,O,X,X
IZTLOJS,O,O,O,X,X,X,X,O,O,X
IZTLOSJ,O,X,O,X,X,X,X,O,O,X
IZTJLSO,O,O,O,O,O,X,O,O,X,X
IZTJLOS,O,O,O,X,X,X,X,O,O,X
IZTJSLO,O,O,O,O,O,X,O,O,O,X
IZTJSOL,O,O,O,O,O,X,O,O,O,X
IZTJOLS,O,O,O,X,X,X,X,O,X,X
IZTJOSL,O,O,O,X,X,X,O,O,X,X
IZTSLJO,O,O,O,O,O,X,O,X,O,X
IZTSLOJ,O,O,O,O,X,O,O,X,O,X
IZTSJLO,O,O,X,O,O,X,O,O,O,X
IZTSJOL,O,O,X,O,O,X,O,O,X,X
IZTSOLJ,O,O,O,O,X,X,O,X,O,X
IZTSOJL,O,O,X,O,O,X,O,X,X,X
IZTOLJS,O,O,O,X,X,X,X,X,X,X
IZTOLSJ,O,X,O,X,X,X,O,X,X,X
IZTOJLS,O,O,O,X,X,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,O,X,X,X
IZTOSLJ,O,X,O,X,X,X,O,X,X,X
IZTOSJL,O,X,X,X,X,X,O,X,X,X
IZLTJSO,O,O,O,O,X,X,O,O,X,X
IZLTJOS,O,O,X,X,X,X,X,O,X,X
IZLTSJO,O,O,O,O,X,X,O,O,X,X
IZLTSOJ,O,X,O,O,X,O,O,O,X,X
IZLTOJS,O,O,O,X,X,X,X,O,O,X
IZLTOSJ,O,X,O,X,X,X,X,O,O,X
IZLJTSO,O,O,O,X,X,X,O,O,X,X
IZLJTOS,O,O,O,X,X,X,X,O,O,X
IZLJSTO,X,X,O,O,X,X,O,O,O,X
IZLJSOT,X,X,O,O,X,X,O,O,O,X
IZLJOTS,O,X,X,X,X,X,X,O,O,X
IZLJOST,O,X,O,X,X,X,O,O,O,X
IZLSTJO,O,X,O,O,X,X,O,O,O,X
IZLSTOJ,O,X,O,O,X,O,O,O,O,X
IZLSJTO,O,X,O,O,X,X,O,O,X,X
IZLSJOT,O,X,O,O,X,X,X,O,O,X
IZLSOTJ,O,X,O,O,X,O,O,O,O,X
IZLSOJT,O,X,O,O,X,O,O,O,O,X
IZLOTJS,O,X,X,X,X,X,X,O,O,X
IZLOTSJ,O,X,X,X,X,O,O,O,O,X
IZLOJTS,O,X,X,X,X,X,X,O,O,X
IZLOJST,O,X,X,X,X,X,O,O,O,X
IZLOSTJ,O,X,O,X,X,O,O,O,O,X
IZLOSJT,O,X,O,X,X,O,O,O,O,X
IZJTLSO,O,O,O,X,O,X,O,O,X,X
IZJTLOS,O,O,O,X,X,X,X,O,O,X
IZJTSLO,O,O,O,X,O,X,O,O,O,X
IZJTSOL,O,O,O,X,O,X,O,O,O,X
IZJTOLS,O,O,O,X,X,X,X,O,X,X
IZJTOSL,O,O,O,X,X,X,O,O,X,X
IZJLTSO,O,O,O,X,X,X,O,O,X,X
IZJLTOS,O,O,O,X,X,X,X,O,O,X
IZJLSTO,X,X,O,O,O,X,O,O,O,X
IZJLSOT,X,X,O,O,O,X,O,O,O,X
IZJLOTS,O,X,X,X,X,X,X,O,O,X
IZJLOST,O,X,O,X,X,X,O,O,O,X
IZJSTLO,X,O,O,O,O,X,O,O,O,X
IZJSTOL,X,O,O,X,O,X,O,O,O,X
IZJSLTO,X,O,O,O,O,X,O,O,O,X
IZJSLOT,X,X,O,O,O,X,O,O,O,X
IZJSOTL,X,O,X,X,O,X,O,O,O,X
IZJSOLT,X,X,X,O,O,X,O,O,O,X
IZJOTLS,O,O,O,X,X,X,X,O,X,X
IZJOTSL,X,X,O,X,X,X,O,O,X,X
IZJOLTS,O,X,X,X,X,X,X,O,O,X
IZJOLST,O,X,O,X,X,X,O,O,O,X
IZJOSTL,X,X,X,X,X,X,O,O,O,X
IZJOSLT,O,X,X,X,X,X,O,O,O,X
IZSTLJO,O,O,O,O,O,X,O,X,O,X
IZSTLOJ,O,O,O,O,X,O,O,X,O,X
IZSTJLO,O,O,X,O,O,X,O,O,O,X
IZSTJOL,O,O,X,O,O,X,O,O,X,X
IZSTOLJ,O,O,O,O,X,X,O,X,O,X
IZSTOJL,O,O,X,O,O,X,O,X,X,X
IZSLTJO,O,O,O,O,O,X,O,X,O,X
IZSLTOJ,O,O,O,O,X,O,O,X,O,X
IZSLJTO,O,O,O,O,O,X,O,X,X,X
IZSLJOT,O,X,O,O,O,X,O,X,O,X
IZSLOTJ,O,X,O,O,X,O,O,X,O,X
IZSLOJT,O,X,O,O,X,O,O,X,O,X
IZSJTLO,O,O,O,O,O,X,O,O,O,X
IZSJTOL,O,O,O,O,O,X,O,O,O,X
IZSJLTO,O,O,O,O,O,X,O,O,O,X
IZSJLOT,O,X,O,O,O,X,O,O,O,X
IZSJOTL,O,O,X,X,O,X,O,O,O,X
IZSJOLT,O,X,X,O,O,X,O,O,O,X
IZSOTLJ,O,O,X,O,X,O,O,X,O,X
IZSOTJL,O,O,X,O,O,O,O,X,X,X
IZSOLTJ,O,X,X,O,X,O,O,X,O,X
IZSOLJT,O,X,X,O,X,O,O,X,O,X
IZSOJTL,O,O,X,X,O,O,O,X,X,X
IZSOJLT,O,X,X,O,O,O,O,X,X,X
IZOTLJS,O,O,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,O,O,X,X,X
IZOTJLS,O,O,O,X,X,X,X,X,X,X
IZOTJSL,O,X,X,X,X,X,O,X,X,X
IZOTSLJ,O,X,O,X,X,O,O,X,X,X
IZOTSJL,O,X,X,X,X,O,O,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X,O,X
IZOLTSJ,O,X,X,X,X,O,O,X,O,X
IZOLJTS,O,X,X,X,X,X,X,X,O,X
IZOLJST,O,X,X,X,X,X,O,X,O,X
IZOLSTJ,O,X,O,X,X,O,O,X,O,X
IZOLSJT,O,X,O,X,X,O,O,X,O,X
IZOJTLS,O,O,O,X,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,X,O,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X,O,X
IZOJLST,O,X,O,X,X,X,O,X,O,X
IZOJSTL,O,X,X,X,X,X,O,X,O,X
IZOJSLT,O,X,X,X,X,X,O,X,O,X
IZOSTLJ,O,X,X,X,X,O,O,X,O,X
IZOSTJL,O,X,X,X,X,O,O,X,X,X
IZOSLTJ,O,X,X,X,X,O,O,X,O,X
IZOSLJT,O,X,X,X,X,O,O,X,O,X
IZOSJTL,O,X,X,X,X,O,O,X,X,X
IZOSJLT,O,X,X,X,X,O,O,X,X,X
IOTLJSZ,O,O,X,X,X,X,X,O,X,X
IOTLJZS,O,O,X,X,X,X,X,O,X,X
IOTLSJZ,O,X,X,X,X,X,O,O,X,X
IOTLSZJ,X,X,X,X,X,X,O,O,X,X
IOTLZJS,O,X,X,X,X,X,X,O,X,X
IOTLZSJ,O,X,X,X,X,X,O,O,X,X
IOTJLSZ,O,O,X,X,X,X,X,O,X,X
IOTJLZS,O,O,X,X,X,X,X,O,X,X
IOTJSLZ,O,X,X,X,X,X,O,X,X,X
IOTJSZL,X,X,X,X,X,X,O,O,X,X
IOTJZLS,O,O,X,X,X,X,X,O,X,X
IOTJZSL,O,X,X,X,X,X,O,O,X,X
IOTSLJZ,O,X,X,X,X,X,O,X,X,X
IOTSLZJ,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,X,X,X,X,X,O,X,X,X
IOTSJZL,X,X,X,X,X,X,O,O,X,X
IOTSZLJ,X,X,X,X,X,X,O,X,X,X
IOTSZJL,X,X,X,X,X,X,O,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,O,X,X,X
IOTZJLS,O,O,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,X,X,X,O,X,X,X
IOTZSLJ,O,X,X,X,X,X,O,X,X,X
IOTZSJL,O,X,X,X,X,X,O,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,O,X,X
IOLTJZS,O,X,X,X,X,X,X,O,X,X
IOLTSJZ,O,X,X,X,X,X,O,O,X,X
IOLTSZJ,X,X,X,X,X,X,O,O,X,X
IOLTZJS,O,X,X,X,X,X,X,O,X,X
IOLTZSJ,O,X,X,X,X,X,O,O,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X
IOLJTZS,O,X,X,X,X,X,X,O,X,X
IOLJSTZ,X,X,X,X,X,X,O,O,X,X
IOLJSZT,O,X,X,X,X,X,O,O,X,X
IOLJZTS,O,X,X,X,X,X,X,O,X,X
IOLJZST,O,X,X,X,X,X,O,O,X,X
IOLSTJZ,X,X,X,X,X,X,O,O,X,X
IOLSTZJ,X,X,X,X,X,O,O,O,X,X
IOLSJTZ,X,X,X,X,X,X,O,O,X,X
IOLSJZT,O,X,X,X,X,O,O,O,X,X
IOLSZTJ,O,X,X,O,X,O,O,O,X,X
IOLSZJT,O,X,X,O,X,O,O,O,X,X
IOLZTJS,O,X,X,X,X,X,X,O,X,X
IOLZTSJ,O,X,X,X,X,O,O,O,X,X
IOLZJTS,O,X,X,X,X,X,X,O,X,X
IOLZJST,O,X,X,X,X,X,O,O,X,X
IOLZSTJ,O,X,X,X,X,O,O,O,X,X
IOLZSJT,O,X,X,X,X,O,O,O,X,X
IOJTLSZ,X,O,X,X,X,X,X,O,X,X
IOJTLZS,O,O,X,X,X,X,X,O,X,X
IOJTSLZ,X,X,X,X,X,X,O,X,X,X
IOJTSZL,X,X,X,X,X,X,O,O,X,X
IOJTZLS,X,O,X,X,X,X,X,O,X,X
IOJTZSL,X,X,X,X,X,X,O,O,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X
IOJLTZS,O,X,X,X,X,X,X,O,X,X
IOJLSTZ,X,X,X,X,X,X,O,O,X,X
IOJLSZT,O,X,X,X,X,X,O,O,X,X
IOJLZTS,O,X,X,X,X,X,X,O,X,X
IOJLZST,O,X,X,X,X,X,O,O,X,X
IOJSTLZ,X,X,X,X,X,X,O,X,X,X
IOJSTZL,X,X,X,X,X,X,O,O,X,X
IOJSLTZ,X,X,X,X,X,X,O,X,X,X
IOJSLZT,O,X,X,X,X,X,O,X,X,X
IOJSZTL,X,O,X,X,O,X,O,O,X,X
IOJSZLT,X,X,X,X,O,X,O,O,X,X
IOJZTLS,O,O,X,X,X,X,X,O,X,X
IOJZTSL,X,X,X,X,X,X,O,O,X,X
IOJZLTS,O,X,X,X,X,X,X,O,X,X
IOJZLST,O,X,X,X,X,X,O,O,X,X
IOJZSTL,O,X,X,X,X,X,O,O,X,X
IOJZSLT,O,X,X,X,X,X,O,O,X,X
IOSTLJZ,X,X,X,X,X,X,O,X,X,X
IOSTLZJ,X,X,X,X,X,O,O,X,X,X
IOSTJLZ,X,X,X,X,X,X,O,X,X,X
IOSTJZL,X,X,X,X,X,X,O,O,X,X
IOSTZLJ,X,X,X,X,X,O,O,X,X,X
IOSTZJL,X,X,X,X,X,O,O,X,X,X
IOSLTJZ,X,X,X,X,X,X,O,X,X,X
IOSLTZJ,X,X,X,X,X,O,O,X,X,X
IOSLJTZ,X,X,X,X,X,X,O,X,X,X
IOSLJZT,O,X,X,X,X,O,O,X,X,X
IOSLZTJ,O,X,X,O,X,O,O,X,X,X
IOSLZJT,O,X,X,O,X,O,O,X,X,X
IOSJTLZ,X,X,X,X,X,X,O,X,X,X
IOSJTZL,X,X,X,X,X,X,O,O,X,X
IOSJLTZ,X,X,X,X,X,X,O,X,X,X
IOSJLZT,O,X,X,X,X,O,O,X,X,X
IOSJZTL,X,O,X,X,O,O,O,O,X,X
IOSJZLT,X,X,X,X,O,O,O,O,X,X
IOSZTLJ,O,O,X,O,X,O,O,X,X,X
