sequence,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufB3bBqiBT?eBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBGeBqkBz?iBllB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhF3bBGeBqkBz?iBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel6IvhF3bBuiBcjBK?kBRlBTqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFlbBuiBcjBy?kBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFCeB0gBXjBx?pBmpBlqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel7IvhFGeBifBziB0?fBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufBqiBTeB0?gBVqB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeG+IvhFxfBziB0kBl?lBikB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jei6IvhFGeB1kB0gBz?iBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBFjBGqBf?qBzqBCtB
ILJTOZS,X,O,O,X,O,X,O,O,X,X,X
ILJSTZO,X,X,X,O,X,O,X,X,X,X,O
ILJSTOZ,O,X,X,X,X,O,X,X,X,X,X
ILJSZTO,X,X,X,O,X,O,X,X,X,X,O
ILJSZOT,O,X,X,O,X,O,X,X,X,X,X
ILJSOTZ,O,X,X,X,X,O,X,X,X,X,X
ILJSOZT,O,X,X,X,X,O,X,X,X,X,X
ILJZTSO,O,X,X,O,O,X,X,X,X,X,X
ILJZTOS,O,X,X,O,O,X,X,X,X,X,X
ILJZSTO,O,X,X,O,O,O,X,X,X,X,X
ILJZSOT,O,X,X,O,O,O,X,X,X,X,X
ILJZOTS,O,O,X,O,O,X,X,X,X,X,X
ILJZOST,O,O,X,O,O,O,X,X,X,X,X
ILJOTSZ,O,O,O,X,X,X,O,O,X,X,X
ILJOTZS,X,O,O,X,O,X,O,O,X,X,X
ILJOSTZ,O,O,O,X,X,O,O,X,X,X,X
ILJOSZT,O,O,X,X,X,O,X,X,X,X,X
ILJOZTS,O,O,O,X,O,X,O,X,X,X,X
ILJOZST,O,O,X,X,O,O,X,X,X,X,X
ILSTJZO,O,X,X,O,O,O,X,O,X,X,X
ILSTJOZ,O,X,O,X,O,O,O,O,X,X,X
ILSTZJO,O,X,X,O,O,O,X,O,X,X,X
ILSTZOJ,O,O,O,O,O,X,O,O,X,X,X
ILSTOJZ,O,O,O,X,O,X,O,O,X,X,X
ILSTOZJ,O,O,O,O,O,X,O,O,X,X,X
ILSJTZO,X,X,X,O,O,O,X,X,X,X,X
ILSJTOZ,O,X,X,X,O,O,O,X,X,X,X
ILSJZTO,X,X,X,O,O,O,X,X,X,X,X
ILSJZOT,O,X,X,O,O,O,X,X,X,X,X
ILSJOTZ,O,X,X,X,O,O,O,X,X,X,X
ILSJOZT,O,X,X,X,O,O,O,X,X,X,X
ILSZTJO,O,X,X,O,O,O,X,X,X,X,X
ILSZTOJ,O,X,X,O,O,X,O,X,X,X,X
ILSZJTO,O,X,X,O,O,O,X,X,X,X,X
ILSZJOT,O,X,X,O,O,O,X,X,X,X,X
ILSZOTJ,O,X,X,O,O,X,O,X,X,X,X
ILSZOJT,O,O,X,O,O,O,O,X,X,X,X
ILSOTJZ,O,O,O,X,O,X,O,O,X,X,X
ILSOTZJ,O,O,O,O,O,X,O,O,X,X,X
ILSOJTZ,O,O,O,X,O,O,O,X,X,X,X
ILSOJZT,O,O,X,X,O,O,O,X,X,X,X
ILSOZTJ,O,X,X,O,O,X,O,X,X,X,X
ILSOZJT,O,O,X,O,O,O,O,X,X,X,X
ILZTJSO,O,X,X,O,O,X,X,O,X,X,X
ILZTJOS,O,O,X,O,O,X,X,O,X,O,X
ILZTSJO,O,X,X,O,O,X,X,O,X,X,X
ILZTSOJ,O,O,O,O,O,X,X,O,X,O,X
ILZTOJS,O,O,O,O,O,X,O,O,X,O,X
ILZTOSJ,O,O,O,O,O,X,X,O,X,O,X
ILZJTSO,O,X,X,O,O,X,X,X,X,X,X
ILZJTOS,O,X,X,O,O,X,X,X,X,X,X
ILZJSTO,O,X,X,O,O,O,X,X,X,X,X
ILZJSOT,O,X,X,O,O,O,X,X,X,X,X
ILZJOTS,O,O,X,O,O,X,X,X,X,X,X
ILZJOST,O,O,X,O,O,O,X,X,X,X,X
ILZSTJO,O,X,X,O,O,O,X,X,X,X,X
ILZSTOJ,O,X,X,O,O,X,X,X,X,X,X
ILZSJTO,O,X,X,O,O,O,X,X,X,X,X
ILZSJOT,O,X,X,O,O,O,X,X,X,X,X
ILZSOTJ,O,X,X,O,O,X,X,X,X,X,X
ILZSOJT,O,O,X,O,O,O,X,X,X,X,X
ILZOTJS,O,O,O,O,O,X,O,O,X,O,X
ILZOTSJ,O,O,O,O,O,X,X,O,X,O,X
ILZOJTS,O,O,O,O,O,X,O,X,X,O,X
ILZOJST,O,O,X,O,O,X,X,X,X,X,X
ILZOSTJ,O,X,X,O,O,X,X,X,X,X,X
ILZOSJT,O,O,X,O,O,X,X,X,X,X,X
ILOTJSZ,O,O,O,O,X,X,O,O,X,O,X
ILOTJZS,X,O,O,O,O,X,O,O,X,O,X
ILOTSJZ,O,O,O,O,X,X,O,O,X,O,X
ILOTSZJ,O,O,O,O,O,X,O,O,X,O,X
ILOTZJS,O,O,O,O,O,X,O,O,X,O,X
ILOTZSJ,O,O,O,O,O,X,X,O,X,O,X
ILOJTSZ,O,O,O,O,X,X,O,O,X,O,X
ILOJTZS,X,O,O,O,O,X,O,O,X,O,X
ILOJSTZ,O,O,O,O,X,X,O,X,X,X,X
ILOJSZT,O,O,X,O,X,X,O,X,X,X,X
ILOJZTS,O,O,O,O,O,X,O,X,X,O,X
ILOJZST,O,O,X,O,O,X,X,X,X,X,X
ILOSTJZ,O,O,O,O,X,X,O,O,X,X,X
ILOSTZJ,O,O,O,O,O,X,O,O,X,X,X
ILOSJTZ,O,O,O,O,X,X,O,X,X,X,X
ILOSJZT,O,O,X,O,X,X,O,X,X,X,X
ILOSZTJ,O,X,X,O,O,X,O,X,X,X,X
ILOSZJT,O,O,X,O,O,X,O,X,X,X,X
ILOZTJS,O,O,O,O,O,X,O,O,X,O,X
ILOZTSJ,O,O,O,O,O,X,X,O,X,O,X
ILOZJTS,O,O,O,O,O,X,O,X,X,O,X
ILOZJST,O,O,X,O,O,X,X,X,X,X,X
ILOZSTJ,O,X,X,O,O,X,X,X,X,X,X
ILOZSJT,O,O,X,O,O,X,X,X,X,X,X
IJTLSZO,O,X,X,X,X,X,X,O,X,X,O
IJTLSOZ,O,X,X,X,X,X,X,O,X,X,X
IJTLZSO,X,X,X,X,O,X,X,O,X,X,X
IJTLZOS,X,X,X,X,O,X,X,O,X,O,X
IJTLOSZ,O,X,X,X,X,X,O,O,X,O,X
IJTLOZS,X,X,X,X,O,X,O,O,X,O,X
IJTSLZO,O,X,X,X,O,O,X,O,X,X,O
IJTSLOZ,O,X,X,X,O,O,O,O,X,X,X
IJTSZLO,O,X,X,X,O,O,X,O,X,X,O
IJTSZOL,X,X,X,X,O,O,X,X,X,X,O
IJTSOLZ,O,X,X,X,X,O,O,X,X,X,X
IJTSOZL,X,X,X,X,X,O,O,X,X,X,O
IJTZLSO,X,X,X,X,O,X,X,O,X,X,X
IJTZLOS,X,X,X,X,O,X,X,O,X,O,X
IJTZSLO,X,X,X,X,O,O,X,O,X,X,O
IJTZSOL,X,X,X,X,O,O,X,X,X,X,O
IJTZOLS,X,X,X,X,O,X,X,O,X,O,X
IJTZOSL,X,X,X,X,O,O,X,X,X,O,X
IJTOLSZ,X,X,X,X,X,X,O,O,X,O,X
IJTOLZS,X,X,X,X,X,X,O,O,X,O,X
IJTOSLZ,X,X,X,X,X,O,O,X,X,O,X
IJTOSZL,X,X,X,X,X,O,O,X,X,O,O
IJTOZLS,X,X,X,X,X,X,O,O,X,O,X
IJTOZSL,X,X,X,X,X,O,O,X,X,O,X
IJLTSZO,O,X,X,X,X,X,X,O,X,X,O
IJLTSOZ,O,X,O,X,X,X,X,O,X,X,X
IJLTZSO,X,X,X,X,O,X,X,O,X,X,X
IJLTZOS,X,O,X,X,O,X,X,O,X,X,X
IJLTOSZ,O,O,O,X,X,X,O,O,X,X,X
IJLTOZS,X,O,O,X,O,X,O,O,X,X,X
IJLSTZO,X,X,X,X,X,O,X,X,X,X,O
IJLSTOZ,O,X,X,X,X,O,X,X,X,X,X
IJLSZTO,X,X,X,X,X,O,X,X,X,X,O
IJLSZOT,O,X,X,X,X,O,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,O,X,X,X,X,X
IJLSOZT,O,X,X,X,X,O,X,X,X,X,X
IJLZTSO,O,X,X,X,O,X,X,X,X,X,X
IJLZTOS,O,X,X,X,O,X,X,X,X,X,X
IJLZSTO,O,X,X,X,O,O,X,X,X,X,X
IJLZSOT,O,X,X,X,O,O,X,X,X,X,X
IJLZOTS,O,O,X,X,O,X,X,X,X,X,X
IJLZOST,O,O,X,X,O,O,X,X,X,X,X
IJLOTSZ,O,O,O,X,X,X,O,O,X,X,X
IJLOTZS,X,O,O,X,O,X,O,O,X,X,X
IJLOSTZ,O,O,O,X,X,O,O,X,X,X,X
IJLOSZT,O,O,X,X,X,O,X,X,X,X,X
IJLOZTS,O,O,O,X,O,X,O,X,X,X,X
IJLOZST,O,O,X,X,O,O,X,X,X,X,X
IJSTLZO,X,X,X,X,O,O,X,X,X,X,O
IJSTLOZ,O,X,X,X,O,O,O,X,X,X,X
IJSTZLO,X,X,X,X,O,O,X,X,X,X,O
IJSTZOL,X,X,X,X,O,O,X,X,X,X,O
IJSTOLZ,X,X,X,X,X,O,O,X,X,X,X
IJSTOZL,X,X,X,X,X,O,O,X,X,X,O
IJSLTZO,X,X,X,X,O,O,X,X,X,X,O
IJSLTOZ,O,X,X,X,O,O,O,X,X,X,X
IJSLZTO,X,X,X,X,O,O,X,X,X,X,O
IJSLZOT,O,X,X,X,O,O,X,X,X,X,X
IJSLOTZ,O,X,X,X,O,O,O,X,X,X,X
IJSLOZT,O,X,X,X,O,O,O,X,X,X,X
IJSZTLO,X,X,X,X,O,O,X,X,X,X,O
IJSZTOL,X,X,X,X,O,O,X,X,X,X,O
IJSZLTO,X,X,X,X,O,O,X,X,X,X,O
IJSZLOT,O,X,X,X,O,O,X,X,X,X,X
IJSZOTL,X,X,X,X,O,O,X,X,X,X,O
IJSZOLT,X,X,X,X,O,O,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,O,O,X,X,X,X
IJSOTZL,X,X,X,X,X,O,O,X,X,X,O
IJSOLTZ,O,X,X,X,X,O,O,X,X,X,X
IJSOLZT,O,X,X,X,X,O,O,X,X,X,X
IJSOZTL,X,X,X,X,X,O,O,X,X,X,O
IJSOZLT,X,X,X,X,X,O,O,X,X,X,X
IJZTLSO,O,X,X,X,O,X,X,X,X,X,X
IJZTLOS,O,X,X,X,O,X,X,X,X,O,X
IJZTSLO,O,X,X,X,O,O,X,X,X,X,O
IJZTSOL,O,X,X,X,O,O,X,X,X,X,O
IJZTOLS,O,X,X,X,O,X,X,X,X,O,X
IJZTOSL,O,X,X,X,O,O,X,X,X,O,X
IJZLTSO,O,X,X,X,O,X,X,X,X,X,X
IJZLTOS,O,X,X,X,O,X,X,X,X,X,X
IJZLSTO,O,X,X,X,O,O,X,X,X,X,X
IJZLSOT,O,X,X,X,O,O,X,X,X,X,X
IJZLOTS,O,X,X,X,O,X,X,X,X,X,X
IJZLOST,O,X,X,X,O,O,X,X,X,X,X
IJZSTLO,O,X,X,X,O,O,X,X,X,X,O
IJZSTOL,X,X,X,X,O,O,X,X,X,X,O
IJZSLTO,O,X,X,X,O,O,X,X,X,X,O
IJZSLOT,O,X,X,X,O,O,X,X,X,X,X
IJZSOTL,X,X,X,X,O,O,X,X,X,X,O
IJZSOLT,O,X,X,X,O,O,X,X,X,X,X
IJZOTLS,X,X,X,X,O,X,X,X,X,O,X
IJZOTSL,X,X,X,X,O,O,X,X,X,O,X
IJZOLTS,O,X,X,X,O,X,X,X,X,O,X
IJZOLST,O,X,X,X,O,O,X,X,X,X,X
IJZOSTL,X,X,X,X,O,O,X,X,X,O,X
IJZOSLT,O,X,X,X,O,O,X,X,X,X,X
IJOTLSZ,X,O,O,X,X,X,O,X,X,O,X
IJOTLZS,X,O,O,X,X,X,O,X,X,O,X
IJOTSLZ,X,X,X,X,X,O,O,X,X,O,X
IJOTSZL,X,X,X,X,X,O,O,X,X,O,O
IJOTZLS,X,X,X,X,X,X,O,X,X,O,X
IJOTZSL,X,X,X,X,X,O,O,X,X,O,X
IJOLTSZ,X,O,O,X,X,X,O,X,X,O,X
IJOLTZS,X,O,O,X,X,X,O,X,X,O,X
IJOLSTZ,X,O,O,X,X,O,O,X,X,X,X
IJOLSZT,X,O,X,X,X,O,O,X,X,X,X
IJOLZTS,X,O,O,X,X,X,O,X,X,O,X
IJOLZST,X,O,X,X,X,O,X,X,X,X,X
IJOSTLZ,X,X,X,X,X,O,O,X,X,O,X
IJOSTZL,X,X,X,X,X,O,O,X,X,O,O
IJOSLTZ,X,O,O,X,X,O,O,X,X,X,X
IJOSLZT,X,O,X,X,X,O,O,X,X,X,X
IJOSZTL,X,X,X,X,X,O,O,X,X,O,O
IJOSZLT,X,X,X,X,X,O,O,X,X,X,X
IJOZTLS,X,X,X,X,X,X,O,X,X,O,X
IJOZTSL,X,X,X,X,X,O,O,X,X,O,X
IJOZLTS,X,O,O,X,X,X,O,X,X,O,X
IJOZLST,X,O,X,X,X,O,X,X,X,X,X
IJOZSTL,X,X,X,X,X,O,O,X,X,O,X
IJOZSLT,X,X,X,X,X,O,O,X,X,X,X
ISTLJZO,O,X,X,X,O,O,X,O,X,X,X
ISTLJOZ,O,X,O,X,O,O,O,O,X,X,X
ISTLZJO,O,X,X,X,O,O,X,O,X,X,X
ISTLZOJ,O,X,O,X,O,X,O,O,X,O,X
ISTLOJZ,O,X,O,X,O,X,O,O,X,O,X
ISTLOZJ,O,X,O,X,O,X,O,O,X,O,X
ISTJLZO,O,X,X,X,O,O,X,O,X,X,O
ISTJLOZ,O,X,X,X,O,O,O,O,X,X,X
ISTJZLO,O,X,X,X,O,O,X,O,X,X,O
ISTJZOL,X,X,X,X,O,O,X,X,X,X,O
ISTJOLZ,O,X,X,X,X,O,O,X,X,X,X
ISTJOZL,X,X,X,X,X,O,O,X,X,X,O
ISTZLJO,O,X,X,X,O,O,X,O,X,X,X
ISTZLOJ,O,X,X,X,O,X,O,O,X,O,X
ISTZJLO,O,X,X,X,O,O,X,O,X,X,X
ISTZJOL,X,X,X,X,O,O,X,X,X,X,X
ISTZOLJ,X,X,X,X,O,X,O,X,X,O,X
ISTZOJL,X,X,X,X,O,X,O,X,X,O,X
ISTOLJZ,O,X,O,X,O,X,O,X,X,O,X
ISTOLZJ,O,X,O,X,O,X,O,X,X,O,X
ISTOJLZ,O,X,O,X,X,X,O,X,X,O,X
ISTOJZL,X,X,X,X,X,X,O,X,X,O,X
ISTOZLJ,X,X,X,X,O,X,O,X,X,O,X
ISTOZJL,X,X,X,X,O,X,O,X,X,O,X
ISLTJZO,O,X,X,O,O,O,X,O,X,X,X
ISLTJOZ,O,X,O,X,O,O,O,O,X,X,X
ISLTZJO,O,X,X,O,O,O,X,O,X,X,X
ISLTZOJ,O,O,O,O,O,X,O,O,X,X,X
ISLTOJZ,O,O,O,X,O,X,O,O,X,X,X
ISLTOZJ,O,O,O,O,O,X,O,O,X,X,X
ISLJTZO,X,X,X,O,O,O,X,X,X,X,X
ISLJTOZ,O,X,X,X,O,O,O,X,X,X,X
ISLJZTO,X,X,X,O,O,O,X,X,X,X,X
ISLJZOT,O,X,X,O,O,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,O,O,O,X,X,X,X
ISLJOZT,O,X,X,X,O,O,O,X,X,X,X
ISLZTJO,O,X,X,O,O,O,X,X,X,X,X
ISLZTOJ,O,X,X,O,O,X,O,X,X,X,X
ISLZJTO,O,X,X,O,O,O,X,X,X,X,X
ISLZJOT,O,X,X,O,O,O,X,X,X,X,X
ISLZOTJ,O,X,X,O,O,X,O,X,X,X,X
ISLZOJT,O,O,X,O,O,O,O,X,X,X,X
ISLOTJZ,O,O,O,X,O,X,O,O,X,X,X
ISLOTZJ,O,O,O,O,O,X,O,O,X,X,X
ISLOJTZ,O,O,O,X,O,O,O,X,X,X,X
ISLOJZT,O,O,X,X,O,O,O,X,X,X,X
ISLOZTJ,O,X,X,O,O,X,O,X,X,X,X
ISLOZJT,O,O,X,O,O,O,O,X,X,X,X
ISJTLZO,X,X,X,X,O,O,X,X,X,X,O
ISJTLOZ,O,X,X,X,O,O,O,X,X,X,X
ISJTZLO,X,X,X,X,O,O,X,X,X,X,O
ISJTZOL,X,X,X,X,O,O,X,X,X,X,O
ISJTOLZ,X,X,X,X,X,O,O,X,X,X,X
ISJTOZL,X,X,X,X,X,O,O,X,X,X,O
ISJLTZO,X,X,X,X,O,O,X,X,X,X,O
ISJLTOZ,O,X,X,X,O,O,O,X,X,X,X
ISJLZTO,X,X,X,X,O,O,X,X,X,X,O
ISJLZOT,O,X,X,X,O,O,X,X,X,X,X
ISJLOTZ,O,X,X,X,O,O,O,X,X,X,X
ISJLOZT,O,X,X,X,O,O,O,X,X,X,X
ISJZTLO,X,X,X,X,O,O,X,X,X,X,O
ISJZTOL,X,X,X,X,O,O,X,X,X,X,O
ISJZLTO,X,X,X,X,O,O,X,X,X,X,O
ISJZLOT,O,X,X,X,O,O,X,X,X,X,X
ISJZOTL,X,X,X,X,O,O,X,X,X,X,O
ISJZOLT,X,X,X,X,O,O,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,O,O,X,X,X,X
ISJOTZL,X,X,X,X,X,O,O,X,X,X,O
ISJOLTZ,O,X,X,X,X,O,O,X,X,X,X
ISJOLZT,O,X,X,X,X,O,O,X,X,X,X
ISJOZTL,X,X,X,X,X,O,O,X,X,X,O
ISJOZLT,X,X,X,X,X,O,O,X,X,X,X
ISZTLJO,O,X,X,X,O,O,X,X,X,X,X
ISZTLOJ,O,X,X,X,O,X,O,X,X,O,X
ISZTJLO,O,X,X,X,O,O,X,X,X,X,X
ISZTJOL,O,X,X,X,O,O,X,X,X,X,X
ISZTOLJ,O,X,X,X,O,X,O,X,X,O,X
ISZTOJL,O,X,X,X,O,X,O,X,X,O,X
ISZLTJO,O,X,X,O,O,O,X,X,X,X,X
ISZLTOJ,O,X,X,O,O,X,O,X,X,X,X
ISZLJTO,O,X,X,O,O,O,X,X,X,X,X
ISZLJOT,O,X,X,O,O,O,X,X,X,X,X
ISZLOTJ,O,X,X,O,O,X,O,X,X,X,X
ISZLOJT,O,X,X,O,O,O,O,X,X,X,X
ISZJTLO,O,X,X,X,O,O,X,X,X,X,X
ISZJTOL,X,X,X,X,O,O,X,X,X,X,X
ISZJLTO,O,X,X,O,O,O,X,X,X,X,X
ISZJLOT,O,X,X,O,O,O,X,X,X,X,X
ISZJOTL,X,X,X,X,O,O,X,X,X,X,X
ISZJOLT,O,X,X,O,O,O,X,X,X,X,X
ISZOTLJ,X,X,X,X,O,X,O,X,X,O,X
ISZOTJL,X,X,X,X,O,X,O,X,X,O,X
ISZOLTJ,O,X,X,O,O,X,O,X,X,X,X
ISZOLJT,O,X,X,O,O,O,O,X,X,X,X
ISZOJTL,X,X,X,X,O,O,O,X,X,O,X
ISZOJLT,O,X,X,O,O,O,O,X,X,X,X
ISOTLJZ,X,X,O,X,O,X,O,X,X,O,X
ISOTLZJ,X,X,O,X,O,X,O,X,X,O,X
ISOTJLZ,X,X,O,X,X,X,O,X,X,O,X
ISOTJZL,X,X,X,X,X,X,O,X,X,O,X
ISOTZLJ,X,X,X,X,O,X,O,X,X,O,X
ISOTZJL,X,X,X,X,O,X,O,X,X,O,X
ISOLTJZ,O,O,O,O,O,X,O,X,X,X,X
ISOLTZJ,X,O,O,O,O,X,O,X,X,X,X
ISOLJTZ,O,O,O,O,O,O,O,X,X,X,X
ISOLJZT,O,O,X,O,O,O,O,X,X,X,X
ISOLZTJ,X,X,X,O,O,X,O,X,X,X,X
ISOLZJT,O,O,X,O,O,O,O,X,X,X,X
ISOJTLZ,X,X,O,X,X,O,O,X,X,O,X
ISOJTZL,X,X,X,X,X,O,O,X,X,O,X
ISOJLTZ,O,O,O,X,X,O,O,X,X,X,X
ISOJLZT,O,O,X,X,X,O,O,X,X,X,X
ISOJZTL,X,X,X,X,X,O,O,X,X,O,X
ISOJZLT,X,X,X,X,X,O,O,X,X,X,X
ISOZTLJ,X,X,X,X,O,X,O,X,X,O,X
ISOZTJL,X,X,X,X,O,X,O,X,X,O,X
ISOZLTJ,X,X,X,O,O,X,O,X,X,X,X
ISOZLJT,X,X,X,O,O,O,O,X,X,X,X
ISOZJTL,X,X,X,X,O,O,O,X,X,O,X
ISOZJLT,X,X,X,O,O,O,O,X,X,X,X
IZTLJSO,O,X,X,X,O,X,X,O,X,X,X
IZTLJOS,O,X,X,X,O,X,X,O,X,O,X
IZTLSJO,O,X,X,X,O,X,X,O,X,X,X
IZTLSOJ,O,X,X,X,O,X,X,O,X,O,X
IZTLOJS,O,X,X,X,O,X,O,O,O,O,X
IZTLOSJ,O,X,X,X,O,X,X,O,X,O,X
IZTJLSO,O,X,X,X,O,X,X,O,X,X,X
IZTJLOS,O,X,X,X,O,X,X,O,X,O,X
IZTJSLO,O,X,X,X,O,O,X,O,X,X,O
IZTJSOL,O,X,X,X,O,O,X,X,X,X,O
IZTJOLS,O,X,X,X,O,X,X,O,O,O,X
IZTJOSL,O,X,X,X,O,O,X,X,O,O,X
IZTSLJO,O,X,X,X,O,O,X,O,X,X,X
IZTSLOJ,O,X,X,X,O,X,O,O,X,O,X
IZTSJLO,O,X,X,X,O,O,X,O,X,X,X
IZTSJOL,O,X,X,X,O,O,X,X,X,X,X
IZTSOLJ,O,X,X,X,O,X,O,X,X,O,X
IZTSOJL,O,X,X,X,O,X,O,X,O,O,X
IZTOLJS,O,X,X,X,O,X,O,O,O,O,X
IZTOLSJ,O,X,X,X,O,X,X,O,X,O,X
IZTOJLS,O,X,X,X,O,X,O,O,O,O,X
IZTOJSL,O,X,X,X,O,X,O,X,O,O,X
IZTOSLJ,O,X,X,X,O,X,O,X,X,O,X
IZTOSJL,O,X,X,X,O,X,O,X,O,O,X
IZLTJSO,O,X,X,O,O,X,X,O,X,X,X
IZLTJOS,O,O,X,O,O,X,X,O,X,O,X
IZLTSJO,O,X,X,O,O,X,X,O,X,X,X
IZLTSOJ,O,O,O,O,O,X,X,O,X,O,X
IZLTOJS,O,O,O,O,O,X,O,O,X,O,X
IZLTOSJ,O,O,O,O,O,X,X,O,X,O,X
IZLJTSO,O,X,X,O,O,X,X,X,X,X,X
IZLJTOS,O,X,X,O,O,X,X,X,X,X,X
IZLJSTO,O,X,X,O,O,O,X,X,X,X,X
IZLJSOT,O,X,X,O,O,O,X,X,X,X,X
IZLJOTS,O,O,X,O,O,X,X,X,X,X,X
IZLJOST,O,O,X,O,O,O,X,X,X,X,X
IZLSTJO,O,X,X,O,O,O,X,X,X,X,X
IZLSTOJ,O,X,X,O,O,X,X,X,X,X,X
IZLSJTO,O,X,X,O,O,O,X,X,X,X,X
IZLSJOT,O,X,X,O,O,O,X,X,X,X,X
IZLSOTJ,O,X,X,O,O,X,X,X,X,X,X
IZLSOJT,O,O,X,O,O,O,X,X,X,X,X
IZLOTJS,O,O,O,O,O,X,O,O,X,O,X
IZLOTSJ,O,O,O,O,O,X,X,O,X,O,X
IZLOJTS,O,O,O,O,O,X,O,X,O,O,X
IZLOJST,O,O,X,O,O,X,X,X,X,X,X
IZLOSTJ,O,X,X,O,O,X,X,X,X,X,X
IZLOSJT,O,O,X,O,O,X,X,X,X,X,X
IZJTLSO,O,X,X,X,O,X,X,X,X,X,X
IZJTLOS,O,X,X,X,O,X,X,X,X,O,X
IZJTSLO,O,X,X,X,O,O,X,X,X,X,O
IZJTSOL,O,X,X,X,O,O,X,X,X,X,O
IZJTOLS,O,X,X,X,O,X,X,X,X,O,X
IZJTOSL,O,X,X,X,O,O,X,X,X,O,X
IZJLTSO,O,X,X,O,O,X,X,X,X,X,X
IZJLTOS,O,X,X,O,O,X,X,X,X,X,X
IZJLSTO,O,X,X,O,O,O,X,X,X,X,X
IZJLSOT,O,X,X,O,O,O,X,X,X,X,X
IZJLOTS,O,X,X,O,O,X,X,X,X,X,X
IZJLOST,O,X,X,O,O,O,X,X,X,X,X
IZJSTLO,O,X,X,X,O,O,X,X,X,X,O
IZJSTOL,X,X,X,X,O,O,X,X,X,X,O
IZJSLTO,O,X,X,O,O,O,X,X,X,X,O
IZJSLOT,O,X,X,O,O,O,X,X,X,X,X
IZJSOTL,X,X,X,X,O,O,X,X,X,X,O
IZJSOLT,O,X,X,O,O,O,X,X,X,X,X
IZJOTLS,X,X,X,X,O,X,X,X,O,O,X
IZJOTSL,X,X,X,X,O,O,X,X,O,O,X
IZJOLTS,O,X,X,O,O,X,X,X,O,O,X
IZJOLST,O,X,X,O,O,O,X,X,X,X,X
IZJOSTL,X,X,X,X,O,O,X,X,O,O,X
IZJOSLT,O,X,X,O,O,O,X,X,X,X,X
IZSTLJO,O,X,X,X,O,O,X,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,O,X,X,O,X
IZSTJLO,O,X,X,X,O,O,X,X,X,X,X
IZSTJOL,O,X,X,X,O,O,X,X,X,X,X
IZSTOLJ,O,X,X,X,O,X,O,X,X,O,X
IZSTOJL,O,X,X,X,O,X,O,X,X,O,X
IZSLTJO,O,X,X,O,O,O,X,X,X,X,X
IZSLTOJ,O,X,X,O,O,X,O,X,X,X,X
IZSLJTO,O,X,X,O,O,O,X,X,X,X,X
IZSLJOT,O,X,X,O,O,O,X,X,X,X,X
IZSLOTJ,O,X,X,O,O,X,O,X,X,X,X
IZSLOJT,O,X,X,O,O,O,O,X,X,X,X
IZSJTLO,O,X,X,X,O,O,X,X,X,X,X
IZSJTOL,X,X,X,X,O,O,X,X,X,X,X
IZSJLTO,O,X,X,O,O,O,X,X,X,X,X
IZSJLOT,O,X,X,O,O,O,X,X,X,X,X
IZSJOTL,X,X,X,X,O,O,X,X,X,X,X
IZSJOLT,O,X,X,O,O,O,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,X,O,X,X,O,X
IZSOTJL,X,X,X,X,O,X,O,X,X,O,X
IZSOLTJ,O,X,X,O,O,X,O,X,X,X,X
IZSOLJT,O,X,X,O,O,O,O,X,X,X,X
IZSOJTL,X,X,X,X,O,O,O,X,O,O,X
IZSOJLT,O,X,X,O,O,O,O,X,X,X,X
IZOTLJS,O,X,X,X,O,X,O,X,O,O,X
IZOTLSJ,O,X,X,X,O,X,X,X,X,O,X
IZOTJLS,O,X,X,X,O,X,O,X,O,O,X
IZOTJSL,O,X,X,X,O,X,O,X,O,O,X
IZOTSLJ,O,X,X,X,O,X,O,X,X,O,X
IZOTSJL,O,X,X,X,O,X,O,X,O,O,X
IZOLTJS,O,O,O,O,O,X,O,X,X,O,X
IZOLTSJ,O,O,O,O,O,X,X,X,X,O,X
IZOLJTS,O,O,O,O,O,X,O,X,O,O,X
IZOLJST,O,O,X,O,O,X,X,X,X,X,X
IZOLSTJ,O,X,X,O,O,X,X,X,X,X,X
IZOLSJT,O,O,X,O,O,X,X,X,X,X,X
IZOJTLS,X,X,X,X,O,X,O,X,O,O,X
IZOJTSL,X,X,X,X,O,O,O,X,O,O,X
IZOJLTS,O,O,O,O,O,X,O,X,O,O,X
