sequence,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhB6hBTiB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jey/IvhFzbBGdB3hB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeG8IvhFTdBUhB/kBalBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhFTdBUhB/kB6mBmq?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFygBGdB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBCiBVrB3p?B2vB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFSiBUhBelBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBOrB/qBCn?B1uB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhBxcBCiBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFGdB3hBlkBxqBTp?ByvB,v115@7gB8HeF8BeE8EeD8EeE8Je2/IvhFSiBUhBzkBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhF5hBTdBerB/kB8l?ByuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFygBGdB3hB1uBxq?B0qB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFTdBUhBmkBSrB1u?BXrB,v115@7gB8HeF8BeE8EeD8EeE8Jem7IvhFSiBxfB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFxcBXmBlkBCnB2v?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhF6hBTdBVrB0kBfr?BxuB
TLSIZJO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSIOJZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSJIZO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSJOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLSZIOJ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLSZJIO,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLSZJOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLSZOIJ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLSZOJI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLSOIJZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSOJIZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSOJZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLSOZJI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLZIJSO,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TLZIJOS,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TLZISJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZISOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZIOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZIOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZJISO,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLZJSIO,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLZJSOI,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJOSI,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLZSIJO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLZSIOJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLZSJIO,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O
TLZSJOI,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O
TLZSOIJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLZSOJI,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O
TLZOIJS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZOISJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJSI,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLZOSIJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZOSJI,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOISZJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOIZJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOJISZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
