sequence,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhF0cBTeBflBl?gBOrBCqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBifB3?gB1pBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFFbB0cBTeBq?kB3gBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeO/IvhFXbB0cBTeB1?pBxlBarB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBFmBmqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBlgBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFTeBflB0gBl?hBClBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhFTeBKkBflB0?gBlhBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex7IvhFTeBOkBXgBl?hBarB0pB
IJSTOZL,O,O,X,X,X,X,O,X,X
IJSLTZO,O,X,O,X,X,X,X,X,X
IJSLTOZ,O,X,O,X,X,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X,X,X
IJSLZOT,O,O,O,X,X,X,X,X,X
IJSLOTZ,O,X,O,X,X,X,X,X,X
IJSLOZT,O,O,O,X,X,X,X,X,X
IJSZTLO,O,O,X,X,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,O,X,X
IJSZLTO,O,X,O,X,X,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X,X,X
IJSZOTL,O,O,X,X,X,X,O,X,X
IJSZOLT,O,O,O,X,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,O,X,X
IJSOLTZ,O,X,O,X,X,X,X,X,X
IJSOLZT,O,O,O,X,X,X,X,X,X
IJSOZTL,O,O,X,X,X,X,O,X,X
IJSOZLT,O,O,O,X,X,X,X,X,X
IJZTLSO,X,O,O,O,X,X,X,X,X
IJZTLOS,X,O,O,O,X,X,X,X,X
IJZTSLO,O,O,X,O,X,X,X,X,X
IJZTSOL,O,O,X,O,X,X,X,X,X
IJZTOLS,X,O,O,O,X,X,X,X,X
IJZTOSL,O,O,X,O,X,X,X,X,X
IJZLTSO,X,X,O,X,X,X,X,X,X
IJZLTOS,X,X,O,X,X,O,X,X,X
IJZLSTO,O,X,O,X,X,O,X,X,X
IJZLSOT,O,X,O,X,X,O,X,X,X
IJZLOTS,X,X,O,X,X,O,X,X,X
IJZLOST,O,X,O,X,X,O,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X,X
IJZSLTO,O,X,O,X,X,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X,X,X
IJZOTLS,X,O,O,O,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X,X,X,X
IJZOLTS,X,X,O,X,X,O,X,X,X
IJZOLST,O,X,O,X,X,O,X,X,X
IJZOSTL,O,O,X,X,X,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X,X,X
IJOTLSZ,X,O,O,O,X,X,X,X,X
IJOTLZS,X,O,O,O,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,O,X,X
IJOTZLS,X,O,O,O,X,X,X,X,X
IJOTZSL,O,O,X,O,X,X,X,X,X
IJOLTSZ,X,X,O,X,X,X,X,X,O
IJOLTZS,X,X,O,X,X,O,X,X,X
IJOLSTZ,O,X,O,X,X,O,X,X,O
IJOLSZT,O,X,O,X,X,O,X,X,X
IJOLZTS,X,X,O,X,X,O,X,X,X
IJOLZST,O,X,O,X,X,O,X,X,X
IJOSTLZ,O,O,X,X,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,O,X,X
IJOSLTZ,O,X,O,X,X,X,X,X,X
IJOSLZT,O,O,O,X,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,O,X,X
IJOSZLT,O,O,O,X,X,X,X,X,X
IJOZTLS,X,O,O,O,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X
IJOZLTS,X,X,O,X,X,O,X,X,X
IJOZLST,O,X,O,X,X,O,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X,X,X
ISTLJZO,X,O,X,O,X,X,X,X,X
ISTLJOZ,X,O,X,O,X,X,X,X,X
ISTLZJO,X,O,X,O,X,X,X,X,X
ISTLZOJ,X,O,X,O,X,X,O,X,X
ISTLOJZ,X,O,X,O,X,X,X,X,X
ISTLOZJ,X,O,X,O,X,X,O,X,X
ISTJLZO,O,X,X,O,X,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,X,X,X
ISTJZLO,O,X,X,O,X,X,X,X,X
ISTJZOL,O,O,X,O,X,X,O,X,X
ISTJOLZ,O,X,X,O,X,X,X,X,X
ISTJOZL,O,O,X,O,X,X,O,X,X
ISTZLJO,X,O,X,O,X,X,X,X,X
ISTZLOJ,X,O,X,O,X,X,O,X,X
ISTZJLO,X,X,X,O,X,X,X,X,X
ISTZJOL,X,O,X,O,X,X,O,X,X
ISTZOLJ,X,O,X,O,X,X,O,X,X
ISTZOJL,X,O,X,O,X,X,O,X,X
ISTOLJZ,X,O,X,O,X,X,X,X,X
ISTOLZJ,X,O,X,O,X,X,O,X,X
ISTOJLZ,O,X,X,O,X,X,X,X,X
ISTOJZL,O,O,X,O,X,X,O,X,X
ISTOZLJ,X,O,X,O,X,X,O,X,X
ISTOZJL,X,O,X,O,X,X,O,X,X
ISLTJZO,X,X,O,X,X,X,X,X,X
ISLTJOZ,X,X,O,X,X,X,X,X,X
ISLTZJO,X,X,O,X,X,X,X,X,X
ISLTZOJ,X,X,O,X,X,X,O,X,X
ISLTOJZ,X,X,O,X,X,X,X,X,X
ISLTOZJ,X,X,O,X,X,X,O,X,X
ISLJTZO,O,X,O,X,X,X,X,X,X
ISLJTOZ,O,X,O,X,X,X,X,X,X
ISLJZTO,O,X,O,X,X,X,X,X,X
ISLJZOT,O,X,O,X,X,X,X,X,X
ISLJOTZ,O,X,O,X,X,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X,X,X
ISLZTJO,X,X,O,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,X,X,O,X,X
ISLZJTO,X,X,O,X,X,X,X,X,X
ISLZJOT,X,X,O,X,X,X,X,X,X
ISLZOTJ,X,O,O,X,X,X,O,X,X
ISLZOJT,X,X,O,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,O,X,X
ISLOJTZ,O,X,O,X,X,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X,X,X
ISLOZTJ,X,O,O,X,X,X,O,X,X
ISLOZJT,X,X,O,X,X,X,X,X,X
ISJTLZO,O,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X,X
ISJTZLO,O,X,X,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X,O,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,X
ISJTOZL,O,X,X,X,X,X,O,X,X
ISJLTZO,O,X,O,X,X,X,X,X,X
ISJLTOZ,O,X,O,X,X,X,X,X,X
ISJLZTO,O,X,O,X,X,X,X,X,X
ISJLZOT,O,X,O,X,X,X,X,X,X
ISJLOTZ,O,X,O,X,X,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X,X,X
ISJZTLO,O,X,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,O,X,X
ISJZLTO,O,X,O,X,X,X,X,X,X
ISJZLOT,O,X,O,X,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,O,X,X
ISJZOLT,O,X,O,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,O,X,X
ISJOLTZ,O,X,O,X,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,O,X,X
ISJOZLT,O,X,O,X,X,X,X,X,X
ISZTLJO,X,O,X,O,X,X,X,X,X
ISZTLOJ,X,O,X,O,X,X,O,X,X
ISZTJLO,X,X,X,O,X,X,X,X,X
ISZTJOL,X,O,X,O,X,X,O,X,X
ISZTOLJ,X,O,X,O,X,X,O,X,X
ISZTOJL,X,O,X,O,X,X,O,X,X
ISZLTJO,X,X,O,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,X,X,O,X,X
ISZLJTO,X,X,O,X,X,X,X,X,X
ISZLJOT,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,X,X,O,X,X
ISZLOJT,X,X,O,X,X,X,X,X,X
ISZJTLO,O,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,O,X,X
ISZJLTO,O,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,O,X,X
ISZJOLT,O,X,X,X,X,X,X,X,X
ISZOTLJ,X,O,X,O,X,X,O,X,X
ISZOTJL,X,O,X,O,X,X,O,X,X
ISZOLTJ,X,O,O,X,X,X,O,X,X
ISZOLJT,X,X,O,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,O,X,X
ISZOJLT,O,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,O,X,X,X,X,X
ISOTLZJ,X,O,X,O,X,X,O,X,X
ISOTJLZ,O,X,X,O,X,X,X,X,X
ISOTJZL,O,O,X,O,X,X,O,X,X
ISOTZLJ,X,O,X,O,X,X,O,X,X
ISOTZJL,X,O,X,O,X,X,O,X,X
ISOLTJZ,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,O,X,X
ISOLJTZ,O,X,O,X,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X,X,X
ISOLZTJ,X,O,O,X,X,X,O,X,X
ISOLZJT,X,X,O,X,X,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,O,X,X
ISOJLTZ,O,X,O,X,X,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,O,X,X
ISOJZLT,O,X,O,X,X,X,X,X,X
ISOZTLJ,X,O,X,O,X,X,O,X,X
ISOZTJL,X,O,X,O,X,X,O,X,X
ISOZLTJ,X,O,O,X,X,X,O,X,X
ISOZLJT,X,X,O,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,O,X,X
ISOZJLT,O,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,O,X,X,X,X,X
IZTLJOS,X,O,O,O,O,X,X,X,X
IZTLSJO,X,O,O,O,O,X,X,X,X
IZTLSOJ,X,O,O,O,O,X,X,X,X
IZTLOJS,X,O,O,O,O,X,X,X,X
IZTLOSJ,X,O,O,O,O,X,X,X,X
IZTJLSO,X,X,X,O,X,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,X,X
IZTJSLO,X,X,X,O,X,X,X,X,X
IZTJSOL,X,X,X,O,X,X,X,X,X
IZTJOLS,X,X,X,O,X,X,X,X,X
IZTJOSL,X,X,X,O,X,X,X,X,X
IZTSLJO,X,O,X,O,X,X,X,X,X
IZTSLOJ,X,O,X,O,X,X,O,X,X
IZTSJLO,X,X,X,O,X,X,X,X,X
IZTSJOL,X,O,X,O,X,X,O,X,X
IZTSOLJ,X,O,X,O,X,X,O,X,X
IZTSOJL,X,O,X,O,X,X,O,X,X
IZTOLJS,X,O,O,O,O,X,X,X,X
IZTOLSJ,X,O,O,O,O,X,X,X,X
IZTOJLS,X,X,X,O,X,X,X,X,X
IZTOJSL,X,X,X,O,X,X,X,X,X
IZTOSLJ,X,O,X,O,X,X,O,X,X
IZTOSJL,X,O,X,O,X,X,O,X,X
IZLTJSO,X,X,O,O,X,X,X,X,X
IZLTJOS,X,X,O,O,O,X,X,X,X
IZLTSJO,X,X,O,O,O,X,X,X,X
IZLTSOJ,X,X,O,O,O,X,X,X,X
IZLTOJS,X,X,O,O,O,X,X,X,X
IZLTOSJ,X,X,O,O,O,O,X,X,X
IZLJTSO,X,X,O,X,X,X,X,X,X
IZLJTOS,X,X,O,X,X,X,X,X,X
IZLJSTO,X,X,O,X,X,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X,X,X
IZLJOTS,X,X,O,X,O,X,X,X,X
IZLJOST,X,X,O,X,O,O,X,X,X
IZLSTJO,X,X,O,X,X,O,X,X,X
IZLSTOJ,X,X,O,X,O,O,X,X,X
IZLSJTO,X,X,O,X,X,X,X,X,X
IZLSJOT,X,X,O,X,O,O,X,X,X
IZLSOTJ,X,X,O,X,O,O,X,X,X
IZLSOJT,X,X,O,X,O,O,X,X,X
IZLOTJS,X,X,O,O,O,X,X,X,X
IZLOTSJ,X,X,O,O,O,O,X,X,X
IZLOJTS,X,X,O,X,O,X,X,X,X
IZLOJST,X,X,O,X,O,O,X,X,X
IZLOSTJ,X,X,O,X,O,O,X,X,X
IZLOSJT,X,X,O,X,O,O,X,X,X
IZJTLSO,X,X,O,O,X,X,X,X,X
IZJTLOS,X,X,O,O,X,X,X,X,X
IZJTSLO,O,X,X,O,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X
IZJTOLS,X,X,O,O,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X
IZJLTSO,X,X,O,X,X,X,X,X,X
IZJLTOS,X,X,O,X,X,X,X,X,X
IZJLSTO,O,X,O,X,X,X,X,X,X
IZJLSOT,O,X,O,X,X,X,X,X,X
IZJLOTS,X,X,O,X,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,X,X,X
IZJSTLO,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,X,X,X,X
IZJSLTO,O,X,O,X,X,X,X,X,X
IZJSLOT,O,X,O,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X,X
IZJSOLT,O,X,O,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X,X,X
IZJOTSL,O,X,X,O,X,X,X,X,X
IZJOLTS,X,X,O,X,X,X,X,X,X
IZJOLST,O,X,O,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,X
IZJOSLT,O,X,O,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,X,O,X,X
IZSTJLO,X,X,X,O,X,X,X,X,X
IZSTJOL,X,O,X,O,X,X,O,X,X
IZSTOLJ,X,O,X,O,X,X,O,X,X
IZSTOJL,X,O,X,O,X,X,O,X,X
IZSLTJO,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,O,X,X
IZSLJTO,X,X,O,X,X,X,X,X,X
IZSLJOT,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,X,O,X,X
IZSLOJT,X,X,O,X,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,O,X,X
IZSJLTO,O,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,O,X,X
IZSJOLT,O,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,O,X,X,O,X,X
IZSOTJL,X,O,X,O,X,X,O,X,X
IZSOLTJ,X,O,O,X,X,X,O,X,X
IZSOLJT,X,X,O,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,O,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X
IZOTLJS,X,O,O,O,O,X,X,X,X
IZOTLSJ,X,O,O,O,O,X,X,X,X
IZOTJLS,X,X,X,O,X,X,X,X,X
IZOTJSL,X,X,X,O,X,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,O,X,X
IZOTSJL,X,O,X,O,X,X,O,X,X
IZOLTJS,X,X,O,O,O,X,X,X,X
IZOLTSJ,X,X,O,O,O,O,X,X,X
IZOLJTS,X,X,O,X,O,X,X,X,X
IZOLJST,X,X,O,X,O,O,X,X,X
IZOLSTJ,X,X,O,X,O,O,X,X,X
IZOLSJT,X,X,O,X,O,O,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X,X
IZOJTSL,O,X,X,O,X,X,X,X,X
IZOJLTS,X,X,O,X,X,X,X,X,X
IZOJLST,O,X,O,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X
IZOJSLT,O,X,O,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,X,O,X,X
IZOSTJL,X,O,X,O,X,X,O,X,X
IZOSLTJ,X,O,O,X,X,X,O,X,X
IZOSLJT,X,X,O,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,O,X,X
IZOSJLT,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,O,O,O,X,X,X,X,X
IOTLJZS,X,O,O,O,O,X,X,X,X
IOTLSJZ,X,O,O,O,O,X,X,X,X
IOTLSZJ,X,O,O,O,O,X,O,O,X
IOTLZJS,X,O,O,O,O,X,X,X,X
IOTLZSJ,X,O,O,O,O,X,X,X,X
IOTJLSZ,X,O,O,O,X,X,X,X,X
IOTJLZS,X,O,O,O,X,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X,X,X
IOTJSZL,O,O,X,O,X,X,O,X,X
IOTJZLS,X,O,O,O,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X,X
IOTSLJZ,X,O,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,O,X,X,O,X,X
IOTSJLZ,O,X,X,O,X,X,X,X,X
IOTSJZL,O,O,X,O,X,X,O,X,X
IOTSZLJ,X,O,X,O,X,X,O,X,X
IOTSZJL,X,O,X,O,X,X,O,X,X
IOTZLJS,X,O,O,O,O,X,X,X,X
IOTZLSJ,X,O,O,O,O,X,X,X,X
IOTZJLS,X,X,X,O,X,X,X,X,X
IOTZJSL,X,X,X,O,X,X,X,X,X
IOTZSLJ,X,O,X,O,X,X,O,X,X
IOTZSJL,X,O,X,O,X,X,O,X,X
IOLTJSZ,X,X,O,O,X,X,X,X,O
IOLTJZS,X,X,O,O,O,O,X,X,X
IOLTSJZ,X,X,O,O,O,O,X,X,O
IOLTSZJ,X,X,O,O,O,O,O,O,O
IOLTZJS,X,X,O,O,O,X,X,X,X
IOLTZSJ,X,X,O,O,O,O,X,X,O
IOLJTSZ,X,X,O,X,X,X,X,X,O
IOLJTZS,X,X,O,X,O,O,X,X,X
IOLJSTZ,O,X,O,X,O,O,X,X,O
IOLJSZT,O,X,O,X,O,O,X,O,X
IOLJZTS,X,X,O,X,O,O,X,X,X
IOLJZST,O,X,O,X,O,O,X,X,X
IOLSTJZ,X,X,O,X,O,O,X,X,O
IOLSTZJ,X,X,O,X,O,O,O,O,O
IOLSJTZ,O,X,O,X,O,O,X,X,O
IOLSJZT,O,X,O,X,O,O,X,O,X
IOLSZTJ,X,X,O,X,O,O,O,O,X
IOLSZJT,X,X,O,X,O,O,X,O,X
IOLZTJS,X,X,O,O,O,X,X,X,X
IOLZTSJ,X,X,O,O,O,O,X,X,X
IOLZJTS,X,X,O,X,O,O,X,X,X
IOLZJST,X,X,O,X,O,O,X,X,X
IOLZSTJ,X,X,O,X,O,O,X,O,X
IOLZSJT,X,X,O,X,O,O,X,O,X
IOJTLSZ,X,O,O,O,X,X,X,X,X
IOJTLZS,X,O,O,O,X,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,X,X
IOJTSZL,O,O,X,O,X,X,O,X,X
IOJTZLS,X,O,O,O,X,X,X,X,X
IOJTZSL,O,O,X,O,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,O
IOJLTZS,X,X,O,X,X,O,X,X,X
IOJLSTZ,O,X,O,X,X,O,X,X,O
IOJLSZT,O,X,O,X,X,O,X,X,X
IOJLZTS,X,X,O,X,X,O,X,X,X
IOJLZST,O,X,O,X,X,O,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,O,X,X
IOJSLTZ,O,X,O,X,X,X,X,X,X
IOJSLZT,O,O,O,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,O,X,X
IOJSZLT,O,O,O,X,X,X,X,X,X
IOJZTLS,X,O,O,O,X,X,X,X,X
IOJZTSL,O,O,X,O,X,X,X,X,X
IOJZLTS,X,X,O,X,X,O,X,X,X
IOJZLST,O,X,O,X,X,O,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,O,X,X,X,X,X
IOSTLZJ,X,O,X,O,X,X,O,X,X
IOSTJLZ,O,X,X,O,X,X,X,X,X
IOSTJZL,O,O,X,O,X,X,O,X,X
IOSTZLJ,X,O,X,O,X,X,O,X,X
IOSTZJL,X,O,X,O,X,X,O,X,X
IOSLTJZ,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,O,X,X
IOSLJTZ,O,X,O,X,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,X,X
IOSLZTJ,X,O,O,X,X,X,O,X,X
IOSLZJT,X,X,O,X,X,X,X,X,X
IOSJTLZ,O,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,O,X,X
IOSJLTZ,O,X,O,X,X,X,X,X,X
IOSJLZT,O,X,O,X,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,O,X,X
IOSJZLT,O,X,O,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,X,X,O,X,X
IOSZTJL,X,O,X,O,X,X,O,X,X
IOSZLTJ,X,O,O,X,X,X,O,X,X
IOSZLJT,X,X,O,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,O,X,X
IOSZJLT,O,X,X,X,X,X,X,X,X
IOZTLJS,X,O,O,O,O,X,X,X,X
IOZTLSJ,X,O,O,O,O,X,X,X,X
IOZTJLS,X,X,X,O,X,X,X,X,X
IOZTJSL,X,X,X,O,X,X,X,X,X
IOZTSLJ,X,O,X,O,X,X,O,X,X
IOZTSJL,X,O,X,O,X,X,O,X,X
IOZLTJS,X,X,O,O,O,X,X,X,X
IOZLTSJ,X,X,O,O,O,O,X,X,X
IOZLJTS,X,X,O,X,O,X,X,X,X
IOZLJST,X,X,O,X,O,O,X,X,X
IOZLSTJ,X,X,O,X,O,O,X,X,X
IOZLSJT,X,X,O,X,O,O,X,X,X
IOZJTLS,X,X,O,O,X,X,X,X,X
IOZJTSL,O,X,X,O,X,X,X,X,X
IOZJLTS,X,X,O,X,X,X,X,X,X
IOZJLST,O,X,O,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X
IOZJSLT,O,X,O,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,X,X,O,X,X
IOZSTJL,X,O,X,O,X,X,O,X,X
IOZSLTJ,X,O,O,X,X,X,O,X,X
IOZSLJT,X,X,O,X,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,O,X,X
IOZSJLT,O,X,X,X,X,X,X,X,X
LTIJSZO,X,O,O,O,X,X,X,X,O
LTIJSOZ,X,O,O,O,X,X,X,X,O
LTIJZSO,X,O,O,O,X,X,X,X,X
LTIJZOS,X,O,O,O,O,O,X,X,X
LTIJOSZ,X,O,O,O,X,X,X,X,O
LTIJOZS,X,O,O,O,O,O,X,X,X
LTISJZO,X,O,O,O,O,O,X,X,O
LTISJOZ,X,O,O,O,O,O,X,X,O
LTISZJO,X,O,O,O,O,O,X,O,O
LTISZOJ,X,O,O,O,O,O,O,O,O
LTISOJZ,X,O,O,O,O,O,X,X,O
LTISOZJ,X,O,O,O,O,O,O,O,O
LTIZJSO,X,O,O,O,X,X,X,X,X
LTIZJOS,X,O,O,O,O,X,X,X,X
LTIZSJO,X,O,O,O,O,X,X,X,O
LTIZSOJ,X,O,O,O,O,X,X,X,O
LTIZOJS,X,O,O,O,O,X,X,X,X
LTIZOSJ,X,O,O,O,O,O,X,X,O
LTIOJSZ,X,O,O,O,X,X,X,X,O
LTIOJZS,X,O,O,O,O,O,X,X,X
LTIOSJZ,X,O,O,O,O,O,X,X,O
LTIOSZJ,X,O,O,O,O,O,O,O,O
LTIOZJS,X,O,O,O,O,X,X,X,X
LTIOZSJ,X,O,O,O,O,O,X,X,O
LTJISZO,X,O,O,O,X,X,X,X,O
LTJISOZ,X,O,O,O,X,X,X,X,O
LTJIZSO,X,O,O,O,X,X,X,X,X
LTJIZOS,X,O,O,O,O,O,X,X,X
LTJIOSZ,X,O,O,O,X,X,X,X,O
LTJIOZS,X,O,O,O,O,O,X,X,X
LTJSIZO,X,O,O,O,O,O,X,X,O
LTJSIOZ,X,O,O,O,O,O,X,X,O
LTJSZIO,X,O,O,X,O,O,X,O,O
LTJSZOI,X,O,O,O,O,O,X,O,O
LTJSOIZ,X,O,O,O,O,O,X,X,O
LTJSOZI,X,O,O,O,O,O,X,O,O
LTJZISO,X,O,O,O,X,X,X,X,X
LTJZIOS,X,O,O,O,O,O,X,X,X
LTJZSIO,X,O,O,X,O,O,X,X,O
LTJZSOI,X,O,O,O,O,O,X,X,O
LTJZOIS,X,O,O,O,O,O,X,X,X
LTJZOSI,X,O,O,O,O,O,X,X,O
LTJOISZ,X,O,O,O,X,X,X,X,O
LTJOIZS,X,O,O,O,O,O,X,X,X
LTJOSIZ,X,O,O,O,O,O,X,X,O
LTJOSZI,X,O,O,O,O,O,X,O,O
LTJOZIS,X,O,O,O,O,O,X,X,X
LTJOZSI,X,O,O,O,O,O,X,X,O
LTSIJZO,X,O,O,O,O,O,X,X,O
LTSIJOZ,X,O,O,O,O,O,X,X,O
LTSIZJO,X,O,O,O,O,O,X,O,O
LTSIZOJ,X,O,O,O,O,O,O,O,O
LTSIOJZ,X,O,O,O,O,O,X,X,O
LTSIOZJ,X,O,O,O,O,O,O,O,O
LTSJIZO,X,O,O,O,O,O,X,X,O
LTSJIOZ,X,O,O,O,O,O,X,X,O
LTSJZIO,X,O,O,X,O,O,X,O,O
LTSJZOI,X,O,O,O,O,O,X,O,O
LTSJOIZ,X,O,O,O,O,O,X,X,O
LTSJOZI,X,O,O,O,O,O,X,O,O
LTSZIJO,X,O,O,X,O,O,X,O,O
LTSZIOJ,X,O,O,X,O,O,O,O,O
LTSZJIO,X,O,O,X,O,O,X,O,O
LTSZJOI,X,O,O,O,O,O,X,O,O
LTSZOIJ,X,O,O,X,O,O,O,O,O
LTSZOJI,X,O,O,O,O,O,X,O,O
LTSOIJZ,X,O,O,O,O,O,X,X,O
LTSOIZJ,X,O,O,O,O,O,O,O,O
LTSOJIZ,X,O,O,O,O,O,X,X,O
LTSOJZI,X,O,O,O,O,O,X,O,O
LTSOZIJ,X,O,O,X,O,O,O,O,O
LTSOZJI,X,O,O,O,O,O,X,O,O
LTZIJSO,X,O,O,O,X,X,X,X,X
LTZIJOS,X,O,O,O,O,X,X,X,X
LTZISJO,X,O,O,O,O,X,X,X,O
LTZISOJ,X,O,O,O,O,X,X,X,O
LTZIOJS,X,O,O,O,O,X,X,X,X
LTZIOSJ,X,O,O,O,O,O,X,X,O
LTZJISO,X,O,O,O,X,X,X,X,X
LTZJIOS,X,O,O,O,O,X,X,X,X
LTZJSIO,X,O,O,X,O,X,X,X,O
LTZJSOI,X,O,O,O,O,X,X,X,O
LTZJOIS,X,O,O,O,O,X,X,X,X
LTZJOSI,X,O,O,O,O,X,X,X,O
LTZSIJO,X,O,O,X,O,O,X,O,O
LTZSIOJ,X,O,O,X,O,O,O,O,O
LTZSJIO,X,O,O,X,O,O,X,O,O
