sequence,v115@DhB8FeF8EeH8AeF8JeWBJvhFxcBTeB/kBUgBikBlqB,v115@DhB8FeF8EeH8AeF8Jex6IvhF8gBCdBTeB2kB3kBlqB,v115@DhB8FeF8EeH8AeF8JeX7IvhFxcBTeB0kB6qBOpBFrB,v115@DhB8FeF8EeH8AeF8JeZ/IvhFCdBTeBukB3gBFlB8qB,v115@DhB8FeF8EeH8AeF8Je//IvhFFbBxcBTeB2pB0lBCrB,v115@DhB8FeF8EeH8AeF8Je//IvhFRbBCdBTeB2pB0lBlqB,v115@DhB8FeF8EeH8AeF8JeO/IvhFXbBxcBTeB1pB0lBCrB,v115@DhB8FeF8EeH8AeF8JeZ/IvhF3bBCdBTeBFlBukB8qB,v115@DhB8FeF8EeH8AeF8Jex6IvhFCdBTeB2kB1qB3kB8qB
IJSZLTO,X,X,X,X,O,O,X,X,X
IJSZLOT,O,X,X,O,O,O,X,X,X
IJSZOTL,O,X,X,X,O,O,X,X,X
IJSZOLT,O,X,X,O,O,O,X,X,X
IJSOTLZ,X,X,X,O,O,O,X,X,X
IJSOTZL,O,X,X,X,O,X,X,X,X
IJSOLTZ,X,X,X,O,O,O,X,X,X
IJSOLZT,X,X,X,O,O,O,X,X,X
IJSOZTL,O,X,X,X,O,O,X,X,X
IJSOZLT,O,X,X,O,O,O,X,X,X
IJZTLSO,X,X,X,X,X,X,O,X,X
IJZTLOS,X,X,X,X,X,X,O,X,X
IJZTSLO,X,X,X,X,O,X,O,X,X
IJZTSOL,X,X,X,X,O,X,O,X,X
IJZTOLS,X,X,X,X,X,X,O,X,X
IJZTOSL,X,X,X,X,O,X,O,X,X
IJZLTSO,X,X,O,X,X,X,X,X,X
IJZLTOS,X,X,O,X,X,X,X,X,X
IJZLSTO,X,X,O,X,O,O,X,X,X
IJZLSOT,X,X,O,O,O,O,X,X,X
IJZLOTS,X,X,O,X,X,X,X,X,X
IJZLOST,X,X,O,O,O,O,X,X,X
IJZSTLO,X,X,X,X,O,O,X,X,X
IJZSTOL,X,X,X,X,O,O,X,X,X
IJZSLTO,X,X,X,X,O,O,X,X,X
IJZSLOT,X,X,X,O,O,O,X,X,X
IJZSOTL,X,X,X,X,O,O,X,X,X
IJZSOLT,X,X,X,O,O,O,X,X,X
IJZOTLS,X,X,X,X,X,X,O,X,X
IJZOTSL,X,X,X,X,O,X,O,X,X
IJZOLTS,X,X,O,X,X,X,X,X,X
IJZOLST,X,X,O,O,O,O,X,X,X
IJZOSTL,X,X,X,X,O,O,X,X,X
IJZOSLT,X,X,X,O,O,O,X,X,X
IJOTLSZ,X,X,X,O,X,X,O,O,X
IJOTLZS,X,X,X,X,X,X,X,O,X
IJOTSLZ,X,X,X,O,O,X,O,O,X
IJOTSZL,O,X,X,X,O,X,O,O,X
IJOTZLS,X,X,X,X,X,X,X,O,X
IJOTZSL,X,X,X,X,X,X,O,O,X
IJOLTSZ,X,X,X,O,X,X,X,O,X
IJOLTZS,X,X,X,X,X,X,X,O,X
IJOLSTZ,X,X,X,O,O,O,X,X,X
IJOLSZT,X,X,X,O,O,O,X,X,X
IJOLZTS,X,X,O,X,X,X,X,X,X
IJOLZST,X,X,O,O,X,O,X,X,X
IJOSTLZ,X,X,X,O,O,O,X,X,X
IJOSTZL,O,X,X,X,O,X,X,X,X
IJOSLTZ,X,X,X,O,O,O,X,X,X
IJOSLZT,X,X,X,O,O,O,X,X,X
IJOSZTL,O,X,X,X,O,O,X,X,X
IJOSZLT,O,X,X,O,O,O,X,X,X
IJOZTLS,X,X,X,X,X,X,O,X,X
IJOZTSL,X,X,X,X,O,X,O,X,X
IJOZLTS,X,X,O,X,X,X,X,X,X
IJOZLST,X,X,O,O,O,O,X,X,X
IJOZSTL,X,X,X,X,O,O,X,X,X
IJOZSLT,X,X,X,O,O,O,X,X,X
ISTLJZO,X,X,X,X,X,X,X,O,X
ISTLJOZ,X,X,X,O,X,X,O,O,X
ISTLZJO,O,X,X,X,X,X,X,O,X
ISTLZOJ,O,X,X,X,X,X,X,O,X
ISTLOJZ,X,X,X,O,X,X,O,O,X
ISTLOZJ,O,X,X,X,X,X,X,O,X
ISTJLZO,X,X,X,X,X,X,X,O,X
ISTJLOZ,X,X,X,O,X,X,O,O,X
ISTJZLO,O,X,X,X,X,X,X,O,X
ISTJZOL,O,X,X,X,X,X,O,O,X
ISTJOLZ,X,X,X,O,X,X,O,O,X
ISTJOZL,O,X,X,X,X,X,O,O,X
ISTZLJO,O,X,X,X,X,X,X,O,X
ISTZLOJ,O,X,X,X,X,X,X,O,X
ISTZJLO,O,X,X,X,X,X,X,O,X
ISTZJOL,O,X,X,X,X,X,O,O,X
ISTZOLJ,O,X,X,X,X,X,X,O,X
ISTZOJL,O,X,X,X,X,X,O,O,X
ISTOLJZ,X,X,X,O,X,X,O,O,X
ISTOLZJ,O,X,X,X,X,X,X,O,X
ISTOJLZ,X,X,X,O,X,X,O,O,X
ISTOJZL,O,X,X,X,X,X,O,O,X
ISTOZLJ,O,X,X,X,X,X,X,O,X
ISTOZJL,O,X,X,X,X,X,O,O,X
ISLTJZO,X,X,X,X,X,X,X,O,X
ISLTJOZ,X,X,X,O,X,X,X,O,X
ISLTZJO,O,X,X,X,X,X,X,O,X
ISLTZOJ,O,X,X,X,X,X,X,O,X
ISLTOJZ,X,X,X,O,X,X,X,O,X
ISLTOZJ,O,X,X,X,X,X,X,O,X
ISLJTZO,X,X,X,X,X,X,X,X,X
ISLJTOZ,X,X,X,O,X,X,X,X,X
ISLJZTO,X,X,X,X,X,X,X,X,X
ISLJZOT,X,X,X,O,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,X,X
ISLJOZT,X,X,X,O,X,X,X,X,X
ISLZTJO,X,X,O,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,X,X,X
ISLZJOT,O,X,O,O,X,X,X,X,X
ISLZOTJ,X,X,O,X,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X,X,X,X
ISLOTJZ,X,X,X,O,X,X,X,O,X
ISLOTZJ,O,X,X,X,X,X,X,O,X
ISLOJTZ,X,X,X,O,X,X,X,X,X
ISLOJZT,X,X,X,O,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,X,X,X,X
ISLOZJT,O,X,O,O,X,X,X,X,X
ISJTLZO,X,X,X,X,X,X,X,X,X
ISJTLOZ,X,X,X,O,O,X,X,X,X
ISJTZLO,O,X,X,X,O,X,X,X,X
ISJTZOL,O,X,X,X,O,X,X,X,X
ISJTOLZ,X,X,X,O,O,X,X,X,X
ISJTOZL,O,X,X,X,O,X,X,X,X
ISJLTZO,X,X,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,O,O,X,X,X,X
ISJLZTO,X,X,X,X,O,X,X,X,X
ISJLZOT,X,X,X,O,O,X,X,X,X
ISJLOTZ,X,X,X,O,O,X,X,X,X
ISJLOZT,X,X,X,O,O,X,X,X,X
ISJZTLO,X,X,X,X,O,X,X,X,X
ISJZTOL,O,X,X,X,O,X,X,X,X
ISJZLTO,X,X,X,X,O,X,X,X,X
ISJZLOT,O,X,X,O,O,X,X,X,X
ISJZOTL,O,X,X,X,O,X,X,X,X
ISJZOLT,O,X,X,O,O,X,X,X,X
ISJOTLZ,X,X,X,O,O,X,X,X,X
ISJOTZL,O,X,X,X,O,X,X,X,X
ISJOLTZ,X,X,X,O,O,X,X,X,X
ISJOLZT,X,X,X,O,O,X,X,X,X
ISJOZTL,O,X,X,X,O,X,X,X,X
ISJOZLT,O,X,X,O,O,X,X,X,X
ISZTLJO,O,X,X,X,X,X,O,X,X
ISZTLOJ,O,X,X,X,X,X,O,X,X
ISZTJLO,O,X,X,X,X,X,O,X,X
ISZTJOL,O,X,X,X,X,X,O,X,X
ISZTOLJ,O,X,X,X,X,X,O,X,X
ISZTOJL,O,X,X,X,X,X,O,X,X
ISZLTJO,X,X,O,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,X,X,X,X
ISZLJOT,O,X,O,O,X,X,X,X,X
ISZLOTJ,X,X,O,X,X,X,X,X,X
ISZLOJT,O,X,O,O,X,X,X,X,X
ISZJTLO,X,X,X,X,O,X,X,X,X
ISZJTOL,O,X,X,X,O,X,X,X,X
ISZJLTO,X,X,X,X,O,X,X,X,X
ISZJLOT,O,X,X,O,O,X,X,X,X
ISZJOTL,O,X,X,X,O,X,X,X,X
ISZJOLT,O,X,X,O,O,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,O,X,X
ISZOTJL,O,X,X,X,X,X,O,X,X
ISZOLTJ,X,X,O,X,X,X,X,X,X
ISZOLJT,O,X,O,O,X,X,X,X,X
ISZOJTL,O,X,X,X,O,X,X,X,X
ISZOJLT,O,X,X,O,O,X,X,X,X
ISOTLJZ,X,X,X,O,X,X,O,O,X
ISOTLZJ,O,X,X,X,X,X,X,O,X
ISOTJLZ,X,X,X,O,X,X,O,O,X
ISOTJZL,O,X,X,X,X,X,O,O,X
ISOTZLJ,O,X,X,X,X,X,X,O,X
ISOTZJL,O,X,X,X,X,X,O,O,X
ISOLTJZ,X,X,X,O,X,X,X,O,X
ISOLTZJ,O,X,X,X,X,X,X,O,X
ISOLJTZ,X,X,X,O,X,X,X,X,X
ISOLJZT,X,X,X,O,X,X,X,X,X
ISOLZTJ,X,X,O,X,X,X,X,X,X
ISOLZJT,O,X,O,O,X,X,X,X,X
ISOJTLZ,X,X,X,O,O,X,X,X,X
ISOJTZL,O,X,X,X,O,X,X,X,X
ISOJLTZ,X,X,X,O,O,X,X,X,X
ISOJLZT,X,X,X,O,O,X,X,X,X
ISOJZTL,O,X,X,X,O,X,X,X,X
ISOJZLT,O,X,X,O,O,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,O,X,X
ISOZTJL,O,X,X,X,X,X,O,X,X
ISOZLTJ,X,X,O,X,X,X,X,X,X
ISOZLJT,O,X,O,O,X,X,X,X,X
ISOZJTL,O,X,X,X,O,X,X,X,X
ISOZJLT,O,X,X,O,O,X,X,X,X
IZTLJSO,X,X,O,X,X,X,O,O,X
IZTLJOS,X,X,O,X,X,X,O,O,X
IZTLSJO,X,X,O,X,X,X,O,O,X
IZTLSOJ,X,X,O,X,X,X,O,O,X
IZTLOJS,X,X,O,X,X,X,O,O,X
IZTLOSJ,X,X,O,X,X,X,O,O,X
IZTJLSO,X,X,X,X,X,X,O,O,X
IZTJLOS,X,X,X,X,X,X,O,O,X
IZTJSLO,X,X,X,X,O,X,O,O,X
IZTJSOL,X,X,X,X,O,X,O,O,X
IZTJOLS,X,X,X,X,X,X,O,O,X
IZTJOSL,X,X,X,X,O,X,O,O,X
IZTSLJO,O,X,X,X,X,X,O,O,X
IZTSLOJ,O,X,X,X,X,X,O,O,X
IZTSJLO,O,X,X,X,X,X,O,O,X
IZTSJOL,O,X,X,X,X,X,O,O,X
IZTSOLJ,O,X,X,X,X,X,O,O,X
IZTSOJL,O,X,X,X,X,X,O,O,X
IZTOLJS,X,X,O,X,X,X,O,O,X
IZTOLSJ,X,X,O,X,X,X,O,O,X
IZTOJLS,X,X,X,X,X,X,O,O,X
IZTOJSL,X,X,X,X,O,X,O,O,X
IZTOSLJ,O,X,X,X,X,X,O,O,X
IZTOSJL,O,X,X,X,X,X,O,O,X
IZLTJSO,X,X,O,X,X,X,O,O,X
IZLTJOS,X,X,O,X,X,X,O,O,X
IZLTSJO,X,X,O,X,X,X,O,O,X
IZLTSOJ,X,X,O,X,X,X,O,O,X
IZLTOJS,X,X,O,X,X,X,O,O,X
IZLTOSJ,X,X,O,X,X,X,O,O,X
IZLJTSO,X,X,O,X,X,X,X,X,X
IZLJTOS,X,X,O,X,X,X,X,X,X
IZLJSTO,X,X,O,X,O,O,X,X,X
IZLJSOT,X,X,O,O,O,O,X,X,X
IZLJOTS,X,X,O,X,X,X,X,X,X
IZLJOST,X,X,O,O,O,O,X,X,X
IZLSTJO,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,X,X
IZLSJTO,X,X,O,X,X,X,X,X,X
IZLSJOT,X,X,O,O,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X
IZLSOJT,X,X,O,O,X,X,X,X,X
IZLOTJS,X,X,O,X,X,X,O,O,X
IZLOTSJ,X,X,O,X,X,X,O,O,X
IZLOJTS,X,X,O,X,X,X,X,X,X
IZLOJST,X,X,O,O,O,O,X,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,X
IZLOSJT,X,X,O,O,X,X,X,X,X
IZJTLSO,X,X,X,X,X,X,O,X,X
IZJTLOS,X,X,X,X,X,X,O,X,X
IZJTSLO,X,X,X,X,O,X,O,X,X
IZJTSOL,X,X,X,X,O,X,O,X,X
IZJTOLS,X,X,X,X,X,X,O,X,X
IZJTOSL,X,X,X,X,O,X,O,X,X
IZJLTSO,X,X,O,X,X,X,X,X,X
IZJLTOS,X,X,O,X,X,X,X,X,X
IZJLSTO,X,X,O,X,O,O,X,X,X
IZJLSOT,X,X,O,O,O,O,X,X,X
IZJLOTS,X,X,O,X,X,X,X,X,X
IZJLOST,X,X,O,O,O,O,X,X,X
IZJSTLO,X,X,X,X,O,O,X,X,X
IZJSTOL,X,X,X,X,O,O,X,X,X
IZJSLTO,X,X,X,X,O,O,X,X,X
IZJSLOT,X,X,X,O,O,O,X,X,X
IZJSOTL,X,X,X,X,O,O,X,X,X
IZJSOLT,X,X,X,O,O,O,X,X,X
IZJOTLS,X,X,X,X,X,X,O,X,X
IZJOTSL,X,X,X,X,O,X,O,X,X
IZJOLTS,X,X,O,X,X,X,X,X,X
IZJOLST,X,X,O,O,O,O,X,X,X
IZJOSTL,X,X,X,X,O,O,X,X,X
IZJOSLT,X,X,X,O,O,O,X,X,X
IZSTLJO,O,X,X,X,X,X,O,X,X
IZSTLOJ,O,X,X,X,X,X,O,X,X
IZSTJLO,O,X,X,X,X,X,O,X,X
IZSTJOL,O,X,X,X,X,X,O,X,X
IZSTOLJ,O,X,X,X,X,X,O,X,X
IZSTOJL,O,X,X,X,X,X,O,X,X
IZSLTJO,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X,X,X
IZSLJTO,X,X,O,X,X,X,X,X,X
IZSLJOT,O,X,O,O,X,X,X,X,X
IZSLOTJ,X,X,O,X,X,X,X,X,X
IZSLOJT,O,X,O,O,X,X,X,X,X
IZSJTLO,X,X,X,X,O,X,X,X,X
IZSJTOL,O,X,X,X,O,X,X,X,X
IZSJLTO,X,X,X,X,O,X,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X,X
IZSJOTL,O,X,X,X,O,X,X,X,X
IZSJOLT,O,X,X,O,O,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,O,X,X
IZSOTJL,O,X,X,X,X,X,O,X,X
IZSOLTJ,X,X,O,X,X,X,X,X,X
IZSOLJT,O,X,O,O,X,X,X,X,X
IZSOJTL,O,X,X,X,O,X,X,X,X
IZSOJLT,O,X,X,O,O,X,X,X,X
IZOTLJS,X,X,O,X,X,X,O,O,X
IZOTLSJ,X,X,O,X,X,X,O,O,X
IZOTJLS,X,X,X,X,X,X,O,O,X
IZOTJSL,X,X,X,X,O,X,O,O,X
IZOTSLJ,O,X,X,X,X,X,O,O,X
IZOTSJL,O,X,X,X,X,X,O,O,X
IZOLTJS,X,X,O,X,X,X,O,O,X
IZOLTSJ,X,X,O,X,X,X,O,O,X
IZOLJTS,X,X,O,X,X,X,X,X,X
IZOLJST,X,X,O,O,O,O,X,X,X
IZOLSTJ,X,X,O,X,X,X,X,X,X
IZOLSJT,X,X,O,O,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,O,X,X
IZOJTSL,X,X,X,X,O,X,O,X,X
IZOJLTS,X,X,O,X,X,X,X,X,X
IZOJLST,X,X,O,O,O,O,X,X,X
IZOJSTL,X,X,X,X,O,O,X,X,X
IZOJSLT,X,X,X,O,O,O,X,X,X
IZOSTLJ,O,X,X,X,X,X,O,X,X
IZOSTJL,O,X,X,X,X,X,O,X,X
IZOSLTJ,X,X,O,X,X,X,X,X,X
IZOSLJT,O,X,O,O,X,X,X,X,X
IZOSJTL,O,X,X,X,O,X,X,X,X
IZOSJLT,O,X,X,O,O,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,O,O,O
IOTLJZS,X,O,X,X,X,X,X,O,X
IOTLSJZ,X,X,X,O,X,X,O,O,X
IOTLSZJ,O,X,X,X,X,X,X,O,X
IOTLZJS,X,O,O,X,X,X,X,O,X
IOTLZSJ,X,O,O,X,X,X,X,O,X
IOTJLSZ,X,X,X,O,X,X,O,O,O
IOTJLZS,X,O,X,X,X,X,X,O,X
IOTJSLZ,X,X,X,O,O,X,O,O,O
IOTJSZL,O,X,X,X,O,X,O,O,O
IOTJZLS,X,O,X,X,X,X,O,O,X
IOTJZSL,X,O,X,X,X,X,O,O,X
IOTSLJZ,X,X,X,O,X,X,O,O,X
IOTSLZJ,O,X,X,X,X,X,X,O,X
IOTSJLZ,X,X,X,O,X,X,O,O,X
IOTSJZL,O,X,X,X,X,X,O,O,X
IOTSZLJ,O,X,X,X,X,X,X,O,X
IOTSZJL,O,X,X,X,X,X,O,O,X
IOTZLJS,X,O,O,X,X,X,O,O,X
IOTZLSJ,X,O,O,X,X,X,O,O,X
IOTZJLS,X,O,X,X,X,X,O,O,X
IOTZJSL,X,O,X,X,O,X,O,O,X
IOTZSLJ,O,O,X,X,X,X,O,O,X
IOTZSJL,O,X,X,X,X,X,O,O,X
IOLTJSZ,X,X,X,O,X,X,O,O,O
IOLTJZS,X,O,X,X,X,X,X,O,X
IOLTSJZ,X,X,X,O,X,X,O,O,X
IOLTSZJ,O,X,X,X,X,X,X,O,X
IOLTZJS,X,O,O,X,X,X,X,O,X
IOLTZSJ,X,O,O,X,X,X,X,O,X
IOLJTSZ,X,X,X,O,X,X,X,O,X
IOLJTZS,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,X,X,O,O,O,X,X,X
IOLJSZT,X,X,X,O,O,O,X,X,X
IOLJZTS,X,X,O,X,X,X,X,X,X
IOLJZST,X,X,O,O,X,O,X,X,X
IOLSTJZ,X,X,X,O,X,X,X,O,X
IOLSTZJ,O,X,X,X,X,X,X,O,X
IOLSJTZ,X,X,X,O,X,X,X,X,X
IOLSJZT,X,X,X,O,X,X,X,X,X
IOLSZTJ,X,X,O,X,X,X,X,X,X
IOLSZJT,O,X,O,O,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X,O,O,X
IOLZTSJ,X,X,O,X,X,X,O,O,X
IOLZJTS,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,O,O,O,O,X,X,X
IOLZSTJ,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,O,O,X,X,X,X,X
IOJTLSZ,X,X,X,O,X,X,O,O,X
IOJTLZS,X,X,X,X,X,X,X,O,X
IOJTSLZ,X,X,X,O,O,X,O,O,X
IOJTSZL,O,X,X,X,O,X,O,O,X
IOJTZLS,X,X,X,X,X,X,X,O,X
IOJTZSL,X,X,X,X,X,X,O,O,X
IOJLTSZ,X,X,X,O,X,X,X,O,X
IOJLTZS,X,X,X,X,X,X,X,O,X
IOJLSTZ,X,X,X,O,O,O,X,X,X
IOJLSZT,X,X,X,O,O,O,X,X,X
IOJLZTS,X,X,O,X,X,X,X,X,X
IOJLZST,X,X,O,O,X,O,X,X,X
IOJSTLZ,X,X,X,O,O,O,X,X,X
IOJSTZL,O,X,X,X,O,X,X,X,X
IOJSLTZ,X,X,X,O,O,O,X,X,X
IOJSLZT,X,X,X,O,O,O,X,X,X
IOJSZTL,O,X,X,X,O,O,X,X,X
IOJSZLT,O,X,X,O,O,O,X,X,X
IOJZTLS,X,X,X,X,X,X,O,X,X
IOJZTSL,X,X,X,X,O,X,O,X,X
IOJZLTS,X,X,O,X,X,X,X,X,X
IOJZLST,X,X,O,O,O,O,X,X,X
IOJZSTL,X,X,X,X,O,O,X,X,X
IOJZSLT,X,X,X,O,O,O,X,X,X
IOSTLJZ,X,X,X,O,X,X,O,O,X
IOSTLZJ,O,X,X,X,X,X,X,O,X
IOSTJLZ,X,X,X,O,X,X,O,O,X
IOSTJZL,O,X,X,X,X,X,O,O,X
IOSTZLJ,O,X,X,X,X,X,X,O,X
IOSTZJL,O,X,X,X,X,X,O,O,X
IOSLTJZ,X,X,X,O,X,X,X,O,X
IOSLTZJ,O,X,X,X,X,X,X,O,X
IOSLJTZ,X,X,X,O,X,X,X,X,X
IOSLJZT,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,X,O,X,X,X,X,X,X
IOSLZJT,O,X,O,O,X,X,X,X,X
IOSJTLZ,X,X,X,O,O,X,X,X,X
IOSJTZL,O,X,X,X,O,X,X,X,X
IOSJLTZ,X,X,X,O,O,X,X,X,X
IOSJLZT,X,X,X,O,O,X,X,X,X
IOSJZTL,O,X,X,X,O,X,X,X,X
IOSJZLT,O,X,X,O,O,X,X,X,X
IOSZTLJ,O,X,X,X,X,X,O,X,X
IOSZTJL,O,X,X,X,X,X,O,X,X
IOSZLTJ,X,X,O,X,X,X,X,X,X
IOSZLJT,O,X,O,O,X,X,X,X,X
IOSZJTL,O,X,X,X,O,X,X,X,X
IOSZJLT,O,X,X,O,O,X,X,X,X
IOZTLJS,X,X,O,X,X,X,O,O,X
IOZTLSJ,X,X,O,X,X,X,O,O,X
IOZTJLS,X,X,X,X,X,X,O,O,X
IOZTJSL,X,X,X,X,O,X,O,O,X
IOZTSLJ,O,X,X,X,X,X,O,O,X
IOZTSJL,O,X,X,X,X,X,O,O,X
IOZLTJS,X,X,O,X,X,X,O,O,X
IOZLTSJ,X,X,O,X,X,X,O,O,X
IOZLJTS,X,X,O,X,X,X,X,X,X
IOZLJST,X,X,O,O,O,O,X,X,X
IOZLSTJ,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,O,O,X,X,X,X,X
IOZJTLS,X,X,X,X,X,X,O,X,X
IOZJTSL,X,X,X,X,O,X,O,X,X
IOZJLTS,X,X,O,X,X,X,X,X,X
IOZJLST,X,X,O,O,O,O,X,X,X
IOZJSTL,X,X,X,X,O,O,X,X,X
IOZJSLT,X,X,X,O,O,O,X,X,X
IOZSTLJ,O,X,X,X,X,X,O,X,X
IOZSTJL,O,X,X,X,X,X,O,X,X
IOZSLTJ,X,X,O,X,X,X,X,X,X
IOZSLJT,O,X,O,O,X,X,X,X,X
IOZSJTL,O,X,X,X,O,X,X,X,X
IOZSJLT,O,X,X,O,O,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,O,O
LTIJSOZ,X,X,X,O,X,X,O,O,O
LTIJZSO,X,O,X,X,X,X,X,O,X
LTIJZOS,X,O,X,X,X,X,X,O,X
LTIJOSZ,X,X,X,O,X,X,O,O,O
LTIJOZS,X,O,X,X,X,X,X,O,X
LTISJZO,X,X,X,X,X,X,X,O,X
LTISJOZ,X,X,X,O,X,X,O,O,X
LTISZJO,O,X,X,X,X,X,X,O,X
LTISZOJ,O,X,X,X,X,X,X,O,X
LTISOJZ,X,X,X,O,X,X,O,O,X
LTISOZJ,O,X,X,X,X,X,X,O,X
LTIZJSO,X,O,O,X,X,X,X,O,X
LTIZJOS,X,O,O,X,X,X,X,O,X
LTIZSJO,X,X,O,X,X,X,X,O,X
LTIZSOJ,X,O,O,X,X,X,X,O,X
LTIZOJS,X,O,O,X,X,X,X,O,X
LTIZOSJ,X,O,O,X,X,X,X,O,X
LTIOJSZ,X,X,X,O,X,X,O,O,O
LTIOJZS,X,O,X,X,X,X,X,O,X
LTIOSJZ,X,X,X,O,X,X,O,O,X
LTIOSZJ,O,X,X,X,X,X,X,O,X
LTIOZJS,X,O,O,X,X,X,X,O,X
LTIOZSJ,X,O,O,X,X,X,X,O,X
LTJISZO,X,X,X,X,X,X,X,O,O
LTJISOZ,X,X,X,O,X,X,O,O,O
LTJIZSO,X,O,X,X,X,X,X,O,X
LTJIZOS,X,O,X,X,X,X,X,O,X
LTJIOSZ,X,X,X,O,X,X,O,O,O
LTJIOZS,X,O,X,X,X,X,X,O,X
LTJSIZO,X,X,X,X,X,X,X,X,O
LTJSIOZ,X,X,X,O,X,O,O,X,O
LTJSZIO,X,O,X,X,X,O,X,X,O
LTJSZOI,X,O,X,X,X,O,X,X,O
LTJSOIZ,X,X,X,O,X,O,O,X,O
LTJSOZI,X,O,X,X,X,O,X,X,O
LTJZISO,X,O,X,X,X,X,O,X,X
LTJZIOS,X,O,X,X,X,X,O,X,X
LTJZSIO,X,O,X,X,X,O,O,X,O
LTJZSOI,X,O,X,X,X,O,O,X,O
LTJZOIS,X,O,X,X,X,X,O,X,X
LTJZOSI,X,O,X,X,X,O,O,X,O
LTJOISZ,X,X,X,O,X,X,O,O,O
LTJOIZS,X,O,X,X,X,X,X,O,X
LTJOSIZ,X,X,X,O,X,O,O,X,O
LTJOSZI,X,O,X,X,X,O,X,X,O
LTJOZIS,X,O,X,X,X,X,O,X,X
LTJOZSI,X,O,X,X,X,O,O,X,O
LTSIJZO,X,X,X,X,X,X,X,O,X
LTSIJOZ,X,X,X,O,X,X,O,O,X
LTSIZJO,O,X,X,X,X,X,X,O,X
LTSIZOJ,O,X,X,X,X,X,X,O,X
LTSIOJZ,X,X,X,O,X,X,O,O,X
LTSIOZJ,O,X,X,X,X,X,X,O,X
LTSJIZO,X,X,X,X,X,X,X,X,O
LTSJIOZ,X,X,X,O,X,X,O,X,O
LTSJZIO,X,O,X,X,X,X,X,X,O
LTSJZOI,X,O,X,X,X,X,X,X,O
LTSJOIZ,X,X,X,O,X,X,O,X,O
LTSJOZI,X,O,X,X,X,X,X,X,O
LTSZIJO,O,X,X,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,O,X,X,O,O,X
LTSOIZJ,O,X,X,X,X,X,X,O,X
LTSOJIZ,X,X,X,O,X,X,O,X,O
LTSOJZI,X,O,X,X,X,X,X,X,O
LTSOZIJ,O,O,X,X,X,X,X,X,X
LTSOZJI,O,O,X,X,X,X,X,X,X
LTZIJSO,X,O,O,X,X,X,O,O,X
LTZIJOS,X,O,O,X,X,X,O,O,X
LTZISJO,X,X,O,X,X,X,O,O,X
LTZISOJ,X,O,O,X,X,X,O,O,X
LTZIOJS,X,O,O,X,X,X,O,O,X
LTZIOSJ,X,O,O,X,X,X,O,O,X
LTZJISO,X,O,O,X,X,X,O,X,X
LTZJIOS,X,O,O,X,X,X,O,X,X
LTZJSIO,X,O,O,X,X,O,O,X,O
LTZJSOI,X,O,O,X,X,O,O,X,O
LTZJOIS,X,O,O,X,X,X,O,X,X
LTZJOSI,X,O,O,X,X,O,O,X,O
LTZSIJO,X,X,O,X,X,X,O,X,X
LTZSIOJ,X,O,O,X,X,X,O,X,X
LTZSJIO,X,O,O,X,X,X,O,X,X
LTZSJOI,X,O,O,X,X,X,O,X,X
LTZSOIJ,X,O,O,X,X,X,O,X,X
LTZSOJI,X,O,O,X,X,X,O,X,X
LTZOIJS,X,O,O,X,X,X,O,O,X
LTZOISJ,X,O,O,X,X,X,O,O,X
LTZOJIS,X,O,O,X,X,X,O,X,X
LTZOJSI,X,O,O,X,X,O,O,X,O
LTZOSIJ,X,O,O,X,X,X,O,X,X
LTZOSJI,X,O,O,X,X,X,O,X,X
LTOIJSZ,X,X,X,O,X,X,O,O,O
LTOIJZS,X,O,X,X,X,X,X,O,X
LTOISJZ,X,X,X,O,X,X,O,O,X
