sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
IOTSZJL,X,O,X,X,X,X
IOTZLJS,O,O,X,X,X,O
IOTZLSJ,O,O,X,X,X,X
IOTZJLS,O,O,X,X,X,O
IOTZJSL,O,O,X,X,X,X
IOTZSLJ,O,O,X,X,X,X
IOTZSJL,O,O,X,X,X,X
IOLTJSZ,O,O,O,X,X,X
IOLTJZS,O,O,O,X,X,O
IOLTSJZ,O,O,O,X,X,X
IOLTSZJ,X,O,X,X,X,X
IOLTZJS,O,O,X,X,X,O
IOLTZSJ,O,O,X,X,X,X
IOLJTSZ,O,O,O,X,X,X
IOLJTZS,O,O,O,X,X,O
IOLJSTZ,O,O,O,X,X,X
IOLJSZT,X,O,O,X,X,X
IOLJZTS,O,O,O,X,X,O
IOLJZST,X,O,O,X,X,X
IOLSTJZ,O,O,O,X,X,X
IOLSTZJ,X,O,X,X,X,X
IOLSJTZ,O,O,O,X,X,X
IOLSJZT,X,O,O,X,X,X
IOLSZTJ,O,O,X,X,X,X
IOLSZJT,X,O,X,X,X,X
IOLZTJS,O,O,X,X,X,O
IOLZTSJ,O,O,X,X,X,X
IOLZJTS,O,O,X,X,X,O
IOLZJST,X,O,X,X,X,X
IOLZSTJ,O,O,X,X,X,X
IOLZSJT,X,O,X,X,X,X
IOJTLSZ,O,O,O,X,X,X
IOJTLZS,O,O,O,X,X,O
IOJTSLZ,O,O,O,X,X,X
IOJTSZL,O,O,X,X,X,X
IOJTZLS,O,O,X,X,X,O
IOJTZSL,O,O,X,X,X,X
IOJLTSZ,O,O,O,X,X,X
IOJLTZS,O,O,O,X,X,O
IOJLSTZ,O,O,O,X,X,X
IOJLSZT,X,O,O,X,X,X
IOJLZTS,O,O,O,X,X,O
IOJLZST,X,O,O,X,X,X
IOJSTLZ,O,O,O,X,X,X
IOJSTZL,O,O,X,X,X,X
IOJSLTZ,O,O,O,X,X,X
IOJSLZT,X,O,O,X,X,X
IOJSZTL,X,O,X,X,X,X
IOJSZLT,X,O,O,X,X,X
IOJZTLS,O,O,X,X,X,O
IOJZTSL,O,O,X,X,X,X
IOJZLTS,O,O,O,X,X,O
IOJZLST,X,O,O,X,X,X
IOJZSTL,X,O,X,X,X,X
IOJZSLT,X,O,O,X,X,X
IOSTLJZ,O,O,X,X,X,X
IOSTLZJ,X,O,X,X,X,X
IOSTJLZ,O,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X
IOSTZLJ,X,O,X,X,X,X
IOSTZJL,X,O,X,X,X,X
IOSLTJZ,O,O,O,X,X,X
IOSLTZJ,X,O,X,X,X,X
IOSLJTZ,O,O,O,X,X,X
IOSLJZT,X,O,O,X,X,X
IOSLZTJ,O,O,X,X,X,X
IOSLZJT,X,O,X,X,X,X
IOSJTLZ,O,O,O,X,X,X
IOSJTZL,O,O,X,X,X,X
IOSJLTZ,O,O,O,X,X,X
IOSJLZT,X,O,O,X,X,X
IOSJZTL,X,O,X,X,X,X
IOSJZLT,X,O,O,X,X,X
IOSZTLJ,O,O,X,X,X,X
IOSZTJL,O,O,X,X,X,X
IOSZLTJ,O,O,X,X,X,X
IOSZLJT,X,O,X,X,X,X
IOSZJTL,X,O,X,X,X,X
IOSZJLT,X,O,X,X,X,X
IOZTLJS,O,O,X,X,X,O
IOZTLSJ,O,O,X,X,X,X
IOZTJLS,O,O,X,X,X,O
IOZTJSL,O,O,X,X,X,X
IOZTSLJ,O,O,X,X,X,X
IOZTSJL,O,O,X,X,X,X
IOZLTJS,O,O,X,X,X,O
IOZLTSJ,O,O,X,X,X,X
IOZLJTS,O,O,X,X,X,O
IOZLJST,X,O,X,X,X,X
IOZLSTJ,O,O,X,X,X,X
IOZLSJT,X,O,X,X,X,X
IOZJTLS,O,O,X,X,X,O
IOZJTSL,O,O,X,X,X,X
IOZJLTS,O,O,X,X,X,O
IOZJLST,X,O,X,X,X,X
IOZJSTL,X,O,X,X,X,X
IOZJSLT,X,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,X
IOZSTJL,O,O,X,X,X,X
IOZSLTJ,O,O,X,X,X,X
IOZSLJT,X,O,X,X,X,X
IOZSJTL,X,O,X,X,X,X
IOZSJLT,X,O,X,X,X,X
LTIJSZO,O,X,O,X,O,O
LTIJSOZ,O,O,O,X,X,X
LTIJZSO,O,X,O,X,O,O
LTIJZOS,O,X,O,X,O,O
LTIJOSZ,O,O,O,X,X,X
LTIJOZS,O,O,O,X,O,O
LTISJZO,O,X,O,X,X,O
LTISJOZ,O,O,O,X,X,X
LTISZJO,O,X,X,X,X,O
LTISZOJ,O,O,X,X,X,X
LTISOJZ,O,O,O,X,X,X
LTISOZJ,X,O,X,X,X,X
LTIZJSO,O,X,X,X,O,O
LTIZJOS,O,X,X,X,O,O
LTIZSJO,O,X,X,X,O,O
LTIZSOJ,O,O,X,X,X,X
LTIZOJS,O,O,X,X,X,O
LTIZOSJ,O,O,X,X,X,X
LTIOJSZ,O,O,O,X,X,X
LTIOJZS,O,O,O,X,X,O
LTIOSJZ,O,O,O,X,X,X
LTIOSZJ,X,O,X,X,X,X
LTIOZJS,O,O,X,X,X,O
LTIOZSJ,O,O,X,X,X,X
LTJISZO,O,X,O,O,O,O
LTJISOZ,O,O,O,O,X,X
LTJIZSO,O,X,O,O,O,O
LTJIZOS,O,X,O,X,O,O
LTJIOSZ,O,O,O,X,X,X
LTJIOZS,O,O,O,X,O,O
LTJSIZO,O,X,O,O,O,O
LTJSIOZ,O,O,O,O,X,X
LTJSZIO,O,X,O,O,O,O
LTJSZOI,O,X,O,O,O,X
LTJSOIZ,O,O,O,O,X,X
LTJSOZI,O,O,O,O,X,X
LTJZISO,O,X,O,O,O,O
LTJZIOS,O,X,O,X,O,O
LTJZSIO,O,X,O,O,O,O
LTJZSOI,O,X,O,O,O,X
LTJZOIS,O,X,O,X,O,O
LTJZOSI,O,X,O,X,O,X
LTJOISZ,O,O,O,X,X,X
LTJOIZS,O,O,O,X,O,O
LTJOSIZ,O,O,O,X,X,X
LTJOSZI,O,O,O,X,X,X
LTJOZIS,O,O,O,X,O,O
LTJOZSI,O,O,O,X,O,X
LTSIJZO,O,X,O,O,X,O
LTSIJOZ,O,O,O,O,X,X
LTSIZJO,O,X,X,O,X,O
LTSIZOJ,O,O,X,X,X,X
LTSIOJZ,O,O,O,X,X,X
LTSIOZJ,X,O,X,X,X,X
LTSJIZO,O,X,O,O,O,O
LTSJIOZ,O,O,O,O,X,X
LTSJZIO,O,X,O,O,O,O
LTSJZOI,O,X,O,O,O,X
LTSJOIZ,O,O,O,O,X,X
LTSJOZI,O,O,O,O,X,X
LTSZIJO,O,X,X,O,O,O
LTSZIOJ,O,O,X,X,X,X
LTSZJIO,O,X,O,O,O,O
LTSZJOI,O,X,O,O,O,X
LTSZOIJ,O,O,X,X,X,X
LTSZOJI,O,O,O,O,O,X
LTSOIJZ,O,O,O,X,X,X
LTSOIZJ,X,O,X,X,X,X
LTSOJIZ,O,O,O,O,X,X
LTSOJZI,O,O,O,O,X,X
LTSOZIJ,X,O,X,X,X,X
LTSOZJI,X,O,O,O,X,X
LTZIJSO,O,X,X,X,O,O
LTZIJOS,O,X,X,X,O,O
LTZISJO,O,X,X,X,O,O
LTZISOJ,O,O,X,X,X,X
LTZIOJS,O,O,X,X,X,O
LTZIOSJ,O,O,X,X,X,X
LTZJISO,O,X,O,O,O,O
LTZJIOS,O,X,O,X,O,O
LTZJSIO,O,X,O,O,O,O
LTZJSOI,O,X,O,O,O,X
LTZJOIS,O,X,O,X,O,O
LTZJOSI,O,X,O,X,O,X
LTZSIJO,O,X,X,O,O,O
LTZSIOJ,O,O,X,X,X,X
LTZSJIO,O,X,O,O,O,O
LTZSJOI,O,X,O,O,O,X
LTZSOIJ,O,O,X,X,X,X
LTZSOJI,O,O,O,O,O,X
LTZOIJS,O,O,X,X,X,O
LTZOISJ,O,O,X,X,X,X
LTZOJIS,O,O,O,X,O,O
LTZOJSI,O,O,O,X,O,X
LTZOSIJ,O,O,X,X,X,X
LTZOSJI,O,O,O,X,O,X
LTOIJSZ,O,O,O,X,X,X
LTOIJZS,O,O,O,X,X,O
LTOISJZ,O,O,O,X,X,X
LTOISZJ,X,O,X,X,X,X
LTOIZJS,O,O,X,X,X,O
LTOIZSJ,O,O,X,X,X,X
LTOJISZ,O,O,O,X,X,X
LTOJIZS,O,O,O,X,O,O
LTOJSIZ,O,O,O,X,X,X
LTOJSZI,O,O,O,X,X,X
LTOJZIS,O,O,O,X,O,O
LTOJZSI,O,O,O,X,O,X
LTOSIJZ,O,O,O,X,X,X
LTOSIZJ,X,O,X,X,X,X
LTOSJIZ,O,O,O,X,X,X
LTOSJZI,O,O,O,X,X,X
LTOSZIJ,X,O,X,X,X,X
LTOSZJI,X,O,O,X,X,X
LTOZIJS,O,O,X,X,X,O
LTOZISJ,O,O,X,X,X,X
LTOZJIS,O,O,O,X,O,O
LTOZJSI,O,O,O,X,O,X
LTOZSIJ,O,O,X,X,X,X
LTOZSJI,O,O,O,X,O,X
LITJSZO,O,X,O,X,O,O
LITJSOZ,O,O,O,X,X,X
LITJZSO,O,X,O,X,O,O
LITJZOS,O,X,O,X,O,O
LITJOSZ,O,O,O,X,X,X
LITJOZS,O,O,O,X,O,O
LITSJZO,O,X,O,X,X,O
LITSJOZ,O,O,O,X,X,X
LITSZJO,O,X,X,X,X,O
LITSZOJ,O,O,X,X,X,X
LITSOJZ,O,O,O,X,X,X
LITSOZJ,X,O,X,X,X,X
LITZJSO,O,X,X,X,O,O
LITZJOS,O,X,X,X,O,O
LITZSJO,O,X,X,X,O,O
LITZSOJ,O,O,X,X,X,X
LITZOJS,O,O,X,X,X,O
LITZOSJ,O,O,X,X,X,X
LITOJSZ,O,O,O,X,X,X
LITOJZS,O,O,O,X,X,O
LITOSJZ,O,O,O,X,X,X
LITOSZJ,X,O,X,X,X,X
LITOZJS,O,O,X,X,X,O
LITOZSJ,O,O,X,X,X,X
LIJTSZO,O,X,O,X,O,O
LIJTSOZ,O,O,O,X,X,X
LIJTZSO,O,X,O,X,O,O
LIJTZOS,O,X,O,X,O,O
LIJTOSZ,O,O,O,X,X,X
LIJTOZS,O,O,O,X,O,O
LIJSTZO,O,X,O,X,O,O
LIJSTOZ,O,O,O,X,X,X
LIJSZTO,X,X,O,X,O,O
LIJSZOT,X,X,O,X,O,X
LIJSOTZ,O,O,O,X,X,X
LIJSOZT,X,O,O,X,X,X
LIJZTSO,O,X,O,X,O,O
LIJZTOS,O,X,O,X,O,O
LIJZSTO,X,X,O,X,O,O
LIJZSOT,X,X,O,X,O,X
LIJZOTS,O,O,O,X,O,O
LIJZOST,X,O,O,X,O,X
LIJOTSZ,O,O,O,X,X,X
LIJOTZS,O,O,O,X,O,O
LIJOSTZ,O,O,O,X,X,X
LIJOSZT,X,O,O,X,X,X
LIJOZTS,O,O,O,X,O,O
LIJOZST,X,O,O,X,O,X
LISTJZO,O,X,O,X,X,O
LISTJOZ,O,O,O,X,X,X
LISTZJO,O,X,X,X,X,O
LISTZOJ,O,O,X,X,X,X
LISTOJZ,O,O,O,X,X,X
LISTOZJ,X,O,X,X,X,X
LISJTZO,O,X,O,X,X,O
LISJTOZ,O,O,O,X,X,X
LISJZTO,X,X,O,X,X,O
LISJZOT,X,X,O,X,X,X
LISJOTZ,O,O,O,X,X,X
LISJOZT,X,O,O,X,X,X
LISZTJO,O,X,X,X,X,O
LISZTOJ,O,O,X,X,X,X
LISZJTO,X,X,X,X,X,O
LISZJOT,X,X,X,X,X,X
LISZOTJ,O,O,X,X,X,X
LISZOJT,X,O,X,X,X,X
LISOTJZ,O,O,O,X,X,X
LISOTZJ,X,O,X,X,X,X
LISOJTZ,O,O,O,X,X,X
LISOJZT,X,O,O,X,X,X
LISOZTJ,O,O,X,X,X,X
LISOZJT,X,O,X,X,X,X
LIZTJSO,O,X,X,X,O,O
LIZTJOS,O,X,X,X,O,O
LIZTSJO,O,X,X,X,O,O
LIZTSOJ,O,O,X,X,X,X
LIZTOJS,O,O,X,X,X,O
LIZTOSJ,O,O,X,X,X,X
LIZJTSO,O,X,X,X,O,O
LIZJTOS,O,X,X,X,O,O
LIZJSTO,X,X,X,X,O,O
LIZJSOT,X,X,X,X,O,X
LIZJOTS,O,O,X,X,O,O
LIZJOST,X,O,X,X,O,X
LIZSTJO,O,X,X,X,O,O
LIZSTOJ,O,O,X,X,X,X
LIZSJTO,X,X,X,X,O,O
LIZSJOT,X,X,X,X,O,X
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,X,O,X,X,X,X
LIZOTJS,O,O,X,X,X,O
LIZOTSJ,O,O,X,X,X,X
LIZOJTS,O,O,X,X,X,O
LIZOJST,X,O,X,X,X,X
LIZOSTJ,O,O,X,X,X,X
LIZOSJT,X,O,X,X,X,X
LIOTJSZ,O,O,O,X,X,X
LIOTJZS,O,O,O,X,X,O
LIOTSJZ,O,O,O,X,X,X
LIOTSZJ,X,O,X,X,X,X
LIOTZJS,O,O,X,X,X,O
LIOTZSJ,O,O,X,X,X,X
LIOJTSZ,O,O,O,X,X,X
LIOJTZS,O,O,O,X,X,O
LIOJSTZ,O,O,O,X,X,X
LIOJSZT,X,O,O,X,X,X
LIOJZTS,O,O,O,X,X,O
LIOJZST,X,O,O,X,X,X
LIOSTJZ,O,O,O,X,X,X
LIOSTZJ,X,O,X,X,X,X
LIOSJTZ,O,O,O,X,X,X
LIOSJZT,X,O,O,X,X,X
LIOSZTJ,O,O,X,X,X,X
LIOSZJT,X,O,X,X,X,X
LIOZTJS,O,O,X,X,X,O
LIOZTSJ,O,O,X,X,X,X
LIOZJTS,O,O,X,X,X,O
LIOZJST,X,O,X,X,X,X
LIOZSTJ,O,O,X,X,X,X
LIOZSJT,X,O,X,X,X,X
LJTISZO,O,X,O,O,O,O
LJTISOZ,O,O,O,O,X,X
LJTIZSO,O,X,O,O,O,O
LJTIZOS,O,X,O,X,O,O
LJTIOSZ,O,O,O,X,X,X
LJTIOZS,O,O,O,X,O,O
LJTSIZO,O,X,O,O,O,O
LJTSIOZ,O,O,O,O,X,X
LJTSZIO,O,X,O,O,O,O
LJTSZOI,O,X,O,O,O,X
LJTSOIZ,O,O,O,O,X,X
LJTSOZI,O,O,O,O,X,X
LJTZISO,O,X,O,O,O,O
LJTZIOS,O,X,O,X,O,O
LJTZSIO,O,X,O,O,O,O
LJTZSOI,O,X,O,O,O,X
LJTZOIS,O,X,O,X,O,O
LJTZOSI,O,X,O,X,O,X
LJTOISZ,O,O,O,X,X,X
LJTOIZS,O,O,O,X,O,O
LJTOSIZ,O,O,O,X,X,X
LJTOSZI,O,O,O,X,X,X
LJTOZIS,O,O,O,X,O,O
LJTOZSI,O,O,O,X,O,X
LJITSZO,O,X,O,O,O,O
LJITSOZ,O,O,O,O,X,X
LJITZSO,O,X,O,O,O,O
LJITZOS,O,X,O,X,O,O
LJITOSZ,O,O,O,X,X,X
LJITOZS,O,O,O,X,O,O
LJISTZO,O,X,O,O,O,O
LJISTOZ,O,O,O,O,X,X
LJISZTO,X,X,O,O,O,O
LJISZOT,X,X,O,O,O,X
LJISOTZ,O,O,O,O,X,X
LJISOZT,X,O,O,O,X,X
LJIZTSO,O,X,O,O,O,O
LJIZTOS,O,X,O,X,O,O
LJIZSTO,X,X,O,O,O,O
LJIZSOT,X,X,O,O,O,X
LJIZOTS,O,O,O,X,O,O
LJIZOST,X,O,O,X,O,X
LJIOTSZ,O,O,O,X,X,X
LJIOTZS,O,O,O,X,O,O
LJIOSTZ,O,O,O,X,X,X
LJIOSZT,X,O,O,X,X,X
LJIOZTS,O,O,O,X,O,O
LJIOZST,X,O,O,X,O,X
LJSTIZO,O,X,O,O,O,O
LJSTIOZ,O,O,O,O,X,X
LJSTZIO,O,X,O,O,O,O
LJSTZOI,O,X,O,O,O,X
LJSTOIZ,O,O,O,O,X,X
LJSTOZI,O,O,O,O,X,X
LJSITZO,O,X,O,O,O,O
LJSITOZ,O,O,O,O,X,X
LJSIZTO,X,X,O,O,O,O
LJSIZOT,X,X,O,O,O,X
LJSIOTZ,O,O,O,O,X,X
LJSIOZT,X,O,O,O,X,X
LJSZTIO,X,X,O,O,O,O
LJSZTOI,X,X,O,O,O,X
LJSZITO,X,X,O,O,O,O
LJSZIOT,X,X,O,O,O,X
LJSZOTI,X,X,O,O,O,X
LJSZOIT,X,X,O,O,O,X
LJSOTIZ,O,O,O,O,X,X
LJSOTZI,O,O,O,O,X,X
LJSOITZ,O,O,O,O,X,X
LJSOIZT,X,O,O,O,X,X
LJSOZTI,X,O,O,O,X,X
LJSOZIT,X,O,O,O,X,X
LJZTISO,O,X,O,O,O,O
LJZTIOS,O,X,O,X,O,O
LJZTSIO,O,X,O,O,O,O
LJZTSOI,O,X,O,O,O,X
LJZTOIS,O,X,O,X,O,O
LJZTOSI,O,X,O,X,O,X
LJZITSO,O,X,O,O,O,O
LJZITOS,O,X,O,X,O,O
LJZISTO,X,X,O,O,O,O
LJZISOT,X,X,O,O,O,X
LJZIOTS,O,O,O,X,O,O
LJZIOST,X,O,O,X,O,X
LJZSTIO,X,X,O,O,O,O
LJZSTOI,X,X,O,O,O,X
LJZSITO,X,X,O,O,O,O
LJZSIOT,X,X,O,O,O,X
LJZSOTI,X,X,O,O,O,X
LJZSOIT,X,X,O,O,O,X
LJZOTIS,O,O,O,X,O,O
LJZOTSI,O,O,O,X,O,X
LJZOITS,O,O,O,X,O,O
LJZOIST,X,O,O,X,O,X
LJZOSTI,X,O,O,X,O,X
LJZOSIT,X,O,O,X,O,X
LJOTISZ,O,O,O,X,X,X
LJOTIZS,O,O,O,X,O,O
LJOTSIZ,O,O,O,X,X,X
LJOTSZI,O,O,O,X,X,X
LJOTZIS,O,O,O,X,O,O
LJOTZSI,O,O,O,X,O,X
LJOITSZ,O,O,O,X,X,X
LJOITZS,O,O,O,X,O,O
LJOISTZ,O,O,O,X,X,X
LJOISZT,X,O,O,X,X,X
LJOIZTS,O,O,O,X,O,O
LJOIZST,X,O,O,X,O,X
LJOSTIZ,O,O,O,X,X,X
LJOSTZI,O,O,O,X,X,X
LJOSITZ,O,O,O,X,X,X
LJOSIZT,X,O,O,X,X,X
LJOSZTI,X,O,O,X,X,X
LJOSZIT,X,O,O,X,X,X
LJOZTIS,O,O,O,X,O,O
LJOZTSI,O,O,O,X,O,X
LJOZITS,O,O,O,X,O,O
LJOZIST,X,O,O,X,O,X
LJOZSTI,X,O,O,X,O,X
LJOZSIT,X,O,O,X,O,X
LSTIJZO,O,X,O,O,X,O
LSTIJOZ,O,O,O,O,X,X
LSTIZJO,O,X,X,O,X,O
LSTIZOJ,O,O,X,X,X,X
LSTIOJZ,O,O,O,X,X,X
LSTIOZJ,X,O,X,X,X,X
LSTJIZO,O,X,O,O,O,O
LSTJIOZ,O,O,O,O,X,X
LSTJZIO,O,X,O,O,O,O
LSTJZOI,O,X,O,O,O,X
LSTJOIZ,O,O,O,O,X,X
LSTJOZI,O,O,O,O,X,X
LSTZIJO,O,X,X,O,O,O
LSTZIOJ,O,O,X,X,X,X
LSTZJIO,O,X,O,O,O,O
LSTZJOI,O,X,O,O,O,X
LSTZOIJ,O,O,X,X,X,X
LSTZOJI,O,O,O,O,O,X
LSTOIJZ,O,O,O,X,X,X
LSTOIZJ,X,O,X,X,X,X
LSTOJIZ,O,O,O,O,X,X
LSTOJZI,O,O,O,O,X,X
LSTOZIJ,X,O,X,X,X,X
LSTOZJI,X,O,O,O,X,X
LSITJZO,O,X,O,O,X,O
LSITJOZ,O,O,O,O,X,X
LSITZJO,O,X,X,O,X,O
LSITZOJ,O,O,X,X,X,X
LSITOJZ,O,O,O,X,X,X
LSITOZJ,X,O,X,X,X,X
LSIJTZO,O,X,O,O,X,O
LSIJTOZ,O,O,O,O,X,X
LSIJZTO,X,X,O,O,X,O
LSIJZOT,X,X,O,O,X,X
LSIJOTZ,O,O,O,O,X,X
LSIJOZT,X,O,O,O,X,X
LSIZTJO,O,X,X,O,X,O
LSIZTOJ,O,O,X,X,X,X
LSIZJTO,X,X,X,O,X,O
LSIZJOT,X,X,X,O,X,X
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,X,O,X,X,X,X
LSIOTJZ,O,O,O,X,X,X
LSIOTZJ,X,O,X,X,X,X
LSIOJTZ,O,O,O,X,X,X
LSIOJZT,X,O,O,X,X,X
LSIOZTJ,O,O,X,X,X,X
LSIOZJT,X,O,X,X,X,X
LSJTIZO,O,X,O,O,O,O
LSJTIOZ,O,O,O,O,X,X
LSJTZIO,O,X,O,O,O,O
LSJTZOI,O,X,O,O,O,X
LSJTOIZ,O,O,O,O,X,X
LSJTOZI,O,O,O,O,X,X
LSJITZO,O,X,O,O,O,O
LSJITOZ,O,O,O,O,X,X
LSJIZTO,X,X,O,O,O,O
LSJIZOT,X,X,O,O,O,X
LSJIOTZ,O,O,O,O,X,X
LSJIOZT,X,O,O,O,X,X
LSJZTIO,X,X,O,O,O,O
LSJZTOI,X,X,O,O,O,X
LSJZITO,X,X,O,O,O,O
LSJZIOT,X,X,O,O,O,X
LSJZOTI,X,X,O,O,O,X
LSJZOIT,X,X,O,O,O,X
LSJOTIZ,O,O,O,O,X,X
LSJOTZI,O,O,O,O,X,X
LSJOITZ,O,O,O,O,X,X
LSJOIZT,X,O,O,O,X,X
LSJOZTI,X,O,O,O,X,X
LSJOZIT,X,O,O,O,X,X
LSZTIJO,O,X,X,O,O,O
LSZTIOJ,O,O,X,X,X,X
LSZTJIO,O,X,O,O,O,O
LSZTJOI,O,X,O,O,O,X
LSZTOIJ,O,O,X,X,X,X
LSZTOJI,O,O,O,O,O,X
LSZITJO,O,X,X,O,O,O
LSZITOJ,O,O,X,X,X,X
LSZIJTO,X,X,X,O,O,O
LSZIJOT,X,X,X,O,O,X
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,X,O,X,X,X,X
LSZJTIO,X,X,O,O,O,O
LSZJTOI,X,X,O,O,O,X
LSZJITO,X,X,O,O,O,O
LSZJIOT,X,X,O,O,O,X
LSZJOTI,X,X,O,O,O,X
LSZJOIT,X,X,O,O,O,X
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,O,O,O,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,X,O,X,X,X,X
LSZOJTI,X,O,O,O,O,X
LSZOJIT,X,O,O,O,O,X
LSOTIJZ,O,O,O,X,X,X
LSOTIZJ,X,O,X,X,X,X
LSOTJIZ,O,O,O,O,X,X
LSOTJZI,O,O,O,O,X,X
LSOTZIJ,X,O,X,X,X,X
LSOTZJI,X,O,O,O,X,X
LSOITJZ,O,O,O,X,X,X
LSOITZJ,X,O,X,X,X,X
LSOIJTZ,O,O,O,X,X,X
LSOIJZT,X,O,O,X,X,X
LSOIZTJ,O,O,X,X,X,X
LSOIZJT,X,O,X,X,X,X
LSOJTIZ,O,O,O,O,X,X
LSOJTZI,O,O,O,O,X,X
LSOJITZ,O,O,O,O,X,X
LSOJIZT,X,O,O,O,X,X
LSOJZTI,X,O,O,O,X,X
LSOJZIT,X,O,O,O,X,X
LSOZTIJ,O,O,X,X,X,X
LSOZTJI,O,O,O,O,X,X
LSOZITJ,O,O,X,X,X,X
LSOZIJT,X,O,X,X,X,X
LSOZJTI,X,O,O,O,X,X
LSOZJIT,X,O,O,O,X,X
LZTIJSO,O,X,X,X,O,O
LZTIJOS,O,X,X,X,O,O
LZTISJO,O,X,X,X,O,O
LZTISOJ,O,O,X,X,X,X
LZTIOJS,O,O,X,X,X,O
LZTIOSJ,O,O,X,X,X,X
LZTJISO,O,X,O,O,O,O
LZTJIOS,O,X,O,X,O,O
LZTJSIO,O,X,O,O,O,O
LZTJSOI,O,X,O,O,O,X
LZTJOIS,O,X,O,X,O,O
LZTJOSI,O,X,O,X,O,X
LZTSIJO,O,X,X,O,O,O
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,X,O,O,O,O
LZTSJOI,O,X,O,O,O,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,O,O,O,X
LZTOIJS,O,O,X,X,X,O
LZTOISJ,O,O,X,X,X,X
LZTOJIS,O,O,O,X,O,O
LZTOJSI,O,O,O,X,O,X
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,O,X,O,X
LZITJSO,O,X,X,X,O,O
LZITJOS,O,X,X,X,O,O
LZITSJO,O,X,X,X,O,O
LZITSOJ,O,O,X,X,X,X
LZITOJS,O,O,X,X,X,O
LZITOSJ,O,O,X,X,X,X
LZIJTSO,O,X,X,X,O,O
LZIJTOS,O,X,X,X,O,O
LZIJSTO,X,X,X,X,O,O
LZIJSOT,X,X,X,X,O,X
LZIJOTS,O,O,X,X,O,O
LZIJOST,X,O,X,X,O,X
LZISTJO,O,X,X,X,O,O
LZISTOJ,O,O,X,X,X,X
LZISJTO,X,X,X,X,O,O
LZISJOT,X,X,X,X,O,X
LZISOTJ,O,O,X,X,X,X
LZISOJT,X,O,X,X,X,X
LZIOTJS,O,O,X,X,X,O
LZIOTSJ,O,O,X,X,X,X
LZIOJTS,O,O,X,X,X,O
LZIOJST,X,O,X,X,X,X
LZIOSTJ,O,O,X,X,X,X
LZIOSJT,X,O,X,X,X,X
LZJTISO,O,X,O,O,O,O
LZJTIOS,O,X,O,X,O,O
LZJTSIO,O,X,O,O,O,O
LZJTSOI,O,X,O,O,O,X
LZJTOIS,O,X,O,X,O,O
LZJTOSI,O,X,O,X,O,X
LZJITSO,O,X,O,O,O,O
LZJITOS,O,X,O,X,O,O
LZJISTO,X,X,O,O,O,O
LZJISOT,X,X,O,O,O,X
LZJIOTS,O,O,O,X,O,O
LZJIOST,X,O,O,X,O,X
LZJSTIO,X,X,O,O,O,O
LZJSTOI,X,X,O,O,O,X
LZJSITO,X,X,O,O,O,O
LZJSIOT,X,X,O,O,O,X
LZJSOTI,X,X,O,O,O,X
LZJSOIT,X,X,O,O,O,X
LZJOTIS,O,O,O,X,O,O
LZJOTSI,O,O,O,X,O,X
LZJOITS,O,O,O,X,O,O
LZJOIST,X,O,O,X,O,X
LZJOSTI,X,O,O,X,O,X
LZJOSIT,X,O,O,X,O,X
LZSTIJO,O,X,X,O,O,O
LZSTIOJ,O,O,X,X,X,X
LZSTJIO,O,X,O,O,O,O
LZSTJOI,O,X,O,O,O,X
LZSTOIJ,O,O,X,X,X,X
LZSTOJI,O,O,O,O,O,X
LZSITJO,O,X,X,O,O,O
LZSITOJ,O,O,X,X,X,X
LZSIJTO,X,X,X,O,O,O
LZSIJOT,X,X,X,O,O,X
LZSIOTJ,O,O,X,X,X,X
LZSIOJT,X,O,X,X,X,X
LZSJTIO,X,X,O,O,O,O
LZSJTOI,X,X,O,O,O,X
LZSJITO,X,X,O,O,O,O
LZSJIOT,X,X,O,O,O,X
LZSJOTI,X,X,O,O,O,X
LZSJOIT,X,X,O,O,O,X
LZSOTIJ,O,O,X,X,X,X
LZSOTJI,O,O,O,O,O,X
LZSOITJ,O,O,X,X,X,X
LZSOIJT,X,O,X,X,X,X
LZSOJTI,X,O,O,O,O,X
LZSOJIT,X,O,O,O,O,X
LZOTIJS,O,O,X,X,X,O
