sequence,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBqnBTjB/qBFm?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBRiBcoBfsB6s?BlqB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFlhBGjB/qBUmBKs?BzsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBCiBxnBXoBlq?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChBxiB0mBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFylBumB3iBcoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBSoB/qBFmBzn?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChB0mBxnBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8JeUBJvhF6qBxnBmkB3mBFo?BTsB
TSIOLZJ,O,O,O,X,X,O,X,X,X
TSIOJLZ,O,O,O,O,O,O,O,X,X
TSIOJZL,O,O,O,X,O,O,O,X,X
TSIOZLJ,O,O,O,X,O,O,O,X,X
TSIOZJL,O,O,O,X,O,O,O,X,X
TSLIJZO,O,O,O,X,O,O,O,X,X
TSLIJOZ,O,O,O,X,O,O,O,X,X
TSLIZJO,O,O,O,X,O,O,O,X,X
TSLIZOJ,O,O,O,X,O,O,O,X,X
TSLIOJZ,O,O,O,X,O,O,O,X,X
TSLIOZJ,O,O,O,X,X,O,X,X,X
TSLJIZO,O,O,O,X,O,O,O,X,X
TSLJIOZ,O,O,O,X,O,O,O,X,X
TSLJZIO,O,O,O,X,O,O,O,O,X
TSLJZOI,O,O,O,X,O,O,O,X,X
TSLJOIZ,O,O,O,X,O,O,O,X,X
TSLJOZI,O,O,O,X,O,O,O,X,X
TSLZIJO,O,O,O,X,O,O,O,O,X
TSLZIOJ,O,O,O,X,O,O,O,X,X
TSLZJIO,O,O,O,X,O,O,O,O,X
TSLZJOI,O,O,O,X,O,O,O,X,X
TSLZOIJ,O,O,O,X,O,O,O,X,X
TSLZOJI,O,O,O,X,O,O,O,X,X
TSLOIJZ,O,O,O,X,O,O,O,X,X
TSLOIZJ,O,O,O,X,X,O,X,X,X
TSLOJIZ,O,O,O,X,O,O,O,X,X
TSLOJZI,O,O,O,X,O,O,O,X,X
TSLOZIJ,O,O,O,X,O,O,X,X,X
TSLOZJI,O,O,O,X,O,O,X,X,X
TSJILZO,O,O,O,X,O,O,O,X,X
TSJILOZ,O,O,O,O,O,O,O,X,X
TSJIZLO,O,O,O,X,O,O,O,O,X
TSJIZOL,O,O,O,X,O,O,O,X,X
TSJIOLZ,O,O,O,O,O,O,O,X,X
TSJIOZL,O,O,O,X,O,O,O,X,X
TSJLIZO,O,O,O,X,O,O,O,X,X
TSJLIOZ,O,O,O,X,O,O,O,X,X
TSJLZIO,O,O,O,X,O,O,O,O,X
TSJLZOI,O,O,O,X,O,O,O,X,X
TSJLOIZ,O,O,O,X,O,O,O,X,X
TSJLOZI,O,O,X,X,O,O,O,X,X
TSJZILO,O,O,O,O,O,O,O,O,X
TSJZIOL,O,O,O,O,O,O,O,X,X
TSJZLIO,O,O,O,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,O,O,X,X
TSJZOIL,O,O,O,O,O,O,O,X,X
TSJZOLI,O,O,X,O,O,O,O,X,X
TSJOILZ,O,O,O,O,O,O,O,X,X
TSJOIZL,O,O,O,X,O,O,O,X,X
TSJOLIZ,O,O,O,X,O,O,O,X,X
TSJOLZI,O,O,O,X,O,O,O,X,X
TSJOZIL,O,O,O,O,O,O,O,X,X
TSJOZLI,O,O,O,O,O,O,O,X,X
TSZILJO,O,O,O,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,O,O,X,X
TSZIJLO,O,O,O,O,O,O,O,O,X
TSZIJOL,O,O,O,O,O,O,O,X,X
TSZIOLJ,O,O,O,O,O,O,O,X,X
TSZIOJL,O,O,O,O,O,O,O,X,X
TSZLIJO,O,O,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,O,O,X,X
TSZLJIO,O,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,O,X,X
TSZLOIJ,O,O,O,O,O,O,O,X,X
TSZLOJI,O,O,O,O,O,O,O,X,X
TSZJILO,O,O,O,O,O,O,O,O,X
TSZJIOL,O,O,O,O,O,O,O,X,X
TSZJLIO,O,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,X,X
