sequence,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jei/IvhFUhBGiBZoBF?lB/sBTpB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFCgBXhBmiB8?pBFnBzsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jel/IvhFUhBRiBKpBX?lBTnBetB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBKpBzkBF?nB8sBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlBT?nBetBipB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFZoB/pBFlBT?nBipBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Je0/IvhFVmBZoBKpBT?nBXlBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFVmB3iBzkBe?tBUnBCqB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBypBFnB8?sBTpBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlB2?sBzsBipB
ILOTJSZ,O,O,X,X,X,X,X,O,X,X
ILOTJZS,O,O,X,X,X,X,O,X,X,X
ILOTSJZ,O,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,X,O,X,X,X
ILOTZJS,O,O,X,O,X,X,O,X,X,X
ILOTZSJ,O,O,X,O,X,X,O,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,X,X
ILOJTZS,X,X,X,X,X,X,O,X,X,X
ILOJSTZ,O,X,X,X,X,X,X,O,X,X
ILOJSZT,O,O,X,O,X,X,X,X,X,X
ILOJZTS,X,O,X,O,X,X,O,X,X,X
ILOJZST,O,O,X,O,X,X,X,X,X,X
ILOSTJZ,O,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,O,O,X,X,X
ILOSJTZ,O,X,X,X,X,X,X,X,X,X
ILOSJZT,O,O,X,O,X,X,X,X,X,X
ILOSZTJ,O,O,X,O,X,O,O,X,X,X
ILOSZJT,O,O,X,O,X,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,O,X,X,X
ILOZTSJ,O,O,X,O,X,X,O,X,X,X
ILOZJTS,X,O,X,O,X,X,O,X,X,X
ILOZJST,O,O,X,O,X,X,X,X,X,X
ILOZSTJ,O,O,X,O,X,O,O,X,X,X
ILOZSJT,O,O,X,O,X,X,X,X,X,X
IJTLSZO,O,O,O,X,X,X,X,X,X,X
IJTLSOZ,O,X,O,X,X,X,X,O,X,X
IJTLZSO,O,O,O,X,X,X,X,X,X,X
IJTLZOS,X,O,O,X,X,X,O,X,X,X
IJTLOSZ,X,X,X,X,X,X,X,O,X,X
IJTLOZS,X,X,O,X,X,X,O,X,X,X
IJTSLZO,O,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,O,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,O,X,X
IJTSOLZ,O,X,X,X,X,X,X,O,X,X
IJTSOZL,O,O,X,X,X,X,X,O,X,X
IJTZLSO,O,O,O,X,X,X,X,X,X,X
IJTZLOS,X,O,O,X,X,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,O,X,X
IJTZOLS,X,O,X,X,X,X,X,X,X,X
IJTZOSL,X,O,X,X,X,X,X,O,X,X
IJTOLSZ,X,X,X,X,X,X,X,O,X,X
IJTOLZS,X,X,X,X,X,X,O,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,O,X,X
IJTOSZL,X,O,X,X,X,X,X,O,X,X
IJTOZLS,X,O,X,X,X,X,X,X,X,X
IJTOZSL,X,O,X,X,X,X,X,O,X,X
IJLTSZO,X,X,O,X,X,X,X,X,X,X
IJLTSOZ,X,X,O,X,X,X,X,O,X,X
IJLTZSO,X,X,O,X,X,X,X,X,X,X
IJLTZOS,X,X,O,X,X,X,O,X,X,X
IJLTOSZ,X,X,O,X,X,X,X,O,X,X
IJLTOZS,X,X,O,X,X,X,O,X,X,X
IJLSTZO,X,X,O,X,X,X,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X,O,X,X
IJLSZTO,X,X,O,X,X,X,X,X,X,X
IJLSZOT,X,X,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,X,O,X,X
IJLSOZT,X,X,O,X,X,X,X,X,X,X
IJLZTSO,X,X,O,X,X,X,X,X,X,X
IJLZTOS,X,X,O,X,X,X,O,X,X,X
IJLZSTO,X,X,O,X,X,X,X,X,X,X
IJLZSOT,X,X,O,X,X,X,X,X,X,X
IJLZOTS,X,X,O,X,X,X,O,X,X,X
IJLZOST,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,O,X,X
IJLOTZS,X,X,O,X,X,X,O,X,X,X
IJLOSTZ,X,X,O,X,X,X,X,O,X,X
IJLOSZT,X,X,O,X,X,X,X,X,X,X
IJLOZTS,X,X,O,X,X,X,O,X,X,X
IJLOZST,X,X,O,X,X,X,X,X,X,X
IJSTLZO,O,O,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,O,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,O,O,X,O,X,O
IJSTOLZ,O,X,X,X,O,X,X,O,X,O
IJSTOZL,O,O,X,X,O,O,X,O,X,O
IJSLTZO,O,X,O,X,X,X,X,X,X,X
IJSLTOZ,O,X,O,X,X,X,X,O,X,X
IJSLZTO,O,X,O,X,X,X,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X,X,X,X
IJSLOTZ,O,X,O,X,X,X,X,O,X,X
IJSLOZT,O,X,O,X,X,X,X,X,X,X
IJSZTLO,O,O,X,X,X,X,X,X,X,X
IJSZTOL,O,O,X,X,O,O,X,O,X,O
IJSZLTO,O,O,O,X,X,X,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X,X,X,X
IJSZOTL,O,O,X,X,O,O,X,O,X,X
IJSZOLT,O,O,X,X,O,X,X,X,X,X
IJSOTLZ,O,O,X,X,O,X,X,O,X,X
IJSOTZL,O,O,X,X,O,O,X,O,X,X
IJSOLTZ,O,X,X,X,O,X,X,O,X,X
IJSOLZT,O,O,X,X,O,X,X,X,X,X
IJSOZTL,O,O,X,X,O,O,X,O,X,X
IJSOZLT,O,O,X,X,O,X,X,X,X,X
IJZTLSO,O,O,O,X,X,X,X,X,X,X
IJZTLOS,X,O,O,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,O,X,X
IJZTOLS,X,O,X,X,X,X,X,X,X,X
IJZTOSL,X,O,X,X,X,X,X,O,X,X
IJZLTSO,X,O,O,X,X,X,X,X,X,X
IJZLTOS,X,O,O,X,X,X,X,X,X,X
IJZLSTO,X,O,O,X,X,X,X,X,X,X
IJZLSOT,X,O,O,X,X,X,X,X,X,X
IJZLOTS,X,O,O,X,X,X,X,X,X,X
IJZLOST,X,O,O,X,X,X,X,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X,X,X
IJZSTOL,O,O,X,X,O,O,X,O,X,O
IJZSLTO,O,O,O,X,X,X,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X,X,X,X
IJZSOTL,O,O,X,X,O,O,X,O,X,X
IJZSOLT,O,O,X,X,O,X,X,X,X,X
IJZOTLS,O,O,O,X,X,X,X,X,X,X
IJZOTSL,O,O,X,X,O,X,X,O,X,X
IJZOLTS,X,O,O,X,X,X,X,X,X,X
IJZOLST,O,O,O,X,O,X,X,X,X,X
IJZOSTL,O,O,X,X,O,O,X,O,X,X
IJZOSLT,O,O,O,X,O,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,O,X,X
IJOTLZS,O,O,O,X,X,X,O,X,X,X
IJOTSLZ,O,O,X,X,O,X,X,O,X,X
IJOTSZL,O,O,X,X,O,X,X,O,X,X
IJOTZLS,O,O,O,X,X,X,X,X,X,X
IJOTZSL,O,O,X,X,O,X,X,O,X,X
IJOLTSZ,X,X,O,X,X,X,X,O,X,X
IJOLTZS,X,X,O,X,X,X,O,X,X,X
IJOLSTZ,O,X,O,X,O,X,X,O,X,X
IJOLSZT,O,O,O,X,O,X,X,X,X,X
IJOLZTS,X,O,O,X,X,X,O,X,X,X
IJOLZST,O,O,O,X,O,X,X,X,X,X
IJOSTLZ,O,O,X,X,O,X,X,O,X,X
IJOSTZL,O,O,X,X,O,O,X,O,X,X
IJOSLTZ,O,X,O,X,O,X,X,O,X,X
IJOSLZT,O,O,O,X,O,X,X,X,X,X
IJOSZTL,O,O,X,X,O,O,X,O,X,X
IJOSZLT,O,O,O,X,O,X,X,X,X,X
IJOZTLS,O,O,O,X,X,X,X,X,X,X
IJOZTSL,O,O,X,X,O,X,X,O,X,X
IJOZLTS,X,O,O,X,X,X,X,X,X,X
IJOZLST,O,O,O,X,O,X,X,X,X,X
IJOZSTL,O,O,X,X,O,O,X,O,X,X
IJOZSLT,O,O,O,X,O,X,X,X,X,X
ISTLJZO,O,O,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,O,O,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,X,X,X,O,O,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X,X,O,X,X
ISTJZLO,O,O,X,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,O,O,X,O,X,O
ISTJOLZ,O,X,X,X,O,X,X,O,X,O
ISTJOZL,O,O,X,X,O,O,X,O,X,O
ISTZLJO,O,O,X,X,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,O,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X,X
ISTZJOL,O,O,X,X,O,O,X,X,X,O
ISTZOLJ,O,O,X,X,X,O,X,X,X,X
ISTZOJL,O,O,X,X,X,O,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,O,O,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,O,X,X
ISTOJZL,O,O,X,X,X,O,X,O,X,X
ISTOZLJ,O,O,X,X,X,O,X,X,X,X
ISTOZJL,O,O,X,X,X,O,X,X,X,X
ISLTJZO,O,O,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,X,X
ISLTZJO,O,O,X,X,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,O,O,X,X,X
ISLTOJZ,O,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,X,X,X,O,O,X,X,X
ISLJTZO,O,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,O,X,O,O,X,O,X
ISLZJTO,O,O,X,X,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X,X,X,X
ISLZOTJ,O,O,X,O,X,O,O,X,X,X
ISLZOJT,O,O,X,O,X,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,X,O,X,O,O,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,O,X,O,X,X,X,X,X,X
ISLOZTJ,O,O,X,O,X,O,O,X,X,X
ISLOZJT,O,O,X,O,X,X,X,X,X,X
ISJTLZO,O,O,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,O,X,X
ISJTZLO,O,O,X,X,X,X,X,X,X,X
ISJTZOL,O,O,X,X,O,O,X,O,X,O
ISJTOLZ,O,X,X,X,O,X,X,O,X,O
ISJTOZL,O,O,X,X,O,O,X,O,X,O
ISJLTZO,O,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,O,X,X
ISJLZTO,O,X,X,X,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,O,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X,X
ISJZTOL,O,O,X,X,O,O,X,O,X,O
ISJZLTO,O,O,X,X,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,O,O,X,O,X,X
ISJZOLT,O,O,X,X,O,X,X,X,X,X
ISJOTLZ,O,O,X,X,O,X,X,O,X,X
ISJOTZL,O,O,X,X,O,O,X,O,X,X
ISJOLTZ,O,X,X,X,O,X,X,O,X,X
ISJOLZT,O,O,X,X,O,X,X,X,X,X
ISJOZTL,O,O,X,X,O,O,X,O,X,X
ISJOZLT,O,O,X,X,O,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,O,X,O,X,O,X,X,O,X
ISZTJLO,O,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,O,O,X,X,X,O
ISZTOLJ,O,O,X,X,X,O,X,X,X,X
ISZTOJL,O,O,X,X,X,O,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,O,X,O,X,X,O,X
ISZLJTO,O,O,X,X,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,X,X,X,X
ISZLOTJ,O,O,X,O,X,O,X,X,X,X
ISZLOJT,O,O,X,O,X,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,O,O,X,X,X,O
ISZJLTO,O,O,X,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X,X
ISZJOTL,O,O,X,X,O,O,X,X,X,X
ISZJOLT,O,O,X,X,O,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,O,X,X,X,X
ISZOTJL,O,O,X,X,X,O,X,X,X,X
ISZOLTJ,O,O,X,X,X,O,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,O,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,O,O,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,O,X,X
ISOTJZL,O,O,X,X,X,O,X,O,X,X
ISOTZLJ,O,O,X,X,X,O,X,X,X,X
ISOTZJL,O,O,X,X,X,O,X,X,X,X
ISOLTJZ,O,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,O,O,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,O,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,X,X,X,O,O,X,X,X
ISOLZJT,O,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,O,X,X
ISOJTZL,O,O,X,X,X,O,X,O,X,X
ISOJLTZ,O,X,X,X,X,X,X,O,X,X
ISOJLZT,O,O,X,X,X,X,X,X,X,X
ISOJZTL,O,O,X,X,X,O,X,O,X,X
ISOJZLT,O,O,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,O,X,X,X,X
ISOZTJL,O,O,X,X,X,O,X,X,X,X
ISOZLTJ,O,O,X,X,X,O,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,O,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X,X,X,X
IZTLJSO,O,O,O,X,X,X,X,X,X,X
IZTLJOS,X,O,O,X,X,X,O,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X,X,X
IZTLSOJ,O,O,O,O,X,X,O,X,O,X
IZTLOJS,X,O,O,O,X,X,O,X,O,X
IZTLOSJ,O,O,O,O,X,X,O,X,O,X
IZTJLSO,O,O,X,X,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,O,X,X
IZTJOLS,X,O,X,X,X,X,X,X,X,X
IZTJOSL,X,O,X,X,X,X,X,O,X,X
IZTSLJO,O,O,X,X,X,X,X,X,X,X
IZTSLOJ,O,O,X,O,X,O,X,X,O,X
IZTSJLO,O,O,X,X,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,O,X,X,X,X
IZTSOLJ,O,O,X,X,X,O,X,X,X,X
IZTSOJL,O,O,X,X,X,O,X,X,X,X
IZTOLJS,O,O,X,X,X,X,O,X,X,X
IZTOLSJ,O,O,X,X,X,X,O,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,O,X,X
IZTOSLJ,O,O,X,X,X,O,X,X,X,X
IZTOSJL,O,O,X,X,X,O,X,X,X,X
IZLTJSO,O,O,O,X,X,X,X,X,X,X
IZLTJOS,X,O,O,X,X,X,O,X,X,X
IZLTSJO,O,O,O,X,X,X,X,X,X,X
IZLTSOJ,O,O,O,O,X,X,O,X,O,X
IZLTOJS,X,O,O,O,X,X,O,X,O,X
IZLTOSJ,O,O,O,O,X,X,O,X,O,X
IZLJTSO,X,O,O,X,X,X,X,X,X,X
IZLJTOS,X,O,O,X,X,X,O,X,X,X
IZLJSTO,X,O,O,X,X,X,X,X,X,X
IZLJSOT,X,O,O,X,X,X,X,X,X,X
IZLJOTS,X,O,O,X,X,X,O,X,X,X
IZLJOST,X,O,O,X,X,X,X,X,X,X
IZLSTJO,O,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,O,O,X,O,O,X,O,X
IZLSJTO,O,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,X,X,X
IZLSOTJ,O,O,O,O,X,O,O,X,X,X
IZLSOJT,O,O,X,O,X,X,X,X,X,X
IZLOTJS,O,O,O,O,X,X,O,X,X,X
IZLOTSJ,O,O,O,O,X,X,O,X,X,X
IZLOJTS,X,O,X,O,X,X,O,X,X,X
IZLOJST,O,O,X,O,X,X,X,X,X,X
IZLOSTJ,O,O,O,O,X,O,O,X,X,X
IZLOSJT,O,O,X,O,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,X,X,X,X,X
IZJTLOS,X,O,O,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,O,X,X
IZJTOLS,X,O,X,X,X,X,X,X,X,X
IZJTOSL,X,O,X,X,X,X,X,O,X,X
IZJLTSO,X,O,O,X,X,X,X,X,X,X
IZJLTOS,X,O,O,X,X,X,X,X,X,X
IZJLSTO,X,O,O,X,X,X,X,X,X,X
IZJLSOT,X,O,O,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,X,X,X,X,X,X
IZJLOST,X,O,O,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,O,O,X,O,X,O
IZJSLTO,O,O,O,X,X,X,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X,X,X,X
IZJSOTL,O,O,X,X,O,O,X,O,X,X
IZJSOLT,O,O,X,X,O,X,X,X,X,X
IZJOTLS,O,O,O,X,X,X,X,X,X,X
IZJOTSL,O,O,X,X,O,X,X,O,X,X
IZJOLTS,X,O,O,X,X,X,X,X,X,X
IZJOLST,O,O,O,X,O,X,X,X,X,X
IZJOSTL,O,O,X,X,O,O,X,O,X,X
IZJOSLT,O,O,O,X,O,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,O,X,O,X,X,O,X
IZSTJLO,O,O,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,O,O,X,X,X,O
IZSTOLJ,O,O,X,X,X,O,X,X,X,X
IZSTOJL,O,O,X,X,X,O,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,O,O,X,O,X,X,O,X
IZSLJTO,O,O,O,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,O,O,X,O,X,X,X,X
IZSLOJT,O,O,X,O,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,O,O,X,X,X,O
IZSJLTO,O,O,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X
IZSJOTL,O,O,X,X,O,O,X,X,X,X
IZSJOLT,O,O,X,X,O,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,O,X,X,X,X
IZSOTJL,O,O,X,X,X,O,X,X,X,X
IZSOLTJ,O,O,X,X,X,O,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,O,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X,X
IZOTLJS,O,O,X,X,X,X,O,X,X,X
IZOTLSJ,O,O,X,X,X,X,O,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,O,X,X
IZOTSLJ,O,O,X,X,X,O,X,X,X,X
IZOTSJL,O,O,X,X,X,O,X,X,X,X
IZOLTJS,O,O,O,X,X,X,O,X,X,X
IZOLTSJ,O,O,O,X,X,X,O,X,X,X
IZOLJTS,X,O,X,X,X,X,O,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,O,O,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X
IZOJTLS,O,O,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,O,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,X,X,X,X,X
IZOJSTL,O,O,X,X,X,O,X,O,X,X
IZOJSLT,O,O,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,O,X,X,X,X
IZOSTJL,O,O,X,X,X,O,X,X,X,X
IZOSLTJ,O,O,X,X,X,O,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,O,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,X,X,O,X,X
IOTLJZS,O,O,X,X,X,X,O,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,O,X,X,X
IOTLZJS,O,O,X,X,X,X,O,X,X,X
IOTLZSJ,O,O,X,X,X,X,O,X,X,X
IOTJLSZ,O,O,X,X,X,X,X,O,X,X
IOTJLZS,O,O,X,X,X,X,O,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,O,X,X
IOTJSZL,O,O,X,X,X,X,X,O,X,X
IOTJZLS,O,O,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,O,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,O,O,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,O,X,X
IOTSJZL,O,O,X,X,X,O,X,O,X,X
IOTSZLJ,O,O,X,X,X,O,X,X,X,X
IOTSZJL,O,O,X,X,X,O,X,X,X,X
IOTZLJS,O,O,X,X,X,X,O,X,X,X
IOTZLSJ,O,O,X,X,X,X,O,X,X,X
IOTZJLS,O,O,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,O,X,X
IOTZSLJ,O,O,X,X,X,O,X,X,X,X
IOTZSJL,O,O,X,X,X,O,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,O,X,X
IOLTJZS,O,O,X,X,X,X,O,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,O,X,X,X
IOLTZJS,O,O,X,X,X,X,O,X,X,X
IOLTZSJ,O,O,X,X,X,X,O,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X
IOLJTZS,X,X,X,X,X,X,O,X,X,X
IOLJSTZ,O,X,X,X,X,X,X,O,X,X
IOLJSZT,O,O,X,X,X,X,X,X,X,X
IOLJZTS,X,O,X,X,X,X,O,X,X,X
IOLJZST,O,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,O,O,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,O,O,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,O,X,X,X
IOLZTSJ,O,O,X,X,X,X,O,X,X,X
IOLZJTS,X,O,X,X,X,X,O,X,X,X
IOLZJST,O,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,O,O,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,O,X,X
IOJTLZS,O,O,X,X,X,X,O,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,O,X,X
IOJTSZL,O,O,X,X,X,X,X,O,X,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,O,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,O,X,X,X
IOJLSTZ,O,X,X,X,X,X,X,O,X,X
IOJLSZT,O,O,X,X,X,X,X,X,X,X
IOJLZTS,X,O,X,X,X,X,O,X,X,X
IOJLZST,O,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,O,X,X
IOJSTZL,O,O,X,X,X,O,X,O,X,X
IOJSLTZ,O,X,X,X,X,X,X,O,X,X
IOJSLZT,O,O,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,O,X,O,X,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,O,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,X,X,X
IOJZSTL,O,O,X,X,X,O,X,O,X,X
IOJZSLT,O,O,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,O,O,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,O,X,X
IOSTJZL,O,O,X,X,X,O,X,O,X,X
IOSTZLJ,O,O,X,X,X,O,X,X,X,X
IOSTZJL,O,O,X,X,X,O,X,X,X,X
IOSLTJZ,O,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,O,O,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,X,X,X,O,O,X,X,X
IOSLZJT,O,O,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,X,X,X,X,X,O,X,X
IOSJTZL,O,O,X,X,X,O,X,O,X,X
IOSJLTZ,O,X,X,X,X,X,X,O,X,X
IOSJLZT,O,O,X,X,X,X,X,X,X,X
IOSJZTL,O,O,X,X,X,O,X,O,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,O,X,X,X,X
