sequence,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBOhB8hBfjB6jBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBicBGeB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8JeR7Iv?hFzcBfjB6jBukBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hF2gBzcBfjB6jBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBSjB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFibBzcBUhBXoBGoBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBFjB3hBctBCtB
ISOZJTL,O,O,X,X,X,O,O
ISOZJLT,O,O,X,O,X,O,X
IZTLJSO,O,O,X,X,X,X,X
IZTLJOS,O,O,X,X,O,X,O
IZTLSJO,O,O,O,X,X,O,X
IZTLSOJ,O,O,O,X,X,O,X
IZTLOJS,O,O,X,X,O,X,O
IZTLOSJ,O,O,O,X,X,O,X
IZTJLSO,O,O,O,X,X,X,X
IZTJLOS,O,O,O,X,O,X,O
IZTJSLO,O,O,O,O,X,X,X
IZTJSOL,O,O,O,O,X,X,O
IZTJOLS,O,O,O,X,O,X,O
IZTJOSL,O,O,O,O,X,X,O
IZTSLJO,O,O,O,O,X,O,X
IZTSLOJ,O,O,O,O,X,O,X
IZTSJLO,O,O,O,O,X,O,X
IZTSJOL,O,O,O,O,X,O,O
IZTSOLJ,O,O,O,O,X,O,X
IZTSOJL,O,O,O,O,X,O,O
IZTOLJS,O,O,X,X,O,X,O
IZTOLSJ,O,O,O,X,X,O,X
IZTOJLS,O,O,O,X,O,X,O
IZTOJSL,O,O,O,O,X,X,O
IZTOSLJ,O,O,O,O,X,O,X
IZTOSJL,O,O,O,O,X,O,O
IZLTJSO,O,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,O
IZLTSJO,O,X,O,X,X,O,X
IZLTSOJ,O,X,O,X,X,O,X
IZLTOJS,O,X,X,X,X,X,O
IZLTOSJ,O,X,O,X,X,O,X
IZLJTSO,O,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,O
IZLJSTO,O,O,X,X,X,O,X
IZLJSOT,O,O,X,X,X,O,X
IZLJOTS,O,X,X,X,O,X,O
IZLJOST,O,O,X,X,O,O,X
IZLSTJO,O,O,X,X,X,O,X
IZLSTOJ,O,O,O,X,X,O,X
IZLSJTO,O,O,X,X,X,O,X
IZLSJOT,O,O,O,X,X,O,X
IZLSOTJ,O,O,O,X,X,O,X
IZLSOJT,O,O,O,X,X,O,X
IZLOTJS,O,X,X,X,X,X,O
IZLOTSJ,O,X,O,X,X,O,X
IZLOJTS,O,X,X,X,O,X,O
IZLOJST,O,O,X,X,O,O,X
IZLOSTJ,O,O,O,X,X,O,X
IZLOSJT,O,O,O,X,X,O,X
IZJTLSO,O,X,O,X,X,X,X
IZJTLOS,O,X,O,X,O,X,O
IZJTSLO,O,O,O,O,X,X,X
IZJTSOL,O,O,O,O,X,X,O
IZJTOLS,O,X,O,X,O,X,O
IZJTOSL,O,O,O,O,X,X,O
IZJLTSO,O,X,O,X,X,X,X
IZJLTOS,O,X,O,X,X,X,O
IZJLSTO,O,O,O,X,X,O,X
IZJLSOT,O,O,O,X,X,O,X
IZJLOTS,O,X,O,X,O,X,O
IZJLOST,O,O,O,X,O,O,X
IZJSTLO,O,O,O,X,X,O,X
IZJSTOL,O,O,O,X,X,O,O
IZJSLTO,O,O,O,X,X,O,X
IZJSLOT,O,O,O,O,X,O,X
IZJSOTL,O,O,O,X,X,O,O
IZJSOLT,O,O,O,O,X,O,X
IZJOTLS,O,X,O,X,O,X,O
IZJOTSL,O,O,O,O,X,X,O
IZJOLTS,O,X,O,X,O,X,O
IZJOLST,O,O,O,X,O,O,X
IZJOSTL,O,O,O,X,X,O,O
IZJOSLT,O,O,O,O,X,O,X
IZSTLJO,O,O,O,X,X,O,X
IZSTLOJ,O,O,O,X,X,O,X
IZSTJLO,O,O,O,X,X,O,X
IZSTJOL,O,O,O,X,X,O,O
IZSTOLJ,O,O,O,X,X,O,X
IZSTOJL,O,O,O,X,X,O,O
IZSLTJO,O,O,X,X,X,O,X
IZSLTOJ,O,O,O,X,X,O,X
IZSLJTO,O,O,O,X,X,O,X
IZSLJOT,O,O,O,O,X,O,X
IZSLOTJ,O,O,O,X,X,O,X
IZSLOJT,O,O,O,O,X,O,X
IZSJTLO,O,O,O,X,X,O,X
IZSJTOL,O,O,O,X,X,O,O
IZSJLTO,O,O,O,X,X,O,X
IZSJLOT,O,O,O,O,X,O,X
IZSJOTL,O,O,O,X,X,O,O
IZSJOLT,O,O,O,O,X,O,X
IZSOTLJ,O,O,O,X,X,O,X
IZSOTJL,O,O,O,X,X,O,O
IZSOLTJ,O,O,O,X,X,O,X
IZSOLJT,O,O,O,O,X,O,X
IZSOJTL,O,O,O,X,X,O,O
IZSOJLT,O,O,O,O,X,O,X
IZOTLJS,O,O,X,X,O,X,O
IZOTLSJ,O,O,O,X,X,O,X
IZOTJLS,O,O,O,X,O,X,O
IZOTJSL,O,O,O,O,X,X,O
IZOTSLJ,O,O,O,O,X,O,X
IZOTSJL,O,O,O,O,X,O,O
IZOLTJS,O,X,X,X,X,X,O
IZOLTSJ,O,X,O,X,X,O,X
IZOLJTS,O,X,X,X,O,X,O
IZOLJST,O,O,X,X,O,O,X
IZOLSTJ,O,O,O,X,X,O,X
IZOLSJT,O,O,O,X,X,O,X
IZOJTLS,O,X,O,X,O,X,O
IZOJTSL,O,O,O,O,X,X,O
IZOJLTS,O,X,O,X,O,X,O
IZOJLST,O,O,O,X,O,O,X
IZOJSTL,O,O,O,X,X,O,O
IZOJSLT,O,O,O,O,X,O,X
IZOSTLJ,O,O,O,X,X,O,X
IZOSTJL,O,O,O,X,X,O,O
IZOSLTJ,O,O,O,X,X,O,X
IZOSLJT,O,O,O,O,X,O,X
IZOSJTL,O,O,O,X,X,O,O
IZOSJLT,O,O,O,O,X,O,X
IOTLJSZ,X,X,X,O,O,X,X
IOTLJZS,X,X,X,X,O,X,X
IOTLSJZ,O,O,X,O,O,X,X
IOTLSZJ,O,O,X,O,X,X,X
IOTLZJS,O,O,X,X,O,X,X
IOTLZSJ,O,O,X,X,X,X,X
IOTJLSZ,X,X,O,O,O,X,X
IOTJLZS,X,X,X,X,O,X,X
IOTJSLZ,O,O,O,O,O,X,X
IOTJSZL,O,O,O,O,X,X,X
IOTJZLS,O,O,X,X,O,X,O
IOTJZSL,O,O,O,O,X,X,O
IOTSLJZ,O,O,O,O,O,X,X
IOTSLZJ,O,O,X,O,X,X,X
IOTSJLZ,O,O,O,O,O,X,X
IOTSJZL,O,O,O,O,X,X,X
IOTSZLJ,O,O,X,O,X,X,X
IOTSZJL,O,O,X,O,X,X,X
IOTZLJS,O,O,X,X,O,X,O
IOTZLSJ,O,O,X,X,X,X,X
IOTZJLS,O,O,X,X,O,X,O
IOTZJSL,O,O,X,O,X,X,O
IOTZSLJ,O,O,X,O,X,X,X
IOTZSJL,O,O,X,O,X,X,O
IOLTJSZ,X,X,X,O,O,X,X
IOLTJZS,X,X,X,X,O,X,X
IOLTSJZ,O,O,X,O,O,X,X
IOLTSZJ,O,O,X,O,X,X,X
IOLTZJS,O,O,X,X,O,X,X
IOLTZSJ,O,O,X,X,X,X,X
IOLJTSZ,X,X,X,O,O,X,X
IOLJTZS,X,X,X,X,O,X,X
IOLJSTZ,X,X,X,O,O,X,X
IOLJSZT,X,X,X,O,O,X,X
IOLJZTS,X,X,X,X,O,X,O
IOLJZST,X,X,X,X,O,X,X
IOLSTJZ,X,O,X,O,X,X,X
IOLSTZJ,O,O,X,X,X,X,X
IOLSJTZ,X,O,X,O,O,X,X
IOLSJZT,O,O,X,O,O,X,X
IOLSZTJ,O,O,X,X,X,O,X
IOLSZJT,O,O,X,O,X,O,X
IOLZTJS,O,X,X,X,X,X,O
IOLZTSJ,O,X,X,X,X,O,X
IOLZJTS,O,X,X,X,O,X,O
IOLZJST,O,O,X,X,O,O,X
IOLZSTJ,O,O,X,X,X,O,X
IOLZSJT,O,O,X,X,X,O,X
IOJTLSZ,X,X,O,O,O,X,X
IOJTLZS,X,X,X,X,O,X,X
IOJTSLZ,O,O,O,O,O,X,X
IOJTSZL,O,O,O,O,X,X,X
IOJTZLS,O,O,X,X,O,X,O
IOJTZSL,O,O,O,O,X,X,O
IOJLTSZ,X,X,O,O,O,X,X
IOJLTZS,X,X,X,X,O,X,X
IOJLSTZ,X,X,O,O,O,X,X
IOJLSZT,X,X,O,O,O,X,X
IOJLZTS,X,X,X,X,O,X,O
IOJLZST,X,X,X,X,O,X,X
IOJSTLZ,X,O,O,O,O,X,X
IOJSTZL,X,O,O,O,X,X,X
IOJSLTZ,X,O,O,O,O,X,X
IOJSLZT,O,O,O,O,O,X,X
IOJSZTL,O,O,X,X,X,X,O
IOJSZLT,O,O,O,O,X,X,X
IOJZTLS,O,X,X,X,O,X,O
IOJZTSL,O,O,O,O,X,X,O
IOJZLTS,O,X,X,X,O,X,O
IOJZLST,O,O,X,X,O,X,X
IOJZSTL,O,O,X,X,X,X,O
IOJZSLT,O,O,O,O,X,X,X
IOSTLJZ,O,O,X,O,O,X,X
IOSTLZJ,O,O,X,O,X,X,X
IOSTJLZ,O,O,X,O,O,X,X
IOSTJZL,O,O,X,O,X,X,X
IOSTZLJ,O,O,X,O,X,X,X
IOSTZJL,O,O,X,O,X,X,X
IOSLTJZ,X,O,X,O,X,X,X
IOSLTZJ,O,O,X,X,X,X,X
IOSLJTZ,X,O,O,O,O,X,X
IOSLJZT,O,O,O,O,O,X,X
IOSLZTJ,O,O,X,X,X,O,X
IOSLZJT,O,O,X,O,X,O,X
IOSJTLZ,X,O,O,O,O,X,X
IOSJTZL,X,O,X,O,X,X,X
IOSJLTZ,X,O,O,O,O,X,X
IOSJLZT,O,O,O,O,O,X,X
IOSJZTL,O,O,X,X,X,X,O
IOSJZLT,O,O,O,O,X,X,X
IOSZTLJ,O,O,X,X,X,O,X
IOSZTJL,O,O,X,X,X,O,O
IOSZLTJ,O,O,X,X,X,O,X
IOSZLJT,O,O,X,O,X,O,X
IOSZJTL,O,O,X,X,X,O,O
IOSZJLT,O,O,X,O,X,O,X
IOZTLJS,O,O,X,X,O,X,O
IOZTLSJ,O,O,X,X,X,O,X
IOZTJLS,O,O,X,X,O,X,O
IOZTJSL,O,O,X,O,X,X,O
IOZTSLJ,O,O,X,O,X,O,X
IOZTSJL,O,O,X,O,X,O,O
IOZLTJS,O,X,X,X,X,X,O
IOZLTSJ,O,X,X,X,X,O,X
IOZLJTS,O,X,X,X,O,X,O
IOZLJST,O,O,X,X,O,O,X
IOZLSTJ,O,O,X,X,X,O,X
IOZLSJT,O,O,X,X,X,O,X
IOZJTLS,O,X,X,X,O,X,O
IOZJTSL,O,O,X,O,X,X,O
IOZJLTS,O,X,X,X,O,X,O
IOZJLST,O,O,X,X,O,O,X
IOZJSTL,O,O,X,X,X,O,O
IOZJSLT,O,O,X,O,X,O,X
IOZSTLJ,O,O,X,X,X,O,X
IOZSTJL,O,O,X,X,X,O,O
IOZSLTJ,O,O,X,X,X,O,X
IOZSLJT,O,O,X,O,X,O,X
IOZSJTL,O,O,X,X,X,O,O
IOZSJLT,O,O,X,O,X,O,X
LTIJSZO,X,X,X,O,X,X,X
LTIJSOZ,X,X,X,O,O,X,X
LTIJZSO,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,O,X,X
LTIJOSZ,X,X,X,O,O,X,X
LTIJOZS,X,X,X,X,O,X,X
LTISJZO,O,O,X,O,X,X,X
LTISJOZ,O,O,X,O,O,X,X
LTISZJO,O,O,X,O,X,O,X
LTISZOJ,O,O,X,O,X,O,X
LTISOJZ,O,O,X,O,O,X,X
LTISOZJ,O,O,X,O,X,X,X
LTIZJSO,O,O,X,X,X,X,X
LTIZJOS,O,O,X,X,O,X,X
LTIZSJO,O,O,X,X,X,O,X
LTIZSOJ,O,O,X,X,X,O,X
LTIZOJS,O,O,X,X,O,X,X
LTIZOSJ,O,O,X,X,X,O,X
LTIOJSZ,X,X,X,O,O,X,X
LTIOJZS,X,X,X,X,O,X,X
LTIOSJZ,O,O,X,O,O,X,X
LTIOSZJ,O,O,X,O,X,X,X
LTIOZJS,O,O,X,X,O,X,X
LTIOZSJ,O,O,X,X,X,X,X
LTJISZO,X,X,O,O,X,X,X
LTJISOZ,X,X,O,O,O,X,X
LTJIZSO,X,X,O,X,X,X,X
LTJIZOS,X,X,O,X,O,X,X
LTJIOSZ,X,X,O,O,O,X,X
LTJIOZS,X,X,X,X,O,X,X
LTJSIZO,X,X,O,O,X,X,X
LTJSIOZ,X,X,O,O,O,X,X
LTJSZIO,X,X,O,O,X,X,X
LTJSZOI,X,X,O,O,X,X,X
LTJSOIZ,X,X,O,O,O,X,X
LTJSOZI,X,X,O,O,X,X,X
LTJZISO,X,X,O,X,X,X,X
LTJZIOS,X,X,O,X,O,X,X
LTJZSIO,X,X,O,X,X,X,X
LTJZSOI,X,X,O,X,X,X,X
LTJZOIS,X,X,O,X,O,X,X
LTJZOSI,X,X,O,X,X,X,X
LTJOISZ,X,X,O,O,O,X,X
LTJOIZS,X,X,X,X,O,X,X
LTJOSIZ,X,X,O,O,O,X,X
LTJOSZI,X,X,O,O,X,X,X
LTJOZIS,X,X,X,X,O,X,X
LTJOZSI,X,X,X,X,X,X,X
LTSIJZO,O,O,O,O,X,X,X
LTSIJOZ,O,O,O,O,O,X,X
LTSIZJO,O,O,O,O,X,O,X
LTSIZOJ,O,O,O,O,X,O,X
LTSIOJZ,O,O,O,O,O,X,X
LTSIOZJ,O,O,X,O,X,X,X
LTSJIZO,O,O,O,O,X,X,X
LTSJIOZ,O,O,O,O,O,X,X
LTSJZIO,O,O,O,O,X,X,X
LTSJZOI,O,O,O,O,X,X,X
LTSJOIZ,O,O,O,O,O,X,X
LTSJOZI,O,O,O,O,X,X,X
LTSZIJO,O,O,O,O,X,O,X
LTSZIOJ,O,O,O,O,X,O,X
LTSZJIO,O,O,O,O,X,X,X
LTSZJOI,O,O,O,O,X,X,X
LTSZOIJ,O,O,O,O,X,O,X
LTSZOJI,O,O,O,O,X,X,X
LTSOIJZ,O,O,O,O,O,X,X
LTSOIZJ,O,O,X,O,X,X,X
LTSOJIZ,O,O,O,O,O,X,X
LTSOJZI,O,O,O,O,X,X,X
LTSOZIJ,O,O,O,O,X,X,X
LTSOZJI,O,O,O,O,X,X,X
LTZIJSO,O,O,X,X,X,X,X
LTZIJOS,O,O,X,X,O,X,X
LTZISJO,O,O,O,X,X,O,X
LTZISOJ,O,O,O,X,X,O,X
LTZIOJS,O,O,X,X,O,X,X
LTZIOSJ,O,O,O,X,X,O,X
LTZJISO,O,O,O,X,X,X,X
LTZJIOS,O,O,O,X,O,X,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X
LTZJOIS,O,O,O,X,O,X,X
LTZJOSI,O,O,O,X,X,X,X
LTZSIJO,O,O,O,X,X,O,X
LTZSIOJ,O,O,O,X,X,O,X
LTZSJIO,O,O,O,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X
LTZSOIJ,O,O,O,X,X,O,X
LTZSOJI,O,O,O,X,X,X,X
LTZOIJS,O,O,X,X,O,X,X
LTZOISJ,O,O,O,X,X,O,X
LTZOJIS,O,O,O,X,O,X,X
LTZOJSI,O,O,O,X,X,X,X
LTZOSIJ,O,O,O,X,X,O,X
LTZOSJI,O,O,O,X,X,X,X
LTOIJSZ,X,X,X,O,O,X,X
LTOIJZS,X,X,X,X,O,X,X
LTOISJZ,O,O,X,O,O,X,X
LTOISZJ,O,O,X,O,X,X,X
LTOIZJS,O,O,X,X,O,X,X
LTOIZSJ,O,O,X,X,X,X,X
LTOJISZ,X,X,O,O,O,X,X
LTOJIZS,X,X,X,X,O,X,X
LTOJSIZ,X,X,O,O,O,X,X
LTOJSZI,X,X,O,O,X,X,X
LTOJZIS,X,X,X,X,O,X,X
LTOJZSI,X,X,X,X,X,X,X
LTOSIJZ,O,O,O,O,O,X,X
LTOSIZJ,O,O,X,O,X,X,X
LTOSJIZ,O,O,O,O,O,X,X
LTOSJZI,O,O,O,O,X,X,X
LTOSZIJ,O,O,X,O,X,X,X
LTOSZJI,O,O,O,O,X,X,X
LTOZIJS,O,O,X,X,O,X,X
LTOZISJ,O,O,X,X,X,X,X
LTOZJIS,O,O,X,X,O,X,X
LTOZJSI,O,O,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X
LITJSZO,X,X,X,O,X,X,X
LITJSOZ,X,X,X,O,O,X,X
LITJZSO,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,O,X,X
LITJOSZ,X,X,X,O,O,X,X
LITJOZS,X,X,X,X,O,X,X
LITSJZO,O,O,X,O,X,X,X
LITSJOZ,O,O,X,O,O,X,X
LITSZJO,O,O,X,O,X,O,X
LITSZOJ,O,O,X,O,X,O,X
LITSOJZ,O,O,X,O,O,X,X
LITSOZJ,O,O,X,O,X,X,X
LITZJSO,O,O,X,X,X,X,X
LITZJOS,O,O,X,X,O,X,X
LITZSJO,O,O,X,X,X,O,X
LITZSOJ,O,O,X,X,X,O,X
LITZOJS,O,O,X,X,O,X,X
LITZOSJ,O,O,X,X,X,O,X
LITOJSZ,X,X,X,O,O,X,X
LITOJZS,X,X,X,X,O,X,X
LITOSJZ,O,O,X,O,O,X,X
LITOSZJ,O,O,X,O,X,X,X
LITOZJS,O,O,X,X,O,X,X
LITOZSJ,O,O,X,X,X,X,X
LIJTSZO,X,X,X,O,X,X,X
LIJTSOZ,X,X,X,O,O,X,X
LIJTZSO,X,X,X,X,X,X,X
LIJTZOS,X,X,X,X,O,X,X
LIJTOSZ,X,X,X,O,O,X,X
LIJTOZS,X,X,X,X,O,X,X
LIJSTZO,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,O,X,X,X
LIJSZTO,X,X,X,X,X,O,X
LIJSZOT,X,X,X,O,X,O,X
LIJSOTZ,X,X,X,O,O,X,X
LIJSOZT,X,X,X,O,O,X,X
LIJZTSO,X,X,X,X,X,X,X
LIJZTOS,X,X,X,X,X,X,O
LIJZSTO,X,X,X,X,X,O,X
LIJZSOT,X,X,X,X,X,O,X
LIJZOTS,X,X,X,X,O,X,O
LIJZOST,X,X,X,X,O,O,X
LIJOTSZ,X,X,X,O,O,X,X
LIJOTZS,X,X,X,X,O,X,X
LIJOSTZ,X,X,X,O,O,X,X
LIJOSZT,X,X,X,O,O,X,X
LIJOZTS,X,X,X,X,O,X,O
LIJOZST,X,X,X,X,O,X,X
LISTJZO,X,O,X,X,X,X,X
LISTJOZ,X,O,X,O,X,X,X
LISTZJO,O,O,X,X,X,O,X
LISTZOJ,O,O,X,X,X,O,X
LISTOJZ,X,O,X,O,X,X,X
LISTOZJ,O,O,X,X,X,X,X
LISJTZO,X,O,X,X,X,X,X
LISJTOZ,X,O,X,O,X,X,X
LISJZTO,O,O,X,X,X,O,X
LISJZOT,O,O,X,O,X,O,X
LISJOTZ,X,O,X,O,O,X,X
LISJOZT,O,O,X,O,O,X,X
LISZTJO,O,O,X,X,X,O,X
LISZTOJ,O,O,X,X,X,O,X
LISZJTO,O,O,X,X,X,O,X
LISZJOT,O,O,X,O,X,O,X
LISZOTJ,O,O,X,X,X,O,X
LISZOJT,O,O,X,O,X,O,X
LISOTJZ,X,O,X,O,X,X,X
LISOTZJ,O,O,X,X,X,X,X
LISOJTZ,X,O,X,O,O,X,X
LISOJZT,O,O,X,O,O,X,X
LISOZTJ,O,O,X,X,X,O,X
LISOZJT,O,O,X,O,X,O,X
LIZTJSO,O,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,O
LIZTSJO,O,X,X,X,X,O,X
LIZTSOJ,O,X,X,X,X,O,X
LIZTOJS,O,X,X,X,X,X,O
LIZTOSJ,O,X,X,X,X,O,X
LIZJTSO,O,X,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X,O
LIZJSTO,O,O,X,X,X,O,X
LIZJSOT,O,O,X,X,X,O,X
LIZJOTS,O,X,X,X,O,X,O
LIZJOST,O,O,X,X,O,O,X
LIZSTJO,O,O,X,X,X,O,X
LIZSTOJ,O,O,X,X,X,O,X
LIZSJTO,O,O,X,X,X,O,X
LIZSJOT,O,O,X,X,X,O,X
LIZSOTJ,O,O,X,X,X,O,X
LIZSOJT,O,O,X,X,X,O,X
LIZOTJS,O,X,X,X,X,X,O
LIZOTSJ,O,X,X,X,X,O,X
LIZOJTS,O,X,X,X,O,X,O
LIZOJST,O,O,X,X,O,O,X
LIZOSTJ,O,O,X,X,X,O,X
LIZOSJT,O,O,X,X,X,O,X
LIOTJSZ,X,X,X,O,O,X,X
LIOTJZS,X,X,X,X,O,X,X
LIOTSJZ,O,O,X,O,O,X,X
LIOTSZJ,O,O,X,O,X,X,X
LIOTZJS,O,O,X,X,O,X,X
LIOTZSJ,O,O,X,X,X,X,X
LIOJTSZ,X,X,X,O,O,X,X
LIOJTZS,X,X,X,X,O,X,X
LIOJSTZ,X,X,X,O,O,X,X
LIOJSZT,X,X,X,O,O,X,X
LIOJZTS,X,X,X,X,O,X,O
LIOJZST,X,X,X,X,O,X,X
LIOSTJZ,X,O,X,O,X,X,X
LIOSTZJ,O,O,X,X,X,X,X
LIOSJTZ,X,O,X,O,O,X,X
LIOSJZT,O,O,X,O,O,X,X
LIOSZTJ,O,O,X,X,X,O,X
LIOSZJT,O,O,X,O,X,O,X
LIOZTJS,O,X,X,X,X,X,O
LIOZTSJ,O,X,X,X,X,O,X
LIOZJTS,O,X,X,X,O,X,O
LIOZJST,O,O,X,X,O,O,X
LIOZSTJ,O,O,X,X,X,O,X
LIOZSJT,O,O,X,X,X,O,X
LJTISZO,X,X,O,O,X,X,X
LJTISOZ,X,X,O,O,O,X,X
LJTIZSO,X,X,O,X,X,X,X
LJTIZOS,X,X,O,X,O,X,X
LJTIOSZ,X,X,O,O,O,X,X
LJTIOZS,X,X,X,X,O,X,X
LJTSIZO,X,X,O,O,X,X,X
LJTSIOZ,X,X,O,O,O,X,X
LJTSZIO,X,X,O,O,X,X,X
LJTSZOI,X,X,O,O,X,X,X
LJTSOIZ,X,X,O,O,O,X,X
LJTSOZI,X,X,O,O,X,X,X
LJTZISO,X,X,O,X,X,X,X
LJTZIOS,X,X,O,X,O,X,X
LJTZSIO,X,X,O,X,X,X,X
LJTZSOI,X,X,O,X,X,X,X
LJTZOIS,X,X,O,X,O,X,X
LJTZOSI,X,X,O,X,X,X,X
LJTOISZ,X,X,O,O,O,X,X
LJTOIZS,X,X,X,X,O,X,X
LJTOSIZ,X,X,O,O,O,X,X
LJTOSZI,X,X,O,O,X,X,X
LJTOZIS,X,X,X,X,O,X,X
LJTOZSI,X,X,X,X,X,X,X
LJITSZO,X,X,O,O,X,X,X
LJITSOZ,X,X,O,O,O,X,X
LJITZSO,X,X,O,X,X,X,X
LJITZOS,X,X,O,X,O,X,X
LJITOSZ,X,X,O,O,O,X,X
LJITOZS,X,X,X,X,O,X,X
LJISTZO,X,X,O,X,X,X,X
LJISTOZ,X,X,O,O,X,X,X
LJISZTO,X,X,O,X,X,O,X
LJISZOT,X,X,O,O,X,O,X
LJISOTZ,X,X,O,O,O,X,X
LJISOZT,X,X,O,O,O,X,X
LJIZTSO,X,X,O,X,X,X,X
LJIZTOS,X,X,O,X,X,X,O
LJIZSTO,X,X,O,X,X,O,X
LJIZSOT,X,X,O,X,X,O,X
LJIZOTS,X,X,O,X,O,X,O
LJIZOST,X,X,O,X,O,O,X
LJIOTSZ,X,X,O,O,O,X,X
LJIOTZS,X,X,X,X,O,X,X
LJIOSTZ,X,X,O,O,O,X,X
LJIOSZT,X,X,O,O,O,X,X
LJIOZTS,X,X,X,X,O,X,O
LJIOZST,X,X,X,X,O,X,X
LJSTIZO,X,X,O,X,X,X,X
LJSTIOZ,X,X,O,O,X,X,X
LJSTZIO,X,X,O,X,X,X,X
LJSTZOI,X,X,O,X,X,X,X
LJSTOIZ,X,X,O,O,X,X,X
LJSTOZI,X,X,X,X,X,X,X
LJSITZO,X,X,O,X,X,X,X
LJSITOZ,X,X,O,O,X,X,X
LJSIZTO,X,X,O,X,X,O,X
LJSIZOT,X,X,O,O,X,O,X
LJSIOTZ,X,X,O,O,O,X,X
LJSIOZT,X,X,O,O,O,X,X
LJSZTIO,X,X,O,X,X,X,X
LJSZTOI,X,X,O,X,X,X,X
LJSZITO,X,X,O,X,X,O,X
LJSZIOT,X,X,O,O,X,O,X
LJSZOTI,X,X,O,X,X,X,X
LJSZOIT,X,X,O,O,X,O,X
LJSOTIZ,X,X,O,O,X,X,X
LJSOTZI,X,X,X,X,X,X,X
LJSOITZ,X,X,O,O,O,X,X
LJSOIZT,X,X,O,O,O,X,X
LJSOZTI,X,X,O,X,X,X,X
LJSOZIT,X,X,O,O,X,X,X
LJZTISO,X,X,O,X,X,X,X
LJZTIOS,X,X,O,X,X,X,O
LJZTSIO,X,X,O,X,X,X,X
LJZTSOI,X,X,O,X,X,X,X
LJZTOIS,X,X,O,X,X,X,O
LJZTOSI,X,X,O,X,X,X,X
LJZITSO,X,X,O,X,X,X,X
LJZITOS,X,X,O,X,X,X,O
LJZISTO,X,X,O,X,X,O,X
LJZISOT,X,X,O,X,X,O,X
LJZIOTS,X,X,O,X,O,X,O
LJZIOST,X,X,O,X,O,O,X
LJZSTIO,X,X,O,X,X,X,X
LJZSTOI,X,X,O,X,X,X,X
LJZSITO,X,X,O,X,X,O,X
LJZSIOT,X,X,O,X,X,O,X
LJZSOTI,X,X,O,X,X,X,X
LJZSOIT,X,X,O,X,X,O,X
LJZOTIS,X,X,O,X,X,X,O
LJZOTSI,X,X,O,X,X,X,X
LJZOITS,X,X,O,X,O,X,O
LJZOIST,X,X,O,X,O,O,X
LJZOSTI,X,X,O,X,X,X,X
LJZOSIT,X,X,O,X,X,O,X
LJOTISZ,X,X,O,O,O,X,X
LJOTIZS,X,X,X,X,O,X,X
LJOTSIZ,X,X,O,O,O,X,X
LJOTSZI,X,X,O,O,X,X,X
LJOTZIS,X,X,X,X,O,X,X
LJOTZSI,X,X,X,X,X,X,X
LJOITSZ,X,X,O,O,O,X,X
LJOITZS,X,X,X,X,O,X,X
LJOISTZ,X,X,O,O,O,X,X
LJOISZT,X,X,O,O,O,X,X
LJOIZTS,X,X,X,X,O,X,O
LJOIZST,X,X,X,X,O,X,X
LJOSTIZ,X,X,O,O,X,X,X
LJOSTZI,X,X,X,X,X,X,X
LJOSITZ,X,X,O,O,O,X,X
LJOSIZT,X,X,O,O,O,X,X
LJOSZTI,X,X,X,X,X,X,X
LJOSZIT,X,X,O,O,X,X,X
LJOZTIS,X,X,X,X,X,X,O
LJOZTSI,X,X,X,X,X,X,X
LJOZITS,X,X,X,X,O,X,O
LJOZIST,X,X,X,X,O,X,X
LJOZSTI,X,X,X,X,X,X,X
LJOZSIT,X,X,X,X,X,X,X
LSTIJZO,X,O,X,X,X,X,X
LSTIJOZ,X,O,X,O,X,X,X
LSTIZJO,O,O,X,X,X,O,X
LSTIZOJ,O,O,X,X,X,O,X
LSTIOJZ,X,O,X,O,X,X,X
LSTIOZJ,O,O,X,X,X,X,X
LSTJIZO,X,O,O,X,X,X,X
LSTJIOZ,X,O,O,O,X,X,X
LSTJZIO,X,O,O,X,X,X,X
