sequence,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBGeBUhBFiBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBUdBGeBFhBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFUdBGeBxgBimBll?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFUdBGeBRgB1mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiB0mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiBXmBzm?BUrB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFRcBGeBFiB0mB/l?BKrB
IZTSJLO,O,O,X,X,O,X,X
IZTSJOL,O,O,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X
IZTOLJS,O,O,X,X,O,X,O
IZTOLSJ,O,O,X,X,X,X,O
IZTOJLS,O,O,X,X,O,X,O
IZTOJSL,O,O,O,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X
IZLTJSO,O,O,X,X,O,O,X
IZLTJOS,O,O,X,X,O,X,X
IZLTSJO,O,O,X,X,O,X,X
IZLTSOJ,O,O,X,X,X,X,X
IZLTOJS,O,O,X,X,O,X,X
IZLTOSJ,O,O,X,X,X,X,X
IZLJTSO,O,O,X,X,O,O,X
IZLJTOS,O,O,X,X,O,X,X
IZLJSTO,O,O,X,O,O,O,X
IZLJSOT,O,O,X,X,X,X,X
IZLJOTS,O,O,X,X,O,X,X
IZLJOST,O,O,O,X,X,X,X
IZLSTJO,O,O,X,O,O,O,X
IZLSTOJ,O,O,X,O,X,X,X
IZLSJTO,O,O,X,O,O,O,X
IZLSJOT,O,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X
IZLOTJS,O,O,X,X,O,X,X
IZLOTSJ,O,O,X,X,X,X,X
IZLOJTS,O,O,X,X,O,X,X
IZLOJST,O,O,O,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X
IZJTLSO,O,O,X,X,O,O,O
IZJTLOS,O,O,X,X,O,X,O
IZJTSLO,O,O,X,X,O,X,X
IZJTSOL,O,O,X,X,X,X,X
IZJTOLS,O,O,X,X,O,X,O
IZJTOSL,O,O,O,X,X,X,X
IZJLTSO,O,O,X,X,O,O,X
IZJLTOS,O,O,X,X,O,X,X
IZJLSTO,O,O,X,O,O,O,X
IZJLSOT,O,O,X,X,X,X,X
IZJLOTS,O,O,X,X,O,X,X
IZJLOST,O,O,O,X,X,X,X
IZJSTLO,O,O,X,O,O,O,X
IZJSTOL,O,O,O,O,X,X,X
IZJSLTO,O,O,O,O,O,O,X
IZJSLOT,O,O,O,X,X,X,X
IZJSOTL,O,O,O,X,X,X,X
IZJSOLT,O,O,O,X,X,X,X
IZJOTLS,O,O,X,X,O,X,O
IZJOTSL,O,O,O,X,X,X,X
IZJOLTS,O,O,X,X,O,X,X
IZJOLST,O,O,O,X,X,X,X
IZJOSTL,O,O,O,X,X,X,X
IZJOSLT,O,O,O,X,X,X,X
IZSTLJO,O,O,X,O,O,O,X
IZSTLOJ,O,O,X,O,X,X,X
IZSTJLO,O,O,X,O,O,O,X
IZSTJOL,O,O,O,O,X,X,X
IZSTOLJ,O,O,X,O,X,X,X
IZSTOJL,O,O,O,O,X,X,X
IZSLTJO,O,O,O,O,O,O,X
IZSLTOJ,O,O,O,O,X,X,X
IZSLJTO,O,O,O,O,O,O,X
IZSLJOT,O,O,O,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X
IZSJTLO,O,O,X,O,O,O,X
IZSJTOL,O,O,O,O,X,X,X
IZSJLTO,O,O,O,O,O,O,X
IZSJLOT,O,O,O,X,X,X,X
IZSJOTL,O,O,O,X,X,X,X
IZSJOLT,O,O,O,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X
IZOTLJS,O,O,X,X,O,X,O
IZOTLSJ,O,O,X,X,X,X,O
IZOTJLS,O,O,X,X,O,X,O
IZOTJSL,O,O,O,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X
IZOLTJS,O,O,X,X,O,X,X
IZOLTSJ,O,O,X,X,X,X,X
IZOLJTS,O,O,X,X,O,X,X
IZOLJST,O,O,O,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X
IZOJTLS,O,O,X,X,O,X,O
IZOJTSL,O,O,O,X,X,X,X
IZOJLTS,O,O,X,X,O,X,X
IZOJLST,O,O,O,X,X,X,X
IZOJSTL,O,O,O,X,X,X,X
IZOJSLT,O,O,O,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X
IOTLJSZ,X,O,X,X,X,O,X
IOTLJZS,O,O,X,X,O,X,X
IOTLSJZ,X,O,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X
IOTJLSZ,X,O,X,X,X,O,X
IOTJLZS,O,O,X,X,O,X,X
IOTJSLZ,X,O,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X,X
IOTJZSL,O,O,O,X,X,X,X
IOTSLJZ,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X
IOTZJLS,O,O,X,X,X,X,X
IOTZJSL,O,O,O,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X
IOLTJSZ,X,O,X,X,X,O,X
IOLTJZS,O,O,X,X,O,X,X
IOLTSJZ,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,X
IOLTZJS,O,O,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X
IOLJTSZ,X,O,X,X,X,O,X
IOLJTZS,O,O,X,X,O,X,X
IOLJSTZ,X,O,X,X,X,O,X
IOLJSZT,O,O,X,X,X,X,X
IOLJZTS,O,O,X,X,O,X,X
IOLJZST,O,O,O,X,X,X,X
IOLSTJZ,X,O,X,X,X,O,X
IOLSTZJ,X,O,X,X,X,X,X
IOLSJTZ,X,O,X,X,X,O,X
IOLSJZT,O,O,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X
IOLZTJS,O,O,X,X,O,X,X
IOLZTSJ,O,O,X,X,X,X,X
IOLZJTS,O,O,X,X,O,X,X
IOLZJST,O,O,O,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X
IOJTLSZ,X,O,X,X,X,O,X
IOJTLZS,O,O,X,X,O,X,X
IOJTSLZ,X,O,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X
IOJTZSL,O,O,O,X,X,X,X
IOJLTSZ,X,O,X,X,X,O,X
IOJLTZS,O,O,X,X,O,X,X
IOJLSTZ,X,O,X,X,X,O,X
IOJLSZT,O,O,X,X,X,X,X
IOJLZTS,O,O,X,X,O,X,X
IOJLZST,O,O,O,X,X,X,X
IOJSTLZ,X,O,O,X,X,O,X
IOJSTZL,O,O,O,X,X,X,X
IOJSLTZ,X,O,O,X,X,O,X
IOJSLZT,O,O,O,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X
IOJSZLT,O,O,O,X,X,X,X
IOJZTLS,O,O,X,X,O,X,O
IOJZTSL,O,O,O,X,X,X,X
IOJZLTS,O,O,X,X,O,X,X
IOJZLST,O,O,O,X,X,X,X
IOJZSTL,O,O,O,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X
IOSTLJZ,X,O,O,X,X,O,X
IOSTLZJ,X,O,O,X,X,X,X
IOSTJLZ,X,O,O,X,X,O,X
IOSTJZL,O,O,O,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X
IOSLTJZ,X,O,O,X,X,O,X
IOSLTZJ,X,O,O,X,X,X,X
IOSLJTZ,X,O,O,X,X,O,X
IOSLJZT,O,O,O,X,X,X,X
IOSLZTJ,O,O,O,X,X,X,X
IOSLZJT,O,O,O,X,X,X,X
IOSJTLZ,X,O,O,X,X,O,X
IOSJTZL,O,O,O,X,X,X,X
IOSJLTZ,X,O,O,X,X,O,X
IOSJLZT,O,O,O,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X
IOSZTJL,O,O,O,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X
IOZTLJS,O,O,X,X,O,X,O
IOZTLSJ,O,O,X,X,X,X,O
IOZTJLS,O,O,X,X,O,X,O
IOZTJSL,O,O,O,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X
IOZLTJS,O,O,X,X,O,X,X
IOZLTSJ,O,O,X,X,X,X,X
IOZLJTS,O,O,X,X,O,X,X
IOZLJST,O,O,O,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X
IOZJTLS,O,O,X,X,O,X,O
IOZJTSL,O,O,O,X,X,X,X
IOZJLTS,O,O,X,X,O,X,X
IOZJLST,O,O,O,X,X,X,X
IOZJSTL,O,O,O,X,X,X,X
IOZJSLT,O,O,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X
IOZSTJL,O,O,O,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X
LTIJSZO,X,O,X,X,O,O,X
LTIJSOZ,X,O,X,X,X,O,X
LTIJZSO,O,O,X,X,O,O,X
LTIJZOS,O,O,X,X,O,X,X
LTIJOSZ,X,O,X,X,X,O,X
LTIJOZS,O,O,X,X,O,X,X
LTISJZO,X,O,X,X,O,O,X
LTISJOZ,X,O,X,X,X,O,X
LTISZJO,X,O,X,X,X,O,X
LTISZOJ,X,O,X,X,X,X,X
LTISOJZ,X,O,X,X,X,O,X
LTISOZJ,X,O,X,X,X,X,X
LTIZJSO,O,O,X,X,O,O,X
LTIZJOS,O,O,X,X,O,X,X
LTIZSJO,O,O,X,X,O,X,X
LTIZSOJ,O,O,X,X,X,X,X
LTIZOJS,O,O,X,X,O,X,X
LTIZOSJ,O,O,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,O,X
LTIOJZS,O,O,X,X,O,X,X
LTIOSJZ,X,O,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,X
LTIOZJS,O,O,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X
LTJISZO,X,O,X,X,O,O,X
LTJISOZ,X,O,X,X,X,O,X
LTJIZSO,O,O,X,X,O,O,X
LTJIZOS,O,O,X,X,O,X,X
LTJIOSZ,X,O,X,X,X,O,X
LTJIOZS,O,O,X,X,O,X,X
LTJSIZO,X,O,X,O,O,O,X
LTJSIOZ,X,O,X,O,X,O,X
LTJSZIO,X,X,X,O,X,X,X
LTJSZOI,X,O,X,O,X,X,X
LTJSOIZ,X,O,X,O,X,X,X
LTJSOZI,X,O,X,O,X,X,X
LTJZISO,O,O,X,X,O,O,X
LTJZIOS,O,O,X,X,O,X,X
LTJZSIO,X,X,X,O,O,X,X
LTJZSOI,O,O,X,O,X,X,X
LTJZOIS,O,O,X,X,O,X,X
LTJZOSI,O,O,X,X,X,X,X
LTJOISZ,X,O,X,X,X,O,X
LTJOIZS,O,O,X,X,O,X,X
LTJOSIZ,X,O,X,X,X,X,X
LTJOSZI,X,O,X,X,X,X,X
LTJOZIS,O,O,X,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X
LTSIJZO,X,O,X,O,O,O,X
LTSIJOZ,X,O,X,O,X,O,X
LTSIZJO,X,O,X,O,X,O,X
LTSIZOJ,X,O,X,O,X,X,X
LTSIOJZ,X,O,X,O,X,O,X
LTSIOZJ,X,O,X,O,X,X,X
LTSJIZO,X,O,X,O,O,O,X
LTSJIOZ,X,O,X,O,X,O,X
LTSJZIO,X,X,X,O,X,X,X
LTSJZOI,X,O,X,O,X,X,X
LTSJOIZ,X,O,X,O,X,X,X
LTSJOZI,X,O,X,O,X,X,X
LTSZIJO,X,X,X,O,X,X,X
LTSZIOJ,X,X,X,O,X,X,X
LTSZJIO,X,X,X,O,X,X,X
LTSZJOI,X,O,X,O,X,X,X
LTSZOIJ,X,X,X,O,X,X,X
LTSZOJI,X,O,X,O,X,X,X
LTSOIJZ,X,O,X,O,X,X,X
LTSOIZJ,X,O,X,O,X,X,X
LTSOJIZ,X,O,X,O,X,X,X
LTSOJZI,X,O,X,O,X,X,X
LTSOZIJ,X,X,X,O,X,X,X
LTSOZJI,X,O,X,O,X,X,X
LTZIJSO,O,O,X,X,O,O,X
LTZIJOS,O,O,X,X,O,X,X
LTZISJO,O,O,X,X,O,X,X
LTZISOJ,O,O,X,X,X,X,X
LTZIOJS,O,O,X,X,O,X,X
LTZIOSJ,O,O,X,X,X,X,X
LTZJISO,O,O,X,X,O,O,X
LTZJIOS,O,O,X,X,O,X,X
LTZJSIO,X,X,X,O,O,X,X
LTZJSOI,O,O,X,O,X,X,X
LTZJOIS,O,O,X,X,O,X,X
LTZJOSI,O,O,X,X,X,X,X
LTZSIJO,X,X,X,O,O,X,X
LTZSIOJ,X,X,X,O,X,X,X
LTZSJIO,X,X,X,O,O,X,X
LTZSJOI,O,O,X,O,X,X,X
LTZSOIJ,X,X,X,O,X,X,X
LTZSOJI,O,O,X,O,X,X,X
LTZOIJS,O,O,X,X,O,X,X
LTZOISJ,O,O,X,X,X,X,X
LTZOJIS,O,O,X,X,O,X,X
LTZOJSI,O,O,X,X,X,X,X
LTZOSIJ,X,X,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X
LTOIJSZ,X,O,X,X,X,O,X
LTOIJZS,O,O,X,X,O,X,X
LTOISJZ,X,O,X,X,X,X,X
LTOISZJ,X,O,X,X,X,X,X
LTOIZJS,O,O,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X
LTOJISZ,X,O,X,X,X,O,X
LTOJIZS,O,O,X,X,O,X,X
LTOJSIZ,X,O,X,X,X,X,X
LTOJSZI,X,O,X,X,X,X,X
LTOJZIS,O,O,X,X,X,X,X
LTOJZSI,O,O,X,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,X
LTOSIZJ,X,O,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X
LTOSJZI,X,O,X,X,X,X,X
LTOSZIJ,X,X,X,X,X,X,X
LTOSZJI,X,O,X,X,X,X,X
LTOZIJS,O,O,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X
LTOZJIS,O,O,X,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X
LTOZSIJ,X,X,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X
LITJSZO,X,O,X,X,O,O,X
LITJSOZ,X,O,X,X,X,O,X
LITJZSO,O,O,X,X,O,O,X
LITJZOS,O,O,X,X,O,X,X
LITJOSZ,X,O,X,X,X,O,X
LITJOZS,O,O,X,X,O,X,X
LITSJZO,X,O,X,X,O,O,X
LITSJOZ,X,O,X,X,X,O,X
LITSZJO,X,O,X,X,X,O,X
LITSZOJ,X,O,X,X,X,X,X
LITSOJZ,X,O,X,X,X,O,X
LITSOZJ,X,O,X,X,X,X,X
LITZJSO,O,O,X,X,O,O,X
LITZJOS,O,O,X,X,O,X,X
LITZSJO,O,O,X,X,O,X,X
LITZSOJ,O,O,X,X,X,X,X
LITZOJS,O,O,X,X,O,X,X
LITZOSJ,O,O,X,X,X,X,X
LITOJSZ,X,O,X,X,X,O,X
LITOJZS,O,O,X,X,O,X,X
LITOSJZ,X,O,X,X,X,X,X
LITOSZJ,X,O,X,X,X,X,X
LITOZJS,O,O,X,X,X,X,X
LITOZSJ,O,O,X,X,X,X,X
LIJTSZO,X,O,X,X,O,O,X
LIJTSOZ,X,O,X,X,X,O,X
LIJTZSO,O,O,X,X,O,O,X
LIJTZOS,O,O,X,X,O,X,X
LIJTOSZ,X,O,X,X,X,O,X
LIJTOZS,O,O,X,X,O,X,X
LIJSTZO,X,O,X,O,O,O,X
LIJSTOZ,X,O,X,O,X,O,X
LIJSZTO,O,O,X,O,O,O,X
LIJSZOT,O,O,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,O,X
LIJSOZT,O,O,X,X,X,X,X
LIJZTSO,O,O,X,X,O,O,X
LIJZTOS,O,O,X,X,O,X,X
LIJZSTO,O,O,X,O,O,O,X
LIJZSOT,O,O,X,X,X,X,X
LIJZOTS,O,O,X,X,O,X,X
LIJZOST,O,O,O,X,X,X,X
LIJOTSZ,X,O,X,X,X,O,X
LIJOTZS,O,O,X,X,O,X,X
LIJOSTZ,X,O,X,X,X,O,X
LIJOSZT,O,O,X,X,X,X,X
LIJOZTS,O,O,X,X,O,X,X
LIJOZST,O,O,O,X,X,X,X
LISTJZO,X,O,X,O,O,O,X
LISTJOZ,X,O,X,O,X,O,X
LISTZJO,X,O,X,O,X,O,X
LISTZOJ,X,O,X,O,X,X,X
LISTOJZ,X,O,X,O,X,O,X
LISTOZJ,X,O,X,O,X,X,X
LISJTZO,X,O,X,O,O,O,X
LISJTOZ,X,O,X,O,X,O,X
LISJZTO,O,O,X,O,O,O,X
LISJZOT,O,O,X,X,X,X,X
LISJOTZ,X,O,X,X,X,O,X
LISJOZT,O,O,X,X,X,X,X
LISZTJO,O,O,X,O,O,O,X
LISZTOJ,O,O,X,O,X,X,X
LISZJTO,O,O,X,O,O,O,X
LISZJOT,O,O,X,X,X,X,X
LISZOTJ,O,O,X,X,X,X,X
LISZOJT,O,O,X,X,X,X,X
LISOTJZ,X,O,X,X,X,O,X
LISOTZJ,X,O,X,X,X,X,X
LISOJTZ,X,O,X,X,X,O,X
LISOJZT,O,O,X,X,X,X,X
LISOZTJ,O,O,X,X,X,X,X
LISOZJT,O,O,X,X,X,X,X
LIZTJSO,O,O,X,X,O,O,X
LIZTJOS,O,O,X,X,O,X,X
LIZTSJO,O,O,X,X,O,X,X
LIZTSOJ,O,O,X,X,X,X,X
LIZTOJS,O,O,X,X,O,X,X
LIZTOSJ,O,O,X,X,X,X,X
LIZJTSO,O,O,X,X,O,O,X
LIZJTOS,O,O,X,X,O,X,X
LIZJSTO,O,O,X,O,O,O,X
LIZJSOT,O,O,X,X,X,X,X
LIZJOTS,O,O,X,X,O,X,X
LIZJOST,O,O,O,X,X,X,X
LIZSTJO,O,O,X,O,O,O,X
LIZSTOJ,O,O,X,O,X,X,X
LIZSJTO,O,O,X,O,O,O,X
LIZSJOT,O,O,X,X,X,X,X
LIZSOTJ,O,O,X,X,X,X,X
LIZSOJT,O,O,X,X,X,X,X
LIZOTJS,O,O,X,X,O,X,X
LIZOTSJ,O,O,X,X,X,X,X
LIZOJTS,O,O,X,X,O,X,X
LIZOJST,O,O,O,X,X,X,X
LIZOSTJ,O,O,X,X,X,X,X
LIZOSJT,O,O,X,X,X,X,X
LIOTJSZ,X,O,X,X,X,O,X
LIOTJZS,O,O,X,X,O,X,X
LIOTSJZ,X,O,X,X,X,X,X
LIOTSZJ,X,O,X,X,X,X,X
LIOTZJS,O,O,X,X,X,X,X
LIOTZSJ,O,O,X,X,X,X,X
LIOJTSZ,X,O,X,X,X,O,X
LIOJTZS,O,O,X,X,O,X,X
LIOJSTZ,X,O,X,X,X,O,X
LIOJSZT,O,O,X,X,X,X,X
LIOJZTS,O,O,X,X,O,X,X
LIOJZST,O,O,O,X,X,X,X
LIOSTJZ,X,O,X,X,X,O,X
LIOSTZJ,X,O,X,X,X,X,X
LIOSJTZ,X,O,X,X,X,O,X
LIOSJZT,O,O,X,X,X,X,X
LIOSZTJ,O,O,X,X,X,X,X
LIOSZJT,O,O,X,X,X,X,X
LIOZTJS,O,O,X,X,O,X,X
LIOZTSJ,O,O,X,X,X,X,X
LIOZJTS,O,O,X,X,O,X,X
LIOZJST,O,O,O,X,X,X,X
LIOZSTJ,O,O,X,X,X,X,X
LIOZSJT,O,O,X,X,X,X,X
LJTISZO,X,O,X,X,O,O,X
LJTISOZ,X,O,X,X,X,O,X
LJTIZSO,O,O,X,X,O,O,X
LJTIZOS,O,O,X,X,O,X,X
LJTIOSZ,X,O,X,X,X,O,X
LJTIOZS,O,O,X,X,O,X,X
LJTSIZO,X,O,X,O,O,O,X
LJTSIOZ,X,O,X,O,X,O,X
LJTSZIO,X,X,X,O,X,X,X
LJTSZOI,X,O,X,O,X,X,X
LJTSOIZ,X,O,X,O,X,X,X
LJTSOZI,X,O,X,O,X,X,X
LJTZISO,O,O,X,X,O,O,X
LJTZIOS,O,O,X,X,O,X,X
LJTZSIO,X,X,X,O,O,X,X
LJTZSOI,O,O,X,O,X,X,X
LJTZOIS,O,O,X,X,O,X,X
LJTZOSI,O,O,X,X,X,X,X
LJTOISZ,X,O,X,X,X,O,X
LJTOIZS,O,O,X,X,O,X,X
LJTOSIZ,X,O,X,X,X,X,X
LJTOSZI,X,O,X,X,X,X,X
LJTOZIS,O,O,X,X,X,X,X
LJTOZSI,O,O,X,X,X,X,X
LJITSZO,X,O,X,X,O,O,X
LJITSOZ,X,O,X,X,X,O,X
LJITZSO,O,O,X,X,O,O,X
LJITZOS,O,O,X,X,O,X,X
LJITOSZ,X,O,X,X,X,O,X
LJITOZS,O,O,X,X,O,X,X
LJISTZO,X,O,X,O,O,O,X
LJISTOZ,X,O,X,O,X,O,X
LJISZTO,O,O,X,O,O,O,X
LJISZOT,O,O,X,X,X,X,X
LJISOTZ,X,O,X,X,X,O,X
LJISOZT,O,O,X,X,X,X,X
LJIZTSO,O,O,X,X,O,O,X
LJIZTOS,O,O,X,X,O,X,X
LJIZSTO,O,O,X,O,O,O,X
LJIZSOT,O,O,X,X,X,X,X
LJIZOTS,O,O,X,X,O,X,X
LJIZOST,O,O,O,X,X,X,X
LJIOTSZ,X,O,X,X,X,O,X
LJIOTZS,O,O,X,X,O,X,X
LJIOSTZ,X,O,X,X,X,O,X
LJIOSZT,O,O,X,X,X,X,X
LJIOZTS,O,O,X,X,O,X,X
LJIOZST,O,O,O,X,X,X,X
LJSTIZO,X,O,O,O,O,O,X
LJSTIOZ,X,O,O,O,X,O,X
LJSTZIO,X,X,O,O,X,X,X
LJSTZOI,X,O,O,O,X,X,X
LJSTOIZ,X,O,O,O,X,X,X
LJSTOZI,X,O,O,O,X,X,X
LJSITZO,X,O,O,O,O,O,X
LJSITOZ,X,O,O,O,X,O,X
LJSIZTO,O,O,O,O,O,O,X
LJSIZOT,O,O,O,X,X,X,X
LJSIOTZ,X,O,O,X,X,O,X
LJSIOZT,O,O,O,X,X,X,X
LJSZTIO,X,X,O,O,O,X,X
LJSZTOI,O,X,O,O,X,X,X
LJSZITO,O,X,O,O,O,O,X
LJSZIOT,O,X,O,X,X,X,X
LJSZOTI,O,O,O,O,X,X,X
LJSZOIT,O,O,O,X,X,X,X
LJSOTIZ,X,O,O,O,X,X,X
LJSOTZI,X,O,O,O,X,X,X
LJSOITZ,X,O,O,X,X,O,X
LJSOIZT,O,O,O,X,X,X,X
LJSOZTI,O,O,O,O,X,X,X
LJSOZIT,O,O,O,X,X,X,X
LJZTISO,O,O,X,X,O,O,O
LJZTIOS,O,O,X,X,O,X,O
LJZTSIO,X,X,X,O,O,X,O
LJZTSOI,O,O,X,O,X,X,O
LJZTOIS,O,O,X,X,O,X,O
LJZTOSI,O,O,X,X,X,X,O
LJZITSO,O,O,X,X,O,O,X
LJZITOS,O,O,X,X,O,X,X
LJZISTO,O,O,X,O,O,O,X
LJZISOT,O,O,X,X,X,X,X
LJZIOTS,O,O,X,X,O,X,X
LJZIOST,O,O,O,X,X,X,X
LJZSTIO,X,X,O,O,O,X,X
LJZSTOI,O,X,O,O,X,X,X
LJZSITO,O,X,O,O,O,O,X
LJZSIOT,O,X,O,X,X,X,X
LJZSOTI,O,O,O,O,X,X,X
LJZSOIT,O,O,O,X,X,X,X
LJZOTIS,O,O,X,X,O,X,O
LJZOTSI,O,O,X,X,X,X,O
LJZOITS,O,O,X,X,O,X,X
LJZOIST,O,O,O,X,X,X,X
LJZOSTI,O,O,O,O,X,X,X
LJZOSIT,O,O,O,X,X,X,X
LJOTISZ,X,O,X,X,X,O,X
LJOTIZS,O,O,X,X,O,X,X
LJOTSIZ,X,O,X,X,X,X,X
LJOTSZI,X,O,X,X,X,X,X
LJOTZIS,O,O,X,X,X,X,X
LJOTZSI,O,O,X,X,X,X,X
LJOITSZ,X,O,X,X,X,O,X
LJOITZS,O,O,X,X,O,X,X
LJOISTZ,X,O,X,X,X,O,X
LJOISZT,O,O,X,X,X,X,X
LJOIZTS,O,O,X,X,O,X,X
LJOIZST,O,O,O,X,X,X,X
LJOSTIZ,X,O,O,O,X,X,X
LJOSTZI,X,O,O,O,X,X,X
LJOSITZ,X,O,O,X,X,O,X
LJOSIZT,O,O,O,X,X,X,X
LJOSZTI,O,O,O,O,X,X,X
LJOSZIT,O,O,O,X,X,X,X
LJOZTIS,O,O,X,X,O,X,O
LJOZTSI,O,O,X,X,X,X,O
LJOZITS,O,O,X,X,O,X,X
LJOZIST,O,O,O,X,X,X,X
LJOZSTI,O,O,O,O,X,X,X
LJOZSIT,O,O,O,X,X,X,X
LSTIJZO,X,O,O,O,O,O,X
LSTIJOZ,X,O,O,O,X,O,X
LSTIZJO,X,O,O,O,X,O,X
LSTIZOJ,X,O,O,O,X,X,X
LSTIOJZ,X,O,O,O,X,O,X
LSTIOZJ,X,O,O,O,X,X,X
LSTJIZO,X,O,O,O,O,O,X
LSTJIOZ,X,O,O,O,X,O,X
LSTJZIO,X,X,O,O,X,X,X
LSTJZOI,X,O,O,O,X,X,X
LSTJOIZ,X,O,O,O,X,X,X
LSTJOZI,X,O,O,O,X,X,X
LSTZIJO,X,X,O,O,X,X,X
LSTZIOJ,X,X,O,O,X,X,X
LSTZJIO,X,X,O,O,X,X,X
LSTZJOI,X,O,O,O,X,X,X
LSTZOIJ,X,X,O,O,X,X,X
LSTZOJI,X,O,O,O,X,X,X
LSTOIJZ,X,O,O,O,X,X,X
LSTOIZJ,X,O,O,O,X,X,X
LSTOJIZ,X,O,O,O,X,X,X
LSTOJZI,X,O,O,O,X,X,X
LSTOZIJ,X,X,O,O,X,X,X
LSTOZJI,X,O,O,O,X,X,X
LSITJZO,X,O,O,O,O,O,X
LSITJOZ,X,O,O,O,X,O,X
LSITZJO,X,O,O,O,X,O,X
LSITZOJ,X,O,O,O,X,X,X
LSITOJZ,X,O,O,O,X,O,X
LSITOZJ,X,O,O,O,X,X,X
