sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
IOTZLSJ,O,X,X,O,X,X
IOTZJLS,O,X,X,O,X,X
IOTZJSL,O,X,X,X,X,X
IOTZSLJ,O,X,X,O,X,X
IOTZSJL,O,X,X,X,X,O
IOLTJSZ,X,O,X,X,X,X
IOLTJZS,O,O,X,O,X,X
IOLTSJZ,X,O,X,X,X,X
IOLTSZJ,O,X,X,O,X,X
IOLTZJS,O,O,X,O,X,X
IOLTZSJ,O,X,X,O,X,X
IOLJTSZ,X,O,X,X,X,X
IOLJTZS,X,O,X,O,X,X
IOLJSTZ,X,O,O,X,O,X
IOLJSZT,X,O,O,X,O,X
IOLJZTS,X,O,X,O,X,X
IOLJZST,X,O,O,O,X,X
IOLSTJZ,X,O,X,X,O,X
IOLSTZJ,X,X,O,O,O,X
IOLSJTZ,X,O,X,X,O,X
IOLSJZT,X,O,O,X,O,X
IOLSZTJ,X,X,O,O,O,X
IOLSZJT,X,X,O,O,O,X
IOLZTJS,O,O,X,O,X,X
IOLZTSJ,O,X,X,O,X,X
IOLZJTS,X,O,X,O,X,X
IOLZJST,X,O,O,O,X,X
IOLZSTJ,O,X,O,O,X,X
IOLZSJT,O,X,O,O,X,O
IOJTLSZ,X,O,X,X,X,X
IOJTLZS,O,O,X,O,X,X
IOJTSLZ,X,X,X,X,O,X
IOJTSZL,X,X,X,X,O,X
IOJTZLS,O,X,X,O,X,X
IOJTZSL,O,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,X
IOJLTZS,X,O,X,O,X,X
IOJLSTZ,X,O,O,X,O,X
IOJLSZT,X,O,O,X,O,X
IOJLZTS,X,O,X,O,X,X
IOJLZST,X,O,O,O,X,X
IOJSTLZ,X,X,O,X,O,X
IOJSTZL,X,X,X,X,O,X
IOJSLTZ,X,X,O,X,O,X
IOJSLZT,X,X,O,X,O,X
IOJSZTL,X,X,O,X,O,O
IOJSZLT,X,X,O,X,O,O
IOJZTLS,O,X,X,O,X,X
IOJZTSL,O,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X
IOJZLST,X,X,O,O,X,X
IOJZSTL,O,X,O,X,O,O
IOJZSLT,O,X,O,O,O,O
IOSTLJZ,O,O,X,X,O,X
IOSTLZJ,O,X,O,O,O,X
IOSTJLZ,O,X,X,X,O,X
IOSTJZL,O,X,X,X,O,X
IOSTZLJ,O,X,X,O,O,X
IOSTZJL,O,X,X,X,X,X
IOSLTJZ,X,O,X,X,O,X
IOSLTZJ,X,X,O,O,O,X
IOSLJTZ,X,O,X,X,O,X
IOSLJZT,X,O,O,X,O,X
IOSLZTJ,X,X,O,O,O,X
IOSLZJT,X,X,O,O,O,X
IOSJTLZ,X,X,X,X,O,X
IOSJTZL,X,X,X,X,O,X
IOSJLTZ,X,X,X,X,O,X
IOSJLZT,O,X,O,X,O,X
IOSJZTL,O,X,X,X,O,O
IOSJZLT,O,X,X,X,O,O
IOSZTLJ,O,X,O,O,O,X
IOSZTJL,O,X,O,X,X,O
IOSZLTJ,O,X,O,O,O,X
IOSZLJT,O,X,O,O,O,O
IOSZJTL,O,X,X,X,O,O
IOSZJLT,O,X,O,O,O,O
IOZTLJS,O,O,X,O,X,X
IOZTLSJ,O,X,O,O,X,X
IOZTJLS,O,X,X,O,X,X
IOZTJSL,O,X,O,X,X,X
IOZTSLJ,O,X,O,O,X,X
IOZTSJL,O,X,O,X,X,O
IOZLTJS,O,O,X,O,X,X
IOZLTSJ,O,X,X,O,X,X
IOZLJTS,X,O,X,O,X,X
IOZLJST,X,O,O,O,X,X
IOZLSTJ,O,X,O,O,X,X
IOZLSJT,O,X,O,O,X,O
IOZJTLS,O,X,X,O,X,X
IOZJTSL,O,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X
IOZJLST,X,X,O,O,X,X
IOZJSTL,O,X,O,X,O,O
IOZJSLT,O,X,O,O,O,O
IOZSTLJ,O,X,O,O,O,X
IOZSTJL,O,X,O,X,X,O
IOZSLTJ,O,X,O,O,O,X
IOZSLJT,O,X,O,O,O,O
IOZSJTL,O,X,X,X,O,O
IOZSJLT,O,X,O,O,O,O
LTIJSZO,X,O,X,X,X,X
LTIJSOZ,X,O,X,X,X,X
LTIJZSO,O,O,X,O,X,X
LTIJZOS,O,O,X,O,X,X
LTIJOSZ,X,O,X,X,X,X
LTIJOZS,O,O,X,O,X,X
LTISJZO,O,O,X,X,X,X
LTISJOZ,O,O,X,X,X,X
LTISZJO,O,X,X,O,X,X
LTISZOJ,O,X,X,O,X,X
LTISOJZ,O,O,X,X,X,X
LTISOZJ,O,X,X,O,X,X
LTIZJSO,O,O,X,O,X,X
LTIZJOS,O,O,X,O,X,X
LTIZSJO,X,X,X,O,X,X
LTIZSOJ,O,X,X,O,X,X
LTIZOJS,O,O,X,O,X,X
LTIZOSJ,O,X,X,O,X,X
LTIOJSZ,X,O,X,X,X,X
LTIOJZS,O,O,X,O,X,X
LTIOSJZ,O,O,X,X,X,X
LTIOSZJ,O,X,X,O,X,X
LTIOZJS,O,O,X,O,X,X
LTIOZSJ,O,X,X,O,X,X
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,O,X,X,X,X
LTJIZSO,O,O,X,X,X,X
LTJIZOS,O,O,X,X,X,X
LTJIOSZ,X,O,X,X,X,X
LTJIOZS,O,O,X,X,X,X
LTJSIZO,O,O,X,X,X,X
LTJSIOZ,O,O,O,X,X,X
LTJSZIO,O,X,O,X,X,X
LTJSZOI,O,X,O,X,X,X
LTJSOIZ,O,O,O,X,X,X
LTJSOZI,O,X,O,X,X,X
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,O,X,X,X,X
LTJZSIO,O,X,O,X,X,X
LTJZSOI,O,X,O,X,X,X
LTJZOIS,O,O,X,X,X,X
LTJZOSI,O,X,O,X,X,X
LTJOISZ,X,O,X,X,X,X
LTJOIZS,O,O,X,X,X,X
LTJOSIZ,O,O,O,X,X,X
LTJOSZI,O,X,O,X,X,X
LTJOZIS,O,O,X,X,X,X
LTJOZSI,O,X,O,X,X,X
LTSIJZO,O,O,X,X,X,X
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,O,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X
LTSIOJZ,O,O,X,X,X,X
LTSIOZJ,O,X,O,X,X,X
LTSJIZO,O,O,X,X,X,X
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,X,X,X,X,X
LTSJZOI,O,X,X,X,X,X
LTSJOIZ,O,O,X,X,X,X
LTSJOZI,O,X,X,X,X,X
LTSZIJO,O,X,O,X,X,X
LTSZIOJ,O,X,O,X,X,X
LTSZJIO,O,X,O,X,X,X
LTSZJOI,O,X,O,X,X,X
LTSZOIJ,O,X,O,X,X,X
LTSZOJI,O,X,O,X,X,X
LTSOIJZ,O,O,X,X,X,X
LTSOIZJ,O,X,O,X,X,X
LTSOJIZ,O,O,X,X,X,X
LTSOJZI,O,X,X,X,X,X
LTSOZIJ,O,X,O,X,X,X
LTSOZJI,O,X,O,X,X,X
LTZIJSO,O,O,X,O,X,X
LTZIJOS,O,O,X,O,X,X
LTZISJO,X,X,X,O,X,X
LTZISOJ,O,X,X,O,X,X
LTZIOJS,O,O,X,O,X,X
LTZIOSJ,O,X,X,O,X,X
LTZJISO,O,O,X,X,X,X
LTZJIOS,O,O,X,X,X,X
LTZJSIO,O,X,O,X,X,X
LTZJSOI,O,X,O,X,X,X
LTZJOIS,O,O,X,X,X,X
LTZJOSI,O,X,O,X,X,X
LTZSIJO,O,X,O,X,X,X
LTZSIOJ,O,X,O,X,X,X
LTZSJIO,O,X,O,X,X,X
LTZSJOI,O,X,O,X,X,X
LTZSOIJ,O,X,O,X,X,X
LTZSOJI,O,X,O,X,X,X
LTZOIJS,O,O,X,O,X,X
LTZOISJ,O,X,X,O,X,X
LTZOJIS,O,O,X,X,X,X
LTZOJSI,O,X,O,X,X,X
LTZOSIJ,O,X,O,X,X,X
LTZOSJI,O,X,O,X,X,X
LTOIJSZ,X,O,X,X,X,X
LTOIJZS,O,O,X,O,X,X
LTOISJZ,O,O,X,X,X,X
LTOISZJ,O,X,X,O,X,X
LTOIZJS,O,O,X,O,X,X
LTOIZSJ,O,X,X,O,X,X
LTOJISZ,X,O,X,X,X,X
LTOJIZS,O,O,X,X,X,X
LTOJSIZ,O,O,O,X,X,X
LTOJSZI,O,X,O,X,X,X
LTOJZIS,O,O,X,X,X,X
LTOJZSI,O,X,O,X,X,X
LTOSIJZ,O,O,X,X,X,X
LTOSIZJ,O,X,O,X,X,X
LTOSJIZ,O,O,X,X,X,X
LTOSJZI,O,X,X,X,X,X
LTOSZIJ,O,X,O,X,X,X
LTOSZJI,O,X,O,X,X,X
LTOZIJS,O,O,X,O,X,X
LTOZISJ,O,X,X,O,X,X
LTOZJIS,O,O,X,X,X,X
LTOZJSI,O,X,O,X,X,X
LTOZSIJ,O,X,O,X,X,X
LTOZSJI,O,X,O,X,X,X
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,O,X,X,X,X
LITJZSO,X,O,X,O,X,X
LITJZOS,X,O,X,O,X,X
LITJOSZ,X,O,X,X,X,X
LITJOZS,O,O,X,O,X,X
LITSJZO,X,O,X,X,X,X
LITSJOZ,X,O,X,X,X,X
LITSZJO,X,X,X,O,X,X
LITSZOJ,X,X,X,O,X,X
LITSOJZ,X,O,X,X,X,X
LITSOZJ,O,X,X,O,X,X
LITZJSO,O,O,X,O,X,X
LITZJOS,O,O,X,O,X,X
LITZSJO,X,X,X,O,X,X
LITZSOJ,O,X,X,O,X,X
LITZOJS,O,O,X,O,X,X
LITZOSJ,O,X,X,O,X,X
LITOJSZ,X,O,X,X,X,X
LITOJZS,O,O,X,O,X,X
LITOSJZ,X,O,X,X,X,X
LITOSZJ,O,X,X,O,X,X
LITOZJS,O,O,X,O,X,X
LITOZSJ,O,X,X,O,X,X
LIJTSZO,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X
LIJTZSO,X,O,X,O,X,X
LIJTZOS,X,O,X,O,X,X
LIJTOSZ,X,O,X,X,X,X
LIJTOZS,X,O,X,O,X,X
LIJSTZO,X,O,X,X,O,X
LIJSTOZ,X,O,O,X,O,X
LIJSZTO,X,O,O,X,O,X
LIJSZOT,X,O,O,X,O,X
LIJSOTZ,X,O,O,X,O,X
LIJSOZT,X,O,O,X,O,X
LIJZTSO,X,O,X,O,X,X
LIJZTOS,X,O,X,O,X,X
LIJZSTO,X,O,O,O,X,X
LIJZSOT,X,O,O,O,X,X
LIJZOTS,X,O,X,O,X,X
LIJZOST,X,O,O,O,X,X
LIJOTSZ,X,O,X,X,X,X
LIJOTZS,X,O,X,O,X,X
LIJOSTZ,X,O,O,X,O,X
LIJOSZT,X,O,O,X,O,X
LIJOZTS,X,O,X,O,X,X
LIJOZST,X,O,O,O,X,X
LISTJZO,X,O,X,X,O,X
LISTJOZ,X,O,X,X,O,X
LISTZJO,X,X,X,O,X,X
LISTZOJ,X,X,X,O,O,X
LISTOJZ,X,O,X,X,O,X
LISTOZJ,X,X,O,O,O,X
LISJTZO,X,O,X,X,O,X
LISJTOZ,X,O,X,X,O,X
LISJZTO,X,O,X,X,O,X
LISJZOT,X,O,X,X,O,X
LISJOTZ,X,O,X,X,O,X
LISJOZT,X,O,O,X,O,X
LISZTJO,X,X,O,O,X,X
LISZTOJ,X,X,O,O,O,X
LISZJTO,X,X,X,O,O,X
LISZJOT,X,X,O,O,O,X
LISZOTJ,X,X,O,O,O,X
LISZOJT,X,X,O,O,O,X
LISOTJZ,X,O,X,X,O,X
LISOTZJ,X,X,O,O,O,X
LISOJTZ,X,O,X,X,O,X
LISOJZT,X,O,O,X,O,X
LISOZTJ,X,X,O,O,O,X
LISOZJT,X,X,O,O,O,X
LIZTJSO,O,O,X,O,X,X
LIZTJOS,O,O,X,O,X,X
LIZTSJO,X,X,X,O,X,X
LIZTSOJ,O,X,X,O,X,X
LIZTOJS,O,O,X,O,X,X
LIZTOSJ,O,X,X,O,X,X
LIZJTSO,X,O,X,O,X,X
LIZJTOS,X,O,X,O,X,X
LIZJSTO,X,O,O,O,X,X
LIZJSOT,X,O,O,O,X,X
LIZJOTS,X,O,X,O,X,X
LIZJOST,X,O,O,O,X,X
LIZSTJO,O,X,O,O,X,X
LIZSTOJ,O,X,O,O,X,X
LIZSJTO,O,X,X,O,X,O
LIZSJOT,O,X,O,O,X,O
LIZSOTJ,O,X,O,O,X,X
LIZSOJT,O,X,O,O,X,O
LIZOTJS,O,O,X,O,X,X
LIZOTSJ,O,X,X,O,X,X
LIZOJTS,X,O,X,O,X,X
LIZOJST,X,O,O,O,X,X
LIZOSTJ,O,X,O,O,X,X
LIZOSJT,O,X,O,O,X,O
LIOTJSZ,X,O,X,X,X,X
LIOTJZS,O,O,X,O,X,X
LIOTSJZ,X,O,X,X,X,X
LIOTSZJ,O,X,X,O,X,X
LIOTZJS,O,O,X,O,X,X
LIOTZSJ,O,X,X,O,X,X
LIOJTSZ,X,O,X,X,X,X
LIOJTZS,X,O,X,O,X,X
LIOJSTZ,X,O,O,X,O,X
LIOJSZT,X,O,O,X,O,X
LIOJZTS,X,O,X,O,X,X
LIOJZST,X,O,O,O,X,X
LIOSTJZ,X,O,X,X,O,X
LIOSTZJ,X,X,O,O,O,X
LIOSJTZ,X,O,X,X,O,X
LIOSJZT,X,O,O,X,O,X
LIOSZTJ,X,X,O,O,O,X
LIOSZJT,X,X,O,O,O,X
LIOZTJS,O,O,X,O,X,X
LIOZTSJ,O,X,X,O,X,X
LIOZJTS,X,O,X,O,X,X
LIOZJST,X,O,O,O,X,X
LIOZSTJ,O,X,O,O,X,X
LIOZSJT,O,X,O,O,X,O
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,X,X,X
LJTIZSO,X,O,X,X,X,X
LJTIZOS,X,O,X,X,X,X
LJTIOSZ,X,O,X,X,X,X
LJTIOZS,X,O,X,X,X,X
LJTSIZO,X,O,X,X,X,X
LJTSIOZ,X,O,O,X,X,X
LJTSZIO,X,X,O,X,X,X
LJTSZOI,X,X,O,X,X,X
LJTSOIZ,X,O,O,X,X,X
LJTSOZI,X,X,O,X,X,X
LJTZISO,X,O,X,X,X,X
LJTZIOS,X,O,X,X,X,X
LJTZSIO,X,X,O,X,X,X
LJTZSOI,X,X,O,X,X,X
LJTZOIS,X,O,X,X,X,X
LJTZOSI,X,X,O,X,X,X
LJTOISZ,X,O,X,X,X,X
LJTOIZS,X,O,X,X,X,X
LJTOSIZ,X,O,O,X,X,X
LJTOSZI,X,X,O,X,X,X
LJTOZIS,X,O,X,X,X,X
LJTOZSI,X,X,O,X,X,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,O,X,X,X,X
LJITZSO,X,O,X,X,X,X
LJITZOS,X,O,X,X,X,X
LJITOSZ,X,O,X,X,X,X
LJITOZS,X,O,X,X,X,X
LJISTZO,X,O,X,X,O,X
LJISTOZ,X,O,O,X,O,X
LJISZTO,X,O,O,X,O,X
LJISZOT,X,O,O,X,O,X
LJISOTZ,X,O,O,X,O,X
LJISOZT,X,O,O,X,O,X
LJIZTSO,X,O,X,X,X,X
LJIZTOS,X,O,X,X,X,X
LJIZSTO,X,O,O,X,X,X
LJIZSOT,X,O,O,X,X,X
LJIZOTS,X,O,X,X,X,X
LJIZOST,X,O,O,X,X,X
LJIOTSZ,X,O,X,X,X,X
LJIOTZS,X,O,X,X,X,X
LJIOSTZ,X,O,O,X,O,X
LJIOSZT,X,O,O,X,O,X
LJIOZTS,X,O,X,X,X,X
LJIOZST,X,O,O,X,X,X
LJSTIZO,X,O,X,X,O,X
LJSTIOZ,X,O,O,X,O,X
LJSTZIO,X,X,O,X,O,X
LJSTZOI,X,X,O,X,O,X
LJSTOIZ,X,O,O,X,O,X
LJSTOZI,X,X,O,X,O,X
LJSITZO,X,O,X,X,O,X
LJSITOZ,X,O,O,X,O,X
LJSIZTO,X,O,O,X,O,X
LJSIZOT,X,O,O,X,O,X
LJSIOTZ,X,O,O,X,O,X
LJSIOZT,X,O,O,X,O,X
LJSZTIO,X,X,O,X,O,O
LJSZTOI,X,X,O,X,O,O
LJSZITO,X,X,O,X,O,O
LJSZIOT,X,X,O,X,O,O
LJSZOTI,X,X,O,X,O,O
LJSZOIT,X,X,O,X,O,O
LJSOTIZ,X,O,O,X,O,X
LJSOTZI,X,X,O,X,O,X
LJSOITZ,X,O,O,X,O,X
LJSOIZT,X,O,O,X,O,X
LJSOZTI,X,X,O,X,O,O
LJSOZIT,X,X,O,X,O,O
LJZTISO,X,O,X,X,X,X
LJZTIOS,X,O,X,X,X,X
LJZTSIO,X,X,O,X,X,X
LJZTSOI,X,X,O,X,X,X
LJZTOIS,X,O,X,X,X,X
LJZTOSI,X,X,O,X,X,X
LJZITSO,X,O,X,X,X,X
LJZITOS,X,O,X,X,X,X
LJZISTO,X,O,O,X,X,X
LJZISOT,X,O,O,X,X,X
LJZIOTS,X,O,X,X,X,X
LJZIOST,X,O,O,X,X,X
LJZSTIO,X,X,O,X,X,O
LJZSTOI,X,X,O,X,X,O
LJZSITO,X,X,O,X,X,O
LJZSIOT,X,X,O,X,X,O
LJZSOTI,X,X,O,X,X,O
LJZSOIT,X,X,O,X,X,O
LJZOTIS,X,O,X,X,X,X
LJZOTSI,X,X,O,X,X,X
LJZOITS,X,O,X,X,X,X
LJZOIST,X,O,O,X,X,X
LJZOSTI,X,X,O,X,X,O
LJZOSIT,X,X,O,X,X,O
LJOTISZ,X,O,X,X,X,X
LJOTIZS,X,O,X,X,X,X
LJOTSIZ,X,O,O,X,X,X
LJOTSZI,X,X,O,X,X,X
LJOTZIS,X,O,X,X,X,X
LJOTZSI,X,X,O,X,X,X
LJOITSZ,X,O,X,X,X,X
LJOITZS,X,O,X,X,X,X
LJOISTZ,X,O,O,X,O,X
LJOISZT,X,O,O,X,O,X
LJOIZTS,X,O,X,X,X,X
LJOIZST,X,O,O,X,X,X
LJOSTIZ,X,O,O,X,O,X
LJOSTZI,X,X,O,X,O,X
LJOSITZ,X,O,O,X,O,X
LJOSIZT,X,O,O,X,O,X
LJOSZTI,X,X,O,X,O,O
LJOSZIT,X,X,O,X,O,O
LJOZTIS,X,O,X,X,X,X
LJOZTSI,X,X,O,X,X,X
LJOZITS,X,O,X,X,X,X
LJOZIST,X,O,O,X,X,X
LJOZSTI,X,X,O,X,X,O
LJOZSIT,X,X,O,X,X,O
LSTIJZO,O,O,X,X,O,X
LSTIJOZ,O,O,X,X,O,X
LSTIZJO,O,X,X,X,X,X
LSTIZOJ,O,X,X,X,O,X
LSTIOJZ,O,O,X,X,O,X
LSTIOZJ,O,X,O,X,O,X
LSTJIZO,O,O,X,X,O,X
LSTJIOZ,O,O,X,X,O,X
LSTJZIO,O,X,X,X,O,X
LSTJZOI,O,X,X,X,O,X
LSTJOIZ,O,O,X,X,O,X
LSTJOZI,O,X,X,X,O,X
LSTZIJO,O,X,O,X,X,X
LSTZIOJ,O,X,O,X,O,X
LSTZJIO,O,X,O,X,X,X
LSTZJOI,O,X,O,X,X,X
LSTZOIJ,O,X,O,X,O,X
LSTZOJI,O,X,O,X,X,X
LSTOIJZ,O,O,X,X,O,X
LSTOIZJ,O,X,O,X,O,X
LSTOJIZ,O,O,X,X,O,X
LSTOJZI,O,X,X,X,O,X
LSTOZIJ,O,X,O,X,O,X
LSTOZJI,O,X,O,X,X,X
LSITJZO,X,O,X,X,O,X
LSITJOZ,X,O,X,X,O,X
LSITZJO,X,X,X,X,X,X
LSITZOJ,X,X,X,X,O,X
LSITOJZ,X,O,X,X,O,X
LSITOZJ,X,X,O,X,O,X
LSIJTZO,X,O,X,X,O,X
LSIJTOZ,X,O,X,X,O,X
LSIJZTO,X,O,X,X,O,X
LSIJZOT,X,O,X,X,O,X
LSIJOTZ,X,O,X,X,O,X
LSIJOZT,X,O,O,X,O,X
LSIZTJO,X,X,O,X,X,X
LSIZTOJ,X,X,O,X,O,X
LSIZJTO,X,X,X,X,O,X
LSIZJOT,X,X,O,X,O,X
LSIZOTJ,X,X,O,X,O,X
LSIZOJT,X,X,O,X,O,X
LSIOTJZ,X,O,X,X,O,X
LSIOTZJ,X,X,O,X,O,X
LSIOJTZ,X,O,X,X,O,X
LSIOJZT,X,O,O,X,O,X
LSIOZTJ,X,X,O,X,O,X
LSIOZJT,X,X,O,X,O,X
LSJTIZO,X,O,X,X,O,X
LSJTIOZ,X,O,O,X,O,X
LSJTZIO,O,X,O,X,O,X
LSJTZOI,O,X,O,X,O,X
LSJTOIZ,X,O,O,X,O,X
LSJTOZI,O,X,O,X,O,X
LSJITZO,X,O,X,X,O,X
LSJITOZ,X,O,O,X,O,X
LSJIZTO,O,O,O,X,O,X
LSJIZOT,O,O,O,X,O,X
LSJIOTZ,X,O,O,X,O,X
LSJIOZT,O,O,O,X,O,X
LSJZTIO,O,X,O,X,O,O
LSJZTOI,O,X,O,X,O,O
LSJZITO,O,X,O,X,O,O
LSJZIOT,O,X,O,X,O,O
LSJZOTI,O,X,O,X,O,O
LSJZOIT,O,X,O,X,O,O
LSJOTIZ,X,O,O,X,O,X
LSJOTZI,O,X,O,X,O,X
LSJOITZ,X,O,O,X,O,X
LSJOIZT,O,O,O,X,O,X
LSJOZTI,O,X,O,X,O,O
LSJOZIT,O,X,O,X,O,O
LSZTIJO,O,X,O,X,X,X
LSZTIOJ,O,X,O,X,O,X
LSZTJIO,O,X,O,X,X,X
LSZTJOI,O,X,O,X,X,X
LSZTOIJ,O,X,O,X,O,X
LSZTOJI,O,X,O,X,X,X
LSZITJO,O,X,O,X,X,X
LSZITOJ,O,X,O,X,O,X
LSZIJTO,O,X,X,X,O,O
LSZIJOT,O,X,O,X,O,O
LSZIOTJ,O,X,O,X,O,X
LSZIOJT,O,X,O,X,O,O
LSZJTIO,O,X,O,X,O,O
LSZJTOI,O,X,O,X,O,O
LSZJITO,O,X,O,X,O,O
LSZJIOT,O,X,O,X,O,O
LSZJOTI,O,X,O,X,O,O
LSZJOIT,O,X,O,X,O,O
LSZOTIJ,O,X,O,X,O,X
LSZOTJI,O,X,O,X,X,X
LSZOITJ,O,X,O,X,O,X
LSZOIJT,O,X,O,X,O,O
LSZOJTI,O,X,O,X,O,O
LSZOJIT,O,X,O,X,O,O
LSOTIJZ,O,O,X,X,O,X
LSOTIZJ,O,X,O,X,O,X
LSOTJIZ,O,O,X,X,O,X
LSOTJZI,O,X,X,X,O,X
LSOTZIJ,O,X,O,X,O,X
LSOTZJI,O,X,O,X,X,X
LSOITJZ,X,O,X,X,O,X
LSOITZJ,X,X,O,X,O,X
LSOIJTZ,X,O,X,X,O,X
LSOIJZT,X,O,O,X,O,X
LSOIZTJ,X,X,O,X,O,X
LSOIZJT,X,X,O,X,O,X
LSOJTIZ,X,O,O,X,O,X
LSOJTZI,O,X,O,X,O,X
LSOJITZ,X,O,O,X,O,X
LSOJIZT,O,O,O,X,O,X
LSOJZTI,O,X,O,X,O,O
LSOJZIT,O,X,O,X,O,O
LSOZTIJ,O,X,O,X,O,X
LSOZTJI,O,X,O,X,X,X
LSOZITJ,O,X,O,X,O,X
LSOZIJT,O,X,O,X,O,O
LSOZJTI,O,X,O,X,O,O
LSOZJIT,O,X,O,X,O,O
LZTIJSO,O,O,X,O,X,X
LZTIJOS,O,O,X,O,X,X
LZTISJO,X,X,O,O,X,X
LZTISOJ,O,X,O,O,X,X
LZTIOJS,O,O,X,O,X,X
LZTIOSJ,O,X,O,O,X,X
LZTJISO,O,O,X,X,X,X
LZTJIOS,O,O,X,X,X,X
LZTJSIO,O,X,O,X,X,X
LZTJSOI,O,X,O,X,X,X
LZTJOIS,O,O,X,X,X,X
LZTJOSI,O,X,O,X,X,X
LZTSIJO,X,X,O,X,X,X
LZTSIOJ,O,X,O,X,X,X
LZTSJIO,O,X,O,X,X,X
LZTSJOI,O,X,O,X,X,X
LZTSOIJ,O,X,O,X,X,X
LZTSOJI,O,X,O,X,X,X
LZTOIJS,O,O,X,O,X,X
LZTOISJ,O,X,O,O,X,X
LZTOJIS,O,O,X,X,X,X
LZTOJSI,O,X,O,X,X,X
LZTOSIJ,O,X,O,X,X,X
LZTOSJI,O,X,O,X,X,X
LZITJSO,O,O,X,O,X,X
LZITJOS,O,O,X,O,X,X
LZITSJO,X,X,X,O,X,X
LZITSOJ,O,X,X,O,X,X
LZITOJS,O,O,X,O,X,X
LZITOSJ,O,X,X,O,X,X
LZIJTSO,X,O,X,O,X,X
LZIJTOS,X,O,X,O,X,X
LZIJSTO,X,O,O,O,X,X
LZIJSOT,X,O,O,O,X,X
LZIJOTS,X,O,X,O,X,X
LZIJOST,X,O,O,O,X,X
LZISTJO,O,X,O,O,X,X
LZISTOJ,O,X,O,O,X,X
LZISJTO,O,X,X,O,X,O
LZISJOT,O,X,O,O,X,O
LZISOTJ,O,X,O,O,X,X
LZISOJT,O,X,O,O,X,O
LZIOTJS,O,O,X,O,X,X
LZIOTSJ,O,X,X,O,X,X
LZIOJTS,X,O,X,O,X,X
LZIOJST,X,O,O,O,X,X
LZIOSTJ,O,X,O,O,X,X
LZIOSJT,O,X,O,O,X,O
LZJTISO,X,O,X,X,X,X
LZJTIOS,X,O,X,X,X,X
LZJTSIO,X,X,O,X,X,X
LZJTSOI,X,X,O,X,X,X
LZJTOIS,X,O,X,X,X,X
LZJTOSI,X,X,O,X,X,X
LZJITSO,X,O,X,O,X,X
LZJITOS,X,O,X,O,X,X
LZJISTO,X,O,O,O,X,X
LZJISOT,X,O,O,O,X,X
LZJIOTS,X,O,X,O,X,X
LZJIOST,X,O,O,O,X,X
LZJSTIO,X,X,O,X,X,O
LZJSTOI,X,X,O,X,X,O
LZJSITO,X,X,O,X,X,O
LZJSIOT,X,X,O,X,X,O
LZJSOTI,X,X,O,X,X,O
LZJSOIT,X,X,O,X,X,O
LZJOTIS,X,O,X,X,X,X
LZJOTSI,X,X,O,X,X,X
LZJOITS,X,O,X,O,X,X
LZJOIST,X,O,O,O,X,X
LZJOSTI,X,X,O,X,X,O
LZJOSIT,X,X,O,X,X,O
LZSTIJO,O,X,O,X,X,X
LZSTIOJ,O,X,O,X,X,X
LZSTJIO,O,X,O,X,X,X
LZSTJOI,O,X,O,X,X,X
LZSTOIJ,O,X,O,X,X,X
LZSTOJI,O,X,O,X,X,X
LZSITJO,O,X,O,X,X,X
LZSITOJ,O,X,O,X,X,X
LZSIJTO,O,X,X,X,X,O
LZSIJOT,O,X,O,X,X,O
LZSIOTJ,O,X,O,X,X,X
LZSIOJT,O,X,O,X,X,O
LZSJTIO,O,X,O,X,X,O
LZSJTOI,O,X,O,X,X,O
LZSJITO,O,X,O,X,X,O
LZSJIOT,O,X,O,X,X,O
LZSJOTI,O,X,O,X,X,O
LZSJOIT,O,X,O,X,X,O
LZSOTIJ,O,X,O,X,X,X
LZSOTJI,O,X,O,X,X,X
LZSOITJ,O,X,O,X,X,X
LZSOIJT,O,X,O,X,X,O
LZSOJTI,O,X,O,X,X,O
LZSOJIT,O,X,O,X,X,O
LZOTIJS,O,O,X,O,X,X
LZOTISJ,O,X,O,O,X,X
LZOTJIS,O,O,X,X,X,X
