sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TLOSIZJ,O,O,O,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,X,X,X
TLOSJZI,O,O,O,X,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,X
TLOSZJI,O,O,O,X,O,X,X,X
TLOZIJS,O,O,X,O,O,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,X,X,X
TLOZJSI,O,O,X,X,O,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X
TLOZSJI,O,O,X,X,O,X,X,X
TJILSZO,X,X,O,X,X,X,X,X
TJILSOZ,X,X,O,O,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,X
TJILZOS,X,X,X,O,O,O,X,X
TJILOSZ,X,X,O,O,X,O,O,X
TJILOZS,X,X,X,O,O,O,O,X
TJISLZO,O,O,O,X,X,X,X,X
TJISLOZ,O,O,O,O,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X
TJISOLZ,O,O,O,O,X,X,O,X
TJISOZL,O,O,O,X,X,X,O,X
TJIZLSO,O,O,X,X,O,X,X,X
TJIZLOS,O,O,X,O,O,O,X,X
TJIZSLO,O,O,O,X,O,X,X,X
TJIZSOL,O,O,O,X,O,X,X,X
TJIZOLS,O,O,X,O,O,O,O,X
TJIZOSL,O,O,O,X,O,X,O,X
TJIOLSZ,X,X,O,O,X,O,O,X
TJIOLZS,X,X,X,O,O,O,O,X
TJIOSLZ,O,O,O,O,X,X,O,X
TJIOSZL,O,O,O,X,X,X,O,X
TJIOZLS,O,O,X,O,O,X,O,X
TJIOZSL,O,O,O,X,O,X,O,X
TJLISZO,X,X,O,X,X,X,X,X
TJLISOZ,X,X,O,O,X,X,X,X
TJLIZSO,X,X,X,X,O,X,X,X
TJLIZOS,X,X,X,O,O,O,X,X
TJLIOSZ,X,X,O,O,X,O,O,X
TJLIOZS,X,X,X,O,O,O,O,X
TJLSIZO,X,X,O,X,X,O,X,X
TJLSIOZ,X,X,O,O,X,O,X,X
TJLSZIO,X,X,O,X,O,O,X,X
TJLSZOI,X,X,O,X,O,O,X,X
TJLSOIZ,X,X,O,O,X,O,X,X
TJLSOZI,X,X,O,X,O,X,X,X
TJLZISO,X,X,X,X,O,X,X,X
TJLZIOS,X,X,X,O,O,O,X,X
TJLZSIO,X,X,X,X,O,O,X,X
TJLZSOI,X,X,X,X,O,O,X,X
TJLZOIS,X,X,X,O,O,O,X,X
TJLZOSI,X,X,X,X,O,O,X,X
TJLOISZ,X,X,O,O,X,O,O,X
TJLOIZS,X,X,X,O,O,O,O,X
TJLOSIZ,X,X,O,O,X,O,X,X
TJLOSZI,X,X,O,X,O,X,X,X
TJLOZIS,X,X,X,O,O,X,X,X
TJLOZSI,X,X,X,X,O,X,X,X
TJSILZO,O,O,O,X,X,O,X,X
TJSILOZ,O,O,O,O,X,O,X,X
TJSIZLO,O,O,O,X,X,O,X,X
TJSIZOL,O,O,O,X,X,O,X,X
