sequence,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBfiB?xdBCjBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jBaoB3iBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jB3iBaoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBfiB?xdBGjBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFGeB3gB?RiBUiBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFRdBSjB?UiB3gBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFzcBGeB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFfiBxdB?TgBSoBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhFyhBTgB?3iBcoBGoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBFdB?5jBmnB8nBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dBTgB?OsBXtB6tBlrB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFRdBcjB?TgBXnBStBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jez8IvhFGeBigB?/oBRsBcsBlqB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFzcBSjB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhF5jB3gB?mnB8nBzmBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFUdB5jB?TgBlnBaoBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dB6jB?TgBXnBVtBmrB
JLISZOT,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X
JLISOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLISOZT,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JLIZTSO,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLIZTOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLIZSTO,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLIZSOT,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLIZOTS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLIZOST,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLIOTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOTZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOSTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOSZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOZTS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOZST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSTIZO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JLSTIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSTZIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLSTZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSITZO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JLSITOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLSIZTO,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X
JLSIZOT,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X
JLSIOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLSIOZT,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
JLSZTIO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLSZTOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZITO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JLSZIOT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JLSZOTI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLSZOIT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLSOTIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSOTZI,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JLSOITZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JLSOIZT,X,X,X,O,X,X,X,X,X,O,O,O,O,X,O,X,X
JLSOZTI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLSOZIT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLZTISO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZTIOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLZTSIO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZTSOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITSO,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLZITOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLZISTO,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JLZISOT,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JLZIOTS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLZIOST,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JLZSTIO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZSTOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSITO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZSIOT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZSOTI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLZSOIT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZOTIS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZOTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZOITS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLZOIST,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JLZOSTI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLZOSIT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOTISZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JLOTIZS,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JLOTSIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSZI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOTZIS,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOTZSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOITSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOITZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOISTZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOISZT,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JLOIZTS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLOIZST,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLOSTIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOSTZI,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JLOSITZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOSIZT,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JLOSZTI,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JLOSZIT,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JLOZTIS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOZTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOZITS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLOZIST,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JLOZSTI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOZSIT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSTILZO,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X
JSTILOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
JSTIZLO,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X
JSTIZOL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X
JSTIOLZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
JSTIOZL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
JSTLIZO,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X
JSTLIOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
JSTLZIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSTLZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSTLOIZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSTLOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JSTZILO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTZIOL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTZLIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTZLOI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSTZOIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JSTZOLI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JSTOILZ,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,O
JSTOIZL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
JSTOLIZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
JSTOLZI,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O
JSTOZIL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O
JSTOZLI,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O
JSITLZO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JSITLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSITZLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSITZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSITOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSITOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSILTZO,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X
JSILTOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSILZTO,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
JSILZOT,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
JSILOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSILOZT,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JSIZTLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSIZTOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSIZLTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JSIZLOT,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JSIZOTL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JSIZOLT,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JSIOTLZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSIOTZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSIOLTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JSIOLZT,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
JSIOZTL,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JSIOZLT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JSLTIZO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
JSLTIOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JSLTZIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLTZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X
JSLITOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSLIZTO,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
JSLIZOT,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
JSLIOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSLIOZT,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JSLZTIO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLZTOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JSLZIOT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JSLZOTI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JSLZOIT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JSLOTIZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSLOTZI,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JSLOITZ,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
JSLOIZT,X,X,X,O,O,X,X,X,X,O,O,O,O,X,O,X,X
JSLOZTI,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JSLOZIT,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JSZTILO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZTOLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZITLO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSZITOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSZILTO,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X
JSZILOT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X
JSZIOTL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JSZIOLT,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
JSZLTIO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZLTOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X
JSZLIOT,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X
JSZLOTI,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZLOIT,O,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JSZOTIL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOTLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOITL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOILT,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOLTI,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOLIT,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOTILZ,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O
JSOTIZL,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JSOTLIZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JSOTLZI,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O
JSOTZIL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O
JSOTZLI,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O
JSOITLZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O
JSOITZL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O
JSOILTZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
JSOILZT,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
JSOIZTL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JSOIZLT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
JSOLTIZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSOLTZI,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JSOLITZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
JSOLIZT,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
JSOLZTI,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOLZIT,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOZTIL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOZTLI,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZILT,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSOZLTI,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOZLIT,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JZTILSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZTISLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZTIOSL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTSOLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOILS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZTOISL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOLIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITLSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZILTOS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZILSTO,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZILSOT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZILOTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZILOST,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZISTLO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZISTOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZISLTO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZISLOT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZISOTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZISOLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZIOTLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLTIOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLTSIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLTSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JZLITOS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZLISTO,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JZLISOT,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JZLIOTS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZLIOST,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JZLSTIO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLSTOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLSIOT,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLSOTI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLOTIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JZLOIST,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
JZLOSTI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSTILO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSITLO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSITOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSILTO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZSILOT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZSIOTL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZSIOLT,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JZSLTIO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSLTOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X
JZSLIOT,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X
JZSLOTI,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZSLOIT,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X
JZSOTIL,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZSOTLI,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZSOITL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZSOLTI,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZSOLIT,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZOTILS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOTISL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOTLIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOTSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOITLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
