sequence,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je08IvhFxdBflBlgBO?rB6qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhF0cBxdBWlB/?mBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je07IvhFxdBzfBumBX?hBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBu?qBirB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Jex9IvhFflB0gBlhB6?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBq?qB2rB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhF+gBxdBlhBy?qBzrBXrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBmrBTrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFOhBxdBSlB1?rB0qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFxdBUhBFlBa?sBTmBWwB
ILJTOZS,X,O,O,X,X,X,X,X,X,X,X
ILJSTZO,O,O,X,O,X,X,O,X,X,X,X
ILJSTOZ,X,O,O,O,X,X,O,X,X,X,X
ILJSZTO,O,O,X,O,X,X,O,X,X,O,X
ILJSZOT,X,O,X,O,X,X,O,X,X,X,X
ILJSOTZ,X,O,O,O,X,X,O,X,X,X,X
ILJSOZT,X,O,O,O,X,X,O,X,X,X,X
ILJZTSO,X,O,X,O,X,X,O,X,X,O,X
ILJZTOS,X,O,O,X,X,X,X,X,X,O,X
ILJZSTO,O,O,X,O,X,X,O,X,O,O,X
ILJZSOT,X,O,X,O,X,X,O,X,O,X,X
ILJZOTS,X,O,O,X,X,X,X,X,X,X,X
ILJZOST,X,O,O,X,X,X,X,X,X,X,X
ILJOTSZ,X,O,O,O,X,X,O,X,X,X,X
ILJOTZS,X,O,O,X,X,X,X,X,X,X,X
ILJOSTZ,X,O,O,O,X,X,O,X,X,X,X
ILJOSZT,X,O,O,O,X,X,O,X,X,X,X
ILJOZTS,X,O,O,X,X,X,X,X,X,X,X
ILJOZST,X,O,O,X,X,X,X,X,X,X,X
ILSTJZO,X,O,X,O,X,X,O,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,O,X,X,X,X
ILSTZJO,X,O,X,X,O,X,X,X,X,O,X
ILSTZOJ,X,O,X,X,O,X,O,X,X,O,X
ILSTOJZ,X,O,X,O,X,X,O,X,X,X,X
ILSTOZJ,X,O,X,X,X,X,O,X,X,X,X
ILSJTZO,O,O,X,O,X,X,O,X,X,X,X
ILSJTOZ,X,O,O,O,X,X,O,X,X,X,X
ILSJZTO,O,O,X,O,X,X,O,X,X,O,X
ILSJZOT,X,O,X,O,X,X,O,X,X,X,X
ILSJOTZ,X,O,O,O,X,X,O,X,X,X,X
ILSJOZT,X,O,O,O,X,X,O,X,X,X,X
ILSZTJO,X,O,X,X,O,X,X,X,X,O,X
ILSZTOJ,X,O,X,X,O,X,O,X,X,O,X
ILSZJTO,O,O,X,O,X,X,O,X,X,O,X
ILSZJOT,X,O,X,O,X,X,O,X,X,X,X
ILSZOTJ,X,O,X,X,X,X,O,X,X,O,X
ILSZOJT,X,O,X,X,X,X,O,X,X,X,X
ILSOTJZ,X,O,X,O,X,X,O,X,X,X,X
ILSOTZJ,X,O,X,X,O,X,O,X,X,X,X
ILSOJTZ,O,O,O,O,X,X,O,X,X,X,X
ILSOJZT,O,O,O,O,X,X,O,X,X,X,X
ILSOZTJ,X,O,X,X,O,X,O,X,X,O,X
ILSOZJT,O,O,X,X,X,X,O,X,X,X,X
ILZTJSO,X,O,X,X,X,X,X,X,X,O,X
ILZTJOS,X,O,X,X,X,X,X,O,X,O,X
ILZTSJO,X,O,X,X,X,X,X,X,X,O,X
ILZTSOJ,X,O,X,X,X,X,O,X,X,O,X
ILZTOJS,X,X,X,X,X,X,X,X,X,O,X
ILZTOSJ,X,X,X,X,X,X,X,X,X,O,X
ILZJTSO,X,O,X,O,X,X,O,X,X,O,X
ILZJTOS,X,O,O,X,X,X,X,O,X,O,X
ILZJSTO,O,O,X,O,X,X,O,X,O,O,X
ILZJSOT,X,O,X,O,X,X,O,X,O,X,X
ILZJOTS,X,O,O,X,X,X,X,X,X,X,X
ILZJOST,X,O,O,X,X,X,X,X,X,X,X
ILZSTJO,X,O,X,X,X,O,X,X,O,O,X
ILZSTOJ,X,O,X,X,X,O,O,X,O,O,X
ILZSJTO,O,O,X,O,X,O,O,X,O,O,X
ILZSJOT,X,O,X,O,X,X,O,X,O,X,X
ILZSOTJ,X,O,X,X,X,O,O,X,O,O,X
ILZSOJT,X,O,X,X,X,O,O,X,O,X,X
ILZOTJS,X,X,X,X,X,X,X,O,X,O,X
ILZOTSJ,X,X,X,X,X,X,X,O,X,O,X
ILZOJTS,X,X,O,X,X,X,X,O,X,X,X
ILZOJST,O,X,O,X,X,X,X,O,X,X,X
ILZOSTJ,X,O,X,X,X,O,X,O,X,O,X
ILZOSJT,O,O,X,X,X,O,X,O,X,X,X
ILOTJSZ,X,O,O,X,X,X,X,X,X,X,X
ILOTJZS,X,O,O,X,X,X,X,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,O,X,X,X,X
ILOTSZJ,X,O,X,X,O,X,O,O,X,X,X
ILOTZJS,X,X,O,X,X,X,X,O,X,X,X
ILOTZSJ,X,X,X,X,X,X,X,O,X,X,X
ILOJTSZ,X,O,O,O,X,X,O,X,X,X,X
ILOJTZS,X,O,O,X,X,X,X,O,X,X,X
ILOJSTZ,O,O,O,O,X,X,O,X,X,X,X
ILOJSZT,O,O,O,O,X,X,O,X,X,X,X
ILOJZTS,X,O,O,X,X,X,X,O,X,X,X
ILOJZST,O,O,O,X,X,X,X,O,X,X,X
ILOSTJZ,X,O,X,X,X,X,O,X,X,X,X
ILOSTZJ,X,O,X,X,O,X,O,O,X,X,X
ILOSJTZ,O,O,O,O,X,X,O,X,X,X,X
ILOSJZT,O,O,O,O,X,X,O,X,X,X,X
ILOSZTJ,X,O,X,X,O,X,O,O,X,O,X
ILOSZJT,O,O,X,X,X,X,O,O,X,X,X
ILOZTJS,X,X,X,X,X,X,X,O,X,O,X
ILOZTSJ,X,X,X,X,X,X,X,O,X,O,X
ILOZJTS,X,X,O,X,X,X,X,O,X,X,X
ILOZJST,O,X,O,X,X,X,X,O,X,X,X
ILOZSTJ,X,O,X,X,X,O,X,O,X,O,X
ILOZSJT,O,O,X,X,X,O,X,O,X,X,X
IJTLSZO,X,O,X,O,X,X,X,X,X,X,X
IJTLSOZ,X,O,O,O,X,X,O,X,X,X,X
IJTLZSO,X,O,X,O,X,X,X,X,X,X,X
IJTLZOS,X,O,O,X,X,X,X,X,X,X,X
IJTLOSZ,X,O,O,O,X,X,X,X,X,X,X
IJTLOZS,X,O,O,X,X,X,X,X,X,X,X
IJTSLZO,O,O,X,O,X,X,X,X,X,X,X
IJTSLOZ,X,O,X,O,X,X,O,X,X,X,X
IJTSZLO,O,O,X,X,O,X,X,X,X,X,O
IJTSZOL,O,O,X,O,O,X,X,X,X,X,X
IJTSOLZ,X,O,X,O,X,X,X,X,X,X,X
IJTSOZL,O,O,O,O,X,X,X,X,X,X,X
IJTZLSO,X,X,X,X,X,X,X,X,X,X,O
IJTZLOS,X,X,X,X,X,X,X,X,X,X,O
IJTZSLO,O,O,X,X,X,X,X,X,O,X,O
IJTZSOL,O,O,X,O,X,X,X,X,X,X,X
IJTZOLS,X,X,O,X,X,X,X,X,X,X,X
IJTZOSL,X,O,O,X,X,X,X,X,X,X,X
IJTOLSZ,X,O,O,X,X,X,X,X,X,X,X
IJTOLZS,X,O,O,X,X,X,X,O,X,X,X
IJTOSLZ,X,O,X,O,X,X,X,X,X,X,X
IJTOSZL,X,O,O,O,O,X,X,X,X,X,X
IJTOZLS,X,X,O,X,X,X,X,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X,X,X,X,X
IJLTSZO,X,O,X,O,X,X,O,X,X,X,X
IJLTSOZ,X,O,O,O,X,X,O,X,X,X,X
IJLTZSO,X,O,X,O,X,X,O,X,X,X,X
IJLTZOS,X,O,O,X,X,X,X,X,X,X,X
IJLTOSZ,X,O,O,O,X,X,O,X,X,X,X
IJLTOZS,X,O,O,X,X,X,X,X,X,X,X
IJLSTZO,O,O,X,O,X,X,O,X,X,X,X
IJLSTOZ,X,O,O,O,X,X,O,X,X,X,X
IJLSZTO,O,O,X,O,X,X,O,X,X,O,X
IJLSZOT,X,O,X,O,X,X,O,X,X,X,X
IJLSOTZ,X,O,O,O,X,X,O,X,X,X,X
IJLSOZT,X,O,O,O,X,X,O,X,X,X,X
IJLZTSO,X,O,X,O,X,X,O,X,X,O,X
IJLZTOS,X,O,O,X,X,X,X,X,X,O,X
IJLZSTO,O,O,X,O,X,X,O,X,O,O,X
IJLZSOT,X,O,X,O,X,X,O,X,O,X,X
IJLZOTS,X,O,O,X,X,X,X,X,X,X,X
IJLZOST,X,O,O,X,X,X,X,X,X,X,X
IJLOTSZ,X,O,O,O,X,X,O,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X,X,X,X
IJLOSTZ,X,O,O,O,X,X,O,X,X,X,X
IJLOSZT,X,O,O,O,X,X,O,X,X,X,X
IJLOZTS,X,O,O,X,X,X,X,X,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,O,X,X,X,X,X,X,X
IJSTLOZ,X,O,X,O,X,X,O,X,X,X,X
IJSTZLO,O,O,X,X,O,X,X,X,X,X,X
IJSTZOL,O,O,X,O,O,X,X,X,X,X,X
IJSTOLZ,O,O,X,O,X,X,X,X,X,X,X
IJSTOZL,O,O,O,O,X,X,X,X,X,X,X
IJSLTZO,O,O,X,O,X,X,O,X,X,X,X
IJSLTOZ,X,O,O,O,X,X,O,X,X,X,X
IJSLZTO,O,O,X,O,X,X,O,X,X,X,X
IJSLZOT,X,O,X,O,X,X,O,X,X,X,X
IJSLOTZ,X,O,O,O,X,X,O,X,X,X,X
IJSLOZT,X,O,O,O,X,X,O,X,X,X,X
IJSZTLO,O,X,X,X,O,X,X,X,O,X,X
IJSZTOL,O,X,X,O,O,X,X,X,X,X,X
IJSZLTO,O,X,X,O,X,X,X,X,O,X,X
IJSZLOT,X,X,X,O,X,X,X,X,O,X,X
IJSZOTL,O,X,X,O,X,X,X,X,X,X,X
IJSZOLT,X,X,X,O,X,X,X,X,O,X,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X
IJSOTZL,O,O,O,O,O,X,X,X,X,X,X
IJSOLTZ,O,O,O,O,X,X,O,X,X,X,X
IJSOLZT,O,O,O,O,X,X,O,X,X,X,X
IJSOZTL,O,X,O,O,O,X,X,X,X,X,X
IJSOZLT,O,X,O,O,X,X,X,X,X,X,X
IJZTLSO,X,X,X,X,X,X,X,X,X,O,X
IJZTLOS,X,X,X,X,X,X,X,X,X,O,X
IJZTSLO,O,O,X,X,X,X,X,X,O,O,X
IJZTSOL,O,O,X,O,X,X,X,X,X,X,X
IJZTOLS,X,X,O,X,X,X,X,X,X,O,X
IJZTOSL,X,O,O,X,X,X,X,X,X,X,X
IJZLTSO,X,O,X,O,X,X,X,X,X,O,X
IJZLTOS,X,O,O,X,X,X,X,X,X,O,X
IJZLSTO,O,O,X,O,X,X,X,X,O,O,X
IJZLSOT,X,O,X,O,X,X,X,X,O,X,X
IJZLOTS,X,O,O,X,X,X,X,X,X,X,X
IJZLOST,X,O,O,X,X,X,X,X,X,X,X
IJZSTLO,O,X,X,X,X,X,X,X,O,X,X
IJZSTOL,O,X,X,O,X,X,X,X,X,X,X
IJZSLTO,O,X,X,O,X,O,X,X,O,X,X
IJZSLOT,X,X,X,O,X,X,X,X,O,X,X
IJZSOTL,O,X,X,O,X,X,X,X,X,X,X
IJZSOLT,X,X,X,O,X,O,X,X,O,X,X
IJZOTLS,X,X,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,O,X,X,X,X,X,X,X,X
IJZOLTS,X,O,O,X,X,X,X,O,X,X,X
IJZOLST,O,O,O,X,X,X,X,O,X,X,X
IJZOSTL,O,X,O,X,X,X,X,X,X,X,X
IJZOSLT,O,X,O,X,X,O,X,X,O,X,X
IJOTLSZ,X,O,O,X,X,X,X,X,X,X,X
IJOTLZS,X,O,O,X,X,X,X,O,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X,X
IJOTSZL,O,O,O,O,O,X,X,X,X,X,X
IJOTZLS,X,X,O,X,X,X,X,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X,X,X,X,X
IJOLTSZ,X,O,O,O,X,X,X,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,O,X,X,X
IJOLSTZ,O,O,O,O,X,X,X,X,X,X,X
IJOLSZT,O,O,O,O,X,X,X,X,X,X,X
IJOLZTS,X,O,O,X,X,X,X,O,X,X,X
IJOLZST,O,O,O,X,X,X,X,O,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X
IJOSTZL,O,O,O,O,O,X,X,X,X,X,X
IJOSLTZ,O,O,O,O,X,X,X,X,X,X,X
IJOSLZT,O,O,O,O,X,X,X,X,X,X,X
IJOSZTL,O,X,O,O,O,X,X,X,X,X,X
IJOSZLT,O,X,O,O,X,X,X,X,X,X,X
IJOZTLS,X,X,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,O,X,X,X,X,X,X,X,X
IJOZLTS,X,O,O,X,X,X,X,O,X,X,X
IJOZLST,O,O,O,X,X,X,X,O,X,X,X
IJOZSTL,O,X,O,X,X,X,X,X,X,X,X
IJOZSLT,O,X,O,X,X,O,X,X,O,X,X
ISTLJZO,X,O,X,O,X,X,O,X,X,X,X
ISTLJOZ,X,O,X,O,X,X,O,X,X,X,X
ISTLZJO,X,O,X,X,O,X,X,X,X,X,O
ISTLZOJ,X,X,X,X,O,X,O,X,X,X,O
ISTLOJZ,X,X,X,O,X,X,O,X,X,X,X
ISTLOZJ,X,X,X,X,X,X,O,X,X,X,X
ISTJLZO,O,O,X,O,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,O,X,X,O,X,X,X,X
ISTJZLO,O,O,X,X,O,X,X,X,X,X,O
ISTJZOL,O,O,X,O,O,X,X,X,X,X,X
ISTJOLZ,O,O,X,O,X,X,X,X,X,X,X
ISTJOZL,O,O,X,O,X,X,X,X,X,X,X
ISTZLJO,X,O,X,X,O,X,X,X,X,X,O
ISTZLOJ,X,X,X,X,O,X,O,X,X,X,O
ISTZJLO,O,O,X,X,O,X,X,X,X,X,O
ISTZJOL,O,O,X,X,O,X,X,X,X,X,X
ISTZOLJ,X,X,X,X,O,X,X,X,X,X,O
ISTZOJL,X,O,X,O,O,X,X,X,X,X,X
ISTOLJZ,X,X,X,O,X,X,O,X,X,X,X
ISTOLZJ,X,X,X,X,O,X,O,O,X,X,X
ISTOJLZ,O,O,X,O,X,X,X,X,X,X,X
ISTOJZL,O,O,X,O,O,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,X,X,X,X,X,O
ISTOZJL,O,O,X,O,O,X,X,X,X,X,X
ISLTJZO,X,O,X,O,X,X,O,X,X,X,X
ISLTJOZ,X,O,X,O,X,X,O,X,X,X,X
ISLTZJO,X,O,X,X,O,X,X,X,X,O,X
ISLTZOJ,X,O,X,X,O,X,O,X,X,O,X
ISLTOJZ,X,O,X,O,X,X,O,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,O,X,X,X,X
ISLJTZO,O,O,X,O,X,X,O,X,X,X,X
ISLJTOZ,X,O,O,O,X,X,O,X,X,X,X
ISLJZTO,O,O,X,O,X,X,O,X,X,O,X
ISLJZOT,X,O,X,O,X,X,O,X,X,X,X
ISLJOTZ,X,O,O,O,X,X,O,X,X,X,X
ISLJOZT,X,O,O,O,X,X,O,X,X,X,X
ISLZTJO,X,O,X,X,O,X,X,X,X,O,X
ISLZTOJ,X,O,X,X,O,X,O,X,X,O,X
ISLZJTO,O,O,X,O,X,X,O,X,X,O,X
ISLZJOT,X,O,X,O,X,X,O,X,X,X,X
ISLZOTJ,X,O,X,X,X,X,O,X,X,O,X
ISLZOJT,X,O,X,X,X,X,O,X,X,X,X
ISLOTJZ,X,O,X,O,X,X,O,X,X,X,X
ISLOTZJ,X,O,X,X,O,X,O,X,X,X,X
ISLOJTZ,O,O,O,O,X,X,O,X,X,X,X
ISLOJZT,O,O,O,O,X,X,O,X,X,X,X
ISLOZTJ,X,O,X,X,O,X,O,X,X,O,X
ISLOZJT,O,O,X,X,X,X,O,X,X,X,X
ISJTLZO,O,O,X,O,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,O,X,X,O,X,X,X,X
ISJTZLO,O,O,X,X,O,X,X,X,X,X,X
ISJTZOL,O,O,X,O,O,X,X,X,X,X,X
ISJTOLZ,O,O,X,O,X,X,X,X,X,X,X
ISJTOZL,O,O,O,O,X,X,X,X,X,X,X
ISJLTZO,O,O,X,O,X,X,O,X,X,X,X
ISJLTOZ,X,O,O,O,X,X,O,X,X,X,X
ISJLZTO,O,O,X,O,X,X,O,X,X,X,X
ISJLZOT,X,O,X,O,X,X,O,X,X,X,X
ISJLOTZ,X,O,O,O,X,X,O,X,X,X,X
ISJLOZT,X,O,O,O,X,X,O,X,X,X,X
ISJZTLO,O,X,X,X,O,X,X,X,O,X,X
ISJZTOL,O,X,X,O,O,X,X,X,X,X,X
ISJZLTO,O,X,X,O,X,X,X,X,O,X,X
ISJZLOT,X,X,X,O,X,X,X,X,O,X,X
ISJZOTL,O,X,X,O,X,X,X,X,X,X,X
ISJZOLT,X,X,X,O,X,X,X,X,O,X,X
ISJOTLZ,O,O,X,O,X,X,X,X,X,X,X
ISJOTZL,O,O,O,O,O,X,X,X,X,X,X
ISJOLTZ,O,O,O,O,X,X,O,X,X,X,X
ISJOLZT,O,O,O,O,X,X,O,X,X,X,X
ISJOZTL,O,X,O,O,O,X,X,X,X,X,X
ISJOZLT,O,X,O,O,X,X,X,X,X,X,X
ISZTLJO,X,X,X,X,O,O,X,X,O,O,X
ISZTLOJ,X,X,X,X,O,O,O,X,O,O,X
ISZTJLO,O,X,X,X,O,X,X,X,O,O,X
ISZTJOL,O,X,X,X,O,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,O,O,X,X,X,X,X
ISZTOJL,X,X,X,O,O,X,X,X,X,X,X
ISZLTJO,X,O,X,X,O,O,X,X,O,O,X
ISZLTOJ,X,O,X,X,O,O,O,X,O,O,X
ISZLJTO,O,O,X,O,X,O,O,X,O,O,X
ISZLJOT,X,O,X,O,X,X,O,X,O,X,X
ISZLOTJ,X,O,X,X,X,O,O,X,O,O,X
ISZLOJT,X,O,X,X,X,O,O,X,O,X,X
ISZJTLO,O,X,X,X,O,X,X,X,O,X,X
ISZJTOL,O,X,X,O,O,X,X,X,X,X,X
ISZJLTO,O,X,X,O,X,O,X,X,O,X,X
ISZJLOT,X,X,X,O,X,X,X,X,O,X,X
ISZJOTL,O,X,X,O,X,X,X,X,X,X,X
ISZJOLT,X,X,X,O,X,O,X,X,O,X,X
ISZOTLJ,X,X,X,X,O,O,X,X,X,X,X
ISZOTJL,O,X,X,O,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,O,O,O,O,O,X,X
ISZOLJT,O,X,X,X,X,O,O,O,O,X,X
ISZOJTL,O,X,X,O,O,X,X,X,X,X,X
ISZOJLT,O,X,X,O,X,O,X,X,O,X,X
ISOTLJZ,X,X,X,O,X,X,O,X,X,X,X
ISOTLZJ,X,X,X,X,O,X,O,O,X,X,X
ISOTJLZ,O,X,X,O,X,X,X,X,X,X,X
ISOTJZL,O,X,X,O,O,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,X,X,X,X,X,X
ISOTZJL,O,X,X,O,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,O,X,X,O,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,O,O,X,X,X
ISOLJTZ,O,X,O,O,X,X,O,X,X,X,X
ISOLJZT,O,X,O,O,X,X,O,X,X,X,X
ISOLZTJ,X,X,X,X,O,X,O,O,X,X,X
ISOLZJT,O,X,X,X,X,X,O,O,X,X,X
ISOJTLZ,O,X,X,O,X,X,X,X,X,X,X
ISOJTZL,O,X,O,O,O,X,X,X,X,X,X
ISOJLTZ,O,X,O,O,X,X,O,X,X,X,X
ISOJLZT,O,X,O,O,X,X,O,X,X,X,X
ISOJZTL,O,X,O,O,O,X,X,X,X,X,X
ISOJZLT,O,X,O,O,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,O,O,X,X,X,X,X
ISOZTJL,O,X,X,O,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,O,O,O,X,X,X
ISOZLJT,O,X,X,X,X,O,O,O,X,X,X
ISOZJTL,O,X,X,O,O,X,X,X,X,X,X
ISOZJLT,O,X,X,O,X,O,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X,X,X,X,O,O
IZTLJOS,X,X,X,X,X,X,X,X,X,O,X
IZTLSJO,X,O,X,X,X,X,X,X,X,O,O
IZTLSOJ,X,O,X,X,X,X,O,X,X,O,O
IZTLOJS,X,X,X,X,X,X,X,X,X,O,X
IZTLOSJ,X,X,X,X,X,X,X,X,X,O,O
IZTJLSO,X,X,X,X,X,X,X,X,X,O,O
IZTJLOS,X,X,X,X,X,X,X,X,X,O,X
IZTJSLO,O,O,X,X,X,X,X,X,O,O,O
IZTJSOL,O,O,X,O,X,X,X,X,X,X,X
IZTJOLS,X,X,X,X,X,X,X,X,X,O,X
IZTJOSL,X,O,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,X,X,O,O,X,X,O,O,O
IZTSLOJ,X,X,X,X,O,O,O,X,O,O,O
IZTSJLO,O,O,X,X,O,X,X,X,O,O,O
IZTSJOL,O,O,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,X,X,O,O,X,X,X,X,O
IZTSOJL,X,O,X,O,O,X,X,X,X,X,X
IZTOLJS,X,X,X,X,X,X,X,O,X,O,X
IZTOLSJ,X,X,X,X,X,X,X,O,X,O,O
IZTOJLS,X,X,X,X,X,X,X,X,X,O,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,O,O,X,X,X,X,O
IZTOSJL,O,X,X,X,O,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X,X,O,X
IZLTJOS,X,O,X,X,X,X,X,O,X,O,X
IZLTSJO,X,O,X,X,X,X,X,X,X,O,X
IZLTSOJ,X,O,X,X,X,X,O,X,X,O,X
IZLTOJS,X,X,X,X,X,X,X,X,X,O,X
IZLTOSJ,X,X,X,X,X,X,X,X,X,O,X
IZLJTSO,X,O,X,O,X,X,O,X,X,O,X
IZLJTOS,X,O,O,X,X,X,X,O,X,O,X
IZLJSTO,O,O,X,O,X,X,O,X,O,O,X
IZLJSOT,X,O,X,O,X,X,O,X,O,X,X
IZLJOTS,X,O,O,X,X,X,X,X,X,X,X
IZLJOST,X,O,O,X,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,X,O,X,X,O,O,X
IZLSTOJ,X,O,X,X,X,O,O,X,O,O,X
IZLSJTO,O,O,X,O,X,O,O,X,O,O,X
IZLSJOT,X,O,X,O,X,X,O,X,O,X,X
IZLSOTJ,X,O,X,X,X,O,O,X,O,O,X
IZLSOJT,X,O,X,X,X,O,O,X,O,X,X
IZLOTJS,X,X,X,X,X,X,X,O,X,O,X
IZLOTSJ,X,X,X,X,X,X,X,O,X,O,X
IZLOJTS,X,X,O,X,X,X,X,O,X,X,X
IZLOJST,O,X,O,X,X,X,X,O,X,X,X
IZLOSTJ,X,O,X,X,X,O,X,O,X,O,X
IZLOSJT,O,O,X,X,X,O,X,O,X,X,X
IZJTLSO,X,X,X,X,X,X,X,X,X,O,X
IZJTLOS,X,X,X,X,X,X,X,X,X,O,X
IZJTSLO,O,O,X,X,X,X,X,X,O,O,X
IZJTSOL,O,O,X,O,X,X,X,X,X,X,X
IZJTOLS,X,X,O,X,X,X,X,X,X,O,X
IZJTOSL,X,O,O,X,X,X,X,X,X,X,X
IZJLTSO,X,O,X,O,X,X,X,X,X,O,X
IZJLTOS,X,O,O,X,X,X,X,X,X,O,X
IZJLSTO,O,O,X,O,X,X,X,X,O,O,X
IZJLSOT,X,O,X,O,X,X,X,X,O,X,X
IZJLOTS,X,O,O,X,X,X,X,X,X,X,X
IZJLOST,X,O,O,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,X,X,X,X,O,X,X
IZJSTOL,O,X,X,O,X,X,X,X,X,X,X
IZJSLTO,O,X,X,O,X,O,X,X,O,X,X
IZJSLOT,X,X,X,O,X,X,X,X,O,X,X
IZJSOTL,O,X,X,O,X,X,X,X,X,X,X
IZJSOLT,X,X,X,O,X,O,X,X,O,X,X
IZJOTLS,X,X,O,X,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,X,X,X,X,X,X
IZJOLTS,X,O,O,X,X,X,X,O,X,X,X
IZJOLST,O,O,O,X,X,X,X,O,X,X,X
IZJOSTL,O,X,O,X,X,X,X,X,X,X,X
IZJOSLT,O,X,O,X,X,O,X,X,O,X,X
IZSTLJO,X,X,X,X,O,O,X,X,O,O,X
IZSTLOJ,X,X,X,X,O,O,O,X,O,O,X
IZSTJLO,O,X,X,X,O,X,X,X,O,O,X
IZSTJOL,O,X,X,X,O,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,O,O,X,X,X,X,X
IZSTOJL,X,X,X,O,O,X,X,X,X,X,X
IZSLTJO,X,O,X,X,O,O,X,X,O,O,X
IZSLTOJ,X,O,X,X,O,O,O,X,O,O,X
IZSLJTO,O,O,X,O,X,O,O,X,O,O,X
IZSLJOT,X,O,X,O,X,X,O,X,O,X,X
IZSLOTJ,X,O,X,X,X,O,O,X,O,O,X
IZSLOJT,X,O,X,X,X,O,O,X,O,X,X
IZSJTLO,O,X,X,X,O,X,X,X,O,X,X
IZSJTOL,O,X,X,O,O,X,X,X,X,X,X
IZSJLTO,O,X,X,O,X,O,X,X,O,X,X
IZSJLOT,X,X,X,O,X,X,X,X,O,X,X
IZSJOTL,O,X,X,O,X,X,X,X,X,X,X
IZSJOLT,X,X,X,O,X,O,X,X,O,X,X
IZSOTLJ,X,X,X,X,O,O,X,X,X,X,X
IZSOTJL,O,X,X,O,O,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,O,O,O,O,X,X
IZSOLJT,O,X,X,X,X,O,O,O,O,X,X
IZSOJTL,O,X,X,O,O,X,X,X,X,X,X
IZSOJLT,O,X,X,O,X,O,X,X,O,X,X
IZOTLJS,X,X,X,X,X,X,X,O,X,O,X
IZOTLSJ,X,X,X,X,X,X,X,O,X,O,X
IZOTJLS,X,X,X,X,X,X,X,X,X,O,X
IZOTJSL,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,O,O,X,X,X,X,X
IZOTSJL,O,X,X,X,O,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,X,O,X,O,X
IZOLTSJ,X,X,X,X,X,X,X,O,X,O,X
IZOLJTS,X,X,O,X,X,X,X,O,X,X,X
IZOLJST,O,X,O,X,X,X,X,O,X,X,X
IZOLSTJ,X,O,X,X,X,O,X,O,X,O,X
IZOLSJT,O,O,X,X,X,O,X,O,X,X,X
IZOJTLS,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,O,X,O,X,X,X,X,X,X,X,X
IZOJLTS,X,X,O,X,X,X,X,O,X,X,X
IZOJLST,O,X,O,X,X,X,X,O,X,X,X
