sequence,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFuf?BcgBCeBXjBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFCb?BuiBcjBXgBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BTfBOlBXjB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?BXgBziB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFcg?BqiBTeBfqBlsBupB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeBXgB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JecAJvhFTe?BOkBfqBysB5nBlpB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeC+IvhFxf?BXjBTfBOlB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jel6IvhFcg?BTeBysBmpB5nB/pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BOlBXjBTkBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB/pBOqBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeB0fB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFui?BcjBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeuCJvhFcj?BxfBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeG+IvhFxf?BziBikBXlBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFOl?BTkB3nBFoB0pBCtB
JSZOLTI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOTIZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSOTLIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOTLZI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JSOTZIL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSOTZLI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSOITLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOITZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSOILTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JSOLITZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLIZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZTLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZITL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZTILOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZTISLO,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
JZTISOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTIOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZTLIOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZTLSIO,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
JZTLSOI,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
JZTLOIS,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZTLOSI,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
JZTSILO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
JZTSIOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
JZTSLOI,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JZTSOIL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTSOLI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTOILS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTOISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTOLIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTOLSI,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTOSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTOSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITLSO,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZITLOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZITSLO,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
JZITSOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZITOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZILTOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZILSTO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZILSOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZILOST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISTLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZISTOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISLOT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOTSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLTIOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLTSIO,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLTSOI,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLTOIS,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLTOSI,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLITSO,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZLITOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZLISTO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZLISOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZLIOST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSITO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSIOT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOTIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLOTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLOITS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLOIST,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLOSTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOSIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSTILO,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSTIOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSTLOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSTOIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSITOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSILOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSIOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSLTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSLITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSLIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSLOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSOTIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSOTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSOITL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTLIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTLSI,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOITLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOITSL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOILTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOILST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLITS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLIST,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSTI,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSIT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOSTIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOSTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOSITL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOTILZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTISLZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTISZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTIZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLISZ,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JOTLIZS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOTLSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTLSZI,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOTLZIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTLZSI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTSILZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTSIZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOTSLIZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTSLZI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOTSZIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOTSZLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOTZILS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTZLIS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZLSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTZSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITLSZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOITLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITSLZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTSZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOILTZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISTZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOISLTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOIZLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOLTIZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTSIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOLTSZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOLTZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLITSZ,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X
JOLITZS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JOLISTZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLISZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLIZTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOLIZST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSTIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSTZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOLSITZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSIZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSZTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSZIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZTIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZTSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZIST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZSTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZSIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSTILZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSTIZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOSTLIZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSTLZI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOSTZIL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOSTZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOSITLZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSITZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOSILTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLITZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZTISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZTLIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZTLSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZTSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZTSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZITLS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZITSL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZILTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZILST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLTSI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLITS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLIST,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLSTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLSIT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZSTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZSTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZSITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STILJZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
STILJOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
STILZJO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
STILZOJ,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
STILOJZ,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X
STILOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
STIJLZO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
STIJLOZ,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
STIJZLO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
STIJZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOLZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
STIJOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIZLJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
STIZLOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
STIZJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
STIZJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
STIZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOLJZ,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X
STIOLZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
STIOJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
STIOJZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOZLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STIOZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
STLIJOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
STLIZJO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X
STLIZOJ,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
STLIOJZ,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,O,X
STLIOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
STLJIZO,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
STLJIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
STLJZIO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X
STLJZOI,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
STLJOIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
STLJOZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
STLZIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
STLZIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
STLZJIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
STLZJOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
STLZOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
STLZOJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
STLOIJZ,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,O,X
STLOIZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X
