sequence,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFzgBfnBxiBGoBFr?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFFhB8mBziB5oBfr?BmsB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFRhBGjBfrB0mBln?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFXhBxiBzmBStBmq?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeRAJvhF3hBTlBlnBctBir?BGtB,v115@9gA8IeB8HeB8HeD8AeC8LeUAJvhFRhBSoBlmB3nBmq?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFxhB3lBcrBTnBOt?B6tB
IZTSJLO,O,O,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,O
IZTSOLJ,O,O,X,X,O,O,O
IZTSOJL,O,O,X,X,X,X,O
IZTOLJS,O,X,X,X,O,O,X
IZTOLSJ,O,X,X,X,O,O,X
IZTOJLS,O,X,X,X,X,O,X
IZTOJSL,O,X,X,X,X,X,O
IZTOSLJ,O,X,X,X,O,O,O
IZTOSJL,O,X,X,X,X,X,O
IZLTJSO,O,O,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X
IZLTSOJ,O,O,X,X,O,X,X
IZLTOJS,O,X,X,X,O,O,X
IZLTOSJ,O,X,X,X,O,O,X
IZLJTSO,O,O,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X
IZLJOTS,X,O,X,X,X,X,X
IZLJOST,O,O,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X
IZLSTOJ,O,O,X,X,O,X,O
IZLSJTO,O,O,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,O
IZLSOJT,X,O,X,X,O,X,O
IZLOTJS,X,X,X,X,O,O,X
IZLOTSJ,X,X,X,X,O,O,X
IZLOJTS,X,O,X,X,O,X,X
IZLOJST,X,O,X,X,O,X,O
IZLOSTJ,X,O,X,X,O,X,O
IZLOSJT,X,O,X,X,O,X,O
IZJTLSO,O,O,X,X,X,X,X
IZJTLOS,O,O,X,X,X,O,X
IZJTSLO,O,O,X,X,X,X,X
IZJTSOL,O,O,X,X,X,O,X
IZJTOLS,O,O,X,X,X,O,X
IZJTOSL,O,O,X,X,X,O,X
IZJLTSO,O,O,X,X,X,X,X
IZJLTOS,O,O,X,X,X,O,X
IZJLSTO,O,O,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X
IZJLOTS,X,O,X,X,X,O,X
IZJLOST,O,O,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,O,O
IZJSLTO,O,O,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X
IZJSOTL,O,O,X,X,X,O,O
IZJSOLT,O,O,X,X,X,X,O
IZJOTLS,X,O,X,X,X,O,X
IZJOTSL,X,O,X,X,X,O,O
IZJOLTS,X,O,X,X,O,O,X
IZJOLST,O,O,X,X,O,X,O
IZJOSTL,O,O,X,X,X,O,O
IZJOSLT,O,O,X,X,X,X,O
IZSTLJO,O,O,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,O
IZSTJLO,O,O,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,O
IZSTOLJ,O,O,X,X,X,O,O
IZSTOJL,O,O,X,X,X,X,O
IZSLTJO,O,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,O
IZSLJTO,O,O,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,O
IZSLOJT,X,O,X,X,X,X,O
IZSJTLO,O,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,O
IZSJLTO,O,O,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,O
IZSJOLT,O,O,X,X,X,X,O
IZSOTLJ,O,O,X,X,X,O,O
IZSOTJL,O,O,X,X,X,X,O
IZSOLTJ,O,O,X,X,O,X,O
IZSOLJT,X,O,X,X,O,X,O
IZSOJTL,X,O,X,X,X,X,O
IZSOJLT,X,O,X,X,X,X,O
IZOTLJS,X,X,X,X,O,O,X
IZOTLSJ,X,X,X,X,O,O,X
IZOTJLS,X,X,X,X,X,O,X
IZOTJSL,X,X,X,X,X,X,O
IZOTSLJ,X,X,X,X,O,O,O
IZOTSJL,X,X,X,X,X,X,O
IZOLTJS,X,X,X,X,O,O,X
IZOLTSJ,X,X,X,X,O,O,X
IZOLJTS,X,O,X,X,O,O,X
IZOLJST,X,O,X,X,O,X,O
IZOLSTJ,X,O,X,X,O,X,O
IZOLSJT,X,O,X,X,O,X,O
IZOJTLS,X,O,X,X,X,O,X
IZOJTSL,X,O,X,X,X,O,O
IZOJLTS,X,O,X,X,O,O,X
IZOJLST,X,O,X,X,O,X,O
IZOJSTL,X,O,X,X,X,O,O
IZOJSLT,X,O,X,X,X,X,O
IZOSTLJ,X,O,X,X,X,O,O
IZOSTJL,X,O,X,X,X,X,O
IZOSLTJ,X,O,X,X,O,X,O
IZOSLJT,X,O,X,X,O,X,O
IZOSJTL,X,O,X,X,X,X,O
IZOSJLT,X,O,X,X,X,X,O
IOTLJSZ,X,X,O,O,X,O,X
IOTLJZS,X,X,O,O,X,O,X
IOTLSJZ,X,X,O,O,X,X,X
IOTLSZJ,X,X,O,X,O,O,X
IOTLZJS,X,X,O,O,O,O,X
IOTLZSJ,X,X,X,X,O,O,X
IOTJLSZ,X,X,O,O,X,O,X
IOTJLZS,X,X,O,O,X,O,X
IOTJSLZ,X,X,O,O,X,O,X
IOTJSZL,X,X,O,O,X,O,O
IOTJZLS,X,X,O,X,X,O,X
IOTJZSL,X,X,X,O,X,O,O
IOTSLJZ,X,X,O,X,X,X,X
IOTSLZJ,X,X,O,X,X,O,X
IOTSJLZ,X,X,O,O,X,X,X
IOTSJZL,X,X,O,O,X,X,O
IOTSZLJ,X,X,O,X,X,O,O
IOTSZJL,X,X,O,X,X,X,O
IOTZLJS,X,X,O,X,O,O,X
IOTZLSJ,X,X,X,X,O,O,X
IOTZJLS,X,X,O,X,X,O,X
IOTZJSL,X,X,X,O,X,X,O
IOTZSLJ,X,X,X,X,X,O,O
IOTZSJL,X,X,X,X,X,X,O
IOLTJSZ,X,X,O,O,X,O,X
IOLTJZS,X,X,O,O,X,O,X
IOLTSJZ,X,X,O,O,X,X,X
IOLTSZJ,X,X,O,X,O,O,X
IOLTZJS,X,X,O,O,O,O,X
IOLTZSJ,X,X,X,X,O,O,X
IOLJTSZ,X,O,O,O,X,O,X
IOLJTZS,X,O,O,O,X,O,X
IOLJSTZ,X,O,O,O,X,X,X
IOLJSZT,X,O,O,O,O,X,X
IOLJZTS,X,O,X,O,O,O,X
IOLJZST,X,O,X,O,O,X,O
IOLSTJZ,X,X,O,O,X,X,X
IOLSTZJ,X,O,O,X,O,X,X
IOLSJTZ,X,O,O,O,X,X,X
IOLSJZT,X,O,O,O,O,X,X
IOLSZTJ,X,O,O,X,O,X,X
IOLSZJT,X,O,O,O,O,X,X
IOLZTJS,X,X,X,O,O,O,X
IOLZTSJ,X,X,X,X,O,O,X
IOLZJTS,X,O,X,O,O,O,X
IOLZJST,X,O,X,O,O,X,O
IOLZSTJ,X,O,X,X,O,X,O
IOLZSJT,X,O,X,O,O,X,O
IOJTLSZ,X,O,O,O,X,O,X
IOJTLZS,X,O,O,O,X,O,X
IOJTSLZ,X,O,O,O,X,O,X
IOJTSZL,X,O,O,O,X,O,O
IOJTZLS,X,O,O,X,X,O,X
IOJTZSL,X,O,X,O,X,O,O
IOJLTSZ,X,O,O,O,X,O,X
IOJLTZS,X,O,O,O,X,O,X
IOJLSTZ,X,O,O,O,X,X,X
IOJLSZT,X,O,O,O,O,X,X
IOJLZTS,X,O,X,O,O,O,X
IOJLZST,X,O,X,O,O,X,O
IOJSTLZ,X,O,O,O,X,X,X
IOJSTZL,X,O,O,O,X,X,O
IOJSLTZ,X,O,O,O,X,X,X
IOJSLZT,X,O,O,O,X,X,X
IOJSZTL,X,O,O,O,X,X,O
IOJSZLT,X,O,O,X,X,X,O
IOJZTLS,X,O,X,X,X,O,X
IOJZTSL,X,O,X,O,X,O,O
IOJZLTS,X,O,X,X,O,O,X
IOJZLST,X,O,X,X,O,X,O
IOJZSTL,X,O,X,O,X,O,O
IOJZSLT,X,O,X,X,X,X,O
IOSTLJZ,X,X,O,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,X
IOSTJLZ,X,X,O,O,X,X,X
IOSTJZL,X,X,O,O,X,X,O
IOSTZLJ,X,O,O,X,X,X,O
IOSTZJL,X,O,O,X,X,X,O
IOSLTJZ,X,X,O,O,X,X,X
IOSLTZJ,X,O,O,X,O,X,X
IOSLJTZ,X,O,O,O,X,X,X
IOSLJZT,X,O,O,O,O,X,X
IOSLZTJ,X,O,O,X,O,X,X
IOSLZJT,X,O,O,O,O,X,X
IOSJTLZ,X,O,O,O,X,X,X
IOSJTZL,X,O,O,O,X,X,O
IOSJLTZ,X,O,O,O,X,X,X
IOSJLZT,X,O,O,O,X,X,X
IOSJZTL,X,O,O,O,X,X,O
IOSJZLT,X,O,O,X,X,X,O
IOSZTLJ,X,O,O,X,X,X,O
IOSZTJL,X,O,O,X,X,X,O
IOSZLTJ,X,O,O,X,O,X,O
IOSZLJT,X,O,O,X,O,X,O
IOSZJTL,X,O,O,O,X,X,O
IOSZJLT,X,O,O,X,X,X,O
IOZTLJS,X,X,X,X,O,O,X
IOZTLSJ,X,X,X,X,O,O,X
IOZTJLS,X,X,X,X,X,O,X
IOZTJSL,X,X,X,O,X,X,O
IOZTSLJ,X,X,X,X,O,O,O
IOZTSJL,X,X,X,X,X,X,O
IOZLTJS,X,X,X,X,O,O,X
IOZLTSJ,X,X,X,X,O,O,X
IOZLJTS,X,O,X,X,O,O,X
IOZLJST,X,O,X,X,O,X,O
IOZLSTJ,X,O,X,X,O,X,O
IOZLSJT,X,O,X,X,O,X,O
IOZJTLS,X,O,X,X,X,O,X
IOZJTSL,X,O,X,O,X,O,O
IOZJLTS,X,O,X,X,O,O,X
IOZJLST,X,O,X,X,O,X,O
IOZJSTL,X,O,X,O,X,O,O
IOZJSLT,X,O,X,X,X,X,O
IOZSTLJ,X,O,X,X,X,O,O
IOZSTJL,X,O,X,X,X,X,O
IOZSLTJ,X,O,X,X,O,X,O
IOZSLJT,X,O,X,X,O,X,O
IOZSJTL,X,O,X,O,X,X,O
IOZSJLT,X,O,X,X,X,X,O
LTIJSZO,X,O,O,O,X,X,X
LTIJSOZ,X,O,O,O,X,X,X
LTIJZSO,X,O,O,O,X,X,X
LTIJZOS,X,O,X,X,X,X,X
LTIJOSZ,X,O,O,O,X,X,X
LTIJOZS,X,O,X,O,X,X,X
LTISJZO,X,O,O,X,X,X,X
LTISJOZ,O,O,O,X,X,X,X
LTISZJO,O,O,O,X,X,X,X
LTISZOJ,O,O,O,X,X,X,X
LTISOJZ,O,X,O,O,X,X,X
LTISOZJ,O,O,X,X,X,X,X
LTIZJSO,O,O,O,X,X,X,X
LTIZJOS,O,O,X,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X
LTIZOJS,O,X,X,O,X,O,X
LTIZOSJ,O,X,X,X,X,O,X
LTIOJSZ,X,X,O,O,X,X,X
LTIOJZS,X,X,X,O,X,O,X
LTIOSJZ,O,X,X,O,X,X,X
LTIOSZJ,O,X,X,X,X,O,X
LTIOZJS,O,X,X,O,X,O,X
LTIOZSJ,O,X,X,X,X,O,X
LTJISZO,X,O,O,O,X,X,X
LTJISOZ,X,O,O,O,X,X,X
LTJIZSO,X,O,O,O,X,X,X
LTJIZOS,X,O,X,X,X,O,X
LTJIOSZ,X,O,O,O,X,O,X
LTJIOZS,X,O,X,O,X,O,X
LTJSIZO,X,O,O,O,X,X,X
LTJSIOZ,O,O,O,O,X,X,X
LTJSZIO,O,O,O,O,X,X,X
LTJSZOI,O,O,O,X,X,X,O
LTJSOIZ,O,O,O,O,X,X,X
LTJSOZI,O,O,O,O,X,X,O
LTJZISO,O,O,O,O,X,X,X
LTJZIOS,O,O,X,X,X,O,X
LTJZSIO,O,O,O,O,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,O,O,X,O,X,O,X
LTJZOSI,O,O,X,O,X,O,X
LTJOISZ,X,O,O,O,X,O,X
LTJOIZS,X,O,X,O,X,O,X
LTJOSIZ,O,O,O,O,X,O,X
LTJOSZI,O,O,O,O,X,O,O
LTJOZIS,O,O,X,O,X,O,X
LTJOZSI,O,O,X,O,X,O,X
LTSIJZO,X,O,O,X,X,X,X
LTSIJOZ,O,O,O,X,X,X,X
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X
LTSIOJZ,O,X,O,O,X,X,X
LTSIOZJ,O,O,O,X,X,X,X
LTSJIZO,X,O,O,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,O
LTSJOIZ,O,O,O,X,X,X,X
LTSJOZI,O,O,O,X,X,X,O
LTSZIJO,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,X,O,X,O
LTSZJIO,O,O,O,X,X,X,X
LTSZJOI,O,O,O,X,O,X,O
LTSZOIJ,O,O,O,X,O,X,O
LTSZOJI,O,O,O,X,O,X,O
LTSOIJZ,O,X,O,O,X,X,X
LTSOIZJ,O,O,O,X,O,X,X
LTSOJIZ,O,X,O,O,X,X,X
LTSOJZI,O,X,O,O,X,X,O
LTSOZIJ,O,O,O,X,O,X,O
LTSOZJI,O,O,O,X,O,X,O
LTZIJSO,O,O,O,X,X,X,X
LTZIJOS,O,O,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X
LTZISOJ,O,O,X,X,O,X,X
LTZIOJS,O,X,X,O,O,O,X
LTZIOSJ,O,X,X,X,O,O,X
LTZJISO,O,O,O,X,X,X,X
LTZJIOS,O,O,X,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,O,O,O,X,O,X,X
LTZJOIS,O,O,X,X,O,X,X
LTZJOSI,O,O,X,X,O,X,X
LTZSIJO,O,O,O,X,X,X,X
LTZSIOJ,O,O,O,X,O,X,X
LTZSJIO,O,O,O,X,X,X,X
LTZSJOI,O,O,O,X,O,X,X
LTZSOIJ,O,O,O,X,O,X,X
LTZSOJI,O,O,O,X,O,X,X
LTZOIJS,O,X,X,O,O,O,X
LTZOISJ,O,X,X,X,O,O,X
LTZOJIS,O,X,X,O,O,O,X
LTZOJSI,O,X,X,O,O,O,X
LTZOSIJ,O,X,X,X,O,O,X
LTZOSJI,O,X,X,X,O,O,X
LTOIJSZ,X,X,O,O,X,O,X
LTOIJZS,X,X,O,O,X,O,X
LTOISJZ,O,X,O,O,X,X,X
LTOISZJ,O,X,O,X,O,O,X
LTOIZJS,O,X,O,O,O,O,X
LTOIZSJ,O,X,X,X,O,O,X
LTOJISZ,X,X,O,O,X,O,X
LTOJIZS,X,X,O,O,X,O,X
LTOJSIZ,O,X,O,O,X,O,X
LTOJSZI,O,X,O,O,X,O,O
LTOJZIS,O,X,O,O,X,O,X
LTOJZSI,O,X,O,O,X,O,X
LTOSIJZ,O,X,O,O,X,X,X
LTOSIZJ,O,X,O,X,O,O,X
LTOSJIZ,O,X,O,O,X,O,X
LTOSJZI,O,X,O,O,X,O,O
LTOSZIJ,O,X,O,X,O,O,O
LTOSZJI,O,X,O,X,O,O,O
LTOZIJS,O,X,O,O,O,O,X
LTOZISJ,O,X,X,X,O,O,X
LTOZJIS,O,X,O,O,O,O,X
LTOZJSI,O,X,O,O,O,O,X
LTOZSIJ,O,X,O,X,O,O,X
LTOZSJI,O,X,O,X,O,O,X
LITJSZO,X,O,O,O,X,X,X
LITJSOZ,X,O,O,O,X,X,X
LITJZSO,X,O,O,O,X,X,X
LITJZOS,X,O,X,X,X,X,X
LITJOSZ,X,O,O,O,X,X,X
LITJOZS,X,O,X,O,X,X,X
LITSJZO,X,O,O,X,X,X,X
LITSJOZ,O,O,O,X,X,X,X
LITSZJO,O,O,O,X,X,X,X
LITSZOJ,O,O,O,X,X,X,X
LITSOJZ,O,X,O,O,X,X,X
LITSOZJ,O,O,X,X,X,X,X
LITZJSO,O,O,O,X,X,X,X
LITZJOS,O,O,X,X,X,X,X
LITZSJO,O,O,X,X,X,X,X
LITZSOJ,O,O,X,X,X,X,X
LITZOJS,O,X,X,O,X,X,X
LITZOSJ,O,X,X,X,X,X,X
LITOJSZ,X,X,O,O,X,X,X
LITOJZS,X,X,X,O,X,X,X
LITOSJZ,O,X,X,O,X,X,X
LITOSZJ,O,X,X,X,X,X,X
LITOZJS,O,X,X,O,X,X,X
LITOZSJ,O,X,X,X,X,X,X
LIJTSZO,X,O,X,O,X,X,X
LIJTSOZ,X,O,X,O,X,X,X
LIJTZSO,X,O,X,O,X,X,X
LIJTZOS,X,O,X,X,X,X,X
LIJTOSZ,X,O,X,O,X,X,X
LIJTOZS,X,O,X,O,X,X,X
LIJSTZO,X,O,X,O,X,X,X
LIJSTOZ,X,O,X,O,X,X,X
LIJSZTO,X,O,X,O,X,X,X
LIJSZOT,X,O,X,X,X,X,X
LIJSOTZ,X,O,X,O,X,X,X
LIJSOZT,X,O,X,X,X,X,X
LIJZTSO,X,O,X,O,X,X,X
LIJZTOS,X,O,X,X,X,X,X
LIJZSTO,X,O,X,O,X,X,X
LIJZSOT,X,O,X,X,X,X,X
LIJZOTS,X,O,X,X,X,X,X
LIJZOST,X,O,X,X,X,X,X
LIJOTSZ,X,O,X,O,X,X,X
LIJOTZS,X,O,X,O,X,X,X
LIJOSTZ,X,O,X,O,X,X,X
LIJOSZT,X,O,X,O,X,X,X
LIJOZTS,X,O,X,O,X,X,X
LIJOZST,X,O,X,O,X,X,X
LISTJZO,X,O,O,X,X,X,X
LISTJOZ,O,O,O,X,X,X,X
LISTZJO,O,O,O,X,X,X,X
LISTZOJ,O,O,O,X,X,X,X
LISTOJZ,O,X,O,O,X,X,X
LISTOZJ,O,O,O,X,X,X,X
LISJTZO,X,O,O,O,X,X,X
LISJTOZ,O,O,O,O,X,X,X
LISJZTO,X,O,O,O,X,X,X
LISJZOT,X,O,O,X,X,X,X
LISJOTZ,X,O,O,O,X,X,X
LISJOZT,X,O,O,X,X,X,X
LISZTJO,O,O,O,X,X,X,X
LISZTOJ,O,O,O,X,O,X,X
LISZJTO,O,O,O,X,X,X,X
LISZJOT,O,O,O,X,X,X,X
LISZOTJ,O,O,O,X,O,X,X
LISZOJT,X,O,O,X,O,X,X
LISOTJZ,O,X,O,O,X,X,X
LISOTZJ,O,O,O,X,O,X,X
LISOJTZ,X,O,O,O,X,X,X
LISOJZT,X,O,O,O,O,X,X
LISOZTJ,X,O,O,X,O,X,X
LISOZJT,X,O,O,O,O,X,X
LIZTJSO,O,O,X,X,X,X,X
LIZTJOS,O,O,X,X,X,X,X
LIZTSJO,O,O,X,X,X,X,X
LIZTSOJ,O,O,X,X,O,X,X
LIZTOJS,O,X,X,O,O,X,X
LIZTOSJ,O,X,X,X,O,X,X
LIZJTSO,O,O,X,O,X,X,X
LIZJTOS,O,O,X,X,X,X,X
LIZJSTO,O,O,X,O,X,X,X
LIZJSOT,O,O,X,X,X,X,X
LIZJOTS,X,O,X,X,X,X,X
LIZJOST,O,O,X,X,X,X,X
LIZSTJO,O,O,X,X,X,X,X
LIZSTOJ,O,O,X,X,O,X,X
LIZSJTO,O,O,X,X,X,X,X
LIZSJOT,O,O,X,X,X,X,X
LIZSOTJ,O,O,X,X,O,X,X
LIZSOJT,X,O,X,X,O,X,X
LIZOTJS,X,X,X,O,O,X,X
LIZOTSJ,X,X,X,X,O,X,X
LIZOJTS,X,O,X,O,O,X,X
LIZOJST,X,O,X,O,O,X,X
LIZOSTJ,X,O,X,X,O,X,X
LIZOSJT,X,O,X,O,O,X,X
LIOTJSZ,X,X,O,O,X,X,X
LIOTJZS,X,X,O,O,X,X,X
LIOTSJZ,X,X,O,O,X,X,X
LIOTSZJ,X,X,O,X,O,X,X
LIOTZJS,X,X,O,O,O,X,X
LIOTZSJ,X,X,X,X,O,X,X
LIOJTSZ,X,O,O,O,X,X,X
LIOJTZS,X,O,O,O,X,X,X
LIOJSTZ,X,O,O,O,X,X,X
LIOJSZT,X,O,O,O,O,X,X
LIOJZTS,X,O,X,O,O,X,X
LIOJZST,X,O,X,O,O,X,X
LIOSTJZ,X,X,O,O,X,X,X
LIOSTZJ,X,O,O,X,O,X,X
LIOSJTZ,X,O,O,O,X,X,X
LIOSJZT,X,O,O,O,O,X,X
LIOSZTJ,X,O,O,X,O,X,X
LIOSZJT,X,O,O,O,O,X,X
LIOZTJS,X,X,X,O,O,X,X
LIOZTSJ,X,X,X,X,O,X,X
LIOZJTS,X,O,X,O,O,X,X
LIOZJST,X,O,X,O,O,X,X
LIOZSTJ,X,O,X,X,O,X,X
LIOZSJT,X,O,X,O,O,X,X
LJTISZO,X,O,O,O,X,X,X
LJTISOZ,X,O,O,O,X,X,X
LJTIZSO,X,O,O,O,X,X,X
LJTIZOS,X,O,X,X,X,O,X
LJTIOSZ,X,O,O,O,X,O,X
LJTIOZS,X,O,X,O,X,O,X
LJTSIZO,X,O,O,O,X,X,X
LJTSIOZ,O,O,O,O,X,X,X
LJTSZIO,O,O,O,O,X,X,X
LJTSZOI,O,O,O,X,X,X,O
LJTSOIZ,O,O,O,O,X,X,X
LJTSOZI,O,O,O,O,X,X,O
LJTZISO,O,O,O,O,X,X,X
LJTZIOS,O,O,X,X,X,O,X
LJTZSIO,O,O,O,O,X,X,X
LJTZSOI,O,O,O,X,X,X,X
LJTZOIS,O,O,X,O,X,O,X
LJTZOSI,O,O,X,O,X,O,X
LJTOISZ,X,O,O,O,X,O,X
LJTOIZS,X,O,X,O,X,O,X
LJTOSIZ,O,O,O,O,X,O,X
LJTOSZI,O,O,O,O,X,O,O
LJTOZIS,O,O,X,O,X,O,X
LJTOZSI,O,O,X,O,X,O,X
LJITSZO,X,O,X,O,X,X,X
LJITSOZ,X,O,X,O,X,X,X
LJITZSO,X,O,X,O,X,X,X
LJITZOS,X,O,X,X,X,X,X
LJITOSZ,X,O,X,O,X,X,X
LJITOZS,X,O,X,O,X,X,X
LJISTZO,X,O,X,O,X,X,X
LJISTOZ,X,O,X,O,X,X,X
LJISZTO,X,O,X,O,X,X,X
LJISZOT,X,O,X,X,X,X,X
LJISOTZ,X,O,X,O,X,X,X
LJISOZT,X,O,X,X,X,X,X
LJIZTSO,X,O,X,O,X,X,X
LJIZTOS,X,O,X,X,X,X,X
LJIZSTO,X,O,X,O,X,X,X
LJIZSOT,X,O,X,X,X,X,X
LJIZOTS,X,O,X,X,X,X,X
LJIZOST,X,O,X,X,X,X,X
LJIOTSZ,X,O,X,O,X,X,X
LJIOTZS,X,O,X,O,X,X,X
LJIOSTZ,X,O,X,O,X,X,X
LJIOSZT,X,O,X,O,X,X,X
LJIOZTS,X,O,X,O,X,X,X
LJIOZST,X,O,X,O,X,X,X
LJSTIZO,X,O,O,O,X,X,X
LJSTIOZ,O,O,O,O,X,X,X
LJSTZIO,O,O,O,O,X,X,X
LJSTZOI,O,O,O,X,X,X,O
LJSTOIZ,O,O,O,O,X,X,X
LJSTOZI,O,O,O,O,X,X,O
LJSITZO,X,O,O,O,X,X,X
LJSITOZ,O,O,O,O,X,X,X
LJSIZTO,X,O,O,O,X,X,X
LJSIZOT,X,O,O,X,X,X,X
LJSIOTZ,X,O,O,O,X,X,X
LJSIOZT,X,O,O,X,X,X,X
LJSZTIO,O,O,O,O,X,X,X
LJSZTOI,O,O,O,X,O,X,X
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,O,O,X,X,X,X
LJSZOTI,O,O,O,X,O,X,X
LJSZOIT,O,O,O,X,O,X,X
LJSOTIZ,X,O,O,O,X,X,X
LJSOTZI,X,O,O,O,X,X,O
LJSOITZ,X,O,O,O,X,X,X
LJSOIZT,X,O,O,O,O,X,X
LJSOZTI,X,O,O,O,O,X,X
LJSOZIT,X,O,O,O,O,X,X
LJZTISO,O,O,X,O,X,X,X
LJZTIOS,O,O,X,X,X,O,X
LJZTSIO,O,O,X,O,X,X,X
LJZTSOI,O,O,X,X,O,X,X
LJZTOIS,O,O,X,O,O,O,X
LJZTOSI,O,O,X,O,O,O,X
LJZITSO,O,O,X,O,X,X,X
LJZITOS,O,O,X,X,X,O,X
LJZISTO,O,O,X,O,X,X,X
LJZISOT,O,O,X,X,X,X,X
LJZIOTS,X,O,X,X,X,O,X
LJZIOST,O,O,X,X,X,X,X
LJZSTIO,O,O,X,O,X,X,X
LJZSTOI,O,O,X,X,O,X,O
LJZSITO,O,O,X,O,X,X,X
LJZSIOT,O,O,X,X,X,X,X
LJZSOTI,O,O,X,X,O,X,O
LJZSOIT,O,O,X,X,O,X,O
LJZOTIS,O,O,X,O,O,O,X
LJZOTSI,O,O,X,O,O,O,X
LJZOITS,X,O,X,O,O,O,X
LJZOIST,O,O,X,O,O,X,O
LJZOSTI,O,O,X,O,O,O,O
LJZOSIT,O,O,X,O,O,X,O
LJOTISZ,X,O,O,O,X,O,X
LJOTIZS,X,O,O,O,X,O,X
LJOTSIZ,X,O,O,O,X,O,X
LJOTSZI,X,O,O,O,X,O,O
LJOTZIS,X,O,O,O,X,O,X
LJOTZSI,X,O,O,O,X,O,X
LJOITSZ,X,O,O,O,X,O,X
LJOITZS,X,O,O,O,X,O,X
LJOISTZ,X,O,O,O,X,X,X
LJOISZT,X,O,O,O,O,X,X
LJOIZTS,X,O,X,O,O,O,X
LJOIZST,X,O,X,O,O,X,O
LJOSTIZ,X,O,O,O,X,O,X
LJOSTZI,X,O,O,O,X,O,O
LJOSITZ,X,O,O,O,X,X,X
LJOSIZT,X,O,O,O,O,X,X
LJOSZTI,X,O,O,O,O,O,X
LJOSZIT,X,O,O,O,O,X,X
LJOZTIS,X,O,O,O,O,O,X
LJOZTSI,X,O,O,O,O,O,X
LJOZITS,X,O,X,O,O,O,X
LJOZIST,X,O,X,O,O,X,O
LJOZSTI,X,O,O,O,O,O,O
LJOZSIT,X,O,O,O,O,X,O
LSTIJZO,X,O,O,X,X,X,X
LSTIJOZ,O,O,O,X,X,X,X
LSTIZJO,O,O,O,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X
LSTIOJZ,O,X,O,O,X,X,X
LSTIOZJ,O,O,O,X,X,X,X
LSTJIZO,X,O,O,X,X,X,X
LSTJIOZ,O,O,O,X,X,X,X
LSTJZIO,O,O,O,X,X,X,X
LSTJZOI,O,O,O,X,X,X,O
LSTJOIZ,O,O,O,X,X,X,X
LSTJOZI,O,O,O,X,X,X,O
LSTZIJO,O,O,O,X,X,X,X
LSTZIOJ,O,O,O,X,O,X,O
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,O,X,O,X,O
LSTZOIJ,O,O,O,X,O,X,O
LSTZOJI,O,O,O,X,O,X,O
LSTOIJZ,O,X,O,O,X,X,X
LSTOIZJ,O,O,O,X,O,X,X
LSTOJIZ,O,X,O,O,X,X,X
LSTOJZI,O,X,O,O,X,X,O
LSTOZIJ,O,O,O,X,O,X,O
LSTOZJI,O,O,O,X,O,X,O
LSITJZO,X,O,O,X,X,X,X
LSITJOZ,O,O,O,X,X,X,X
LSITZJO,O,O,O,X,X,X,X
LSITZOJ,O,O,O,X,X,X,X
LSITOJZ,O,X,O,O,X,X,X
LSITOZJ,O,O,O,X,X,X,X
