sequence,v115@6gB8HeB8FeD8EeE8AeB8AeG8Jei6IvhFzcB5jBckBm?gB3gBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JecAJvhFmcB5jBTfBX?hBikBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8Je/AJvhFahBzcB5jBO?kB0fBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeaBJvhFzcB5jBOkBX?gBcqBlpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeK/IvhFfgBlbBzcB5?jB8lBmpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeO/IvhFzcB5jB8lB3?kBFlBiqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeeBJvhFzcB5jB/kBF?gBikBcqB
LSITJOZ,X,O,O,X,X,X,O
LSITZJO,X,O,O,X,X,X,X
LSITZOJ,X,O,O,X,X,X,X
LSITOJZ,X,O,O,X,X,X,X
LSITOZJ,X,O,O,X,X,X,X
LSIJTZO,X,O,X,X,X,X,X
LSIJTOZ,X,O,X,X,X,X,O
LSIJZTO,X,O,X,O,X,O,X
LSIJZOT,X,X,X,O,X,O,X
LSIJOTZ,X,X,X,X,X,X,O
LSIJOZT,X,X,X,O,X,O,X
LSIZTJO,X,O,X,O,X,X,X
LSIZTOJ,X,O,X,O,X,X,X
LSIZJTO,X,O,X,O,X,O,X
LSIZJOT,X,X,X,O,X,O,X
LSIZOTJ,X,X,X,O,X,X,X
LSIZOJT,X,X,X,O,X,O,X
LSIOTJZ,X,X,O,X,X,X,X
LSIOTZJ,X,X,O,X,X,X,X
LSIOJTZ,X,X,X,X,X,X,O
LSIOJZT,X,X,X,O,X,O,X
LSIOZTJ,X,X,X,O,X,X,X
LSIOZJT,X,X,X,O,X,O,X
LSJTIZO,X,O,X,X,X,X,X
LSJTIOZ,X,O,X,X,X,X,O
LSJTZIO,X,O,X,X,X,X,X
LSJTZOI,X,O,X,X,X,X,X
LSJTOIZ,X,O,X,X,X,X,O
LSJTOZI,X,O,X,X,X,X,X
LSJITZO,X,O,X,X,X,X,X
LSJITOZ,X,O,X,X,X,X,O
LSJIZTO,X,O,X,O,X,O,X
LSJIZOT,X,X,X,O,X,O,X
LSJIOTZ,X,X,X,X,X,X,O
LSJIOZT,X,X,X,O,X,O,X
LSJZTIO,X,O,X,O,X,X,X
LSJZTOI,X,O,X,O,X,X,X
LSJZITO,X,O,X,O,X,O,X
LSJZIOT,X,X,X,O,X,O,X
LSJZOTI,X,X,X,O,X,X,X
LSJZOIT,X,X,X,O,X,O,X
LSJOTIZ,X,X,X,X,X,X,O
LSJOTZI,X,X,X,X,X,X,X
LSJOITZ,X,X,X,X,X,X,O
LSJOIZT,X,X,X,O,X,O,X
LSJOZTI,X,X,X,O,X,X,X
LSJOZIT,X,X,X,O,X,O,X
LSZTIJO,X,O,X,O,X,X,X
LSZTIOJ,X,O,X,O,X,X,X
LSZTJIO,X,O,X,O,X,X,X
LSZTJOI,X,O,X,O,X,X,X
LSZTOIJ,X,O,X,O,X,X,X
LSZTOJI,X,O,X,O,X,X,X
LSZITJO,X,O,X,O,X,X,X
LSZITOJ,X,O,X,O,X,X,X
LSZIJTO,X,O,X,O,X,O,X
LSZIJOT,X,X,X,O,X,O,X
LSZIOTJ,X,X,X,O,X,X,X
LSZIOJT,X,X,X,O,X,O,X
LSZJTIO,X,O,X,O,X,X,X
LSZJTOI,X,O,X,O,X,X,X
LSZJITO,X,O,X,O,X,O,X
LSZJIOT,X,X,X,O,X,O,X
LSZJOTI,X,X,X,O,X,X,X
LSZJOIT,X,X,X,O,X,O,X
LSZOTIJ,X,X,X,O,X,X,X
LSZOTJI,X,X,X,O,X,X,X
LSZOITJ,X,X,X,O,X,X,X
LSZOIJT,X,X,X,O,X,O,X
LSZOJTI,X,X,X,O,X,X,X
LSZOJIT,X,X,X,O,X,O,X
LSOTIJZ,X,X,O,X,X,X,X
LSOTIZJ,X,X,O,X,X,X,X
LSOTJIZ,X,X,O,X,X,X,X
LSOTJZI,X,X,O,X,X,X,X
LSOTZIJ,X,X,O,X,X,X,X
LSOTZJI,X,X,O,X,X,X,X
LSOITJZ,X,X,O,X,X,X,X
LSOITZJ,X,X,O,X,X,X,X
LSOIJTZ,X,X,X,X,X,X,O
LSOIJZT,X,X,X,O,X,O,X
LSOIZTJ,X,X,X,O,X,X,X
LSOIZJT,X,X,X,O,X,O,X
LSOJTIZ,X,X,X,X,X,X,O
LSOJTZI,X,X,X,X,X,X,X
LSOJITZ,X,X,X,X,X,X,O
LSOJIZT,X,X,X,O,X,O,X
LSOJZTI,X,X,X,O,X,X,X
LSOJZIT,X,X,X,O,X,O,X
LSOZTIJ,X,X,X,O,X,X,X
LSOZTJI,X,X,X,O,X,X,X
LSOZITJ,X,X,X,O,X,X,X
LSOZIJT,X,X,X,O,X,O,X
LSOZJTI,X,X,X,O,X,X,X
LSOZJIT,X,X,X,O,X,O,X
LZTIJSO,O,X,O,O,X,X,X
LZTIJOS,O,X,O,O,X,X,X
LZTISJO,O,X,O,O,X,X,X
LZTISOJ,O,X,O,O,X,X,X
LZTIOJS,O,X,O,O,X,X,X
LZTIOSJ,O,X,O,O,X,X,X
LZTJISO,O,X,O,O,X,X,X
LZTJIOS,O,X,O,O,X,X,X
LZTJSIO,O,X,O,O,X,X,X
LZTJSOI,O,X,O,O,X,X,X
LZTJOIS,O,X,O,O,X,X,X
LZTJOSI,O,X,O,O,X,X,X
LZTSIJO,O,X,O,O,X,X,X
LZTSIOJ,O,X,O,O,X,X,X
LZTSJIO,O,X,O,O,X,X,X
LZTSJOI,O,X,O,O,X,X,X
LZTSOIJ,O,X,O,O,X,X,X
LZTSOJI,O,X,O,O,X,X,X
LZTOIJS,O,X,O,O,X,X,X
LZTOISJ,O,X,O,O,X,X,X
LZTOJIS,O,X,O,O,X,X,X
LZTOJSI,O,X,O,O,X,X,X
LZTOSIJ,O,X,O,O,X,X,X
LZTOSJI,O,X,O,O,X,X,X
LZITJSO,O,X,O,O,X,X,X
LZITJOS,O,X,O,O,X,X,X
LZITSJO,O,X,O,O,X,X,X
LZITSOJ,O,X,O,O,X,X,X
LZITOJS,O,X,O,O,X,X,X
LZITOSJ,O,X,O,O,X,X,X
LZIJTSO,O,X,X,O,O,X,X
LZIJTOS,O,X,X,O,O,X,X
LZIJSTO,X,X,X,O,O,X,X
LZIJSOT,O,X,X,O,O,X,X
LZIJOTS,O,X,X,O,O,X,X
LZIJOST,O,X,X,O,O,X,X
LZISTJO,O,X,X,O,X,X,X
LZISTOJ,O,X,X,O,X,X,X
LZISJTO,X,X,X,O,X,O,X
LZISJOT,O,X,X,O,X,O,X
LZISOTJ,O,X,X,O,X,X,X
LZISOJT,O,X,X,O,X,O,X
LZIOTJS,O,X,O,O,X,X,X
LZIOTSJ,O,X,O,O,X,X,X
LZIOJTS,O,X,X,O,O,X,X
LZIOJST,O,X,X,O,O,X,X
LZIOSTJ,O,X,X,O,X,X,X
LZIOSJT,O,X,X,O,X,O,X
LZJTISO,O,X,X,O,O,X,X
LZJTIOS,O,X,X,O,O,X,X
LZJTSIO,O,X,X,O,O,X,X
LZJTSOI,O,X,X,O,O,X,X
LZJTOIS,O,X,X,O,O,X,X
LZJTOSI,O,X,X,O,O,X,X
LZJITSO,O,X,X,O,O,X,X
LZJITOS,O,X,X,O,O,X,X
LZJISTO,X,X,X,O,O,X,X
LZJISOT,O,X,X,O,O,X,X
LZJIOTS,O,X,X,O,O,X,X
LZJIOST,O,X,X,O,O,X,X
LZJSTIO,X,X,X,O,O,X,X
LZJSTOI,X,X,X,O,O,X,X
LZJSITO,X,X,X,O,O,X,X
LZJSIOT,O,X,X,O,O,X,X
LZJSOTI,X,X,X,O,O,X,X
LZJSOIT,O,X,X,O,O,X,X
LZJOTIS,O,X,X,O,O,X,X
LZJOTSI,O,X,X,O,O,X,X
LZJOITS,O,X,X,O,O,X,X
LZJOIST,O,X,X,O,O,X,X
LZJOSTI,X,X,X,O,O,X,X
LZJOSIT,O,X,X,O,O,X,X
LZSTIJO,O,X,X,O,X,X,X
LZSTIOJ,O,X,X,O,X,X,X
LZSTJIO,O,X,X,O,X,X,X
LZSTJOI,O,X,X,O,X,X,X
LZSTOIJ,O,X,X,O,X,X,X
LZSTOJI,O,X,X,O,X,X,X
LZSITJO,O,X,X,O,X,X,X
LZSITOJ,O,X,X,O,X,X,X
LZSIJTO,X,X,X,O,X,O,X
LZSIJOT,O,X,X,O,X,O,X
LZSIOTJ,O,X,X,O,X,X,X
LZSIOJT,O,X,X,O,X,O,X
LZSJTIO,X,X,X,O,X,X,X
LZSJTOI,X,X,X,O,X,X,X
LZSJITO,X,X,X,O,X,O,X
LZSJIOT,O,X,X,O,X,O,X
LZSJOTI,X,X,X,O,X,X,X
LZSJOIT,O,X,X,O,X,O,X
LZSOTIJ,O,X,X,O,X,X,X
LZSOTJI,O,X,X,O,X,X,X
LZSOITJ,O,X,X,O,X,X,X
LZSOIJT,O,X,X,O,X,O,X
LZSOJTI,X,X,X,O,X,X,X
LZSOJIT,O,X,X,O,X,O,X
LZOTIJS,O,X,O,O,X,X,X
LZOTISJ,O,X,O,O,X,X,X
LZOTJIS,O,X,O,O,X,X,X
LZOTJSI,O,X,O,O,X,X,X
LZOTSIJ,O,X,O,O,X,X,X
LZOTSJI,O,X,O,O,X,X,X
LZOITJS,O,X,O,O,X,X,X
LZOITSJ,O,X,O,O,X,X,X
LZOIJTS,O,X,X,O,O,X,X
LZOIJST,O,X,X,O,O,X,X
LZOISTJ,O,X,X,O,X,X,X
LZOISJT,O,X,X,O,X,O,X
LZOJTIS,O,X,X,O,O,X,X
LZOJTSI,O,X,X,O,O,X,X
LZOJITS,O,X,X,O,O,X,X
LZOJIST,O,X,X,O,O,X,X
LZOJSTI,X,X,X,O,O,X,X
LZOJSIT,O,X,X,O,O,X,X
LZOSTIJ,O,X,X,O,X,X,X
LZOSTJI,O,X,X,O,X,X,X
LZOSITJ,O,X,X,O,X,X,X
LZOSIJT,O,X,X,O,X,O,X
LZOSJTI,X,X,X,O,X,X,X
LZOSJIT,O,X,X,O,X,O,X
LOTIJSZ,X,X,O,X,X,X,X
LOTIJZS,O,X,O,O,X,X,X
LOTISJZ,X,X,O,X,X,X,X
LOTISZJ,X,X,O,X,X,X,X
LOTIZJS,O,X,O,O,X,X,X
LOTIZSJ,O,X,O,O,X,X,X
LOTJISZ,X,X,O,X,X,X,X
LOTJIZS,O,X,O,O,X,X,X
LOTJSIZ,X,X,O,X,X,X,X
LOTJSZI,X,X,O,X,X,X,X
LOTJZIS,O,X,O,O,X,X,X
LOTJZSI,O,X,O,O,X,X,X
LOTSIJZ,X,X,O,X,X,X,X
LOTSIZJ,X,X,O,X,X,X,X
LOTSJIZ,X,X,O,X,X,X,X
LOTSJZI,X,X,O,X,X,X,X
LOTSZIJ,X,X,O,X,X,X,X
LOTSZJI,X,X,O,X,X,X,X
LOTZIJS,O,X,O,O,X,X,X
LOTZISJ,O,X,O,O,X,X,X
LOTZJIS,O,X,O,O,X,X,X
LOTZJSI,O,X,O,O,X,X,X
LOTZSIJ,O,X,O,O,X,X,X
LOTZSJI,O,X,O,O,X,X,X
LOITJSZ,X,X,O,X,X,X,X
LOITJZS,O,X,O,O,X,X,X
LOITSJZ,X,X,O,X,X,X,X
LOITSZJ,X,X,O,X,X,X,X
LOITZJS,O,X,O,O,X,X,X
LOITZSJ,O,X,O,O,X,X,X
LOIJTSZ,X,X,O,X,O,X,X
LOIJTZS,O,X,O,O,O,X,X
LOIJSTZ,X,X,X,X,O,X,O
LOIJSZT,X,X,X,O,O,X,X
LOIJZTS,O,X,X,O,O,X,X
LOIJZST,O,X,X,O,O,X,X
LOISTJZ,X,X,O,X,X,X,X
LOISTZJ,X,X,O,X,X,X,X
LOISJTZ,X,X,X,X,X,X,O
LOISJZT,X,X,X,O,X,O,X
LOISZTJ,X,X,X,O,X,X,X
LOISZJT,X,X,X,O,X,O,X
LOIZTJS,O,X,O,O,X,X,X
LOIZTSJ,O,X,O,O,X,X,X
LOIZJTS,O,X,X,O,O,X,X
LOIZJST,O,X,X,O,O,X,X
LOIZSTJ,O,X,X,O,X,X,X
LOIZSJT,O,X,X,O,X,O,X
LOJTISZ,X,X,O,X,O,X,X
LOJTIZS,O,X,O,O,O,X,X
LOJTSIZ,X,X,O,X,O,X,X
LOJTSZI,X,X,O,X,O,X,X
LOJTZIS,O,X,O,O,O,X,X
LOJTZSI,O,X,O,O,O,X,X
LOJITSZ,X,X,O,X,O,X,X
LOJITZS,O,X,O,O,O,X,X
LOJISTZ,X,X,X,X,O,X,O
LOJISZT,X,X,X,O,O,X,X
LOJIZTS,O,X,X,O,O,X,X
LOJIZST,O,X,X,O,O,X,X
LOJSTIZ,X,X,X,X,O,X,O
LOJSTZI,X,X,X,X,O,X,X
LOJSITZ,X,X,X,X,O,X,O
LOJSIZT,X,X,X,O,O,X,X
LOJSZTI,X,X,X,O,O,X,X
LOJSZIT,X,X,X,O,O,X,X
LOJZTIS,O,X,X,O,O,X,X
LOJZTSI,X,X,X,O,O,X,X
LOJZITS,O,X,X,O,O,X,X
LOJZIST,O,X,X,O,O,X,X
LOJZSTI,X,X,X,O,O,X,X
LOJZSIT,O,X,X,O,O,X,X
LOSTIJZ,X,X,O,X,X,X,X
LOSTIZJ,X,X,O,X,X,X,X
LOSTJIZ,X,X,O,X,X,X,X
LOSTJZI,X,X,O,X,X,X,X
LOSTZIJ,X,X,O,X,X,X,X
LOSTZJI,X,X,O,X,X,X,X
LOSITJZ,X,X,O,X,X,X,X
LOSITZJ,X,X,O,X,X,X,X
LOSIJTZ,X,X,X,X,X,X,O
LOSIJZT,X,X,X,O,X,O,X
LOSIZTJ,X,X,X,O,X,X,X
LOSIZJT,X,X,X,O,X,O,X
LOSJTIZ,X,X,X,X,X,X,O
LOSJTZI,X,X,X,X,X,X,X
LOSJITZ,X,X,X,X,X,X,O
LOSJIZT,X,X,X,O,X,O,X
LOSJZTI,X,X,X,O,X,X,X
LOSJZIT,X,X,X,O,X,O,X
LOSZTIJ,X,X,X,O,X,X,X
LOSZTJI,X,X,X,O,X,X,X
LOSZITJ,X,X,X,O,X,X,X
LOSZIJT,X,X,X,O,X,O,X
LOSZJTI,X,X,X,O,X,X,X
LOSZJIT,X,X,X,O,X,O,X
LOZTIJS,O,X,O,O,X,X,X
LOZTISJ,O,X,O,O,X,X,X
LOZTJIS,O,X,O,O,X,X,X
LOZTJSI,O,X,O,O,X,X,X
LOZTSIJ,O,X,O,O,X,X,X
LOZTSJI,O,X,O,O,X,X,X
LOZITJS,O,X,O,O,X,X,X
LOZITSJ,O,X,O,O,X,X,X
LOZIJTS,O,X,X,O,O,X,X
LOZIJST,O,X,X,O,O,X,X
LOZISTJ,O,X,X,O,X,X,X
LOZISJT,O,X,X,O,X,O,X
LOZJTIS,O,X,X,O,O,X,X
LOZJTSI,O,X,X,O,O,X,X
LOZJITS,O,X,X,O,O,X,X
LOZJIST,O,X,X,O,O,X,X
LOZJSTI,X,X,X,O,O,X,X
LOZJSIT,O,X,X,O,O,X,X
LOZSTIJ,O,X,X,O,X,X,X
LOZSTJI,O,X,X,O,X,X,X
LOZSITJ,O,X,X,O,X,X,X
LOZSIJT,O,X,X,O,X,O,X
LOZSJTI,X,X,X,O,X,X,X
LOZSJIT,O,X,X,O,X,O,X
JTILSZO,X,O,O,X,O,X,X
JTILSOZ,X,O,O,X,O,X,X
JTILZSO,O,X,O,O,O,X,X
JTILZOS,O,X,O,O,O,X,X
JTILOSZ,X,O,O,X,O,X,X
JTILOZS,O,X,O,O,O,X,X
JTISLZO,X,O,O,X,X,X,X
JTISLOZ,X,O,O,X,X,X,O
JTISZLO,O,O,O,X,X,X,X
JTISZOL,O,O,O,X,X,X,O
JTISOLZ,X,O,O,X,X,X,O
JTISOZL,O,O,O,X,X,X,O
JTIZLSO,O,X,O,O,O,X,X
JTIZLOS,O,X,O,O,O,X,X
JTIZSLO,O,O,O,O,X,X,X
JTIZSOL,O,O,O,O,X,X,X
JTIZOLS,O,X,O,O,O,X,X
JTIZOSL,O,O,O,O,X,X,X
JTIOLSZ,X,O,O,X,O,X,X
JTIOLZS,O,X,O,O,O,X,X
JTIOSLZ,X,O,O,X,X,X,O
JTIOSZL,O,O,O,X,X,X,O
JTIOZLS,O,X,O,O,O,X,X
JTIOZSL,O,O,O,O,X,X,X
JTLISZO,X,O,O,X,O,X,X
JTLISOZ,X,O,O,X,O,X,X
JTLIZSO,O,X,O,O,O,X,X
JTLIZOS,O,X,O,O,O,X,X
JTLIOSZ,X,O,O,X,O,X,X
JTLIOZS,O,X,O,O,O,X,X
JTLSIZO,X,O,O,X,O,X,X
JTLSIOZ,X,O,O,X,O,X,X
JTLSZIO,X,O,O,X,O,X,X
JTLSZOI,X,O,O,X,O,X,X
JTLSOIZ,X,O,O,X,O,X,X
JTLSOZI,X,O,O,X,O,X,X
JTLZISO,O,X,O,O,O,X,X
JTLZIOS,O,X,O,O,O,X,X
JTLZSIO,O,X,O,O,O,X,X
JTLZSOI,O,X,O,O,O,X,X
JTLZOIS,O,X,O,O,O,X,X
JTLZOSI,O,X,O,O,O,X,X
JTLOISZ,X,O,O,X,O,X,X
JTLOIZS,O,X,O,O,O,X,X
JTLOSIZ,X,O,O,X,O,X,X
JTLOSZI,X,O,O,X,O,X,X
JTLOZIS,O,X,O,O,O,X,X
JTLOZSI,O,X,O,O,O,X,X
JTSILZO,X,O,O,X,X,X,X
JTSILOZ,X,O,O,X,X,X,O
JTSIZLO,O,O,O,X,X,X,X
JTSIZOL,O,O,O,X,X,X,O
JTSIOLZ,X,O,O,X,X,X,O
JTSIOZL,O,O,O,X,X,X,O
JTSLIZO,X,O,O,X,X,X,X
JTSLIOZ,X,O,O,X,X,X,O
JTSLZIO,X,O,O,X,X,X,X
JTSLZOI,X,O,O,X,X,X,X
JTSLOIZ,X,O,O,X,X,X,O
JTSLOZI,X,O,O,X,X,X,X
JTSZILO,O,O,O,X,X,X,X
JTSZIOL,O,O,O,X,X,X,O
JTSZLIO,O,O,O,X,X,X,X
JTSZLOI,O,O,O,X,X,X,X
JTSZOIL,O,O,O,X,X,X,O
JTSZOLI,O,O,O,X,X,X,X
JTSOILZ,X,O,O,X,X,X,O
JTSOIZL,O,O,O,X,X,X,O
JTSOLIZ,X,O,O,X,X,X,O
JTSOLZI,X,O,O,X,X,X,X
JTSOZIL,O,O,O,X,X,X,O
JTSOZLI,O,O,O,X,X,X,X
JTZILSO,O,X,O,O,O,X,X
JTZILOS,O,X,O,O,O,X,X
JTZISLO,O,O,O,O,X,X,X
JTZISOL,O,O,O,O,X,X,X
JTZIOLS,O,X,O,O,O,X,X
JTZIOSL,O,O,O,O,X,X,X
JTZLISO,O,X,O,O,O,X,X
JTZLIOS,O,X,O,O,O,X,X
JTZLSIO,O,X,O,O,O,X,X
JTZLSOI,O,X,O,O,O,X,X
JTZLOIS,O,X,O,O,O,X,X
JTZLOSI,O,X,O,O,O,X,X
JTZSILO,O,O,O,O,X,X,X
JTZSIOL,O,O,O,O,X,X,X
JTZSLIO,O,O,O,O,X,X,X
JTZSLOI,O,O,O,O,X,X,X
JTZSOIL,O,O,O,O,X,X,X
JTZSOLI,O,O,O,O,X,X,X
JTZOILS,O,X,O,O,O,X,X
JTZOISL,O,O,O,O,X,X,X
JTZOLIS,O,X,O,O,O,X,X
JTZOLSI,O,X,O,O,O,X,X
JTZOSIL,O,O,O,O,X,X,X
JTZOSLI,O,O,O,O,X,X,X
JTOILSZ,X,O,O,X,O,X,X
JTOILZS,O,X,O,O,O,X,X
JTOISLZ,X,O,O,X,X,X,O
JTOISZL,O,O,O,X,X,X,O
JTOIZLS,O,X,O,O,O,X,X
JTOIZSL,O,O,O,O,X,X,X
JTOLISZ,X,O,O,X,O,X,X
JTOLIZS,O,X,O,O,O,X,X
JTOLSIZ,X,O,O,X,O,X,X
JTOLSZI,X,O,O,X,O,X,X
JTOLZIS,O,X,O,O,O,X,X
JTOLZSI,O,X,O,O,O,X,X
JTOSILZ,X,O,O,X,X,X,O
JTOSIZL,O,O,O,X,X,X,O
JTOSLIZ,X,O,O,X,X,X,O
JTOSLZI,X,O,O,X,X,X,X
JTOSZIL,O,O,O,X,X,X,O
JTOSZLI,O,O,O,X,X,X,X
JTOZILS,O,X,O,O,O,X,X
JTOZISL,O,O,O,O,X,X,X
JTOZLIS,O,X,O,O,O,X,X
JTOZLSI,O,X,O,O,O,X,X
JTOZSIL,O,O,O,O,X,X,X
JTOZSLI,O,O,O,O,X,X,X
JITLSZO,X,O,O,X,O,X,X
JITLSOZ,X,O,O,X,O,X,X
JITLZSO,O,X,O,O,O,X,X
JITLZOS,O,X,O,O,O,X,X
JITLOSZ,X,O,O,X,O,X,X
JITLOZS,O,X,O,O,O,X,X
JITSLZO,X,O,O,X,X,X,X
JITSLOZ,X,O,O,X,X,X,O
JITSZLO,O,O,O,X,X,X,X
JITSZOL,O,O,O,X,X,X,O
JITSOLZ,X,O,O,X,X,X,O
JITSOZL,O,O,O,X,X,X,O
JITZLSO,O,X,O,O,O,X,X
JITZLOS,O,X,O,O,O,X,X
JITZSLO,O,O,O,O,X,X,X
JITZSOL,O,O,O,O,X,X,X
JITZOLS,O,X,O,O,O,X,X
JITZOSL,O,O,O,O,X,X,X
JITOLSZ,X,O,O,X,O,X,X
JITOLZS,O,X,O,O,O,X,X
JITOSLZ,X,O,O,X,X,X,O
JITOSZL,O,O,O,X,X,X,O
JITOZLS,O,X,O,O,O,X,X
JITOZSL,O,O,O,O,X,X,X
JILTSZO,X,O,O,X,O,X,X
JILTSOZ,X,O,O,X,O,X,X
JILTZSO,O,X,O,O,O,X,X
JILTZOS,O,X,O,O,O,X,X
JILTOSZ,X,O,O,X,O,X,X
JILTOZS,O,X,O,O,O,X,X
JILSTZO,X,O,X,X,O,X,X
JILSTOZ,X,O,X,X,O,X,O
JILSZTO,X,O,X,O,O,X,X
JILSZOT,X,X,X,O,O,X,X
JILSOTZ,X,X,X,X,O,X,O
JILSOZT,X,X,X,O,O,X,X
JILZTSO,X,X,X,O,O,X,X
JILZTOS,O,X,X,O,O,X,X
JILZSTO,X,X,X,O,O,X,X
JILZSOT,O,X,X,O,O,X,X
JILZOTS,O,X,X,O,O,X,X
JILZOST,O,X,X,O,O,X,X
JILOTSZ,X,X,O,X,O,X,X
JILOTZS,O,X,O,O,O,X,X
JILOSTZ,X,X,X,X,O,X,O
JILOSZT,X,X,X,O,O,X,X
JILOZTS,O,X,X,O,O,X,X
JILOZST,O,X,X,O,O,X,X
JISTLZO,X,O,O,X,X,X,X
JISTLOZ,X,O,O,X,X,X,O
JISTZLO,O,O,O,X,X,O,X
JISTZOL,O,O,O,X,X,O,O
JISTOLZ,X,O,O,X,X,X,O
JISTOZL,O,O,O,X,X,O,O
JISLTZO,X,O,X,X,O,X,X
JISLTOZ,X,O,X,X,O,X,O
JISLZTO,X,O,X,O,O,O,X
JISLZOT,X,X,X,O,O,O,X
JISLOTZ,X,X,X,X,O,X,O
JISLOZT,X,X,X,O,O,O,X
JISZTLO,X,O,X,O,X,O,X
JISZTOL,X,O,X,O,X,O,O
JISZLTO,X,O,X,O,O,O,X
JISZLOT,O,X,X,O,O,O,X
JISZOTL,X,O,X,O,X,O,O
JISZOLT,O,X,X,O,O,O,X
JISOTLZ,X,O,O,X,X,X,O
JISOTZL,O,O,O,X,X,O,O
JISOLTZ,X,X,X,X,O,X,O
JISOLZT,X,X,X,O,O,O,X
JISOZTL,X,O,X,O,X,O,O
JISOZLT,O,X,X,O,O,O,X
JIZTLSO,O,X,O,O,O,X,X
JIZTLOS,O,X,O,O,O,X,X
JIZTSLO,O,O,O,O,X,X,X
JIZTSOL,O,O,O,O,X,X,X
JIZTOLS,O,X,O,O,O,X,X
JIZTOSL,O,O,O,O,X,X,X
JIZLTSO,O,X,X,O,O,X,X
JIZLTOS,O,X,X,O,O,X,X
JIZLSTO,X,X,X,O,O,X,X
JIZLSOT,O,X,X,O,O,X,X
JIZLOTS,O,X,X,O,O,X,X
JIZLOST,O,X,X,O,O,X,X
JIZSTLO,X,O,X,O,X,O,X
JIZSTOL,X,O,X,O,X,O,O
JIZSLTO,X,O,X,O,O,O,X
JIZSLOT,O,X,X,O,O,O,X
JIZSOTL,X,O,X,O,X,O,O
JIZSOLT,O,X,X,O,O,O,X
JIZOTLS,O,X,O,O,O,X,X
JIZOTSL,O,X,O,O,X,X,X
JIZOLTS,O,X,X,O,O,X,X
JIZOLST,O,X,X,O,O,X,X
JIZOSTL,X,X,X,O,X,O,O
JIZOSLT,O,X,X,O,O,O,X
JIOTLSZ,X,O,O,X,O,X,X
JIOTLZS,O,X,O,O,O,X,X
JIOTSLZ,X,O,O,X,X,X,O
JIOTSZL,O,O,O,X,X,X,O
JIOTZLS,O,X,O,O,O,X,X
JIOTZSL,O,O,O,O,X,X,X
JIOLTSZ,X,X,O,X,O,X,X
JIOLTZS,O,X,O,O,O,X,X
JIOLSTZ,X,X,X,X,O,X,O
JIOLSZT,X,X,X,O,O,X,X
JIOLZTS,O,X,X,O,O,X,X
JIOLZST,O,X,X,O,O,X,X
JIOSTLZ,X,O,O,X,X,X,O
JIOSTZL,O,O,O,X,X,O,O
JIOSLTZ,X,X,X,X,O,X,O
JIOSLZT,X,X,X,O,O,O,X
JIOSZTL,X,O,X,O,X,O,O
JIOSZLT,O,X,X,O,O,O,X
JIOZTLS,O,X,O,O,O,X,X
JIOZTSL,O,X,O,O,X,X,X
JIOZLTS,O,X,X,O,O,X,X
JIOZLST,O,X,X,O,O,X,X
JIOZSTL,X,X,X,O,X,O,O
JIOZSLT,O,X,X,O,O,O,X
JLTISZO,X,O,O,X,O,X,X
JLTISOZ,X,O,O,X,O,X,X
JLTIZSO,O,X,O,O,O,X,X
JLTIZOS,O,X,O,O,O,X,X
JLTIOSZ,X,O,O,X,O,X,X
JLTIOZS,O,X,O,O,O,X,X
JLTSIZO,X,O,O,X,O,X,X
JLTSIOZ,X,O,O,X,O,X,X
JLTSZIO,X,O,O,X,O,X,X
JLTSZOI,X,O,O,X,O,X,X
JLTSOIZ,X,O,O,X,O,X,X
JLTSOZI,X,O,O,X,O,X,X
JLTZISO,O,X,O,O,O,X,X
JLTZIOS,O,X,O,O,O,X,X
JLTZSIO,O,X,O,O,O,X,X
JLTZSOI,O,X,O,O,O,X,X
JLTZOIS,O,X,O,O,O,X,X
JLTZOSI,O,X,O,O,O,X,X
JLTOISZ,X,O,O,X,O,X,X
JLTOIZS,O,X,O,O,O,X,X
JLTOSIZ,X,O,O,X,O,X,X
JLTOSZI,X,O,O,X,O,X,X
JLTOZIS,O,X,O,O,O,X,X
JLTOZSI,O,X,O,O,O,X,X
JLITSZO,X,O,O,X,O,X,X
JLITSOZ,X,O,O,X,O,X,X
JLITZSO,O,X,O,O,O,X,X
JLITZOS,O,X,O,O,O,X,X
JLITOSZ,X,O,O,X,O,X,X
JLITOZS,O,X,O,O,O,X,X
JLISTZO,X,O,X,X,O,X,X
JLISTOZ,X,O,X,X,O,X,O
JLISZTO,X,O,X,O,O,X,X
JLISZOT,X,X,X,O,O,X,X
JLISOTZ,X,X,X,X,O,X,O
JLISOZT,X,X,X,O,O,X,X
JLIZTSO,X,X,X,O,O,X,X
JLIZTOS,O,X,X,O,O,X,X
JLIZSTO,X,X,X,O,O,X,X
JLIZSOT,O,X,X,O,O,X,X
JLIZOTS,O,X,X,O,O,X,X
JLIZOST,O,X,X,O,O,X,X
JLIOTSZ,X,X,O,X,O,X,X
JLIOTZS,O,X,O,O,O,X,X
JLIOSTZ,X,X,X,X,O,X,O
JLIOSZT,X,X,X,O,O,X,X
