sequence,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFicBuiBcjBX?gBzhBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBqiBTeBX?gB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBSjBXgB0?hBziBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Je2AJvhFRcBCeBzhBX?jB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhF/hBRdBSjB2?nB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jei7IvhFWjBRhB0fBz?hBXjBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFyhBGeBXgBz?iB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhF2hBTeBXgBS?nB8sBFsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhFxhBOoB0fBl?hBCjB/sB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFTcBcjBXgBS?nB2sBlsB
TJSIZOL,O,O,O,X,O,X,O,O,X,X
TJSIOLZ,O,O,X,O,O,X,O,X,O,X
TJSIOZL,O,O,X,O,O,X,O,X,O,X
TJSLIZO,O,O,O,X,O,X,X,X,X,X
TJSLIOZ,O,O,X,O,O,X,O,X,X,X
TJSLZIO,O,O,O,X,O,X,X,X,X,X
TJSLZOI,O,O,O,O,O,X,X,X,X,X
TJSLOIZ,O,O,X,O,O,X,O,X,X,X
TJSLOZI,O,O,X,O,O,X,O,X,X,X
TJSZILO,O,O,O,X,O,X,X,O,X,X
TJSZIOL,O,O,O,X,O,X,O,O,X,X
TJSZLIO,O,O,O,X,O,X,X,O,X,X
TJSZLOI,O,O,O,O,O,X,X,O,X,X
TJSZOIL,O,O,O,O,O,X,O,O,X,X
TJSZOLI,O,O,O,O,O,X,O,O,X,X
TJSOILZ,O,O,X,O,O,X,O,X,O,X
TJSOIZL,O,O,X,O,O,X,O,X,O,X
TJSOLIZ,O,O,X,O,O,X,O,X,X,X
TJSOLZI,O,O,X,O,O,X,O,X,X,X
TJSOZIL,O,O,X,O,O,X,O,X,X,X
TJSOZLI,O,O,X,O,O,X,O,X,X,X
TJZILSO,O,O,O,X,X,O,X,X,X,X
TJZILOS,O,O,X,X,X,O,X,X,X,X
TJZISLO,O,O,O,X,X,X,X,X,X,X
TJZISOL,O,O,O,X,X,X,X,X,X,X
TJZIOLS,O,O,X,X,X,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,X,X,X,X,X,X
TJZLSIO,O,O,O,X,O,X,X,O,X,X
TJZLSOI,O,O,O,X,O,X,X,O,X,X
TJZLOIS,O,O,X,X,X,X,X,X,X,X
TJZLOSI,O,O,O,X,O,X,X,O,X,X
TJZSILO,O,O,O,X,O,X,X,O,X,X
TJZSIOL,O,O,O,X,O,X,O,O,X,X
TJZSLIO,O,O,O,X,O,X,X,O,X,X
TJZSLOI,O,O,O,O,O,X,X,O,X,X
TJZSOIL,O,O,O,O,O,X,O,O,X,X
TJZSOLI,O,O,O,O,O,X,O,O,X,X
TJZOILS,O,O,X,X,X,X,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,X,X,X
TJZOLSI,O,O,O,X,O,X,O,O,X,X
TJZOSIL,O,O,O,O,O,X,O,O,X,X
TJZOSLI,O,O,O,O,O,X,O,O,X,X
TJOILSZ,X,X,X,O,O,O,O,X,X,X
TJOILZS,O,O,X,X,X,O,X,X,X,X
