sequence,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgBxcBXeBenBFm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFdBXeBxgBmlBzm?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFUdBFeBxgB3gBmm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgB2hBXeBRmBFn?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhF1gB0cBXeBOnBxl?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBTgBxhBmmB3m?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBxgBXiBmlBzm?BUrB
IZTSJLO,X,X,X,X,O,X,X
IZTSJOL,X,X,X,X,X,X,X
IZTSOLJ,X,X,X,O,O,X,X
IZTSOJL,X,X,X,O,X,X,X
IZTOLJS,X,X,O,O,X,O,X
IZTOLSJ,X,X,X,O,O,X,X
IZTOJLS,X,X,O,O,X,X,X
IZTOJSL,X,X,O,O,X,X,X
IZTOSLJ,X,X,X,O,O,X,X
IZTOSJL,X,X,X,O,X,X,X
IZLTJSO,O,X,O,X,O,X,X
IZLTJOS,O,X,O,X,X,X,X
IZLTSJO,X,X,X,X,O,X,X
IZLTSOJ,X,X,X,O,O,X,X
IZLTOJS,X,X,O,O,X,X,X
IZLTOSJ,X,X,X,O,O,X,X
IZLJTSO,O,X,O,X,X,X,X
IZLJTOS,O,X,O,X,X,X,X
IZLJSTO,O,X,O,X,X,X,X
IZLJSOT,O,X,X,O,X,X,X
IZLJOTS,X,X,O,O,X,X,X
IZLJOST,O,X,X,O,X,X,X
IZLSTJO,O,X,X,X,O,X,X
IZLSTOJ,X,X,X,O,O,X,X
IZLSJTO,O,X,X,X,X,X,X
IZLSJOT,O,X,X,O,X,X,X
IZLSOTJ,X,X,X,O,X,X,X
IZLSOJT,O,X,X,O,X,X,X
IZLOTJS,X,X,O,O,X,X,X
IZLOTSJ,X,X,X,O,X,X,X
IZLOJTS,X,X,O,O,X,X,X
IZLOJST,X,X,O,O,X,X,X
IZLOSTJ,X,X,X,O,X,X,X
IZLOSJT,X,X,X,O,X,X,X
IZJTLSO,O,X,O,O,X,X,X
IZJTLOS,O,X,O,X,X,X,X
IZJTSLO,O,X,O,O,X,X,X
IZJTSOL,O,X,X,X,X,X,X
IZJTOLS,O,X,O,X,X,O,X
IZJTOSL,O,X,X,X,X,X,X
IZJLTSO,O,X,O,O,X,X,X
IZJLTOS,O,X,O,X,X,X,X
IZJLSTO,O,X,O,O,X,X,X
IZJLSOT,O,X,X,O,X,X,X
IZJLOTS,X,X,O,O,X,X,X
IZJLOST,O,X,X,O,X,X,X
IZJSTLO,O,X,O,O,X,X,X
IZJSTOL,O,X,X,X,X,X,X
IZJSLTO,O,X,O,O,X,X,X
IZJSLOT,O,X,X,O,X,X,X
IZJSOTL,X,X,X,O,X,X,X
IZJSOLT,O,X,X,O,X,X,X
IZJOTLS,X,X,O,O,X,O,X
IZJOTSL,X,X,X,O,X,X,X
IZJOLTS,X,X,O,O,X,O,X
IZJOLST,O,X,X,O,X,X,X
IZJOSTL,X,X,X,O,X,X,X
IZJOSLT,O,X,X,O,X,X,X
IZSTLJO,O,X,X,X,O,X,X
IZSTLOJ,X,X,X,O,O,X,X
IZSTJLO,X,X,X,X,O,X,X
IZSTJOL,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,O,O,X,X
IZSTOJL,X,X,X,O,X,X,X
IZSLTJO,O,X,X,X,O,X,X
IZSLTOJ,X,X,X,O,O,X,X
IZSLJTO,O,X,X,X,X,X,X
IZSLJOT,O,X,X,O,X,X,X
IZSLOTJ,X,X,X,O,X,X,X
IZSLOJT,O,X,X,O,X,X,X
IZSJTLO,O,X,X,O,X,X,X
IZSJTOL,O,X,X,X,X,X,X
IZSJLTO,O,X,X,O,X,X,X
IZSJLOT,O,X,X,O,X,X,X
IZSJOTL,X,X,X,O,X,X,X
IZSJOLT,O,X,X,O,X,X,X
IZSOTLJ,X,X,X,O,X,X,X
IZSOTJL,X,X,X,O,X,X,X
IZSOLTJ,X,X,X,O,X,X,X
IZSOLJT,O,X,X,O,X,X,X
IZSOJTL,X,X,X,O,X,X,X
IZSOJLT,X,X,X,O,X,X,X
IZOTLJS,X,X,O,O,X,O,X
IZOTLSJ,X,X,X,O,X,X,X
IZOTJLS,X,X,O,O,X,X,X
IZOTJSL,X,X,O,O,X,X,X
IZOTSLJ,X,X,X,O,X,X,X
IZOTSJL,X,X,X,O,X,X,X
IZOLTJS,X,X,O,O,X,O,X
IZOLTSJ,X,X,X,O,X,X,X
IZOLJTS,X,X,O,O,X,X,X
IZOLJST,X,X,O,O,X,X,X
IZOLSTJ,X,X,X,O,X,X,X
IZOLSJT,X,X,X,O,X,X,X
IZOJTLS,X,X,O,O,X,X,X
IZOJTSL,X,X,O,O,X,X,X
IZOJLTS,X,X,O,O,X,X,X
IZOJLST,X,X,O,O,X,X,X
IZOJSTL,X,X,O,O,X,X,X
IZOJSLT,X,X,O,O,X,X,X
IZOSTLJ,X,X,X,O,X,X,X
IZOSTJL,X,X,X,O,X,X,X
IZOSLTJ,X,X,X,O,X,X,X
IZOSLJT,X,X,X,O,X,X,X
IZOSJTL,X,X,X,O,X,X,X
IZOSJLT,X,X,X,O,X,X,X
IOTLJSZ,X,O,O,X,O,O,X
IOTLJZS,X,O,O,X,O,O,X
IOTLSJZ,X,O,X,X,O,O,X
IOTLSZJ,X,O,X,X,O,X,X
IOTLZJS,X,X,O,X,O,O,X
IOTLZSJ,X,O,X,X,O,X,X
IOTJLSZ,X,O,O,X,O,O,X
IOTJLZS,X,O,O,X,O,O,X
IOTJSLZ,X,O,O,X,O,O,X
IOTJSZL,X,O,O,O,O,X,X
IOTJZLS,X,O,O,O,O,O,X
IOTJZSL,X,O,O,O,O,X,X
IOTSLJZ,X,O,X,X,O,O,X
IOTSLZJ,X,O,X,X,O,X,X
IOTSJLZ,X,O,X,X,O,X,X
IOTSJZL,X,O,X,O,O,X,X
IOTSZLJ,X,O,X,O,O,X,X
IOTSZJL,X,X,X,O,O,X,X
IOTZLJS,X,X,O,O,O,O,X
IOTZLSJ,X,O,X,O,O,X,X
IOTZJLS,X,X,O,O,O,X,X
IOTZJSL,X,X,O,O,O,X,X
IOTZSLJ,X,O,X,O,O,X,X
IOTZSJL,X,X,X,O,O,X,X
IOLTJSZ,X,O,O,X,O,O,X
IOLTJZS,X,O,O,X,O,O,X
IOLTSJZ,X,O,X,X,O,O,X
IOLTSZJ,X,O,X,X,O,X,X
IOLTZJS,X,X,O,X,O,O,X
IOLTZSJ,X,O,X,X,O,X,X
IOLJTSZ,X,O,O,X,O,O,X
IOLJTZS,X,O,O,X,O,O,X
IOLJSTZ,X,O,O,X,O,O,X
IOLJSZT,X,O,O,O,X,X,X
IOLJZTS,X,O,O,O,X,O,X
IOLJZST,X,O,O,O,X,X,X
IOLSTJZ,X,O,X,X,O,O,X
IOLSTZJ,X,O,X,X,O,X,X
IOLSJTZ,X,O,X,X,O,X,X
IOLSJZT,X,O,X,O,X,X,X
IOLSZTJ,X,O,X,O,O,X,X
IOLSZJT,X,X,X,O,X,X,X
IOLZTJS,X,X,O,O,O,O,X
IOLZTSJ,X,O,X,O,O,X,X
IOLZJTS,X,X,O,O,X,X,X
IOLZJST,X,X,O,O,X,X,X
IOLZSTJ,X,O,X,O,O,X,X
IOLZSJT,X,X,X,O,X,X,X
IOJTLSZ,X,O,O,X,O,O,X
IOJTLZS,X,O,O,X,O,O,X
IOJTSLZ,X,O,O,X,O,O,X
IOJTSZL,X,O,O,O,O,X,X
IOJTZLS,X,O,O,O,O,O,X
IOJTZSL,X,O,O,O,O,X,X
IOJLTSZ,X,O,O,X,O,O,X
IOJLTZS,X,O,O,X,O,O,X
IOJLSTZ,X,O,O,X,O,O,X
IOJLSZT,X,O,O,O,X,X,X
IOJLZTS,X,O,O,O,X,O,X
IOJLZST,X,O,O,O,X,X,X
IOJSTLZ,X,O,O,X,O,O,X
IOJSTZL,X,O,O,O,O,X,X
IOJSLTZ,X,O,O,X,O,O,X
IOJSLZT,X,O,O,O,X,X,X
IOJSZTL,X,O,O,O,X,X,X
IOJSZLT,X,O,O,O,X,X,X
IOJZTLS,X,O,O,O,X,O,X
IOJZTSL,X,O,O,O,X,X,X
IOJZLTS,X,O,O,O,X,O,X
IOJZLST,X,O,O,O,X,X,X
IOJZSTL,X,O,O,O,X,X,X
IOJZSLT,X,O,O,O,X,X,X
IOSTLJZ,X,O,X,X,O,O,X
IOSTLZJ,X,O,X,X,O,X,X
IOSTJLZ,X,O,X,X,O,X,X
IOSTJZL,X,O,X,O,O,X,X
IOSTZLJ,X,O,X,O,O,X,X
IOSTZJL,X,X,X,O,O,X,X
IOSLTJZ,X,O,X,X,O,O,X
IOSLTZJ,X,O,X,X,O,X,X
IOSLJTZ,X,O,X,X,O,X,X
IOSLJZT,X,O,X,O,X,X,X
IOSLZTJ,X,O,X,O,O,X,X
IOSLZJT,X,X,X,O,X,X,X
IOSJTLZ,X,O,X,X,O,X,X
IOSJTZL,X,O,X,O,O,X,X
IOSJLTZ,X,O,X,X,O,X,X
IOSJLZT,X,O,X,O,X,X,X
IOSJZTL,X,O,X,O,X,X,X
IOSJZLT,X,O,X,O,X,X,X
IOSZTLJ,X,O,X,O,O,X,X
IOSZTJL,X,X,X,O,O,X,X
IOSZLTJ,X,O,X,O,O,X,X
IOSZLJT,X,X,X,O,X,X,X
IOSZJTL,X,X,X,O,X,X,X
IOSZJLT,X,X,X,O,X,X,X
IOZTLJS,X,X,O,O,O,O,X
IOZTLSJ,X,O,X,O,O,X,X
IOZTJLS,X,X,O,O,O,X,X
IOZTJSL,X,X,O,O,O,X,X
IOZTSLJ,X,O,X,O,O,X,X
IOZTSJL,X,X,X,O,O,X,X
IOZLTJS,X,X,O,O,O,O,X
IOZLTSJ,X,O,X,O,O,X,X
IOZLJTS,X,X,O,O,X,X,X
IOZLJST,X,X,O,O,X,X,X
IOZLSTJ,X,O,X,O,O,X,X
IOZLSJT,X,X,X,O,X,X,X
IOZJTLS,X,X,O,O,X,X,X
IOZJTSL,X,X,O,O,X,X,X
IOZJLTS,X,X,O,O,X,X,X
IOZJLST,X,X,O,O,X,X,X
IOZJSTL,X,X,O,O,X,X,X
IOZJSLT,X,X,O,O,X,X,X
IOZSTLJ,X,O,X,O,O,X,X
IOZSTJL,X,X,X,O,O,X,X
IOZSLTJ,X,O,X,O,O,X,X
IOZSLJT,X,X,X,O,X,X,X
IOZSJTL,X,X,X,O,X,X,X
IOZSJLT,X,X,X,O,X,X,X
LTIJSZO,X,X,O,X,O,X,O
LTIJSOZ,X,X,X,X,X,X,O
LTIJZSO,X,X,O,X,O,X,O
LTIJZOS,X,X,O,X,X,X,X
LTIJOSZ,X,X,X,X,X,O,O
LTIJOZS,X,X,O,X,X,O,X
LTISJZO,X,X,X,X,O,X,O
LTISJOZ,X,X,X,X,X,X,O
LTISZJO,X,X,X,X,O,X,O
LTISZOJ,X,X,X,X,O,X,X
LTISOJZ,X,X,X,X,X,X,O
LTISOZJ,X,X,X,X,O,X,X
LTIZJSO,X,X,O,X,O,X,X
LTIZJOS,X,X,O,X,X,X,X
LTIZSJO,X,X,X,X,O,X,X
LTIZSOJ,X,X,X,X,O,X,X
LTIZOJS,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,X,O,X,X
LTIOJSZ,X,X,O,X,X,O,X
LTIOJZS,X,X,O,X,X,O,X
LTIOSJZ,X,X,X,X,X,O,X
LTIOSZJ,X,X,X,X,O,X,X
LTIOZJS,X,X,O,X,X,O,X
LTIOZSJ,X,X,X,X,O,X,X
LTJISZO,O,X,O,X,X,X,O
LTJISOZ,X,X,X,X,X,X,O
LTJIZSO,O,X,O,X,X,X,O
LTJIZOS,O,X,O,X,X,X,X
LTJIOSZ,X,X,X,X,X,O,O
LTJIOZS,X,X,O,X,X,O,X
LTJSIZO,O,X,O,X,X,X,O
LTJSIOZ,X,X,X,X,X,X,O
LTJSZIO,O,X,O,X,X,X,O
LTJSZOI,O,X,X,X,X,X,X
LTJSOIZ,X,O,X,X,X,X,O
LTJSOZI,X,O,X,X,X,X,X
LTJZISO,O,X,O,X,X,X,O
LTJZIOS,O,X,O,X,X,X,X
LTJZSIO,O,X,O,X,X,X,O
LTJZSOI,O,X,X,X,X,X,X
LTJZOIS,O,X,O,X,X,X,X
LTJZOSI,O,X,O,X,X,X,X
LTJOISZ,X,O,O,X,X,O,O
LTJOIZS,X,O,O,X,X,O,X
LTJOSIZ,X,O,O,X,X,O,O
LTJOSZI,X,O,O,X,X,X,X
LTJOZIS,X,O,O,X,X,O,X
LTJOZSI,X,O,O,X,X,X,X
LTSIJZO,X,X,X,X,O,X,O
LTSIJOZ,X,X,X,X,X,X,O
LTSIZJO,X,X,X,X,O,X,O
LTSIZOJ,X,X,X,X,O,X,X
LTSIOJZ,X,O,X,X,X,X,O
LTSIOZJ,X,O,X,X,O,X,X
LTSJIZO,X,X,O,X,X,X,O
LTSJIOZ,X,X,X,X,X,X,O
LTSJZIO,O,X,O,X,X,X,O
LTSJZOI,O,X,X,X,X,X,X
LTSJOIZ,X,O,X,X,X,X,O
LTSJOZI,X,O,X,X,X,X,X
LTSZIJO,O,X,X,X,X,X,O
LTSZIOJ,X,X,X,O,X,X,X
LTSZJIO,O,X,O,X,X,X,O
LTSZJOI,O,X,X,X,X,X,X
LTSZOIJ,X,O,X,O,X,X,X
LTSZOJI,X,O,O,X,X,X,X
LTSOIJZ,X,O,X,X,O,O,O
LTSOIZJ,X,O,X,X,O,X,X
LTSOJIZ,X,O,O,X,X,O,O
LTSOJZI,X,O,O,X,X,X,X
LTSOZIJ,X,O,X,O,X,X,X
LTSOZJI,X,O,O,X,X,X,X
LTZIJSO,O,X,O,X,X,X,X
LTZIJOS,O,X,O,X,X,X,X
LTZISJO,X,X,X,X,X,X,X
LTZISOJ,X,X,X,O,X,X,X
LTZIOJS,X,X,O,O,X,X,X
LTZIOSJ,X,X,X,O,X,X,X
LTZJISO,O,X,O,X,X,X,O
LTZJIOS,O,X,O,X,X,X,X
LTZJSIO,O,X,O,X,X,X,O
LTZJSOI,O,X,X,X,X,X,X
LTZJOIS,O,X,O,X,X,X,X
LTZJOSI,O,X,O,X,X,X,X
LTZSIJO,O,X,X,X,X,X,O
LTZSIOJ,X,X,X,O,X,X,X
LTZSJIO,O,X,O,X,X,X,O
LTZSJOI,O,X,X,X,X,X,X
LTZSOIJ,X,X,X,O,X,X,X
LTZSOJI,X,X,O,X,X,X,X
LTZOIJS,X,X,O,O,X,O,X
LTZOISJ,X,X,X,O,X,X,X
LTZOJIS,O,X,O,X,X,O,X
LTZOJSI,O,X,O,X,X,X,X
LTZOSIJ,X,X,X,O,X,X,X
LTZOSJI,X,X,O,X,X,X,X
LTOIJSZ,X,O,O,X,O,O,X
LTOIJZS,X,O,O,X,O,O,X
LTOISJZ,X,O,X,X,O,O,X
LTOISZJ,X,O,X,X,O,X,X
LTOIZJS,X,X,O,X,O,O,X
LTOIZSJ,X,O,X,X,O,X,X
LTOJISZ,X,O,O,X,X,O,O
LTOJIZS,X,O,O,X,X,O,X
LTOJSIZ,X,O,O,X,X,O,O
LTOJSZI,X,O,O,X,X,X,X
LTOJZIS,X,O,O,X,X,O,X
LTOJZSI,X,O,O,X,X,X,X
LTOSIJZ,X,O,X,X,O,O,O
LTOSIZJ,X,O,X,X,O,X,X
LTOSJIZ,X,O,O,X,X,O,O
LTOSJZI,X,O,O,X,X,X,X
LTOSZIJ,X,O,X,O,X,X,X
LTOSZJI,X,O,O,X,X,X,X
LTOZIJS,X,X,O,O,X,O,X
LTOZISJ,X,O,X,O,X,X,X
LTOZJIS,X,O,O,X,X,O,X
LTOZJSI,X,O,O,X,X,X,X
LTOZSIJ,X,O,X,O,X,X,X
LTOZSJI,X,O,O,X,X,X,X
LITJSZO,X,X,O,X,O,X,O
LITJSOZ,X,X,X,X,X,X,O
LITJZSO,X,X,O,X,O,X,O
LITJZOS,X,X,O,X,X,X,X
LITJOSZ,X,X,X,X,X,O,O
LITJOZS,X,X,O,X,X,O,X
LITSJZO,X,X,X,X,O,X,O
LITSJOZ,X,X,X,X,X,X,O
LITSZJO,X,X,X,X,O,X,O
LITSZOJ,X,X,X,X,O,X,X
LITSOJZ,X,X,X,X,X,X,O
LITSOZJ,X,X,X,X,O,X,X
LITZJSO,X,X,O,X,O,X,X
LITZJOS,X,X,O,X,X,X,X
LITZSJO,X,X,X,X,O,X,X
LITZSOJ,X,X,X,X,O,X,X
LITZOJS,X,X,O,X,X,X,X
LITZOSJ,X,X,X,X,O,X,X
LITOJSZ,X,X,O,X,X,O,X
LITOJZS,X,X,O,X,X,O,X
LITOSJZ,X,X,X,X,X,O,X
LITOSZJ,X,X,X,X,O,X,X
LITOZJS,X,X,O,X,X,O,X
LITOZSJ,X,X,X,X,O,X,X
LIJTSZO,X,X,O,X,O,X,O
LIJTSOZ,X,X,X,X,X,X,O
LIJTZSO,X,X,O,X,O,X,O
LIJTZOS,X,X,O,X,X,X,X
LIJTOSZ,X,X,X,X,X,O,O
LIJTOZS,X,X,O,X,X,O,X
LIJSTZO,X,X,O,X,O,X,O
LIJSTOZ,X,X,X,X,X,X,O
LIJSZTO,O,X,O,O,X,X,O
LIJSZOT,O,X,X,O,X,X,X
LIJSOTZ,X,O,X,X,X,X,O
LIJSOZT,X,O,X,X,X,X,X
LIJZTSO,O,X,O,O,X,X,O
LIJZTOS,O,X,O,X,X,X,X
LIJZSTO,O,X,O,O,X,X,O
LIJZSOT,O,X,X,O,X,X,X
LIJZOTS,X,X,O,X,X,X,X
LIJZOST,O,X,X,O,X,X,X
LIJOTSZ,X,O,X,X,X,O,O
LIJOTZS,X,O,O,X,X,O,X
LIJOSTZ,X,O,X,X,X,O,O
LIJOSZT,X,O,X,X,X,X,X
LIJOZTS,X,O,O,X,X,O,X
LIJOZST,X,O,X,X,X,X,X
LISTJZO,X,X,X,X,O,X,O
LISTJOZ,X,X,X,X,X,X,O
LISTZJO,X,X,X,X,O,X,O
LISTZOJ,X,X,X,X,O,X,X
LISTOJZ,X,O,X,X,X,X,O
LISTOZJ,X,O,X,X,O,X,X
LISJTZO,X,X,X,X,O,X,O
LISJTOZ,X,X,X,X,X,X,O
LISJZTO,O,X,X,O,X,X,O
LISJZOT,O,X,X,O,X,X,X
LISJOTZ,X,O,X,X,X,X,O
LISJOZT,X,O,X,X,X,X,X
LISZTJO,O,X,X,X,O,X,O
LISZTOJ,X,X,X,O,O,X,X
LISZJTO,O,X,X,X,X,X,X
LISZJOT,O,X,X,O,X,X,X
LISZOTJ,X,X,X,O,X,X,X
LISZOJT,O,X,X,O,X,X,X
LISOTJZ,X,O,X,X,O,X,O
LISOTZJ,X,O,X,X,O,X,X
LISOJTZ,X,O,X,X,O,X,X
LISOJZT,X,O,X,X,X,X,X
LISOZTJ,X,O,X,O,O,X,X
LISOZJT,X,X,X,O,X,X,X
LIZTJSO,O,X,O,X,O,X,X
LIZTJOS,O,X,O,X,X,X,X
LIZTSJO,X,X,X,X,O,X,X
LIZTSOJ,X,X,X,O,O,X,X
LIZTOJS,X,X,O,O,X,X,X
LIZTOSJ,X,X,X,O,O,X,X
LIZJTSO,O,X,O,X,X,X,X
LIZJTOS,O,X,O,X,X,X,X
LIZJSTO,O,X,O,X,X,X,X
LIZJSOT,O,X,X,O,X,X,X
LIZJOTS,X,X,O,O,X,X,X
LIZJOST,O,X,X,O,X,X,X
LIZSTJO,O,X,X,X,O,X,X
LIZSTOJ,X,X,X,O,O,X,X
LIZSJTO,O,X,X,X,X,X,X
LIZSJOT,O,X,X,O,X,X,X
LIZSOTJ,X,X,X,O,X,X,X
LIZSOJT,O,X,X,O,X,X,X
LIZOTJS,X,X,O,O,X,X,X
LIZOTSJ,X,X,X,O,X,X,X
LIZOJTS,X,X,O,O,X,X,X
LIZOJST,X,X,O,O,X,X,X
LIZOSTJ,X,X,X,O,X,X,X
LIZOSJT,X,X,X,O,X,X,X
LIOTJSZ,X,O,O,X,O,O,X
LIOTJZS,X,O,O,X,O,O,X
LIOTSJZ,X,O,X,X,O,O,X
LIOTSZJ,X,O,X,X,O,X,X
LIOTZJS,X,X,O,X,O,O,X
LIOTZSJ,X,O,X,X,O,X,X
LIOJTSZ,X,O,O,X,O,O,X
LIOJTZS,X,O,O,X,O,O,X
LIOJSTZ,X,O,O,X,O,O,X
LIOJSZT,X,O,O,X,X,X,X
LIOJZTS,X,O,O,X,X,O,X
LIOJZST,X,O,O,X,X,X,X
LIOSTJZ,X,O,X,X,O,O,X
LIOSTZJ,X,O,X,X,O,X,X
LIOSJTZ,X,O,X,X,O,X,X
LIOSJZT,X,O,X,X,X,X,X
LIOSZTJ,X,O,X,O,O,X,X
LIOSZJT,X,X,X,O,X,X,X
LIOZTJS,X,X,O,O,O,O,X
LIOZTSJ,X,O,X,O,O,X,X
LIOZJTS,X,X,O,O,X,X,X
LIOZJST,X,X,O,O,X,X,X
LIOZSTJ,X,O,X,O,O,X,X
LIOZSJT,X,X,X,O,X,X,X
LJTISZO,O,X,O,X,X,X,O
LJTISOZ,X,X,X,X,X,X,O
LJTIZSO,O,X,O,X,X,X,O
LJTIZOS,O,X,O,X,X,X,X
LJTIOSZ,X,X,X,X,X,O,O
LJTIOZS,X,X,O,X,X,O,X
LJTSIZO,O,X,O,X,X,X,O
LJTSIOZ,X,X,X,X,X,X,O
LJTSZIO,O,X,O,X,X,X,O
LJTSZOI,O,X,X,X,X,X,X
LJTSOIZ,X,O,X,X,X,X,O
LJTSOZI,X,O,X,X,X,X,X
LJTZISO,O,X,O,X,X,X,O
LJTZIOS,O,X,O,X,X,X,X
LJTZSIO,O,X,O,X,X,X,O
LJTZSOI,O,X,X,X,X,X,X
LJTZOIS,O,X,O,X,X,X,X
LJTZOSI,O,X,O,X,X,X,X
LJTOISZ,X,O,O,X,X,O,O
LJTOIZS,X,O,O,X,X,O,X
LJTOSIZ,X,O,O,X,X,O,O
LJTOSZI,X,O,O,X,X,X,X
LJTOZIS,X,O,O,X,X,O,X
LJTOZSI,X,O,O,X,X,X,X
LJITSZO,O,X,O,X,O,X,O
LJITSOZ,X,X,X,X,X,X,O
LJITZSO,O,X,O,X,O,X,O
LJITZOS,O,X,O,X,X,X,X
LJITOSZ,X,X,X,X,X,O,O
LJITOZS,X,X,O,X,X,O,X
LJISTZO,O,X,O,X,O,X,O
LJISTOZ,X,X,X,X,X,X,O
LJISZTO,O,X,O,X,X,X,O
LJISZOT,O,X,X,X,X,X,X
LJISOTZ,X,O,X,X,X,X,O
LJISOZT,X,O,X,X,X,X,X
LJIZTSO,O,X,O,X,X,X,O
LJIZTOS,O,X,O,X,X,X,X
LJIZSTO,O,X,O,X,X,X,O
LJIZSOT,O,X,X,X,X,X,X
LJIZOTS,X,X,O,X,X,X,X
LJIZOST,O,X,X,X,X,X,X
LJIOTSZ,X,O,X,X,X,O,O
LJIOTZS,X,O,O,X,X,O,X
LJIOSTZ,X,O,X,X,X,O,O
LJIOSZT,X,O,X,X,X,X,X
LJIOZTS,X,O,O,X,X,O,X
LJIOZST,X,O,X,X,X,X,X
LJSTIZO,O,X,O,X,X,X,O
LJSTIOZ,X,X,X,X,X,X,O
LJSTZIO,O,X,O,X,X,X,O
LJSTZOI,O,X,X,X,X,X,X
LJSTOIZ,X,O,X,X,X,X,O
LJSTOZI,X,O,X,X,X,X,X
LJSITZO,O,X,O,X,O,X,O
LJSITOZ,X,X,X,X,X,X,O
LJSIZTO,O,X,O,X,X,X,O
LJSIZOT,O,X,X,X,X,X,X
LJSIOTZ,X,O,X,X,X,X,O
LJSIOZT,X,O,X,X,X,X,X
LJSZTIO,O,X,O,X,X,X,O
LJSZTOI,O,X,X,X,X,X,X
LJSZITO,O,X,O,X,X,X,O
LJSZIOT,O,X,X,O,X,X,X
LJSZOTI,O,O,X,X,X,X,X
LJSZOIT,O,O,X,O,X,X,X
LJSOTIZ,X,O,X,X,X,X,O
LJSOTZI,X,O,X,X,X,X,X
LJSOITZ,X,O,X,X,O,X,O
LJSOIZT,X,O,X,X,X,X,X
LJSOZTI,O,O,X,X,X,X,X
LJSOZIT,O,O,X,O,X,X,X
LJZTISO,O,X,O,X,X,X,O
LJZTIOS,O,X,O,X,X,X,X
LJZTSIO,O,X,O,X,X,X,O
LJZTSOI,O,X,X,X,X,X,X
LJZTOIS,O,X,O,X,X,X,X
LJZTOSI,O,X,O,X,X,X,X
LJZITSO,O,X,O,X,X,X,O
LJZITOS,O,X,O,X,X,X,X
LJZISTO,O,X,O,X,X,X,O
LJZISOT,O,X,X,O,X,X,X
LJZIOTS,X,X,O,O,X,X,X
LJZIOST,O,X,X,O,X,X,X
LJZSTIO,O,X,O,X,X,X,O
LJZSTOI,O,X,X,X,X,X,X
LJZSITO,O,X,O,X,X,X,O
LJZSIOT,O,X,X,O,X,X,X
LJZSOTI,O,O,X,X,X,X,X
LJZSOIT,O,O,X,O,X,X,X
LJZOTIS,O,O,O,X,X,X,X
LJZOTSI,O,O,O,X,X,X,X
LJZOITS,X,O,O,O,X,X,X
LJZOIST,O,O,O,O,X,X,X
LJZOSTI,O,O,O,X,X,X,X
LJZOSIT,O,O,O,O,X,X,X
LJOTISZ,X,O,O,X,X,O,O
LJOTIZS,X,O,O,X,X,O,X
LJOTSIZ,X,O,O,X,X,O,O
LJOTSZI,X,O,O,X,X,X,X
LJOTZIS,X,O,O,X,X,O,X
LJOTZSI,X,O,O,X,X,X,X
LJOITSZ,X,O,O,X,O,O,O
LJOITZS,X,O,O,X,O,O,X
LJOISTZ,X,O,O,X,O,O,O
LJOISZT,X,O,O,X,X,X,X
LJOIZTS,X,O,O,X,X,O,X
LJOIZST,X,O,O,X,X,X,X
LJOSTIZ,X,O,O,X,X,O,O
LJOSTZI,X,O,O,X,X,X,X
LJOSITZ,X,O,O,X,O,O,O
LJOSIZT,X,O,O,X,X,X,X
LJOSZTI,O,O,O,X,X,X,X
LJOSZIT,O,O,O,O,X,X,X
LJOZTIS,O,O,O,X,X,O,X
LJOZTSI,O,O,O,X,X,X,X
LJOZITS,X,O,O,O,X,O,X
LJOZIST,O,O,O,O,X,X,X
LJOZSTI,O,O,O,X,X,X,X
LJOZSIT,O,O,O,O,X,X,X
LSTIJZO,X,X,X,X,O,X,O
LSTIJOZ,X,X,X,X,X,X,O
LSTIZJO,X,X,X,X,O,X,O
LSTIZOJ,X,X,X,X,O,X,X
LSTIOJZ,X,O,X,X,X,X,O
LSTIOZJ,X,O,X,X,O,X,X
LSTJIZO,X,X,O,X,X,X,O
LSTJIOZ,X,X,X,X,X,X,O
LSTJZIO,O,X,O,X,X,X,O
LSTJZOI,O,X,X,X,X,X,X
LSTJOIZ,X,O,X,X,X,X,O
LSTJOZI,X,O,X,X,X,X,X
LSTZIJO,O,X,X,X,X,X,O
LSTZIOJ,X,X,X,O,X,X,X
LSTZJIO,O,X,O,X,X,X,O
LSTZJOI,O,X,X,X,X,X,X
LSTZOIJ,X,O,X,O,X,X,X
LSTZOJI,X,O,O,X,X,X,X
LSTOIJZ,X,O,X,X,O,O,O
LSTOIZJ,X,O,X,X,O,X,X
LSTOJIZ,X,O,O,X,X,O,O
LSTOJZI,X,O,O,X,X,X,X
LSTOZIJ,X,O,X,O,X,X,X
LSTOZJI,X,O,O,X,X,X,X
LSITJZO,X,X,X,X,O,X,O
LSITJOZ,X,X,X,X,X,X,O
LSITZJO,X,X,X,X,O,X,O
LSITZOJ,X,X,X,X,O,X,X
LSITOJZ,X,O,X,X,X,X,O
LSITOZJ,X,O,X,X,O,X,X
