sequence,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8Jei6IvhFGcBTdB?5jB3fBllBUrB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBzbB?SiB5jBllB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBTdB?5jBllBfrB6rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhFlbBSiB?5jBzfB8lB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeT6IvhFlbBGdB?5jBykB8lB3rB
SILTZOJ,O,O,X,X,X
SILTOJZ,O,X,X,X,X
SILTOZJ,O,O,X,X,X
SILJTZO,O,X,X,X,X
SILJTOZ,O,X,X,X,X
SILJZTO,X,O,X,X,O
SILJZOT,O,X,X,X,O
SILJOTZ,O,X,X,X,X
SILJOZT,O,X,X,O,O
SILZTJO,O,O,X,X,O
SILZTOJ,O,O,X,O,O
SILZJTO,X,O,X,X,O
SILZJOT,O,X,X,X,O
SILZOTJ,O,X,X,O,O
SILZOJT,O,X,X,O,O
SILOTJZ,O,X,X,X,X
SILOTZJ,O,X,X,X,X
SILOJTZ,O,X,X,X,X
SILOJZT,O,X,X,O,O
SILOZTJ,O,X,X,O,O
SILOZJT,O,X,X,O,O
SIJTLZO,O,X,X,X,X
SIJTLOZ,O,X,X,X,X
SIJTZLO,O,X,X,X,X
SIJTZOL,O,X,X,X,X
SIJTOLZ,O,X,X,X,X
SIJTOZL,O,X,X,X,X
SIJLTZO,O,X,X,X,X
SIJLTOZ,O,X,X,X,X
SIJLZTO,X,O,X,X,O
SIJLZOT,O,X,X,X,O
SIJLOTZ,O,X,X,X,X
SIJLOZT,O,X,X,O,O
SIJZTLO,X,O,O,X,O
SIJZTOL,X,O,O,X,X
SIJZLTO,X,O,X,X,O
SIJZLOT,O,X,X,X,O
SIJZOTL,X,X,O,X,X
SIJZOLT,O,X,X,X,X
SIJOTLZ,O,X,X,X,X
SIJOTZL,O,X,X,X,X
SIJOLTZ,O,X,X,X,X
SIJOLZT,O,X,X,O,X
SIJOZTL,X,X,O,O,X
SIJOZLT,O,X,X,O,X
SIZTLJO,O,O,X,X,O
SIZTLOJ,O,O,X,O,O
SIZTJLO,O,O,O,X,O
SIZTJOL,O,O,O,X,X
SIZTOLJ,O,O,X,O,X
SIZTOJL,O,O,O,O,X
SIZLTJO,O,O,X,X,O
SIZLTOJ,O,O,X,O,O
SIZLJTO,X,O,X,X,O
SIZLJOT,O,X,X,X,O
SIZLOTJ,O,X,X,O,O
SIZLOJT,O,X,X,O,O
SIZJTLO,X,O,O,X,O
SIZJTOL,X,O,O,X,X
SIZJLTO,X,O,X,X,O
SIZJLOT,O,X,X,X,O
SIZJOTL,X,X,O,X,X
SIZJOLT,O,X,X,X,X
SIZOTLJ,O,X,X,O,X
SIZOTJL,O,X,O,O,X
SIZOLTJ,O,X,X,O,X
SIZOLJT,O,X,X,O,X
SIZOJTL,X,X,O,O,X
SIZOJLT,O,X,X,O,X
SIOTLJZ,O,X,X,X,X
SIOTLZJ,O,X,X,X,X
SIOTJLZ,O,X,X,X,X
SIOTJZL,O,X,X,X,X
SIOTZLJ,O,X,X,X,X
SIOTZJL,O,X,O,X,X
SIOLTJZ,O,X,X,X,X
SIOLTZJ,O,X,X,X,X
SIOLJTZ,O,X,X,X,X
SIOLJZT,O,X,X,O,X
SIOLZTJ,O,X,X,O,X
SIOLZJT,O,X,X,O,X
SIOJTLZ,O,X,X,X,X
SIOJTZL,O,X,X,X,X
SIOJLTZ,O,X,X,X,X
SIOJLZT,O,X,X,O,X
SIOJZTL,X,X,O,O,X
SIOJZLT,O,X,X,O,X
SIOZTLJ,O,X,X,O,X
SIOZTJL,O,X,O,O,X
SIOZLTJ,O,X,X,O,X
SIOZLJT,O,X,X,O,X
SIOZJTL,X,X,O,O,X
SIOZJLT,O,X,X,O,X
SLTIJZO,O,X,X,X,X
SLTIJOZ,O,X,X,X,X
SLTIZJO,O,O,X,X,X
SLTIZOJ,O,O,X,X,X
SLTIOJZ,O,X,X,X,X
SLTIOZJ,O,O,X,X,X
SLTJIZO,O,X,X,X,X
SLTJIOZ,O,X,X,X,X
SLTJZIO,O,X,X,X,X
SLTJZOI,O,X,X,X,X
SLTJOIZ,O,X,X,X,X
SLTJOZI,O,X,X,X,X
SLTZIJO,O,O,X,X,X
SLTZIOJ,O,O,X,X,X
SLTZJIO,O,O,X,X,X
SLTZJOI,O,O,X,X,X
SLTZOIJ,O,O,X,X,X
SLTZOJI,O,O,X,X,X
SLTOIJZ,O,X,X,X,X
SLTOIZJ,O,O,X,X,X
SLTOJIZ,O,X,X,X,X
SLTOJZI,O,X,X,X,X
SLTOZIJ,O,O,X,X,X
SLTOZJI,O,O,X,X,X
SLITJZO,O,X,X,X,X
SLITJOZ,O,X,X,X,X
SLITZJO,O,O,X,X,X
SLITZOJ,O,O,X,X,X
SLITOJZ,O,X,X,X,X
SLITOZJ,O,O,X,X,X
SLIJTZO,O,X,X,X,X
SLIJTOZ,O,X,X,X,X
SLIJZTO,X,O,X,X,O
SLIJZOT,O,X,X,X,O
SLIJOTZ,O,X,X,X,X
SLIJOZT,O,X,X,O,O
SLIZTJO,O,O,X,X,O
SLIZTOJ,O,O,X,O,O
SLIZJTO,X,O,X,X,O
SLIZJOT,O,X,X,X,O
SLIZOTJ,O,X,X,O,O
SLIZOJT,O,X,X,O,O
SLIOTJZ,O,X,X,X,X
SLIOTZJ,O,X,X,X,X
SLIOJTZ,O,X,X,X,X
SLIOJZT,O,X,X,O,O
SLIOZTJ,O,X,X,O,O
SLIOZJT,O,X,X,O,O
SLJTIZO,O,X,X,X,X
SLJTIOZ,O,X,X,X,X
SLJTZIO,O,X,X,X,X
SLJTZOI,O,X,X,X,X
SLJTOIZ,O,X,X,X,X
SLJTOZI,O,X,X,X,X
SLJITZO,O,X,X,X,X
SLJITOZ,O,X,X,X,X
SLJIZTO,X,O,X,X,O
SLJIZOT,O,X,X,X,O
SLJIOTZ,O,X,X,X,X
SLJIOZT,O,X,X,O,O
SLJZTIO,X,O,X,X,O
SLJZTOI,X,O,X,X,O
SLJZITO,X,O,X,X,O
SLJZIOT,O,X,X,X,O
SLJZOTI,X,X,X,X,O
SLJZOIT,O,X,X,X,O
SLJOTIZ,O,X,X,X,X
SLJOTZI,O,X,X,X,X
SLJOITZ,O,X,X,X,X
SLJOIZT,O,X,X,O,O
SLJOZTI,X,X,X,O,O
SLJOZIT,O,X,X,O,O
SLZTIJO,O,O,X,X,O
SLZTIOJ,O,O,X,O,O
SLZTJIO,O,O,X,X,O
SLZTJOI,O,O,X,X,O
SLZTOIJ,O,O,X,O,O
SLZTOJI,O,O,X,O,O
SLZITJO,O,O,X,X,O
SLZITOJ,O,O,X,O,O
SLZIJTO,X,O,X,X,O
SLZIJOT,O,X,X,X,O
SLZIOTJ,O,X,X,O,O
SLZIOJT,O,X,X,O,O
SLZJTIO,X,O,X,X,O
SLZJTOI,X,O,X,X,O
SLZJITO,X,O,X,X,O
SLZJIOT,O,X,X,X,O
SLZJOTI,X,X,X,X,O
SLZJOIT,O,X,X,X,O
SLZOTIJ,O,X,X,O,O
SLZOTJI,O,X,X,O,O
SLZOITJ,O,X,X,O,O
SLZOIJT,O,X,X,O,O
SLZOJTI,X,X,X,O,O
SLZOJIT,O,X,X,O,O
SLOTIJZ,O,X,X,X,X
SLOTIZJ,O,X,X,X,X
SLOTJIZ,O,X,X,X,X
SLOTJZI,O,X,X,X,X
SLOTZIJ,O,X,X,X,X
SLOTZJI,O,X,X,X,X
SLOITJZ,O,X,X,X,X
SLOITZJ,O,X,X,X,X
SLOIJTZ,O,X,X,X,X
SLOIJZT,O,X,X,O,O
SLOIZTJ,O,X,X,O,O
SLOIZJT,O,X,X,O,O
SLOJTIZ,O,X,X,X,X
SLOJTZI,O,X,X,X,X
SLOJITZ,O,X,X,X,X
SLOJIZT,O,X,X,O,O
SLOJZTI,X,X,X,O,O
SLOJZIT,O,X,X,O,O
SLOZTIJ,O,X,X,O,O
SLOZTJI,O,X,X,O,O
SLOZITJ,O,X,X,O,O
SLOZIJT,O,X,X,O,O
SLOZJTI,X,X,X,O,O
SLOZJIT,O,X,X,O,O
SJTILZO,O,X,X,X,X
SJTILOZ,O,X,X,X,X
SJTIZLO,O,X,X,X,X
SJTIZOL,O,X,X,X,X
SJTIOLZ,O,X,X,X,X
SJTIOZL,O,X,X,X,X
SJTLIZO,O,X,X,X,X
SJTLIOZ,O,X,X,X,X
SJTLZIO,O,X,X,X,X
SJTLZOI,O,X,X,X,X
SJTLOIZ,O,X,X,X,X
SJTLOZI,O,X,X,X,X
SJTZILO,O,X,X,X,X
SJTZIOL,O,X,X,X,X
SJTZLIO,O,X,X,X,X
SJTZLOI,O,X,X,X,X
SJTZOIL,O,X,X,X,X
SJTZOLI,O,X,X,X,X
SJTOILZ,O,X,X,X,X
SJTOIZL,O,X,X,X,X
SJTOLIZ,O,X,X,X,X
SJTOLZI,O,X,X,X,X
SJTOZIL,O,X,X,X,X
SJTOZLI,O,X,X,X,X
SJITLZO,O,X,X,X,X
SJITLOZ,O,X,X,X,X
SJITZLO,O,X,X,X,X
SJITZOL,O,X,X,X,X
SJITOLZ,O,X,X,X,X
SJITOZL,O,X,X,X,X
SJILTZO,O,X,X,X,X
SJILTOZ,O,X,X,X,X
SJILZTO,X,O,X,X,O
SJILZOT,O,X,X,X,O
SJILOTZ,O,X,X,X,X
SJILOZT,O,X,X,O,O
SJIZTLO,X,O,O,X,O
SJIZTOL,X,O,O,X,X
SJIZLTO,X,O,X,X,O
SJIZLOT,O,X,X,X,O
SJIZOTL,X,X,O,X,X
SJIZOLT,O,X,X,X,X
SJIOTLZ,O,X,X,X,X
SJIOTZL,O,X,X,X,X
SJIOLTZ,O,X,X,X,X
SJIOLZT,O,X,X,O,X
SJIOZTL,X,X,O,O,X
SJIOZLT,O,X,X,O,X
SJLTIZO,O,X,X,X,X
SJLTIOZ,O,X,X,X,X
SJLTZIO,O,X,X,X,X
SJLTZOI,O,X,X,X,X
SJLTOIZ,O,X,X,X,X
SJLTOZI,O,X,X,X,X
SJLITZO,O,X,X,X,X
SJLITOZ,O,X,X,X,X
SJLIZTO,X,O,X,X,O
SJLIZOT,O,X,X,X,O
SJLIOTZ,O,X,X,X,X
SJLIOZT,O,X,X,O,O
SJLZTIO,X,O,X,X,O
SJLZTOI,X,O,X,X,O
SJLZITO,X,O,X,X,O
SJLZIOT,O,X,X,X,O
SJLZOTI,X,X,X,X,O
SJLZOIT,O,X,X,X,O
SJLOTIZ,O,X,X,X,X
SJLOTZI,O,X,X,X,X
SJLOITZ,O,X,X,X,X
SJLOIZT,O,X,X,O,O
SJLOZTI,X,X,X,O,O
SJLOZIT,O,X,X,O,O
SJZTILO,X,O,O,X,O
SJZTIOL,X,O,O,X,X
SJZTLIO,X,O,X,X,O
SJZTLOI,X,O,X,X,O
SJZTOIL,X,O,O,X,X
SJZTOLI,X,O,X,X,X
SJZITLO,X,O,O,X,O
SJZITOL,X,O,O,X,X
SJZILTO,X,O,X,X,O
SJZILOT,O,X,X,X,O
SJZIOTL,X,X,O,X,X
SJZIOLT,O,X,X,X,X
SJZLTIO,X,O,X,X,O
SJZLTOI,X,O,X,X,O
SJZLITO,X,O,X,X,O
SJZLIOT,O,X,X,X,O
SJZLOTI,X,X,X,X,O
SJZLOIT,O,X,X,X,O
SJZOTIL,X,X,O,X,X
SJZOTLI,X,X,X,X,X
SJZOITL,X,X,O,X,X
SJZOILT,O,X,X,X,X
SJZOLTI,X,X,X,X,X
SJZOLIT,O,X,X,X,X
SJOTILZ,O,X,X,X,X
SJOTIZL,O,X,X,X,X
SJOTLIZ,O,X,X,X,X
SJOTLZI,O,X,X,X,X
SJOTZIL,O,X,X,X,X
SJOTZLI,O,X,X,X,X
SJOITLZ,O,X,X,X,X
SJOITZL,O,X,X,X,X
SJOILTZ,O,X,X,X,X
SJOILZT,O,X,X,O,X
SJOIZTL,X,X,O,O,X
SJOIZLT,O,X,X,O,X
SJOLTIZ,O,X,X,X,X
SJOLTZI,O,X,X,X,X
SJOLITZ,O,X,X,X,X
SJOLIZT,O,X,X,O,X
SJOLZTI,X,X,X,O,X
SJOLZIT,O,X,X,O,X
SJOZTIL,X,X,O,O,X
SJOZTLI,X,X,X,O,X
SJOZITL,X,X,O,O,X
SJOZILT,O,X,X,O,X
SJOZLTI,X,X,X,O,X
SJOZLIT,O,X,X,O,X
SZTILJO,O,O,X,X,O
SZTILOJ,O,O,X,O,O
SZTIJLO,O,O,O,X,O
SZTIJOL,O,O,O,X,X
SZTIOLJ,O,O,X,O,X
SZTIOJL,O,O,O,O,X
SZTLIJO,O,O,X,X,O
SZTLIOJ,O,O,X,O,O
SZTLJIO,O,O,X,X,O
SZTLJOI,O,O,X,X,O
SZTLOIJ,O,O,X,O,O
SZTLOJI,O,O,X,O,O
SZTJILO,O,O,O,X,O
SZTJIOL,O,O,O,X,X
SZTJLIO,O,O,X,X,O
SZTJLOI,O,O,X,X,O
SZTJOIL,O,O,O,X,X
SZTJOLI,O,O,X,X,X
SZTOILJ,O,O,X,O,X
SZTOIJL,O,O,O,O,X
SZTOLIJ,O,O,X,O,X
SZTOLJI,O,O,X,O,X
SZTOJIL,O,O,O,O,X
SZTOJLI,O,O,X,O,X
SZITLJO,O,O,X,X,O
SZITLOJ,O,O,X,O,O
SZITJLO,O,O,O,X,O
SZITJOL,O,O,O,X,X
SZITOLJ,O,O,X,O,X
SZITOJL,O,O,O,O,X
SZILTJO,O,O,X,X,O
SZILTOJ,O,O,X,O,O
SZILJTO,X,O,X,X,O
SZILJOT,O,X,X,X,O
SZILOTJ,O,X,X,O,O
SZILOJT,O,X,X,O,O
SZIJTLO,X,O,O,X,O
SZIJTOL,X,O,O,X,X
SZIJLTO,X,O,X,X,O
SZIJLOT,O,X,X,X,O
SZIJOTL,X,X,O,X,X
SZIJOLT,O,X,X,X,X
SZIOTLJ,O,X,X,O,X
SZIOTJL,O,X,O,O,X
SZIOLTJ,O,X,X,O,X
SZIOLJT,O,X,X,O,X
SZIOJTL,X,X,O,O,X
SZIOJLT,O,X,X,O,X
SZLTIJO,O,O,X,X,O
SZLTIOJ,O,O,X,O,O
SZLTJIO,O,O,X,X,O
SZLTJOI,O,O,X,X,O
SZLTOIJ,O,O,X,O,O
SZLTOJI,O,O,X,O,O
SZLITJO,O,O,X,X,O
SZLITOJ,O,O,X,O,O
SZLIJTO,X,O,X,X,O
SZLIJOT,O,X,X,X,O
SZLIOTJ,O,X,X,O,O
SZLIOJT,O,X,X,O,O
SZLJTIO,X,O,X,X,O
SZLJTOI,X,O,X,X,O
SZLJITO,X,O,X,X,O
SZLJIOT,O,X,X,X,O
SZLJOTI,X,X,X,X,O
SZLJOIT,O,X,X,X,O
SZLOTIJ,O,X,X,O,O
SZLOTJI,O,X,X,O,O
SZLOITJ,O,X,X,O,O
SZLOIJT,O,X,X,O,O
SZLOJTI,X,X,X,O,O
SZLOJIT,O,X,X,O,O
SZJTILO,X,O,O,X,O
SZJTIOL,X,O,O,X,X
SZJTLIO,X,O,X,X,O
SZJTLOI,X,O,X,X,O
SZJTOIL,X,O,O,X,X
SZJTOLI,X,O,X,X,X
SZJITLO,X,O,O,X,O
SZJITOL,X,O,O,X,X
SZJILTO,X,O,X,X,O
SZJILOT,O,X,X,X,O
SZJIOTL,X,X,O,X,X
SZJIOLT,O,X,X,X,X
SZJLTIO,X,O,X,X,O
SZJLTOI,X,O,X,X,O
SZJLITO,X,O,X,X,O
SZJLIOT,O,X,X,X,O
SZJLOTI,X,X,X,X,O
SZJLOIT,O,X,X,X,O
SZJOTIL,X,X,O,X,X
SZJOTLI,X,X,X,X,X
SZJOITL,X,X,O,X,X
SZJOILT,O,X,X,X,X
SZJOLTI,X,X,X,X,X
SZJOLIT,O,X,X,X,X
SZOTILJ,O,X,X,O,X
SZOTIJL,O,X,O,O,X
SZOTLIJ,O,X,X,O,X
SZOTLJI,O,X,X,O,X
SZOTJIL,O,X,O,O,X
SZOTJLI,O,X,X,O,X
SZOITLJ,O,X,X,O,X
SZOITJL,O,X,O,O,X
SZOILTJ,O,X,X,O,X
SZOILJT,O,X,X,O,X
SZOIJTL,X,X,O,O,X
SZOIJLT,O,X,X,O,X
SZOLTIJ,O,X,X,O,X
SZOLTJI,O,X,X,O,X
SZOLITJ,O,X,X,O,X
SZOLIJT,O,X,X,O,X
SZOLJTI,X,X,X,O,X
SZOLJIT,O,X,X,O,X
SZOJTIL,X,X,O,O,X
SZOJTLI,X,X,X,O,X
SZOJITL,X,X,O,O,X
SZOJILT,O,X,X,O,X
SZOJLTI,X,X,X,O,X
SZOJLIT,O,X,X,O,X
SOTILJZ,O,X,X,X,X
SOTILZJ,O,X,X,X,X
SOTIJLZ,O,X,X,X,X
SOTIJZL,O,X,X,X,X
SOTIZLJ,O,X,X,X,X
SOTIZJL,O,X,O,X,X
SOTLIJZ,O,X,X,X,X
SOTLIZJ,O,X,X,X,X
SOTLJIZ,O,X,X,X,X
SOTLJZI,O,X,X,X,X
SOTLZIJ,O,X,X,X,X
SOTLZJI,O,X,X,X,X
SOTJILZ,O,X,X,X,X
SOTJIZL,O,X,X,X,X
SOTJLIZ,O,X,X,X,X
SOTJLZI,O,X,X,X,X
SOTJZIL,O,X,X,X,X
SOTJZLI,O,X,X,X,X
SOTZILJ,O,X,X,X,X
SOTZIJL,O,X,O,X,X
SOTZLIJ,O,X,X,X,X
SOTZLJI,O,X,X,X,X
SOTZJIL,O,X,O,X,X
SOTZJLI,O,X,X,X,X
SOITLJZ,O,X,X,X,X
SOITLZJ,O,X,X,X,X
SOITJLZ,O,X,X,X,X
SOITJZL,O,X,X,X,X
SOITZLJ,O,X,X,X,X
SOITZJL,O,X,O,X,X
SOILTJZ,O,X,X,X,X
SOILTZJ,O,X,X,X,X
SOILJTZ,O,X,X,X,X
SOILJZT,O,X,X,O,X
SOILZTJ,O,X,X,O,X
SOILZJT,O,X,X,O,X
SOIJTLZ,O,X,X,X,X
SOIJTZL,O,X,X,X,X
SOIJLTZ,O,X,X,X,X
SOIJLZT,O,X,X,O,X
SOIJZTL,X,X,O,O,X
SOIJZLT,O,X,X,O,X
SOIZTLJ,O,X,X,O,X
SOIZTJL,O,X,O,O,X
SOIZLTJ,O,X,X,O,X
SOIZLJT,O,X,X,O,X
SOIZJTL,X,X,O,O,X
SOIZJLT,O,X,X,O,X
SOLTIJZ,O,X,X,X,X
SOLTIZJ,O,X,X,X,X
SOLTJIZ,O,X,X,X,X
SOLTJZI,O,X,X,X,X
SOLTZIJ,O,X,X,X,X
SOLTZJI,O,X,X,X,X
SOLITJZ,O,X,X,X,X
SOLITZJ,O,X,X,X,X
SOLIJTZ,O,X,X,X,X
SOLIJZT,O,X,X,O,X
SOLIZTJ,O,X,X,O,X
SOLIZJT,O,X,X,O,X
SOLJTIZ,O,X,X,X,X
SOLJTZI,O,X,X,X,X
SOLJITZ,O,X,X,X,X
SOLJIZT,O,X,X,O,X
SOLJZTI,X,X,X,O,X
SOLJZIT,O,X,X,O,X
SOLZTIJ,O,X,X,O,X
SOLZTJI,O,X,X,O,X
SOLZITJ,O,X,X,O,X
SOLZIJT,O,X,X,O,X
SOLZJTI,X,X,X,O,X
SOLZJIT,O,X,X,O,X
SOJTILZ,O,X,X,X,X
SOJTIZL,O,X,X,X,X
SOJTLIZ,O,X,X,X,X
SOJTLZI,O,X,X,X,X
SOJTZIL,O,X,X,X,X
SOJTZLI,O,X,X,X,X
SOJITLZ,O,X,X,X,X
SOJITZL,O,X,X,X,X
SOJILTZ,O,X,X,X,X
SOJILZT,O,X,X,O,X
SOJIZTL,X,X,O,O,X
SOJIZLT,O,X,X,O,X
SOJLTIZ,O,X,X,X,X
SOJLTZI,O,X,X,X,X
SOJLITZ,O,X,X,X,X
SOJLIZT,O,X,X,O,X
SOJLZTI,X,X,X,O,X
SOJLZIT,O,X,X,O,X
SOJZTIL,X,X,O,O,X
SOJZTLI,X,X,X,O,X
SOJZITL,X,X,O,O,X
SOJZILT,O,X,X,O,X
SOJZLTI,X,X,X,O,X
SOJZLIT,O,X,X,O,X
SOZTILJ,O,X,X,O,X
SOZTIJL,O,X,O,O,X
SOZTLIJ,O,X,X,O,X
SOZTLJI,O,X,X,O,X
SOZTJIL,O,X,O,O,X
SOZTJLI,O,X,X,O,X
SOZITLJ,O,X,X,O,X
SOZITJL,O,X,O,O,X
SOZILTJ,O,X,X,O,X
SOZILJT,O,X,X,O,X
SOZIJTL,X,X,O,O,X
SOZIJLT,O,X,X,O,X
SOZLTIJ,O,X,X,O,X
SOZLTJI,O,X,X,O,X
SOZLITJ,O,X,X,O,X
SOZLIJT,O,X,X,O,X
SOZLJTI,X,X,X,O,X
SOZLJIT,O,X,X,O,X
SOZJTIL,X,X,O,O,X
SOZJTLI,X,X,X,O,X
SOZJITL,X,X,O,O,X
SOZJILT,O,X,X,O,X
SOZJLTI,X,X,X,O,X
SOZJLIT,O,X,X,O,X
ZTILJSO,X,O,O,X,O
ZTILJOS,X,O,O,O,O
ZTILSJO,X,O,X,X,O
ZTILSOJ,X,O,X,O,O
ZTILOJS,X,O,O,O,O
ZTILOSJ,X,O,X,O,O
ZTIJLSO,X,O,O,X,O
ZTIJLOS,X,O,O,O,O
ZTIJSLO,O,O,O,X,O
ZTIJSOL,O,O,O,X,X
ZTIJOLS,X,O,O,O,O
ZTIJOSL,O,O,O,O,X
ZTISLJO,O,O,X,X,O
ZTISLOJ,O,O,X,O,O
ZTISJLO,O,O,O,X,O
ZTISJOL,O,O,O,X,X
ZTISOLJ,O,O,X,O,X
ZTISOJL,O,O,O,O,X
ZTIOLJS,X,O,O,O,O
ZTIOLSJ,X,O,X,O,O
ZTIOJLS,X,O,O,O,O
ZTIOJSL,O,O,O,O,X
ZTIOSLJ,O,O,X,O,X
ZTIOSJL,O,O,O,O,X
ZTLIJSO,X,O,O,X,O
ZTLIJOS,X,O,O,O,O
ZTLISJO,X,O,X,X,O
ZTLISOJ,X,O,X,O,O
ZTLIOJS,X,O,O,O,O
ZTLIOSJ,X,O,X,O,O
ZTLJISO,X,O,O,X,O
ZTLJIOS,X,O,O,O,O
ZTLJSIO,X,O,X,X,O
ZTLJSOI,X,O,X,X,O
ZTLJOIS,X,O,O,O,O
ZTLJOSI,X,O,X,O,O
ZTLSIJO,X,O,X,X,O
ZTLSIOJ,X,O,X,O,O
ZTLSJIO,X,O,X,X,O
ZTLSJOI,X,O,X,X,O
ZTLSOIJ,X,O,X,O,O
ZTLSOJI,X,O,X,O,O
ZTLOIJS,X,O,O,O,O
ZTLOISJ,X,O,X,O,O
ZTLOJIS,X,O,O,O,O
ZTLOJSI,X,O,X,O,O
ZTLOSIJ,X,O,X,O,O
ZTLOSJI,X,O,X,O,O
ZTJILSO,X,O,O,X,O
ZTJILOS,X,O,O,O,O
ZTJISLO,O,O,O,X,O
ZTJISOL,O,O,O,X,X
ZTJIOLS,X,O,O,O,O
ZTJIOSL,O,O,O,O,X
ZTJLISO,X,O,O,X,O
ZTJLIOS,X,O,O,O,O
ZTJLSIO,X,O,X,X,O
ZTJLSOI,X,O,X,X,O
ZTJLOIS,X,O,O,O,O
ZTJLOSI,X,O,X,O,O
ZTJSILO,O,O,O,X,O
ZTJSIOL,O,O,O,X,X
ZTJSLIO,O,O,X,X,O
ZTJSLOI,O,O,X,X,O
ZTJSOIL,O,O,O,X,X
ZTJSOLI,O,O,X,X,X
ZTJOILS,X,O,O,O,O
ZTJOISL,O,O,O,O,X
ZTJOLIS,X,O,O,O,O
ZTJOLSI,X,O,X,O,O
ZTJOSIL,O,O,O,O,X
ZTJOSLI,O,O,X,O,X
ZTSILJO,O,O,X,X,O
ZTSILOJ,O,O,X,O,O
ZTSIJLO,O,O,O,X,O
ZTSIJOL,O,O,O,X,X
ZTSIOLJ,O,O,X,O,X
ZTSIOJL,O,O,O,O,X
ZTSLIJO,O,O,X,X,O
ZTSLIOJ,O,O,X,O,O
ZTSLJIO,O,O,X,X,O
ZTSLJOI,O,O,X,X,O
ZTSLOIJ,O,O,X,O,O
ZTSLOJI,O,O,X,O,O
ZTSJILO,O,O,O,X,O
ZTSJIOL,O,O,O,X,X
ZTSJLIO,O,O,X,X,O
ZTSJLOI,O,O,X,X,O
ZTSJOIL,O,O,O,X,X
ZTSJOLI,O,O,X,X,X
ZTSOILJ,O,O,X,O,X
ZTSOIJL,O,O,O,O,X
ZTSOLIJ,O,O,X,O,X
ZTSOLJI,O,O,X,O,X
ZTSOJIL,O,O,O,O,X
ZTSOJLI,O,O,X,O,X
ZTOILJS,X,O,O,O,O
ZTOILSJ,X,O,X,O,O
ZTOIJLS,X,O,O,O,O
ZTOIJSL,O,O,O,O,X
ZTOISLJ,O,O,X,O,X
ZTOISJL,O,O,O,O,X
ZTOLIJS,X,O,O,O,O
ZTOLISJ,X,O,X,O,O
ZTOLJIS,X,O,O,O,O
ZTOLJSI,X,O,X,O,O
ZTOLSIJ,X,O,X,O,O
ZTOLSJI,X,O,X,O,O
ZTOJILS,X,O,O,O,O
ZTOJISL,O,O,O,O,X
ZTOJLIS,X,O,O,O,O
ZTOJLSI,X,O,X,O,O
ZTOJSIL,O,O,O,O,X
ZTOJSLI,O,O,X,O,X
ZTOSILJ,O,O,X,O,X
ZTOSIJL,O,O,O,O,X
ZTOSLIJ,O,O,X,O,X
ZTOSLJI,O,O,X,O,X
ZTOSJIL,O,O,O,O,X
ZTOSJLI,O,O,X,O,X
ZITLJSO,X,O,O,X,O
ZITLJOS,X,O,O,O,O
ZITLSJO,X,O,X,X,O
ZITLSOJ,X,O,X,O,O
ZITLOJS,X,O,O,O,O
ZITLOSJ,X,O,X,O,O
ZITJLSO,X,O,O,X,O
ZITJLOS,X,O,O,O,O
ZITJSLO,O,O,O,X,O
ZITJSOL,O,O,O,X,X
ZITJOLS,X,O,O,O,O
ZITJOSL,O,O,O,O,X
ZITSLJO,O,O,X,X,O
ZITSLOJ,O,O,X,O,O
ZITSJLO,O,O,O,X,O
ZITSJOL,O,O,O,X,X
ZITSOLJ,O,O,X,O,X
ZITSOJL,O,O,O,O,X
ZITOLJS,X,O,O,O,O
ZITOLSJ,X,O,X,O,O
ZITOJLS,X,O,O,O,O
ZITOJSL,O,O,O,O,X
ZITOSLJ,O,O,X,O,X
ZITOSJL,O,O,O,O,X
ZILTJSO,X,O,O,X,O
ZILTJOS,X,O,O,O,O
ZILTSJO,X,O,X,X,O
ZILTSOJ,X,O,X,O,O
ZILTOJS,X,O,O,O,O
ZILTOSJ,X,O,X,O,O
ZILJTSO,X,O,O,X,O
ZILJTOS,X,O,O,O,O
ZILJSTO,X,O,X,X,O
ZILJSOT,X,X,X,X,O
ZILJOTS,X,O,O,O,O
ZILJOST,X,X,X,O,O
ZILSTJO,X,O,X,X,O
ZILSTOJ,X,O,X,O,O
ZILSJTO,X,O,X,X,O
ZILSJOT,X,X,X,X,O
ZILSOTJ,X,X,X,O,O
ZILSOJT,X,X,X,O,O
ZILOTJS,X,O,O,O,O
ZILOTSJ,X,O,X,O,O
ZILOJTS,X,O,O,O,O
ZILOJST,X,X,X,O,O
ZILOSTJ,X,X,X,O,O
ZILOSJT,X,X,X,O,O
ZIJTLSO,X,O,O,X,O
ZIJTLOS,X,O,O,O,O
ZIJTSLO,O,O,O,X,O
ZIJTSOL,O,O,O,X,X
ZIJTOLS,X,O,O,O,O
ZIJTOSL,O,O,O,O,X
ZIJLTSO,X,O,O,X,O
ZIJLTOS,X,O,O,O,O
ZIJLSTO,X,O,X,X,O
ZIJLSOT,X,X,X,X,O
ZIJLOTS,X,O,O,O,O
