sequence,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeT6IvhFOgBfiB?xdBCjB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeO/IvhFXbBRdB?SjBUiBzkBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFfiB6iB?TeBmfB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFzcBGeB?ykB3iB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFGdBTeB?/kBalBUiBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeOAJvhFfiBxdB?TfBCjB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFzcBSjB?mfB3iB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeT6IvhFGeBykB?RiBUiBXlBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFSjBTfB?elBUiBfsBlsB
IJSTLZO,X,O,X,X,X,X,X,X,X
IJSTLOZ,X,O,X,O,X,X,X,X,X
IJSTZLO,X,O,X,X,X,X,X,X,X
IJSTZOL,O,O,X,O,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,X,X,X,X
IJSTOZL,X,X,X,O,X,X,X,X,X
IJSLTZO,O,O,X,O,X,X,X,X,X
IJSLTOZ,X,X,X,O,X,O,X,X,X
IJSLZTO,O,O,X,O,X,X,X,X,X
IJSLZOT,O,O,X,O,X,O,X,X,X
IJSLOTZ,X,X,X,O,X,O,X,X,X
IJSLOZT,O,O,O,O,X,O,X,O,X
IJSZTLO,X,O,X,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X,X,X
IJSZOLT,O,O,X,O,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,O,X,X,X
IJSOLZT,X,X,O,O,X,O,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X,X
IJSOZLT,O,X,X,O,X,X,X,X,X
IJZTLSO,O,O,X,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X,X
IJZTOLS,O,X,X,O,X,X,X,X,X
IJZTOSL,O,X,X,O,O,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X,X,O,O
IJZLOST,O,O,X,X,O,X,X,O,O
IJZSTLO,X,O,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,X,X
IJZSOTL,O,X,X,X,O,X,X,X,X
IJZSOLT,O,O,X,O,O,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X,O
IJZOTSL,O,X,X,X,O,X,X,X,X
IJZOLTS,X,X,X,X,X,X,X,X,O
IJZOLST,O,O,X,O,O,X,X,X,O
IJZOSTL,O,X,X,X,O,X,X,X,X
IJZOSLT,O,O,X,O,O,X,X,X,O
IJOTLSZ,X,X,X,O,X,O,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X,O
IJOTSLZ,X,X,O,O,X,O,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X,X
IJOTZLS,X,X,X,O,O,X,X,X,O
IJOTZSL,X,X,X,O,O,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,O,O
IJOLSTZ,X,X,X,O,X,O,X,X,X
IJOLSZT,X,X,X,O,X,O,X,O,O
IJOLZTS,X,X,X,X,X,X,X,O,O
IJOLZST,X,X,X,O,X,X,X,O,O
IJOSTLZ,X,X,X,O,X,X,X,X,X
IJOSTZL,X,X,X,X,X,X,X,X,X
IJOSLTZ,X,X,X,O,X,O,X,X,X
IJOSLZT,X,X,O,O,X,O,X,X,O
IJOSZTL,X,X,X,X,X,X,X,X,X
IJOSZLT,X,X,X,O,X,X,X,X,O
IJOZTLS,X,X,X,X,X,X,X,X,O
IJOZTSL,X,X,X,X,O,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,X,O
IJOZLST,X,X,X,O,O,X,X,X,O
IJOZSTL,X,X,X,X,O,X,X,X,X
IJOZSLT,X,X,X,O,O,X,X,X,O
ISTLJZO,X,O,X,X,O,X,X,X,X
ISTLJOZ,X,O,O,O,O,X,X,X,X
ISTLZJO,X,O,X,X,O,X,X,X,X
ISTLZOJ,X,O,O,X,O,X,X,X,X
ISTLOJZ,X,O,O,O,O,X,X,X,X
ISTLOZJ,X,X,O,X,O,X,X,X,X
ISTJLZO,X,O,X,X,X,X,X,X,X
ISTJLOZ,X,O,O,O,X,X,X,X,X
ISTJZLO,X,O,X,X,O,X,X,X,X
ISTJZOL,O,O,X,O,O,X,X,X,X
ISTJOLZ,X,X,O,O,X,X,X,X,X
ISTJOZL,X,X,X,O,O,X,X,X,X
ISTZLJO,X,O,X,X,O,X,X,X,X
ISTZLOJ,X,O,O,X,O,X,X,X,X
ISTZJLO,X,O,X,X,O,X,X,X,X
ISTZJOL,O,O,X,O,O,X,X,X,X
ISTZOLJ,X,O,O,X,O,X,X,X,X
ISTZOJL,O,O,X,O,O,X,X,X,X
ISTOLJZ,X,X,O,O,O,X,X,X,X
ISTOLZJ,X,X,O,X,O,X,X,X,X
ISTOJLZ,X,X,O,O,X,X,X,X,X
ISTOJZL,X,X,X,O,O,X,X,X,X
ISTOZLJ,X,X,O,X,O,X,X,X,X
ISTOZJL,X,X,X,O,O,X,X,X,X
ISLTJZO,O,O,X,O,O,X,X,X,X
ISLTJOZ,X,X,X,O,O,O,X,X,X
ISLTZJO,O,X,X,O,O,X,X,X,X
ISLTZOJ,O,X,X,O,O,X,X,X,X
ISLTOJZ,X,X,X,O,O,O,X,X,X
ISLTOZJ,X,X,O,O,O,X,X,X,X
ISLJTZO,O,O,X,O,O,X,X,X,X
ISLJTOZ,X,X,X,O,O,O,X,X,X
ISLJZTO,O,O,X,O,O,X,X,X,X
ISLJZOT,O,O,X,O,O,O,X,X,X
ISLJOTZ,X,X,X,O,O,O,X,X,X
ISLJOZT,O,O,O,O,O,O,X,O,X
ISLZTJO,O,O,X,O,O,X,X,X,X
ISLZTOJ,O,X,O,O,O,X,X,X,X
ISLZJTO,O,O,O,O,O,X,X,X,X
ISLZJOT,O,O,O,O,O,O,X,X,X
ISLZOTJ,O,X,O,O,O,X,X,X,X
ISLZOJT,O,O,O,O,O,O,X,X,X
ISLOTJZ,X,X,X,O,O,O,X,X,X
ISLOTZJ,X,X,O,O,O,X,X,X,X
ISLOJTZ,X,X,X,O,O,O,X,X,X
ISLOJZT,O,O,O,O,O,O,X,O,X
ISLOZTJ,O,X,O,X,O,X,X,X,X
ISLOZJT,O,X,O,X,O,O,X,X,X
ISJTLZO,X,O,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,O,X,X,X,X,X
ISJTZLO,X,O,X,X,O,X,X,X,X
ISJTZOL,O,O,X,O,O,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,X,X,X
ISJTOZL,X,X,X,O,O,X,X,X,X
ISJLTZO,O,O,X,O,X,X,X,X,X
ISJLTOZ,X,X,X,O,X,O,X,X,X
ISJLZTO,O,O,X,O,X,X,X,X,X
ISJLZOT,O,O,X,O,X,O,X,X,X
ISJLOTZ,X,X,X,O,X,O,X,X,X
ISJLOZT,O,O,O,O,X,O,X,O,X
ISJZTLO,X,O,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,O,O,X,X,O,X,X,X,X
ISJZOTL,O,X,X,X,O,X,X,X,X
ISJZOLT,O,O,X,O,O,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,X,X
ISJOTZL,X,X,X,X,O,X,X,X,X
ISJOLTZ,X,X,X,O,X,O,X,X,X
ISJOLZT,X,X,O,O,X,O,X,X,X
ISJOZTL,O,X,X,X,O,X,X,X,X
ISJOZLT,O,X,X,O,O,X,X,X,X
ISZTLJO,X,O,X,X,O,X,X,X,X
ISZTLOJ,X,X,O,X,O,X,X,X,X
ISZTJLO,X,O,X,X,O,X,X,X,X
ISZTJOL,O,X,X,X,O,X,X,X,X
ISZTOLJ,X,X,O,X,O,X,X,X,X
ISZTOJL,O,X,X,X,O,X,X,X,X
ISZLTJO,O,O,X,X,O,X,X,X,X
ISZLTOJ,O,X,O,X,O,X,X,X,X
ISZLJTO,O,O,O,X,O,X,X,X,X
ISZLJOT,O,O,O,X,O,X,X,X,X
ISZLOTJ,O,X,O,X,O,X,X,X,X
ISZLOJT,O,O,O,X,O,X,X,X,X
ISZJTLO,X,O,O,X,X,X,X,X,X
ISZJTOL,O,X,O,X,O,X,X,X,X
ISZJLTO,O,O,O,X,O,X,X,X,X
ISZJLOT,O,O,O,X,O,X,X,X,X
ISZJOTL,O,X,O,X,O,X,X,X,X
ISZJOLT,O,O,O,O,O,X,X,X,X
ISZOTLJ,X,X,O,X,O,X,X,X,X
ISZOTJL,O,X,X,X,O,X,X,X,X
ISZOLTJ,O,X,O,X,O,X,X,X,X
ISZOLJT,O,O,O,X,O,X,X,X,X
ISZOJTL,O,X,O,X,O,X,X,X,X
ISZOJLT,O,O,O,O,O,X,X,X,X
ISOTLJZ,X,X,O,X,O,X,X,X,X
ISOTLZJ,X,X,O,X,O,X,X,X,X
ISOTJLZ,X,X,O,O,X,X,X,X,X
ISOTJZL,X,X,X,X,O,X,X,X,X
ISOTZLJ,X,X,O,X,O,X,X,X,X
ISOTZJL,X,X,X,X,O,X,X,X,X
ISOLTJZ,X,X,X,O,O,O,X,X,X
ISOLTZJ,X,X,O,X,O,X,X,X,X
ISOLJTZ,X,X,X,O,O,O,X,X,X
ISOLJZT,X,X,O,O,O,O,X,X,X
ISOLZTJ,X,X,O,O,O,X,X,X,X
ISOLZJT,X,X,O,O,O,O,X,X,X
ISOJTLZ,X,X,X,O,X,X,X,X,X
ISOJTZL,X,X,X,X,O,X,X,X,X
ISOJLTZ,X,X,X,O,X,O,X,X,X
ISOJLZT,X,X,O,O,X,O,X,X,X
ISOJZTL,O,X,X,X,O,X,X,X,X
ISOJZLT,O,X,X,O,O,X,X,X,X
ISOZTLJ,X,X,O,X,O,X,X,X,X
ISOZTJL,O,X,X,X,O,X,X,X,X
ISOZLTJ,X,X,O,X,O,X,X,X,X
ISOZLJT,O,X,O,X,O,X,X,X,X
ISOZJTL,O,X,O,X,O,X,X,X,X
ISOZJLT,O,X,O,O,O,X,X,X,X
IZTLJSO,O,O,X,X,X,X,O,X,X
IZTLJOS,O,X,X,X,O,X,O,X,X
IZTLSJO,O,O,O,X,X,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,X,X,X
IZTLOJS,O,O,X,X,O,X,O,X,X
IZTLOSJ,O,O,O,X,X,X,X,X,X
IZTJLSO,O,O,O,X,X,X,O,X,X
IZTJLOS,O,X,O,X,O,X,O,X,X
IZTJSLO,O,O,O,X,X,X,O,X,X
IZTJSOL,O,X,O,O,O,X,O,X,X
IZTJOLS,O,X,O,O,O,X,O,X,X
IZTJOSL,O,X,O,O,O,X,O,X,X
IZTSLJO,O,O,O,X,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X,X,X
IZTSJOL,O,X,O,O,O,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,X,X,X
IZTSOJL,O,X,O,O,O,X,X,X,X
IZTOLJS,O,O,X,X,O,X,O,X,X
IZTOLSJ,O,O,O,X,X,X,X,X,X
IZTOJLS,O,O,O,O,O,X,O,X,X
IZTOJSL,O,O,O,O,O,X,O,X,X
IZTOSLJ,O,O,O,X,X,X,X,X,X
IZTOSJL,O,O,O,X,O,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X,X
IZLTJOS,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X,X,X
IZLTOSJ,X,O,O,X,X,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X,X
IZLJTOS,X,X,X,X,X,X,O,X,X
IZLJSTO,O,O,X,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,O,X,X
IZLJOTS,X,O,X,X,X,X,O,O,O
IZLJOST,O,O,X,X,O,X,O,O,O
IZLSTJO,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,X,O,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,X,X
IZLSOTJ,O,O,O,X,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,X,X
IZLOTJS,X,O,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,X,O,O,X
IZLOJST,O,O,X,X,O,X,O,O,X
IZLOSTJ,O,O,O,X,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,X,O,X,X
IZJTLOS,O,X,O,X,X,X,O,X,X
IZJTSLO,O,O,O,X,X,X,O,X,X
IZJTSOL,O,X,O,O,X,X,O,X,X
IZJTOLS,O,X,O,O,X,X,O,X,X
IZJTOSL,O,X,O,O,O,X,O,X,X
IZJLTSO,X,O,O,X,X,X,O,X,X
IZJLTOS,X,X,O,X,X,X,O,X,X
IZJLSTO,O,O,O,X,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,O,X,X
IZJLOTS,X,O,O,X,X,X,O,O,O
IZJLOST,O,O,O,X,O,X,O,O,O
IZJSTLO,X,O,O,X,X,X,O,X,X
IZJSTOL,O,X,O,X,O,X,O,X,X
IZJSLTO,O,O,O,X,O,X,X,X,X
IZJSLOT,O,O,O,X,O,X,O,X,X
IZJSOTL,O,X,O,X,O,X,X,X,X
IZJSOLT,O,O,O,O,O,X,O,X,X
IZJOTLS,O,O,O,X,X,X,O,X,O
IZJOTSL,O,O,O,X,O,X,O,X,X
IZJOLTS,X,O,O,X,X,X,O,X,O
IZJOLST,O,O,O,O,O,X,O,X,O
IZJOSTL,O,O,O,X,O,X,X,X,X
IZJOSLT,O,O,O,O,O,X,O,X,O
IZSTLJO,X,O,O,X,X,X,X,X,X
IZSTLOJ,X,X,O,X,X,X,X,X,X
IZSTJLO,X,O,O,X,X,X,X,X,X
IZSTJOL,O,X,O,X,O,X,X,X,X
IZSTOLJ,X,X,O,X,X,X,X,X,X
IZSTOJL,O,X,O,X,O,X,X,X,X
IZSLTJO,O,O,X,X,O,X,X,X,X
IZSLTOJ,O,X,O,X,O,X,X,X,X
IZSLJTO,O,O,O,X,O,X,X,X,X
IZSLJOT,O,O,O,X,O,X,X,X,X
IZSLOTJ,O,O,O,X,O,X,X,X,X
IZSLOJT,O,O,O,X,O,X,X,X,X
IZSJTLO,X,O,O,X,X,X,X,X,X
IZSJTOL,O,X,O,X,O,X,X,X,X
IZSJLTO,O,O,O,X,O,X,X,X,X
IZSJLOT,O,O,O,X,O,X,X,X,X
IZSJOTL,O,X,O,X,O,X,X,X,X
IZSJOLT,O,O,O,O,O,X,X,X,X
IZSOTLJ,X,O,O,X,X,X,X,X,X
IZSOTJL,O,O,O,X,O,X,X,X,X
IZSOLTJ,O,O,O,X,O,X,X,X,X
IZSOLJT,O,O,O,X,O,X,X,X,X
IZSOJTL,O,O,O,X,O,X,X,X,X
IZSOJLT,O,O,O,O,O,X,X,X,X
IZOTLJS,O,O,X,X,O,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X
IZOTJLS,O,O,O,X,O,X,X,X,X
IZOTJSL,O,O,O,X,O,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,X,X
IZOTSJL,O,O,O,X,O,X,X,X,X
IZOLTJS,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,O,O,X,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,O,X,X
IZOLJST,O,O,X,X,O,X,O,X,X
IZOLSTJ,O,O,O,X,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X,X,X
IZOJTLS,O,O,O,X,X,X,O,X,X
IZOJTSL,O,O,O,X,O,X,X,X,X
IZOJLTS,X,O,O,X,X,X,O,X,X
IZOJLST,O,O,O,O,O,X,O,X,X
IZOJSTL,O,O,O,X,O,X,X,X,X
IZOJSLT,O,O,O,O,O,X,O,X,X
IZOSTLJ,X,O,O,X,X,X,X,X,X
IZOSTJL,O,O,O,X,O,X,X,X,X
IZOSLTJ,O,O,O,X,O,X,X,X,X
IZOSLJT,O,O,O,X,O,X,X,X,X
IZOSJTL,O,O,O,X,O,X,X,X,X
IZOSJLT,O,O,O,X,O,X,X,X,X
IOTLJSZ,X,O,X,O,X,O,X,X,X
IOTLJZS,X,O,X,O,X,X,X,X,X
IOTLSJZ,X,O,O,X,X,O,X,X,X
IOTLSZJ,X,O,O,X,X,O,X,X,X
IOTLZJS,X,O,X,X,O,X,X,X,X
IOTLZSJ,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,X,O,X,X,X
IOTJLZS,X,O,X,O,X,X,X,X,X
IOTJSLZ,X,O,O,O,X,O,X,X,X
IOTJSZL,X,O,X,O,X,X,X,X,X
IOTJZLS,X,O,X,O,O,X,X,X,X
IOTJZSL,X,O,X,O,O,X,X,X,X
IOTSLJZ,X,O,O,O,O,O,X,X,X
IOTSLZJ,X,O,O,X,O,O,X,X,X
IOTSJLZ,X,O,O,O,X,O,X,X,X
IOTSJZL,X,O,X,O,O,X,X,X,X
IOTSZLJ,X,O,O,X,O,X,X,X,X
IOTSZJL,X,O,O,O,O,X,X,X,X
IOTZLJS,X,O,X,X,O,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X
IOTZJLS,X,O,O,O,O,X,X,X,X
IOTZJSL,X,O,O,O,O,X,X,X,X
IOTZSLJ,X,O,O,X,O,X,X,X,X
IOTZSJL,X,O,O,X,O,X,X,X,X
IOLTJSZ,X,O,X,O,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,O,X
IOLTSJZ,X,O,O,X,X,X,X,X,X
IOLTSZJ,X,X,O,X,X,X,X,X,X
IOLTZJS,X,X,X,X,O,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,O,X,O,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,O,X,O,X,O,X,X,X
IOLJSZT,X,O,X,O,X,O,X,O,X
IOLJZTS,X,O,X,X,X,X,X,O,X
IOLJZST,X,O,X,O,X,X,X,O,X
IOLSTJZ,X,O,X,X,X,O,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,O,X,O,X,O,X,X,X
IOLSJZT,X,O,O,O,X,O,X,O,X
IOLSZTJ,X,O,O,X,X,X,X,X,X
IOLSZJT,X,O,O,X,X,O,X,X,X
IOLZTJS,X,O,X,X,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,X
IOLZJTS,X,O,X,X,X,X,O,O,X
IOLZJST,X,O,X,O,O,X,O,O,X
IOLZSTJ,X,O,X,X,X,X,X,X,X
IOLZSJT,X,O,X,X,X,X,X,X,X
IOJTLSZ,X,O,X,O,X,O,X,X,X
IOJTLZS,X,O,X,O,X,X,X,X,X
IOJTSLZ,X,O,O,O,X,O,X,X,X
IOJTSZL,X,O,X,O,X,X,X,X,X
IOJTZLS,X,O,X,O,O,X,X,X,X
IOJTZSL,X,O,X,O,O,X,X,X,X
IOJLTSZ,X,O,X,O,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X
IOJLSTZ,X,O,X,O,X,O,X,X,X
IOJLSZT,X,O,X,O,X,O,X,O,X
IOJLZTS,X,O,X,X,X,X,X,O,X
IOJLZST,X,O,X,O,X,X,X,O,X
IOJSTLZ,X,O,X,O,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,O,X,O,X,O,X,X,X
IOJSLZT,X,O,O,O,X,O,X,X,X
IOJSZTL,X,O,X,X,X,X,X,X,X
IOJSZLT,X,O,X,O,X,X,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,O,X,X,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X
IOJZLST,X,O,X,O,O,X,X,X,X
IOJZSTL,X,O,X,X,O,X,X,X,X
IOJZSLT,X,O,X,O,O,X,X,X,X
IOSTLJZ,X,O,O,X,O,X,X,X,X
IOSTLZJ,X,O,O,X,O,X,X,X,X
IOSTJLZ,X,O,O,O,X,X,X,X,X
IOSTJZL,X,O,X,X,O,X,X,X,X
IOSTZLJ,X,O,O,X,O,X,X,X,X
IOSTZJL,X,O,X,X,O,X,X,X,X
IOSLTJZ,X,O,X,X,O,O,X,X,X
IOSLTZJ,X,X,O,X,O,X,X,X,X
IOSLJTZ,X,O,X,O,O,O,X,X,X
IOSLJZT,X,O,O,O,O,O,X,X,X
IOSLZTJ,X,O,O,X,O,X,X,X,X
IOSLZJT,X,O,O,X,O,O,X,X,X
IOSJTLZ,X,O,X,O,X,X,X,X,X
IOSJTZL,X,O,X,X,O,X,X,X,X
IOSJLTZ,X,O,X,O,X,O,X,X,X
IOSJLZT,X,O,O,O,X,O,X,X,X
IOSJZTL,X,O,X,X,O,X,X,X,X
IOSJZLT,X,O,X,O,O,X,X,X,X
IOSZTLJ,X,O,O,X,O,X,X,X,X
IOSZTJL,X,O,X,X,O,X,X,X,X
IOSZLTJ,X,O,O,X,O,X,X,X,X
IOSZLJT,X,O,O,X,O,X,X,X,X
IOSZJTL,X,O,O,X,O,X,X,X,X
IOSZJLT,X,O,O,O,O,X,X,X,X
IOZTLJS,X,O,X,X,O,X,X,X,X
IOZTLSJ,X,O,O,X,X,X,X,X,X
IOZTJLS,X,O,O,X,O,X,X,X,X
IOZTJSL,X,O,O,X,O,X,X,X,X
IOZTSLJ,X,O,O,X,X,X,X,X,X
IOZTSJL,X,O,O,X,O,X,X,X,X
IOZLTJS,X,O,X,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X,X
IOZLJTS,X,O,X,X,X,X,O,X,X
IOZLJST,X,O,X,X,O,X,O,X,X
IOZLSTJ,X,O,O,X,X,X,X,X,X
IOZLSJT,X,O,O,X,X,X,X,X,X
IOZJTLS,X,O,O,X,X,X,O,X,X
IOZJTSL,X,O,O,X,O,X,X,X,X
IOZJLTS,X,O,O,X,X,X,O,X,X
IOZJLST,X,O,O,O,O,X,O,X,X
IOZJSTL,X,O,O,X,O,X,X,X,X
IOZJSLT,X,O,O,O,O,X,O,X,X
IOZSTLJ,X,O,O,X,X,X,X,X,X
IOZSTJL,X,O,O,X,O,X,X,X,X
IOZSLTJ,X,O,O,X,O,X,X,X,X
IOZSLJT,X,O,O,X,O,X,X,X,X
IOZSJTL,X,O,O,X,O,X,X,X,X
IOZSJLT,X,O,O,X,O,X,X,X,X
LTIJSZO,O,O,X,O,X,O,X,X,X
LTIJSOZ,O,O,X,O,X,O,X,O,X
LTIJZSO,O,O,X,O,X,X,X,X,X
LTIJZOS,O,O,X,O,X,X,X,O,X
LTIJOSZ,X,O,X,O,X,O,X,O,X
LTIJOZS,X,O,X,O,X,X,X,O,X
LTISJZO,O,O,X,O,X,O,X,X,X
LTISJOZ,O,O,O,O,X,O,X,O,X
LTISZJO,O,O,X,O,X,O,X,X,X
LTISZOJ,O,O,O,O,X,O,X,X,X
LTISOJZ,O,O,O,O,X,O,X,O,X
LTISOZJ,O,O,O,O,X,O,X,X,X
LTIZJSO,O,O,X,O,X,X,O,X,X
LTIZJOS,O,O,X,O,O,X,O,O,X
LTIZSJO,O,O,X,O,X,X,X,X,X
LTIZSOJ,O,O,X,O,X,X,X,X,X
LTIZOJS,O,O,X,O,O,X,O,O,X
LTIZOSJ,O,O,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,O,X,O,X,O,X
LTIOJZS,X,O,X,O,X,X,X,O,X
LTIOSJZ,X,O,O,O,X,O,X,O,X
LTIOSZJ,X,O,O,O,X,O,X,X,X
LTIOZJS,X,O,X,O,O,X,O,O,X
LTIOZSJ,X,O,X,X,X,X,X,X,X
LTJISZO,O,O,X,O,X,O,X,X,X
LTJISOZ,O,O,X,O,X,O,X,O,X
LTJIZSO,O,O,X,O,X,X,X,X,X
LTJIZOS,O,O,X,O,X,X,X,O,X
LTJIOSZ,X,O,X,O,X,O,X,O,X
LTJIOZS,X,O,X,O,X,X,X,O,X
LTJSIZO,O,O,X,O,X,O,X,X,X
LTJSIOZ,O,O,X,O,X,O,X,O,X
LTJSZIO,O,O,X,O,X,O,X,X,X
LTJSZOI,O,O,X,O,X,O,X,X,X
LTJSOIZ,O,O,X,O,X,O,X,O,X
LTJSOZI,O,O,X,O,X,O,X,X,X
LTJZISO,O,O,X,O,X,X,O,X,X
LTJZIOS,O,O,X,O,X,X,O,O,X
LTJZSIO,O,O,X,O,X,O,O,X,X
LTJZSOI,O,O,X,O,X,O,O,X,X
LTJZOIS,O,O,X,O,X,X,O,O,O
LTJZOSI,O,O,X,X,X,O,O,X,O
LTJOISZ,X,O,X,O,X,O,X,O,X
LTJOIZS,X,O,X,O,X,X,X,O,O
LTJOSIZ,O,O,X,O,X,O,X,O,X
LTJOSZI,O,O,X,O,X,O,X,X,X
LTJOZIS,O,O,X,O,X,X,O,O,O
LTJOZSI,O,O,X,X,X,O,O,X,O
LTSIJZO,O,O,X,O,O,O,X,X,X
LTSIJOZ,O,O,O,O,O,O,X,O,X
LTSIZJO,O,O,O,O,O,O,X,X,X
LTSIZOJ,O,O,O,O,O,O,X,X,X
LTSIOJZ,O,O,O,O,O,O,X,O,X
LTSIOZJ,O,O,O,O,O,O,X,X,X
LTSJIZO,O,O,X,O,O,O,X,X,X
LTSJIOZ,O,O,O,O,O,O,X,O,X
LTSJZIO,O,O,O,O,O,O,X,X,X
LTSJZOI,O,O,O,O,O,O,X,X,X
LTSJOIZ,O,O,O,O,O,O,X,O,X
LTSJOZI,O,O,O,O,O,O,X,X,X
LTSZIJO,O,O,O,O,O,O,X,X,X
LTSZIOJ,O,O,O,O,O,O,X,X,X
LTSZJIO,O,O,O,O,O,O,O,X,X
LTSZJOI,O,O,O,O,O,O,O,X,X
LTSZOIJ,O,O,O,O,O,O,X,X,X
LTSZOJI,O,O,O,O,O,O,O,X,X
LTSOIJZ,O,O,O,O,O,O,X,O,X
LTSOIZJ,O,O,O,O,O,O,X,X,X
LTSOJIZ,O,O,O,O,O,O,X,O,X
LTSOJZI,O,O,O,O,O,O,X,X,X
LTSOZIJ,O,O,O,O,O,O,X,X,X
LTSOZJI,O,O,O,O,O,O,O,X,X
LTZIJSO,O,O,X,O,X,X,O,X,X
LTZIJOS,O,O,X,O,O,X,O,O,X
LTZISJO,O,O,O,O,X,X,X,X,X
LTZISOJ,O,O,O,O,X,X,X,X,X
LTZIOJS,O,O,X,O,O,X,O,O,X
LTZIOSJ,O,O,O,X,X,X,X,X,X
LTZJISO,O,O,O,O,X,X,O,X,X
LTZJIOS,O,O,O,O,O,X,O,O,X
