sequence,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFzdB+jBigBU?iBFmB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeWCJvhFxdBigBTjBF?mBXnBUrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBmiBF?mBXnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBmhBz?iBFmB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFzdB+jBigBU?mBFnB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBXhBm?iBFnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcBXeBenBS?oBFmBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcByiB+jBF?mBXnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8Je37IvhFUdBGeBVoBx?lByrBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFehBSiBTeB1?rBxsB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFGeBTgBUjB/?rBFnBirB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFWiBxdBTjBF?mBXnBKrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8Je1AJvhF0cB+jB3iBx?lBinBTrB
ITJZSLO,X,X,X,X,X,O,X,X,O,O,X,X,O
ITJZSOL,O,X,X,X,X,O,X,X,X,O,X,X,O
ITJZOLS,O,X,X,X,O,O,X,X,X,O,X,X,X
ITJZOSL,O,X,X,X,X,X,X,X,X,O,X,X,O
ITJOLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJOLZS,O,X,X,X,X,X,X,X,O,O,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ITJOSZL,X,X,X,X,X,X,X,X,X,X,X,X,O
ITJOZLS,X,X,X,X,O,X,X,X,X,O,X,X,X
ITJOZSL,X,X,X,X,X,X,X,X,X,O,X,X,O
ITSLJZO,X,X,X,X,X,X,X,X,O,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITSLZJO,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSLZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSLOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITSLOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ITSJLZO,X,X,X,X,X,X,X,X,O,X,X,X,O
ITSJLOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITSJZLO,X,X,X,X,X,X,X,X,O,X,X,X,O
ITSJZOL,X,X,X,X,X,X,X,X,X,X,X,X,O
ITSJOLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,X,X,X,X,X,O
ITSZLJO,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSZLOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSZJLO,X,X,X,X,X,X,X,X,O,O,X,X,O
ITSZJOL,X,X,X,X,X,X,X,X,X,O,X,X,O
ITSZOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSZOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSOLJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITSOLZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ITSOJLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ITSOZLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITSOZJL,X,O,X,X,X,X,X,X,X,O,X,X,X
ITZLJSO,X,X,X,X,O,O,X,X,O,O,X,X,O
ITZLJOS,O,X,X,X,O,O,X,X,O,O,X,X,X
ITZLSJO,X,X,X,X,O,X,X,X,O,O,X,X,X
ITZLSOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZLOJS,X,X,X,X,O,X,X,X,O,O,X,X,X
ITZLOSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZJLSO,X,X,X,X,O,O,X,X,O,O,X,X,O
ITZJLOS,O,X,X,X,O,O,X,X,O,O,X,X,X
ITZJSLO,X,X,X,X,X,O,X,X,O,O,X,X,O
ITZJSOL,O,X,X,X,X,O,X,X,X,O,X,X,O
ITZJOLS,O,X,X,X,O,O,X,X,X,O,X,X,X
ITZJOSL,O,X,X,X,X,X,X,X,X,O,X,X,O
ITZSLJO,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZSLOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZSJLO,X,X,X,X,X,X,X,X,O,O,X,X,O
ITZSJOL,O,X,X,X,X,X,X,X,X,O,X,X,O
ITZSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZOLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZOLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZOJLS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITZOJSL,O,X,X,X,X,X,X,X,X,O,X,X,O
ITZOSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZOSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOLJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ITOLJZS,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ITOLZJS,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOLZSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOJLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ITOJLZS,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOJSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ITOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,O
ITOJZLS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOJZSL,X,X,X,X,X,X,X,X,X,O,X,X,O
ITOSLJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITOSLZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITOSZJL,X,O,X,X,X,X,X,X,X,O,X,X,X
ITOZLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOZJLS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOZJSL,X,X,X,X,X,X,X,X,X,O,X,X,O
ITOZSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOZSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ILTJSZO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILTJSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTJZSO,O,X,X,X,O,O,X,X,O,O,X,X,O
ILTJZOS,O,X,X,X,O,O,X,X,O,O,X,X,X
ILTJOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTJOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
ILTSJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTSJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILTSZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
ILTSZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILTZJSO,O,X,X,X,O,O,X,X,O,O,X,X,O
ILTZJOS,O,X,X,X,O,O,X,X,O,O,X,X,X
ILTZSJO,O,X,X,X,O,X,X,X,O,O,X,X,X
ILTZSOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILTZOJS,O,X,X,X,O,X,X,X,O,O,X,X,X
ILTZOSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILTOJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X,O,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,O,O,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILJTSZO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILJTSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJTZSO,O,X,X,X,O,O,X,X,O,O,X,X,O
ILJTZOS,O,X,X,X,O,O,X,X,O,O,X,X,X
ILJTOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJTOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
ILJSTZO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILJSTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJSZTO,O,X,O,X,O,X,O,X,O,X,X,X,X
ILJSZOT,O,X,O,X,O,X,O,X,X,X,X,X,X
ILJSOTZ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILJSOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJZTSO,O,X,O,X,O,O,O,X,O,X,X,X,X
ILJZTOS,O,X,X,X,O,O,O,X,O,X,X,X,X
ILJZSTO,O,X,O,X,O,O,O,X,O,X,X,X,X
ILJZSOT,O,X,O,X,O,O,O,X,X,X,X,X,X
ILJZOTS,O,X,X,X,O,O,X,X,X,X,X,X,X
ILJZOST,O,X,O,X,O,O,O,X,X,X,X,X,X
ILJOTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJOTZS,O,X,X,X,O,X,X,X,X,O,X,X,X
ILJOSTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,O,X,X,X,O,O,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,O,O,X,X,X,X,X,X,X
ILSTJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSTZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
ILSTZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILSTOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ILSTOZJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILSJTZO,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSJZTO,O,X,O,O,O,X,O,X,O,X,X,X,X
ILSJZOT,O,X,O,O,O,X,O,X,X,X,X,X,X
ILSJOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSJOZT,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSZTJO,O,X,O,O,O,X,O,X,O,X,X,X,X
ILSZTOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSZJTO,O,X,O,O,O,X,O,X,O,X,X,X,X
ILSZJOT,O,X,O,O,O,X,O,X,X,X,X,X,X
ILSZOTJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSZOJT,O,X,X,O,X,X,O,X,X,X,X,X,X
ILSOTJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSOJZT,O,O,X,O,X,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSOZJT,O,O,X,O,X,X,X,X,X,X,X,X,X
ILZTJSO,O,X,X,O,O,O,O,X,O,O,X,X,X
ILZTJOS,O,X,X,O,O,O,O,X,O,O,X,X,X
ILZTSJO,O,X,O,X,O,X,X,X,O,O,X,X,X
ILZTSOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILZTOJS,O,X,X,O,O,X,X,X,O,O,X,X,X
ILZTOSJ,X,X,X,O,X,X,X,X,O,O,X,X,X
ILZJTSO,O,X,O,X,O,O,O,X,O,X,X,X,X
ILZJTOS,O,X,X,X,O,O,O,X,O,X,X,X,X
ILZJSTO,O,X,O,X,O,O,O,X,O,X,X,X,X
ILZJSOT,O,X,O,X,O,O,O,X,X,X,X,X,X
ILZJOTS,O,X,X,X,O,O,X,X,X,X,X,X,X
ILZJOST,O,X,O,X,O,O,O,X,X,X,X,X,X
ILZSTJO,O,X,O,O,O,O,O,X,O,X,X,X,X
ILZSTOJ,X,X,X,O,X,O,X,X,O,X,X,X,X
ILZSJTO,O,X,O,O,O,O,O,X,O,X,X,X,X
ILZSJOT,O,X,O,O,O,O,O,X,X,X,X,X,X
ILZSOTJ,X,X,X,O,X,O,X,X,O,X,X,X,X
ILZSOJT,O,X,X,O,X,O,O,X,X,X,X,X,X
ILZOTJS,X,X,X,O,O,O,X,X,O,O,X,X,X
ILZOTSJ,X,X,X,O,X,X,X,X,O,O,X,X,X
ILZOJTS,O,X,X,O,O,O,X,X,X,X,X,X,X
ILZOJST,O,X,X,O,O,O,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,O,X,O,X,X,O,X,X,X,X
ILZOSJT,X,X,X,O,X,O,X,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILOTJZS,O,X,X,X,X,O,X,X,O,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILOTZJS,O,X,X,X,X,O,X,X,O,O,X,X,X
ILOTZSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILOJTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOJTZS,O,X,X,X,O,X,X,X,X,O,X,X,X
ILOJSTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOJSZT,O,O,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,X,X,X,O,O,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,O,O,X,X,X,X,X,X,X
ILOSTJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOSJZT,O,O,X,O,X,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ILOSZJT,O,O,X,O,X,X,X,X,X,X,X,X,X
ILOZTJS,X,X,X,O,O,O,X,X,O,O,X,X,X
ILOZTSJ,X,X,X,O,X,X,X,X,O,O,X,X,X
ILOZJTS,O,X,X,O,O,O,X,X,X,X,X,X,X
ILOZJST,O,X,X,O,O,O,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,O,X,O,X,X,O,X,X,X,X
ILOZSJT,X,O,X,O,X,O,X,X,X,X,X,X,X
IJTLSZO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJTLSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLZSO,O,X,X,X,X,O,X,X,O,O,X,X,O
IJTLZOS,O,X,X,X,X,O,X,X,O,O,X,X,X
IJTLOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLOZS,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTSLZO,X,X,X,X,X,X,X,X,O,X,X,X,O
IJTSLOZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTSZLO,X,X,X,X,X,X,X,X,O,X,X,X,O
IJTSZOL,X,X,X,X,X,X,X,X,X,X,X,X,O
IJTSOLZ,X,X,X,X,X,X,X,X,O,X,X,X,O
IJTSOZL,X,X,X,X,X,X,X,X,X,X,X,X,O
IJTZLSO,X,X,X,X,O,O,X,X,O,O,X,X,O
IJTZLOS,O,X,X,X,O,O,X,X,O,O,X,X,X
IJTZSLO,X,X,X,X,X,O,X,X,O,O,X,X,O
IJTZSOL,O,X,X,X,X,O,X,X,X,O,X,X,O
IJTZOLS,O,X,X,X,O,O,X,X,X,O,X,X,X
IJTZOSL,O,X,X,X,X,X,X,X,X,O,X,X,O
IJTOLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTOLZS,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X,X,X,X,X,O
IJTOZLS,X,X,X,X,O,X,X,X,X,O,X,X,X
IJTOZSL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJLTSZO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJLTSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLTZSO,O,X,X,X,O,O,X,X,O,O,X,X,O
IJLTZOS,O,X,X,X,O,O,X,X,O,O,X,X,X
IJLTOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLTOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
IJLSTZO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJLSTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLSZTO,O,X,O,X,O,X,O,O,O,X,X,X,X
IJLSZOT,O,X,O,X,O,X,O,O,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJLSOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLZTSO,O,X,O,X,O,O,O,O,O,X,X,X,X
IJLZTOS,O,X,X,X,O,O,O,X,O,X,X,X,X
IJLZSTO,O,X,O,X,O,O,O,O,O,X,X,X,X
IJLZSOT,O,X,O,X,O,O,O,O,X,X,X,X,X
IJLZOTS,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLZOST,O,X,O,X,O,O,O,O,X,X,X,X,X
IJLOTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLOTZS,O,X,X,X,O,X,X,X,X,O,X,X,X
IJLOSTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,O,O,X,X,X,X,X,X,X
IJSTLZO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJSTLOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJSTZLO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJSTZOL,O,X,X,X,X,X,X,X,X,X,X,X,O
IJSTOLZ,O,X,X,X,X,X,X,X,O,X,X,X,O
IJSTOZL,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSLTZO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJSLTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X,O,O,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X,O,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJSLOZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,O,X,O,X,X,X,X,O,X,X,X,X,O
IJSZTOL,O,X,O,X,X,X,X,O,X,X,X,X,O
IJSZLTO,O,X,O,X,X,X,X,O,X,X,X,X,X
IJSZLOT,O,X,O,X,X,X,X,O,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X,X,X,X,X,X,O
IJSZOLT,O,X,O,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJSOTZL,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSOLTZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJSOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X,X,X,X,X,O
IJSOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,X,X,O,X,O,O,O,X,X,O,X,X,O
IJZTLOS,O,X,X,X,O,O,O,X,X,O,X,X,X
IJZTSLO,X,X,X,X,X,O,O,O,X,O,X,X,O
IJZTSOL,O,X,X,X,X,O,X,O,X,O,X,X,O
IJZTOLS,O,X,X,X,O,O,O,X,X,O,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X,X,O,X,X,O
IJZLTSO,X,X,O,X,O,O,O,O,X,X,X,X,X
IJZLTOS,O,X,X,X,O,O,O,X,X,X,X,X,X
IJZLSTO,X,X,O,X,O,O,O,O,X,X,X,X,X
IJZLSOT,O,X,O,X,O,O,O,O,X,X,X,X,X
IJZLOTS,O,X,X,X,O,O,X,X,X,X,X,X,X
IJZLOST,O,X,O,X,O,O,O,O,X,X,X,X,X
IJZSTLO,O,X,O,X,X,O,X,O,X,X,X,X,O
IJZSTOL,O,X,O,X,X,X,X,O,X,X,X,X,O
IJZSLTO,O,X,O,X,X,O,O,O,X,X,X,X,X
IJZSLOT,O,X,O,X,X,O,O,O,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,X,X,X,X,X,X,O
IJZSOLT,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZOTLS,O,X,X,X,O,O,X,X,X,O,X,X,X
IJZOTSL,O,X,X,X,X,O,X,X,X,O,X,X,X
IJZOLTS,O,X,X,X,O,O,X,X,X,X,X,X,X
IJZOLST,O,X,O,X,O,O,O,X,X,X,X,X,X
IJZOSTL,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZOSLT,O,X,X,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOTLZS,O,X,X,X,X,X,X,X,X,O,X,X,O
IJOTSLZ,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOTSZL,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOTZLS,X,X,X,X,O,X,X,X,X,O,X,X,O
IJOTZSL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJOLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOLTZS,O,X,X,X,O,X,X,X,X,O,X,X,O
IJOLSTZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOLSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,X,O,O,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,O,O,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOSTZL,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSLTZ,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,O,X,X,X,O,O,X,X,X,O,X,X,O
IJOZTSL,O,X,X,X,X,O,X,X,X,O,X,X,O
IJOZLTS,O,X,X,X,O,O,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,O,O,X,X,X,X,X,X,X
IJOZSTL,O,X,X,X,X,O,X,X,X,X,X,X,O
IJOZSLT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISTLJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ISTLZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
ISTLZOJ,O,X,X,X,X,X,X,X,O,O,X,X,X
ISTLOJZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X,O,O,X,X,X
ISTJLZO,O,X,X,X,X,X,X,X,O,X,X,X,O
ISTJLOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ISTJZLO,O,X,X,X,X,X,X,X,O,X,X,X,O
ISTJZOL,O,X,X,X,X,X,X,X,X,X,X,X,O
ISTJOLZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X,X,X,X,X,O
ISTZLJO,O,X,X,X,X,X,X,X,O,O,X,X,X
ISTZLOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ISTZJLO,O,X,X,X,X,X,X,X,O,O,X,X,O
ISTZJOL,O,X,X,X,X,X,X,X,X,O,X,X,O
ISTZOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTZOJL,O,X,X,X,X,X,X,X,X,O,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTOLZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
ISTOZJL,X,O,X,X,X,X,X,X,X,O,X,X,X
ISLTJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
ISLTZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ISLTOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLTOZJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ISLJTZO,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLJZTO,O,X,O,O,X,X,X,X,O,X,X,X,X
ISLJZOT,O,X,O,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,X,O,O,X,X,X,X,O,X,X,X,X
ISLZTOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ISLZJTO,O,X,O,O,X,X,X,X,O,X,X,X,X
ISLZJOT,O,X,O,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ISLZOJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,O,O,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ISLOZJT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,X,X,X,X,X,X,O,X,X,X,O
ISJTLOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ISJTZLO,O,X,X,X,X,X,X,X,O,X,X,X,O
ISJTZOL,O,X,X,X,X,X,X,X,X,X,X,X,O
ISJTOLZ,O,O,X,X,X,X,X,X,O,X,X,X,O
ISJTOZL,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJLTZO,O,X,X,X,X,X,X,X,O,X,X,X,O
ISJLTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISJLZTO,O,X,O,O,X,X,X,O,O,X,X,X,X
ISJLZOT,O,X,O,O,X,X,X,O,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X,X,X,X,X,X,O
ISJLOZT,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,X,O,O,X,X,X,O,X,X,X,X,O
ISJZTOL,O,X,O,O,X,X,X,O,X,X,X,X,O
ISJZLTO,O,X,O,O,X,X,X,O,X,X,X,X,X
ISJZLOT,O,X,O,O,X,X,X,O,X,X,X,X,X
ISJZOTL,O,X,X,O,X,X,X,X,X,X,X,X,O
