sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
TLZJOIS,O,X,O,O,O,X,X,X,X,X,X,O,X
TLZJOSI,O,X,O,O,O,X,X,X,X,X,X,O,X
TLZSIJO,O,O,O,O,O,X,X,O,X,X,X,O,X
TLZSIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
TLZSJIO,O,O,O,O,O,X,X,O,X,X,X,O,X
TLZSJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
TLZSOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
TLZSOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
TLZOIJS,O,X,O,O,X,X,X,X,X,X,X,X,O
TLZOISJ,O,O,O,O,O,X,X,O,X,X,X,O,O
TLZOJIS,O,O,O,O,O,X,X,X,X,X,X,O,O
TLZOJSI,O,O,O,O,O,X,X,X,X,X,X,O,O
TLZOSIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
TLZOSJI,O,O,O,O,O,X,X,X,X,X,X,O,O
TLOIJSZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLOIJZS,O,O,X,X,O,X,X,X,X,X,X,X,O
TLOISJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLOISZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLOIZJS,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOIZSJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLOJISZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TLOJIZS,O,O,X,X,O,X,X,X,O,O,X,X,O
TLOJSIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
