sequence,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBUdBGeBC?gBllBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhFTcB/iBGeBC?gBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jel6IvhFRcBGeBXgB8?lBCnBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBGeBCgBT?iBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Je6/IvhF0bBlcBGeB/?lBxrBTsB
TOIJLSZ,O,X,X,O,X
TOIJLZS,O,X,X,O,X
TOIJSLZ,O,X,X,O,X
TOIJSZL,O,X,X,X,X
TOIJZLS,O,X,X,O,X
TOIJZSL,O,O,X,X,X
TOISLJZ,O,X,X,O,X
TOISLZJ,O,X,X,O,X
TOISJLZ,O,X,X,O,X
TOISJZL,O,X,X,X,X
TOISZLJ,O,O,X,X,X
TOISZJL,O,O,X,X,X
TOIZLJS,O,O,X,O,X
TOIZLSJ,O,O,X,O,X
TOIZJLS,O,X,X,O,X
TOIZJSL,O,O,X,X,X
TOIZSLJ,O,O,X,X,X
TOIZSJL,O,O,X,X,X
TOLIJSZ,O,X,X,O,X
TOLIJZS,O,O,O,O,X
TOLISJZ,O,X,X,O,X
TOLISZJ,O,O,X,O,X
TOLIZJS,O,O,X,O,X
TOLIZSJ,O,O,X,O,X
TOLJISZ,O,X,X,O,X
TOLJIZS,O,O,O,O,X
TOLJSIZ,O,X,X,O,X
TOLJSZI,O,X,O,O,X
TOLJZIS,O,O,O,O,X
TOLJZSI,O,O,X,O,X
TOLSIJZ,O,X,X,O,X
TOLSIZJ,O,O,X,O,X
TOLSJIZ,O,X,X,O,X
TOLSJZI,O,X,O,O,X
TOLSZIJ,O,O,O,O,X
TOLSZJI,O,O,O,O,X
TOLZIJS,O,O,O,O,X
TOLZISJ,O,O,X,O,X
TOLZJIS,O,O,O,O,X
TOLZJSI,O,O,X,O,X
TOLZSIJ,O,O,X,O,X
TOLZSJI,O,O,X,O,X
TOJILSZ,O,X,X,O,X
TOJILZS,O,X,X,O,X
TOJISLZ,O,X,X,O,X
TOJISZL,O,X,X,X,X
TOJIZLS,O,X,X,O,X
TOJIZSL,O,O,X,X,X
TOJLISZ,O,X,X,O,X
TOJLIZS,O,O,O,O,X
TOJLSIZ,O,X,X,O,X
TOJLSZI,O,X,O,O,X
TOJLZIS,O,O,O,O,X
TOJLZSI,O,O,X,O,X
TOJSILZ,O,X,X,O,X
TOJSIZL,O,X,X,X,X
TOJSLIZ,O,X,X,O,X
TOJSLZI,O,X,O,O,X
TOJSZIL,O,X,O,X,X
TOJSZLI,O,X,O,O,X
TOJZILS,O,X,O,O,X
TOJZISL,O,O,O,X,X
TOJZLIS,O,O,O,O,X
TOJZLSI,O,O,O,O,X
TOJZSIL,O,O,O,X,X
TOJZSLI,O,O,O,O,X
TOSILJZ,O,X,X,O,X
TOSILZJ,O,X,X,O,X
TOSIJLZ,O,X,X,O,X
TOSIJZL,O,X,X,X,X
TOSIZLJ,O,O,X,X,X
TOSIZJL,O,O,X,X,X
TOSLIJZ,O,X,X,O,X
TOSLIZJ,O,O,X,O,X
TOSLJIZ,O,X,X,O,X
TOSLJZI,O,X,O,O,X
TOSLZIJ,O,O,O,O,X
TOSLZJI,O,O,O,O,X
TOSJILZ,O,X,X,O,X
TOSJIZL,O,X,X,X,X
TOSJLIZ,O,X,X,O,X
TOSJLZI,O,X,O,O,X
TOSJZIL,O,X,O,X,X
TOSJZLI,O,X,O,O,X
TOSZILJ,O,O,O,X,X
TOSZIJL,O,O,O,X,X
TOSZLIJ,O,O,O,O,X
TOSZLJI,O,O,O,O,X
TOSZJIL,O,O,O,X,X
TOSZJLI,O,O,O,O,X
TOZILJS,O,O,O,O,X
TOZILSJ,O,O,O,O,X
