sequence,v115@6gC8IeB8GeC8AeA8CeH8AeE8Je2/IvhFRbBzcBUhB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex6IvhFOhB8hB6kBT?gB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB8hBmgB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB2iB8kBF?hBfrBCsB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeaBJvhFzcBxfB3iBG?lBcrBlpB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jem7IvhFzcBxfB3iB6?kBllBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbByhB8kBW?mB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFFcB2iBClBx?mB/lBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex7IvhF8hBmfBzgB3?iB6kBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhF8kBliBRmBC?mB3mBmqB
ILOTJSZ,X,O,O,X,X,X,X,O,X,X
ILOTJZS,X,O,O,X,X,X,X,O,X,X
ILOTSJZ,X,O,O,X,X,X,X,O,X,X
ILOTSZJ,X,O,O,X,X,X,X,O,X,X
ILOTZJS,X,O,O,X,X,X,X,O,X,X
ILOTZSJ,X,O,O,X,X,X,X,O,X,X
ILOJTSZ,X,O,X,X,X,X,X,O,X,X
ILOJTZS,X,O,X,X,X,X,X,O,X,X
ILOJSTZ,X,O,X,X,X,X,X,O,X,X
ILOJSZT,X,O,O,X,X,X,X,O,X,X
ILOJZTS,X,X,X,X,X,X,X,O,X,X
ILOJZST,X,X,X,X,X,X,X,O,X,X
ILOSTJZ,X,O,O,X,X,X,X,O,X,X
ILOSTZJ,X,O,O,X,X,X,X,O,X,X
ILOSJTZ,X,O,X,X,X,X,X,O,X,X
ILOSJZT,X,O,O,X,X,X,X,O,X,X
ILOSZTJ,X,O,O,X,X,X,X,O,X,X
ILOSZJT,X,O,O,X,X,X,X,O,X,X
ILOZTJS,X,O,X,X,X,X,X,O,X,X
ILOZTSJ,X,O,X,X,X,X,X,O,X,X
ILOZJTS,X,X,X,X,X,X,X,O,X,X
ILOZJST,X,X,X,X,X,X,X,O,X,X
ILOZSTJ,X,O,X,X,X,X,X,O,X,X
ILOZSJT,X,O,X,X,X,X,X,O,X,X
IJTLSZO,O,X,X,X,X,X,X,O,X,X
IJTLSOZ,O,X,X,X,X,X,X,O,X,X
IJTLZSO,O,X,X,X,X,X,X,O,X,X
IJTLZOS,O,X,X,X,X,X,X,O,X,X
IJTLOSZ,O,X,X,X,X,X,X,O,X,X
IJTLOZS,O,X,X,X,X,X,X,O,X,X
IJTSLZO,O,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X,X
IJTSZLO,O,X,X,X,O,O,X,X,X,X
IJTSZOL,O,X,X,X,O,O,X,X,O,X
IJTSOLZ,O,X,X,X,X,O,X,X,X,X
IJTSOZL,O,X,X,X,X,X,X,X,O,X
IJTZLSO,O,X,X,X,O,O,X,X,X,X
IJTZLOS,O,X,X,X,X,X,X,X,X,X
IJTZSLO,O,X,X,X,O,O,X,X,X,X
IJTZSOL,O,X,X,X,O,O,X,X,X,X
IJTZOLS,O,X,X,X,X,X,X,X,X,X
IJTZOSL,O,X,X,X,X,O,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,O,X,X
IJTOLZS,O,X,X,X,X,X,X,O,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,X,X,O,X
IJTOZLS,O,X,X,X,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X,X,X,X
IJLTSZO,O,X,X,X,X,X,X,O,X,X
IJLTSOZ,O,X,X,X,X,X,X,O,X,X
IJLTZSO,O,X,X,X,X,X,X,O,X,X
IJLTZOS,O,X,X,X,X,X,X,O,X,X
IJLTOSZ,O,X,X,X,X,X,X,O,X,X
IJLTOZS,O,X,X,X,X,X,X,O,X,X
IJLSTZO,O,X,X,O,X,X,X,O,X,X
IJLSTOZ,O,X,X,O,X,X,X,O,X,X
IJLSZTO,O,X,X,O,O,X,X,O,X,X
IJLSZOT,O,X,X,O,O,X,X,O,X,X
IJLSOTZ,O,X,X,X,X,O,X,O,X,X
IJLSOZT,O,X,X,X,X,O,X,O,X,X
IJLZTSO,O,X,X,X,O,X,X,O,X,X
IJLZTOS,O,X,X,O,X,X,X,O,X,X
IJLZSTO,O,X,X,O,O,X,X,O,X,X
IJLZSOT,O,X,X,O,O,O,X,O,X,X
IJLZOTS,O,X,X,O,X,X,X,O,X,X
IJLZOST,O,X,X,O,O,X,X,O,X,X
IJLOTSZ,O,X,X,X,X,X,X,O,X,X
IJLOTZS,O,X,X,X,X,X,X,O,X,X
IJLOSTZ,O,X,X,X,X,X,X,O,X,X
IJLOSZT,O,X,X,X,X,X,X,O,X,X
IJLOZTS,O,X,X,X,X,X,X,O,X,X
IJLOZST,O,X,X,X,X,X,X,O,X,X
IJSTLZO,O,X,X,O,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X,X
IJSTZLO,O,X,X,O,O,O,X,X,X,X
IJSTZOL,O,X,X,O,O,O,X,X,O,X
IJSTOLZ,O,X,X,X,X,O,X,X,X,X
IJSTOZL,O,X,X,O,X,X,X,X,O,X
IJSLTZO,O,X,X,O,X,X,X,O,X,X
IJSLTOZ,O,X,X,O,X,X,X,O,X,X
IJSLZTO,O,X,X,O,O,X,X,O,X,X
IJSLZOT,O,X,X,O,O,X,X,O,X,X
IJSLOTZ,O,X,X,X,X,O,X,O,X,X
IJSLOZT,O,X,X,X,X,O,X,O,X,X
IJSZTLO,O,X,X,O,O,X,X,X,X,X
IJSZTOL,O,X,X,O,O,O,X,X,O,X
IJSZLTO,O,X,X,O,O,X,X,X,X,X
IJSZLOT,O,X,X,O,O,O,X,X,X,X
IJSZOTL,O,X,X,O,O,O,X,X,X,X
IJSZOLT,O,X,X,O,O,O,X,X,X,X
IJSOTLZ,O,X,X,X,X,O,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,O,X,O,X,X
IJSOLZT,O,X,X,X,X,O,X,O,X,X
IJSOZTL,O,X,X,X,O,X,X,X,X,X
IJSOZLT,O,X,X,X,O,O,X,X,X,X
IJZTLSO,O,X,X,X,O,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,X,X
IJZTSLO,O,X,X,X,O,X,X,X,X,X
IJZTSOL,O,X,X,X,O,O,X,X,X,X
IJZTOLS,O,X,X,O,X,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X
IJZLTSO,O,X,X,X,O,X,X,O,X,X
IJZLTOS,O,X,X,O,X,X,X,O,X,X
IJZLSTO,O,X,X,O,O,X,X,O,X,X
IJZLSOT,O,X,X,O,O,O,X,O,X,X
IJZLOTS,O,X,X,O,X,X,X,O,X,X
IJZLOST,O,X,X,O,O,X,X,O,X,X
IJZSTLO,O,X,X,O,O,X,X,X,X,X
IJZSTOL,O,X,X,O,O,O,X,X,X,X
IJZSLTO,O,X,X,O,O,X,X,X,X,X
IJZSLOT,O,X,X,O,O,O,X,X,X,X
IJZSOTL,O,X,X,O,O,O,X,X,X,X
IJZSOLT,O,X,X,O,O,O,X,X,X,X
IJZOTLS,X,X,X,O,X,X,X,X,X,X
IJZOTSL,X,X,X,O,X,X,X,X,X,X
IJZOLTS,X,X,X,O,X,X,X,O,X,X
IJZOLST,X,X,X,O,O,X,X,O,X,X
IJZOSTL,X,X,X,O,O,O,X,X,X,X
IJZOSLT,X,X,X,O,O,O,X,X,X,X
IJOTLSZ,O,X,X,X,X,X,X,O,X,X
IJOTLZS,O,X,X,X,X,X,X,O,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X
IJOTZLS,O,X,X,X,X,X,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,X,X,O,X,X
IJOLTZS,O,X,X,X,X,X,X,O,X,X
IJOLSTZ,O,X,X,X,X,X,X,O,X,X
IJOLSZT,O,X,X,X,X,X,X,O,X,X
IJOLZTS,O,X,X,X,X,X,X,O,X,X
IJOLZST,O,X,X,X,X,X,X,O,X,X
IJOSTLZ,O,X,X,X,X,O,X,X,X,X
IJOSTZL,O,X,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,O,X,O,X,X
IJOSLZT,O,X,X,X,X,O,X,O,X,X
IJOSZTL,O,X,X,X,O,X,X,X,X,X
IJOSZLT,O,X,X,X,O,O,X,X,X,X
IJOZTLS,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,X,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,O,X,X
IJOZLST,X,X,X,X,O,X,X,O,X,X
IJOZSTL,X,X,X,X,O,O,X,X,X,X
IJOZSLT,X,X,X,X,O,O,X,X,X,X
ISTLJZO,O,O,O,O,X,X,O,X,X,X
ISTLJOZ,O,O,O,O,X,X,O,X,X,X
ISTLZJO,O,O,O,O,X,O,O,X,X,X
ISTLZOJ,O,O,O,O,X,O,O,X,X,X
ISTLOJZ,O,O,O,O,X,X,O,X,X,X
ISTLOZJ,X,O,O,O,X,X,O,X,X,X
ISTJLZO,O,X,O,O,X,X,O,X,X,X
ISTJLOZ,O,X,O,O,X,X,O,X,X,X
ISTJZLO,O,X,O,O,O,O,O,X,X,X
ISTJZOL,O,X,O,O,O,O,O,X,O,X
ISTJOLZ,O,X,X,X,X,O,O,X,X,X
ISTJOZL,O,X,O,O,X,X,O,X,O,X
ISTZLJO,O,O,O,O,X,O,O,X,X,X
ISTZLOJ,O,O,O,O,O,O,O,X,X,X
ISTZJLO,O,O,O,O,X,O,O,X,X,X
ISTZJOL,O,O,O,O,X,O,O,X,O,X
ISTZOLJ,O,O,O,O,O,O,O,X,O,X
ISTZOJL,O,O,O,O,X,O,O,X,O,X
ISTOLJZ,O,O,O,O,X,X,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,X,X,X,X
ISTOJLZ,O,X,X,X,X,O,X,X,X,X
ISTOJZL,O,O,O,O,X,X,X,X,O,X
ISTOZLJ,O,O,O,O,X,O,X,X,O,X
ISTOZJL,O,O,O,O,X,O,X,X,O,X
ISLTJZO,O,O,O,O,X,X,O,O,X,X
ISLTJOZ,O,O,O,O,X,X,O,O,X,X
ISLTZJO,O,O,O,O,X,O,O,O,X,X
ISLTZOJ,O,O,O,O,X,O,O,O,X,X
ISLTOJZ,O,O,O,O,X,X,O,O,X,X
ISLTOZJ,X,O,O,O,X,X,O,O,X,X
ISLJTZO,O,O,X,O,X,X,O,O,X,X
ISLJTOZ,O,O,X,O,X,X,O,O,X,X
ISLJZTO,O,O,O,O,O,X,X,O,X,X
ISLJZOT,O,O,O,O,O,X,X,O,X,X
ISLJOTZ,O,O,X,X,X,O,X,O,X,X
ISLJOZT,O,O,O,X,X,O,X,O,X,X
ISLZTJO,O,O,O,O,X,X,O,O,X,X
ISLZTOJ,O,O,O,O,O,X,O,O,X,X
ISLZJTO,O,O,O,O,X,X,X,O,X,X
ISLZJOT,O,O,O,O,O,O,X,O,X,X
ISLZOTJ,O,O,O,O,O,X,X,O,X,X
ISLZOJT,O,O,O,O,O,O,X,O,X,X
ISLOTJZ,X,O,O,X,X,X,O,O,X,X
ISLOTZJ,X,O,O,X,X,X,O,O,X,X
ISLOJTZ,O,O,X,X,X,O,X,O,X,X
ISLOJZT,O,O,O,X,X,O,X,O,X,X
ISLOZTJ,X,O,O,X,X,X,X,O,X,X
ISLOZJT,X,O,O,X,X,X,X,O,X,X
ISJTLZO,O,X,X,O,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,X,O,O,O,X,X,X,X
ISJTZOL,O,X,X,O,O,O,X,X,O,X
ISJTOLZ,O,X,X,X,X,O,X,X,X,X
ISJTOZL,O,X,X,O,X,X,X,X,O,X
ISJLTZO,O,X,X,O,X,X,X,O,X,X
ISJLTOZ,O,X,X,O,X,X,X,O,X,X
ISJLZTO,O,X,X,O,O,X,X,O,X,X
ISJLZOT,O,X,X,O,O,X,X,O,X,X
ISJLOTZ,O,X,X,X,X,O,X,O,X,X
ISJLOZT,O,X,X,X,X,O,X,O,X,X
ISJZTLO,O,X,X,O,O,X,X,X,X,X
ISJZTOL,O,X,X,O,O,O,X,X,O,X
ISJZLTO,O,X,X,O,O,X,X,X,X,X
ISJZLOT,O,X,X,O,O,O,X,X,X,X
ISJZOTL,O,X,X,O,O,O,X,X,X,X
ISJZOLT,O,X,X,O,O,O,X,X,X,X
ISJOTLZ,O,X,X,X,X,O,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,O,X,O,X,X
ISJOLZT,O,X,X,X,X,O,X,O,X,X
ISJOZTL,O,X,X,X,O,X,X,X,X,X
ISJOZLT,O,X,X,X,O,O,X,X,X,X
ISZTLJO,X,O,O,O,X,O,O,X,X,X
ISZTLOJ,X,O,O,O,O,O,O,X,X,X
ISZTJLO,X,O,O,O,X,O,O,X,X,X
ISZTJOL,X,O,O,O,X,O,O,X,O,X
ISZTOLJ,X,O,O,O,O,O,O,X,O,X
ISZTOJL,X,O,O,O,X,O,O,X,O,X
ISZLTJO,X,O,O,O,X,X,X,X,X,X
ISZLTOJ,X,O,O,O,O,X,X,X,X,X
ISZLJTO,X,O,O,O,O,X,X,X,X,X
ISZLJOT,X,O,O,O,O,O,X,X,X,X
ISZLOTJ,X,O,O,O,O,X,X,X,X,X
ISZLOJT,X,O,O,O,O,O,X,X,X,X
ISZJTLO,X,X,O,O,O,X,X,X,X,X
ISZJTOL,X,X,O,O,O,O,X,X,O,X
ISZJLTO,X,O,O,O,O,X,X,X,X,X
ISZJLOT,X,O,O,O,O,O,X,X,X,X
ISZJOTL,X,O,O,O,O,O,X,X,X,X
ISZJOLT,X,O,O,O,O,O,X,X,X,X
ISZOTLJ,X,X,O,O,O,O,O,X,X,X
ISZOTJL,X,O,O,O,X,O,O,X,X,X
ISZOLTJ,X,O,O,O,O,X,X,X,X,X
ISZOLJT,X,O,O,O,O,O,X,X,X,X
ISZOJTL,X,O,O,O,O,O,X,X,X,X
ISZOJLT,X,O,O,O,O,O,X,X,X,X
ISOTLJZ,O,O,O,X,X,X,X,X,X,X
ISOTLZJ,X,O,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,O,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,O,X,X,X,X
ISOTZJL,O,O,O,X,X,O,X,X,X,X
ISOLTJZ,X,O,O,X,X,X,X,O,X,X
ISOLTZJ,X,O,O,X,X,X,X,O,X,X
ISOLJTZ,O,O,X,X,X,O,X,O,X,X
ISOLJZT,O,O,O,X,X,O,X,O,X,X
ISOLZTJ,X,O,O,X,X,X,X,O,X,X
ISOLZJT,X,O,O,X,X,X,X,O,X,X
ISOJTLZ,O,X,X,X,X,O,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,O,X,O,X,X
ISOJLZT,O,X,X,X,X,O,X,O,X,X
ISOJZTL,O,O,X,X,O,X,X,X,X,X
ISOJZLT,O,O,X,X,O,O,X,X,X,X
ISOZTLJ,X,O,O,X,O,O,X,X,X,X
ISOZTJL,X,O,O,X,X,O,X,X,X,X
ISOZLTJ,X,O,O,X,O,X,X,X,X,X
ISOZLJT,X,O,O,X,O,O,X,X,X,X
ISOZJTL,X,O,O,X,O,O,X,X,X,X
ISOZJLT,X,O,O,X,O,O,X,X,X,X
IZTLJSO,X,X,X,X,X,O,O,X,X,X
IZTLJOS,X,X,X,O,X,X,O,X,X,O
IZTLSJO,X,X,X,X,X,O,X,X,X,X
IZTLSOJ,X,X,X,X,O,O,X,X,X,O
IZTLOJS,X,X,X,O,X,X,O,X,X,O
IZTLOSJ,X,X,X,X,X,X,X,X,X,O
IZTJLSO,X,X,X,X,X,O,O,X,X,X
IZTJLOS,X,X,X,X,X,X,O,X,X,O
IZTJSLO,X,X,X,X,X,O,O,X,X,X
IZTJSOL,X,X,X,X,X,O,O,X,X,X
IZTJOLS,X,X,X,O,X,X,O,X,X,O
IZTJOSL,X,X,X,O,X,O,O,X,X,X
IZTSLJO,X,X,X,X,X,O,O,X,X,X
IZTSLOJ,X,X,X,X,O,O,O,X,X,O
IZTSJLO,X,X,X,X,X,O,O,X,X,X
IZTSJOL,X,X,X,X,X,O,O,X,X,X
IZTSOLJ,X,X,X,X,O,O,O,X,X,O
IZTSOJL,X,X,X,X,X,O,O,X,X,X
IZTOLJS,X,X,X,O,X,X,O,X,X,O
IZTOLSJ,X,X,X,X,X,X,X,X,X,O
IZTOJLS,X,X,X,O,X,X,O,X,X,O
IZTOJSL,X,X,X,O,X,O,O,X,X,X
IZTOSLJ,X,X,X,X,X,O,O,X,X,O
IZTOSJL,X,X,X,X,X,O,O,X,X,X
IZLTJSO,X,X,X,X,X,X,X,O,X,X
IZLTJOS,X,X,X,O,X,X,X,O,X,X
IZLTSJO,X,X,X,X,X,X,X,O,X,X
IZLTSOJ,X,X,X,X,O,X,X,O,X,X
IZLTOJS,X,X,X,O,X,X,X,O,X,X
IZLTOSJ,X,X,X,X,X,X,X,O,X,X
IZLJTSO,X,X,X,X,O,X,X,O,X,X
IZLJTOS,X,X,X,O,X,X,X,O,X,X
IZLJSTO,X,X,X,O,O,X,X,O,X,X
IZLJSOT,X,X,X,O,O,O,X,O,X,X
IZLJOTS,X,X,X,O,X,X,X,O,X,X
IZLJOST,X,X,X,O,O,X,X,O,X,X
IZLSTJO,X,X,X,O,X,X,X,O,X,X
IZLSTOJ,X,X,X,O,O,X,X,O,X,X
IZLSJTO,X,X,X,O,O,X,X,O,X,X
IZLSJOT,X,X,X,O,O,O,X,O,X,X
IZLSOTJ,X,X,X,O,O,X,X,O,X,X
IZLSOJT,X,X,X,O,O,O,X,O,X,X
IZLOTJS,X,X,X,O,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,X,X,X,O,X,X
IZLOJTS,X,X,X,O,X,X,X,O,X,X
IZLOJST,X,X,X,O,X,X,X,O,X,X
IZLOSTJ,X,X,X,O,O,X,X,O,X,X
IZLOSJT,X,X,X,O,O,X,X,O,X,X
IZJTLSO,X,X,X,X,O,X,X,X,X,X
IZJTLOS,X,X,X,X,X,X,X,X,X,X
IZJTSLO,X,X,X,X,O,X,X,X,X,X
IZJTSOL,X,X,X,X,O,O,X,X,X,X
IZJTOLS,X,X,X,O,X,X,X,X,X,X
IZJTOSL,X,X,X,O,X,X,X,X,X,X
IZJLTSO,X,X,X,X,O,X,X,O,X,X
IZJLTOS,X,X,X,O,X,X,X,O,X,X
IZJLSTO,X,X,X,O,O,X,X,O,X,X
IZJLSOT,X,X,X,O,O,O,X,O,X,X
IZJLOTS,X,X,X,O,X,X,X,O,X,X
IZJLOST,X,X,X,O,O,X,X,O,X,X
IZJSTLO,X,X,X,O,O,X,X,X,X,X
IZJSTOL,X,X,X,O,O,O,X,X,X,X
IZJSLTO,X,X,X,O,O,X,X,X,X,X
IZJSLOT,X,X,X,O,O,O,X,X,X,X
IZJSOTL,X,X,X,O,O,O,X,X,X,X
IZJSOLT,X,X,X,O,O,O,X,X,X,X
IZJOTLS,X,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,X,O,X,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,X,O,X,X
IZJOLST,X,X,X,O,O,X,X,O,X,X
IZJOSTL,X,X,X,O,O,O,X,X,X,X
IZJOSLT,X,X,X,O,O,O,X,X,X,X
IZSTLJO,X,X,X,O,X,O,O,X,X,X
IZSTLOJ,X,X,X,O,O,O,O,X,X,X
IZSTJLO,X,X,X,O,X,O,O,X,X,X
IZSTJOL,X,X,X,O,X,O,O,X,X,X
IZSTOLJ,X,X,X,O,O,O,O,X,X,X
IZSTOJL,X,X,X,O,X,O,O,X,X,X
IZSLTJO,X,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,X,X,O,O,X,X,X,X,X
IZSLJTO,X,X,X,O,O,X,X,X,X,X
IZSLJOT,X,X,X,O,O,O,X,X,X,X
IZSLOTJ,X,X,X,O,O,X,X,X,X,X
IZSLOJT,X,X,X,O,O,O,X,X,X,X
IZSJTLO,X,X,X,O,O,X,X,X,X,X
IZSJTOL,X,X,X,O,O,O,X,X,X,X
IZSJLTO,X,X,X,O,O,X,X,X,X,X
IZSJLOT,X,X,X,O,O,O,X,X,X,X
IZSJOTL,X,X,X,O,O,O,X,X,X,X
IZSJOLT,X,X,X,O,O,O,X,X,X,X
IZSOTLJ,X,X,X,O,O,O,O,X,X,X
IZSOTJL,X,X,X,O,X,O,O,X,X,X
IZSOLTJ,X,X,X,O,O,X,X,X,X,X
IZSOLJT,X,X,X,O,O,O,X,X,X,X
IZSOJTL,X,X,X,O,O,O,X,X,X,X
IZSOJLT,X,X,X,O,O,O,X,X,X,X
IZOTLJS,X,X,X,O,X,X,O,X,X,O
IZOTLSJ,X,X,X,X,X,X,X,X,X,O
IZOTJLS,X,X,X,O,X,X,O,X,X,O
IZOTJSL,X,X,X,O,X,X,O,X,X,X
IZOTSLJ,X,X,X,X,X,X,O,X,X,O
IZOTSJL,X,X,X,X,X,X,O,X,X,X
IZOLTJS,X,X,X,O,X,X,X,O,X,X
IZOLTSJ,X,X,X,X,X,X,X,O,X,X
IZOLJTS,X,X,X,O,X,X,X,O,X,X
IZOLJST,X,X,X,O,X,X,X,O,X,X
IZOLSTJ,X,X,X,O,O,X,X,O,X,X
IZOLSJT,X,X,X,O,O,X,X,O,X,X
IZOJTLS,X,X,X,O,X,X,X,X,X,X
IZOJTSL,X,X,X,O,X,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,X,O,X,X
IZOJLST,X,X,X,O,X,X,X,O,X,X
IZOJSTL,X,X,X,O,X,O,X,X,X,X
IZOJSLT,X,X,X,O,X,O,X,X,X,X
IZOSTLJ,X,X,X,O,O,X,O,X,X,X
IZOSTJL,X,X,X,O,X,O,O,X,X,X
IZOSLTJ,X,X,X,O,O,X,X,X,X,X
IZOSLJT,X,X,X,O,O,O,X,X,X,X
IZOSJTL,X,X,X,O,X,O,X,X,X,X
IZOSJLT,X,X,X,O,O,O,X,X,X,X
IOTLJSZ,X,O,O,X,X,X,X,O,X,X
IOTLJZS,X,O,O,X,X,X,X,O,X,X
IOTLSJZ,X,O,O,X,X,X,X,O,X,X
IOTLSZJ,X,O,O,X,X,X,X,O,X,X
IOTLZJS,X,O,O,X,X,X,X,O,X,X
IOTLZSJ,X,O,O,X,X,X,X,O,X,X
IOTJLSZ,X,X,X,X,X,X,X,O,X,X
IOTJLZS,X,X,X,X,X,X,X,O,X,X
IOTJSLZ,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,O,X,X,X,X,X,X,X
IOTJZLS,X,O,O,X,X,X,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X,X,X,X
IOTSLJZ,X,O,O,X,X,X,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,X,O,X,X,X,X
IOTSZJL,X,O,O,X,X,O,X,X,X,X
IOTZLJS,X,O,O,X,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,X,O,X,X,X,X
IOTZSLJ,X,O,O,X,X,O,X,X,X,X
IOTZSJL,X,O,O,X,X,O,X,X,X,X
IOLTJSZ,X,O,O,X,X,X,X,O,X,X
IOLTJZS,X,O,O,X,X,X,X,O,X,X
IOLTSJZ,X,O,O,X,X,X,X,O,X,X
IOLTSZJ,X,O,O,X,X,X,X,O,X,X
IOLTZJS,X,O,O,X,X,X,X,O,X,X
IOLTZSJ,X,O,O,X,X,X,X,O,X,X
IOLJTSZ,X,O,X,X,X,X,X,O,X,X
IOLJTZS,X,O,X,X,X,X,X,O,X,X
IOLJSTZ,X,O,X,X,X,X,X,O,X,X
IOLJSZT,X,O,O,X,X,X,X,O,X,X
IOLJZTS,X,X,X,X,X,X,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,O,X,X
IOLSTJZ,X,O,O,X,X,X,X,O,X,X
IOLSTZJ,X,O,O,X,X,X,X,O,X,X
IOLSJTZ,X,O,X,X,X,X,X,O,X,X
IOLSJZT,X,O,O,X,X,X,X,O,X,X
IOLSZTJ,X,O,O,X,X,X,X,O,X,X
IOLSZJT,X,O,O,X,X,X,X,O,X,X
IOLZTJS,X,O,X,X,X,X,X,O,X,X
IOLZTSJ,X,O,X,X,X,X,X,O,X,X
IOLZJTS,X,X,X,X,X,X,X,O,X,X
IOLZJST,X,X,X,X,X,X,X,O,X,X
IOLZSTJ,X,O,X,X,X,X,X,O,X,X
IOLZSJT,X,O,X,X,X,X,X,O,X,X
IOJTLSZ,X,X,X,X,X,X,X,O,X,X
IOJTLZS,X,X,X,X,X,X,X,O,X,X
IOJTSLZ,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,X,X,X
IOJTZLS,X,O,X,X,X,X,X,X,X,X
IOJTZSL,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X
IOJLSTZ,X,X,X,X,X,X,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,O,X,X
IOJLZTS,X,X,X,X,X,X,X,O,X,X
IOJLZST,X,X,X,X,X,X,X,O,X,X
IOJSTLZ,X,X,X,X,X,O,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,X,O,X,O,X,X
IOJSLZT,X,X,X,X,X,O,X,O,X,X
IOJSZTL,X,O,X,X,O,X,X,X,X,X
IOJSZLT,X,O,X,X,O,O,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,X,O,X,X
IOJZLST,X,X,X,X,O,X,X,O,X,X
IOJZSTL,X,X,X,X,O,O,X,X,X,X
IOJZSLT,X,X,X,X,O,O,X,X,X,X
IOSTLJZ,X,O,O,X,X,X,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,X,O,X,X,X,X
IOSTJZL,X,O,O,X,X,X,X,X,X,X
IOSTZLJ,X,O,O,X,X,O,X,X,X,X
IOSTZJL,X,O,O,X,X,O,X,X,X,X
IOSLTJZ,X,O,O,X,X,X,X,O,X,X
IOSLTZJ,X,O,O,X,X,X,X,O,X,X
IOSLJTZ,X,O,X,X,X,O,X,O,X,X
IOSLJZT,X,O,O,X,X,O,X,O,X,X
IOSLZTJ,X,O,O,X,X,X,X,O,X,X
IOSLZJT,X,O,O,X,X,X,X,O,X,X
IOSJTLZ,X,X,X,X,X,O,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,O,X,O,X,X
IOSJLZT,X,X,X,X,X,O,X,O,X,X
IOSJZTL,X,O,X,X,O,X,X,X,X,X
IOSJZLT,X,O,X,X,O,O,X,X,X,X
IOSZTLJ,X,O,O,X,O,X,X,X,X,X
