sequence,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFNgBGcB5jB8lBKp?BfqB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFdgBqgBTcB5jBcp?BXqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFugBchB5jB3fBNq?BTpB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jB2kBtlBip?B0pB,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFGcB5jB8lBikB3p?BNqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFcgBTcB5jB9kB3l?B2uB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFCcB5jBXhBUlBTp?BdqB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jBtlBmpBKp?B0pB,v115@5gC8GeC8FeD8EeE8DeG8Je//IvhFTcB5jB0gBKpBdq?BGqB
IJSLZOT,O,O,X,X,O,O,X,X,X
IJSLOTZ,X,X,X,X,X,O,X,X,X
IJSLOZT,O,O,X,X,O,O,X,X,X
IJSZTLO,X,O,X,X,O,O,X,X,X
IJSZTOL,X,O,X,X,X,O,X,X,X
IJSZLTO,O,O,X,X,O,O,X,X,X
IJSZLOT,O,O,X,X,O,O,X,X,X
IJSZOTL,X,O,X,X,X,O,X,X,X
IJSZOLT,X,O,X,X,O,O,X,X,X
IJSOTLZ,X,X,X,X,X,O,X,O,X
IJSOTZL,X,X,X,X,X,O,O,X,X
IJSOLTZ,X,X,X,X,X,O,X,X,X
IJSOLZT,X,O,X,X,X,O,O,X,X
IJSOZTL,X,X,X,X,X,O,O,X,X
IJSOZLT,X,O,X,X,O,O,O,X,X
IJZTLSO,O,O,O,X,X,X,X,O,X
IJZTLOS,X,O,O,X,X,X,X,O,X
IJZTSLO,X,O,O,X,O,O,X,X,X
IJZTSOL,X,X,O,X,X,O,X,X,X
IJZTOLS,X,O,O,X,X,X,X,O,X
IJZTOSL,X,X,O,X,X,O,X,X,X
IJZLTSO,O,O,O,X,X,X,X,X,X
IJZLTOS,X,O,O,X,X,X,X,X,X
IJZLSTO,O,X,X,X,O,X,X,X,X
IJZLSOT,O,X,X,X,O,X,X,X,X
IJZLOTS,X,O,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,X,X,X
IJZSTLO,X,O,O,X,O,O,X,X,X
IJZSTOL,X,X,O,X,X,O,X,X,X
IJZSLTO,O,X,X,X,O,O,X,X,X
IJZSLOT,O,X,X,X,O,O,X,X,X
IJZSOTL,X,X,X,X,X,O,X,X,X
IJZSOLT,X,X,X,X,O,O,X,X,X
IJZOTLS,X,O,O,X,X,X,X,O,X
IJZOTSL,X,X,O,X,X,O,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X
IJZOSTL,X,X,X,X,X,O,X,X,X
IJZOSLT,X,X,X,X,O,O,X,X,X
IJOTLSZ,X,X,X,O,X,O,X,O,X
IJOTLZS,X,X,X,O,X,X,X,O,X
IJOTSLZ,X,X,O,X,X,O,X,O,X
IJOTSZL,X,X,O,X,X,O,O,X,X
IJOTZLS,X,X,O,X,X,X,X,O,X
IJOTZSL,X,X,O,X,X,O,O,X,X
IJOLTSZ,X,X,X,O,X,O,X,O,X
IJOLTZS,X,X,X,O,X,X,X,O,X
IJOLSTZ,X,X,X,X,X,O,X,X,X
IJOLSZT,O,O,X,X,X,O,O,X,X
IJOLZTS,X,O,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,O,X,X
IJOSTLZ,X,X,X,X,X,O,X,O,X
IJOSTZL,X,X,X,X,X,O,O,X,X
IJOSLTZ,X,X,X,X,X,O,X,X,X
IJOSLZT,X,O,X,X,X,O,O,X,X
IJOSZTL,X,X,X,X,X,O,O,X,X
IJOSZLT,X,O,X,X,O,O,O,X,X
IJOZTLS,X,X,O,X,X,X,X,O,X
IJOZTSL,X,X,O,X,X,O,O,X,X
IJOZLTS,X,O,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,O,X,X
IJOZSTL,X,X,X,X,X,O,O,X,X
IJOZSLT,X,X,X,X,O,O,O,X,X
ISTLJZO,X,X,O,O,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X,X
ISTLZJO,X,O,O,O,O,X,X,X,X
ISTLZOJ,X,O,O,O,O,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X,X
ISTLOZJ,X,O,O,O,O,X,X,X,X
ISTJLZO,X,X,O,X,X,O,X,O,X
ISTJLOZ,X,X,X,X,X,O,X,O,X
ISTJZLO,X,X,O,X,O,O,X,X,X
ISTJZOL,X,X,O,X,X,O,X,X,X
ISTJOLZ,X,X,X,X,X,O,X,O,X
ISTJOZL,X,X,X,X,X,O,X,X,X
ISTZLJO,X,O,O,X,O,X,X,X,X
ISTZLOJ,X,O,O,X,O,X,X,X,X
ISTZJLO,X,O,O,X,O,O,X,X,X
ISTZJOL,X,O,O,X,X,O,X,X,X
ISTZOLJ,X,O,O,X,X,X,X,X,X
ISTZOJL,X,O,O,X,X,O,X,X,X
ISTOLJZ,X,X,O,O,X,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,X,X,X
ISTOJLZ,X,X,O,X,X,O,X,O,X
ISTOJZL,X,X,O,X,X,O,O,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X
ISTOZJL,X,X,O,X,X,O,O,X,X
ISLTJZO,O,X,X,O,X,X,X,X,O
ISLTJOZ,O,X,X,O,X,X,X,X,X
ISLTZJO,O,O,X,O,O,X,X,X,O
ISLTZOJ,O,O,X,O,O,X,X,X,O
ISLTOJZ,O,X,X,O,X,X,X,X,X
ISLTOZJ,O,O,X,O,O,X,X,X,O
ISLJTZO,O,X,X,O,X,O,X,X,O
ISLJTOZ,O,X,X,O,X,O,X,X,X
ISLJZTO,O,O,X,X,O,O,X,X,X
ISLJZOT,O,O,X,X,O,O,X,X,X
ISLJOTZ,O,X,X,X,X,O,X,X,X
ISLJOZT,O,O,X,X,O,O,X,X,X
ISLZTJO,O,O,X,X,O,X,X,X,O
ISLZTOJ,O,O,X,X,O,X,X,X,O
ISLZJTO,O,O,X,X,O,O,X,X,X
ISLZJOT,O,O,X,X,O,O,X,X,X
ISLZOTJ,O,O,X,X,O,X,X,X,X
ISLZOJT,O,O,X,X,O,O,X,X,X
ISLOTJZ,O,X,X,O,X,X,X,X,X
ISLOTZJ,O,O,X,O,O,X,X,X,O
ISLOJTZ,O,X,X,X,X,O,X,X,X
ISLOJZT,O,O,X,X,O,O,O,X,X
ISLOZTJ,O,O,X,X,O,X,X,X,X
ISLOZJT,O,O,X,X,O,O,O,X,X
ISJTLZO,X,X,X,X,X,O,X,O,X
ISJTLOZ,X,X,X,X,X,O,X,O,X
ISJTZLO,X,X,X,X,O,O,X,X,X
ISJTZOL,X,X,X,X,X,O,X,X,X
ISJTOLZ,X,X,X,X,X,O,X,O,X
ISJTOZL,X,X,X,X,X,O,X,X,X
ISJLTZO,O,X,X,X,X,O,X,X,X
ISJLTOZ,X,X,X,X,X,O,X,X,X
ISJLZTO,O,O,X,X,O,O,X,X,X
ISJLZOT,O,O,X,X,O,O,X,X,X
ISJLOTZ,X,X,X,X,X,O,X,X,X
ISJLOZT,O,O,X,X,O,O,X,X,X
ISJZTLO,X,O,X,X,O,O,X,X,X
ISJZTOL,X,O,X,X,X,O,X,X,X
ISJZLTO,O,O,X,X,O,O,X,X,X
ISJZLOT,O,O,X,X,O,O,X,X,X
ISJZOTL,X,O,X,X,X,O,X,X,X
ISJZOLT,X,O,X,X,O,O,X,X,X
ISJOTLZ,X,X,X,X,X,O,X,O,X
ISJOTZL,X,X,X,X,X,O,O,X,X
ISJOLTZ,X,X,X,X,X,O,X,X,X
ISJOLZT,X,O,X,X,X,O,O,X,X
ISJOZTL,X,X,X,X,X,O,O,X,X
ISJOZLT,X,O,X,X,O,O,O,X,X
ISZTLJO,X,O,O,X,O,X,X,X,X
ISZTLOJ,X,O,O,X,O,X,X,X,X
ISZTJLO,X,O,O,X,O,O,X,X,X
ISZTJOL,X,O,O,X,X,O,X,X,X
ISZTOLJ,X,O,O,X,X,X,X,X,X
ISZTOJL,X,O,O,X,X,O,X,X,X
ISZLTJO,O,O,X,X,O,X,X,X,X
ISZLTOJ,O,O,X,X,O,X,X,X,X
ISZLJTO,O,O,X,X,O,O,X,X,X
ISZLJOT,O,O,X,X,O,O,X,X,X
ISZLOTJ,O,O,X,X,O,X,X,X,X
ISZLOJT,O,O,X,X,O,O,X,X,X
ISZJTLO,X,O,O,X,O,O,X,X,X
ISZJTOL,X,O,O,X,X,O,X,X,X
ISZJLTO,O,O,X,X,O,O,X,X,X
ISZJLOT,O,O,X,X,O,O,X,X,X
ISZJOTL,X,O,X,X,X,O,X,X,X
ISZJOLT,X,O,X,X,O,O,X,X,X
ISZOTLJ,X,O,O,X,X,X,X,X,X
ISZOTJL,X,O,O,X,X,O,O,X,X
ISZOLTJ,X,O,X,X,O,X,X,X,X
ISZOLJT,X,O,X,X,O,O,O,X,X
ISZOJTL,X,O,X,X,X,O,O,X,X
ISZOJLT,X,O,X,X,O,O,O,X,X
ISOTLJZ,X,X,O,O,X,X,X,X,X
ISOTLZJ,X,O,O,O,X,X,X,X,X
ISOTJLZ,X,X,O,X,X,O,X,O,X
ISOTJZL,X,X,O,X,X,O,O,X,X
ISOTZLJ,X,O,O,X,X,X,X,X,X
ISOTZJL,X,X,O,X,X,O,O,X,X
ISOLTJZ,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,O,X,O,O,X,X,X,X
ISOLJTZ,X,X,X,X,X,O,X,X,X
ISOLJZT,X,O,X,X,O,O,O,X,X
ISOLZTJ,X,O,X,X,O,X,X,X,X
ISOLZJT,X,O,X,X,O,O,O,X,X
ISOJTLZ,X,X,X,X,X,O,X,O,X
ISOJTZL,X,X,X,X,X,O,O,X,X
ISOJLTZ,X,X,X,X,X,O,X,X,X
ISOJLZT,X,O,X,X,X,O,O,X,X
ISOJZTL,X,X,X,X,X,O,O,X,X
ISOJZLT,X,O,X,X,O,O,O,X,X
ISOZTLJ,X,O,O,X,X,X,X,X,X
ISOZTJL,X,O,O,X,X,O,O,X,X
ISOZLTJ,X,O,X,X,O,X,X,X,X
ISOZLJT,X,O,X,X,O,O,O,X,X
ISOZJTL,X,O,X,X,X,O,O,X,X
ISOZJLT,X,O,X,X,O,O,O,X,X
IZTLJSO,O,O,O,O,X,X,X,X,X
IZTLJOS,X,O,O,O,X,X,X,X,X
IZTLSJO,O,O,O,O,X,X,X,X,X
IZTLSOJ,O,O,O,O,X,X,X,X,X
IZTLOJS,X,O,O,O,X,X,X,X,X
IZTLOSJ,X,O,O,O,X,X,X,X,X
IZTJLSO,O,O,O,X,X,X,X,O,X
IZTJLOS,X,O,O,X,X,X,X,O,X
IZTJSLO,X,O,O,X,O,X,X,X,X
IZTJSOL,X,X,O,X,X,X,X,X,X
IZTJOLS,X,O,O,X,X,X,X,O,X
IZTJOSL,X,X,O,X,X,X,X,X,X
IZTSLJO,X,O,O,X,O,X,X,X,X
IZTSLOJ,X,O,O,X,O,X,X,X,X
IZTSJLO,X,O,O,X,O,X,X,X,X
IZTSJOL,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,X,X,X,X
IZTSOJL,X,X,O,X,X,X,X,X,X
IZTOLJS,X,O,O,O,X,X,X,X,X
IZTOLSJ,X,O,O,O,X,X,X,X,X
IZTOJLS,X,O,O,X,X,X,X,O,X
IZTOJSL,X,X,O,X,X,X,X,X,X
IZTOSLJ,X,X,O,X,X,X,X,X,X
IZTOSJL,X,X,O,X,X,X,X,X,X
IZLTJSO,O,O,O,O,X,X,X,X,O
IZLTJOS,X,O,O,O,X,X,X,X,O
IZLTSJO,O,O,O,O,X,X,X,X,O
IZLTSOJ,O,O,O,O,X,X,X,X,O
IZLTOJS,X,O,O,O,X,X,X,X,O
IZLTOSJ,X,O,O,O,X,X,X,X,O
IZLJTSO,O,O,O,O,X,X,X,X,X
IZLJTOS,X,O,O,O,X,X,X,X,X
IZLJSTO,O,X,X,X,O,X,X,X,X
IZLJSOT,O,X,X,X,O,X,X,X,X
IZLJOTS,X,O,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,O,X,X,X,O
IZLSTOJ,O,O,X,X,O,X,X,X,O
IZLSJTO,O,O,X,X,O,X,X,X,X
IZLSJOT,O,O,X,X,O,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,X,X,X
IZLSOJT,O,O,X,X,O,X,X,X,X
IZLOTJS,X,O,O,O,X,X,X,X,X
IZLOTSJ,X,O,O,O,X,X,X,X,X
IZLOJTS,X,O,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,X,X,O,X
IZJTLOS,X,O,O,X,X,X,X,O,X
IZJTSLO,X,O,O,X,O,O,X,X,X
IZJTSOL,X,X,O,X,X,O,X,X,X
IZJTOLS,X,O,O,X,X,X,X,O,X
IZJTOSL,X,X,O,X,X,O,X,X,X
IZJLTSO,O,O,O,X,X,X,X,X,X
IZJLTOS,X,O,O,X,X,X,X,X,X
IZJLSTO,O,X,X,X,O,X,X,X,X
IZJLSOT,O,X,X,X,O,X,X,X,X
IZJLOTS,X,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,X,O,O,X,X,X
IZJSTOL,X,X,O,X,X,O,X,X,X
IZJSLTO,O,X,X,X,O,O,X,X,X
IZJSLOT,O,X,X,X,O,O,X,X,X
IZJSOTL,X,X,X,X,X,O,X,X,X
IZJSOLT,X,X,X,X,O,O,X,X,X
IZJOTLS,X,O,O,X,X,X,X,O,X
IZJOTSL,X,X,O,X,X,O,X,X,X
IZJOLTS,X,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,O,X,X,X
IZJOSLT,X,X,X,X,O,O,X,X,X
IZSTLJO,X,O,O,X,O,X,X,X,X
IZSTLOJ,X,O,O,X,O,X,X,X,X
IZSTJLO,X,O,O,X,O,O,X,X,X
IZSTJOL,X,O,O,X,X,O,X,X,X
IZSTOLJ,X,O,O,X,X,X,X,X,X
IZSTOJL,X,O,O,X,X,O,X,X,X
IZSLTJO,O,O,X,X,O,X,X,X,X
IZSLTOJ,O,O,X,X,O,X,X,X,X
IZSLJTO,O,O,X,X,O,O,X,X,X
IZSLJOT,O,O,X,X,O,O,X,X,X
IZSLOTJ,O,O,X,X,O,X,X,X,X
IZSLOJT,O,O,X,X,O,O,X,X,X
IZSJTLO,X,O,O,X,O,O,X,X,X
IZSJTOL,X,O,O,X,X,O,X,X,X
IZSJLTO,O,O,X,X,O,O,X,X,X
IZSJLOT,O,O,X,X,O,O,X,X,X
IZSJOTL,X,O,X,X,X,O,X,X,X
IZSJOLT,X,O,X,X,O,O,X,X,X
IZSOTLJ,X,O,O,X,X,X,X,X,X
IZSOTJL,X,O,O,X,X,O,O,X,X
IZSOLTJ,X,O,X,X,O,X,X,X,X
IZSOLJT,X,O,X,X,O,O,O,X,X
IZSOJTL,X,O,X,X,X,O,O,X,X
IZSOJLT,X,O,X,X,O,O,O,X,X
IZOTLJS,X,O,O,O,X,X,X,X,X
IZOTLSJ,X,O,O,O,X,X,X,X,X
IZOTJLS,X,O,O,X,X,X,X,O,X
IZOTJSL,X,X,O,X,X,X,O,X,X
IZOTSLJ,X,X,O,X,X,X,X,X,X
IZOTSJL,X,X,O,X,X,X,O,X,X
IZOLTJS,X,O,O,O,X,X,X,X,X
IZOLTSJ,X,O,O,O,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,O,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,O,X,X
IZOJTLS,X,O,O,X,X,X,X,O,X
IZOJTSL,X,X,O,X,X,O,O,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,O,X,X
IZOJSTL,X,X,X,X,X,O,O,X,X
IZOJSLT,X,X,X,X,O,O,O,X,X
IZOSTLJ,X,O,O,X,X,X,X,X,X
IZOSTJL,X,X,O,X,X,O,O,X,X
IZOSLTJ,X,O,X,X,O,X,X,X,X
IZOSLJT,X,O,X,X,O,O,O,X,X
IZOSJTL,X,X,X,X,X,O,O,X,X
IZOSJLT,X,O,X,X,O,O,O,X,X
IOTLJSZ,X,X,X,O,X,X,X,O,X
IOTLJZS,X,X,X,O,X,X,X,O,X
IOTLSJZ,X,X,O,O,X,X,X,X,X
IOTLSZJ,X,O,O,O,X,X,X,X,X
IOTLZJS,X,O,O,O,X,X,X,X,X
IOTLZSJ,X,O,O,O,X,X,X,X,X
IOTJLSZ,X,X,X,O,X,O,X,O,X
IOTJLZS,X,X,X,O,X,X,X,O,X
IOTJSLZ,X,X,O,X,X,O,X,O,X
IOTJSZL,X,X,O,X,X,O,O,X,X
IOTJZLS,X,X,O,X,X,X,X,O,X
IOTJZSL,X,X,O,X,X,O,O,X,X
IOTSLJZ,X,X,O,O,X,X,X,X,X
IOTSLZJ,X,O,O,O,X,X,X,X,X
IOTSJLZ,X,X,O,X,X,O,X,O,X
IOTSJZL,X,X,O,X,X,O,O,X,X
IOTSZLJ,X,O,O,X,X,X,X,X,X
IOTSZJL,X,X,O,X,X,O,O,X,X
IOTZLJS,X,O,O,O,X,X,X,X,X
IOTZLSJ,X,O,O,O,X,X,X,X,X
IOTZJLS,X,X,O,X,X,X,X,O,X
IOTZJSL,X,X,O,X,X,X,O,X,X
IOTZSLJ,X,X,O,X,X,X,X,X,X
IOTZSJL,X,X,O,X,X,X,O,X,X
IOLTJSZ,X,X,X,O,X,X,X,O,X
IOLTJZS,X,X,X,O,X,X,X,O,X
IOLTSJZ,O,X,O,O,X,X,X,X,X
IOLTSZJ,O,O,O,O,X,X,X,X,O
IOLTZJS,X,O,O,O,X,X,X,X,O
IOLTZSJ,X,O,O,O,X,X,X,X,O
IOLJTSZ,X,X,X,O,X,O,X,O,X
IOLJTZS,X,X,X,O,X,X,X,O,X
IOLJSTZ,O,X,X,X,X,O,X,X,X
IOLJSZT,O,O,X,X,X,O,O,X,X
IOLJZTS,X,O,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,O,X,X
IOLSTJZ,O,X,X,O,X,X,X,X,X
IOLSTZJ,O,O,X,O,X,X,X,X,O
IOLSJTZ,O,X,X,X,X,O,X,X,X
IOLSJZT,O,O,X,X,X,O,O,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,O,O,X,X
IOLZTJS,X,O,O,O,X,X,X,X,X
IOLZTSJ,X,O,O,O,X,X,X,X,X
IOLZJTS,X,O,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,O,X,X
IOLZSTJ,O,O,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,O,X,X
IOJTLSZ,X,X,X,O,X,O,X,O,X
IOJTLZS,X,X,X,O,X,X,X,O,X
IOJTSLZ,X,X,O,X,X,O,X,O,X
IOJTSZL,X,X,O,X,X,O,O,X,X
IOJTZLS,X,X,O,X,X,X,X,O,X
IOJTZSL,X,X,O,X,X,O,O,X,X
IOJLTSZ,X,X,X,O,X,O,X,O,X
IOJLTZS,X,X,X,O,X,X,X,O,X
IOJLSTZ,X,X,X,X,X,O,X,X,X
IOJLSZT,O,O,X,X,X,O,O,X,X
IOJLZTS,X,O,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,O,X,X
IOJSTLZ,X,X,X,X,X,O,X,O,X
IOJSTZL,X,X,X,X,X,O,O,X,X
IOJSLTZ,X,X,X,X,X,O,X,X,X
IOJSLZT,X,O,X,X,X,O,O,X,X
IOJSZTL,X,X,X,X,X,O,O,X,X
IOJSZLT,X,O,X,X,O,O,O,X,X
IOJZTLS,X,X,O,X,X,X,X,O,X
IOJZTSL,X,X,O,X,X,O,O,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,O,X,X
IOJZSTL,X,X,X,X,X,O,O,X,X
IOJZSLT,X,X,X,X,O,O,O,X,X
IOSTLJZ,X,X,O,O,X,X,X,X,X
IOSTLZJ,X,O,O,O,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,O,X,O,X
IOSTJZL,X,X,O,X,X,O,O,X,X
IOSTZLJ,X,O,O,X,X,X,X,X,X
IOSTZJL,X,X,O,X,X,O,O,X,X
IOSLTJZ,X,X,X,O,X,X,X,X,X
IOSLTZJ,X,O,X,O,O,X,X,X,X
IOSLJTZ,X,X,X,X,X,O,X,X,X
IOSLJZT,X,O,X,X,O,O,O,X,X
IOSLZTJ,X,O,X,X,O,X,X,X,X
IOSLZJT,X,O,X,X,O,O,O,X,X
IOSJTLZ,X,X,X,X,X,O,X,O,X
IOSJTZL,X,X,X,X,X,O,O,X,X
IOSJLTZ,X,X,X,X,X,O,X,X,X
IOSJLZT,X,O,X,X,X,O,O,X,X
IOSJZTL,X,X,X,X,X,O,O,X,X
IOSJZLT,X,O,X,X,O,O,O,X,X
IOSZTLJ,X,O,O,X,X,X,X,X,X
IOSZTJL,X,O,O,X,X,O,O,X,X
IOSZLTJ,X,O,X,X,O,X,X,X,X
IOSZLJT,X,O,X,X,O,O,O,X,X
IOSZJTL,X,O,X,X,X,O,O,X,X
IOSZJLT,X,O,X,X,O,O,O,X,X
IOZTLJS,X,O,O,O,X,X,X,X,X
IOZTLSJ,X,O,O,O,X,X,X,X,X
IOZTJLS,X,O,O,X,X,X,X,O,X
IOZTJSL,X,X,O,X,X,X,O,X,X
IOZTSLJ,X,X,O,X,X,X,X,X,X
IOZTSJL,X,X,O,X,X,X,O,X,X
IOZLTJS,X,O,O,O,X,X,X,X,X
IOZLTSJ,X,O,O,O,X,X,X,X,X
IOZLJTS,X,O,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,O,X,X
IOZLSTJ,O,O,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,O,X,X
IOZJTLS,X,O,O,X,X,X,X,O,X
IOZJTSL,X,X,O,X,X,O,O,X,X
IOZJLTS,X,O,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,O,X,X
IOZJSTL,X,X,X,X,X,O,O,X,X
IOZJSLT,X,X,X,X,O,O,O,X,X
IOZSTLJ,X,O,O,X,X,X,X,X,X
IOZSTJL,X,X,O,X,X,O,O,X,X
IOZSLTJ,X,O,X,X,O,X,X,X,X
IOZSLJT,X,O,X,X,O,O,O,X,X
IOZSJTL,X,X,X,X,X,O,O,X,X
IOZSJLT,X,O,X,X,O,O,O,X,X
LTIJSZO,O,X,X,O,X,X,X,O,O
LTIJSOZ,X,X,X,O,X,X,X,O,X
LTIJZSO,O,X,X,O,X,X,X,O,O
LTIJZOS,X,X,X,O,X,X,X,O,O
LTIJOSZ,X,X,X,O,X,X,X,O,X
LTIJOZS,X,X,X,O,X,X,X,O,X
LTISJZO,O,X,O,O,X,X,X,X,O
LTISJOZ,O,X,X,O,X,X,X,X,X
LTISZJO,O,O,O,O,X,X,X,X,O
LTISZOJ,O,O,O,O,X,X,X,X,O
LTISOJZ,O,X,X,O,X,X,X,X,X
LTISOZJ,O,O,O,O,X,X,X,X,O
LTIZJSO,O,O,O,O,X,X,X,X,O
LTIZJOS,X,O,O,O,X,X,X,X,O
LTIZSJO,O,O,O,O,X,X,X,X,O
LTIZSOJ,O,O,O,O,X,X,X,X,O
LTIZOJS,X,O,O,O,X,X,X,X,O
LTIZOSJ,X,O,O,O,X,X,X,X,O
LTIOJSZ,X,X,X,O,X,X,X,O,X
LTIOJZS,X,X,X,O,X,X,X,O,X
LTIOSJZ,O,X,O,O,X,X,X,X,X
LTIOSZJ,O,O,O,O,X,X,X,X,O
LTIOZJS,X,O,O,O,X,X,X,X,O
LTIOZSJ,X,O,O,O,X,X,X,X,O
LTJISZO,O,X,X,O,X,X,X,O,O
LTJISOZ,X,X,X,O,X,X,X,O,X
LTJIZSO,O,X,X,O,X,X,X,O,O
LTJIZOS,X,X,X,O,X,X,X,O,O
LTJIOSZ,X,X,X,O,X,X,X,O,X
LTJIOZS,X,X,X,O,X,X,X,O,X
LTJSIZO,O,X,X,O,X,X,X,X,O
LTJSIOZ,X,X,X,O,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X,O
LTJSZOI,O,X,X,O,X,X,X,X,O
LTJSOIZ,X,X,X,O,X,X,X,X,X
LTJSOZI,X,X,X,O,X,X,X,X,X
LTJZISO,O,X,X,O,X,X,X,X,O
LTJZIOS,X,X,X,O,X,X,X,X,O
LTJZSIO,O,X,X,O,X,X,X,X,O
LTJZSOI,O,X,X,O,X,X,X,X,O
LTJZOIS,X,X,X,O,X,X,X,X,O
LTJZOSI,X,X,X,O,X,X,X,X,O
LTJOISZ,X,X,X,O,X,X,X,O,X
LTJOIZS,X,X,X,O,X,X,X,O,X
LTJOSIZ,X,X,X,O,X,X,X,X,X
LTJOSZI,X,X,X,O,X,X,X,X,X
LTJOZIS,X,X,X,O,X,X,X,X,X
LTJOZSI,X,X,X,O,X,X,X,X,X
LTSIJZO,O,X,O,O,X,X,X,X,O
LTSIJOZ,O,X,X,O,X,X,X,X,X
LTSIZJO,O,O,O,O,X,X,X,X,O
LTSIZOJ,O,O,O,O,X,X,X,X,O
LTSIOJZ,O,X,X,O,X,X,X,X,X
LTSIOZJ,O,O,O,O,X,X,X,X,O
LTSJIZO,O,X,O,O,X,X,X,X,O
LTSJIOZ,O,X,X,O,X,X,X,X,X
LTSJZIO,O,X,O,O,X,X,X,X,O
LTSJZOI,O,X,O,O,X,X,X,X,O
LTSJOIZ,O,X,X,O,X,X,X,X,X
LTSJOZI,O,X,X,O,X,X,X,X,X
LTSZIJO,O,O,O,O,X,X,X,X,O
LTSZIOJ,O,O,O,O,X,X,X,X,O
LTSZJIO,O,O,O,O,X,X,X,X,O
LTSZJOI,O,O,O,O,X,X,X,X,O
LTSZOIJ,O,O,O,O,X,X,X,X,O
LTSZOJI,O,O,O,O,X,X,X,X,O
LTSOIJZ,O,X,X,O,X,X,X,X,X
LTSOIZJ,O,O,O,O,X,X,X,X,O
LTSOJIZ,O,X,X,O,X,X,X,X,X
LTSOJZI,O,X,X,O,X,X,X,X,X
LTSOZIJ,O,O,O,O,X,X,X,X,O
LTSOZJI,O,O,O,O,X,X,X,X,O
LTZIJSO,O,O,O,O,X,X,X,X,O
LTZIJOS,X,O,O,O,X,X,X,X,O
LTZISJO,O,O,O,O,X,X,X,X,O
LTZISOJ,O,O,O,O,X,X,X,X,O
LTZIOJS,X,O,O,O,X,X,X,X,O
LTZIOSJ,X,O,O,O,X,X,X,X,O
LTZJISO,O,O,O,O,X,X,X,X,O
LTZJIOS,X,O,O,O,X,X,X,X,O
LTZJSIO,O,O,O,O,X,X,X,X,O
LTZJSOI,O,O,O,O,X,X,X,X,O
LTZJOIS,X,O,O,O,X,X,X,X,O
LTZJOSI,X,O,O,O,X,X,X,X,O
LTZSIJO,O,O,O,O,X,X,X,X,O
LTZSIOJ,O,O,O,O,X,X,X,X,O
LTZSJIO,O,O,O,O,X,X,X,X,O
LTZSJOI,O,O,O,O,X,X,X,X,O
LTZSOIJ,O,O,O,O,X,X,X,X,O
LTZSOJI,O,O,O,O,X,X,X,X,O
LTZOIJS,X,O,O,O,X,X,X,X,O
LTZOISJ,X,O,O,O,X,X,X,X,O
