sequence,v115@zgC8GeB8HeB8HeF8AeI8Ne37IvhFzcBGeBylBUjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeaBJvhFUdBGeBTgBfnBVt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFehBzcBfjB6jBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeU8IvhFFdBXeBTgBSoBmm?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFUdBFeB2lBfnBSt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBCeBXhBTjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Ne/CJvhFajBTgB0hB2xB5o?BFrB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFyhBzdB+jBXhBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFxdB2lBUjBFnBfs?BSyB,v115@zgC8GeB8HeB8HeF8AeI8NeF8IvhFxdBTgBmmBftB6t?BUsB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBzdBXhBFnB5o?ByxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFxcB+jBXhBFnBKt?BTsB
ITZOSLJ,O,X,O,X,X,O,X,X,X,X,X,X
ITZOSJL,O,X,O,X,X,O,X,X,X,X,O,X
ITOLJSZ,O,O,X,X,X,X,X,O,X,X,X,X
ITOLJZS,O,O,X,X,X,O,X,O,X,X,O,X
ITOLSJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,O,X,X,X,X,O,X
ITOLZJS,O,O,X,X,X,O,X,O,X,X,O,X
ITOLZSJ,O,O,X,X,X,O,X,X,X,X,O,X
ITOJLSZ,O,O,X,X,X,X,X,O,X,X,X,X
ITOJLZS,O,O,X,X,X,O,X,O,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,O,X,X,X,X
ITOJZLS,O,O,X,X,X,O,X,O,X,X,O,X
ITOJZSL,O,O,X,X,X,O,X,O,X,X,O,X
ITOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,O,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,O,X,X,X,X,X,X
ITOSZJL,O,O,O,X,X,O,X,X,X,X,O,X
ITOZLJS,O,O,X,X,X,O,X,O,X,X,O,X
ITOZLSJ,O,O,X,X,X,O,X,X,X,X,O,X
ITOZJLS,O,O,O,X,X,O,X,O,X,X,O,X
ITOZJSL,O,O,O,X,X,O,X,O,X,X,O,X
ITOZSLJ,O,O,O,X,X,O,X,X,X,X,X,X
ITOZSJL,O,O,O,X,X,O,X,X,X,X,O,X
ILTJSZO,O,O,X,X,O,X,X,X,X,X,X,X
ILTJSOZ,O,O,X,X,O,X,X,X,X,X,X,X
ILTJZSO,O,O,X,X,O,X,X,X,X,X,X,X
ILTJZOS,O,X,X,X,O,X,X,X,X,X,X,X
ILTJOSZ,O,O,X,X,O,X,X,X,X,X,X,X
ILTJOZS,O,X,X,X,O,X,X,X,X,X,X,X
ILTSJZO,O,O,X,X,O,X,X,X,X,X,X,X
ILTSJOZ,O,O,X,X,O,X,X,X,X,X,X,X
ILTSZJO,O,O,X,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTZJSO,O,O,X,X,X,X,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,X,X,X,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILJTSZO,O,O,X,O,O,X,X,X,X,X,X,X
ILJTSOZ,O,O,X,X,O,X,O,X,X,X,X,X
ILJTZSO,O,O,X,O,O,X,X,X,X,X,X,X
ILJTZOS,O,X,X,X,O,X,X,X,X,X,X,X
ILJTOSZ,O,O,X,X,O,X,O,X,X,X,X,X
ILJTOZS,O,X,X,X,O,X,X,X,X,X,X,X
ILJSTZO,O,O,X,O,O,X,X,X,X,X,X,X
ILJSTOZ,O,O,X,X,O,X,O,X,X,X,X,X
ILJSZTO,O,O,X,O,O,X,X,X,X,X,X,X
ILJSZOT,O,X,X,X,O,X,O,X,X,X,X,X
ILJSOTZ,X,X,X,X,O,X,O,X,X,X,X,X
ILJSOZT,X,X,X,X,O,X,O,X,X,X,X,X
ILJZTSO,O,X,X,O,O,X,X,X,X,X,X,X
ILJZTOS,O,X,X,X,O,X,X,X,X,X,X,X
ILJZSTO,O,X,X,O,O,X,X,X,X,X,X,X
ILJZSOT,O,X,X,X,O,X,O,X,X,X,X,X
ILJZOTS,O,X,X,X,O,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,O,X,O,X,X,X,X,X
ILJOTSZ,X,X,X,X,O,X,O,X,X,X,X,X
ILJOTZS,X,X,X,X,O,X,X,X,X,X,X,X
ILJOSTZ,X,X,X,X,O,X,O,X,X,X,X,X
ILJOSZT,X,X,X,X,O,X,O,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X,X,X,X
ILJOZST,X,X,X,X,O,X,O,X,X,X,X,X
ILSTJZO,O,O,X,O,O,X,X,X,X,X,X,X
ILSTJOZ,O,O,X,X,O,X,X,X,X,X,X,X
ILSTZJO,O,O,O,X,O,X,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,X,X,X,X,X,X,X
ILSJTZO,O,O,X,O,O,X,X,X,X,X,X,X
ILSJTOZ,O,O,X,X,O,X,X,X,X,X,X,X
ILSJZTO,O,O,X,O,O,X,X,X,X,X,X,X
ILSJZOT,O,X,X,X,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,O,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,O,X,X,X,X,X,X,X
ILSZTJO,O,O,O,X,O,X,X,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSZJTO,O,O,O,X,O,X,X,X,X,X,X,X
ILSZJOT,O,X,O,X,O,X,X,X,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSZOJT,O,X,O,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,X,X,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X,X,X,X,X,X,X
ILSOJZT,X,X,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,O,O,X,O,X,X,X,X,X,X,X,X
ILSOZJT,O,X,X,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILZJTSO,O,X,O,X,X,X,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X,X,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X,X,X,X,X,X
ILZJSOT,O,X,O,X,X,X,X,X,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,X,O,X,X,X,X,X,X,X,X,X
ILZSTJO,O,O,O,X,X,X,X,X,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X,X,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X,X,X,X,X,X
ILZSJOT,O,X,O,X,X,X,X,X,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,X,X,X,X,X,X
ILZSOJT,O,X,O,X,X,X,X,X,X,X,X,X
ILZOTJS,O,X,X,X,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,O,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILZOSJT,O,X,O,X,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTJZS,O,X,X,O,X,X,X,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTZJS,O,X,X,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,X,O,X,X,X,X,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,O,X,X,X,X,X
ILOJTZS,X,X,X,O,X,X,X,X,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,O,X,X,X,X,X
ILOJSZT,X,X,X,O,X,X,O,X,X,X,X,X
ILOJZTS,X,X,X,O,X,X,X,X,X,X,X,X
ILOJZST,X,X,X,O,X,X,O,X,X,X,X,X
ILOSTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X,X,X,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,O,X,X,X,X,X,X,X,X
ILOZTJS,O,X,X,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,X,O,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,O,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,O,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,O,X,X,X,X,X,X,X,X
IJTLSZO,X,X,X,O,X,X,X,X,X,O,X,X
IJTLSOZ,X,X,X,O,X,X,O,X,X,O,X,X
IJTLZSO,X,X,X,O,X,X,X,X,X,O,X,X
IJTLZOS,X,X,X,O,X,X,X,O,X,O,X,X
IJTLOSZ,X,X,X,O,X,X,O,X,X,O,X,X
IJTLOZS,X,X,X,O,X,X,X,O,X,O,X,X
IJTSLZO,X,X,X,O,X,X,X,X,X,O,X,X
IJTSLOZ,X,X,X,O,X,X,O,X,X,O,X,X
IJTSZLO,X,X,X,O,X,X,X,X,X,O,X,X
IJTSZOL,X,X,X,X,X,X,X,X,X,O,X,X
IJTSOLZ,X,X,X,X,X,X,O,X,X,O,X,X
IJTSOZL,X,X,X,X,X,X,O,X,X,O,X,X
IJTZLSO,X,X,X,O,X,X,X,X,O,X,X,X
IJTZLOS,X,X,X,O,X,X,X,O,O,X,X,X
IJTZSLO,X,X,X,O,X,X,X,X,O,X,X,X
IJTZSOL,X,X,X,X,X,X,X,X,O,X,X,X
IJTZOLS,X,X,X,O,X,X,X,O,O,X,X,X
IJTZOSL,X,X,X,X,X,X,X,X,O,X,X,X
IJTOLSZ,X,X,X,O,X,X,O,X,X,X,X,X
IJTOLZS,X,X,X,O,X,X,X,O,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,O,X,X,X,X,X
IJTOSZL,X,X,X,X,X,X,O,X,X,X,X,X
IJTOZLS,X,X,X,O,X,X,X,O,O,X,X,X
IJTOZSL,X,X,X,X,X,X,O,X,O,X,X,X
IJLTSZO,X,X,X,O,O,X,X,X,X,O,X,X
IJLTSOZ,X,X,X,O,O,X,O,X,X,O,X,X
IJLTZSO,X,X,X,O,O,X,X,X,X,O,X,X
IJLTZOS,X,X,X,O,O,X,X,X,X,O,X,X
IJLTOSZ,X,X,X,O,O,X,O,X,X,O,X,X
IJLTOZS,X,X,X,O,O,X,X,X,X,O,X,X
IJLSTZO,X,X,X,O,O,X,X,X,X,O,X,X
IJLSTOZ,X,X,X,O,O,X,O,X,X,O,X,X
IJLSZTO,X,X,X,O,O,X,X,X,X,O,X,X
IJLSZOT,X,X,X,O,O,X,O,X,X,X,X,X
IJLSOTZ,X,X,X,O,O,X,O,X,X,O,X,X
IJLSOZT,X,X,X,O,O,X,O,X,X,X,X,X
IJLZTSO,X,X,X,O,O,X,X,X,X,O,X,X
IJLZTOS,X,X,X,O,O,X,X,X,X,O,X,X
IJLZSTO,X,X,X,O,O,X,X,X,X,X,X,X
IJLZSOT,X,X,X,O,O,X,O,X,X,X,X,X
IJLZOTS,X,X,X,O,O,X,X,X,X,X,X,X
IJLZOST,X,X,X,O,O,X,O,X,X,X,X,X
IJLOTSZ,X,X,X,O,O,X,O,X,X,O,X,X
IJLOTZS,X,X,X,O,O,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,O,O,X,O,X,X,X,X,X
IJLOSZT,X,X,X,O,O,X,O,X,X,X,X,X
IJLOZTS,X,X,X,O,O,X,X,X,X,X,X,X
IJLOZST,X,X,X,O,O,X,O,X,X,X,X,X
IJSTLZO,X,X,X,O,O,X,X,X,X,O,X,X
IJSTLOZ,X,X,X,O,O,X,O,X,X,O,X,X
IJSTZLO,X,X,X,O,O,X,X,X,X,O,X,X
IJSTZOL,X,X,X,X,O,X,X,X,X,O,X,X
IJSTOLZ,X,X,X,X,O,X,O,X,X,O,X,X
IJSTOZL,X,X,X,X,O,X,O,X,X,O,X,X
IJSLTZO,X,X,X,O,O,X,X,X,X,O,X,X
IJSLTOZ,X,X,X,O,O,X,O,X,X,O,X,X
IJSLZTO,X,X,X,O,O,X,X,X,X,O,X,X
IJSLZOT,X,X,X,O,O,X,O,X,X,X,X,X
IJSLOTZ,X,X,X,O,O,X,O,X,X,O,X,X
IJSLOZT,X,X,X,O,O,X,O,X,X,X,X,X
IJSZTLO,X,X,X,O,O,X,X,X,X,O,X,X
IJSZTOL,X,X,X,X,O,X,X,X,X,O,X,X
IJSZLTO,X,X,X,O,O,X,X,X,X,X,X,X
IJSZLOT,X,X,X,O,O,X,O,X,X,X,X,X
IJSZOTL,X,X,X,X,O,X,O,X,X,X,X,X
IJSZOLT,X,X,X,X,O,X,O,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,X,O,X,X,O,X,X
IJSOTZL,X,X,X,X,O,X,O,X,X,O,X,X
IJSOLTZ,X,X,X,X,O,X,O,X,X,X,X,X
IJSOLZT,X,X,X,X,O,X,O,X,X,X,X,X
IJSOZTL,X,X,X,X,O,X,O,X,X,X,X,X
IJSOZLT,X,X,X,X,O,X,O,X,X,X,X,X
IJZTLSO,X,X,X,O,X,X,X,O,O,X,X,X
IJZTLOS,X,X,X,O,X,X,X,O,O,X,X,X
IJZTSLO,X,X,X,O,X,X,X,O,O,X,X,X
IJZTSOL,X,X,X,X,X,X,X,O,O,X,X,X
IJZTOLS,X,X,X,O,X,X,X,O,O,X,X,X
IJZTOSL,X,X,X,X,X,X,X,O,O,X,X,X
IJZLTSO,X,X,X,O,X,X,X,O,X,X,X,X
IJZLTOS,X,X,X,O,X,X,X,O,X,X,X,X
IJZLSTO,X,X,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,X,X,O,X,X,O,X,X,X,X,X
IJZLOTS,X,X,X,O,X,X,X,O,X,X,X,X
IJZLOST,X,X,X,O,X,X,O,X,X,X,X,X
IJZSTLO,X,X,X,O,X,X,X,O,X,X,X,O
IJZSTOL,X,X,X,X,X,X,X,O,X,X,X,O
IJZSLTO,X,X,X,O,X,X,X,X,X,X,X,X
IJZSLOT,X,X,X,O,X,X,O,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,O,O,X,X,X,X
IJZSOLT,X,X,X,X,X,X,O,X,X,X,X,X
IJZOTLS,X,X,X,O,X,X,X,O,O,X,X,X
IJZOTSL,X,X,X,X,X,X,O,O,O,X,X,X
IJZOLTS,X,X,X,O,X,X,X,O,X,X,X,X
IJZOLST,X,X,X,O,X,X,O,X,X,X,X,X
IJZOSTL,X,X,X,X,X,X,O,O,X,X,X,X
IJZOSLT,X,X,X,X,X,X,O,X,X,X,X,X
IJOTLSZ,X,X,X,O,O,X,O,X,X,X,X,X
IJOTLZS,X,X,X,O,O,X,X,O,X,X,X,X
IJOTSLZ,X,X,X,X,O,X,O,X,X,X,X,X
IJOTSZL,X,X,X,X,O,X,O,X,X,X,X,X
IJOTZLS,X,X,X,O,X,X,X,O,O,X,X,X
IJOTZSL,X,X,X,X,X,X,O,X,O,X,X,X
IJOLTSZ,X,X,X,O,O,X,O,X,X,X,X,X
IJOLTZS,X,X,X,O,O,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,O,O,X,O,X,X,X,X,X
IJOLSZT,X,X,X,O,O,X,O,X,X,X,X,X
IJOLZTS,X,X,X,O,O,X,X,X,X,X,X,X
IJOLZST,X,X,X,O,O,X,O,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,X,O,X,X,X,X,X
IJOSTZL,X,X,X,X,O,X,O,X,X,X,X,X
IJOSLTZ,X,X,X,X,O,X,O,X,X,X,X,X
IJOSLZT,X,X,X,X,O,X,O,X,X,X,X,X
IJOSZTL,X,X,X,X,O,X,O,X,X,X,X,X
IJOSZLT,X,X,X,X,O,X,O,X,X,X,X,X
IJOZTLS,X,X,X,O,X,X,X,O,O,X,X,X
IJOZTSL,X,X,X,X,X,X,O,O,O,X,X,X
IJOZLTS,X,X,X,O,O,X,X,O,X,X,X,X
IJOZLST,X,X,X,O,O,X,O,X,X,X,X,X
IJOZSTL,X,X,X,X,O,X,O,O,X,X,X,X
IJOZSLT,X,X,X,X,O,X,O,X,X,X,X,X
ISTLJZO,X,O,O,X,O,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,O,X,X,X,X,X,X,X
ISTLZJO,X,O,O,X,O,X,X,X,X,X,X,X
ISTLZOJ,X,O,O,X,O,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,O,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,X,O,X,X,X,X,X,X,X
ISTJLZO,X,O,O,X,O,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,O,X,X,X,X,X,X,X
ISTJZLO,X,O,O,X,O,X,X,X,X,X,X,X
ISTJZOL,X,O,O,X,O,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,O,X,X,X,X,X,X,X
ISTJOZL,X,O,X,X,O,X,X,X,X,X,X,X
ISTZLJO,X,O,O,X,O,X,X,X,X,X,X,X
ISTZLOJ,X,O,O,X,O,X,X,X,X,X,X,X
ISTZJLO,X,O,O,X,O,X,X,X,X,X,X,X
ISTZJOL,X,O,O,X,O,X,X,X,X,X,X,X
ISTZOLJ,X,O,O,X,X,X,X,X,X,X,X,X
ISTZOJL,X,O,O,X,O,X,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,O,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X,X,X,X
ISLTJZO,X,O,X,X,O,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,O,X,X,X,X,X,X,X
ISLTZJO,X,O,O,X,O,X,X,X,X,X,X,X
ISLTZOJ,X,O,X,X,O,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,O,X,X,X,X,X,X,X
ISLTOZJ,X,O,X,X,O,X,X,X,X,X,X,X
ISLJTZO,X,O,X,X,O,X,X,X,X,X,X,X
ISLJTOZ,X,O,X,X,O,X,X,X,X,X,X,X
ISLJZTO,X,O,X,X,O,X,X,X,X,X,X,X
ISLJZOT,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOZT,X,X,X,X,O,X,X,X,X,X,X,X
ISLZTJO,X,O,O,X,O,X,X,X,X,X,X,X
ISLZTOJ,X,O,O,X,O,X,X,X,X,X,X,X
ISLZJTO,X,O,O,X,O,X,X,X,X,X,X,X
ISLZJOT,X,X,O,X,O,X,X,X,X,X,X,X
ISLZOTJ,X,O,O,X,O,X,X,X,X,X,X,X
ISLZOJT,X,O,O,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,O,X,X,X,X,X,X,X
ISLOTZJ,X,O,X,X,O,X,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,O,X,X,X,X,X,X,X
ISLOJZT,X,O,X,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,O,X,X,O,X,X,X,X,X,X,X
ISLOZJT,X,O,X,X,O,X,X,X,X,X,X,X
ISJTLZO,X,O,X,X,O,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,X,O,X,X,X,X,X,X,X
ISJTZLO,X,O,X,X,O,X,X,X,X,X,X,X
ISJTZOL,X,O,X,X,O,X,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,O,X,X,X,X,X,X,X
ISJTOZL,X,O,X,X,O,X,X,X,X,X,X,X
ISJLTZO,X,O,X,X,O,X,X,X,X,X,X,X
ISJLTOZ,X,O,X,X,O,X,X,X,X,X,X,X
ISJLZTO,X,O,X,X,O,X,X,X,X,X,X,X
ISJLZOT,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,O,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,O,X,X,X,X,X,X,X
ISJZTOL,X,O,X,X,O,X,X,X,X,X,X,X
ISJZLTO,X,O,X,X,O,X,X,X,X,X,X,X
ISJZLOT,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOTL,X,O,X,X,O,X,X,X,X,X,X,X
ISJZOLT,X,O,X,X,O,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,O,X,X,X,X,X,X,X
ISJOTZL,X,O,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,O,X,X,X,X,X,X,X
ISJOLZT,X,O,X,X,O,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,O,X,X,X,X,X,X,X
ISJOZLT,X,O,X,X,O,X,X,X,X,X,X,X
ISZTLJO,X,O,O,X,O,X,X,X,X,X,X,X
ISZTLOJ,X,O,O,X,O,X,X,X,X,X,X,X
ISZTJLO,X,O,O,X,O,X,X,X,X,X,X,X
ISZTJOL,X,O,O,X,O,X,X,X,X,X,X,X
ISZTOLJ,X,O,O,X,X,X,X,X,X,X,X,X
ISZTOJL,X,O,O,X,O,X,X,X,X,X,X,X
ISZLTJO,X,O,O,X,O,X,X,X,X,X,X,X
ISZLTOJ,X,O,O,X,O,X,X,X,X,X,X,X
ISZLJTO,X,O,O,X,O,X,X,X,X,X,X,X
ISZLJOT,X,X,O,X,O,X,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,O,X,X,X,X,X,X,X
ISZLOJT,X,O,O,X,O,X,X,X,X,X,X,X
ISZJTLO,X,O,O,X,O,X,X,X,X,X,X,X
ISZJTOL,X,O,O,X,O,X,X,X,X,X,X,X
ISZJLTO,X,O,O,X,O,X,X,X,X,X,X,X
ISZJLOT,X,X,O,X,O,X,X,X,X,X,X,X
ISZJOTL,X,O,O,X,O,X,X,X,X,X,X,X
ISZJOLT,X,O,O,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,O,O,X,X,X,X,X,X,X,X,X
ISZOTJL,X,O,O,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,O,O,X,O,X,X,X,X,X,X,X
ISZOLJT,X,O,O,X,O,X,X,X,X,X,X,X
ISZOJTL,X,O,O,X,O,X,X,X,X,X,X,X
ISZOJLT,X,O,O,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,X,X,X,X,X,X,X,X,X
ISOTZJL,X,O,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,O,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,O,X,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,O,X,X,X,X,X,X,X
ISOLJZT,X,O,X,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,O,X,X,X,X,X,X,X
ISOLZJT,X,O,X,X,O,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,O,X,X,X,X,X,X,X
ISOJTZL,X,O,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,O,X,X,X,X,X,X,X
ISOJLZT,X,O,X,X,O,X,X,X,X,X,X,X
ISOJZTL,X,O,X,X,O,X,X,X,X,X,X,X
ISOJZLT,X,O,X,X,O,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,O,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,O,X,X,X,X,X,X,X
ISOZLJT,X,O,X,X,O,X,X,X,X,X,X,X
ISOZJTL,X,O,X,X,O,X,X,X,X,X,X,X
ISOZJLT,X,O,X,X,O,X,X,X,X,X,X,X
IZTLJSO,O,X,O,X,X,O,X,O,X,X,O,X
IZTLJOS,O,X,O,X,X,O,X,O,X,X,O,X
IZTLSJO,O,X,O,X,X,O,X,O,X,X,O,X
IZTLSOJ,O,X,O,X,X,X,X,X,X,X,O,X
IZTLOJS,O,X,X,X,X,O,X,O,X,X,O,X
IZTLOSJ,O,X,X,X,X,O,X,X,X,X,O,X
IZTJLSO,O,X,O,X,X,O,X,O,O,X,O,X
IZTJLOS,O,X,O,X,X,O,X,O,O,X,O,X
IZTJSLO,X,X,O,X,X,O,X,O,O,X,O,X
IZTJSOL,X,X,O,X,X,O,X,O,O,X,O,X
IZTJOLS,O,X,O,X,X,O,X,O,O,X,O,X
IZTJOSL,X,X,O,X,X,O,X,O,O,X,O,X
IZTSLJO,X,X,O,X,X,O,X,O,X,X,O,X
IZTSLOJ,X,X,O,X,X,O,X,X,X,X,O,X
IZTSJLO,X,X,O,X,X,O,X,O,X,X,O,X
IZTSJOL,X,X,O,X,X,O,X,O,X,X,O,X
IZTSOLJ,X,X,O,X,X,O,X,X,X,X,X,X
IZTSOJL,X,X,O,X,X,O,X,X,X,X,O,X
IZTOLJS,O,X,X,X,X,O,X,O,X,X,O,X
IZTOLSJ,O,X,X,X,X,O,X,X,X,X,O,X
IZTOJLS,O,X,O,X,X,O,X,O,X,X,O,X
IZTOJSL,X,X,O,X,X,O,X,O,X,X,O,X
IZTOSLJ,X,X,O,X,X,O,X,X,X,X,X,X
IZTOSJL,X,X,O,X,X,O,X,X,X,X,O,X
IZLTJSO,O,X,O,X,X,O,X,O,X,X,X,X
IZLTJOS,O,X,O,X,X,O,X,O,X,X,X,X
IZLTSJO,O,X,O,X,X,O,X,O,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,X,X,X,X,X,X
