sequence,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBKmBWn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBOmBCn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBuhBigBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBRcBGhBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcB6mBTiBml?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcBylB+mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFmcBxgBSnBXgBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFRcB0fBfmB6mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBigBGiBzhBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcBFgB8lB+mBTi?BfqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBxhBUiBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFzbBGiB0fBRmB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFRcBzgBGiB0fB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBzcB2lBSnBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcB8lBGiBzkB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBUdBxmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFTcB/iBWlBlmBRq?BcqB,v115@6gC8HeC8GeC8EeF8AeG8Jex6IvhFTcB/iB6kB0lBlm?BOqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFUdBClBxmB/mB1q?BOqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhF0fBRhBSnBzgB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFCcB/iB0fBRmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je2/IvhFzbBViBUgBfqBxr?BSwB
JSITZOL,O,O,O,X,X,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,O
JSITOLZ,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,O
JSITOZL,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O
JSILTZO,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JSILTOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O
JSILZTO,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JSILZOT,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JSILOTZ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O
JSILOZT,O,X,X,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
JSIZTLO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X
JSIZTOL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,O
JSIZLTO,O,O,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JSIZLOT,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JSIZOTL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
JSIZOLT,O,X,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JSIOTLZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O
JSIOTZL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JSIOLTZ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O
JSIOLZT,X,X,O,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
JSIOZTL,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O
JSIOZLT,O,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSLTIZO,O,O,X,X,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,O,O,X,X,O,O,X,O,O,O,O,X,X,O,X,X,X,X
JSLTZIO,O,O,X,X,O,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X
JSLTZOI,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X
JSLTOIZ,O,O,X,X,O,O,X,X,O,O,X,X,O,O,O,X,X,O,X,X,X,X
JSLTOZI,O,O,X,X,O,O,X,X,O,O,X,X,O,O,O,X,X,O,X,X,X,X
JSLITZO,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSLITOZ,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,O
JSLIZTO,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
JSLIZOT,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O
JSLIOZT,O,O,X,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
JSLZTIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JSLZTOI,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSLZITO,O,O,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JSLZIOT,O,O,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JSLZOTI,O,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSLZOIT,O,O,X,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLOTZI,O,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLOITZ,X,X,X,X,O,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JSLOIZT,O,O,X,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JSLOZTI,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSLOZIT,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSZTILO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZTIOL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JSZTLIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JSZTLOI,O,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSZTOIL,O,O,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSZTOLI,O,O,X,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X
JSZITLO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JSZITOL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
JSZILTO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZILOT,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JSZIOTL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
JSZIOLT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JSZLTIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JSZLTOI,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSZLITO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JSZLIOT,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JSZLOTI,O,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZLOIT,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSZOTIL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSZOTLI,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSZOITL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JSZOILT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JSZOLTI,O,X,O,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZOLIT,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOTILZ,X,O,O,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOTIZL,O,O,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOTLZI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOTZIL,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOTZLI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOITLZ,X,X,O,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O
JSOITZL,X,X,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
JSOILTZ,X,X,O,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O
JSOILZT,X,X,O,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOIZTL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O
JSOIZLT,O,X,O,O,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOLTIZ,O,X,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOLTZI,O,X,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOLITZ,X,X,O,X,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOLIZT,O,X,O,O,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JSOLZTI,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOLZIT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOZTIL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOZTLI,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOZITL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOZILT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOZLTI,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSOZLIT,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZTILSO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTIOLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTIOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JZTLIOS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZTLSIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZTLSOI,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLOIS,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZTLOSI,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
JZTSLIO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTOILS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOISL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZILTSO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZILTOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZILSTO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZILSOT,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZILOST,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZISTLO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZISTOL,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JZISLTO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZISLOT,O,X,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JZISOTL,O,O,O,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JZISOLT,O,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JZIOTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOLTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZIOSTL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLTIOS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZLTSIO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZLTSOI,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTOIS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZLTOSI,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLITOS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLISTO,O,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZLISOT,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZLIOST,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLSTIO,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZLSTOI,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZLSIOT,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JZLSOTI,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZLSOIT,O,X,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZLOTIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZLOTSI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLOIST,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLOSTI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLOSIT,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSTILO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSTIOL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JZSTLIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JZSTLOI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSTOIL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZSTOLI,O,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X
JZSITLO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JZSITOL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
JZSILTO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSILOT,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JZSIOTL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
JZSIOLT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JZSLTIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZSLTOI,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSLITO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZSLIOT,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JZSLOTI,O,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSLOIT,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZSOTIL,O,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZSOTLI,O,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZSOITL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JZSOILT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
JZSOLTI,O,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSOLIT,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZOTILS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOILTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOILST,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOISTL,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOLTSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZOLIST,X,X,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSTI,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSIT,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOSTIL,O,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOSTLI,O,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOSITL,O,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JZOSILT,O,X,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JZOSLTI,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOSLIT,O,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOTILSZ,X,X,O,X,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JOTILZS,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTISLZ,X,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTISZL,X,O,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTIZLS,X,X,X,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTIZSL,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,X,O,X,O,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JOTLIZS,O,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTLSZI,O,O,O,X,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTLZIS,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLZSI,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSILZ,X,O,O,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTSIZL,O,O,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTSLZI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTSZIL,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTSZLI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTZILS,X,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTZISL,X,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,X,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTZLSI,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTZSIL,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,O,X,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O
JOITLZS,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOITSLZ,X,X,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JOITSZL,X,X,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
JOITZLS,X,X,X,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOITZSL,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JOILTSZ,X,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O
JOILTZS,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOILSZT,X,X,X,X,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JOILZTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILZST,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
