sequence,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBidB?5jBziB3mBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSiB?TeB3mBGoBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBzdB?+jBFnB3mBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBxdB?/nB1rBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSjB?FnBToB3mBusB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB1rB?xnB/nBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFXdB5nB?6tBOtBzrBFrB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB5jB?3mBznBinBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBWnB?TjBXnBFmBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBumB?CjB/sBTtBFrB
TLJSIZO,X,O,O,O,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,X,X,X
TLJSZIO,X,O,O,O,X,X,X,X,X,X
TLJSZOI,X,O,O,O,X,X,X,X,X,X
TLJSOIZ,X,O,O,O,X,X,X,X,X,X
TLJSOZI,X,O,O,O,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,O,X,X,X,X
TLJZIOS,O,O,O,X,X,O,X,X,X,X
TLJZSIO,X,O,O,O,X,X,X,X,X,X
TLJZSOI,X,O,O,O,X,X,X,X,X,X
TLJZOIS,O,O,O,X,X,X,X,X,X,X
TLJZOSI,O,O,O,O,X,X,X,X,O,X
TLJOISZ,O,O,O,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,X,X,X,O,X
TLJOSZI,O,O,O,O,X,X,X,X,O,X
TLJOZIS,O,O,O,X,X,X,X,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,O,X
TLSIJZO,X,X,O,O,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,X,X,X,X
TLSIZJO,X,X,O,O,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,O,O,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,X,X,X,X
TLSJZIO,X,X,O,O,X,X,X,X,X,X
TLSJZOI,X,X,O,O,X,X,X,X,X,X
TLSJOIZ,X,X,O,O,X,X,X,X,X,X
TLSJOZI,X,X,O,O,X,X,X,X,X,X
TLSZIJO,X,X,O,O,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,X,O,O,X,X,X,X,X,X
TLSZJOI,X,X,O,O,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,X,X,X,X,X
TLSZOJI,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,X,X,X,X,X
TLSOIZJ,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,X,X,X,O,X,X,X,X,X,X
TLSOJZI,X,X,X,O,X,X,X,X,X,X
TLSOZIJ,X,X,X,O,X,X,X,X,X,X
TLSOZJI,X,X,X,O,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,O,X,X,X,X
TLZIJOS,O,O,O,X,X,O,X,X,X,X
TLZISJO,X,X,O,X,X,O,X,X,X,X
TLZISOJ,X,X,X,X,X,O,X,X,X,X
TLZIOJS,O,X,O,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,O,O,X,X,X
TLZJISO,X,O,O,X,X,O,X,X,X,X
TLZJIOS,O,O,O,X,X,O,X,X,X,X
TLZJSIO,X,O,O,O,X,X,X,X,X,X
TLZJSOI,X,O,O,O,X,X,X,X,X,X
TLZJOIS,O,O,O,X,X,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,X,X,O,X
TLZSIJO,X,X,O,O,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,O,X,X,X,X,X,X
TLZSJOI,X,X,O,O,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,X,X,X
TLZSOJI,X,X,X,O,X,X,X,X,X,X
TLZOIJS,O,X,O,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,O,X,O,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,X,X
TLZOJSI,O,X,O,O,O,X,X,X,O,X
TLZOSIJ,O,X,X,O,O,X,X,X,X,X
TLZOSJI,O,X,X,O,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,O,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,O,X,X,X
TLOIZJS,O,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,O,X,O,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,X
TLOJIZS,O,X,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,O,O,X,X,X,O,X
TLOJSZI,O,X,O,O,O,X,X,X,O,X
TLOJZIS,O,X,O,X,X,X,X,X,X,X
TLOJZSI,O,X,O,O,O,X,X,X,O,X
TLOSIJZ,O,X,X,O,O,X,X,X,X,X
TLOSIZJ,O,X,X,O,O,X,X,X,X,X
TLOSJIZ,O,X,X,O,O,X,X,X,X,X
TLOSJZI,O,X,X,O,O,X,X,X,X,X
TLOSZIJ,O,X,X,O,O,X,X,X,X,X
TLOSZJI,O,X,X,O,O,X,X,X,X,X
TLOZIJS,O,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,O,X,O,X,X,X
TLOZJIS,O,X,O,X,X,X,X,X,X,X
TLOZJSI,O,X,O,O,O,X,X,X,O,X
TLOZSIJ,O,X,X,O,O,X,X,X,X,X
TLOZSJI,O,X,X,O,O,X,X,X,X,X
TJILSZO,X,O,O,X,X,O,X,X,X,X
TJILSOZ,X,O,O,X,X,O,X,X,X,X
TJILZSO,X,O,O,X,X,O,X,X,X,X
TJILZOS,O,O,O,X,X,O,X,X,X,X
TJILOSZ,O,O,O,X,X,O,X,X,X,X
TJILOZS,O,O,O,X,X,O,X,X,X,X
TJISLZO,O,O,X,O,X,O,X,X,X,X
TJISLOZ,O,O,X,X,X,O,X,X,X,X
TJISZLO,O,O,X,O,X,O,X,X,X,X
TJISZOL,O,O,X,O,X,O,X,O,X,X
TJISOLZ,O,O,X,O,X,O,X,O,X,X
TJISOZL,O,O,X,O,X,O,X,O,X,X
TJIZLSO,X,O,O,X,X,O,X,X,X,X
TJIZLOS,O,O,O,X,X,O,X,X,X,X
TJIZSLO,O,O,X,O,X,O,X,X,X,X
TJIZSOL,O,O,X,O,X,O,X,O,X,X
TJIZOLS,O,O,X,X,X,O,X,X,X,X
TJIZOSL,O,O,X,O,X,O,X,X,X,X
TJIOLSZ,O,O,X,X,X,O,X,X,X,X
TJIOLZS,O,O,X,X,X,O,X,X,X,X
TJIOSLZ,O,O,X,O,X,O,X,X,X,X
TJIOSZL,O,O,X,O,X,O,X,X,X,X
TJIOZLS,O,O,X,X,X,O,X,X,X,X
TJIOZSL,O,O,X,O,X,O,X,X,X,X
TJLISZO,X,O,O,X,X,O,X,X,X,X
TJLISOZ,X,O,O,X,X,O,X,X,X,X
TJLIZSO,X,O,O,X,X,O,X,X,X,X
TJLIZOS,O,O,O,X,X,O,X,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,X,X,X
TJLIOZS,O,O,O,X,X,O,X,X,X,X
TJLSIZO,X,O,O,O,X,X,X,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,X,X,X
TJLSZIO,X,O,O,O,X,X,X,X,X,X
TJLSZOI,X,O,O,O,X,X,X,X,X,X
TJLSOIZ,X,O,O,O,X,X,X,X,X,X
TJLSOZI,X,O,O,O,X,X,X,X,X,X
TJLZISO,X,O,O,X,X,O,X,X,X,X
TJLZIOS,O,O,O,X,X,O,X,X,X,X
TJLZSIO,X,O,O,O,X,X,X,X,X,X
TJLZSOI,X,O,O,O,X,X,X,X,X,X
TJLZOIS,O,O,O,X,X,X,X,X,X,X
TJLZOSI,O,O,O,O,X,X,X,X,X,X
TJLOISZ,O,O,O,X,X,X,X,X,X,X
TJLOIZS,O,O,O,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,O,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X,X,X
TJLOZIS,O,O,O,X,X,X,X,X,X,X
TJLOZSI,O,O,O,O,X,X,X,X,X,X
TJSILZO,O,O,X,O,X,O,X,X,X,X
TJSILOZ,O,O,X,X,X,O,X,X,X,X
TJSIZLO,O,O,X,O,X,O,X,X,X,X
TJSIZOL,O,O,X,O,X,O,X,O,X,X
TJSIOLZ,O,O,X,O,X,O,X,O,X,X
TJSIOZL,O,O,X,O,X,O,X,O,X,X
TJSLIZO,O,O,X,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,X,X,X,X,X,X
TJSLZOI,O,O,X,O,X,X,X,X,X,O
TJSLOIZ,O,O,X,O,X,X,X,X,X,X
TJSLOZI,O,O,X,O,X,X,X,X,X,X
TJSZILO,O,O,X,O,X,O,X,X,X,X
TJSZIOL,O,O,X,O,X,O,X,O,X,X
TJSZLIO,O,O,X,O,X,X,X,X,X,X
TJSZLOI,O,O,X,O,X,X,X,X,X,O
TJSZOIL,O,O,X,O,X,X,X,O,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,O
TJSOILZ,O,O,X,O,X,X,X,O,X,X
TJSOIZL,O,O,X,O,X,X,X,O,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X,O
TJSOLZI,O,O,X,O,X,X,X,X,X,O
TJSOZIL,O,O,X,O,X,X,X,O,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X,O
TJZILSO,X,O,O,X,X,O,X,X,X,X
TJZILOS,O,O,O,X,X,O,X,X,X,X
TJZISLO,O,O,X,O,X,O,X,X,X,X
TJZISOL,O,O,X,O,X,O,X,O,X,X
