sequence,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBRdBSjBzhB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SAJvhFWiBxdBXjBzfBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFRdBcjBXgBzhB+nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFRdBcjBCiBXgBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFRdBcjBzfBfnB6nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFGdBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFCdBzfBxiBXjBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBzcBSjBRnB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFSiBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBqhBxdBXjBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?z8IvhFGeBUlBRnBClB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SCJvhFTeBFgBfqBRsBGqBUsB
ITZLJSO,O,O,X,O,O,X,X,O,X,O,O,X
ITZLJOS,O,X,X,O,O,X,O,O,O,X,X,X
ITZLSJO,O,O,O,O,X,X,X,O,X,O,O,X
ITZLSOJ,O,O,O,X,X,X,O,O,X,O,O,X
ITZLOJS,O,X,X,O,O,X,O,O,O,X,X,X
ITZLOSJ,O,X,X,X,X,X,O,O,X,X,X,X
ITZJLSO,O,O,O,O,O,X,X,O,X,O,O,X
ITZJLOS,O,X,X,O,O,X,O,O,O,X,X,X
ITZJSLO,O,O,O,X,O,O,X,O,X,O,O,X
ITZJSOL,O,O,O,X,O,O,X,O,X,O,O,X
ITZJOLS,O,X,O,O,O,X,O,O,O,X,X,X
ITZJOSL,O,X,O,X,O,O,O,O,X,X,X,X
ITZSLJO,O,O,O,X,O,O,X,O,X,O,O,X
ITZSLOJ,O,O,O,X,O,O,O,O,X,O,O,X
ITZSJLO,O,O,O,X,O,O,X,O,X,O,O,X
ITZSJOL,O,O,O,X,O,O,X,O,X,O,O,X
ITZSOLJ,O,O,O,X,O,O,O,O,X,O,O,X
ITZSOJL,O,O,X,X,O,O,O,O,X,O,O,X
ITZOLJS,O,X,X,O,O,X,O,O,O,X,X,X
ITZOLSJ,O,X,X,O,X,X,O,O,X,X,X,X
ITZOJLS,O,X,X,O,O,X,O,O,O,X,X,X
ITZOJSL,O,X,X,X,O,O,O,O,X,X,X,X
ITZOSLJ,O,X,O,X,O,O,O,O,X,X,X,X
ITZOSJL,O,X,X,X,O,O,O,O,X,X,X,X
ITOLJSZ,X,X,X,X,X,O,O,X,O,X,X,X
ITOLJZS,O,X,X,O,X,X,O,O,O,X,X,X
ITOLSJZ,X,X,X,X,X,O,O,X,O,X,X,O
ITOLSZJ,O,X,X,X,X,O,X,O,X,X,X,O
ITOLZJS,O,X,X,O,X,X,O,O,O,X,X,X
ITOLZSJ,O,X,X,O,X,X,X,O,X,X,X,X
ITOJLSZ,X,X,X,X,X,O,O,X,O,X,X,X
ITOJLZS,O,X,X,O,X,X,O,O,O,X,X,X
ITOJSLZ,X,X,O,X,O,O,O,X,O,X,X,X
ITOJSZL,X,X,O,X,O,O,X,X,X,X,X,X
ITOJZLS,O,X,O,O,O,X,O,O,O,X,X,X
ITOJZSL,O,X,O,X,O,O,O,O,X,X,X,X
ITOSLJZ,X,X,O,X,O,O,O,X,O,X,X,O
ITOSLZJ,O,X,X,X,O,O,X,O,X,X,X,O
ITOSJLZ,X,X,O,X,O,O,O,X,O,X,X,O
ITOSJZL,X,X,O,X,O,O,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,O,O,X,O,X,X,X,O
ITOSZJL,O,X,X,X,O,O,X,O,X,X,X,X
ITOZLJS,O,X,X,O,O,X,O,O,O,X,X,X
ITOZLSJ,O,X,X,O,X,X,O,O,X,X,X,X
ITOZJLS,O,X,X,O,O,X,O,O,O,X,X,X
ITOZJSL,O,X,X,X,O,O,O,O,X,X,X,X
ITOZSLJ,O,X,X,X,O,O,O,O,X,X,X,X
ITOZSJL,O,X,X,X,O,O,O,O,X,X,X,X
ILTJSZO,X,X,X,X,X,O,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,O,X,X,O,X,X,X
ILTJZSO,O,X,X,O,X,X,X,O,X,X,X,X
ILTJZOS,O,X,X,O,X,X,X,O,O,X,X,X
ILTJOSZ,X,X,X,X,X,O,O,X,O,X,X,X
ILTJOZS,X,X,X,X,X,X,O,O,O,X,X,X
ILTSJZO,O,X,X,X,X,O,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,X,O,X,X,O,X,X,O
ILTSZJO,O,X,X,X,X,O,X,O,X,O,X,X
ILTSZOJ,O,X,X,X,X,O,X,O,X,O,X,O
ILTSOJZ,O,X,X,X,X,O,O,X,O,X,X,O
ILTSOZJ,O,X,X,X,X,O,X,O,X,O,X,O
ILTZJSO,O,X,X,O,X,X,X,O,X,O,X,X
ILTZJOS,O,X,X,O,X,X,X,O,O,X,X,X
ILTZSJO,O,X,X,O,X,X,X,O,X,O,X,X
ILTZSOJ,O,X,X,X,X,X,X,O,X,O,X,X
ILTZOJS,O,X,X,O,X,X,O,O,O,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,O,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,O,X,O,X,X,X
ILTOJZS,O,X,X,X,X,X,O,O,O,X,X,X
ILTOSJZ,X,X,X,X,X,O,O,X,O,X,X,O
ILTOSZJ,O,X,X,X,X,O,X,O,X,X,X,O
ILTOZJS,O,X,X,X,X,X,O,O,O,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,O,X,X,X,X
ILJTSZO,X,X,X,X,X,O,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,O,X,X,O,X,X,X
ILJTZSO,O,X,X,X,X,X,X,O,X,X,X,X
ILJTZOS,O,X,X,X,X,X,X,O,O,X,X,X
ILJTOSZ,X,X,X,X,X,O,O,X,O,X,X,X
ILJTOZS,X,X,X,X,X,X,O,O,O,X,X,X
ILJSTZO,X,X,X,X,X,X,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,O,X,X,X,X,X,O
ILJSZTO,X,X,X,X,X,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,O,X,X,O,X,X,O
ILJSOZT,X,X,X,X,X,O,X,X,O,X,X,X
ILJZTSO,O,X,X,O,X,X,X,X,X,X,O,X
ILJZTOS,O,X,X,X,X,X,X,O,X,X,X,X
ILJZSTO,O,X,X,O,X,X,X,X,X,X,O,X
ILJZSOT,O,X,X,O,X,X,X,O,X,X,O,X
ILJZOTS,O,X,X,O,X,X,X,O,X,X,X,X
ILJZOST,O,X,X,O,X,X,X,O,O,X,O,X
ILJOTSZ,X,X,X,X,X,O,X,X,O,X,X,X
ILJOTZS,X,X,X,X,X,X,X,O,O,X,X,X
ILJOSTZ,X,X,X,X,X,O,X,X,O,X,X,O
ILJOSZT,X,X,X,X,X,O,X,X,O,X,X,X
ILJOZTS,X,X,X,X,X,X,X,O,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,O,O,X,X,X
ILSTJZO,O,O,X,X,X,X,X,X,X,O,X,X
ILSTJOZ,X,O,X,X,X,X,X,X,O,X,X,O
ILSTZJO,O,X,X,X,X,O,X,O,X,O,X,X
ILSTZOJ,O,X,X,X,X,O,X,O,X,O,X,O
ILSTOJZ,O,X,X,X,X,X,O,X,O,X,X,O
ILSTOZJ,O,X,X,X,X,O,X,O,X,O,X,O
ILSJTZO,O,O,X,X,X,X,X,X,X,O,X,X
ILSJTOZ,X,O,X,X,X,X,X,X,X,X,X,O
ILSJZTO,O,O,X,X,X,O,X,X,X,O,X,X
ILSJZOT,O,O,X,X,X,O,X,X,X,O,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,O,X,X,O
ILSJOZT,X,X,X,X,X,O,X,X,O,X,X,X
ILSZTJO,O,O,X,X,X,O,X,X,X,O,X,X
ILSZTOJ,O,X,X,X,X,O,X,X,X,O,X,O
ILSZJTO,O,O,X,X,X,O,X,X,X,O,X,X
ILSZJOT,O,O,X,X,X,O,X,O,X,O,X,X
ILSZOTJ,O,X,X,X,X,O,X,X,X,X,X,O
ILSZOJT,O,O,X,X,X,O,X,O,X,O,X,X
ILSOTJZ,O,X,X,X,X,X,X,X,O,X,X,O
ILSOTZJ,O,X,X,X,X,O,X,O,X,O,X,O
ILSOJTZ,O,O,X,X,X,X,X,X,O,X,X,O
ILSOJZT,O,X,X,X,X,O,X,X,O,X,X,X
ILSOZTJ,O,X,X,X,X,O,X,X,X,X,X,O
ILSOZJT,O,X,X,X,X,O,X,O,X,O,X,X
ILZTJSO,O,X,X,O,X,X,X,O,X,X,O,X
ILZTJOS,O,X,X,O,X,X,X,O,O,X,X,X
ILZTSJO,O,X,X,O,X,X,X,O,X,X,O,X
ILZTSOJ,X,X,X,X,X,X,X,O,X,X,O,X
ILZTOJS,O,X,X,O,X,X,O,O,O,X,X,X
ILZTOSJ,X,X,X,X,X,X,X,O,X,X,X,X
ILZJTSO,O,X,X,O,X,X,X,X,X,X,O,X
ILZJTOS,O,X,X,O,X,X,X,O,X,X,X,X
ILZJSTO,O,O,X,O,X,X,X,X,X,O,O,X
ILZJSOT,O,O,X,O,X,X,X,O,X,O,O,X
ILZJOTS,O,X,X,O,X,X,X,O,X,X,X,X
ILZJOST,O,X,X,O,X,X,X,O,O,X,O,X
ILZSTJO,O,O,X,O,X,X,X,X,X,O,O,X
ILZSTOJ,X,X,X,X,X,X,X,X,X,X,O,O
ILZSJTO,O,O,X,O,X,X,X,X,X,O,O,X
ILZSJOT,O,O,X,O,X,X,X,O,X,O,O,X
ILZSOTJ,O,X,X,X,X,X,X,X,X,X,O,O
ILZSOJT,O,O,X,X,X,X,X,O,X,O,O,X
ILZOTJS,O,X,X,O,X,X,X,O,O,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,O,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,O,X,X,X,X
ILZOJST,O,X,X,O,X,X,X,O,O,X,O,X
ILZOSTJ,X,X,X,X,X,X,X,X,X,X,O,O
ILZOSJT,O,X,X,X,X,X,X,O,X,X,O,X
ILOTJSZ,X,X,X,X,X,O,O,X,O,X,X,X
ILOTJZS,O,X,X,X,X,X,O,O,O,X,X,X
ILOTSJZ,X,X,X,X,X,O,O,X,O,X,X,O
ILOTSZJ,O,X,X,X,X,O,X,O,X,X,X,O
ILOTZJS,O,X,X,X,X,X,O,O,O,X,X,X
ILOTZSJ,O,X,X,X,X,X,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,X,X,O,X,X,X
ILOJTZS,O,X,X,X,X,X,X,O,O,X,X,X
ILOJSTZ,X,X,X,X,X,O,X,X,O,X,X,O
ILOJSZT,X,X,X,X,X,O,X,X,O,X,X,X
ILOJZTS,O,X,X,X,X,X,X,O,X,X,X,X
ILOJZST,O,X,X,X,X,X,X,O,O,X,X,X
ILOSTJZ,X,X,X,X,X,X,X,X,O,X,X,O
ILOSTZJ,O,X,X,X,X,O,X,O,X,X,X,O
ILOSJTZ,X,X,X,X,X,X,X,X,O,X,X,O
ILOSJZT,X,X,X,X,X,O,X,X,O,X,X,X
ILOSZTJ,X,X,X,X,X,O,X,X,X,X,X,O
ILOSZJT,O,X,X,X,X,O,X,O,X,X,X,X
ILOZTJS,O,X,X,X,X,X,X,O,O,X,X,X
ILOZTSJ,O,X,X,X,X,X,X,O,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X,O,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,O,O,X,X,X
ILOZSTJ,X,X,X,X,X,X,X,X,X,X,X,O
ILOZSJT,O,X,X,X,X,X,X,O,X,X,X,X
IJTLSZO,X,X,X,X,X,O,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,O,X,X,O,X,X,X
IJTLZSO,X,X,X,X,X,X,X,O,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,O,O,X,X,X
IJTLOSZ,X,X,X,X,X,O,O,X,O,X,X,X
IJTLOZS,X,X,X,X,X,X,O,O,O,X,X,X
IJTSLZO,X,X,O,X,X,O,X,X,X,X,X,X
IJTSLOZ,X,X,O,X,X,O,X,X,O,X,X,X
IJTSZLO,X,X,O,X,X,O,X,X,X,X,X,X
IJTSZOL,X,X,O,X,X,O,X,X,X,X,X,X
IJTSOLZ,X,X,O,X,X,O,X,X,O,X,X,X
IJTSOZL,X,X,O,X,X,O,X,X,X,X,X,X
IJTZLSO,X,X,O,X,X,X,X,O,X,X,O,X
IJTZLOS,X,X,X,X,X,X,X,O,O,X,X,X
IJTZSLO,X,X,O,X,X,O,X,O,X,X,O,X
IJTZSOL,X,X,O,X,X,O,X,O,X,X,O,X
IJTZOLS,X,X,O,X,X,X,X,O,O,X,X,X
IJTZOSL,X,X,O,X,X,O,X,O,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,O,X,O,X,X,X
IJTOLZS,X,X,X,X,X,X,O,O,O,X,X,X
IJTOSLZ,X,X,O,X,X,O,O,X,O,X,X,X
IJTOSZL,X,X,O,X,X,O,X,X,X,X,X,X
IJTOZLS,X,X,O,X,X,X,O,O,O,X,X,X
IJTOZSL,X,X,O,X,X,O,X,O,X,X,X,X
IJLTSZO,X,X,X,X,X,O,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,X,X,O,X,X,X
IJLTZSO,X,X,X,X,X,X,X,O,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,O,O,X,X,X
IJLTOSZ,X,X,X,X,X,O,O,X,O,X,X,X
IJLTOZS,X,X,X,X,X,X,O,O,O,X,X,X
IJLSTZO,X,X,X,X,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,X,X,X,X,X,O
IJLSZTO,X,X,X,X,X,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,O,X,X,O,X,X,O
IJLSOZT,X,X,X,X,X,O,X,X,O,X,X,X
IJLZTSO,X,X,X,O,X,X,X,X,X,X,O,X
IJLZTOS,X,X,X,X,X,X,X,O,X,X,X,X
IJLZSTO,X,X,X,O,X,X,X,X,X,X,O,X
IJLZSOT,X,X,X,O,X,X,X,O,X,X,O,X
IJLZOTS,X,X,X,O,X,X,X,O,X,X,X,X
IJLZOST,X,X,X,O,X,X,X,O,O,X,O,X
IJLOTSZ,X,X,X,X,X,O,X,X,O,X,X,X
IJLOTZS,X,X,X,X,X,X,X,O,O,X,X,X
IJLOSTZ,X,X,X,X,X,O,X,X,O,X,X,O
IJLOSZT,X,X,X,X,X,O,X,X,O,X,X,X
IJLOZTS,X,X,X,X,X,X,X,O,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,O,O,X,X,X
IJSTLZO,X,X,X,X,X,O,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,O,X,X,X,X,X,O
IJSTZLO,X,X,X,X,X,O,X,X,X,X,X,X
IJSTZOL,X,X,X,X,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,O,X,X,X,X,X,O
IJSTOZL,X,X,X,X,X,O,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,O,X,X,X,X,X,O
IJSLZTO,X,X,O,X,O,O,X,X,X,X,X,X
IJSLZOT,X,X,O,X,O,O,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,O,X,X,O,X,X,O
IJSLOZT,X,X,O,X,X,O,X,X,O,X,X,X
IJSZTLO,X,X,O,X,O,O,X,X,X,X,O,X
IJSZTOL,X,X,X,X,O,O,X,X,X,X,O,X
IJSZLTO,X,X,O,X,O,O,X,X,X,X,O,X
IJSZLOT,X,X,O,X,O,O,X,X,X,X,O,X
IJSZOTL,X,X,O,X,O,O,X,X,X,X,O,X
IJSZOLT,X,X,O,X,O,O,X,X,X,X,O,X
IJSOTLZ,X,X,X,X,X,O,X,X,X,X,X,O
IJSOTZL,X,X,X,X,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,O,X,X,O,X,X,O
IJSOLZT,X,X,O,X,X,O,X,X,O,X,X,X
IJSOZTL,X,X,O,X,X,O,X,X,X,X,X,X
IJSOZLT,X,X,O,X,X,O,X,X,X,X,X,X
IJZTLSO,X,X,O,X,O,X,X,X,X,X,O,X
IJZTLOS,X,X,X,X,O,X,X,O,X,X,X,X
IJZTSLO,X,X,O,X,O,O,X,X,X,X,O,X
IJZTSOL,X,X,O,X,O,O,X,X,X,X,O,X
IJZTOLS,X,X,O,X,O,X,X,O,X,X,X,X
IJZTOSL,X,X,O,X,O,O,X,X,X,X,X,X
IJZLTSO,X,X,O,O,O,X,X,X,X,X,O,X
IJZLTOS,X,X,X,X,O,X,X,O,X,X,X,X
IJZLSTO,X,X,O,O,O,X,X,X,X,X,O,X
IJZLSOT,X,X,O,O,O,X,X,O,X,X,O,X
IJZLOTS,X,X,X,O,X,X,X,O,X,X,X,X
IJZLOST,X,X,X,O,X,X,X,O,O,X,O,X
IJZSTLO,X,X,O,X,O,X,X,X,X,X,O,X
IJZSTOL,X,X,O,X,O,X,X,X,X,X,O,X
IJZSLTO,X,X,O,X,O,X,X,X,X,X,O,X
IJZSLOT,X,X,O,X,O,O,X,O,X,X,O,X
IJZSOTL,X,X,O,X,O,X,X,X,X,X,O,X
IJZSOLT,X,X,O,X,O,O,X,O,X,X,O,X
IJZOTLS,X,X,O,X,O,X,X,O,X,X,X,X
IJZOTSL,X,X,O,X,O,O,X,X,X,X,X,X
IJZOLTS,X,X,O,O,X,X,X,O,X,X,X,X
IJZOLST,X,X,O,O,X,X,X,O,O,X,O,X
IJZOSTL,X,X,O,X,O,X,X,X,X,X,O,X
IJZOSLT,X,X,O,X,O,O,X,O,X,X,O,X
IJOTLSZ,X,X,X,X,X,O,X,X,O,X,X,X
IJOTLZS,X,X,X,X,X,X,X,O,O,X,X,X
IJOTSLZ,X,X,O,X,X,O,X,X,O,X,X,X
IJOTSZL,X,X,O,X,X,O,X,X,X,X,X,X
IJOTZLS,X,X,O,X,X,X,X,O,O,X,X,X
IJOTZSL,X,X,O,X,X,O,X,O,X,X,X,X
IJOLTSZ,X,X,X,X,X,O,X,X,O,X,X,X
IJOLTZS,X,X,X,X,X,X,X,O,O,X,X,X
IJOLSTZ,X,X,X,X,X,O,X,X,O,X,X,O
IJOLSZT,X,X,X,X,X,O,X,X,O,X,X,X
IJOLZTS,X,X,X,O,X,X,X,O,X,X,X,X
IJOLZST,X,X,X,O,X,X,X,O,O,X,X,X
IJOSTLZ,X,X,X,X,X,O,X,X,X,X,X,O
IJOSTZL,X,X,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,O,X,X,O,X,X,O
IJOSLZT,X,X,O,X,X,O,X,X,O,X,X,X
IJOSZTL,X,X,O,X,X,O,X,X,X,X,X,X
IJOSZLT,X,X,O,X,X,O,X,X,X,X,X,X
IJOZTLS,X,X,O,X,X,X,X,O,X,X,X,X
IJOZTSL,X,X,O,X,X,O,X,X,X,X,X,X
IJOZLTS,X,X,O,O,X,X,X,O,X,X,X,X
IJOZLST,X,X,O,O,X,X,X,O,O,X,O,X
IJOZSTL,X,X,O,X,X,X,X,X,X,X,O,X
IJOZSLT,X,X,O,X,X,O,X,O,X,X,O,X
ISTLJZO,O,O,X,X,O,O,X,X,X,O,X,X
ISTLJOZ,X,O,X,X,X,O,X,X,O,X,X,O
ISTLZJO,O,O,X,X,O,O,X,O,X,O,X,X
ISTLZOJ,O,O,X,X,O,O,X,O,X,O,X,O
ISTLOJZ,O,O,X,X,O,O,O,X,O,X,X,O
ISTLOZJ,O,X,X,X,O,O,X,O,X,O,X,O
ISTJLZO,X,O,X,X,O,O,X,X,X,O,X,X
ISTJLOZ,X,O,X,X,X,O,X,X,O,X,X,O
ISTJZLO,X,O,X,X,O,O,X,X,X,O,X,X
ISTJZOL,X,X,X,X,O,O,X,X,X,O,X,X
ISTJOLZ,X,O,X,X,X,O,X,X,O,X,X,O
ISTJOZL,X,X,X,X,X,O,X,X,X,X,X,X
ISTZLJO,O,O,X,X,O,O,X,O,X,O,X,X
ISTZLOJ,O,O,X,X,O,O,X,O,X,O,X,O
ISTZJLO,O,O,X,X,O,O,X,O,X,O,X,X
ISTZJOL,O,O,X,X,O,O,X,O,X,O,X,X
ISTZOLJ,O,O,X,X,O,O,X,O,X,O,X,O
ISTZOJL,O,O,X,X,O,O,X,O,X,O,X,X
ISTOLJZ,O,O,X,X,O,O,O,X,O,X,X,O
ISTOLZJ,O,X,X,X,O,O,X,O,X,O,X,O
ISTOJLZ,O,O,X,X,O,O,O,X,O,X,X,O
ISTOJZL,O,X,X,X,O,O,X,X,X,X,X,X
ISTOZLJ,O,X,X,X,O,O,X,O,X,O,X,O
ISTOZJL,O,X,X,X,O,O,X,O,X,O,X,X
ISLTJZO,O,O,X,X,O,X,X,X,X,O,X,X
ISLTJOZ,X,O,X,X,X,X,X,X,O,X,X,O
ISLTZJO,O,O,X,X,O,O,X,O,X,O,X,X
ISLTZOJ,O,X,X,X,O,O,X,O,X,O,X,O
ISLTOJZ,O,O,X,X,O,X,O,X,O,X,X,O
ISLTOZJ,O,X,X,X,O,O,X,O,X,O,X,O
ISLJTZO,O,O,X,X,X,X,X,X,X,O,X,X
ISLJTOZ,X,O,X,X,X,X,X,X,X,X,X,O
ISLJZTO,O,O,O,X,O,O,X,X,X,O,X,X
ISLJZOT,O,O,O,X,O,O,X,X,X,O,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,O,X,X,O
ISLJOZT,X,X,O,X,X,O,X,X,O,X,X,X
ISLZTJO,O,O,O,X,O,O,X,X,X,O,X,X
ISLZTOJ,O,X,X,X,O,O,X,X,X,O,X,O
ISLZJTO,O,O,O,X,O,O,X,X,X,O,X,X
ISLZJOT,O,O,O,X,O,O,X,O,X,O,X,X
ISLZOTJ,O,X,X,X,O,O,X,X,X,X,X,O
ISLZOJT,O,O,O,X,O,O,X,O,X,O,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,O,X,X,O
ISLOTZJ,O,X,X,X,X,O,X,O,X,O,X,O
ISLOJTZ,O,O,X,X,X,X,X,X,O,X,X,O
ISLOJZT,O,X,O,X,X,O,X,X,O,X,X,X
ISLOZTJ,O,X,X,X,X,O,X,X,X,X,X,O
ISLOZJT,O,X,X,X,X,O,X,O,X,O,X,X
ISJTLZO,X,O,X,X,X,O,X,X,X,O,X,X
ISJTLOZ,X,O,X,X,X,O,X,X,X,X,X,O
ISJTZLO,X,O,X,X,X,O,X,X,X,O,X,X
ISJTZOL,X,X,X,X,X,O,X,X,X,O,X,X
ISJTOLZ,X,O,X,X,X,O,X,X,X,X,X,O
ISJTOZL,X,X,X,X,X,O,X,X,X,X,X,X
ISJLTZO,X,O,X,X,X,X,X,X,X,O,X,X
ISJLTOZ,X,O,X,X,X,O,X,X,X,X,X,O
ISJLZTO,X,O,O,X,O,O,X,X,X,O,X,X
ISJLZOT,X,O,O,X,O,O,X,X,X,O,X,X
ISJLOTZ,X,O,X,X,X,O,X,X,O,X,X,O
ISJLOZT,X,X,O,X,X,O,X,X,O,X,X,X
ISJZTLO,X,O,O,X,O,O,X,X,X,O,O,X
ISJZTOL,X,X,X,X,O,O,X,X,X,X,O,X
ISJZLTO,X,O,O,X,O,O,X,X,X,O,O,X
ISJZLOT,X,X,O,X,O,O,X,X,X,O,O,X
ISJZOTL,X,X,O,X,O,O,X,X,X,X,O,X
ISJZOLT,X,X,O,X,O,O,X,X,X,O,O,X
ISJOTLZ,X,O,X,X,X,O,X,X,X,X,X,O
ISJOTZL,X,X,X,X,X,O,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,O,X,X,O,X,X,O
ISJOLZT,X,X,O,X,X,O,X,X,O,X,X,X
ISJOZTL,X,X,O,X,X,O,X,X,X,X,X,X
ISJOZLT,X,X,O,X,X,O,X,X,X,X,X,X
ISZTLJO,X,O,O,X,O,O,X,X,X,O,O,X
ISZTLOJ,X,O,X,X,O,O,X,X,X,O,O,O
ISZTJLO,X,O,X,X,O,O,X,X,X,O,O,X
ISZTJOL,X,O,X,X,O,O,X,X,X,O,O,X
ISZTOLJ,X,O,X,X,O,O,X,X,X,O,O,O
ISZTOJL,X,O,X,X,O,O,X,X,X,O,O,X
ISZLTJO,O,O,O,X,O,O,X,X,X,O,O,X
ISZLTOJ,X,O,X,X,O,O,X,X,X,O,O,O
ISZLJTO,O,O,O,X,O,O,X,X,X,O,O,X
ISZLJOT,O,O,O,X,O,O,X,O,X,O,O,X
ISZLOTJ,O,X,X,X,O,O,X,X,X,X,O,O
ISZLOJT,O,O,O,X,O,O,X,O,X,O,O,X
ISZJTLO,X,O,O,X,O,O,X,X,X,O,O,X
ISZJTOL,X,O,X,X,O,O,X,X,X,X,O,X
ISZJLTO,O,O,O,X,O,O,X,X,X,O,O,X
ISZJLOT,O,O,O,X,O,O,X,O,X,O,O,X
ISZJOTL,O,O,O,X,O,O,X,X,X,X,O,X
ISZJOLT,O,O,O,X,O,O,X,O,X,O,O,X
ISZOTLJ,O,O,X,X,O,O,X,X,X,X,O,O
ISZOTJL,O,O,X,X,O,O,X,X,X,X,O,X
ISZOLTJ,O,X,X,X,X,O,X,X,X,X,O,O
ISZOLJT,O,O,O,X,X,O,X,O,X,O,O,X
ISZOJTL,O,O,X,X,O,O,X,X,X,X,O,X
ISZOJLT,O,O,X,X,O,O,X,O,X,O,O,X
ISOTLJZ,O,O,X,X,X,O,X,X,O,X,X,O
ISOTLZJ,O,X,X,X,X,O,X,O,X,O,X,O
ISOTJLZ,O,O,X,X,X,O,X,X,O,X,X,O
ISOTJZL,O,X,X,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,O,X,O,X,O,X,O
ISOTZJL,O,X,X,X,X,O,X,O,X,O,X,X
ISOLTJZ,O,X,X,X,X,X,X,X,O,X,X,O
ISOLTZJ,O,X,X,X,X,O,X,O,X,O,X,O
ISOLJTZ,O,O,X,X,X,X,X,X,O,X,X,O
ISOLJZT,O,X,O,X,X,O,X,X,O,X,X,X
ISOLZTJ,O,X,X,X,X,O,X,X,X,X,X,O
ISOLZJT,O,X,X,X,X,O,X,O,X,O,X,X
ISOJTLZ,O,O,X,X,X,O,X,X,X,X,X,O
ISOJTZL,O,X,X,X,X,O,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,O,X,X,O,X,X,O
ISOJLZT,O,X,O,X,X,O,X,X,O,X,X,X
ISOJZTL,O,X,O,X,X,O,X,X,X,X,X,X
ISOJZLT,O,X,O,X,X,O,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,O,X,X,X,X,X,O
ISOZTJL,O,X,X,X,X,O,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,O,X,X,X,X,X,O
ISOZLJT,O,X,X,X,X,O,X,O,X,O,X,X
