sequence,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBmiB5oBKsBft?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBZnBGjBqsB/t?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NeRBJvhF3iBcoBTlBOrBFs?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB/nBaoB5oBFr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBOnBXjBStBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBOsBXoBFr?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFZnBGjBTlBcrBqs?B/tB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFmiB5oBTlBftBir?BUsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBinB+tBFr?B3sB,v115@9gC8GeB8HeB8HeD8AeA8Ne3AJvhFziB5oBlmBUnBmq?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF/nBaoB5oBTlBcr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB+oB3nBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB5oBFrBms?B3sB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB2nB5oB3nBFr?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF5oBTlBcrBinB3s?BmsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB5oBinBFrB3s?BmsB
JSLIOTZ,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSLIOZT,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X
JSLZTIO,O,O,O,O,X,O,O,O,O,O,O,X,O,X,X,O
JSLZTOI,O,O,O,O,X,O,O,X,O,O,O,X,O,X,X,O
JSLZITO,O,O,O,O,X,O,O,O,O,O,O,X,O,X,X,O
JSLZIOT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JSLZOTI,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JSLZOIT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JSLOTIZ,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSLOTZI,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSLOITZ,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSLOIZT,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X
JSLOZTI,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X
JSLOZIT,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X
JSZTILO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
JSZTIOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JSZTLIO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JSZTLOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JSZTOIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JSZTOLI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
JSZITLO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
JSZITOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JSZILTO,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,O
JSZILOT,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
JSZIOTL,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
JSZIOLT,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
JSZLTIO,O,O,X,O,X,O,O,O,O,O,O,X,O,X,X,O
JSZLTOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JSZLITO,O,O,X,O,X,O,O,O,O,O,O,X,O,X,X,O
JSZLIOT,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JSZLOTI,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JSZLOIT,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JSZOTIL,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
JSZOTLI,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
JSZOITL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
JSZOILT,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
JSZOLTI,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
JSZOLIT,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
JSOTILZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JSOTIZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSOTLIZ,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSOTLZI,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSOTZIL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
JSOTZLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOITLZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JSOITZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSOILTZ,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSOILZT,O,X,X,O,X,X,O,O,O,O,O,X,X,X,O,X
JSOIZTL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JSOIZLT,O,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JSOLTIZ,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSOLTZI,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSOLITZ,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSOLIZT,O,O,X,O,X,X,O,O,O,O,O,X,X,X,O,X
JSOLZTI,O,O,X,O,X,X,O,O,O,O,O,X,X,X,O,X
JSOLZIT,O,O,X,O,X,X,O,O,O,O,O,X,X,X,O,X
JSOZTIL,X,O,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JSOZTLI,X,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X
JSOZITL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JSOZILT,O,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JSOZLTI,O,O,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JSOZLIT,O,O,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JZTILSO,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X
JZTILOS,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X
JZTISLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
JZTISOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
JZTIOLS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JZTIOSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
JZTLISO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
JZTLIOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZTLSIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZTLSOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZTLOIS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZTLOSI,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZTSILO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
JZTSIOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JZTSLIO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JZTSLOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JZTSOIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JZTSOLI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
JZTOILS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JZTOISL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
JZTOLIS,O,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X
JZTOLSI,O,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X
JZTOSIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JZTOSLI,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JZITLSO,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X
JZITLOS,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X
JZITSLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
JZITSOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
JZITOLS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JZITOSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
JZILTSO,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X
JZILTOS,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X
JZILSTO,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X
JZILSOT,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X
JZILOTS,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X
JZILOST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZISTLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
JZISTOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
JZISLTO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
JZISLOT,O,X,X,O,O,X,X,X,O,O,O,O,X,X,X,X
JZISOTL,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZISOLT,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZIOTLS,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
JZIOTSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
JZIOLTS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JZIOLST,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZIOSTL,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZIOSLT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZLTISO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
JZLTIOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZLTSIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZLTSOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZLTOIS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZLTOSI,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZLITSO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
JZLITOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZLISTO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZLISOT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JZLIOTS,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X
JZLIOST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLSTIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZLSTOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZLSITO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
JZLSIOT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JZLSOTI,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JZLSOIT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JZLOTIS,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
JZLOTSI,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
JZLOITS,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X
JZLOIST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOSTI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLOSIT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSTILO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
JZSTIOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JZSTLIO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JZSTLOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JZSTOIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JZSTOLI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
JZSITLO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
JZSITOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
JZSILTO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
JZSILOT,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
JZSIOTL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSIOLT,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSLTIO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JZSLTOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JZSLITO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
JZSLIOT,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JZSLOTI,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JZSLOIT,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JZSOTIL,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSOTLI,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
JZSOITL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSOILT,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSOLTI,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
JZSOLIT,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
JZOTILS,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOTISL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOTLIS,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOTLSI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOTSIL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOTSLI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOITLS,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOITSL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
JZOILTS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JZOILST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOISTL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZOISLT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZOLTIS,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZOLTSI,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZOLITS,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZOLIST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSTI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOLSIT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOSTIL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZOSTLI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZOSITL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZOSILT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZOSLTI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JZOSLIT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JOTILSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTILZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTISLZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOTISZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTIZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTIZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLISZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLSIZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLSZI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTSILZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOTSIZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTSLIZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOTSLZI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTSZIL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTSZLI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZILS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZISL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZLIS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZLSI,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZSIL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZSLI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOITLSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOITLZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSLZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOITSZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOITZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOITZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOILTSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOILTZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILSTZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOILSZT,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOILZTS,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X
JOILZST,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOISTLZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOISTZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOISLTZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOISLZT,X,X,O,O,X,X,X,O,O,O,O,X,X,X,O,X
JOISZTL,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X
JOISZLT,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X
JOIZTLS,X,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X
JOIZTSL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,X
JOIZLTS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X
JOIZLST,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JOIZSTL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JOIZSLT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JOLTISZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSIZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTSZI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLITSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLITZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLISTZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLISZT,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLIZTS,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X
JOLIZST,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLSTIZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLSTZI,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLSITZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLSIZT,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X
JOLSZTI,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X
JOLSZIT,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X
JOLZTIS,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X
JOLZTSI,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X
JOLZITS,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X
JOLZIST,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLZSTI,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JOLZSIT,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JOSTILZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOSTIZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOSTLIZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOSTLZI,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOSTZIL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
JOSTZLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOSITLZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JOSITZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOSILTZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOSILZT,X,X,O,O,X,X,O,O,O,O,O,X,X,X,O,X
JOSIZTL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JOSIZLT,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JOSLTIZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOSLTZI,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOSLITZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOSLIZT,X,X,O,O,X,X,O,O,O,O,O,X,X,X,O,X
JOSLZTI,X,X,O,O,X,X,O,O,O,O,O,X,X,X,O,X
JOSLZIT,X,X,O,O,X,X,O,O,O,O,O,X,X,X,O,X
JOSZTIL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JOSZTLI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
JOSZITL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JOSZILT,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JOSZLTI,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JOSZLIT,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
JOZTILS,X,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X
JOZTISL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,X
JOZTLIS,X,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X
JOZTLSI,X,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X
JOZTSIL,X,X,X,O,X,O,O,X,O,X,O,X,O,X,O,X
JOZTSLI,X,X,X,O,X,O,O,X,O,X,O,X,O,X,O,X
JOZITLS,X,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X
JOZITSL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,X
JOZILTS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X
JOZILST,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JOZISTL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JOZISLT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JOZLTIS,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X
JOZLTSI,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X
JOZLITS,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X
JOZLIST,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JOZLSTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JOZLSIT,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JOZSTIL,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
JOZSTLI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
JOZSITL,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
JOZSILT,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
JOZSLTI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
JOZSLIT,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
STILJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STILJOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
STILZJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
STILZOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STILOJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
STILOZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
STIJLZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STIJLOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
STIJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STIJOZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STIZLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIZLOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
STIZJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIZJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIZOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIOLJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
STIOLZJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
STIOJLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STIOJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STIOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIOZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
STLIJZO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
STLIJOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
STLIZJO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
STLIZOJ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O
STLIOJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
STLIOZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
STLJIZO,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
