sequence,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB0?iBqrB/sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigB0mBl?nBGsBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFXcBmfB0mBl?nBCsBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxgB0iBigBl?mBXsBGsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jei6IvhFRcBciBFgBT?hB3nBWxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBFiB0?mBusBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBXdBigB1?nBGsB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBlmB3?nB8rB+sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBFhBRnB6?sBXnB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFmfBFhBXiB0?iB6rBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhBlmB3?nB6sB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBUhBF?iBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhB1nB/?mBUnBSxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT9IvhFxfB0hBmfBF?hBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB8?mB3nBSxB
JLSOTIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JLSOTZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
JLSOITZ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JLSOIZT,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X
JLSOZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JLSOZIT,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O
JLZTISO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZTIOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZTSIO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZTSOI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZTOIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZTOSI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZITSO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZITOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JLZISTO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JLZISOT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JLZIOTS,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JLZIOST,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JLZSTIO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JLZSTOI,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JLZSITO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JLZSIOT,O,X,X,X,O,O,X,X,X,X,X,O,X,O,X
JLZSOTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLZSOIT,O,X,X,X,O,O,X,X,X,X,X,O,X,O,X
JLZOTIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLZOTSI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLZOITS,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JLZOIST,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JLZOSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLZOSIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOTISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
JLOTIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JLOTSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JLOTSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JLOTZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOTZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JLOITSZ,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JLOITZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JLOISTZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JLOISZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOIZTS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOIZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOSTIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JLOSTZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JLOSITZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JLOSIZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOSZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JLOSZIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JLOZTIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOZTSI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOZITS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOZIST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOZSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOZSIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSTILZO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JSTILOZ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
JSTIZLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JSTIZOL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JSTIOLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
JSTIOZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
JSTLIZO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JSTLIOZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JSTLZIO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JSTLZOI,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JSTLOIZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JSTLOZI,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
JSTZILO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
JSTZIOL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
JSTZLIO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
JSTZLOI,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
JSTZOIL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
JSTZOLI,O,X,O,X,O,X,O,X,X,X,O,X,X,X,O
JSTOILZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
JSTOIZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
JSTOLIZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X
JSTOLZI,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X
JSTOZIL,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O
JSTOZLI,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O
JSITLZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSITLOZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JSITZLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JSITZOL,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JSITOLZ,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JSITOZL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSILTZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZTLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JSIZTOL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JSIZLTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSIZLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JSIZOTL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
JSIZOLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JSIOTLZ,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JSIOTZL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSIOLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
JSIOZLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JSLTIZO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLTIOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLTZIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLTZOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLTOIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLTOZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
JSLITZO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLITOZ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLIZTO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLIZOT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSLIOTZ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLIOZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSLZTIO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JSLZTOI,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JSLZITO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLZIOT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSLZOTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSLZOIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSLOTIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLOTZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
JSLOITZ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLOIZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSLOZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSLOZIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSZTILO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JSZTIOL,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O
JSZTLIO,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O
JSZTLOI,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O
JSZTOIL,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O
JSZTOLI,O,X,O,X,O,O,X,X,X,X,O,O,X,X,O
JSZITLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JSZITOL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JSZILTO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JSZIOTL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
JSZIOLT,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O
JSZLTIO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JSZLTOI,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JSZLITO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JSZLIOT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSZLOTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSZLOIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSZOTIL,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O
JSZOTLI,O,X,O,X,O,O,X,X,X,X,O,O,X,X,O
JSZOITL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
JSZOILT,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O
JSZOLTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSZOLIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSOTILZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
JSOTIZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
JSOTLIZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X
JSOTLZI,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X
JSOTZIL,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O
JSOTZLI,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O
JSOITLZ,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JSOITZL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSOILTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOILZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOIZTL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
JSOIZLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JSOLTIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JSOLTZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JSOLITZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JSOLIZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOLZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSOLZIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSOZTIL,O,X,O,O,O,X,X,X,X,O,O,O,X,X,O
JSOZTLI,O,X,O,X,O,O,X,X,X,O,O,O,X,X,O
JSOZITL,O,X,O,O,O,X,X,X,X,O,X,O,X,X,O
JSOZILT,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O
JSOZLTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSOZLIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZTILSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZTILOS,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X
JZTISLO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTISOL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JZTIOLS,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JZTIOSL,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X
JZTLISO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZTLIOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZTLSIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
JZTLSOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
JZTLOIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZTLOSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
JZTSILO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZTSIOL,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X
JZTSLIO,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
JZTSLOI,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
JZTSOIL,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X
JZTSOLI,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X
JZTOILS,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JZTOISL,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X
JZTOLIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZTOLSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
JZTOSIL,O,X,O,X,O,X,O,X,X,O,O,O,X,X,X
JZTOSLI,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X
JZITLSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZITLOS,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X
JZITSLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZITOLS,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X
JZITOSL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JZILTSO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZILTOS,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZILSTO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZILSOT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZILOTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZILOST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZISTLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZISOLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOTLS,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X
JZIOTSL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JZIOLTS,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZIOLST,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZIOSTL,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JZIOSLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLTISO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLTIOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLTSIO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLTSOI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLTOIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLTOSI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLITSO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLITOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZLISTO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZLISOT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLIOTS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZLIOST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLSTIO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JZLSTOI,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JZLSITO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JZLSIOT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZLSOTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZLSOIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZLOTIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZLOTSI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZLOITS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZLOIST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZLOSIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZSTILO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JZSTIOL,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O
JZSTLIO,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O
JZSTLOI,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O
JZSTOIL,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O
JZSTOLI,O,X,O,X,O,O,X,X,X,X,O,O,X,X,O
JZSITLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSITOL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSILTO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZSIOTL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
JZSIOLT,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O
JZSLTIO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JZSLTOI,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JZSLITO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JZSLIOT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZSLOTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZSLOIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZSOTIL,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O
JZSOTLI,O,X,O,X,O,O,X,X,X,X,O,O,X,X,O
JZSOITL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
JZSOILT,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O
JZSOLTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZSOLIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZOTILS,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JZOTISL,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X
JZOTLIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZOTLSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
JZOTSIL,O,X,O,X,O,X,O,X,X,O,O,O,X,X,X
JZOTSLI,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X
JZOITLS,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X
JZOITSL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JZOILTS,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZOILST,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZOISTL,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JZOISLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOLTIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZOLTSI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZOLITS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZOLIST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZOLSIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZOSTIL,O,X,O,O,O,X,X,X,X,O,O,O,X,X,O
JZOSTLI,O,X,O,X,O,O,X,X,X,O,O,O,X,X,O
JZOSITL,O,X,O,O,O,X,X,X,X,O,X,O,X,X,O
JZOSILT,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O
JZOSLTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZOSLIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JOTILSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
JOTILZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTISLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
JOTISZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
JOTIZLS,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JOTIZSL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
JOTLISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
JOTLIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JOTLSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JOTLZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOTLZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JOTSILZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
JOTSIZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
JOTSLIZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X
JOTSLZI,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X
JOTSZIL,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O
JOTSZLI,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O
JOTZILS,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X
JOTZISL,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X
JOTZLIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JOTZLSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
JOTZSIL,O,X,O,X,O,X,O,X,X,O,O,O,X,X,X
JOTZSLI,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X
JOITLSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
JOITLZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOITSLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
JOITSZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
JOITZLS,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JOITZSL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
JOILTSZ,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JOILTZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOILSTZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JOILSZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOILZTS,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JOILZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOISTLZ,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
JOISTZL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JOISLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
JOISZLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JOIZTLS,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X
JOIZTSL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JOIZLTS,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOIZLST,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOIZSTL,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JOIZSLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLTISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
JOLTIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOLTSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JOLTSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JOLTZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOLTZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JOLITSZ,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X
