sequence,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcBTdBifBW?nBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUbBFcBXdBW?lBSnBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Je06IvhFxcBKkBGhBT?iBFlBXqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhF6iBlfB3gBz?hB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUcBGdBCgBV?nBXlBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeX7IvhFxcBKkBGhBT?iBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFUcBGdBSlBV?nB/pBZlB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhFlfB3gBCiBT?iB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFxbB8hB+iB/?pBFlBiqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeU8IvhFxfBTiBCiB/?pBFlBmpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcB8hB+iBK?kBFlBzpB
ILJTZOS,X,O,O,X,X,X,X,X,X,X,O
ILJTOSZ,X,O,O,X,X,O,X,X,X,X,X
ILJTOZS,X,O,O,X,X,O,X,X,X,X,O
ILJSTZO,X,O,X,X,X,X,X,O,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,O,X,X,X
ILJSZTO,X,O,X,X,X,X,X,O,X,X,O
ILJSZOT,X,O,X,X,X,X,X,X,X,X,O
ILJSOTZ,X,O,X,X,X,X,X,O,X,X,X
ILJSOZT,X,O,X,X,X,X,X,X,X,X,X
ILJZTSO,X,O,X,X,X,X,X,X,X,X,O
ILJZTOS,X,O,X,X,X,X,X,X,X,X,O
ILJZSTO,X,O,X,X,X,X,X,O,X,X,O
ILJZSOT,X,O,X,X,X,X,X,X,X,X,O
ILJZOTS,X,O,O,X,X,X,X,X,X,X,X
ILJZOST,X,O,O,X,X,X,X,X,X,X,O
ILJOTSZ,X,O,O,X,X,O,X,X,X,X,X
ILJOTZS,X,O,O,X,X,O,X,X,X,X,X
ILJOSTZ,X,O,O,X,X,O,X,O,X,X,X
ILJOSZT,X,O,O,X,X,X,X,X,X,X,X
ILJOZTS,X,O,O,X,X,O,X,X,X,X,X
ILJOZST,X,O,O,X,X,X,X,X,X,X,O
ILSTJZO,X,O,X,X,O,X,X,O,X,X,X
ILSTJOZ,X,O,X,X,O,X,X,O,X,X,X
ILSTZJO,X,O,X,X,O,X,X,O,X,X,X
ILSTZOJ,X,O,X,X,O,X,X,O,X,X,X
ILSTOJZ,X,O,X,X,O,X,X,O,X,X,X
ILSTOZJ,X,O,X,X,O,X,X,O,X,X,X
ILSJTZO,X,O,X,X,O,X,X,O,X,X,X
ILSJTOZ,X,O,X,X,O,X,X,O,X,X,X
ILSJZTO,X,O,X,X,O,X,X,O,X,X,O
ILSJZOT,X,O,X,X,X,X,X,X,X,X,O
ILSJOTZ,X,O,X,X,X,X,X,O,X,X,X
ILSJOZT,X,O,X,X,X,X,X,X,X,X,X
ILSZTJO,X,O,X,X,O,X,X,O,X,X,X
ILSZTOJ,X,O,X,X,O,X,X,O,X,X,X
ILSZJTO,X,O,X,X,O,X,X,O,X,X,X
ILSZJOT,X,O,X,X,X,X,X,X,X,X,X
ILSZOTJ,X,O,X,X,O,X,X,X,X,X,X
ILSZOJT,X,O,X,X,X,X,X,X,X,X,X
ILSOTJZ,X,O,X,X,O,X,X,O,X,X,X
ILSOTZJ,X,O,X,X,O,X,X,O,X,X,X
ILSOJTZ,X,O,X,X,X,X,X,O,X,X,X
ILSOJZT,X,O,X,X,X,X,X,X,X,X,X
ILSOZTJ,X,O,X,X,O,X,X,X,X,X,X
ILSOZJT,X,O,X,X,X,X,X,X,X,X,X
ILZTJSO,X,O,X,X,O,X,X,X,X,X,X
ILZTJOS,X,O,X,X,X,X,X,X,X,X,X
ILZTSJO,X,O,X,X,O,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,O,X,X,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,X,X,X,X
ILZJTSO,X,O,X,X,X,X,X,X,X,X,O
ILZJTOS,X,O,X,X,X,X,X,X,X,X,X
ILZJSTO,X,O,X,X,X,X,X,O,X,X,O
ILZJSOT,X,O,X,X,X,X,X,X,X,X,O
ILZJOTS,X,O,O,X,X,X,X,X,X,X,X
ILZJOST,X,O,O,X,X,X,X,X,X,X,O
ILZSTJO,X,O,X,X,O,X,X,O,X,X,X
ILZSTOJ,X,O,X,X,O,X,X,O,X,X,X
ILZSJTO,X,O,X,X,O,X,X,O,X,X,X
ILZSJOT,X,O,X,X,X,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,O,X,X,X,X,X,X
ILZSOJT,X,O,X,X,X,X,X,X,X,X,X
ILZOTJS,X,O,O,X,X,X,X,X,X,X,X
ILZOTSJ,X,O,X,X,X,X,X,X,X,X,X
ILZOJTS,X,O,O,X,X,X,X,X,X,X,X
ILZOJST,X,O,O,X,X,X,X,X,X,X,X
ILZOSTJ,X,O,X,X,X,X,X,X,X,X,X
ILZOSJT,X,O,O,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,O,X,X,O,X,X,X,X,X
ILOTJZS,X,O,O,X,X,O,X,X,X,X,X
ILOTSJZ,X,O,O,X,X,O,X,X,X,X,X
ILOTSZJ,X,O,O,X,X,X,X,X,X,X,X
ILOTZJS,X,O,O,X,X,O,X,X,X,X,X
ILOTZSJ,X,O,O,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,O,X,X,X,X,X
ILOJTZS,X,O,O,X,X,O,X,X,X,X,X
ILOJSTZ,X,O,O,X,X,O,X,O,X,X,X
ILOJSZT,X,O,O,X,X,X,X,X,X,X,X
ILOJZTS,X,O,O,X,X,O,X,X,X,X,X
ILOJZST,X,O,O,X,X,X,X,X,X,X,O
ILOSTJZ,X,O,O,X,X,O,X,O,X,X,X
ILOSTZJ,X,O,O,X,X,X,X,O,X,X,X
ILOSJTZ,X,O,O,X,X,O,X,O,X,X,X
ILOSJZT,X,O,O,X,X,X,X,X,X,X,X
ILOSZTJ,X,O,X,X,X,X,X,X,X,X,X
ILOSZJT,X,O,O,X,X,X,X,X,X,X,X
ILOZTJS,X,O,O,X,X,O,X,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,X,X,X,X,X
ILOZJTS,X,O,O,X,X,O,X,X,X,X,X
ILOZJST,X,O,O,X,X,X,X,X,X,X,X
ILOZSTJ,X,O,X,X,X,X,X,X,X,X,X
ILOZSJT,X,O,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,X,X,O,X,X,O,X,X,X
IJTLSOZ,O,O,X,X,O,X,X,O,X,X,X
IJTLZSO,O,O,X,X,O,X,X,X,X,X,X
IJTLZOS,O,O,X,X,X,X,X,X,X,X,X
IJTLOSZ,O,O,X,X,X,X,X,X,X,X,X
IJTLOZS,O,O,X,X,X,X,X,X,X,X,X
IJTSLZO,O,O,X,X,O,X,X,O,X,X,X
IJTSLOZ,O,O,X,O,O,X,X,O,X,X,X
IJTSZLO,X,O,X,X,O,X,X,O,X,X,X
IJTSZOL,O,X,X,O,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,O,O,X,X,O,X,X,X
IJTSOZL,O,X,X,O,O,X,X,X,X,X,X
IJTZLSO,X,O,X,X,O,X,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X,X,X,X,X
IJTZSLO,X,O,X,X,O,X,X,X,X,X,X
IJTZSOL,X,X,X,X,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,X,X,X,X,X,X,X
IJTZOSL,X,X,X,X,O,X,X,X,X,X,X
IJTOLSZ,O,O,X,O,X,X,X,X,X,X,X
IJTOLZS,O,O,X,X,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,O,O,X,X,X,X,X,X
IJTOSZL,O,O,X,O,O,X,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X,X,X,X
IJTOZSL,X,O,X,X,O,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,O,X,X,O
IJLTSOZ,X,O,X,X,X,O,X,O,X,X,X
IJLTZSO,X,O,X,X,X,X,X,X,X,X,O
IJLTZOS,X,O,O,X,X,X,X,X,X,X,O
IJLTOSZ,X,O,O,X,X,O,X,X,X,X,X
IJLTOZS,X,O,O,X,X,O,X,X,X,X,O
IJLSTZO,X,O,X,X,X,X,X,O,X,X,X
IJLSTOZ,X,O,X,X,X,X,X,O,X,X,X
IJLSZTO,X,O,X,X,X,X,X,O,X,X,O
IJLSZOT,X,O,X,X,X,X,X,X,X,X,O
IJLSOTZ,X,O,X,X,X,X,X,O,X,X,X
IJLSOZT,X,O,X,X,X,X,X,X,X,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X,X,O
IJLZTOS,X,O,X,X,X,X,X,X,X,X,O
IJLZSTO,X,O,X,X,X,X,X,O,X,X,O
IJLZSOT,X,O,X,X,X,X,X,X,X,X,O
IJLZOTS,X,O,O,X,X,X,X,X,X,X,X
IJLZOST,X,O,O,X,X,X,X,X,X,X,O
IJLOTSZ,X,O,O,X,X,O,X,X,X,X,X
IJLOTZS,X,O,O,X,X,O,X,X,X,X,X
IJLOSTZ,X,O,O,X,X,O,X,O,X,X,X
IJLOSZT,X,O,O,X,X,X,X,X,X,X,X
IJLOZTS,X,O,O,X,X,O,X,X,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,X,X,O
IJSTLZO,O,O,X,X,O,X,X,O,X,X,X
IJSTLOZ,O,O,X,O,O,X,X,O,X,X,X
IJSTZLO,X,O,X,X,O,X,X,O,O,X,X
IJSTZOL,O,X,X,O,O,X,X,X,O,X,X
IJSTOLZ,O,X,X,O,O,X,X,O,X,X,X
IJSTOZL,O,X,X,O,O,X,X,X,O,X,X
IJSLTZO,X,O,X,X,O,X,X,O,X,X,X
IJSLTOZ,X,O,X,O,O,X,X,O,X,X,X
IJSLZTO,X,O,X,X,O,X,X,O,X,X,X
IJSLZOT,X,O,X,X,X,X,X,X,X,X,X
IJSLOTZ,O,O,X,O,X,X,X,O,X,X,X
IJSLOZT,O,O,X,O,X,X,X,X,X,X,X
IJSZTLO,O,O,X,X,O,X,X,O,O,X,X
IJSZTOL,O,X,X,O,O,X,X,X,O,X,X
IJSZLTO,O,O,X,X,O,X,X,O,O,X,X
IJSZLOT,O,O,X,X,X,X,X,X,O,X,X
IJSZOTL,O,X,X,O,X,X,X,X,O,X,X
IJSZOLT,O,X,X,O,X,X,X,X,O,X,X
IJSOTLZ,O,X,X,O,X,X,X,O,X,X,X
IJSOTZL,O,X,X,O,X,X,X,X,O,X,X
IJSOLTZ,O,X,X,O,X,X,X,O,X,X,X
IJSOLZT,O,X,X,O,X,X,X,X,X,X,X
IJSOZTL,O,X,X,O,X,X,X,X,O,X,X
IJSOZLT,O,X,X,O,X,X,X,X,O,X,X
IJZTLSO,O,O,X,X,O,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,O,X,X,X,O,X,X
IJZTSOL,O,X,X,X,O,X,X,X,O,X,X
IJZTOLS,O,O,X,X,X,X,X,X,X,X,X
IJZTOSL,O,X,X,X,O,X,X,X,X,X,X
IJZLTSO,O,O,X,X,X,X,X,X,X,X,O
IJZLTOS,O,O,X,X,X,X,X,X,X,X,O
IJZLSTO,O,O,X,X,X,X,X,X,O,X,O
IJZLSOT,O,O,X,X,X,X,X,X,O,X,O
IJZLOTS,O,O,X,X,X,X,X,X,X,X,X
IJZLOST,O,O,X,X,X,X,X,X,X,X,O
IJZSTLO,O,O,X,X,O,X,X,X,O,X,O
IJZSTOL,O,X,X,X,O,X,X,X,O,X,X
IJZSLTO,O,O,X,X,O,X,X,X,O,X,O
IJZSLOT,O,O,X,X,X,X,X,X,O,X,O
IJZSOTL,O,X,X,X,X,X,X,X,O,X,X
IJZSOLT,O,X,X,X,X,X,X,X,O,X,O
IJZOTLS,O,O,X,X,X,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X,X,X,X
IJZOLTS,O,O,X,X,X,X,X,X,X,X,X
IJZOLST,O,O,X,X,X,X,X,X,X,X,X
IJZOSTL,O,X,X,X,X,X,X,X,O,X,X
IJZOSLT,O,X,X,X,X,X,X,X,O,X,X
IJOTLSZ,O,O,O,O,X,O,X,X,X,X,X
IJOTLZS,O,O,O,X,X,O,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,X,X,X,X
IJOTZLS,X,O,X,X,X,X,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X,X,X,X,X,X
IJOLTSZ,X,O,O,O,X,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,O,X,X,X,X,X
IJOLSTZ,X,O,O,O,X,O,X,X,X,X,X
IJOLSZT,X,O,O,O,X,X,X,X,X,X,X
IJOLZTS,X,O,O,X,X,O,X,X,X,X,X
IJOLZST,X,O,O,O,X,X,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X
IJOSTZL,O,O,X,O,X,X,X,X,X,X,X
IJOSLTZ,O,O,O,O,X,O,X,X,X,X,X
IJOSLZT,O,O,O,O,X,X,X,X,X,X,X
IJOSZTL,O,O,X,O,X,X,X,X,X,X,X
IJOSZLT,O,O,X,O,X,X,X,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X,X,X,X
IJOZLTS,O,O,O,X,X,O,X,X,X,X,X
IJOZLST,O,O,O,O,X,X,X,X,X,X,X
IJOZSTL,O,O,X,O,X,X,X,X,X,X,X
IJOZSLT,O,O,X,O,X,X,X,X,X,X,X
ISTLJZO,O,O,X,X,O,X,O,O,X,X,X
ISTLJOZ,O,O,X,X,O,X,O,O,X,X,X
ISTLZJO,O,O,X,X,O,X,O,O,X,X,X
ISTLZOJ,X,O,X,X,O,X,O,O,X,O,X
ISTLOJZ,O,O,X,O,O,X,O,O,X,X,X
ISTLOZJ,X,O,X,O,O,X,O,O,X,O,X
ISTJLZO,O,O,X,X,O,X,O,O,X,X,X
ISTJLOZ,O,O,X,O,O,X,O,O,X,X,X
ISTJZLO,X,O,X,X,O,X,O,O,O,X,X
ISTJZOL,O,X,X,O,O,X,X,X,O,O,X
ISTJOLZ,O,X,X,O,O,X,X,O,X,X,X
ISTJOZL,O,X,X,O,O,X,X,X,O,O,X
ISTZLJO,X,X,X,X,O,X,O,O,X,X,X
ISTZLOJ,X,X,X,X,O,X,O,O,X,O,X
ISTZJLO,X,X,X,X,O,X,O,X,X,X,X
ISTZJOL,O,X,X,X,O,X,X,X,X,O,X
ISTZOLJ,X,X,X,O,O,X,X,X,X,O,X
ISTZOJL,X,X,X,X,O,X,X,X,X,O,X
ISTOLJZ,X,O,X,O,O,X,X,O,X,X,X
ISTOLZJ,X,O,X,O,O,X,X,O,X,O,X
ISTOJLZ,O,O,X,O,O,X,X,X,X,X,X
ISTOJZL,O,O,X,O,O,X,X,X,O,O,X
ISTOZLJ,X,X,X,O,O,X,X,X,X,O,X
ISTOZJL,X,X,X,X,O,X,X,X,X,O,X
ISLTJZO,X,O,X,X,O,X,O,O,X,X,X
ISLTJOZ,X,O,X,X,O,X,O,O,X,X,X
ISLTZJO,X,O,X,X,O,X,O,O,X,X,X
ISLTZOJ,X,O,X,X,O,X,O,O,X,X,X
ISLTOJZ,X,O,X,O,O,X,O,O,X,X,X
ISLTOZJ,X,O,X,O,O,X,O,O,X,X,X
ISLJTZO,X,O,X,X,O,X,X,O,X,X,X
ISLJTOZ,X,O,X,O,O,X,X,O,X,X,X
ISLJZTO,X,O,X,X,O,X,X,O,X,X,X
ISLJZOT,X,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,O,X,O,X,X,X,O,X,X,X
ISLJOZT,O,O,X,O,X,X,X,X,X,X,X
ISLZTJO,X,O,X,X,O,X,O,O,X,X,X
ISLZTOJ,X,O,X,X,O,X,O,O,X,X,X
ISLZJTO,X,O,X,X,O,X,X,O,X,X,X
ISLZJOT,X,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,O,X,O,X,X,O,X
ISLZOJT,X,O,X,X,X,X,X,X,X,O,X
ISLOTJZ,X,O,X,O,O,X,O,O,X,X,X
ISLOTZJ,X,O,X,O,O,X,O,O,X,X,X
ISLOJTZ,X,O,X,O,X,X,X,O,X,X,X
ISLOJZT,X,O,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,O,X,O,O,X,O,X,X,O,X
ISLOZJT,X,O,X,O,X,X,X,X,X,O,X
ISJTLZO,O,O,X,X,O,X,X,O,X,X,X
ISJTLOZ,O,O,X,O,O,X,X,O,X,X,X
ISJTZLO,X,O,X,X,O,X,X,O,O,X,X
ISJTZOL,O,X,X,O,O,X,X,X,O,X,X
ISJTOLZ,O,X,X,O,O,X,X,O,X,X,X
ISJTOZL,O,X,X,O,O,X,X,X,O,X,X
ISJLTZO,X,O,X,X,O,X,X,O,X,X,X
ISJLTOZ,X,O,X,O,O,X,X,O,X,X,X
ISJLZTO,X,O,X,X,O,X,X,O,X,X,X
ISJLZOT,X,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,X,O,X,X,X,O,X,X,X
ISJLOZT,O,O,X,O,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,O,X,X,O,O,X,X
ISJZTOL,O,X,X,O,O,X,X,X,O,X,X
ISJZLTO,O,O,X,X,O,X,X,O,O,X,X
ISJZLOT,O,O,X,X,X,X,X,X,O,X,X
ISJZOTL,O,X,X,O,X,X,X,X,O,O,X
ISJZOLT,O,X,X,O,X,X,X,X,O,O,X
ISJOTLZ,O,X,X,O,X,X,X,O,X,X,X
ISJOTZL,O,X,X,O,X,X,X,X,O,X,X
ISJOLTZ,O,X,X,O,X,X,X,O,X,X,X
ISJOLZT,O,X,X,O,X,X,X,X,X,X,X
ISJOZTL,O,X,X,O,X,X,X,X,O,O,X
ISJOZLT,O,X,X,O,X,X,X,X,O,O,X
ISZTLJO,O,X,X,X,O,X,O,O,X,X,X
ISZTLOJ,O,X,X,X,O,X,O,O,X,O,X
ISZTJLO,O,X,X,X,O,X,O,X,X,X,X
ISZTJOL,O,X,X,X,O,X,X,X,X,O,X
ISZTOLJ,X,X,X,O,O,X,X,X,X,O,X
ISZTOJL,O,X,X,X,O,X,X,X,X,O,X
ISZLTJO,O,X,X,X,O,X,O,O,X,X,X
ISZLTOJ,X,X,X,X,O,X,O,O,X,X,X
ISZLJTO,O,X,X,X,O,X,X,O,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,O,X,O,X,X,O,X
ISZLOJT,O,X,X,X,X,X,X,X,X,O,X
ISZJTLO,O,X,X,X,O,X,X,O,X,X,X
ISZJTOL,O,X,X,O,O,X,X,X,X,X,X
ISZJLTO,O,X,X,X,O,X,X,O,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,X,O,X,X,X,X,X,O,X
ISZJOLT,O,X,X,O,X,X,X,X,X,O,X
ISZOTLJ,X,X,X,O,O,X,X,X,X,O,X
ISZOTJL,X,X,X,X,O,X,X,X,X,O,X
ISZOLTJ,X,X,X,O,O,X,X,X,X,O,X
ISZOLJT,X,X,X,O,X,X,X,X,X,O,X
ISZOJTL,O,X,X,O,X,X,X,X,X,O,X
ISZOJLT,O,X,X,O,X,X,X,X,X,O,X
ISOTLJZ,X,O,X,O,O,X,X,O,X,X,X
ISOTLZJ,X,O,X,O,O,X,X,O,X,O,X
ISOTJLZ,X,O,X,O,O,X,X,X,X,X,X
ISOTJZL,X,O,X,O,O,X,X,X,O,O,X
ISOTZLJ,X,X,X,O,O,X,X,X,X,O,X
ISOTZJL,X,X,X,X,O,X,X,X,X,O,X
ISOLTJZ,X,O,X,O,O,X,X,O,X,X,X
ISOLTZJ,X,O,X,O,O,X,X,O,X,X,X
ISOLJTZ,X,O,X,O,X,X,X,O,X,X,X
ISOLJZT,X,O,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,O,O,X,X,X,X,O,X
ISOLZJT,X,O,X,O,X,X,X,X,X,O,X
ISOJTLZ,O,O,X,O,X,X,X,O,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X,O,X,X
ISOJLTZ,O,O,X,O,X,X,X,O,X,X,X
ISOJLZT,O,O,X,O,X,X,X,X,X,X,X
ISOJZTL,O,O,X,O,X,X,X,X,O,O,X
ISOJZLT,O,O,X,O,X,X,X,X,O,O,X
ISOZTLJ,X,X,X,O,O,X,X,X,X,O,X
ISOZTJL,X,X,X,X,O,X,X,X,X,O,X
ISOZLTJ,X,X,X,O,O,X,X,X,X,O,X
ISOZLJT,X,X,X,O,X,X,X,X,X,O,X
ISOZJTL,X,X,X,O,X,X,X,X,X,O,X
ISOZJLT,X,X,X,O,X,X,X,X,X,O,X
IZTLJSO,O,O,X,X,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X,X
IZTLSJO,O,O,X,X,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,O,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,X,X,X,X
IZTJLSO,O,O,X,X,O,X,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,X,X,X,X
IZTJSLO,O,O,X,X,O,X,O,X,X,X,X
IZTJSOL,O,X,X,X,O,X,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X,X,X,X,X
IZTJOSL,O,X,X,X,O,X,X,X,X,X,X
IZTSLJO,O,X,X,X,O,X,O,X,X,X,X
IZTSLOJ,O,X,X,X,O,X,O,X,X,X,X
IZTSJLO,O,X,X,X,O,X,O,X,X,X,X
IZTSJOL,O,X,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,X,X,O,X,X,X,X,X,X
IZTSOJL,O,X,X,X,O,X,X,X,X,X,X
IZTOLJS,X,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,O,X,X,O,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,O,X,X,X,X,X,X
IZTOSJL,X,X,X,X,O,X,X,X,X,X,X
IZLTJSO,O,O,X,X,O,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,X,X,X
IZLTSJO,O,O,X,X,O,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,O,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X,X,X,X
IZLJTSO,O,O,X,X,X,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X,X,X,X,X
IZLJOTS,O,O,X,X,X,X,X,X,X,X,X
IZLJOST,O,O,X,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,O,X,X,X,X,X,X
IZLSJTO,O,O,X,X,O,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,O,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,X,O,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,O,X,X,X,X,X,X
IZJTSOL,O,X,X,X,O,X,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,O,X,X,X,X,X,X
IZJLTSO,O,O,X,X,X,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X,X,X,X,X
IZJLOTS,O,O,X,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,O,X,X,X,X,X,X
IZJSTOL,O,X,X,X,O,X,X,X,X,X,X
IZJSLTO,O,O,X,X,O,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,O,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,X,X,O,X,O,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,O,X,X,O,X
IZSTJLO,O,X,X,X,O,X,O,X,X,X,X
IZSTJOL,O,X,X,X,O,X,X,X,X,O,X
IZSTOLJ,X,X,X,X,O,X,X,X,X,O,X
IZSTOJL,O,X,X,X,O,X,X,X,X,O,X
IZSLTJO,O,X,X,X,O,X,O,X,X,X,X
IZSLTOJ,X,X,X,X,O,X,O,X,X,X,X
IZSLJTO,O,X,X,X,O,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,O,X,O,X,X,O,X
IZSLOJT,O,X,X,X,X,X,X,X,X,O,X
IZSJTLO,O,X,X,X,O,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,X,X,X,X,X,X
IZSJLTO,O,X,X,X,O,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,O,X
IZSJOLT,O,X,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,O,X
IZSOTJL,X,X,X,X,O,X,X,X,X,O,X
IZSOLTJ,X,X,X,X,O,X,X,X,X,O,X
IZSOLJT,X,X,X,X,X,X,X,X,X,O,X
IZSOJTL,O,X,X,X,X,X,X,X,X,O,X
IZSOJLT,O,X,X,X,X,X,X,X,X,O,X
IZOTLJS,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,X,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,O,X,X,X,X,X,X
IZOTSJL,X,X,X,X,O,X,X,X,X,X,X
IZOLTJS,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X,X,X,X
