sequence,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFagBRcBulBF?iB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUdBFhBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFUbBRcB6mBO?nBllBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeT6IvhF2gBRcBFiBC?lB0mBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhF0fB6lB/mBF?iBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jei6IvhFRcB3gBFiBW?qB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFRbBUdBFhBS?qBzmBeqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jey/IvhF5gB/mBFiB0?fBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUhBFiBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFVhBUdB6kB2?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex/IvhF/mBFiB0fB6?lBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeKBJvhFxfBFiBGlBX?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeR8IvhFFiBGlB0mB/?kBilBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFygBFiBxlBu?pBcqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2AJvhF6kBFiBxlB3?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jem6IvhF5gBicB0fB1?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFlcB0fB6lB2?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFFiBfqBxlB8?lBzmBCqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhF5gBOhBViB8?pBzmBaqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFFiBxlB8lBe?qBCqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeU9IvhF6kBZlBXhBz?mBulBlpB
JSLTIOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTZIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLTZOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X
JSLITOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOZT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLZTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLZITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLZIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLZOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLZOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLOTIZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOIZT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X
JSZTIOL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JSZTLIO,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JSZTLOI,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZTOIL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZTOLI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZITLO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
JSZITOL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZILTO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSZIOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZLTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZLITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZLIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZLOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZLOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZOTIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSZOTLI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSZOITL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSZOILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JSOTLIZ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOTLZI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JSOTZIL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JSOTZLI,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JSOITLZ,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JSOILTZ,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLTZI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOLITZ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOLZIT,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOZTIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JSOZTLI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JSOZITL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JSOZILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOZLIT,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTILSO,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZTILOS,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZTISLO,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
JZTISOL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZTIOLS,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
JZTIOSL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZTLISO,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZTLIOS,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZTLSIO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
JZTLSOI,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZTLOIS,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
JZTLOSI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X
JZTSIOL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JZTSLIO,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
JZTSLOI,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTSOLI,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTOILS,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
JZTOISL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZTOLIS,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
JZTOLSI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZTOSIL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZTOSLI,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZITLSO,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZITLOS,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZITSLO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
JZITSOL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZITOLS,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
JZITOSL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZILTSO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JZILTOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JZILSTO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILOTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZISTLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZISTOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZISLTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZISOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JZIOTSL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JZIOLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZIOSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZLTIOS,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
JZLTSIO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
JZLTSOI,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZLTOIS,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
JZLTOSI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLITSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JZLITOS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JZLISTO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLIOTS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLIOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSTIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSTOI,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSOTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOTIS,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLOTSI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLOIST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOSTI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLOSIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSTILO,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X
JZSTIOL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JZSTLIO,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZSTLOI,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTOIL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSTOLI,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSITLO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X
JZSITOL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JZSILTO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSIOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSLTOI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSLITO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSLIOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSLOTI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSLOIT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSOTIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSOTLI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZSOITL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSOILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
JZOTISL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
JZOTLIS,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
JZOTLSI,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X
JZOTSIL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X
JZOTSLI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X
JZOITLS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JZOITSL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JZOILTS,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOILST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOISTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLTSI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLITS,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLIST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLSTI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLSIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOSTIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOSTLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOSITL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOSILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOSLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTILSZ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOTILZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X
JOTISLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTIZLS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTIZSL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTLISZ,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOTLIZS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X
JOTLSIZ,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTLSZI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JOTLZIS,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTLZSI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTSILZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JOTSLIZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTSLZI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JOTSZIL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JOTSZLI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JOTZILS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTZISL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTZLIS,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTZLSI,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTZSIL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOTZSLI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
JOITLSZ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOITLZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X
JOITSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOITZLS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOITZSL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOILTSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOILTZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOILSTZ,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O
JOILSZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOILZTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOILZST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOISTLZ,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISTZL,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOISLTZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOISLZT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JOISZTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOIZTLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOIZTSL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JOIZLTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOIZLST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOIZSTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOIZSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLTISZ,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOLTIZS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOLTSIZ,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLTSZI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLTZIS,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLTZSI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLITSZ,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOLITZS,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOLISTZ,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O
JOLISZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLIZTS,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLIZST,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLSTIZ,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLSTZI,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLSITZ,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O
JOLSIZT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLSZTI,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOLSZIT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLZTIS,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
